Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00135427",126,30,7,-,5,10,10,36
"S00135428",75,2,2,-,1,1,7,12
"S00135429",85,9,1,-,2,7,3,16
"S00135430",113,8,5,-,4,5,5,19
"S00135431",109,1,-,-,4,4,6,17
"S00135432",117,15,5,-,2,6,5,31
"S00135433",128,8,1,-,6,12,8,23
"S00135434",111,10,5,4,-,16,8,27
"S00135435",77,12,3,-,4,9,4,28
"S00135436",109,10,4,1,1,7,4,29
"S00135437",127,7,2,-,10,7,22,17
"S00135438",82,7,1,-,3,3,6,20
"S00135439",92,7,2,-,1,4,6,26
"S00135440",131,14,7,-,5,7,13,46
"S00135441",127,12,1,-,-,5,6,23
"S00135442",67,17,7,1,4,29,10,41
"S00135443",99,5,-,-,-,4,7,23
"S00135444",99,1,-,-,4,2,4,11
"S00135445",141,14,5,2,5,14,4,30
"S00135446",159,16,3,-,3,13,13,38
"S00135447",137,5,-,-,7,5,10,17
"S00135448",170,2,3,1,6,2,17,13
"S00135449",98,26,11,2,5,33,10,47
"S00135450",92,15,3,-,4,14,5,29
"S00135451",70,11,2,-,1,6,2,11
"S00135452",64,2,4,2,5,9,6,17
"S00135453",110,10,4,-,6,8,13,21
"S00135454",123,3,2,-,5,6,11,18
"S00135455",106,10,1,-,6,3,7,20
"S00135456",89,9,2,-,7,6,9,21
"S00135457",69,5,5,-,-,7,2,17
"S00135458",79,1,3,-,8,2,6,18
"S00135459",121,23,7,-,8,17,7,36
"S00135460",121,13,4,1,6,18,10,25
"S00135461",135,13,6,1,11,2,3,27
"S00135462",159,8,2,-,4,12,12,20
"S00135463",149,13,3,-,1,6,3,23
"S00135464",109,6,4,1,4,8,12,28
"S00135465",106,20,7,2,1,17,7,27
"S00135466",101,6,-,-,4,7,1,18
"S00135467",95,5,2,1,3,11,5,20
"S00135468",69,-,-,-,3,-,4,2
"S00135469",121,12,5,2,2,5,4,31
"S00135470",137,9,1,-,2,6,4,31
"S00135471",154,8,6,-,2,9,15,17
"S00135472",148,19,2,-,4,16,13,29
"S00135473",128,8,1,-,8,6,10,23
"S00135474",122,6,3,-,2,4,14,15
"S00135475",102,9,3,-,6,7,8,21
"S00135476",108,11,3,-,3,6,16,33
"S00135477",120,4,2,-,4,5,8,15
"S00135478",95,23,6,1,4,35,12,40
"S00135479",125,2,-,-,2,5,4,15
"S00135480",132,11,3,-,10,5,12,31
"S00135481",132,11,1,-,5,10,7,31
"S00135482",83,10,5,-,3,11,7,29
"S00135483",118,4,3,-,1,7,6,19
"S00135484",82,5,1,-,3,7,3,22
"S00135485",163,16,7,2,7,11,13,41
"S00135486",115,6,5,-,2,9,5,22
"S00135487",160,21,6,-,2,9,8,33
"S00135488",118,7,3,-,6,2,10,17
"S00135489",144,3,-,-,8,5,23,17
"S00135490",131,12,2,-,8,7,5,33
"S00135491",130,4,-,-,2,6,9,16
"S00135492",130,10,4,-,2,8,2,30
"S00135493",166,2,1,-,11,5,22,28
"S00135494",98,11,4,-,5,2,9,23
"S00135495",110,6,5,-,6,3,7,14
"S00135496",105,5,4,-,2,4,8,23
"S00135497",236,15,1,-,3,13,7,31
"S00135498",150,2,-,-,6,4,11,5
"S00135499",129,12,2,-,6,8,7,27
"S00135500",120,3,-,-,2,1,6,14
"S00135501",136,14,-,-,5,6,9,33
"S00135502",133,4,-,-,7,2,2,14
"S00135503",86,12,3,-,4,13,3,18
"S00135504",141,21,5,-,-,16,7,42
"S00135505",167,5,2,-,9,8,7,19
"S00135506",90,-,1,-,3,4,7,14
"S00135507",183,7,3,-,-,5,6,23
"S00135508",67,7,-,-,3,7,6,14
"S00135509",125,7,1,-,-,6,4,20
"S00135510",111,11,4,-,4,10,15,26
"S00135511",120,8,6,-,5,2,13,28
"S00135512",120,14,1,-,2,7,9,29
"S00135513",111,10,1,-,10,22,17,36
"S00135514",113,12,-,-,3,12,23,25
"S00135515",167,22,6,-,4,22,8,41
"S00135516",152,5,2,2,8,4,19,17
"S00135517",113,1,1,-,2,4,8,18
"S00135518",83,6,2,-,2,7,5,12
"S00135519",143,6,6,-,5,8,10,34
"S00135520",145,6,2,-,2,6,16,34
"S00135521",118,4,4,-,4,3,13,21
"S00135522",92,3,1,-,-,7,7,19
"S00135523",71,14,1,-,1,14,4,17
"S00135524",111,16,4,-,3,13,10,21
"S00135525",117,-,-,-,1,2,2,11
"S00135526",106,10,-,2,8,7,11,28
"S00135527",72,3,3,-,1,11,6,18
"S00135528",165,26,7,-,11,35,21,56
"S00135529",139,14,5,2,4,13,10,47
"S00135530",87,15,6,1,5,17,10,24
"S00135531",99,5,2,-,3,6,7,24
"S00135532",103,4,3,-,5,8,8,19
