Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00140431",176,9,-,-,7,8,12,24
"S00140432",82,11,3,-,3,6,4,28
"S00140433",161,18,9,1,4,28,17,47
"S00140434",185,8,5,3,5,22,13,61
"S00140435",141,18,1,2,3,9,5,33
"S00140436",116,10,5,-,4,7,4,25
"S00140437",151,6,2,-,3,11,4,32
"S00140438",135,19,4,2,2,11,5,40
"S00140439",140,12,3,-,4,10,4,36
"S00140440",84,5,-,-,-,4,6,16
"S00140441",112,17,3,-,3,10,4,27
"S00140442",180,4,1,-,11,16,12,24
"S00140443",125,10,2,-,2,12,12,27
"S00140444",143,18,3,-,9,8,12,30
"S00140445",204,23,15,-,8,25,28,35
"S00140446",146,19,3,-,10,22,15,34
"S00140447",178,17,2,-,10,11,19,27
"S00140448",127,6,4,-,4,10,12,26
"S00140449",81,3,1,1,-,8,1,28
"S00140450",95,6,3,1,2,10,10,23
"S00140451",134,16,4,-,6,10,6,34
"S00140452",133,7,2,1,11,10,14,33
"S00140453",193,6,3,1,22,15,32,30
"S00140454",107,8,3,3,3,13,12,28
"S00140455",159,14,8,-,10,25,17,57
"S00140456",69,9,5,-,4,7,11,19
"S00140457",126,16,6,-,5,10,12,32
"S00140458",130,12,2,2,6,10,7,33
"S00140459",133,12,3,2,7,10,8,30
"S00140460",154,9,-,-,2,7,9,26
"S00140461",163,13,4,3,6,20,16,50
"S00140462",106,7,-,-,3,2,6,13
"S00140463",109,8,1,-,6,2,10,24
"S00140464",131,10,2,-,4,9,10,26
"S00140465",139,10,6,1,7,17,15,34
"S00140466",156,26,5,1,4,23,12,41
"S00140467",135,8,6,-,6,11,17,32
"S00140468",118,5,1,-,6,4,18,26
"S00140469",68,5,5,3,3,10,10,21
"S00140470",69,4,1,-,3,6,17,21
"S00140471",105,3,-,-,8,5,17,18
"S00140472",73,2,1,-,2,5,6,12
"S00140473",121,11,2,-,4,6,6,36
"S00140474",143,11,5,-,14,9,15,23
"S00140475",106,6,4,-,3,9,5,21
"S00140476",84,6,5,-,3,2,3,20
"S00140477",99,5,4,2,3,7,16,21
"S00140478",158,17,6,-,2,11,5,24
"S00140479",119,9,4,-,1,9,13,26
"S00140480",64,7,3,1,-,12,9,19
"S00140481",69,-,1,-,4,3,9,12
"S00140482",96,5,2,-,7,8,6,11
"S00140483",133,21,6,-,5,12,11,29
"S00140484",124,14,1,-,1,6,7,21
"S00140485",166,23,2,-,4,15,10,49
"S00140486",114,13,1,-,5,8,7,18
"S00140487",64,4,1,-,5,6,5,11
"S00140488",86,6,-,-,4,4,8,14
"S00140489",108,13,2,-,-,6,3,22
"S00140490",95,8,3,1,3,8,7,24
"S00140491",80,8,1,2,2,5,9,22
"S00140492",100,-,-,-,7,4,6,10
"S00140493",97,8,7,2,6,13,8,19
"S00140494",82,11,4,-,6,9,15,25
"S00140495",167,19,4,-,4,13,7,44
"S00140496",144,21,4,-,2,13,9,41
"S00140497",80,6,-,-,7,4,11,16
"S00140498",105,11,8,-,5,8,8,26
"S00140499",74,4,-,2,-,7,17,19
"S00140500",107,14,7,-,9,23,10,32
"S00140501",162,13,2,-,6,12,10,33
"S00140502",123,12,5,-,3,9,6,26
"S00140503",68,8,2,-,2,5,6,12
"S00140504",128,15,3,-,7,7,11,23
"S00140505",73,7,3,-,-,6,5,13
"S00140506",101,17,5,1,4,29,20,41
"S00140507",153,8,4,-,4,7,6,28
"S00140508",84,3,-,-,3,10,6,15
"S00140509",146,4,4,1,20,12,37,31
"S00140510",105,7,4,-,5,8,9,30
"S00140511",134,8,4,-,8,7,4,22
"S00140512",66,7,3,-,-,4,4,19
"S00140513",67,8,5,-,6,13,8,25
"S00140514",90,4,2,-,7,6,20,15
"S00140515",128,9,2,-,7,15,14,33
"S00140516",195,15,8,-,7,14,9,30
"S00140517",77,7,-,-,2,4,4,14
"S00140518",173,7,11,-,3,14,9,44
"S00140519",150,4,4,1,11,13,23,34
"S00140520",114,17,2,-,8,14,10,36
"S00140521",155,6,1,-,9,10,24,21
"S00140522",158,19,3,-,5,13,18,36
"S00140523",108,11,3,-,3,7,6,25
"S00140524",133,9,2,-,5,12,16,26
"S00140525",76,2,3,-,6,11,9,25
"S00140526",203,21,6,2,11,21,18,42
"S00140527",69,3,-,-,8,3,12,13
"S00140528",149,8,4,1,5,4,8,24
"S00140529",153,17,5,1,10,28,19,44
"S00140530",152,23,5,-,-,10,13,32
"S00140531",137,8,2,2,7,7,11,33
"S00140532",117,14,2,-,-,7,7,27
"S00140533",174,8,4,-,15,19,18,31
"S00140534",119,6,2,-,6,3,6,15
"S00140535",134,1,-,-,4,10,7,15
"S00140536",94,13,3,3,11,13,14,25
"S00140537",147,4,2,-,5,3,7,16
"S00140538",116,7,-,1,7,13,19,21
"S00140539",117,9,2,-,16,12,18,20
"S00140540",135,14,3,-,8,14,13,30
"S00140541",137,10,10,1,9,17,23,33
"S00140542",155,16,4,-,6,11,12,32
"S00140543",181,16,-,-,9,6,11,33
"S00140544",69,6,1,-,1,7,3,17
"S00140545",98,5,-,-,2,9,6,24
"S00140546",99,7,3,-,8,7,7,24
"S00140547",124,7,1,-,2,8,5,25
"S00140548",136,7,4,-,8,17,13,25
"S00140549",136,10,2,1,1,6,8,34
"S00140550",70,13,2,-,2,9,11,19
"S00140551",86,9,1,-,6,4,4,15
"S00140552",111,11,-,-,6,12,10,34
"S00140553",129,21,7,-,4,22,12,52
"S00140554",88,13,4,2,5,8,5,21
"S00140555",117,9,6,-,3,9,14,36
"S00140556",126,10,2,-,-,8,10,33
"S00140557",68,8,2,-,5,8,7,17
"S00140558",131,18,4,-,1,13,7,35
"S00140559",61,6,2,-,2,6,2,16
"S00140560",84,4,-,1,4,5,8,18
"S00140561",178,13,4,-,8,16,15,44
"S00140562",117,21,9,-,6,14,5,31
"S00140563",130,14,4,-,11,8,10,33
"S00140564",115,11,5,1,4,6,5,22
"S00140565",140,10,2,-,8,6,22,28
"S00140566",67,7,5,-,4,10,4,9
"S00140567",160,19,6,-,3,14,6,38
"S00140568",142,16,3,-,6,6,7,25
"S00140569",126,11,1,-,2,11,7,26
"S00140570",116,14,4,-,5,29,13,28
"S00140571",101,4,3,1,4,8,3,28
"S00140572",125,8,1,-,5,12,8,21
"S00140573",120,15,5,1,5,18,16,30
"S00140574",80,1,1,-,5,6,7,16
"S00140575",118,7,5,2,9,12,9,29
"S00140576",126,4,6,-,6,2,5,20
"S00140577",137,9,4,5,10,15,10,27
"S00140578",105,12,-,-,4,7,9,24
"S00140579",188,17,7,1,12,13,8,43
"S00140580",95,6,-,-,8,4,6,15
"S00140581",156,21,3,-,4,15,5,42
"S00140582",103,13,3,-,5,18,14,29
"S00140583",109,5,2,-,5,3,7,25
"S00140584",88,9,3,-,-,4,5,16
"S00140585",105,6,2,-,7,13,7,16
"S00140586",85,5,1,-,3,8,5,15
"S00140587",85,8,6,2,2,13,15,19
"S00140588",116,9,2,-,9,20,15,37
"S00140589",119,9,-,-,4,11,9,29
"S00140590",84,13,1,-,9,9,8,24
"S00140591",107,22,5,-,4,10,8,23
"S00140592",131,9,4,1,8,12,13,27
"S00140593",171,18,6,-,5,14,8,33
"S00140594",130,22,7,1,3,20,6,30
"S00140595",123,17,4,-,12,16,10,42
"S00140596",122,9,3,-,2,8,12,26
"S00140597",134,14,4,2,3,8,11,21
"S00140598",71,6,2,-,4,4,8,14
"S00140599",166,20,5,-,5,12,12,50
"S00140600",132,23,3,-,8,14,9,31
"S00140601",195,15,8,-,3,17,8,49
"S00140602",104,11,3,-,4,8,8,22
"S00140603",158,17,6,-,6,12,6,37
"S00140604",113,12,5,-,3,9,7,33
"S00140605",88,11,2,-,4,10,7,19
"S00140606",181,17,7,-,7,17,14,39
"S00140607",133,13,2,1,2,13,13,32
"S00140608",117,18,5,-,1,8,8,26
"S00140609",179,19,3,2,6,15,16,45
"S00140610",105,7,4,-,2,9,8,19
"S00140611",75,8,1,-,-,3,6,12
"S00140612",152,16,9,-,4,19,12,39
"S00140613",128,16,2,-,7,12,9,34
"S00140614",118,8,-,-,7,9,14,28
"S00140615",158,18,6,-,7,13,16,23
"S00140616",113,8,2,-,7,7,17,21
"S00140617",125,10,3,-,10,17,17,20
"S00140618",71,5,4,-,4,18,9,12
"S00140619",116,1,2,2,13,14,14,30
"S00140620",126,6,2,2,9,12,9,24
"S00140621",109,5,1,-,3,11,11,31
"S00140622",144,6,-,-,9,13,21,36
"S00140623",444,12,1,1,20,20,22,41
"S00140624",92,2,1,-,4,13,14,20
"S00140625",117,14,4,1,9,11,5,26
"S00140626",78,9,4,-,3,14,2,13
"S00140627",148,10,5,-,6,11,18,37
"S00140628",146,12,1,1,9,8,16,23
"S00140629",134,7,7,-,9,7,10,33
"S00140630",124,16,4,2,8,12,6,25
"S00140631",93,4,2,-,3,6,5,20
"S00140632",146,10,4,1,9,13,6,39
"S00140633",114,2,2,-,9,9,28,30
"S00140634",74,2,-,-,2,5,3,13
"S00140635",115,16,1,-,5,6,7,30
"S00140636",138,11,5,-,4,15,11,37
"S00140637",129,23,4,-,5,27,8,46
"S00140638",104,8,1,3,10,11,16,30
"S00140639",88,6,4,-,8,10,13,25
"S00140640",141,17,6,-,8,18,13,38
"S00140641",88,1,2,-,4,7,13,13
"S00140642",71,3,2,-,3,4,8,16
"S00140643",112,9,2,-,4,11,6,18
"S00140644",120,3,3,-,9,17,19,25
"S00140645",86,7,3,-,4,7,8,29
"S00140646",100,2,1,-,3,7,3,28
"S00140647",81,7,3,-,5,6,10,16
"S00140648",113,11,7,-,8,12,13,40
"S00140649",91,16,4,-,6,22,18,31
"S00140650",75,1,3,-,4,5,5,12
"S00140651",158,14,7,-,9,10,16,31
"S00140652",106,11,7,-,6,10,10,26
"S00140653",116,10,4,-,5,7,13,25
"S00140654",114,7,3,-,5,6,8,20
"S00140655",104,5,6,-,14,18,21,30
"S00140656",99,10,4,-,6,7,8,29
"S00140657",114,10,2,-,1,10,9,25
"S00140658",75,10,-,-,3,6,4,15
"S00140659",105,10,3,-,6,7,7,26
"S00140660",143,19,1,-,5,8,6,36
"S00140661",163,13,4,1,3,10,9,30
"S00140662",146,20,2,-,2,20,11,36
"S00140663",82,8,4,-,6,17,13,29
"S00140664",93,5,2,-,8,1,7,24
"S00140665",134,10,4,-,14,17,17,39
"S00140666",90,15,4,1,6,12,14,24
"S00140667",129,8,3,-,6,10,14,29
"S00140668",115,11,-,-,5,10,7,24
"S00140669",101,6,1,-,9,13,8,20
"S00140670",116,12,1,-,4,8,3,27
"S00140671",78,3,3,2,5,7,12,18
"S00140672",134,11,7,2,3,16,14,48
"S00140673",113,19,8,-,12,21,17,29
"S00140674",74,9,-,-,4,5,1,14
"S00140675",100,8,5,-,2,7,4,38
"S00140676",77,8,2,-,3,2,7,13
"S00140677",130,12,4,-,7,14,24,27
"S00140678",175,10,1,1,13,13,10,22
"S00140679",61,4,1,-,5,4,8,19
"S00140680",114,6,-,-,5,9,10,22
"S00140681",109,7,-,1,3,5,8,23
"S00140682",74,11,2,-,1,1,4,21
"S00140683",62,6,1,-,1,1,4,15
"S00140684",107,9,1,-,5,8,5,24
"S00140685",156,8,6,-,13,19,10,39
"S00140686",118,15,1,-,4,12,7,42
"S00140687",118,3,3,-,2,6,8,22
"S00140688",125,13,4,-,3,8,7,27
"S00140689",178,19,3,-,9,15,8,32
"S00140690",125,12,2,1,4,13,8,33
"S00140691",76,5,2,-,-,6,3,15
"S00140692",105,9,2,-,2,6,10,29
"S00140693",90,5,1,-,4,5,16,18
"S00140694",93,9,2,-,6,22,20,29
"S00140695",66,9,2,-,3,5,3,26
"S00140696",101,5,2,-,1,3,2,16
"S00140697",96,15,2,-,7,17,12,26
"S00140698",124,14,8,-,-,15,3,29
"S00140699",135,17,2,-,3,14,7,36
"S00140700",156,16,3,-,3,11,6,45
"S00140701",170,16,3,-,1,18,5,44
"S00140702",118,9,5,-,9,5,3,29
"S00140703",111,4,3,-,3,6,3,14
"S00140704",75,7,2,-,-,6,4,21
"S00140705",125,15,4,1,16,26,25,41
"S00140706",147,17,2,-,4,11,4,30
"S00140707",138,12,6,-,5,7,9,33
"S00140708",104,13,6,-,-,8,10,28
"S00140709",89,1,-,1,10,6,10,12
"S00140710",96,11,3,-,4,3,3,20
"S00140711",184,4,4,-,7,3,8,27
"S00140712",136,11,2,-,2,11,4,29
"S00140713",94,11,4,2,3,15,4,29
"S00140714",108,17,-,-,4,6,3,29
"S00140715",168,16,5,-,6,19,22,49
"S00140716",96,5,-,-,3,5,8,23
"S00140717",130,13,1,-,3,7,4,29
"S00140718",142,18,3,-,5,10,6,26
"S00140719",178,12,2,-,3,10,8,41
"S00140720",62,5,-,-,-,9,-,14
"S00140721",98,11,8,-,10,15,17,36
"S00140722",135,8,2,-,4,4,7,13
"S00140723",133,15,6,1,2,18,8,40
"S00140724",60,7,2,-,1,10,9,20
"S00140725",240,21,9,1,12,22,23,37
"S00140726",116,8,1,-,2,8,6,33
"S00140727",126,15,-,-,5,10,17,34
"S00140728",135,4,-,-,4,6,11,21
"S00140729",111,6,-,-,7,6,7,18
"S00140730",107,10,-,1,8,4,6,24
"S00140731",68,12,1,-,-,6,2,11
"S00140732",102,12,9,1,-,22,12,34
"S00140733",94,7,2,-,8,11,9,32
"S00140734",111,12,3,-,3,19,6,36
"S00140735",160,17,7,1,10,9,9,38
"S00140736",70,9,3,-,4,11,9,22
"S00140737",294,6,6,-,30,6,40,33
"S00140738",79,10,5,-,1,9,8,18
"S00140739",101,12,-,-,2,7,7,36
"S00140740",80,9,3,1,1,5,10,16
"S00140741",61,8,-,-,6,6,4,11
"S00140742",97,10,4,-,1,4,5,32
"S00140743",103,2,5,-,6,13,21,27
"S00140744",158,17,3,-,4,14,11,37
"S00140745",134,15,9,-,4,14,10,28
"S00140746",98,8,2,-,-,8,7,25
"S00140747",139,2,1,2,10,14,19,26
"S00140748",134,7,3,2,6,7,6,27
"S00140749",107,9,-,-,1,7,3,25
"S00140750",149,8,2,2,6,18,16,40
"S00140751",128,4,2,-,10,16,17,31
"S00140752",69,8,-,-,1,5,5,22
"S00140753",94,8,2,-,5,5,7,23
"S00140754",92,2,-,-,5,2,7,14
"S00140755",94,-,1,-,9,11,14,22
"S00140756",62,10,1,-,1,4,4,23
"S00140757",171,5,5,-,12,22,20,44
"S00140758",127,14,2,2,10,6,9,23
"S00140759",85,9,4,-,-,13,10,22
"S00140760",123,-,1,-,4,5,8,18
"S00140761",80,8,3,-,2,15,11,23
"S00140762",109,9,5,-,-,9,9,27
"S00140763",73,11,4,-,3,11,5,20
"S00140764",125,21,15,1,3,63,28,61
"S00140765",112,6,1,-,3,12,5,28
"S00140766",113,13,5,1,5,15,5,36
"S00140767",119,5,-,-,5,5,9,20
"S00140768",97,11,2,-,3,11,10,24
"S00140769",117,16,9,1,4,19,7,30
"S00140770",95,8,-,-,-,5,6,21
"S00140771",85,20,6,-,-,21,4,18
"S00140772",109,18,9,1,1,20,7,26
"S00140773",104,6,1,-,2,11,6,23
"S00140774",123,2,2,-,9,2,7,10
"S00140775",100,9,5,-,1,15,12,31
"S00140776",100,7,3,-,1,15,22,31
"S00140777",112,14,7,-,7,14,18,29
"S00140778",109,10,6,-,5,10,16,21
"S00140779",83,6,-,-,2,17,15,21
"S00140780",107,9,2,-,6,9,17,24
"S00140781",84,8,4,-,2,5,13,18
"S00140782",98,13,5,1,2,10,4,24
"S00140783",112,9,7,-,6,12,8,25
"S00140784",87,4,5,-,4,6,13,17
"S00140785",120,16,10,2,8,26,19,30
"S00140786",132,4,2,1,8,10,12,27
"S00140787",87,9,3,-,3,7,5,15
"S00140788",75,9,2,-,9,12,11,22
"S00140789",71,7,2,1,4,5,6,16
"S00140790",82,7,-,-,5,16,11,35
"S00140791",63,10,7,2,14,19,11,23
"S00140792",107,8,2,1,5,12,27,29
"S00140793",63,1,2,-,3,5,12,17
"S00140794",143,8,-,-,14,21,28,31
"S00140795",158,6,-,1,21,17,38,40
"S00140796",90,8,-,-,3,11,11,27
"S00140797",126,6,3,-,7,15,21,24
"S00140798",83,8,2,-,5,12,13,25
"S00140799",129,11,4,-,3,14,14,32
"S00140800",106,11,2,-,5,15,15,30
"S00140801",85,11,5,-,6,11,9,33
"S00140802",105,4,3,-,9,9,7,28
"S00140803",65,4,2,2,12,12,14,20
"S00140804",81,5,1,-,1,5,8,16
"S00140805",106,7,1,-,9,16,18,20
"S00140806",67,4,-,-,5,5,17,11
"S00140807",146,4,1,-,5,5,7,18
"S00140808",82,8,10,-,9,13,10,24
"S00140809",107,7,3,-,5,10,16,26
"S00140810",81,1,3,-,2,6,12,18
"S00140811",103,11,2,-,4,11,11,19
"S00140812",95,6,-,-,4,15,17,15
"S00140813",98,2,-,1,8,6,14,12
"S00140814",85,9,1,-,3,4,6,21
"S00140815",87,12,2,1,2,7,13,28
"S00140816",72,12,4,-,-,21,6,16
"S00140817",74,17,2,1,5,8,10,30
"S00140818",77,7,3,-,2,8,2,17
"S00140819",136,8,2,1,7,8,8,23
"S00140820",163,20,6,2,7,18,9,36
"S00140821",145,9,2,-,5,13,14,33
"S00140822",65,7,3,-,5,11,13,21
"S00140823",97,8,2,-,6,12,4,24
"S00140824",79,9,1,-,1,3,6,15
"S00140825",66,7,1,-,4,7,7,25
"S00140826",194,14,3,-,7,8,18,37
"S00140827",87,5,1,1,3,4,7,15
"S00140828",160,7,-,-,6,7,12,30
"S00140829",154,2,-,-,10,7,18,11
"S00140830",115,8,-,-,5,6,10,26
"S00140831",114,11,-,-,-,10,8,29
"S00140832",130,7,2,1,6,4,8,15
"S00140833",142,1,2,-,9,5,9,18
"S00140834",161,15,4,-,12,24,24,51
"S00140835",99,-,-,-,6,1,6,9
"S00140836",79,7,-,-,1,4,1,21
"S00140837",159,18,3,-,12,17,13,45
"S00140838",71,6,-,1,5,8,13,20
"S00140839",101,20,5,-,1,3,8,29
"S00140840",162,8,2,-,5,16,15,31
"S00140841",76,4,1,-,1,7,6,17
"S00140842",139,15,2,-,3,8,11,36
"S00140843",95,10,2,2,6,7,12,16
"S00140844",61,2,1,-,-,6,8,19
"S00140845",119,9,4,-,2,10,9,24
"S00140846",114,6,2,-,6,19,17,28
"S00140847",111,10,1,-,4,9,6,25
"S00140848",87,7,4,-,7,6,11,22
"S00140849",88,5,-,-,8,7,15,21
"S00140850",145,14,1,-,4,12,8,33
"S00140851",74,4,3,-,3,11,11,26
"S00140852",125,14,2,-,6,9,10,29
"S00140853",93,13,4,2,3,16,10,29
"S00140854",93,14,3,1,4,14,15,31
"S00140855",88,10,1,-,4,6,2,11
"S00140856",91,14,4,2,5,11,8,20
"S00140857",121,10,1,2,16,13,12,19
"S00140858",166,9,2,2,19,19,28,25
"S00140859",86,6,-,-,5,9,12,26
"S00140860",134,18,6,-,3,19,12,38
"S00140861",106,14,1,-,-,11,11,36
"S00140862",149,13,6,-,10,14,12,32
"S00140863",186,20,2,1,15,22,16,68
"S00140864",162,19,4,1,18,25,18,57
"S00140865",88,16,3,-,2,6,8,21
"S00140866",71,8,2,-,4,9,12,18
"S00140867",115,10,5,-,3,16,7,32
"S00140868",70,9,4,-,4,9,6,14
"S00140869",77,7,-,-,4,5,4,19
"S00140870",145,16,10,-,3,18,10,44
"S00140871",76,6,-,-,2,11,1,17
"S00140872",82,8,5,-,2,13,6,29
"S00140873",70,7,3,-,5,11,9,21
"S00140874",81,10,5,-,3,4,5,13
"S00140875",88,5,2,-,6,7,6,11
"S00140876",80,17,9,1,3,22,8,24
"S00140877",105,13,3,-,4,16,18,27
"S00140878",94,6,1,-,5,5,3,21
"S00140879",74,6,3,-,10,6,13,8
"S00140880",67,10,3,1,2,15,15,26
"S00140881",60,1,-,-,3,5,2,17
"S00140882",80,7,2,1,1,9,18,26
"S00140883",103,7,4,-,2,8,-,26
"S00140884",101,10,1,-,2,5,-,21
"S00140885",153,9,-,-,6,6,8,30
"S00140886",155,11,5,2,12,16,17,37
"S00140887",104,7,-,-,7,7,18,37
"S00140888",86,8,3,2,4,10,11,23
"S00140889",136,15,10,4,13,13,20,29
"S00140890",89,10,3,-,6,9,10,17
"S00140891",75,5,2,-,10,11,15,21
"S00140892",132,13,8,-,6,21,16,43
"S00140893",77,5,3,-,1,11,9,23
"S00140894",100,12,4,1,3,18,11,27
"S00140895",93,6,3,-,-,10,12,26
"S00140896",100,2,1,-,3,7,10,17
"S00140897",108,8,5,1,4,8,4,18
"S00140898",83,15,3,1,7,16,22,18
"S00140899",63,6,-,-,3,6,2,13
"S00140900",122,5,6,1,2,15,20,31
"S00140901",149,23,5,-,3,12,5,42
"S00140902",154,30,15,3,6,47,39,63
"S00140903",156,15,5,-,4,20,17,33
"S00140904",70,7,1,-,3,6,5,17
"S00140905",109,10,3,-,8,15,9,29
"S00140906",103,8,2,1,4,8,5,21
"S00140907",87,10,2,-,6,3,9,21
"S00140908",145,7,4,-,2,5,8,22
"S00140909",83,4,2,-,6,4,6,31
"S00140910",88,9,-,-,6,12,13,23
"S00140911",108,10,3,-,3,14,11,36
"S00140912",113,10,4,-,6,9,11,30
"S00140913",79,6,3,-,8,15,12,22
"S00140914",109,19,-,-,2,10,10,35
"S00140915",139,10,-,-,1,10,7,21
"S00140916",90,11,5,1,6,12,16,24
"S00140917",120,7,-,-,13,23,31,23
"S00140918",102,3,5,-,8,10,12,20
"S00140919",96,5,1,-,13,10,30,26
"S00140920",113,21,5,-,5,28,12,45
"S00140921",102,7,1,-,1,6,4,18
"S00140922",133,23,6,2,6,24,13,39
"S00140923",124,6,4,1,17,12,25,28
"S00140924",131,22,12,-,15,27,22,37
"S00140925",123,16,1,1,4,16,6,29
"S00140926",133,9,-,-,2,7,2,27
"S00140927",73,8,1,1,19,10,12,11
"S00140928",118,13,2,-,4,14,9,32
"S00140929",103,15,2,-,4,11,5,37
"S00140930",97,5,1,-,12,11,14,33
"S00140931",88,5,5,1,5,10,11,25
"S00140932",111,3,1,-,9,13,20,17
"S00140933",93,8,1,-,6,9,7,25
"S00140934",122,13,2,-,8,18,18,27
"S00140935",121,11,3,1,7,12,15,28
"S00140936",65,3,2,-,6,6,5,22
"S00140937",101,9,4,1,10,8,9,27
"S00140938",63,9,3,-,7,8,18,12
"S00140939",139,11,5,-,3,12,8,29
"S00140940",100,6,8,-,3,21,18,24
"S00140941",68,11,6,2,8,11,14,17
"S00140942",94,5,7,-,8,11,18,40
"S00140943",72,9,2,-,3,7,7,21
"S00140944",70,9,5,-,10,19,16,22
"S00140945",101,4,1,-,6,11,14,25
"S00140946",131,10,4,-,5,11,14,28
"S00140947",74,3,1,-,4,10,18,15
"S00140948",75,5,3,-,-,9,10,11
"S00140949",91,6,1,-,10,14,19,21
"S00140950",80,10,3,-,5,13,14,19
"S00140951",139,10,6,2,11,16,9,35
"S00140952",102,4,4,-,8,11,11,25
"S00140953",62,9,2,-,4,8,10,16
"S00140954",110,11,2,-,6,14,11,17
"S00140955",92,7,3,-,9,15,13,23
"S00140956",125,15,3,-,6,9,4,23
"S00140957",88,4,5,-,3,10,10,17
"S00140958",65,4,6,2,16,12,20,17
"S00140959",87,5,2,-,2,9,7,17
"S00140960",76,6,10,-,2,7,5,15
"S00140961",86,8,4,-,6,14,13,20
"S00140962",121,7,4,-,4,11,25,28
"S00140963",87,6,4,-,7,8,11,26
"S00140964",118,10,2,-,9,15,16,28
"S00140965",78,8,-,-,8,11,12,23
"S00140966",219,28,10,8,14,58,52,81
"S00140967",81,7,3,-,7,4,2,19
"S00140968",111,7,1,-,3,9,12,33
"S00140969",123,14,5,-,4,21,15,45
"S00140970",126,9,2,-,4,10,5,22
"S00140971",64,7,1,-,2,9,8,22
"S00140972",105,7,5,-,4,5,5,24
"S00140973",171,27,3,-,4,25,7,43
"S00140974",83,10,-,-,5,12,3,23
"S00140975",98,10,2,1,6,11,6,18
"S00140976",130,20,7,-,12,23,14,37
"S00140977",81,6,3,1,6,7,12,12
"S00140978",94,10,3,-,1,22,17,40
"S00140979",93,14,6,-,-,10,12,28
"S00140980",88,7,1,1,4,5,8,21
"S00140981",112,12,4,-,5,19,7,32
"S00140982",78,2,-,-,3,5,2,23
"S00140983",129,11,6,-,10,15,11,29
"S00140984",102,8,3,-,6,15,15,22
"S00140985",160,13,2,1,5,11,3,41
"S00140986",79,3,-,1,4,6,4,18
"S00140987",90,9,1,-,4,9,6,24
"S00140988",109,11,7,-,4,14,7,37
"S00140989",76,18,5,-,1,22,8,29
"S00140990",95,5,3,-,1,4,3,22
"S00140991",137,14,4,-,10,21,17,33
"S00140992",87,10,7,2,1,9,2,18
"S00140993",90,8,1,1,5,9,14,21
"S00140994",81,7,3,-,6,7,6,26
"S00140995",86,7,1,-,3,12,4,21
"S00140996",97,7,3,-,1,10,11,21
"S00140997",91,7,2,-,4,6,1,19
"S00140998",146,10,4,1,4,10,7,30
"S00140999",65,7,-,-,2,1,3,9
"S00141000",90,12,4,-,5,15,15,20
"S00141001",94,14,1,-,-,8,1,18
"S00141002",89,12,8,1,4,13,7,20
"S00141003",103,11,5,-,2,13,8,26
"S00141004",98,2,2,-,-,7,2,14
"S00141005",91,2,5,-,3,14,8,16
"S00141006",93,8,3,1,3,10,4,26
"S00141007",80,13,1,-,5,23,12,14
"S00141008",80,7,5,-,2,8,6,22
"S00141009",65,7,-,-,3,11,6,22
"S00141010",87,15,4,1,3,16,11,28
"S00141011",62,4,-,-,4,10,7,17
"S00141012",111,7,3,-,4,8,14,26
"S00141013",93,6,1,-,7,-,10,18
"S00141014",111,15,2,-,1,15,5,25
"S00141015",79,8,-,-,6,14,5,26
"S00141016",129,11,6,2,9,15,16,44
"S00141017",125,9,3,-,4,8,6,37
"S00141018",85,9,4,-,3,4,10,17
"S00141019",161,30,10,2,-,36,14,55
"S00141020",141,10,5,-,6,10,5,26
"S00141021",76,17,2,1,2,4,2,22
"S00141022",156,15,4,-,5,18,8,37
"S00141023",122,21,6,1,7,9,5,38
"S00141024",106,13,6,-,12,12,8,24
"S00141025",88,4,-,-,-,9,1,23
"S00141026",83,9,1,-,5,7,1,18
"S00141027",107,10,4,-,1,8,13,22
"S00141028",83,12,-,-,2,12,10,31
"S00141029",85,6,-,-,1,8,5,18
"S00141030",77,8,3,-,-,9,4,21
"S00141031",91,13,4,3,3,24,7,37
"S00141032",121,11,6,-,-,12,7,27
"S00141033",124,13,3,-,2,12,8,37
"S00141034",114,14,2,-,1,16,9,39
"S00141035",91,12,6,-,4,13,12,31
"S00141036",93,11,3,-,5,15,6,19
"S00141037",75,8,7,-,5,20,18,26
"S00141038",61,2,3,-,4,9,11,20
"S00141039",72,9,-,-,2,19,4,21
"S00141040",167,2,5,2,12,10,15,31
"S00141041",81,12,6,-,5,18,12,23
"S00141042",108,4,-,-,8,13,17,19
"S00141043",62,9,1,1,-,22,20,25
"S00141044",68,5,1,-,4,14,9,23
"S00141045",70,3,-,1,5,11,8,12
"S00141046",86,6,1,-,6,10,20,27
"S00141047",108,12,1,-,3,8,11,28
"S00141048",146,13,2,1,10,8,12,33
"S00141049",77,6,5,-,7,13,21,19
"S00141050",98,10,2,-,5,11,14,19
"S00141051",126,15,6,-,2,18,8,27
"S00141052",104,4,1,-,2,9,11,18
"S00141053",90,4,3,-,9,16,26,29
"S00141054",67,4,3,-,8,17,20,22
"S00141055",133,12,9,-,11,13,10,38
"S00141056",88,8,3,-,8,14,19,26
"S00141057",125,19,11,1,3,32,15,43
"S00141058",86,5,4,3,5,23,25,28
"S00141059",106,12,4,-,9,15,7,28
