Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV602 - Economic activity of Household Reference Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Household Reference Persons aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Household Reference Persons aged 16 and over,Economically Active (full-time students) - Total,Economically Active (full-time students) - Employee - Total,Economically Active (full-time students) - Employee - Part-time,Economically Active (full-time students) - Employee - Full-time,Economically Active (full-time students) - Self-employed with employees - Total,Economically Active (full-time students) - Self-employed with employees - Part-time,Economically Active (full-time students) - Self-employed with employees - Full-time,Economically Active (full-time students) - Self-employed without employees - Total,Economically Active (full-time students) - Self-employed without employees - Part-time,Economically Active (full-time students) - Self-employed without employees - Full-time,Economically Active (full-time students) - Unemployed - Available for work,Economically Active Full-time student - Total,Economically Active Full-time student - Employee - Total,Economically Active Full-time student - Employee - Part-time,Economically Active full-time student - Employee - Full-time,Economically Active Full-time student - Self-employed with employees - Total,Economically Active Full-time student - Self-employed with employees - Part-time,Economically Active Full-time student - Self-employed with employees - Full-time,Economically Active Full-time student - Self-employed without employees - Total,Economically Active Full-time student - Self-employed without employees - Part-time,Economically Active Full-time student - Self-employed without employees - Full-time,Economically Active Full-time student - Unemployed - Available for work,Economically inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00136375,70,43,37,7,31,2,-,2,4,1,3,1,-,-,-,-,-,-,-,-,-,-,-,24,15,-,5,3,1
S00136376,55,40,35,5,30,2,-,2,3,-,3,1,3,2,2,-,-,-,-,-,-,-,1,12,11,-,-,1,-
S00136377,45,33,33,7,26,-,-,-,-,-,-,-,3,2,2,-,-,-,-,-,-,-,1,9,2,5,-,2,-
S00136378,50,32,27,4,23,-,-,-,4,1,3,2,6,6,6,-,-,-,-,-,-,-,-,15,2,2,1,4,-
S00136379,47,34,29,3,27,-,-,-,-,-,-,4,11,9,9,-,-,-,-,-,-,-,2,8,3,2,-,-,-
S00136380,59,47,37,1,39,-,-,-,7,3,3,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,2,-,-
S00136381,51,30,25,5,20,-,-,-,2,-,2,3,11,9,9,-,-,-,-,1,-,1,1,10,2,4,2,3,-
S00136382,41,28,23,4,19,1,-,1,3,-,3,1,1,1,-,1,-,-,-,-,-,-,-,12,7,-,-,-,1
S00136383,42,26,24,2,22,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-
S00136384,39,17,13,1,12,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,22,13,-,2,5,2
S00136385,74,51,44,11,33,-,-,-,3,2,2,1,6,1,1,-,-,-,-,-,-,-,2,17,5,3,1,5,3
S00136386,47,22,18,7,11,-,-,-,8,2,4,2,-,-,-,-,-,-,-,-,-,-,-,22,18,-,-,2,3
S00136387,81,49,45,13,32,1,-,1,1,-,1,3,8,8,5,3,-,-,-,-,-,-,-,24,8,3,-,10,1
S00136388,66,44,33,6,27,1,-,1,3,1,4,3,9,9,5,2,-,-,-,-,-,-,-,20,8,2,1,5,3
S00136389,64,47,41,1,40,3,1,1,3,-,3,-,4,4,4,-,-,-,-,-,-,-,-,15,13,1,-,-,-
S00136390,77,36,31,5,26,-,-,-,1,-,1,4,10,8,6,2,-,-,-,-,-,-,3,29,15,4,1,8,1
S00136391,45,38,30,-,30,1,-,1,4,2,2,-,3,2,-,-,-,-,-,-,-,-,1,4,1,-,-,2,1
S00136392,58,44,38,2,36,-,-,-,5,-,4,-,4,1,1,-,-,-,-,-,-,-,3,11,6,4,1,-,-
S00136393,52,3,4,-,4,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,47,40,-,1,6,-
S00136394,47,25,21,3,17,2,-,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,22,14,-,3,1,4
S00136395,77,59,52,8,40,3,-,3,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,18,20,-,-,-,1
S00136396,50,22,21,1,20,-,-,-,1,-,1,-,7,7,6,1,-,-,-,-,-,-,-,21,5,7,-,12,1
S00136397,55,39,33,4,29,3,-,3,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,16,10,-,1,2,1
S00136398,59,45,39,-,38,1,-,1,6,3,2,-,7,6,4,2,-,-,-,-,-,-,1,7,6,2,-,-,-
S00136399,58,25,22,8,14,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,-,32,22,-,1,8,2
S00136400,33,23,17,-,17,2,-,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,-,-
S00136401,66,34,26,5,21,-,-,-,2,-,1,9,5,5,4,1,-,-,-,-,-,-,-,24,12,5,1,8,1
S00136402,40,16,12,1,11,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,24,22,1,-,-,-
S00136403,52,49,43,-,43,2,-,2,3,2,2,1,1,-,-,-,-,-,-,1,1,-,-,2,2,-,-,-,-
S00136404,34,23,15,2,17,-,-,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,11,6,-,1,4,-
S00136405,51,22,21,3,16,-,-,-,-,-,-,-,16,9,8,2,-,-,-,-,-,-,7,13,-,3,-,8,2
S00136406,59,37,28,3,26,-,-,-,1,1,-,8,10,7,7,-,-,-,-,-,-,-,2,12,-,4,3,2,1
S00136407,78,53,42,7,33,-,-,-,3,1,-,7,5,5,2,3,-,-,-,-,-,-,-,20,4,4,-,11,7
S00136408,82,62,55,3,51,2,-,2,4,1,3,1,2,2,2,-,-,-,-,-,-,-,-,22,14,5,-,1,2
S00136409,70,40,32,7,26,-,-,-,7,2,5,1,-,-,-,-,-,-,-,-,-,-,-,30,8,-,4,19,1
S00136410,55,55,55,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
S00136411,57,44,37,4,33,-,-,-,5,2,4,2,7,7,4,3,-,-,-,-,-,-,-,6,2,1,-,-,3
S00136412,44,26,21,2,22,1,-,1,1,-,1,3,7,7,4,2,-,-,-,-,-,-,-,11,7,6,-,1,-
S00136413,53,34,31,2,28,-,-,-,3,-,3,-,9,8,6,2,-,-,-,-,-,-,-,11,2,8,-,-,1
S00136414,53,41,36,5,31,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,10,7,1,1,1,-
S00136415,56,35,32,2,31,-,-,-,2,1,1,1,3,3,1,1,-,-,-,-,-,-,-,18,16,1,-,-,1
S00136416,62,36,31,6,25,1,-,1,1,1,3,-,1,-,-,-,-,-,-,-,-,-,1,25,22,-,-,4,1
S00136417,47,36,30,2,28,2,-,2,5,2,2,-,2,2,2,-,-,-,-,-,-,-,-,9,5,2,-,1,1
S00136418,46,35,26,2,27,-,-,-,4,1,3,1,1,1,1,-,-,-,-,-,-,-,-,10,5,-,5,-,-
S00136419,56,32,30,3,27,-,-,-,2,-,2,-,2,2,2,-,-,-,-,-,-,-,-,23,24,-,1,1,1
S00136420,49,15,13,2,12,-,-,-,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,33,33,-,-,-,-
S00136421,48,28,25,12,12,-,-,-,1,-,1,1,3,2,2,-,-,-,-,2,2,-,-,18,8,3,3,4,-
S00136422,76,57,48,7,41,2,-,2,6,-,6,3,-,-,-,-,-,-,-,-,-,-,-,19,12,1,1,3,2
S00136423,43,31,23,1,22,1,-,1,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,14,8,-,-,-,-
S00136424,58,33,29,7,22,2,-,2,2,-,2,1,4,4,4,-,-,-,-,-,-,-,-,21,7,-,6,2,4
S00136425,74,52,43,4,41,-,-,-,8,2,3,3,11,6,4,3,-,-,-,-,-,-,5,11,1,5,2,3,2
S00136426,67,48,44,4,40,-,-,-,3,1,2,1,13,2,2,-,-,-,-,2,2,-,4,7,-,5,-,-,2
S00136427,44,35,29,3,30,1,-,1,4,3,2,1,1,1,1,-,-,-,-,-,-,-,-,12,11,1,2,-,1
S00136428,53,38,29,7,22,-,-,-,4,2,2,5,4,2,2,2,-,-,-,-,-,-,-,11,-,-,1,5,5
S00136429,72,51,43,1,40,1,-,1,5,1,4,-,-,2,2,-,-,-,-,-,-,-,1,19,16,2,-,-,-
S00136430,68,54,48,4,44,1,-,1,-,-,-,5,2,2,2,-,-,-,-,-,-,-,-,12,1,6,-,4,-
S00136431,73,51,44,8,37,1,-,1,3,3,-,1,4,4,4,-,-,-,-,-,-,-,-,23,21,1,-,-,-
S00136432,81,62,54,2,53,1,1,-,5,-,5,4,10,10,10,-,-,-,-,-,-,-,-,8,3,5,-,-,1
S00136433,49,30,27,2,25,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,1,-
S00136434,55,27,25,4,21,1,-,1,4,2,2,1,5,5,2,4,-,-,-,-,-,-,-,18,4,9,-,-,6
S00136435,55,11,9,5,4,1,-,1,3,3,2,-,2,2,2,-,-,-,-,-,-,-,1,40,37,-,-,2,1
S00136436,68,32,27,9,19,-,-,-,2,1,-,3,-,-,-,-,-,-,-,-,-,-,-,35,12,3,5,12,3
S00136437,82,63,56,3,50,5,-,5,6,3,2,-,5,3,3,-,1,1,-,-,-,-,-,14,5,7,1,-,1
S00136438,73,43,37,4,34,-,-,-,4,1,3,2,21,17,14,3,-,-,-,-,-,-,5,6,3,2,-,2,2
S00136439,96,62,49,11,38,6,3,3,4,1,3,6,4,1,1,-,-,-,-,4,-,1,-,30,13,2,5,8,2
S00136440,49,31,31,-,29,-,-,-,-,-,-,-,8,7,7,-,-,-,-,-,-,-,1,10,-,6,-,-,3
S00136441,43,18,17,6,11,-,-,-,6,-,3,-,-,-,-,-,-,-,-,-,-,-,-,21,18,-,-,-,2
S00136442,71,54,49,4,44,1,-,1,4,4,2,-,5,4,4,-,-,-,-,1,1,-,-,12,2,3,4,1,2
S00136443,51,16,10,5,8,2,-,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,38,36,-,-,2,-
S00136444,63,31,24,5,19,-,-,-,2,2,-,2,1,-,-,-,-,-,-,-,-,-,1,31,5,1,-,20,5
S00136445,75,52,42,6,34,2,-,2,5,3,2,5,8,6,6,-,-,-,-,-,-,-,1,15,2,5,-,5,3
S00136446,48,23,21,1,20,-,-,-,1,1,-,-,1,1,-,1,-,-,-,-,-,-,-,24,20,-,1,2,2
S00136447,64,52,45,4,41,-,-,-,2,1,1,3,3,3,3,-,-,-,-,-,-,-,-,15,9,-,1,4,-
S00136448,54,4,3,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,51,48,-,-,2,2
S00136449,63,51,45,8,36,-,-,-,5,1,4,2,-,-,-,-,-,-,-,-,-,-,-,12,8,-,1,3,-
S00136450,42,22,21,3,17,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,20,12,4,-,4,1
S00136451,53,40,35,2,31,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-
S00136452,35,27,27,5,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,1,-,1,-
S00136453,60,17,12,2,10,3,-,3,-,-,-,1,2,2,2,-,-,-,-,-,-,-,-,39,21,-,-,11,4
S00136454,49,34,28,6,22,1,1,-,3,-,3,-,7,4,5,1,-,-,-,-,-,-,-,7,3,4,-,1,-
S00136455,53,33,23,2,21,3,-,-,7,1,5,-,1,1,1,-,-,-,-,-,-,-,-,19,21,1,-,-,-
S00136456,48,33,27,8,21,1,-,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,16,13,-,2,-,-
S00136457,66,51,43,3,40,-,-,-,7,4,3,1,7,5,4,-,1,-,1,2,2,-,-,11,2,5,-,1,-
S00136458,66,50,46,5,40,-,-,-,4,2,1,4,3,1,1,-,-,-,-,-,-,-,2,10,2,5,-,2,-
S00136459,47,41,34,1,33,-,-,-,4,-,3,4,3,3,2,1,-,-,-,-,-,-,-,3,2,1,-,-,-
S00136460,52,43,40,8,32,-,-,-,1,1,-,1,7,7,7,-,-,-,-,-,-,-,-,2,1,1,-,-,-
S00136461,70,39,34,4,30,-,-,-,4,1,3,1,1,1,1,-,-,-,-,-,-,-,-,36,30,1,-,-,-
S00136462,40,24,18,4,14,-,-,-,6,3,4,-,1,-,-,-,-,-,-,-,-,-,1,19,13,1,-,1,-
S00136463,62,55,48,2,46,3,1,2,5,1,4,-,2,-,-,-,-,-,-,2,2,-,-,4,4,-,-,-,-
S00136464,52,39,34,4,30,-,-,-,4,2,-,1,3,2,1,1,-,-,-,-,-,-,-,13,8,1,-,4,-
S00136465,40,21,21,4,17,-,-,-,3,-,3,-,4,4,4,-,-,-,-,-,-,-,-,11,12,-,1,-,1
S00136466,49,32,30,1,29,-,-,-,2,-,2,-,14,11,10,1,-,-,-,1,1,-,3,3,-,1,1,-,1
S00136467,77,3,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,68,-,-,8,-
S00136468,70,44,39,4,29,1,-,1,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,26,26,1,2,-,-
S00136469,68,54,44,5,39,-,-,-,7,2,5,3,4,4,2,2,-,-,-,-,-,-,-,10,5,4,-,1,-
S00136470,67,46,39,6,34,1,-,1,5,4,3,1,2,2,1,2,-,-,-,-,-,-,-,11,5,6,-,2,-
S00136471,50,38,30,4,29,1,-,1,1,-,1,6,6,6,4,3,-,-,-,2,2,-,2,2,-,1,-,1,-
S00136472,57,34,31,4,28,-,-,-,3,2,1,-,7,10,10,-,-,-,-,-,-,-,1,15,-,15,-,-,-
S00136473,41,26,25,4,17,-,-,-,2,-,1,5,12,7,6,-,-,-,-,1,-,1,4,5,-,2,-,1,-
S00136474,65,43,36,4,32,-,-,-,4,-,4,2,9,5,5,-,-,-,-,-,-,-,1,10,2,7,-,-,-
S00136475,47,24,20,4,12,-,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,26,22,2,-,-,1
S00136476,36,25,25,2,23,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,10,9,-,-,-,-
S00136477,50,41,32,8,26,3,-,3,5,1,4,2,5,2,2,-,-,-,-,1,1,-,2,4,3,1,-,-,-
S00136478,64,31,29,4,23,-,-,-,2,-,2,-,11,11,8,3,-,-,-,-,-,-,-,22,-,18,-,-,3
S00136479,61,49,45,3,42,-,-,-,6,-,2,-,1,1,1,-,-,-,-,-,-,-,-,8,6,1,-,-,1
S00136480,78,52,47,7,37,-,-,-,4,2,1,1,9,6,6,1,-,-,-,3,3,-,2,18,6,1,1,7,2
S00136481,52,37,29,4,24,1,-,1,3,-,3,6,5,3,2,-,-,-,-,-,-,-,4,13,4,-,-,5,4
S00136482,65,48,41,6,35,1,-,1,4,-,4,2,1,1,1,-,-,-,-,-,-,-,-,16,17,1,-,-,-
S00136483,41,30,21,2,22,3,-,3,7,3,2,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-,1,-
S00136484,68,41,33,9,23,-,-,-,7,5,2,1,3,3,2,-,-,-,-,-,-,-,-,24,13,2,1,3,1
S00136485,59,44,35,3,33,2,-,2,5,1,4,1,5,5,5,-,-,-,-,-,-,-,-,14,8,-,-,-,-
S00136486,58,37,29,2,27,-,-,-,2,2,-,6,12,12,10,2,-,-,-,-,-,-,-,7,4,2,-,4,1
S00136487,48,30,25,11,14,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,1,17,10,-,1,2,1
S00136488,51,42,40,4,33,-,-,-,2,-,2,1,5,5,5,-,-,-,-,-,-,-,-,4,-,3,-,-,1
S00136489,57,36,28,4,29,1,-,1,1,-,1,3,12,12,10,1,-,-,-,-,-,-,-,10,-,5,-,-,-
S00136490,42,36,29,4,25,-,-,-,6,2,4,1,-,-,-,-,-,-,-,-,-,-,-,6,5,1,-,-,-
S00136491,48,27,20,1,18,1,-,1,3,2,4,1,-,-,-,-,-,-,-,-,-,-,-,17,12,2,2,1,-
S00136492,53,44,37,7,31,-,-,2,5,-,5,-,4,4,4,-,-,-,-,-,-,-,-,7,4,1,1,-,1
S00136493,82,61,52,13,39,2,-,-,1,-,1,2,2,-,-,-,-,-,-,2,1,1,-,22,5,3,2,8,3
S00136494,81,49,40,3,34,6,-,6,6,4,3,-,1,-,-,-,-,-,-,1,-,1,-,31,28,2,1,-,-
S00136495,43,26,22,6,21,-,-,-,2,-,2,1,5,-,-,-,-,-,-,-,-,-,4,10,7,1,-,1,1
S00136496,43,19,14,3,9,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,26,-,1,5,-
S00136497,48,36,35,6,29,-,-,-,-,-,-,1,8,8,8,-,-,-,-,-,-,-,-,2,-,-,-,-,3
S00136498,63,32,27,3,25,-,-,-,2,1,2,3,15,15,15,-,-,-,-,-,-,-,4,14,1,4,6,-,-
S00136499,54,43,32,-,32,2,-,2,7,-,6,2,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-
S00136500,67,51,45,4,41,-,-,-,3,-,2,3,2,-,-,-,-,-,-,1,1,-,-,14,8,1,3,-,2
S00136501,46,23,18,2,14,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,23,20,2,2,-,-
S00136502,66,41,34,1,33,3,1,2,11,1,7,-,1,-,-,-,-,-,-,-,-,-,1,23,15,2,-,5,5
S00136503,53,33,27,10,24,1,-,1,2,-,1,3,13,9,5,4,-,-,-,1,1,-,5,7,-,5,1,-,-
S00136504,37,30,23,-,22,2,-,1,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,10,9,-,1,-,-
S00136505,67,39,32,2,25,2,1,1,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,28,26,-,-,2,-
S00136506,76,52,49,7,42,-,-,-,2,1,1,1,9,8,6,-,-,-,-,-,-,-,1,15,12,3,-,-,-
S00136507,50,33,26,5,21,2,-,2,4,2,2,1,-,-,-,-,-,-,-,-,-,-,-,18,15,1,1,-,-
S00136508,74,52,46,1,43,3,-,3,1,-,1,1,7,6,2,1,-,-,-,-,-,-,1,18,12,3,-,-,-
S00136509,66,52,43,2,42,2,1,1,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,-,1
S00136510,80,46,38,7,30,-,-,-,5,1,2,-,24,18,17,2,-,-,-,-,-,-,-,14,1,9,-,3,1
S00136511,32,20,15,2,13,2,1,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-
S00136512,51,34,26,4,19,-,-,-,5,2,1,3,6,8,9,1,-,-,-,-,-,-,1,8,1,3,-,3,1
S00136513,55,39,30,2,27,4,-,4,4,4,5,-,1,-,-,-,-,-,-,1,-,1,-,15,15,-,-,-,-
S00136514,57,44,33,2,28,3,-,3,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,13,12,-,-,-,1
S00136515,58,36,33,2,31,4,-,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,22,19,-,4,1,-
S00136516,64,55,44,4,40,2,-,2,6,2,4,1,4,5,4,2,-,-,-,1,1,-,1,4,-,4,-,-,-
S00136517,36,26,20,1,19,3,-,3,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-
S00136518,106,55,50,11,36,3,-,2,-,-,-,4,7,2,2,-,-,-,-,1,1,-,1,44,19,7,5,9,4
S00136519,78,20,15,1,14,1,-,1,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,58,52,-,1,4,1
S00136520,75,44,30,4,26,6,1,8,11,6,2,-,1,1,-,1,-,-,-,-,-,-,-,26,24,-,1,1,-
S00136521,67,51,39,12,29,2,-,2,2,-,2,8,6,6,3,1,-,-,-,-,-,-,-,13,-,7,-,7,2
S00136522,59,37,34,1,31,-,-,-,3,1,2,-,2,1,1,-,1,1,-,-,-,-,-,20,16,-,3,-,1
S00136523,44,25,14,4,11,5,1,4,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,19,18,-,-,2,-
S00136524,58,40,37,4,31,-,-,-,5,1,3,-,13,12,7,3,-,-,-,-,-,-,1,5,2,-,1,-,-
S00136525,65,57,45,5,39,-,-,-,5,2,3,4,1,1,1,-,-,-,-,-,-,-,-,14,4,3,-,7,1
S00136526,41,29,26,4,23,-,-,-,3,1,4,-,10,6,5,1,-,-,-,1,1,-,1,4,1,2,1,-,1
S00136527,73,60,53,11,45,-,-,-,3,-,3,3,4,4,4,-,-,-,-,-,-,-,-,10,8,3,-,1,-
S00136528,42,32,31,2,28,-,-,-,2,-,2,-,6,6,5,2,-,-,-,-,-,-,-,2,1,-,-,2,2
S00136529,35,23,18,1,17,4,-,4,2,-,2,-,1,1,-,1,-,-,-,-,-,-,-,11,11,2,-,-,1
S00136530,50,27,22,3,19,3,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,23,22,-,-,-,-
S00136531,43,16,17,2,15,-,-,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,23,18,-,-,3,1
S00136532,80,48,42,10,32,-,-,-,6,1,5,-,1,1,1,-,-,-,-,-,-,-,-,31,19,2,4,8,-
S00136533,43,30,25,-,23,4,1,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,11,12,-,-,-,2
S00136534,88,63,60,7,53,-,-,-,2,2,-,1,12,12,11,1,-,-,-,-,-,-,1,11,4,3,-,3,-
S00136535,44,29,24,5,19,1,1,-,2,2,-,3,6,5,4,-,-,-,-,-,-,-,1,12,6,2,-,-,1
S00136536,45,29,25,2,22,-,-,-,5,2,1,2,2,1,-,1,-,-,-,-,-,-,1,14,11,-,-,1,1
S00136537,46,26,19,2,17,1,-,1,7,-,3,2,2,2,2,-,-,-,-,-,-,-,-,14,16,1,-,1,-
S00136538,65,32,32,7,27,1,-,1,1,-,1,1,28,23,20,3,-,-,-,-,-,-,4,2,-,2,-,-,-
S00136539,52,28,27,2,25,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,21,23,-,1,-,-
S00136540,44,30,24,3,22,-,-,-,1,1,-,1,7,7,7,-,-,-,-,-,-,-,-,9,1,2,-,3,3
S00136541,41,25,19,4,12,-,-,-,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,20,14,-,2,-,-
S00136542,38,26,24,7,21,-,-,-,1,-,1,-,2,2,-,2,-,-,-,-,-,-,-,11,7,4,-,2,-
S00136543,54,37,31,11,22,3,-,3,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,16,15,1,-,-,-
S00136544,31,29,23,3,20,-,-,-,2,-,1,1,4,4,4,-,-,-,-,-,-,-,-,1,1,1,-,2,-
S00136545,46,32,24,-,23,5,-,5,5,2,3,-,1,1,1,-,-,-,-,-,-,-,-,11,11,-,-,1,1
S00136546,52,29,23,9,14,-,-,-,2,-,2,6,8,4,4,2,-,-,-,-,-,-,2,15,4,3,1,4,3
S00136547,49,47,41,1,40,-,-,-,1,-,1,1,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00136548,43,23,9,2,11,2,-,2,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,20,18,-,1,-,1
S00136549,73,52,45,8,37,-,-,-,2,-,2,4,9,9,8,1,-,-,-,-,-,-,-,15,6,-,-,3,3
S00136550,75,48,44,5,39,1,-,1,2,-,2,1,13,12,11,2,-,-,-,-,-,-,-,18,3,9,1,-,1
S00136551,58,43,38,4,34,2,-,2,3,1,2,1,12,10,7,3,-,-,-,-,-,-,2,7,4,-,-,3,-
S00136552,50,26,20,-,18,-,1,1,5,2,2,-,-,-,-,-,-,-,-,-,-,-,-,25,25,-,-,-,-
S00136553,68,30,22,6,16,-,-,-,5,-,5,3,-,-,-,-,-,-,-,-,-,-,-,37,22,-,-,13,2
S00136554,64,38,32,7,26,-,-,-,6,1,5,2,8,10,9,-,-,-,-,1,1,-,1,13,8,4,-,-,2
S00136555,57,40,34,-,34,3,-,3,7,1,4,-,-,-,-,-,-,-,-,-,-,-,-,15,12,2,-,-,-
S00136556,38,22,15,3,12,-,-,-,6,-,4,1,-,-,-,-,-,-,-,-,-,-,-,16,14,-,1,5,-
S00136557,37,24,18,2,16,-,-,-,1,1,1,4,7,6,6,-,-,-,-,2,-,2,-,6,4,-,1,1,-
S00136558,58,39,31,2,28,-,-,-,6,2,5,4,2,-,-,-,-,-,-,-,-,-,2,17,10,-,2,1,2
S00136559,43,23,20,9,11,1,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,20,7,2,1,7,-
S00136560,56,33,31,4,24,-,-,-,4,-,-,-,3,3,-,1,-,-,-,-,-,-,-,20,12,-,2,6,-
S00136561,47,26,22,2,19,-,-,-,4,-,4,2,-,-,-,-,-,-,-,-,-,-,-,21,18,-,-,6,1
S00136562,41,23,19,4,15,1,1,-,1,1,-,4,-,-,-,-,-,-,-,-,-,-,-,18,14,-,-,3,1
S00136563,44,35,30,7,26,1,-,1,7,-,2,-,2,1,-,1,-,-,-,1,1,-,-,7,3,3,-,1,-
S00136564,79,53,35,4,34,4,2,3,7,4,5,-,-,-,-,-,-,-,-,-,-,-,-,32,26,2,-,-,-
S00136565,57,35,23,5,18,3,-,3,8,4,6,-,-,-,-,-,-,-,-,-,-,-,-,24,22,-,1,-,-
S00136566,37,27,24,1,22,3,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,-,1,-,-
S00136567,45,31,29,2,26,-,-,-,2,-,2,-,8,8,6,1,-,-,-,-,-,-,1,5,2,2,-,-,1
S00136568,43,31,29,5,25,-,-,-,-,-,-,1,4,4,4,-,-,-,-,-,-,-,4,5,1,2,-,2,1
S00136569,67,40,30,10,22,1,1,-,1,1,2,3,-,-,-,-,-,-,-,-,-,-,-,31,20,-,3,7,1
S00136570,51,40,34,-,34,1,-,1,3,-,3,2,5,4,4,-,-,-,-,-,-,-,1,6,5,-,-,-,-
S00136571,36,27,25,3,21,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,1,-
S00136572,42,32,31,2,31,-,-,-,1,-,1,-,4,2,2,-,-,-,-,1,1,-,1,6,3,-,-,1,3
S00136573,55,39,38,2,35,-,-,-,1,1,-,2,4,4,4,2,-,-,-,-,-,-,1,11,7,2,-,2,-
S00136574,44,30,26,2,24,1,1,-,3,-,3,-,3,3,1,1,-,-,-,-,-,-,-,15,15,-,-,-,-
S00136575,54,20,15,2,12,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,34,23,-,2,2,6
S00136576,68,49,45,4,41,1,1,-,3,-,3,-,9,4,2,2,-,-,-,-,-,-,5,10,3,5,-,-,4
S00136577,41,24,16,-,16,4,-,3,5,2,1,-,1,-,-,-,1,-,1,-,-,-,-,16,11,-,1,-,2
S00136578,48,36,31,-,29,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,12,9,-,-,-,4
S00136579,58,44,42,5,37,1,-,1,1,-,1,-,8,7,7,-,-,-,-,-,-,-,1,6,-,5,-,-,1
S00136580,69,53,46,5,41,-,-,-,5,1,4,2,4,4,4,-,-,-,-,-,-,-,-,12,5,5,2,-,-
S00136581,44,30,23,3,20,1,-,1,4,2,2,2,6,7,4,-,-,-,-,-,-,-,1,6,5,3,-,-,-
S00136582,69,42,36,-,34,5,-,5,3,-,3,-,1,1,1,-,-,-,-,-,-,-,-,26,24,1,2,-,-
S00136583,41,33,29,3,25,-,-,-,3,3,-,2,4,4,4,-,-,-,-,-,-,-,-,4,1,2,-,2,-
S00136584,45,42,38,5,34,1,-,1,1,-,1,2,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
