Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00135363",99,-,9,9,-,-,3,12,7,4,4,2,-,4,11,8,11,10,2,4,-,2
"S00135364",60,-,7,8,-,-,2,2,4,1,-,-,-,4,5,6,8,7,-,6,-,-
"S00135365",49,-,3,1,-,-,6,5,3,4,-,1,-,2,4,5,2,5,2,2,-,-
"S00135366",56,3,4,3,-,1,-,6,1,2,-,4,-,4,7,-,4,3,3,2,-,-
"S00135367",39,-,5,5,1,2,-,-,1,2,1,-,-,3,3,1,6,2,-,3,-,-
"S00135368",79,-,7,3,1,-,2,11,3,7,4,4,1,8,8,6,7,7,1,2,-,-
"S00135369",75,-,9,6,-,-,6,8,4,1,2,3,2,4,5,6,5,5,1,6,-,-
"S00135370",41,-,2,2,-,1,-,3,1,-,2,-,-,2,7,9,4,5,-,3,-,-
"S00135371",100,-,7,13,2,2,8,14,3,1,4,1,1,4,4,4,12,18,2,4,-,-
"S00135372",87,-,13,10,-,-,4,3,1,7,2,-,-,9,4,9,3,13,2,2,-,-
"S00135373",139,1,27,11,2,2,7,12,2,-,8,-,-,15,6,10,5,19,3,4,-,1
"S00135374",94,-,13,7,1,-,5,9,2,5,4,1,-,4,3,7,6,17,-,4,-,-
"S00135375",70,-,6,9,1,-,3,9,6,3,1,1,1,5,3,7,2,6,2,1,-,-
"S00135376",31,-,6,3,-,-,4,3,2,-,2,-,-,-,1,2,1,5,-,3,-,-
"S00135377",71,-,8,9,1,-,2,9,3,5,1,2,-,7,4,4,5,7,1,2,-,-
"S00135378",73,-,7,5,1,-,2,8,2,5,2,1,2,9,8,7,5,6,3,1,-,-
"S00135379",37,-,4,2,-,-,3,3,-,-,1,-,-,5,9,-,4,4,-,4,-,-
"S00135380",74,-,9,7,-,-,5,8,1,6,3,3,2,7,6,3,3,12,-,1,-,-
"S00135381",96,-,8,10,1,-,8,15,7,3,2,5,-,3,6,7,3,18,2,-,-,-
"S00135382",51,-,5,4,2,-,5,12,3,4,-,-,1,4,-,4,4,7,1,1,-,-
"S00135383",95,-,19,7,2,-,2,2,4,6,3,1,2,14,4,4,4,13,-,5,-,-
"S00135384",45,-,4,-,1,-,4,9,2,1,3,2,-,2,6,3,6,3,4,-,-,-
"S00135385",45,-,3,3,-,1,4,7,6,3,-,-,-,1,6,1,5,5,-,-,-,-
"S00135386",27,-,6,3,2,-,6,-,-,1,1,-,-,-,2,-,2,2,-,1,-,-
"S00135387",80,-,11,5,-,-,8,5,2,1,1,3,1,9,6,9,8,6,2,1,-,-
"S00135388",98,-,21,11,3,-,5,6,7,2,4,1,-,10,3,5,3,10,4,5,-,-
"S00135389",60,-,5,4,2,-,3,10,2,3,4,-,1,6,6,3,5,6,-,2,-,-
"S00135390",58,-,9,-,-,-,3,8,6,4,-,3,1,2,3,5,3,5,1,5,-,-
"S00135391",126,-,16,10,-,-,5,2,11,5,1,4,1,11,6,13,10,18,1,4,-,-
