Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00143447",167,-,-,1,-,-,1,34,2,56,12,7,-,7,2,5,17,9,7,7,-,-
"S00143448",44,-,-,3,1,-,-,10,1,6,2,5,-,6,-,3,-,4,-,1,-,-
"S00143449",38,-,-,1,-,1,4,6,1,1,1,4,-,1,2,6,4,6,-,3,-,-
"S00143450",77,-,-,2,-,1,8,4,4,1,2,7,-,9,1,8,18,11,1,1,-,-
"S00143451",56,1,1,3,-,-,5,4,3,5,5,8,-,3,2,-,4,10,2,1,-,-
"S00143452",78,-,-,1,-,-,3,7,1,15,6,1,-,11,4,6,13,5,1,4,-,-
"S00143453",87,1,-,4,-,-,-,6,2,15,5,10,-,11,1,5,9,8,4,6,-,1
"S00143454",48,-,-,1,-,-,-,6,1,12,2,3,-,5,4,4,7,7,2,-,-,-
"S00143455",51,-,-,6,-,-,2,4,3,-,5,4,2,4,1,7,4,6,-,1,-,-
"S00143456",46,-,-,2,-,-,-,-,-,1,3,12,-,8,1,5,5,7,2,2,-,-
"S00143457",81,-,-,3,-,-,1,15,1,9,12,9,-,4,5,2,5,6,3,2,1,-
"S00143458",27,-,-,1,-,-,-,1,1,-,1,4,-,5,5,2,5,-,-,-,-,-
"S00143459",64,-,-,3,-,-,-,2,1,16,3,2,-,1,2,4,11,11,7,4,-,-
"S00143460",96,-,-,2,1,-,5,5,7,8,2,12,-,11,4,13,10,13,5,4,-,-
"S00143461",51,-,-,3,-,-,4,-,1,-,3,10,2,-,4,4,5,4,3,2,-,-
"S00143462",70,-,-,-,-,1,1,4,-,6,6,13,-,6,1,10,5,7,3,2,-,1
"S00143463",30,-,-,3,-,-,-,3,-,4,3,-,-,5,-,2,5,5,3,1,-,-
"S00143464",51,-,-,2,-,1,5,3,-,8,5,4,2,6,3,-,1,6,2,2,-,-
"S00143465",85,-,2,4,-,-,3,5,5,7,5,12,-,6,-,10,9,8,4,5,-,1
"S00143466",43,-,-,1,-,1,1,3,1,-,1,10,-,9,-,5,7,5,-,1,-,-
"S00143467",32,-,-,-,-,-,-,-,1,-,1,2,-,6,-,6,2,8,-,2,-,-
"S00143468",44,-,-,5,2,-,-,4,1,4,5,4,-,3,1,2,4,6,2,2,-,-
"S00143469",78,-,-,4,-,-,3,2,-,7,5,9,-,10,5,6,10,9,6,5,-,-
"S00143470",52,-,-,3,-,-,5,2,2,9,1,5,-,6,-,3,2,11,1,4,-,-
"S00143471",94,-,-,6,-,-,6,7,4,15,12,6,-,7,8,8,7,6,3,1,-,-
"S00143472",72,2,-,7,1,2,1,7,-,5,12,7,-,6,-,2,10,6,3,3,-,-
"S00143473",61,-,-,5,1,-,1,4,1,7,7,11,2,4,3,2,7,7,1,1,-,-
"S00143474",38,-,-,-,-,4,3,4,1,6,1,4,-,4,3,6,3,6,-,4,-,-
"S00143475",67,-,-,2,-,-,1,5,4,7,8,1,1,13,1,5,7,5,5,2,-,-
"S00143476",46,-,-,2,-,-,2,8,3,13,1,3,-,4,-,-,4,6,3,1,-,-
"S00143477",42,1,-,3,1,1,-,6,3,9,-,-,1,4,1,2,5,1,-,1,-,-
"S00143478",64,2,-,6,-,-,1,9,1,9,7,5,1,3,3,3,9,2,-,1,-,-
"S00143479",51,-,-,2,1,-,4,1,-,6,5,4,-,6,6,2,4,4,-,3,-,-
"S00143480",51,-,-,5,-,-,5,2,-,2,1,6,-,-,2,3,8,6,2,3,-,-
"S00143481",38,-,-,-,-,-,-,3,1,4,2,1,2,3,6,5,8,1,1,1,-,1
"S00143482",72,-,-,3,-,-,3,15,2,4,3,12,3,3,-,7,5,7,-,3,-,2
"S00143483",36,-,-,-,-,-,-,2,-,10,-,-,1,-,1,3,3,7,3,-,-,-
"S00143484",432,3,-,9,-,-,3,108,2,172,24,7,4,19,10,9,25,10,20,4,1,-
"S00143485",42,-,-,2,-,1,2,3,1,3,-,7,2,5,1,6,5,4,1,2,-,-
"S00143486",70,-,2,4,-,-,4,7,4,4,7,5,1,5,3,6,11,6,1,1,-,-
"S00143487",51,-,-,1,1,-,1,4,3,7,2,5,-,10,-,5,7,5,2,-,-,-
"S00143488",74,-,-,3,-,-,-,9,2,5,1,17,-,6,3,6,7,9,3,1,-,-
"S00143489",52,-,-,4,-,-,2,4,2,2,1,6,1,6,5,3,6,5,3,2,-,-
"S00143490",49,-,1,3,-,-,1,1,1,8,5,3,-,9,-,1,9,3,4,2,-,-
"S00143491",92,2,-,3,1,-,2,11,2,15,13,4,-,7,4,2,6,10,6,2,1,-
"S00143492",69,-,1,3,-,-,4,7,1,3,3,7,-,11,4,8,7,13,-,3,-,-
"S00143493",83,-,1,1,-,-,2,9,1,10,3,5,-,18,4,3,10,3,2,5,-,-
"S00143494",80,-,-,2,1,-,1,5,2,13,7,9,-,9,-,4,3,10,7,4,-,-
"S00143495",40,-,-,5,-,-,2,4,2,1,2,7,-,3,2,2,4,7,-,2,-,-
"S00143496",47,-,-,1,-,-,2,5,3,5,8,4,-,6,-,3,4,6,-,1,-,-
"S00143497",78,-,-,-,3,-,4,6,4,14,8,8,-,11,8,4,1,4,4,2,-,-
"S00143498",54,-,-,3,1,-,3,6,2,4,4,7,2,2,-,3,7,-,3,-,-,-
"S00143499",57,-,-,4,-,-,4,10,-,1,1,6,-,2,-,8,7,6,3,1,-,-
"S00143500",36,-,-,-,-,-,1,3,2,-,3,9,-,1,4,4,3,3,2,2,-,-
"S00143501",74,-,1,-,1,-,-,6,2,11,4,6,-,5,-,4,9,16,2,1,-,-
"S00143502",39,-,-,1,-,-,2,2,-,9,2,1,-,-,3,2,4,5,3,2,-,-
"S00143503",44,-,-,-,-,-,1,4,2,10,7,4,1,3,2,4,1,6,1,2,-,-
"S00143504",47,-,-,4,-,-,2,5,2,2,2,-,-,4,1,-,8,10,1,3,-,-
"S00143505",66,1,-,2,-,-,-,3,1,6,2,3,1,2,3,6,11,10,1,7,-,-
"S00143506",45,-,-,1,1,-,-,8,1,10,-,1,-,2,3,2,6,4,-,4,-,-
"S00143507",153,-,-,4,-,-,-,28,-,42,7,4,-,12,2,8,21,10,4,4,-,4
"S00143508",49,-,-,2,-,-,4,3,2,-,2,3,-,5,1,9,4,8,2,4,-,-
"S00143509",64,-,-,2,1,-,-,11,-,7,5,5,-,4,-,2,8,8,2,5,-,-
"S00143510",50,-,-,3,-,2,3,3,-,8,4,8,-,5,2,3,5,3,2,1,-,-
"S00143511",50,-,-,2,-,-,1,3,-,12,-,6,-,9,2,1,4,2,5,2,-,-
"S00143512",55,-,-,1,-,-,1,5,-,-,4,3,-,7,1,4,7,8,8,4,1,-
"S00143513",56,1,-,2,-,-,4,7,2,6,2,4,2,4,4,4,3,6,-,-,-,-
"S00143514",47,-,1,2,-,-,2,3,-,4,7,1,-,4,-,-,12,4,1,4,-,-
"S00143515",44,-,-,2,-,1,-,1,3,2,4,5,-,3,4,6,3,4,1,4,-,-
"S00143516",65,-,-,2,-,-,2,4,1,6,7,9,1,6,3,3,4,4,2,1,-,2
"S00143517",50,-,2,2,-,-,-,2,-,4,4,2,-,6,5,4,12,4,-,2,-,-
"S00143518",49,2,1,4,-,-,-,2,1,4,-,4,-,6,-,5,8,10,3,-,-,-
"S00143519",65,-,-,2,1,-,4,8,1,4,6,3,-,7,4,5,4,9,5,7,-,-
"S00143520",59,-,-,3,-,1,-,2,-,5,10,8,-,3,3,5,4,8,2,2,-,-
"S00143521",47,-,-,-,-,-,2,1,2,8,-,4,1,8,2,5,1,7,4,-,-,-
"S00143522",56,-,2,1,-,-,2,8,1,9,1,3,-,2,3,2,7,3,4,4,-,-
"S00143523",25,-,-,1,1,-,-,-,-,-,3,1,-,3,2,1,1,3,2,1,-,-
"S00143524",67,-,-,3,-,-,1,4,1,7,8,-,2,8,3,4,6,8,6,2,-,1
"S00143525",19,-,-,2,-,-,-,-,-,3,1,2,-,3,-,-,1,1,1,1,-,-
"S00143526",48,-,-,3,-,1,6,3,1,4,4,2,-,5,3,2,4,8,2,-,-,-
"S00143527",69,-,-,2,-,1,-,3,3,14,3,6,2,9,3,5,9,5,4,1,1,-
"S00143528",25,-,1,1,2,-,1,2,-,5,2,4,-,3,-,2,-,2,1,-,-,-
"S00143529",23,-,1,1,-,-,-,2,-,1,4,2,-,7,-,1,3,1,1,-,-,-
"S00143530",35,-,-,3,-,-,2,1,2,1,-,2,-,2,1,5,3,5,1,1,-,-
"S00143531",107,-,-,3,-,-,-,17,2,33,5,3,1,8,1,4,14,7,5,1,-,2
"S00143532",60,-,-,4,-,-,3,3,-,6,5,2,-,3,10,2,3,13,4,5,-,-
"S00143533",46,1,-,1,-,-,2,2,2,2,1,6,-,4,5,3,12,4,-,4,-,-
"S00143534",91,1,-,6,-,2,5,7,3,3,6,15,4,12,4,2,6,8,3,5,-,-
"S00143535",46,-,-,1,-,-,2,4,4,3,2,4,-,7,2,3,3,5,5,-,-,-
"S00143536",68,-,-,6,-,-,4,2,2,2,1,5,2,6,2,10,12,7,4,-,-,-
"S00143537",52,-,-,3,1,-,-,4,-,6,4,4,-,11,3,1,10,4,2,-,-,-
"S00143538",51,-,-,2,-,-,-,5,3,6,2,4,1,5,-,1,7,3,7,3,-,-
"S00143539",92,-,-,4,-,-,5,8,4,5,5,12,2,10,2,9,10,5,4,5,-,-
"S00143540",63,-,-,5,-,-,2,5,1,9,4,5,-,5,3,4,5,12,2,2,-,-
"S00143541",34,-,2,-,-,-,3,9,-,1,2,-,-,4,2,4,4,1,-,3,-,-
"S00143542",66,-,-,3,-,-,2,5,1,10,5,7,-,4,3,5,9,13,3,1,-,-
"S00143543",58,-,-,-,2,1,4,11,1,11,5,4,-,4,1,-,3,5,-,1,-,-
"S00143544",61,-,-,2,-,-,-,11,3,5,-,2,-,1,4,7,3,16,1,1,-,-
"S00143545",67,-,-,2,1,-,2,5,-,6,3,3,-,9,1,2,15,7,5,2,-,-
"S00143546",42,-,-,2,-,-,-,2,1,-,-,3,-,3,1,5,-,13,-,6,-,-
"S00143547",39,1,-,1,-,-,-,5,1,6,3,2,-,6,4,2,3,6,-,1,-,-
"S00143548",26,-,-,1,-,-,-,-,-,5,-,1,1,7,1,1,2,5,-,2,-,-
"S00143549",73,1,-,1,2,-,3,4,4,9,7,4,-,7,4,1,7,9,3,4,-,-
"S00143550",53,-,1,3,-,-,-,9,1,8,1,1,-,8,2,5,5,7,-,2,1,1
"S00143551",70,2,-,3,2,-,4,8,1,2,2,12,3,3,-,6,7,8,4,3,-,-
"S00143552",62,-,2,6,-,-,2,8,1,10,6,1,1,4,2,3,6,5,6,1,-,-
"S00143553",64,-,-,3,-,-,-,5,-,12,6,6,-,4,2,2,6,12,6,2,-,-
"S00143554",60,-,-,3,1,-,1,8,1,5,4,4,-,9,4,5,10,4,1,-,-,-
"S00143555",55,-,-,2,-,-,2,3,3,1,2,11,-,6,2,8,6,10,3,-,-,-
"S00143556",30,-,-,-,-,-,1,2,4,10,-,-,-,1,2,-,3,6,-,1,-,-
"S00143557",54,-,-,1,-,-,4,4,3,10,2,3,1,6,1,2,4,10,4,1,-,-
"S00143558",77,-,-,3,-,-,3,12,5,7,2,3,1,6,-,6,14,6,4,-,-,2
"S00143559",32,-,-,3,-,-,-,4,-,3,-,2,-,4,1,2,3,3,1,2,-,-
"S00143560",54,-,-,3,4,-,-,8,1,15,1,1,-,4,-,3,5,3,5,-,-,-
"S00143561",88,-,-,5,-,-,5,5,2,9,7,3,2,9,4,10,13,6,7,6,-,-
"S00143562",47,2,-,3,-,1,-,4,1,4,3,8,1,4,-,6,3,4,3,3,-,-
"S00143563",83,-,-,2,-,-,2,7,2,7,9,10,-,13,7,7,7,2,4,4,-,-
"S00143564",101,-,1,4,1,-,4,11,-,6,8,10,1,20,2,6,9,7,2,-,-,-
"S00143565",62,-,-,5,-,-,-,8,3,5,4,8,1,8,1,2,2,8,5,1,-,-
"S00143566",71,-,-,1,2,-,-,6,-,11,2,4,-,13,2,5,13,3,3,4,-,1
"S00143567",48,-,-,4,1,-,-,6,1,5,6,2,1,8,2,-,2,1,3,3,-,-
"S00143568",37,-,-,1,-,-,4,4,1,2,3,8,1,2,-,-,3,4,2,1,-,-
"S00143569",43,-,1,4,-,-,6,5,4,8,4,3,-,2,2,2,3,2,1,-,-,-
"S00143570",65,-,2,3,-,-,1,10,-,6,3,2,1,6,6,5,12,7,-,2,-,-
"S00143571",60,-,-,1,-,-,3,7,1,13,6,6,-,-,2,2,5,6,1,1,-,-
"S00143572",59,-,-,2,-,1,5,9,5,2,-,1,-,-,2,7,4,12,2,3,-,-
"S00143573",54,-,-,3,-,-,-,6,1,19,-,-,1,7,2,2,2,8,-,6,-,-
"S00143574",52,-,-,1,1,1,1,2,4,-,2,10,3,6,-,8,6,7,1,2,-,-
"S00143575",79,-,2,2,-,-,1,4,2,17,1,6,2,2,12,3,13,5,1,11,-,-
"S00143576",89,3,-,2,-,-,1,17,1,31,3,6,-,11,3,1,3,6,1,-,-,-
"S00143577",49,-,-,5,1,-,4,3,-,2,-,6,2,3,1,7,7,5,4,-,-,-
"S00143578",45,-,-,2,-,1,6,5,1,6,5,2,-,4,-,4,1,2,1,4,-,-
"S00143579",134,-,-,2,-,2,2,24,3,38,5,3,1,2,6,9,11,10,11,3,-,-
"S00143580",51,-,-,-,-,-,-,6,2,16,2,1,1,7,2,1,3,6,3,2,-,-
"S00143581",86,-,-,2,-,-,2,12,2,3,4,2,-,11,1,3,11,16,8,2,-,-
"S00143582",71,1,-,3,2,1,2,5,1,17,2,5,-,8,-,7,9,12,3,4,-,-
"S00143583",46,-,1,2,1,-,-,4,-,4,8,1,-,4,1,7,6,4,4,-,-,-
"S00143584",59,-,-,2,-,-,4,3,1,6,8,2,-,12,4,5,7,4,1,2,-,-
"S00143585",60,-,-,3,1,1,1,2,1,5,5,5,1,8,1,1,8,7,5,3,-,-
"S00143586",49,-,-,3,-,-,-,6,2,15,4,5,1,6,2,2,6,2,1,2,-,-
"S00143587",99,-,-,6,-,-,5,12,4,15,8,10,-,9,4,9,2,5,5,4,-,-
"S00143588",47,-,2,1,-,-,1,5,1,1,3,4,-,6,3,3,8,7,-,1,-,-
"S00143589",52,-,-,3,-,1,-,7,4,8,1,2,-,2,2,5,4,10,2,2,-,-
"S00143590",72,-,-,7,1,-,1,8,1,14,5,6,-,9,-,4,5,5,3,3,-,-
"S00143591",96,-,-,3,1,-,9,4,2,8,4,10,-,7,2,12,13,14,1,2,-,-
"S00143592",49,-,-,2,-,-,3,1,-,1,-,8,1,7,-,5,10,8,-,4,-,-
"S00143593",90,-,-,5,2,2,2,5,-,13,8,10,3,11,2,6,10,7,2,2,-,-
"S00143594",67,-,-,4,-,-,2,9,4,11,1,4,-,13,2,5,5,4,4,5,-,-
"S00143595",84,-,-,3,-,2,2,2,7,10,5,11,-,11,4,11,5,10,4,-,-,-
"S00143596",39,-,-,1,-,-,3,2,1,5,3,2,-,2,-,-,5,7,5,2,-,-
"S00143597",45,-,-,4,-,-,1,2,-,-,7,6,-,6,-,4,10,2,-,3,-,-
"S00143598",71,-,1,3,-,1,6,2,4,5,3,7,-,9,5,4,16,7,2,-,-,-
"S00143599",62,-,1,2,-,-,6,10,4,12,2,2,-,4,5,2,5,6,2,2,-,-
"S00143600",18,-,-,-,-,-,2,-,-,-,-,-,-,4,1,3,3,3,1,1,-,-
"S00143601",65,-,-,2,-,-,-,9,3,8,1,4,3,-,7,2,9,12,-,3,-,-
"S00143602",33,-,-,2,-,-,-,2,-,2,4,1,1,-,3,4,6,2,2,2,-,-
"S00143603",62,-,-,4,-,-,6,6,2,6,4,6,-,5,2,3,2,8,2,1,-,-
"S00143604",48,-,-,1,-,-,2,3,-,8,5,-,-,7,2,1,5,8,2,4,-,-
"S00143605",60,-,-,6,-,-,1,-,2,2,1,5,-,7,5,3,8,9,4,5,-,-
"S00143606",36,2,-,4,-,-,1,4,1,2,5,4,-,1,2,6,2,4,1,-,-,-
"S00143607",59,-,1,2,-,-,2,8,1,7,4,3,-,8,-,2,12,8,3,-,-,-
"S00143608",37,2,-,1,2,-,1,4,2,-,7,3,1,3,-,6,2,1,-,3,-,-
"S00143609",24,-,1,1,-,-,1,4,-,2,1,6,-,-,1,5,1,2,-,1,-,-
"S00143610",82,-,-,4,-,-,-,14,-,13,6,6,-,13,3,4,6,7,3,-,-,-
"S00143611",43,-,-,1,-,-,2,3,1,4,4,5,-,4,3,5,2,2,3,2,-,-
"S00143612",50,-,-,3,1,-,3,-,-,3,-,8,1,11,4,5,3,9,-,3,-,1
"S00143613",71,-,-,3,-,-,1,6,2,19,5,1,1,5,6,3,8,7,3,5,-,-
"S00143614",54,-,-,8,-,-,1,5,-,7,2,1,-,6,4,1,2,8,2,4,1,1
"S00143615",30,-,-,2,-,-,-,4,1,3,3,-,-,4,2,1,-,7,-,3,-,-
"S00143616",49,-,-,1,-,-,-,9,-,9,1,4,-,3,2,4,10,3,1,3,-,-
"S00143617",75,2,-,2,-,-,1,2,1,14,13,7,-,13,5,3,1,10,2,4,-,1
"S00143618",51,-,-,3,-,-,1,3,-,2,4,2,1,10,3,6,6,6,3,2,-,-
"S00143619",22,-,-,1,-,-,3,2,2,2,1,-,1,-,1,3,3,4,-,-,-,-
"S00143620",45,-,-,2,2,-,1,1,-,16,4,2,-,7,-,1,3,6,3,-,-,-
"S00143621",74,-,-,2,-,-,3,6,5,13,7,7,-,6,4,6,7,9,1,1,-,-
"S00143622",55,-,-,1,-,-,1,5,-,6,2,1,-,9,-,3,16,8,3,-,-,-
"S00143623",50,-,-,2,1,-,-,4,-,11,4,8,-,3,1,1,4,3,2,4,-,-
"S00143624",72,-,-,2,-,-,4,10,2,12,11,6,-,12,1,-,4,6,4,2,-,-
"S00143625",91,-,-,-,1,-,1,10,1,12,6,7,-,8,5,6,11,12,3,7,-,1
"S00143626",42,-,-,4,-,-,3,3,-,8,3,4,-,1,3,5,4,4,1,-,-,-
"S00143627",37,-,-,6,-,-,3,1,4,-,3,3,-,5,-,4,4,4,1,-,-,-
"S00143628",41,-,-,4,-,2,2,8,2,-,1,1,4,2,1,9,2,2,2,1,-,-
"S00143629",55,-,-,8,-,-,3,1,1,6,2,1,-,7,3,5,8,9,2,3,-,-
"S00143630",51,-,-,8,-,-,1,3,-,6,3,5,-,3,1,2,6,7,2,-,-,-
"S00143631",36,2,-,1,-,-,5,7,5,5,-,-,-,-,-,1,3,8,-,-,-,-
"S00143632",40,1,-,5,-,1,1,4,-,2,1,4,1,2,3,3,4,4,1,-,-,-
"S00143633",36,-,-,1,-,-,1,-,-,14,-,4,1,4,1,1,4,3,2,-,-,-
"S00143634",79,-,-,2,1,-,2,6,-,17,7,2,-,11,3,5,13,4,5,4,-,-
"S00143635",57,-,-,3,-,-,-,11,1,3,3,6,-,8,1,5,7,10,1,2,-,-
"S00143636",74,-,-,2,-,-,5,6,3,9,5,9,3,8,3,7,4,4,3,6,-,-
"S00143637",66,-,-,4,-,-,-,4,2,9,7,3,1,4,1,4,8,15,4,-,-,-
"S00143638",454,6,-,15,-,-,1,35,12,158,22,8,-,28,13,5,98,23,10,26,-,-
"S00143639",40,-,-,4,-,-,3,4,4,6,-,1,-,-,2,4,2,10,-,1,-,-
"S00143640",64,-,-,3,-,-,-,9,-,18,2,1,-,4,2,4,9,8,2,2,-,-
"S00143641",55,-,1,-,-,1,1,4,1,2,2,8,-,8,-,7,6,4,2,1,-,-
"S00143642",179,-,-,4,-,-,3,30,2,47,12,4,-,9,10,6,20,10,10,13,-,1
"S00143643",77,-,-,9,1,1,9,6,9,9,1,2,-,1,7,8,4,5,1,2,-,1
"S00143644",74,-,-,3,-,-,2,14,1,8,3,7,2,10,2,7,4,6,1,2,-,-
"S00143645",40,-,-,2,-,-,-,4,-,2,2,1,2,6,1,-,7,9,1,-,-,-
"S00143646",78,-,-,-,-,-,1,8,4,15,4,5,1,7,-,1,14,7,8,2,-,-
"S00143647",80,-,-,-,-,1,-,21,1,21,3,2,-,5,3,1,6,5,5,5,-,-
"S00143648",72,-,-,3,-,-,5,14,5,5,3,3,-,4,2,2,3,16,2,5,-,-
"S00143649",68,1,-,2,-,-,-,12,1,11,6,-,-,5,4,3,12,3,6,-,-,-
"S00143650",83,-,-,3,-,-,2,3,-,13,6,11,1,9,3,7,7,9,4,2,-,-
"S00143651",41,-,-,-,-,-,1,8,-,6,3,1,-,4,-,2,1,4,5,-,-,-
"S00143652",92,1,1,6,-,-,2,9,3,7,6,7,1,13,3,8,6,12,4,4,-,-
"S00143653",52,-,-,4,-,-,-,4,1,4,4,8,-,6,2,4,9,4,3,1,-,1
"S00143654",54,-,-,2,-,2,2,2,5,1,2,9,-,3,3,6,10,8,3,1,-,-
"S00143655",70,-,-,1,-,-,-,7,3,6,10,7,1,6,2,9,7,9,-,1,-,-
"S00143656",59,-,-,2,-,1,1,9,-,7,3,5,-,3,3,7,8,7,2,3,-,-
"S00143657",62,-,-,1,-,-,5,9,4,7,8,5,1,6,2,6,4,5,2,1,-,-
"S00143658",77,-,-,5,-,-,-,12,-,4,4,4,4,8,-,6,20,5,3,3,-,-
"S00143659",80,-,-,3,-,-,4,5,4,12,7,5,-,8,2,4,8,11,-,3,-,1
"S00143660",43,-,-,3,-,-,-,2,1,3,2,2,1,3,1,4,-,11,1,-,-,-
"S00143661",141,2,-,2,2,-,1,27,-,38,5,4,-,7,3,8,20,12,6,5,1,-
"S00143662",43,-,-,2,-,1,3,2,4,4,-,1,-,-,5,-,4,10,-,2,-,-
"S00143663",47,-,1,2,-,-,5,2,4,7,1,2,-,2,2,8,4,4,-,-,1,-
"S00143664",40,-,-,3,-,-,3,4,3,2,-,2,1,9,-,3,-,8,-,-,-,-
"S00143665",45,-,-,2,-,-,1,9,2,1,1,5,-,3,2,2,10,4,1,1,-,-
"S00143666",56,1,-,3,-,-,4,9,5,8,2,-,-,3,2,4,-,10,2,6,-,-
"S00143667",10,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,5,2,-,-,-,-
"S00143668",65,-,1,-,1,-,1,4,7,3,5,8,-,9,1,5,8,7,-,5,-,-
"S00143669",58,1,-,3,1,-,1,5,4,4,-,3,-,7,7,5,-,10,3,1,-,-
"S00143670",64,-,-,4,-,-,-,5,-,24,-,2,-,4,-,1,14,2,5,2,-,-
"S00143671",82,-,-,3,-,-,-,5,2,11,3,9,1,11,1,7,12,8,7,1,-,-
"S00143672",84,-,-,2,-,-,1,5,-,17,3,8,1,12,3,4,14,8,3,7,-,-
"S00143673",5,-,-,-,-,-,-,4,-,-,-,-,-,1,-,-,1,-,-,-,-,-
"S00143674",34,-,-,4,-,-,3,2,3,1,1,2,-,3,2,4,1,9,-,-,-,-
"S00143675",44,1,-,4,1,-,-,5,-,12,4,-,-,5,1,2,5,2,2,1,-,-
"S00143676",62,-,-,5,-,-,-,3,1,12,4,7,-,6,3,4,10,5,1,2,-,-
"S00143677",60,2,-,6,-,-,2,6,1,6,2,4,1,-,4,7,2,12,1,7,-,-
"S00143678",52,-,-,1,-,1,3,5,3,10,3,2,-,8,2,-,7,6,1,1,-,-
"S00143679",45,-,-,3,-,-,5,5,-,1,-,6,-,1,4,1,3,7,1,2,-,-
"S00143680",58,-,-,5,-,-,1,3,4,5,7,8,1,2,2,6,6,5,4,-,-,-
"S00143681",74,1,-,8,-,-,1,13,4,4,-,5,-,3,6,7,6,13,-,2,-,-
"S00143682",30,-,-,1,-,-,2,-,3,2,2,4,1,3,-,1,3,3,1,3,-,-
"S00143683",58,-,-,-,-,-,2,4,4,15,7,5,-,5,-,6,6,6,1,-,-,-
"S00143684",42,-,-,1,-,-,2,-,1,5,2,5,-,6,1,5,4,6,-,1,-,-
"S00143685",33,-,-,1,-,-,1,-,-,-,1,4,-,7,1,4,2,7,4,1,-,-
"S00143686",31,-,-,-,-,-,2,4,1,2,1,-,-,1,2,5,8,5,1,-,-,-
"S00143687",75,-,-,9,1,-,4,5,1,3,6,7,-,7,4,7,9,11,5,-,-,-
"S00143688",53,3,-,6,-,-,4,7,5,5,1,4,-,-,7,3,1,6,3,2,-,-
"S00143689",48,-,-,4,-,-,-,5,-,6,5,-,-,6,1,5,7,1,1,2,-,-
"S00143690",59,-,1,1,4,-,-,4,3,8,1,10,2,2,4,4,5,7,-,2,-,-
"S00143691",77,-,-,5,-,-,1,3,2,9,8,5,-,7,3,6,19,8,3,2,-,-
"S00143692",84,-,-,8,-,-,6,7,2,11,9,6,-,12,1,4,13,4,1,6,-,-
"S00143693",41,-,-,5,-,-,-,5,3,4,3,1,-,6,5,4,8,-,-,1,-,-
"S00143694",48,-,-,4,-,-,1,4,-,5,12,6,1,3,3,6,2,6,2,1,-,-
"S00143695",75,-,-,4,-,-,-,6,1,8,4,4,2,12,2,7,11,9,3,2,-,-
"S00143696",69,-,1,1,-,-,2,9,2,5,4,11,1,4,2,9,5,10,1,-,-,-
"S00143697",71,-,-,3,-,-,1,6,3,10,4,4,-,7,-,2,12,12,4,-,-,-
"S00143698",55,-,-,4,-,-,2,-,3,4,1,5,2,1,3,9,1,18,1,2,-,-
"S00143699",62,6,1,6,-,-,2,1,-,2,4,7,1,4,1,8,8,3,2,1,-,-
"S00143700",50,-,1,-,-,-,3,2,2,7,-,7,-,4,2,2,8,10,-,2,-,-
"S00143701",42,-,-,3,-,-,-,4,-,10,-,1,-,-,1,3,4,5,4,4,-,-
"S00143702",43,-,-,-,-,-,2,4,-,2,3,-,-,4,-,3,9,7,3,3,-,-
"S00143703",6,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,3,2,-,-,-,-
"S00143704",84,-,-,2,-,1,4,7,-,6,4,15,-,10,3,4,13,11,3,2,-,-
"S00143705",70,-,-,7,1,-,2,5,6,6,3,6,-,9,3,3,4,5,6,6,-,-
"S00143706",46,-,-,3,2,-,2,5,2,1,-,5,-,1,1,-,7,8,1,1,-,-
"S00143707",47,-,-,1,-,-,-,2,1,10,-,2,-,5,3,3,11,1,3,2,-,-
"S00143708",54,-,1,3,-,-,-,2,3,2,3,8,1,4,3,5,7,-,5,3,-,-
"S00143709",78,-,1,2,-,-,-,4,-,10,8,7,-,13,2,6,10,9,3,3,-,-
"S00143710",74,-,-,4,-,1,3,6,3,3,-,6,-,5,6,13,8,15,2,4,-,-
"S00143711",85,-,-,6,4,-,-,7,1,5,3,5,1,15,1,5,16,11,-,4,-,-
"S00143712",65,-,-,3,-,-,3,1,2,7,6,5,-,7,7,3,9,7,1,4,-,-
"S00143713",78,-,-,1,-,-,4,4,1,19,2,-,2,4,7,7,9,11,5,4,-,-
"S00143714",50,-,-,2,-,-,-,5,2,7,4,5,2,7,2,4,2,4,3,1,-,-
"S00143715",38,-,-,1,-,-,4,1,-,6,-,3,2,-,5,-,2,4,5,3,-,-
"S00143716",67,-,-,-,-,-,2,6,3,14,8,4,-,8,-,4,4,9,4,2,-,-
"S00143717",78,-,-,4,-,-,2,4,2,5,9,9,-,3,6,10,6,6,4,5,-,-
"S00143718",91,-,-,-,1,-,3,13,6,15,1,5,-,8,3,8,10,14,3,1,-,-
