Scotland's Census 2022 - National Records of Scotland
Table UV608 - National Statistics Socio-economic Classification (NS-SeC) of Household Reference Person (HRP)
All Household Reference Persons aged 16 and over
,"L12: Semi-routine occupations"
"S00135310",7
Crown copyright 2024
"For further information on variables, see https://www.scotlandscensus.gov.uk/about/metadata-a-to-z/"
"In order to protect against disclosure of personal information, Statistical Disclosure Control has been applied to the data/outputs. "
Cells might not sum to sub totals and totals due to these Statistical Disclosure Controls.
To find out more on this visit https://www.scotlandscensus.gov.uk/about/2022-census/statistical-methodology/statistical-disclosure-control/
