Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00135421",116,114,20,57,37,2,2,-,-,-
"S00135422",109,97,5,68,24,12,12,-,-,-
"S00135423",190,190,90,97,4,-,-,-,-,-
"S00135424",115,102,25,28,48,13,5,6,4,-
"S00135425",116,97,17,30,50,19,19,-,-,-
"S00135426",141,134,13,117,7,4,4,-,-,-
"S00135427",126,123,45,66,12,3,3,-,-,-
"S00135428",75,75,43,32,-,-,-,-,-,-
"S00135429",85,80,74,5,-,4,4,-,-,-
"S00135430",113,113,35,77,1,-,-,-,-,-
"S00135431",109,105,36,17,52,4,4,-,-,-
"S00135432",117,116,58,55,3,1,1,-,-,-
"S00135433",128,126,64,52,10,3,-,3,-,-
"S00135434",111,106,29,73,4,2,2,-,-,-
"S00135435",77,77,26,44,2,-,-,-,-,-
"S00135436",109,109,70,8,31,-,-,-,-,-
"S00135437",127,106,28,33,43,22,21,1,-,-
"S00135438",82,79,19,62,-,1,1,-,-,-
"S00135439",92,90,22,68,-,2,2,-,-,-
"S00135440",131,126,67,54,5,5,5,-,-,-
"S00135441",127,111,26,83,2,16,16,-,-,-
"S00135442",67,65,5,34,29,2,2,-,-,-
"S00135443",99,76,19,50,4,27,27,-,-,-
"S00135444",99,95,27,50,20,3,3,-,-,-
"S00135445",141,141,41,93,5,-,-,-,-,-
"S00135446",159,158,34,118,-,1,1,-,-,-
"S00135447",137,126,61,56,9,11,1,4,4,-
"S00135448",170,143,3,80,60,23,23,-,-,-
"S00135449",98,58,-,27,34,39,39,-,-,-
"S00135450",92,92,21,71,-,-,-,-,-,-
"S00135451",70,63,21,42,1,7,7,-,-,-
"S00135452",64,39,8,20,9,27,23,3,-,-
"S00135453",110,40,4,30,4,70,69,1,-,-
"S00135454",123,87,38,18,31,36,36,-,-,-
"S00135455",106,80,27,53,-,29,20,6,-,-
"S00135456",89,85,12,59,22,1,1,-,-,-
"S00135457",69,59,11,44,1,8,8,-,-,-
"S00135458",79,75,46,29,-,-,-,-,-,-
"S00135459",121,113,6,43,67,5,5,-,-,-
"S00135460",121,115,-,66,53,2,2,-,-,-
"S00135461",135,135,42,88,8,-,-,-,-,-
"S00135462",159,162,95,60,5,1,1,-,-,-
"S00135463",149,134,32,97,2,15,14,1,-,-
"S00135464",109,80,29,43,8,26,26,-,-,-
"S00135465",106,103,20,55,28,2,2,-,-,-
"S00135466",101,101,23,78,-,-,-,-,-,-
"S00135467",95,90,5,24,62,4,-,4,-,-
"S00135468",69,10,2,7,-,59,59,-,-,-
"S00135469",121,115,30,78,6,3,3,-,-,-
"S00135470",137,137,121,16,-,-,-,-,-,-
"S00135471",154,154,20,75,52,-,-,-,-,-
"S00135472",148,140,11,79,51,7,7,-,-,-
