Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00143702",97,-,-,-,-,97,89,8,-,-
"S00143703",88,-,-,-,-,88,87,1,-,-
"S00143704",133,16,-,6,9,117,111,5,1,-
"S00143705",115,4,-,3,1,111,110,1,-,-
"S00143706",99,76,5,71,-,23,23,-,-,-
"S00143707",78,1,-,-,1,77,74,3,-,-
"S00143708",109,85,6,55,26,22,22,-,-,-
"S00143709",146,21,-,3,18,125,125,-,-,-
"S00143710",151,146,50,32,64,2,2,-,-,-
"S00143711",154,33,8,4,23,119,108,11,-,-
"S00143712",104,6,-,3,3,98,94,4,-,-
"S00143713",154,15,5,7,3,139,134,1,-,-
"S00143714",71,3,-,-,3,68,68,-,-,-
"S00143715",111,18,5,-,13,93,91,4,-,-
"S00143716",122,3,-,-,3,119,113,6,-,-
"S00143717",105,-,-,-,-,105,103,4,-,-
"S00143718",229,6,2,-,4,223,213,5,5,-
"S00143719",129,6,4,-,3,121,114,7,-,-
"S00143720",155,7,-,-,7,148,143,3,-,-
"S00143721",61,61,4,51,4,-,-,-,-,-
"S00143722",105,4,-,-,4,101,100,-,1,-
"S00143723",97,94,63,-,29,3,3,-,-,-
"S00143724",90,9,4,-,5,81,75,6,-,-
"S00143725",83,-,-,-,-,83,77,3,-,-
"S00143726",104,64,30,28,5,40,40,-,-,-
"S00143727",118,-,-,-,-,116,115,2,-,-
"S00143728",133,125,26,31,68,8,7,-,2,-
"S00143729",97,52,-,11,41,44,44,-,-,-
"S00143730",145,63,9,-,56,82,53,26,-,-
"S00143731",80,65,1,19,45,15,15,-,-,-
"S00143732",107,4,4,-,2,102,98,7,-,-
"S00143733",126,-,-,-,-,126,126,-,-,-
"S00143734",116,4,4,-,-,112,109,1,2,-
"S00143735",84,7,-,5,2,77,77,-,-,-
"S00143736",88,1,-,1,-,84,84,-,-,-
"S00143737",100,1,-,2,1,98,98,-,-,-
"S00143738",78,74,10,14,50,4,4,-,-,-
"S00143739",127,127,85,33,10,-,-,-,-,-
"S00143740",94,21,4,15,-,73,72,1,-,-
"S00143741",82,-,-,-,-,83,83,-,-,-
"S00143742",119,12,-,5,7,107,107,-,-,-
"S00143743",106,95,2,93,4,11,11,-,-,-
"S00143744",116,3,-,-,3,116,112,4,-,-
"S00143745",102,42,3,2,43,58,39,17,-,-
"S00143746",77,-,-,-,-,77,72,5,-,-
"S00143747",206,18,1,11,8,184,172,1,15,-
"S00143748",106,4,4,-,-,104,104,-,-,-
"S00143749",95,2,-,2,-,94,84,10,-,-
"S00143750",122,14,-,6,8,108,101,8,-,-
"S00143751",111,3,-,-,3,108,94,12,-,-
"S00143752",143,139,6,37,94,4,4,-,-,-
"S00143753",90,85,-,85,-,6,6,-,-,-
"S00143754",159,14,-,-,14,145,121,24,-,-
"S00143755",106,-,-,-,-,106,106,-,-,-
"S00143756",105,4,4,-,-,100,101,2,-,-
"S00143757",132,117,10,45,62,14,14,-,-,-
"S00143758",97,2,-,-,2,95,95,-,-,-
"S00143759",153,3,-,-,3,150,151,2,-,-
"S00143760",158,25,7,11,7,133,128,3,2,-
"S00143761",142,134,47,54,33,10,10,-,-,-
"S00143762",128,30,4,-,29,98,89,9,-,-
"S00143763",122,7,-,-,7,115,104,11,-,-
"S00143764",88,4,-,4,-,84,81,-,1,-
"S00143765",136,7,-,3,4,129,128,-,1,-
"S00143766",85,3,-,-,3,78,78,-,-,-
"S00143767",119,-,-,-,-,119,116,2,-,-
"S00143768",179,4,-,-,4,175,170,3,-,-
"S00143769",118,2,2,-,-,120,120,-,-,-
"S00143770",96,4,4,-,-,92,92,-,-,-
"S00143771",90,79,5,32,42,11,10,-,1,-
"S00143772",71,3,-,3,-,68,68,-,-,-
"S00143773",75,14,5,9,-,57,55,4,-,-
"S00143774",89,4,4,-,-,78,78,-,-,-
"S00143775",127,33,7,4,22,97,90,4,-,-
"S00143776",87,15,-,3,12,72,72,-,-,-
"S00143777",95,-,-,-,-,95,90,2,3,-
"S00143778",84,1,-,1,-,83,82,2,-,-
"S00143779",115,40,-,-,38,72,72,-,-,-
"S00143780",113,-,-,-,-,113,105,-,8,-
"S00143781",97,86,32,46,8,11,9,4,-,-
"S00143782",111,5,-,4,4,104,98,6,-,-
"S00143783",159,8,-,3,2,154,154,-,-,-
"S00143784",137,123,32,47,44,14,14,-,-,-
"S00143785",138,4,-,4,-,134,134,-,-,-
"S00143786",102,-,-,-,-,102,102,-,-,-
"S00143787",109,6,6,-,-,102,101,-,-,1
"S00143788",134,128,5,37,88,6,5,1,-,-
"S00143789",78,14,-,3,13,64,64,-,-,-
"S00143790",103,2,-,2,-,100,100,-,-,-
"S00143791",148,102,25,25,52,46,17,28,1,-
"S00143792",139,3,-,-,3,136,132,4,-,-
"S00143793",109,11,-,4,7,98,95,3,-,-
"S00143794",131,24,8,13,-,107,104,3,-,-
"S00143795",118,3,-,-,3,119,119,-,-,-
"S00143796",168,142,8,73,61,23,23,-,-,-
"S00143797",120,115,52,42,17,5,5,-,-,-
"S00143798",174,170,3,156,11,3,3,-,-,-
"S00143799",141,9,-,8,1,131,131,-,-,-
"S00143800",91,91,3,79,9,-,-,-,-,-
"S00143801",70,3,-,3,-,63,66,-,2,-
"S00143802",133,18,1,2,14,115,114,1,-,-
"S00143803",92,1,-,1,-,90,90,-,-,-
"S00143804",98,1,-,-,1,97,97,-,-,-
"S00143805",66,3,-,-,3,63,63,-,-,-
"S00143806",95,94,15,70,6,4,-,4,-,-
"S00143807",78,-,-,-,-,78,78,-,-,-
"S00143808",72,1,-,-,1,68,68,-,-,-
"S00143809",98,6,-,-,6,93,88,5,-,-
"S00143810",130,-,-,-,-,130,117,11,-,-
"S00143811",105,105,-,24,81,-,-,-,-,-
"S00143812",122,89,6,26,56,34,34,-,-,-
"S00143813",89,28,-,10,20,61,52,8,-,-
"S00143814",114,107,-,102,5,7,7,-,-,-
"S00143815",66,-,-,-,-,66,66,-,-,-
"S00143816",113,-,-,-,-,113,109,-,3,-
"S00143817",118,-,-,-,-,118,118,-,-,-
"S00143818",119,4,6,-,3,114,114,-,-,-
"S00143819",104,3,-,-,3,102,97,5,-,-
"S00143820",157,8,-,-,8,151,147,4,-,-
"S00143821",104,64,4,28,27,42,31,11,-,-
"S00143822",111,2,-,-,2,108,108,-,-,-
"S00143823",72,2,-,-,2,70,68,2,-,-
"S00143824",160,-,-,-,-,160,160,-,1,-
"S00143825",197,11,-,7,4,183,176,10,-,-
"S00143826",167,14,6,10,-,151,151,-,-,-
"S00143827",99,5,-,5,-,92,94,4,-,-
"S00143828",109,4,-,4,-,105,105,-,-,-
"S00143829",82,-,-,-,-,82,82,-,-,-
"S00143830",87,3,1,4,-,81,81,-,-,-
"S00143831",194,115,6,-,112,76,35,41,5,-
"S00143832",144,3,-,3,-,141,141,-,-,-
"S00143833",74,12,-,8,4,62,62,-,-,-
"S00143834",64,10,3,2,5,54,21,32,1,-
"S00143835",109,108,4,104,-,1,1,-,-,-
"S00143836",96,2,-,-,2,94,83,10,1,-
"S00143837",62,-,-,-,-,62,62,-,-,-
"S00143838",63,-,-,-,-,63,63,-,-,-
"S00143839",151,4,-,-,4,147,147,-,-,-
"S00143840",64,1,-,-,1,63,63,-,-,-
"S00143841",76,1,1,-,-,75,75,-,-,-
"S00143842",123,7,-,2,6,116,116,-,-,-
"S00143843",83,84,13,40,31,1,1,-,-,-
"S00143844",134,107,21,33,50,24,24,-,-,-
"S00143845",134,19,2,12,5,115,113,2,-,-
"S00143846",114,17,4,10,3,96,88,8,-,-
"S00143847",146,7,-,4,3,137,137,-,-,-
"S00143848",63,-,-,-,-,63,63,-,-,-
"S00143849",84,6,-,-,4,78,78,-,-,-
"S00143850",90,87,3,6,78,3,3,-,-,-
"S00143851",138,37,5,15,17,101,85,13,3,-
"S00143852",124,9,-,6,3,115,115,-,-,-
"S00143853",69,-,-,-,-,69,69,-,-,-
"S00143854",68,67,-,52,9,1,1,-,-,-
"S00143855",68,26,11,8,5,38,6,32,-,-
"S00143856",127,18,6,1,11,108,95,13,-,-
"S00143857",139,4,-,4,-,135,132,3,-,-
"S00143858",91,12,4,8,-,79,73,6,-,-
"S00143859",102,55,-,34,21,47,47,-,-,-
"S00143860",93,80,19,46,15,9,9,-,-,-
"S00143861",129,-,-,-,-,129,129,-,-,-
"S00143862",190,138,61,44,29,54,48,3,-,-
"S00143863",76,6,-,-,6,71,71,-,-,-
"S00143864",106,75,41,16,18,33,31,-,1,-
"S00143865",90,74,10,33,31,16,11,1,-,-
"S00143866",80,11,6,3,5,69,65,-,-,-
"S00143867",146,135,3,69,61,11,11,-,-,-
"S00143868",170,156,23,113,20,14,14,-,-,-
"S00143869",99,-,-,-,-,99,99,-,-,-
"S00143870",141,127,4,52,70,14,8,6,-,-
"S00143871",71,-,-,-,-,71,71,-,-,-
"S00143872",73,1,-,-,1,72,71,1,-,-
"S00143873",111,95,2,40,53,15,15,-,-,-
"S00143874",104,-,-,-,-,104,102,3,-,-
"S00143875",81,8,4,2,2,73,70,1,-,-
"S00143876",196,13,-,13,-,185,185,-,-,-
"S00143877",130,-,-,-,-,130,131,2,-,-
"S00143878",137,10,-,2,6,129,126,3,-,-
"S00143879",156,6,4,-,1,150,150,-,-,-
"S00143880",111,-,-,-,-,111,111,-,-,-
"S00143881",144,113,59,24,30,27,23,1,-,4
"S00143882",123,120,3,107,9,3,3,-,-,-
"S00143883",103,-,-,-,-,103,103,-,-,-
"S00143884",78,57,-,27,30,21,21,-,-,-
"S00143885",87,-,-,-,-,87,87,-,-,-
"S00143886",73,1,-,-,1,72,72,-,-,-
"S00143887",156,8,-,-,8,148,139,9,-,-
"S00143888",136,136,-,126,9,-,-,-,-,-
"S00143889",184,45,2,24,19,142,133,6,-,-
"S00143890",80,1,-,-,1,79,79,-,-,-
"S00143891",165,60,29,30,-,105,67,38,-,-
"S00143892",82,79,5,19,56,3,3,-,-,-
"S00143893",145,120,8,54,58,21,21,-,-,-
"S00143894",170,8,-,-,8,158,158,6,-,-
"S00143895",156,2,-,2,-,154,146,7,2,-
"S00143896",143,6,-,2,4,137,137,-,-,-
"S00143897",61,2,-,-,2,62,62,-,-,-
"S00143898",76,-,-,-,-,76,71,4,1,-
"S00143899",91,3,-,3,-,88,88,-,-,-
"S00143900",100,2,-,-,2,98,98,-,-,-
"S00143901",71,1,-,-,1,70,69,-,4,-
"S00143902",132,126,-,125,-,6,6,-,-,-
"S00143903",111,5,-,-,5,109,109,-,-,-
"S00143904",144,7,-,-,7,137,136,1,-,-
"S00143905",79,4,-,-,4,75,74,1,-,-
"S00143906",115,103,72,10,28,9,9,-,-,-
"S00143907",157,-,-,-,-,157,157,-,-,-
"S00143908",102,-,-,-,-,102,100,-,2,-
"S00143909",90,4,-,-,4,83,83,-,-,1
"S00143910",132,42,19,24,2,90,59,32,-,-
"S00143911",103,82,27,39,14,21,15,4,2,-
"S00143912",138,8,-,8,1,129,128,1,-,-
"S00143913",110,52,7,42,5,58,52,6,-,-
"S00143914",75,73,-,33,40,2,-,2,-,-
"S00143915",79,10,6,-,2,77,77,-,-,-
"S00143916",63,-,-,-,-,63,63,-,-,-
"S00143917",88,2,-,-,2,82,82,-,-,-
"S00143918",105,-,-,-,-,105,105,-,-,-
"S00143919",90,2,-,-,2,88,88,-,-,-
"S00143920",126,11,5,-,7,115,115,-,-,-
"S00143921",65,63,26,32,5,2,2,-,-,-
"S00143922",119,1,-,-,1,113,103,10,-,-
"S00143923",150,6,4,-,2,144,141,3,-,-
"S00143924",133,133,6,127,-,-,-,-,-,-
"S00143925",145,141,3,82,50,7,7,-,-,-
"S00143926",147,108,43,25,40,39,37,2,-,-
"S00143927",141,-,-,-,-,141,138,3,-,-
"S00143928",77,-,-,-,-,76,76,-,-,-
"S00143929",107,39,4,31,4,68,67,2,-,-
"S00143930",198,7,5,-,4,187,186,2,-,-
"S00143931",212,129,33,79,17,83,31,49,-,-
"S00143932",101,-,-,-,-,96,87,-,10,-
"S00143933",98,2,2,-,-,96,90,-,6,-
"S00143934",210,-,-,-,-,210,205,4,1,-
"S00143935",116,31,4,15,9,87,83,4,-,-
"S00143936",93,9,-,5,3,84,84,-,-,-
"S00143937",124,-,-,-,-,124,124,-,-,-
"S00143938",143,1,1,-,-,146,146,-,-,-
"S00143939",124,86,22,56,8,38,9,29,-,-
"S00143940",70,1,-,-,1,69,68,-,1,-
"S00143941",120,2,-,-,2,118,111,2,5,-
"S00143942",69,1,1,-,-,65,65,-,-,-
"S00143943",194,194,60,83,51,4,4,-,-,-
"S00143944",132,43,-,5,38,89,89,-,-,-
"S00143945",72,-,-,-,-,72,72,-,-,-
"S00143946",82,3,-,-,3,79,79,-,-,-
"S00143947",91,74,7,28,37,19,2,17,-,-
"S00143948",100,-,-,-,-,100,99,1,-,-
"S00143949",86,10,-,1,9,73,66,7,-,-
"S00143950",113,8,4,-,4,105,105,-,-,-
"S00143951",78,2,-,-,2,76,76,-,-,-
"S00143952",133,11,4,-,9,120,112,5,4,-
"S00143953",100,3,3,-,-,101,101,-,-,-
"S00143954",86,12,4,9,-,74,74,-,-,-
"S00143955",108,104,43,32,31,4,4,-,-,-
"S00143956",100,64,18,6,43,34,20,10,4,-
"S00143957",99,1,-,-,1,97,97,-,-,-
"S00143958",85,85,-,84,1,-,-,-,-,-
"S00143959",95,43,-,9,31,52,52,-,-,-
"S00143960",165,23,-,2,20,142,142,-,-,-
"S00143961",81,20,12,9,-,61,55,-,2,-
"S00143962",88,-,-,-,-,88,88,-,-,-
"S00143963",189,135,40,84,11,54,12,42,-,-
"S00143964",129,18,-,-,18,110,102,5,-,-
"S00143965",89,44,-,5,39,45,35,6,-,-
"S00143966",57,-,-,-,-,57,57,-,-,-
"S00143967",97,-,-,-,-,97,97,-,-,-
"S00143968",62,-,-,-,-,62,62,-,-,-
"S00143969",130,-,-,-,-,130,130,-,-,-
"S00143970",82,2,-,-,2,84,84,-,-,-
"S00143971",181,119,29,78,13,61,37,29,-,-
"S00143972",122,93,9,26,61,26,26,-,-,-
"S00143973",162,125,61,49,18,37,37,-,-,-
"S00143974",171,47,18,18,12,125,91,33,-,-
"S00143975",164,7,-,5,-,159,150,9,-,-
"S00143976",82,-,-,-,-,82,82,-,-,-
"S00143977",112,1,1,-,-,111,110,1,-,-
"S00143978",82,4,1,-,2,78,77,1,-,-
"S00143979",179,27,3,13,8,150,150,-,-,-
"S00143980",113,-,-,-,-,113,113,-,-,-
"S00143981",71,63,4,11,48,8,8,-,-,-
"S00143982",83,-,-,-,-,83,83,-,-,-
"S00143983",149,10,-,4,7,139,132,6,1,-
"S00143984",125,-,-,-,-,125,125,-,-,-
"S00143985",105,9,4,8,-,97,97,-,-,-
"S00143986",135,56,14,34,12,75,36,39,-,-
"S00143987",70,24,-,9,15,46,46,-,-,-
"S00143988",60,1,1,-,-,59,59,-,-,-
"S00143989",65,-,-,-,-,65,65,-,-,-
"S00143990",115,3,-,-,3,113,105,8,-,-
"S00143991",87,1,-,1,-,85,85,-,-,-
"S00143992",118,113,84,22,10,5,5,-,-,-
"S00143993",96,72,8,14,49,25,18,7,-,-
"S00143994",121,13,-,8,6,104,100,7,-,-
"S00143995",91,61,-,20,41,30,30,-,-,-
"S00143996",165,2,-,-,1,163,154,11,-,-
"S00143997",114,-,-,-,-,114,112,2,-,-
"S00143998",76,36,2,18,16,40,24,16,-,-
"S00143999",176,2,-,-,2,174,171,3,-,-
"S00144000",74,26,-,3,21,48,48,-,-,-
"S00144001",108,96,-,74,22,12,12,-,-,-
"S00144002",83,13,4,9,-,70,29,41,-,-
"S00144003",164,5,-,4,2,157,157,-,-,-
"S00144004",97,2,-,-,2,92,94,2,-,-
"S00144005",81,-,-,-,-,81,81,-,-,-
"S00144006",106,-,-,-,-,106,106,-,-,-
"S00144007",125,8,-,5,4,116,116,-,-,-
"S00144008",89,3,2,-,1,86,81,1,4,-
"S00144009",81,10,6,5,1,71,72,3,-,-
"S00144010",128,6,4,2,-,122,122,-,-,-
"S00144011",112,84,-,17,67,28,28,-,-,-
"S00144012",193,2,2,-,-,188,188,-,-,-
"S00144013",64,1,-,-,1,63,63,-,-,-
"S00144014",169,23,-,4,10,148,142,6,-,-
"S00144015",137,71,10,22,44,66,58,6,-,-
"S00144016",114,4,-,-,4,106,106,-,-,4
"S00144017",113,113,90,23,-,-,-,-,-,-
"S00144018",192,188,34,13,137,4,4,-,-,-
"S00144019",114,-,-,-,-,114,112,2,-,-
"S00144020",91,2,-,2,-,88,88,-,-,-
"S00144021",97,4,1,2,-,96,96,-,-,-
"S00144022",161,72,37,32,3,89,31,58,-,-
"S00144023",114,28,16,9,3,86,35,51,-,-
"S00144024",149,15,2,4,8,134,126,3,3,-
"S00144025",82,17,-,15,2,65,65,-,-,-
"S00144026",114,4,-,4,-,110,110,-,-,-
"S00144027",110,85,5,12,66,27,26,1,-,-
"S00144028",110,3,-,-,3,107,106,1,-,-
"S00144029",92,12,2,9,1,80,70,12,-,-
"S00144030",101,58,22,27,9,43,43,-,-,-
"S00144031",137,23,11,12,4,114,112,2,-,-
"S00144032",126,19,6,8,4,107,99,-,8,-
"S00144033",115,22,-,7,15,93,90,3,-,-
"S00144034",100,22,-,17,2,78,78,-,-,-
"S00144035",193,115,50,45,23,78,78,-,-,-
"S00144036",118,9,-,-,9,107,107,-,-,-
"S00144037",101,-,-,-,-,101,97,3,-,-
"S00144038",92,57,-,4,56,35,34,-,-,-
"S00144039",98,98,85,7,4,-,-,-,-,-
"S00144040",114,5,-,-,5,111,109,3,-,-
"S00144041",122,95,29,44,21,28,28,-,-,-
"S00144042",110,93,17,64,13,21,6,15,-,-
"S00144043",69,33,21,12,-,36,11,25,-,-
"S00144044",97,56,-,18,38,39,39,-,-,-
"S00144045",178,3,-,2,-,175,170,5,-,-
"S00144046",148,4,-,-,4,144,144,-,-,-
"S00144047",188,1,-,-,1,187,187,-,-,-
"S00144048",146,9,4,2,4,137,132,5,-,-
"S00144049",82,4,4,-,-,79,76,-,3,-
"S00144050",141,25,5,16,8,106,83,25,2,-
"S00144051",96,28,-,4,24,68,68,-,-,-
"S00144052",81,55,29,22,4,26,11,17,-,-
"S00144053",135,102,-,15,87,33,33,-,-,-
"S00144054",113,47,-,2,45,66,60,6,-,-
"S00144055",99,65,32,19,12,34,24,10,-,-
"S00144056",134,7,-,4,1,129,129,-,-,-
"S00144057",152,30,7,11,12,120,120,-,-,-
"S00144058",114,12,2,4,4,101,92,9,-,-
"S00144059",96,-,-,-,-,95,95,-,-,1
"S00144060",168,36,24,10,1,133,82,50,-,-
"S00144061",102,11,4,6,1,91,88,3,-,-
"S00144062",128,112,10,92,10,18,18,-,-,-
"S00144063",88,13,6,2,5,75,75,-,-,-
"S00144064",160,139,64,41,34,20,20,-,-,-
"S00144065",127,93,8,69,16,34,34,-,-,-
"S00144066",105,36,5,21,10,69,46,23,-,-
"S00144067",141,118,31,45,42,22,16,-,3,-
"S00144068",139,75,14,34,27,61,61,-,-,-
"S00144069",202,195,26,81,88,6,6,-,-,-
"S00144070",75,23,4,-,18,53,32,21,-,-
"S00144071",75,22,-,11,11,57,57,-,-,-
"S00144072",84,-,-,-,-,84,84,-,-,-
"S00144073",126,26,19,7,-,100,91,6,-,-
"S00144074",111,70,15,32,24,36,37,5,-,-
"S00144075",87,-,-,-,-,87,88,-,1,-
"S00144076",186,16,7,2,4,170,170,-,-,-
"S00144077",105,3,-,-,3,103,90,9,4,-
"S00144078",121,-,-,-,-,121,121,-,-,-
"S00144079",117,82,1,9,72,35,35,-,-,-
"S00144080",163,146,65,33,48,21,17,1,-,-
"S00144081",79,16,-,10,9,60,58,2,-,-
"S00144082",106,31,-,-,31,75,75,-,-,-
"S00144083",117,-,-,-,-,117,112,4,-,-
"S00144084",187,119,78,41,-,66,12,54,-,-
"S00144085",117,71,34,12,25,46,46,-,-,-
"S00144086",159,77,17,20,41,79,75,4,-,-
"S00144087",165,12,3,4,5,152,152,-,-,-
"S00144088",100,64,45,12,-,37,24,16,-,-
"S00144089",137,49,15,7,27,90,86,1,-,1
"S00144090",107,23,4,15,4,84,84,-,-,-
"S00144091",88,59,7,7,46,28,27,1,-,-
"S00144092",71,-,-,-,-,69,66,3,-,1
"S00144093",139,-,-,-,-,139,135,4,-,-
"S00144094",101,8,-,8,-,93,92,1,-,-
"S00144095",81,15,-,6,9,66,66,-,-,-
"S00144096",130,41,-,23,17,89,89,-,-,-
"S00144097",88,5,-,-,5,83,79,3,-,-
"S00144098",120,72,4,12,55,47,43,4,-,-
"S00144099",102,10,6,1,2,87,87,-,-,2
"S00144100",87,53,2,8,40,34,34,-,-,-
"S00144101",162,146,93,24,29,16,16,-,-,-
"S00144102",124,45,20,25,-,77,56,24,-,-
"S00144103",65,2,-,2,-,62,62,-,-,-
"S00144104",95,84,38,32,14,11,11,-,-,-
"S00144105",89,6,-,3,4,82,82,-,-,-
"S00144106",83,-,-,-,-,83,82,1,-,-
"S00144107",133,7,3,2,3,126,126,-,-,-
"S00144108",105,1,1,-,-,104,104,-,-,-
"S00144109",172,29,10,5,14,143,143,-,-,-
"S00144110",73,48,-,25,27,22,22,-,-,-
"S00144111",224,160,64,21,75,64,64,-,-,-
"S00144112",76,47,4,11,32,28,27,2,-,-
"S00144113",107,11,-,7,4,93,93,-,-,-
"S00144114",125,78,3,30,48,47,43,4,-,-
"S00144115",88,16,3,10,3,69,64,2,-,-
"S00144116",63,-,-,-,-,63,63,-,-,-
"S00144117",130,63,13,31,18,66,66,-,-,-
"S00144118",85,-,-,-,-,85,85,-,-,-
"S00144119",97,4,2,2,-,91,91,2,-,-
"S00144120",111,12,-,6,6,98,97,-,-,-
"S00144121",184,108,26,38,44,76,22,53,-,-
"S00144122",89,3,-,-,3,86,86,-,-,-
"S00144123",75,72,-,18,54,4,4,-,-,-
"S00144124",76,2,-,2,-,74,74,-,-,-
"S00144125",173,12,4,-,10,162,162,-,-,-
"S00144126",105,66,9,43,14,39,38,1,-,-
"S00144127",86,46,11,17,14,41,41,-,-,-
"S00144128",64,1,-,-,1,63,63,-,-,-
"S00144129",105,32,1,6,28,73,60,10,-,-
"S00144130",98,13,1,-,11,85,22,63,-,-
"S00144131",98,4,-,4,-,94,94,-,-,-
"S00144132",127,13,-,3,9,114,113,-,1,-
"S00144133",116,3,3,-,-,115,115,-,-,-
"S00144134",123,30,20,7,-,93,60,30,-,-
"S00144135",99,3,-,-,3,96,96,-,-,-
"S00144136",109,35,26,12,-,74,41,33,-,-
"S00144137",68,54,3,35,16,14,14,-,-,-
"S00144138",84,3,-,3,-,81,75,6,3,-
"S00144139",99,3,-,3,-,96,97,1,-,-
"S00144140",120,20,-,17,1,100,97,-,2,-
"S00144141",97,3,-,3,-,91,88,5,-,-
"S00144142",126,15,-,7,8,111,111,-,-,-
"S00144143",145,18,3,9,6,127,101,26,-,-
"S00144144",103,8,1,5,1,95,95,-,-,-
"S00144145",116,9,-,7,2,107,107,-,-,-
"S00144146",140,118,45,36,37,22,22,-,-,-
"S00144147",81,81,20,15,44,-,-,-,-,-
"S00144148",162,32,-,11,23,131,131,-,-,-
"S00144149",146,118,79,39,4,24,23,-,1,-
"S00144150",98,1,-,-,1,99,94,3,-,-
"S00144151",69,26,-,13,15,43,38,5,-,-
"S00144152",99,52,-,7,45,47,47,-,-,-
"S00144153",71,10,-,10,-,61,61,-,-,-
"S00144154",121,57,5,29,21,64,53,8,-,-
"S00144155",173,41,3,12,26,132,77,55,-,-
"S00144156",113,7,2,-,3,106,106,-,-,-
"S00144157",114,-,-,1,1,112,106,6,-,-
"S00144158",120,65,6,15,45,53,53,-,-,-
"S00144159",110,8,-,7,1,106,99,7,-,-
"S00144160",152,15,3,10,3,134,134,-,-,-
"S00144161",85,15,-,8,4,74,71,3,-,-
"S00144162",119,-,-,-,-,119,89,24,6,-
"S00144163",114,107,68,17,22,7,7,-,-,-
"S00144164",175,7,3,-,3,169,163,5,-,-
"S00144165",176,171,92,29,50,9,8,2,-,-
"S00144166",136,120,10,60,53,16,16,-,-,-
"S00144167",83,17,-,3,14,66,66,-,-,-
"S00144168",144,84,1,16,66,60,56,2,2,-
"S00144169",135,53,-,-,53,85,78,5,-,-
"S00144170",195,1,-,-,1,194,194,-,-,-
"S00144171",125,15,-,-,15,106,108,2,-,-
"S00144172",114,7,-,6,2,107,104,3,-,-
"S00144173",147,22,2,4,15,128,128,-,-,-
"S00144174",199,119,55,55,10,76,32,47,-,-
"S00144175",114,17,-,14,4,92,85,3,-,-
"S00144176",121,72,5,28,42,45,45,-,-,-
"S00144177",95,4,2,-,5,88,82,4,-,-
"S00144178",126,25,-,17,6,101,95,1,3,-
"S00144179",168,79,15,41,23,89,43,36,9,-
"S00144180",108,31,-,11,22,75,75,-,-,-
"S00144181",122,84,1,16,70,38,38,-,-,-
"S00144182",100,84,11,42,34,13,13,-,-,-
"S00144183",80,8,-,6,4,69,67,2,-,-
"S00144184",160,97,17,28,45,63,50,-,11,2
"S00144185",86,16,4,6,6,70,66,4,-,-
"S00144186",89,84,12,38,34,5,5,-,-,-
"S00144187",213,143,48,67,25,73,9,66,-,-
"S00144188",81,74,1,20,55,7,7,-,-,-
"S00144189",131,102,24,73,5,29,5,24,-,-
"S00144190",92,3,3,-,-,89,81,7,-,-
"S00144191",139,29,4,13,12,110,82,26,-,-
"S00144192",102,15,-,3,6,90,82,-,6,-
"S00144193",61,10,-,-,10,51,51,-,-,-
"S00144194",154,40,6,13,21,114,99,15,-,-
"S00144195",75,37,-,4,33,37,37,-,-,-
"S00144196",77,27,2,20,9,51,51,-,-,-
"S00144197",133,-,-,-,-,133,133,-,-,-
"S00144198",119,16,-,11,9,103,97,6,-,-
"S00144199",150,10,-,-,10,141,134,3,4,-
"S00144200",72,35,20,17,2,37,8,25,3,-
"S00144201",91,-,-,1,1,85,87,2,-,-
"S00144202",76,44,30,10,-,32,15,17,-,-
"S00144203",107,51,7,28,16,56,55,-,-,-
"S00144204",157,134,14,56,64,20,20,-,-,-
"S00144205",87,11,1,6,4,78,74,4,-,-
"S00144206",120,5,-,5,-,111,106,7,2,-
"S00144207",89,8,-,4,6,81,81,-,-,-
"S00144208",103,56,4,16,36,47,47,-,-,-
"S00144209",97,44,12,7,23,53,27,26,-,-
"S00144210",83,2,-,2,-,82,82,-,-,-
"S00144211",68,17,-,17,-,54,54,-,-,-
"S00144212",83,15,4,10,-,68,64,4,-,-
"S00144213",64,-,-,-,-,64,64,-,-,-
"S00144214",82,-,-,-,-,82,81,-,-,-
"S00144215",99,8,4,2,-,91,90,-,1,-
"S00144216",182,174,106,37,31,9,9,-,-,-
"S00144217",110,8,6,-,1,102,102,-,-,-
"S00144218",141,22,4,22,-,122,122,-,-,-
"S00144219",108,12,1,9,4,95,95,-,-,1
"S00144220",91,2,-,1,1,93,87,2,-,-
"S00144221",81,2,-,-,2,79,79,-,-,-
"S00144222",83,3,-,-,3,80,75,-,5,-
"S00144223",84,-,-,-,-,84,79,4,-,-
"S00144224",114,83,10,22,50,30,30,-,-,-
"S00144225",82,-,-,-,-,82,82,-,-,-
"S00144226",112,7,-,4,3,105,92,2,8,-
"S00144227",92,8,5,-,3,84,78,2,4,-
"S00144228",127,13,6,6,1,114,75,39,-,-
"S00144229",141,125,2,52,71,16,1,9,-,-
"S00144230",77,74,9,64,-,1,1,-,-,-
