Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00135403",131,15,3,7,6,4,-,-,-,2,-,81,11
"S00135404",86,5,4,1,1,-,-,-,-,-,-,72,1
"S00135405",188,32,-,18,-,-,-,11,-,-,-,117,11
"S00135406",172,49,2,1,2,-,-,2,-,-,-,106,8
"S00135407",153,32,3,17,-,-,-,-,-,1,1,93,6
"S00135408",152,32,3,19,-,-,-,-,-,-,-,90,8
"S00135409",70,18,-,4,-,-,-,4,-,1,-,41,4
"S00135410",111,21,7,10,-,9,-,-,-,-,-,58,6
"S00135411",183,25,2,19,-,-,1,-,-,2,1,124,5
"S00135412",113,24,1,3,-,-,-,-,-,-,-,78,6
"S00135413",134,28,8,10,-,-,-,1,-,-,-,77,13
"S00135414",89,23,7,5,-,3,-,-,-,-,-,47,6
"S00135415",104,24,6,2,-,4,-,-,-,-,-,58,6
"S00135416",199,32,10,17,-,-,-,10,-,-,-,111,17
"S00135417",107,20,4,1,-,-,-,-,-,-,-,73,9
"S00135418",178,17,14,3,-,-,-,-,-,1,2,128,13
"S00135419",77,15,4,5,-,-,-,-,-,-,-,52,3
"S00135420",142,27,16,10,-,1,-,4,1,-,-,80,9
"S00135421",116,25,3,7,-,-,-,-,-,-,-,83,2
"S00135422",109,13,6,7,-,-,-,4,-,-,-,69,10
"S00135423",190,43,15,11,-,2,-,10,-,-,-,87,26
"S00135424",115,33,7,-,-,-,-,-,-,-,-,62,13
"S00135425",116,35,5,1,-,3,-,1,-,2,-,64,3
"S00135426",141,21,7,7,-,-,-,-,-,-,3,99,6
"S00135427",126,47,1,7,-,-,-,9,-,-,-,58,4
"S00135428",75,17,-,-,-,-,-,3,-,-,1,50,2
"S00135429",85,15,5,9,-,-,-,5,-,-,-,44,6
"S00135430",113,17,5,4,-,4,-,-,-,-,-,70,12
"S00135431",109,9,7,4,-,7,-,5,-,1,-,60,16
"S00135432",117,39,7,4,-,3,-,5,-,-,4,51,6
"S00135433",128,35,1,12,2,-,-,4,-,-,-,67,9
"S00135434",111,35,5,2,1,-,-,4,-,-,-,56,5
"S00135435",77,33,-,-,-,-,-,-,-,-,-,39,4
"S00135436",109,38,4,11,-,-,-,-,-,-,1,52,6
"S00135437",127,23,13,6,1,-,-,5,-,3,-,76,1
"S00135438",82,12,9,-,-,-,-,15,-,-,1,42,3
"S00135439",92,36,4,10,-,-,-,7,-,2,-,28,6
"S00135440",131,34,7,9,-,-,-,5,-,-,-,70,4
"S00135441",127,23,4,4,1,-,-,11,-,-,-,83,1
"S00135442",67,23,-,5,-,-,-,1,1,-,-,34,3
"S00135443",99,19,8,11,2,4,-,-,-,-,-,45,7
"S00135444",99,17,-,8,3,7,-,4,-,-,-,61,-
"S00135445",141,28,1,15,-,-,-,5,-,-,-,85,7
"S00135446",159,43,4,1,-,-,-,5,-,-,-,100,2
"S00135447",137,18,5,1,-,-,-,4,-,1,1,99,8
"S00135448",170,17,8,15,-,4,-,1,-,-,-,121,-
"S00135449",98,44,2,2,-,-,-,-,-,2,2,44,2
"S00135450",92,40,2,3,-,-,-,-,-,-,-,48,3
"S00135451",70,24,5,2,-,-,-,4,-,-,-,34,2
"S00135452",64,17,1,4,-,-,-,-,-,-,-,41,2
"S00135453",110,20,10,2,-,-,-,6,-,-,-,68,4
"S00135454",123,8,6,6,-,-,-,1,-,-,-,83,18
"S00135455",106,20,10,3,1,-,-,6,-,-,-,65,1
"S00135456",89,14,10,4,1,-,-,-,-,-,-,55,4
"S00135457",69,19,3,1,-,-,-,-,-,-,-,40,3
"S00135458",79,12,3,1,-,-,-,-,-,2,-,55,7
"S00135459",121,32,5,3,-,3,-,-,-,-,-,69,5
"S00135460",121,21,10,6,-,-,-,5,-,-,1,72,6
"S00135461",135,21,16,11,-,-,-,-,-,-,1,86,2
"S00135462",159,31,4,5,-,-,1,-,-,-,1,108,11
"S00135463",149,28,10,-,-,-,-,10,-,-,-,94,6
"S00135464",109,22,-,3,-,3,-,6,-,-,-,63,9
"S00135465",106,33,4,-,-,-,-,-,-,4,-,60,7
"S00135466",101,22,7,-,-,-,-,-,-,-,-,61,11
"S00135467",95,18,1,6,-,-,-,-,-,-,1,65,4
"S00135468",69,1,-,8,-,-,-,-,-,-,1,52,5
"S00135469",121,43,6,5,-,-,-,-,-,-,-,61,4
"S00135470",137,36,1,2,2,-,1,3,-,-,-,86,7
"S00135471",154,17,7,9,-,-,-,-,-,-,-,115,5
"S00135472",148,29,1,7,-,7,-,5,-,-,-,93,2
"S00135473",128,22,7,3,-,4,-,1,-,-,-,92,5
"S00135474",122,23,9,4,-,7,-,1,-,-,-,71,4
"S00135475",102,22,4,14,-,-,-,-,-,-,2,60,-
"S00135476",108,36,3,4,-,3,-,-,-,-,-,53,10
"S00135477",120,11,12,9,-,3,-,1,-,-,-,83,2
"S00135478",95,32,1,2,-,-,-,5,-,-,-,55,3
"S00135479",125,30,6,2,-,-,-,-,-,-,-,84,3
"S00135480",132,33,20,6,-,4,-,-,-,-,-,66,-
"S00135481",132,35,5,10,-,-,-,4,-,-,1,63,13
"S00135482",83,29,11,5,-,3,-,4,-,-,-,32,1
"S00135483",118,30,5,5,-,-,-,-,-,-,1,64,11
"S00135484",82,17,2,3,1,-,-,12,-,-,-,41,7
"S00135485",163,33,15,-,-,4,1,-,-,-,1,101,8
"S00135486",115,22,3,12,-,-,-,7,-,-,-,77,2
"S00135487",160,50,6,8,1,2,-,-,-,-,-,82,8
"S00135488",118,20,11,6,-,-,-,-,-,-,-,75,6
"S00135489",144,5,13,3,-,-,-,-,-,2,-,118,3
"S00135490",131,36,7,2,-,-,-,-,-,-,-,76,13
"S00135491",130,9,19,7,-,4,-,14,-,-,-,72,8
"S00135492",130,16,13,11,-,-,-,4,-,-,-,74,9
"S00135493",166,23,9,5,-,-,-,-,-,2,-,111,18
"S00135494",98,26,4,11,1,-,-,-,-,-,-,49,8
"S00135495",110,13,20,3,-,1,-,10,-,-,-,59,4
"S00135496",105,34,3,3,-,-,-,-,-,-,-,58,7
"S00135497",236,38,8,17,-,3,-,17,-,-,-,139,12
"S00135498",150,5,9,16,-,-,-,35,-,-,-,77,6
"S00135499",129,35,5,8,-,-,-,4,-,-,1,66,10
"S00135500",120,20,17,1,-,-,-,-,-,2,1,78,5
"S00135501",136,36,4,11,-,3,-,2,-,-,-,72,8
"S00135502",133,7,13,13,-,-,-,14,-,-,-,70,15
"S00135503",86,21,-,7,-,4,-,-,1,-,-,52,2
"S00135504",141,48,8,2,-,-,-,2,-,-,1,74,8
"S00135505",167,17,10,16,-,11,-,11,-,-,1,93,8
"S00135506",90,15,4,16,-,-,-,-,-,-,-,50,2
"S00135507",183,31,4,27,1,6,-,7,-,-,-,95,11
"S00135508",67,13,3,4,-,-,-,-,-,1,-,45,1
"S00135509",125,17,10,15,-,-,-,-,-,-,-,70,4
"S00135510",111,23,-,3,2,-,-,-,-,-,-,79,2
"S00135511",120,14,5,5,-,-,-,2,-,-,-,87,4
"S00135512",120,25,8,8,1,-,-,-,-,-,-,70,8
"S00135513",111,19,13,3,-,-,-,-,-,1,-,66,8
"S00135514",113,25,10,2,-,3,-,-,-,-,1,68,4
"S00135515",167,42,11,15,-,-,-,2,-,-,-,86,7
"S00135516",152,3,11,26,-,-,-,-,-,-,-,111,2
"S00135517",113,10,9,10,-,-,-,-,-,-,-,78,2
