Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00149301",110,28,16,1,-,-,-,-,-,-,-,61,2
"S00149302",77,21,5,-,-,-,-,-,-,-,-,38,9
"S00149303",108,21,6,1,5,-,-,6,-,-,-,59,9
"S00149304",145,25,10,6,-,-,-,-,-,-,-,88,17
"S00149305",121,25,15,-,-,1,-,-,-,-,-,68,8
"S00149306",121,31,4,6,-,-,-,-,-,-,-,61,17
"S00149307",115,27,12,4,-,-,-,-,-,-,-,68,4
"S00149308",77,14,7,-,-,-,-,-,-,-,2,54,-
"S00149309",161,20,11,-,-,-,-,-,-,-,-,112,17
"S00149310",116,27,8,-,-,-,1,-,-,1,-,71,5
"S00149311",151,28,12,1,-,-,-,5,-,-,-,94,11
"S00149312",101,22,5,1,-,-,-,-,-,2,1,61,10
"S00149313",111,9,6,2,-,-,-,3,-,2,-,84,5
"S00149314",107,17,7,3,-,-,-,-,-,-,-,77,2
"S00149315",96,12,10,6,-,-,-,-,-,-,-,65,4
"S00149316",128,29,19,4,-,-,-,-,-,-,-,65,15
"S00149317",112,29,8,-,-,-,-,5,-,-,-,56,13
"S00149318",73,12,5,2,-,-,-,-,-,-,-,49,2
"S00149319",103,25,8,1,-,-,-,-,-,-,-,64,5
"S00149320",94,21,3,4,-,-,-,-,-,-,-,61,8
"S00149321",163,23,8,4,-,-,-,-,-,3,1,118,6
"S00149322",95,22,8,8,1,-,-,-,-,-,1,54,-
"S00149323",90,20,11,4,-,-,-,-,-,-,-,54,4
"S00149324",101,23,7,4,-,-,-,-,-,-,-,71,-
"S00149325",123,10,15,4,-,-,-,1,-,-,-,96,8
"S00149326",158,12,13,-,-,-,-,-,-,2,-,110,24
"S00149327",74,20,10,9,-,-,-,-,-,4,-,38,1
"S00149328",160,27,6,6,-,-,-,-,-,-,-,102,16
"S00149329",96,16,5,2,-,-,-,1,-,-,-,72,-
"S00149330",109,25,6,6,1,-,-,-,-,-,-,69,4
"S00149331",70,17,7,1,-,-,1,-,-,-,-,42,2
"S00149332",128,18,6,4,-,-,-,-,-,-,-,87,7
"S00149333",122,12,13,3,-,-,-,-,-,-,-,86,5
"S00149334",86,4,8,1,-,-,-,-,-,3,1,59,9
"S00149335",97,19,1,1,-,-,-,-,-,-,-,70,8
"S00149336",80,10,6,5,2,-,-,-,-,-,-,53,6
"S00149337",72,28,3,4,-,-,-,-,-,-,-,41,1
"S00149338",142,70,7,4,-,-,-,-,-,-,-,53,11
"S00149339",102,29,7,8,-,-,-,-,-,-,-,50,8
"S00149340",149,61,7,4,1,-,-,-,-,-,2,59,19
"S00149341",119,51,1,5,-,-,-,-,-,-,-,54,10
"S00149342",68,25,1,14,-,-,-,-,-,2,-,26,5
"S00149343",106,30,8,3,-,-,-,-,-,2,-,53,4
"S00149344",123,27,-,3,-,-,-,-,-,-,-,90,3
"S00149345",100,24,9,1,-,-,-,-,-,-,-,63,4
"S00149346",97,13,3,-,-,-,-,-,-,-,-,80,2
"S00149347",88,28,8,4,-,-,-,-,-,-,-,41,3
"S00149348",137,39,5,4,-,-,-,-,-,-,2,83,4
"S00149349",132,26,4,6,-,-,-,-,2,-,-,86,4
"S00149350",98,37,9,7,-,-,-,-,-,-,-,43,2
"S00149351",125,54,11,7,-,-,-,-,-,-,-,39,14
"S00149352",93,33,2,4,-,-,-,-,-,-,-,45,9
"S00149353",91,32,9,5,-,-,-,1,-,-,-,39,5
"S00149354",119,37,6,2,3,-,-,-,-,2,-,58,6
"S00149355",140,54,8,-,-,-,-,-,-,-,-,69,9
"S00149356",138,42,11,2,-,-,-,6,-,-,-,70,7
"S00149357",104,42,8,3,-,-,-,-,-,-,-,47,4
"S00149358",105,27,5,4,-,-,-,-,-,-,-,63,4
"S00149359",181,37,18,2,-,-,-,-,-,-,1,116,6
"S00149360",150,32,2,3,-,-,-,-,-,-,2,106,3
"S00149361",144,62,8,9,-,-,-,-,-,-,1,52,10
"S00149362",153,47,10,-,-,-,-,-,-,-,-,81,15
"S00149363",109,28,5,-,-,-,1,-,-,-,1,65,5
"S00149364",152,49,8,4,-,-,-,-,-,1,-,82,10
"S00149365",120,41,4,3,-,-,-,-,-,1,-,63,13
"S00149366",88,26,4,1,-,-,-,-,-,-,-,55,-
"S00149367",117,48,12,3,-,-,-,-,-,-,-,44,10
"S00149368",129,58,12,7,-,-,-,1,-,-,1,51,1
"S00149369",119,21,5,-,-,-,-,-,-,-,-,84,9
"S00149370",130,39,6,3,-,-,-,5,-,-,-,70,7
"S00149371",125,42,6,-,-,-,-,-,-,-,1,70,5
"S00149372",78,17,2,-,-,-,-,-,-,-,-,52,8
"S00149373",80,24,2,3,-,-,-,-,-,-,-,49,4
"S00149374",108,49,3,2,-,-,-,5,-,-,-,42,2
"S00149375",112,49,6,2,1,-,-,-,-,-,-,52,5
"S00149376",175,47,6,4,2,-,-,-,-,-,-,104,12
"S00149377",77,16,5,5,-,-,-,6,-,-,-,41,2
"S00149378",129,63,7,3,-,-,-,1,-,-,-,51,3
"S00149379",94,34,9,-,-,-,-,-,-,2,-,47,2
"S00149380",109,49,10,6,-,-,-,-,-,-,-,46,6
"S00149381",84,27,6,3,-,-,-,-,-,-,-,41,7
"S00149382",93,7,4,-,-,-,-,-,-,2,-,68,17
"S00149383",107,21,7,1,-,-,-,-,-,-,4,66,8
"S00149384",166,81,19,-,6,-,-,-,-,1,3,51,4
"S00149385",142,64,7,10,-,-,-,-,-,1,-,53,7
"S00149386",106,26,9,4,-,-,-,-,-,-,-,63,8
"S00149387",61,23,5,1,-,-,-,-,-,-,-,30,-
"S00149388",96,37,7,-,-,-,-,-,-,-,-,47,5
"S00149389",97,27,5,2,-,-,-,-,-,1,-,58,6
"S00149390",122,43,14,-,-,-,-,-,-,2,-,47,15
"S00149391",83,35,2,11,-,-,-,-,-,-,-,28,4
"S00149392",136,50,5,2,-,-,-,-,-,-,-,72,8
"S00149393",85,17,3,4,-,-,-,-,4,-,-,41,15
"S00149394",138,41,13,9,1,-,-,-,-,-,-,73,4
"S00149395",183,94,9,12,-,-,-,-,-,1,-,55,17
"S00149396",95,27,2,5,-,-,-,-,-,1,-,52,8
"S00149397",116,23,14,5,-,-,-,-,-,1,-,69,4
"S00149398",111,39,6,2,-,-,-,-,-,-,2,58,3
"S00149399",114,31,15,2,-,-,-,-,-,-,-,61,5
"S00149400",103,24,8,4,-,-,-,-,-,2,-,64,2
"S00149401",115,30,11,2,-,-,-,-,-,1,2,66,4
"S00149402",77,12,4,2,-,-,-,-,-,-,-,53,6
"S00149403",83,22,2,1,-,-,-,-,-,-,2,54,1
"S00149404",106,11,5,1,-,-,-,-,-,-,-,84,4
"S00149405",95,19,4,9,-,-,-,-,-,-,1,55,9
"S00149406",94,10,1,-,-,-,-,-,-,-,-,66,15
"S00149407",86,26,5,-,-,-,-,-,-,-,-,50,2
"S00149408",93,29,4,1,-,-,-,-,-,-,-,55,4
"S00149409",67,15,5,-,-,-,-,-,-,-,-,41,6
"S00149410",170,48,8,5,-,-,-,-,-,2,1,100,11
"S00149411",114,25,4,1,-,-,-,-,-,-,-,71,6
"S00149412",119,30,2,1,-,-,-,-,-,-,-,82,4
"S00149413",135,45,6,-,3,-,-,-,-,-,2,79,-
"S00149414",108,38,8,9,-,-,-,-,-,1,-,47,4
"S00149415",89,50,1,2,-,-,-,-,-,2,2,32,1
"S00149416",138,56,4,6,-,-,-,-,-,-,-,64,6
"S00149417",75,15,15,1,-,-,-,-,-,-,-,44,-
"S00149418",101,26,4,3,-,-,-,4,-,-,-,58,6
"S00149419",109,44,-,-,-,-,-,-,-,-,1,47,17
"S00149420",154,18,26,5,-,-,-,5,-,1,2,87,10
"S00149421",64,13,2,-,-,-,-,-,-,1,-,40,7
"S00149422",133,38,14,6,-,-,-,-,-,-,1,70,10
"S00149423",94,16,11,3,-,-,-,-,-,1,-,53,10
"S00149424",94,35,1,-,-,-,-,-,-,-,1,48,6
"S00149425",158,45,17,3,-,-,-,-,-,-,-,86,7
"S00149426",70,5,4,2,-,-,-,-,-,-,1,52,1
"S00149427",101,30,4,2,-,-,-,4,-,-,-,55,8
"S00149428",73,24,8,3,-,-,-,-,-,-,-,37,4
"S00149429",109,29,8,9,-,-,-,-,-,-,-,56,7
"S00149430",87,30,11,1,1,-,-,-,-,-,-,41,5
"S00149431",140,34,9,1,-,-,-,-,-,-,-,90,9
"S00149432",174,72,15,4,-,-,-,-,-,1,2,69,6
"S00149433",95,21,7,3,-,-,-,-,-,-,2,51,11
"S00149434",171,49,16,2,-,-,-,-,-,-,-,97,7
"S00149435",105,17,6,3,-,-,-,-,-,-,-,73,4
"S00149436",110,33,10,-,-,-,-,-,-,-,-,61,6
"S00149437",92,24,10,-,-,-,-,-,-,2,1,52,5
"S00149438",76,23,4,-,-,-,-,-,-,-,-,45,3
"S00149439",85,19,4,-,-,-,-,-,-,1,-,60,1
"S00149440",76,25,10,-,-,-,-,-,-,-,-,36,5
"S00149441",122,25,6,1,-,-,-,-,-,-,-,77,11
"S00149442",109,19,11,1,-,-,-,-,-,-,-,68,11
"S00149443",70,24,10,-,1,-,-,-,-,1,-,27,5
"S00149444",119,42,9,-,-,-,-,-,-,-,1,67,-
"S00149445",109,48,11,7,-,-,-,-,-,-,-,33,7
"S00149446",90,25,11,-,-,-,-,-,-,-,-,51,5
"S00149447",101,23,14,4,-,-,-,-,-,-,-,51,11
"S00149448",136,29,15,-,-,3,2,8,4,-,1,66,5
"S00149449",106,43,12,1,-,-,-,-,-,-,-,47,3
"S00149450",141,43,21,4,-,-,-,-,-,-,-,64,7
"S00149451",116,29,10,-,-,-,-,-,-,-,-,71,8
"S00149452",99,44,7,3,-,-,-,-,-,-,-,36,9
"S00149453",172,77,8,6,-,-,-,-,-,-,-,67,15
"S00149454",87,45,-,3,-,-,-,-,-,-,1,29,9
"S00149455",138,45,9,5,-,-,-,-,-,-,-,70,9
"S00149456",96,43,8,4,-,1,-,-,-,-,-,34,6
"S00149457",158,42,8,9,-,-,-,5,-,-,-,88,6
"S00149458",99,28,6,10,-,-,-,-,-,-,-,52,-
"S00149459",148,39,3,7,-,-,-,-,-,-,1,96,4
"S00149460",98,33,6,9,-,-,-,-,-,1,-,45,7
"S00149461",140,36,5,13,-,-,-,-,-,1,-,77,4
"S00149462",231,67,9,16,-,-,-,-,-,-,-,135,4
"S00149463",98,36,5,-,-,-,-,-,-,-,-,50,6
"S00149464",70,23,6,7,-,-,-,-,-,-,-,35,2
"S00149465",80,30,1,2,-,-,-,-,-,-,-,44,1
"S00149466",204,29,44,2,-,5,-,11,-,3,-,102,10
"S00149467",207,86,7,8,-,-,-,4,-,-,2,96,7
"S00149468",130,25,12,15,-,-,-,4,-,-,-,71,1
"S00149469",135,33,11,3,-,-,-,16,-,-,2,77,1
"S00149470",124,52,6,7,-,-,-,-,-,-,-,53,4
"S00149471",192,69,10,7,-,-,-,-,-,-,-,91,19
"S00149472",130,27,3,1,-,-,-,-,-,-,1,94,4
"S00149473",84,30,9,7,-,-,-,-,-,-,-,33,5
"S00149474",116,36,8,3,-,-,-,-,-,-,-,67,2
"S00149475",146,77,9,4,-,-,-,-,-,-,-,46,9
"S00149476",158,57,27,10,-,-,-,-,-,-,-,55,11
"S00149477",121,29,8,17,3,-,-,10,-,-,-,43,13
"S00149478",70,14,1,-,-,-,-,-,-,-,-,42,11
"S00149479",77,21,6,-,-,-,-,-,-,-,-,48,4
"S00149480",86,34,5,3,-,-,-,-,-,-,-,41,2
"S00149481",112,70,12,4,-,-,1,-,-,-,-,25,4
"S00149482",98,39,4,1,-,-,-,-,-,-,-,42,12
"S00149483",168,41,-,6,-,-,-,-,-,-,-,115,4
"S00149484",148,48,7,5,-,-,-,2,-,1,-,80,4
"S00149485",133,48,9,7,1,-,-,1,-,-,-,62,7
"S00149486",74,35,2,5,-,-,-,-,-,1,-,27,4
"S00149487",89,23,4,5,-,-,-,-,-,-,-,56,4
"S00149488",159,70,3,4,-,-,-,-,-,-,-,79,7
"S00149489",109,36,3,2,1,-,-,-,-,2,-,64,2
"S00149490",85,22,13,11,-,-,-,-,-,-,3,34,3
"S00149491",169,42,7,4,1,-,-,-,-,1,-,102,8
"S00149492",121,48,18,5,-,-,-,-,-,-,-,44,2
"S00149493",103,27,3,8,-,1,-,-,-,-,-,56,8
"S00149494",166,46,11,5,-,-,-,-,-,-,-,94,9
"S00149495",135,34,2,3,-,-,-,-,-,-,-,91,5
"S00149496",107,37,6,-,-,-,-,-,-,-,-,61,3
"S00149497",104,48,1,10,-,-,-,1,-,-,1,38,5
"S00149498",103,29,6,-,-,-,-,-,-,-,-,62,6
"S00149499",105,47,1,-,-,-,-,-,-,-,-,54,3
"S00149500",138,44,6,20,1,-,-,-,6,-,-,57,4
"S00149501",60,24,7,1,-,-,-,-,-,-,-,23,5
"S00149502",127,26,24,1,-,-,-,-,-,-,-,66,7
"S00149503",98,30,6,3,-,-,-,1,-,1,-,54,3
"S00149504",113,39,7,4,-,-,-,-,-,-,-,54,11
"S00149505",82,34,3,1,1,-,-,-,-,-,-,41,2
"S00149506",94,39,7,8,-,-,-,-,-,-,-,33,7
"S00149507",100,31,1,2,-,-,-,-,-,-,-,56,10
"S00149508",131,42,9,-,-,-,-,-,-,-,1,75,6
"S00149509",129,20,5,6,-,-,-,-,-,1,2,87,8
"S00149510",133,42,12,-,-,-,-,-,-,-,-,65,13
"S00149511",91,23,5,8,-,-,-,-,-,-,-,46,10
"S00149512",102,13,2,3,2,3,-,-,-,-,-,76,3
"S00149513",75,21,2,7,-,-,-,-,-,-,-,34,7
"S00149514",134,19,1,4,-,-,-,-,-,2,-,108,7
"S00149515",81,19,2,1,-,-,-,2,-,-,-,51,3
"S00149516",110,39,5,1,-,-,-,-,-,-,-,55,7
"S00149517",85,13,5,-,-,-,-,-,-,-,-,56,11
"S00149518",112,34,5,3,-,-,-,-,-,-,2,63,6
"S00149519",87,18,3,9,-,-,-,5,-,-,-,43,5
"S00149520",67,21,7,-,-,-,-,-,-,-,-,35,4
"S00149521",95,31,6,3,-,-,-,-,-,-,-,47,7
"S00149522",73,25,8,-,1,-,-,-,-,1,-,31,8
"S00149523",138,23,3,2,-,-,-,-,-,-,-,108,-
"S00149524",85,27,8,4,-,-,-,-,-,-,-,42,4
"S00149525",126,23,12,3,-,-,-,-,-,-,-,83,2
"S00149526",113,41,11,5,-,-,-,-,-,2,-,41,13
"S00149527",139,33,9,5,-,-,-,-,6,-,-,73,16
"S00149528",226,66,12,9,-,-,-,6,-,-,-,129,4
"S00149529",104,34,3,1,-,-,-,-,-,-,-,56,10
"S00149530",144,43,15,2,-,-,1,-,-,1,-,66,14
"S00149531",111,17,8,4,-,-,-,-,-,-,1,73,11
"S00149532",123,40,11,4,-,-,-,-,-,-,2,62,5
"S00149533",103,28,9,1,-,-,-,-,-,-,-,46,14
"S00149534",117,44,12,4,-,-,-,-,-,-,-,44,14
"S00149535",121,41,4,6,-,-,-,-,-,-,-,63,8
"S00149536",72,22,-,3,-,-,-,-,-,-,-,47,3
"S00149537",190,53,11,7,-,-,-,-,-,-,1,104,10
"S00149538",169,19,9,8,-,-,-,6,-,1,-,114,13
"S00149539",98,28,5,-,-,-,-,-,-,2,-,54,8
"S00149540",100,23,8,4,-,-,-,-,-,-,-,61,3
"S00149541",156,20,4,10,-,-,-,3,-,-,-,103,12
"S00149542",116,39,12,2,-,-,-,-,-,-,-,56,5
"S00149543",134,10,5,4,-,-,-,2,-,-,1,97,12
"S00149544",120,21,11,2,1,-,-,-,-,2,-,78,5
"S00149545",89,35,6,-,-,-,-,-,1,-,-,41,5
"S00149546",168,40,4,-,-,-,-,-,-,1,-,108,15
"S00149547",140,13,12,4,-,-,-,-,-,-,-,105,7
"S00149548",120,43,5,4,-,-,-,-,-,-,-,65,2
"S00149549",96,37,5,-,2,-,-,-,-,-,-,48,5
"S00149550",117,30,4,3,-,-,-,-,-,-,-,66,10
"S00149551",78,23,-,18,1,-,-,-,-,-,-,32,6
"S00149552",84,30,6,5,-,-,2,-,-,1,-,43,-
"S00149553",87,47,4,-,-,-,-,-,-,-,-,34,2
"S00149554",147,61,6,4,-,-,-,-,-,-,-,67,12
"S00149555",77,27,4,4,-,-,-,-,-,1,-,41,-
"S00149556",65,15,4,-,-,-,-,-,-,-,-,43,5
"S00149557",162,29,5,7,-,-,-,-,-,1,-,114,6
"S00149558",130,47,6,-,-,-,-,-,-,-,-,66,15
"S00149559",103,48,9,1,-,-,-,-,-,-,-,44,6
"S00149560",123,50,4,2,1,-,-,-,-,-,-,63,8
"S00149561",130,39,12,6,-,-,-,-,-,-,-,76,1
"S00149562",143,71,4,1,-,-,-,-,-,-,-,59,6
"S00149563",150,37,-,-,-,-,-,-,-,2,-,98,16
"S00149564",237,70,15,7,-,-,1,-,-,-,-,143,4
"S00149565",82,28,7,2,-,-,-,-,-,-,-,39,9
"S00149566",101,31,4,-,-,-,-,-,-,-,-,64,2
"S00149567",176,39,5,4,-,-,-,-,-,-,-,116,16
"S00149568",97,29,1,-,-,-,-,-,-,-,-,58,8
"S00149569",134,37,-,6,-,-,-,-,-,-,-,81,10
"S00149570",109,31,3,3,-,-,-,1,-,2,-,62,6
"S00149571",104,24,3,1,-,-,-,-,-,-,-,71,5
"S00149572",103,41,-,2,-,-,-,-,-,4,-,45,11
"S00149573",100,27,-,1,-,-,-,1,-,-,-,63,4
"S00149574",145,39,4,6,-,-,-,-,-,-,-,76,19
"S00149575",111,42,2,-,-,-,-,-,-,-,-,63,4
"S00149576",96,18,8,-,-,-,-,-,-,1,-,66,3
"S00149577",99,21,2,-,-,-,-,-,-,-,-,67,8
"S00149578",87,24,4,1,-,-,-,-,-,1,-,57,-
"S00149579",112,30,6,4,-,-,-,-,5,-,-,63,7
"S00149580",172,73,3,7,-,-,-,-,-,-,-,72,17
"S00149581",101,37,3,10,-,-,-,-,-,1,-,41,8
"S00149582",127,38,1,11,-,-,-,-,-,-,-,68,9
"S00149583",197,55,7,9,3,-,-,1,-,-,1,109,10
"S00149584",69,11,-,2,1,-,1,-,-,1,-,48,6
"S00149585",108,38,11,5,-,-,-,-,-,-,-,54,3
"S00149586",170,57,12,14,1,-,2,-,-,4,-,73,10
"S00149587",155,36,12,8,-,-,-,-,-,-,-,88,11
"S00149588",94,38,-,3,-,-,-,-,-,-,-,40,9
"S00149589",142,42,8,4,1,-,-,-,-,-,-,82,7
"S00149590",200,54,7,8,-,-,-,-,-,3,-,118,9
"S00149591",108,28,1,6,-,-,-,-,-,-,-,68,2
"S00149592",79,24,2,4,-,-,-,-,-,2,-,46,4
"S00149593",87,23,2,10,-,-,-,-,-,1,-,43,8
"S00149594",94,19,1,-,-,-,-,-,-,-,-,71,3
"S00149595",144,34,4,6,-,-,-,-,-,-,2,87,10
"S00149596",96,40,4,1,-,2,1,1,-,-,-,39,5
"S00149597",113,23,-,-,-,-,-,-,-,-,-,81,9
"S00149598",96,42,4,1,-,-,-,-,-,-,-,44,5
"S00149599",111,48,2,9,-,-,-,-,-,-,-,36,15
"S00149600",115,15,5,1,-,-,-,-,-,3,-,88,4
"S00149601",144,27,10,7,-,-,-,-,1,4,-,93,5
"S00149602",78,32,7,7,2,-,-,-,-,-,1,26,2
"S00149603",96,39,1,7,-,-,-,-,-,3,-,41,8
"S00149604",149,58,9,4,1,-,-,-,-,-,-,72,8
"S00149605",78,24,2,-,-,-,-,-,-,-,2,48,2
"S00149606",65,26,3,3,-,-,-,-,-,-,-,30,5
"S00149607",74,28,-,1,-,-,-,-,-,-,-,40,3
"S00149608",63,24,5,4,-,-,-,-,-,-,-,21,6
"S00149609",75,28,-,5,-,-,-,-,-,1,-,43,-
"S00149610",90,22,5,4,-,-,-,-,-,-,-,51,6
"S00149611",121,29,6,3,-,-,-,-,-,-,-,76,6
"S00149612",132,37,8,-,-,-,-,-,-,-,1,82,7
"S00149613",102,25,1,3,-,-,-,-,-,-,-,66,7
"S00149614",102,28,3,8,-,-,-,-,-,-,-,59,6
"S00149615",124,35,7,12,-,-,-,-,-,-,-,57,11
"S00149616",160,27,11,3,1,-,-,-,-,-,-,95,23
"S00149617",120,35,5,4,-,-,-,-,-,-,-,69,8
"S00149618",91,41,4,1,-,-,-,-,-,3,-,39,7
"S00149619",96,23,-,7,-,-,-,-,-,-,-,56,1
"S00149620",86,23,-,4,-,-,1,-,-,-,-,47,7
"S00149621",101,21,1,-,-,-,-,-,-,-,-,68,9
"S00149622",88,21,5,11,-,-,-,-,-,2,-,51,-
"S00149623",117,26,3,5,-,-,-,-,-,-,-,76,6
"S00149624",83,10,3,9,-,-,-,-,-,-,-,60,1
"S00149625",73,19,4,-,-,-,-,-,-,-,-,45,4
"S00149626",113,35,6,11,-,-,-,-,-,-,-,45,11
"S00149627",65,24,-,6,-,-,-,-,-,-,-,31,4
"S00149628",188,59,15,5,-,-,-,-,1,-,-,93,15
"S00149629",83,38,4,2,-,-,-,-,-,-,-,27,6
"S00149630",164,56,4,5,-,-,-,2,-,-,2,86,11
"S00149631",93,36,4,2,-,-,-,-,-,-,-,44,9
"S00149632",99,54,2,2,-,-,-,-,-,-,-,41,3
"S00149633",110,51,4,2,-,-,-,-,-,1,-,46,7
"S00149634",161,47,20,1,-,-,-,-,-,5,-,77,9
"S00149635",250,64,25,4,-,-,-,-,-,1,-,118,38
"S00149636",112,43,5,-,-,-,-,-,-,-,-,62,3
"S00149637",194,47,14,-,-,-,-,-,-,-,-,129,3
"S00149638",160,41,18,7,-,-,-,-,-,1,1,84,8
"S00149639",95,31,11,2,-,-,-,-,-,-,-,49,6
"S00149640",105,19,6,2,-,-,-,-,-,-,-,75,2
"S00149641",112,32,8,1,-,-,-,-,-,3,-,61,8
"S00149642",80,24,4,1,-,-,-,-,-,-,-,46,5
"S00149643",140,31,16,3,1,-,-,-,-,-,-,90,-
"S00149644",60,17,4,-,-,-,-,-,-,-,-,33,8
"S00149645",83,20,2,1,-,-,-,-,-,-,1,54,5
"S00149646",115,57,6,2,-,-,-,-,-,-,-,43,7
"S00149647",122,50,9,-,-,-,-,-,-,1,-,58,2
"S00149648",143,60,5,7,-,-,-,-,4,-,-,57,10
"S00149649",97,28,8,-,-,-,-,-,-,-,-,60,4
"S00149650",92,38,9,-,-,-,-,-,-,-,-,41,4
"S00149651",161,61,6,4,-,-,-,-,4,-,-,69,17
"S00149652",176,55,14,3,-,-,1,-,4,-,-,86,7
"S00149653",98,39,6,4,-,-,-,-,-,2,-,47,-
"S00149654",112,42,5,3,-,-,-,-,-,8,-,45,9
"S00149655",168,57,12,7,-,-,-,2,-,-,-,74,16
"S00149656",139,23,4,4,-,-,-,-,-,-,-,100,8
"S00149657",104,29,1,6,1,-,-,-,-,1,1,57,7
"S00149658",131,53,8,1,-,-,1,-,-,1,-,55,12
"S00149659",87,28,-,-,-,-,-,1,-,-,-,55,3
"S00149660",135,36,11,-,-,-,-,-,-,-,2,81,4
"S00149661",151,38,14,5,-,-,-,-,-,-,-,79,13
"S00149662",79,31,3,-,-,-,-,-,-,-,-,41,4
"S00149663",111,37,7,1,-,-,-,-,-,-,-,57,6
"S00149664",189,40,-,1,-,-,-,-,-,-,2,141,8
"S00149665",92,12,3,4,-,-,-,-,-,-,-,70,2
"S00149666",78,27,-,1,-,-,-,-,-,-,-,45,3
"S00149667",108,29,22,3,-,-,-,-,1,-,-,49,1
"S00149668",182,78,23,4,-,-,-,1,-,-,-,61,13
"S00149669",120,23,19,8,-,-,-,-,-,-,3,64,2
"S00149670",185,56,30,8,-,-,-,-,-,1,-,65,31
"S00149671",186,38,19,7,-,-,-,-,2,-,-,100,20
"S00149672",127,20,35,6,-,-,-,-,-,-,-,53,15
"S00149673",154,27,40,2,-,-,-,-,-,-,1,72,15
"S00149674",214,42,56,4,-,-,-,-,-,-,1,103,8
"S00149675",97,28,34,-,-,-,-,-,-,-,-,29,6
"S00149676",293,63,68,6,1,-,-,-,-,2,1,119,33
"S00149677",106,17,25,2,-,-,-,-,-,-,-,54,8
"S00149678",135,26,40,12,1,-,-,-,-,2,-,36,19
"S00149679",107,12,25,6,-,-,-,-,-,-,-,52,5
"S00149680",99,16,44,3,-,-,-,-,-,-,-,32,4
"S00149681",89,15,29,2,-,-,-,-,-,-,-,30,11
"S00149682",65,12,31,-,-,-,-,-,-,4,-,15,2
"S00149683",155,51,28,1,-,-,-,2,-,-,-,66,9
"S00149684",93,10,23,6,-,-,-,-,-,-,1,49,4
"S00149685",157,32,43,5,-,-,-,-,-,-,-,64,16
"S00149686",90,19,26,3,1,-,-,-,-,-,-,34,10
"S00149687",126,17,36,4,-,-,-,-,-,1,-,60,11
"S00149688",149,16,41,3,-,-,-,-,1,-,2,76,11
"S00149689",143,12,67,3,-,-,-,-,-,-,1,54,6
"S00149690",143,14,45,1,-,-,-,-,-,-,-,64,19
"S00149691",93,10,29,6,-,1,-,-,-,2,-,38,8
"S00149692",145,33,36,6,-,-,-,-,-,1,-,64,9
"S00149693",163,30,84,1,-,-,-,-,-,2,-,45,2
"S00149694",148,13,39,4,-,-,1,-,-,2,-,76,10
"S00149695",66,13,21,-,-,-,-,5,-,-,-,21,4
"S00149696",147,23,43,7,-,-,-,-,-,1,-,67,6
"S00149697",76,17,30,-,-,-,-,-,-,-,-,16,4
"S00149698",176,32,54,-,1,-,-,-,-,2,-,73,15
"S00149699",142,39,26,6,-,-,-,-,-,-,-,59,10
"S00149700",110,21,34,3,-,-,-,-,-,-,-,44,9
"S00149701",101,34,35,5,-,-,-,-,-,-,1,28,2
"S00149702",119,25,22,7,-,2,-,-,-,-,-,49,11
"S00149703",134,29,41,5,2,-,-,-,-,-,1,49,7
"S00149704",177,60,32,1,-,-,-,-,-,-,-,69,12
"S00149705",92,19,19,1,-,-,-,-,-,2,-,43,7
"S00149706",74,12,16,7,-,-,1,-,-,-,-,32,6
"S00149707",93,20,15,2,-,-,-,-,-,-,-,43,11
"S00149708",91,20,22,3,-,-,-,-,-,-,-,40,9
"S00149709",144,52,18,6,-,-,-,3,-,-,-,66,4
"S00149710",153,35,20,1,-,-,-,-,-,-,-,83,7
"S00149711",107,14,25,-,-,-,-,-,-,-,-,65,4
"S00149712",89,14,26,3,-,-,-,1,-,-,-,40,2
"S00149713",133,27,36,3,-,-,-,-,-,2,-,57,12
"S00149714",127,17,30,9,1,3,-,1,-,-,-,50,17
"S00149715",88,21,16,1,-,-,-,-,-,-,-,49,2
"S00149716",105,18,16,4,-,-,-,3,-,-,1,52,14
"S00149717",143,20,20,2,-,-,1,-,-,-,-,95,5
"S00149718",113,22,22,9,1,-,-,-,-,-,-,49,10
"S00149719",108,26,25,7,-,-,-,-,-,-,1,42,7
"S00149720",73,19,23,4,-,-,-,-,-,-,1,23,-
"S00149721",147,27,39,14,-,-,-,-,-,-,-,49,15
"S00149722",144,33,38,6,-,-,-,-,-,2,-,55,10
"S00149723",96,23,25,-,-,-,-,4,-,1,-,30,14
"S00149724",121,28,18,1,-,-,-,2,3,-,-,56,11
"S00149725",127,43,22,5,-,-,-,-,-,-,-,50,4
"S00149726",109,26,23,9,-,-,-,-,-,-,-,46,4
"S00149727",92,24,22,-,-,-,-,-,-,-,1,39,4
"S00149728",90,24,7,4,1,-,-,-,-,-,3,43,8
"S00149729",97,37,11,4,-,-,-,-,-,1,-,41,7
"S00149730",95,35,17,2,1,-,-,-,-,2,-,23,15
"S00149731",133,49,19,13,-,-,-,-,-,-,-,48,1
"S00149732",95,26,29,1,-,-,-,-,-,-,-,30,6
"S00149733",62,28,4,3,-,-,-,-,-,-,1,21,1
"S00149734",73,14,16,2,-,-,-,1,-,-,-,39,2
