Scotland's Census 2022 - National Records of Scotland
Table UV211 - British Sign Language (BSL) skills
All people aged 3 and over

,"All people aged 3 and over","BSL User","Not a BSL user"
"S00135567",124,5,119
"S00135568",147,2,148
"S00135569",100,1,99
"S00135570",111,1,110
"S00135571",102,6,96
"S00135572",115,-,113
"S00135573",105,1,104
"S00135574",94,2,88
"S00135575",142,5,137
"S00135576",126,4,118
"S00135577",123,1,121
"S00135578",117,3,114
"S00135579",83,1,82
"S00135580",135,3,134
"S00135581",127,1,126
"S00135582",82,-,81
"S00135583",130,5,124
"S00135584",116,1,115
"S00135585",105,12,92
"S00135586",118,4,114
"S00135587",72,2,70
"S00135588",85,-,85
"S00135589",82,4,78
"S00135590",80,-,80
"S00135591",80,3,76
"S00135592",103,9,93
"S00135593",85,1,84
"S00135594",94,2,93
"S00135595",144,2,140
"S00135596",204,9,195
"S00135597",133,3,128
"S00135598",89,4,84
"S00135599",123,1,122
"S00135600",60,-,60
"S00135601",128,1,125
"S00135602",124,1,122
"S00135603",80,-,80
"S00135604",83,5,78
"S00135605",82,2,76
"S00135606",270,2,268
"S00135607",1711,73,1638
"S00135608",95,2,93
"S00135609",108,-,108
"S00135610",156,6,146
"S00135611",87,4,85
"S00135612",149,5,144
"S00135613",114,7,107
"S00135614",110,12,101
"S00135615",153,5,156
"S00135616",72,-,72
"S00135617",105,5,100
"S00135618",74,1,73
"S00135619",63,1,62
"S00135620",122,8,117
"S00135621",129,6,124
"S00135622",89,3,87
"S00135623",128,3,125
"S00135624",90,4,86
"S00135625",129,4,125
"S00135626",58,1,58
"S00135627",127,-,129
"S00135628",151,2,148
"S00135629",152,10,142
"S00135630",110,2,107
"S00135631",157,9,148
"S00135632",159,2,155
"S00135633",64,2,62
"S00135634",75,1,74
"S00135635",114,1,113
"S00135636",101,4,97
"S00135637",121,3,122
"S00135638",76,3,73
"S00135639",69,1,72
"S00135640",126,3,123
"S00135641",86,3,85
"S00135642",179,2,172
"S00135643",90,2,88
"S00135644",74,1,73
"S00135645",81,2,79
"S00135646",74,3,70
"S00135647",147,1,146
"S00135648",112,3,109
"S00135649",85,5,80
"S00135650",108,4,103
"S00135651",114,2,112
"S00135652",85,2,83
"S00135653",82,-,80
"S00135654",69,1,68
"S00135655",106,3,102
"S00135656",104,-,104
"S00135657",116,6,110
"S00135658",84,2,82
"S00135659",132,8,124
"S00135660",108,5,105
"S00135661",63,2,64
"S00135662",111,3,111
"S00135663",107,5,103
"S00135664",169,8,161
"S00135665",100,-,98
"S00135666",86,4,82
"S00135667",157,5,148
"S00135668",128,4,123
"S00135669",137,1,135
"S00135670",153,9,141
"S00135671",82,5,77
"S00135672",98,6,94
"S00135673",84,-,84
"S00135674",94,-,94
"S00135675",138,4,136
"S00135676",73,-,73
"S00135677",72,3,68
"S00135678",99,-,99
"S00135679",75,1,77
"S00135680",111,3,109
"S00135681",122,-,117
"S00135682",87,4,85
"S00135683",97,5,92
"S00135684",70,-,69
"S00135685",142,3,139
"S00135686",103,2,99
"S00135687",116,5,113
"S00135688",121,3,118
"S00135689",92,2,89
"S00135690",119,7,115
"S00135691",116,8,108
"S00135692",71,2,69
"S00135693",103,4,99
"S00135694",85,-,85
"S00135695",74,2,72
"S00135696",61,1,58
"S00135697",115,12,100
"S00135698",134,6,128
"S00135699",151,1,150
"S00135700",64,4,60
"S00135701",94,2,92
"S00135702",104,6,102
"S00135703",66,9,58
"S00135704",62,5,57
"S00135705",99,6,93
"S00135706",138,1,137
"S00135707",61,4,57
"S00135708",119,2,118
"S00135709",113,1,111
"S00135710",70,1,69
"S00135711",86,7,79
"S00135712",130,2,128
"S00135713",80,-,78
"S00135714",118,5,113
"S00135715",113,5,108
"S00135716",119,4,115
"S00135717",104,7,96
"S00135718",68,-,67
"S00135719",177,9,168
"S00135720",198,4,194
"S00135721",153,7,146
"S00135722",73,3,71
"S00135723",77,2,75
"S00135724",86,5,81
"S00135725",122,4,118
"S00135726",161,11,150
"S00135727",133,4,131
"S00135728",97,2,95
"S00135729",96,3,94
"S00135730",103,5,97
"S00135731",84,1,80
"S00135732",96,5,93
"S00135733",78,6,72
"S00135734",189,16,173
"S00135735",96,3,93
"S00135736",81,3,79
"S00135737",87,5,83
"S00135738",172,1,171
"S00135739",112,4,105
"S00135740",96,9,90
"S00135741",66,3,63
"S00135742",88,1,88
"S00135743",95,3,95
"S00135744",95,7,89
"S00135745",109,1,107
"S00135746",61,3,58
"S00135747",89,6,83
"S00135748",119,4,113
"S00135749",63,2,61
"S00135750",101,3,98
"S00135751",120,12,108
"S00135752",87,-,87
"S00135753",94,4,92
"S00135754",116,4,107
"S00135755",163,9,154
"S00135756",86,1,85
"S00135757",106,1,105
"S00135758",108,3,105
"S00135759",80,4,75
"S00135760",72,3,66
"S00135761",110,5,105
"S00135762",104,5,102
"S00135763",82,1,81
"S00135764",98,5,93
"S00135765",139,3,136
"S00135766",99,-,99
"S00135767",128,5,123
"S00135768",213,2,211
"S00135769",122,10,116
"S00135770",105,4,105
"S00135771",120,4,116
"S00135772",178,4,175
"S00135773",157,2,158
"S00135774",76,2,74
"S00135775",174,3,170
"S00135776",92,2,90
"S00135777",157,6,151
"S00135778",72,-,72
"S00135779",103,4,99
"S00135780",98,6,96
"S00135781",128,4,126
"S00135782",91,2,89
"S00135783",152,7,145
"S00135784",87,4,83
"S00135785",66,2,64
"S00135786",157,5,152
"S00135787",59,2,56
"S00135788",103,-,102
"S00135789",99,4,95
"S00135790",112,4,108
"S00135791",160,2,158
"S00135792",100,2,98
"S00135793",98,3,95
"S00135794",146,1,144
"S00135795",86,5,85
"S00135796",99,1,96
"S00135797",207,4,204
"S00135798",77,2,75
"S00135799",194,20,174
"S00135800",105,2,103
"S00135801",75,1,74
"S00135802",79,-,80
"S00135803",99,4,95
"S00135804",108,1,107
"S00135805",71,2,66
"S00135806",125,4,121
"S00135807",99,-,99
"S00135808",120,1,119
"S00135809",101,1,98
"S00135810",128,3,125
"S00135811",176,-,176
"S00135812",113,1,110
"S00135813",113,6,108
"S00135814",67,2,65
"S00135815",69,4,66
"S00135816",100,1,99
"S00135817",119,6,117
"S00135818",100,8,92
"S00135819",115,3,109
"S00135820",175,5,172
"S00135821",74,-,74
"S00135822",136,15,121
"S00135823",172,4,166
"S00135824",182,5,174
"S00135825",102,1,100
"S00135826",99,-,97
"S00135827",66,-,66
"S00135828",131,1,130
"S00135829",84,4,82
"S00135830",63,2,61
"S00135831",108,12,96
"S00135832",163,6,157
"S00135833",117,3,114
"S00135834",103,-,102
"S00135835",151,3,148
"S00135836",106,11,95
"S00135837",139,-,137
"S00135838",164,5,159
"S00135839",260,12,248
"S00135840",151,6,147
"S00135841",61,3,58
"S00135842",83,-,83
"S00135843",79,2,77
"S00135844",69,6,63
"S00135845",74,6,70
"S00135846",111,2,106
"S00135847",217,7,210
"S00135848",109,3,106
"S00135849",68,2,71
"S00135850",88,1,87
"S00135851",123,1,122
"S00135852",65,2,63
"S00135853",78,3,75
"S00135854",75,2,73
"S00135855",96,5,91
"S00135856",62,3,59
"S00135857",59,-,59
"S00135858",62,1,61
"S00135859",73,5,68
"S00135860",135,5,130
"S00135861",100,7,94
"S00135862",82,7,75
"S00135863",90,5,85
"S00135864",87,-,87
"S00135865",92,3,89
"S00135866",105,5,100
"S00135867",96,2,97
"S00135868",113,1,112
"S00135869",76,6,70
"S00135870",74,4,71
"S00135871",178,5,173
"S00135872",92,4,87
"S00135873",115,2,111
"S00135874",116,3,116
"S00135875",125,2,123
"S00135876",106,2,104
"S00135877",150,8,142
"S00135878",151,-,151
"S00135879",86,3,82
"S00135880",184,7,177
"S00135881",117,7,109
"S00135882",105,1,104
"S00135883",73,5,68
"S00135884",71,-,71
"S00135885",80,2,78
"S00135886",88,4,80
"S00135887",65,2,64
"S00135888",102,2,100
"S00135889",74,5,69
"S00135890",91,3,88
"S00135891",78,2,75
"S00135892",112,-,112
"S00135893",109,4,105
"S00135894",111,2,110
"S00135895",154,4,150
"S00135896",145,1,142
"S00135897",147,9,138
"S00135898",113,2,111
"S00135899",92,5,87
"S00135900",121,5,114
"S00135901",111,1,107
"S00135902",85,1,84
"S00135903",111,4,106
"S00135904",77,5,74
"S00135905",77,2,75
"S00135906",63,-,63
"S00135907",97,4,93
"S00135908",101,1,102
"S00135909",68,2,66
"S00135910",73,1,72
"S00135911",117,4,115
"S00135912",113,-,114
"S00135913",124,1,122
"S00135914",116,1,115
"S00135915",129,3,126
"S00135916",93,1,95
"S00135917",140,6,134
"S00135918",118,7,111
"S00135919",89,2,85
"S00135920",121,4,117
"S00135921",117,3,114
"S00135922",131,1,128
"S00135923",206,4,202
"S00135924",95,5,90
"S00135925",80,-,79
"S00135926",96,1,95
"S00135927",124,2,120
"S00135928",86,-,86
"S00135929",64,2,62
"S00135930",140,4,138
"S00135931",117,4,113
"S00135932",99,-,98
"S00135933",128,-,128
"S00135934",119,1,116
"S00135935",102,3,99
"S00135936",116,4,112
"S00135937",118,1,117
"S00135938",112,1,111
"S00135939",70,-,70
"S00135940",93,3,90
"S00135941",120,2,116
"S00135942",140,2,138
"S00135943",115,-,115
"S00135944",169,6,163
"S00135945",80,2,78
"S00135946",167,4,163
"S00135947",126,3,124
"S00135948",129,-,128
"S00135949",167,3,164
"S00135950",77,3,75
"S00135951",133,3,126
"S00135952",72,-,72
"S00135953",113,3,110
"S00135954",143,3,134
"S00135955",130,6,124
"S00135956",115,6,109
"S00135957",103,3,100
"S00135958",80,3,77
"S00135959",127,1,127
"S00135960",161,4,157
"S00135961",171,2,169
"S00135962",98,2,92
"S00135963",191,-,188
"S00135964",109,2,107
"S00135965",101,3,98
"S00135966",82,4,79
"S00135967",106,6,101
"S00135968",150,4,146
"S00135969",74,1,73
"S00135970",103,4,100
"S00135971",115,2,114
"S00135972",92,1,91
"S00135973",120,2,118
"S00135974",95,1,94
"S00135975",82,-,84
"S00135976",112,1,111
"S00135977",75,1,74
"S00135978",120,4,114
"S00135979",88,6,82
"S00135980",102,-,100
"S00135981",149,1,152
"S00135982",88,2,86
"S00135983",116,3,113
"S00135984",112,3,113
"S00135985",113,1,112
"S00135986",125,4,121
"S00135987",77,-,77
"S00135988",69,-,69
"S00135989",93,2,91
"S00135990",65,1,64
"S00135991",71,1,70
"S00135992",94,2,92
"S00135993",100,1,99
"S00135994",171,6,167
"S00135995",64,3,61
"S00135996",169,4,162
"S00135997",118,10,106
"S00135998",93,3,88
"S00135999",93,2,94
"S00136000",125,2,124
"S00136001",75,2,74
"S00136002",100,4,96
"S00136003",70,-,70
"S00136004",73,9,64
"S00136005",138,7,131
"S00136006",62,3,59
"S00136007",162,11,151
"S00136008",76,2,74
"S00136009",109,4,110
"S00136010",131,6,124
"S00136011",122,5,117
"S00136012",108,4,104
"S00136013",87,2,85
"S00136014",119,-,119
"S00136015",112,3,109
"S00136016",116,1,115
"S00136017",146,4,148
"S00136018",150,6,145
"S00136019",870,29,841
"S00136020",132,2,131
"S00136021",63,2,61
"S00136022",124,4,121
"S00136023",65,4,62
"S00136024",84,-,84
"S00136025",108,8,99
"S00136026",139,6,133
"S00136027",70,-,70
"S00136028",65,2,59
"S00136029",89,4,87
"S00136030",140,3,137
"S00136031",117,1,116
"S00136032",108,2,107
"S00136033",140,4,136
"S00136034",108,7,101
"S00136035",128,1,125
"S00136036",106,4,102
"S00136037",92,-,92
"S00136038",79,1,78
"S00136039",82,2,80
"S00136040",82,2,80
"S00136041",142,7,132
"S00136042",112,2,105
"S00136043",84,2,82
"S00136044",62,-,62
"S00136045",145,3,142
"S00136046",88,-,88
"S00136047",124,2,122
"S00136048",104,2,102
"S00136049",144,2,139
"S00136050",143,1,142
"S00136051",110,1,109
"S00136052",62,1,59
"S00136053",91,2,88
"S00136054",115,5,112
"S00136055",123,5,114
"S00136056",93,1,92
"S00136057",127,1,124
"S00136058",249,9,239
"S00136059",90,1,89
"S00136060",98,3,95
"S00136061",400,6,394
"S00136062",83,1,84
"S00136063",101,5,96
"S00136064",140,5,135
"S00136065",99,-,99
"S00136066",61,1,59
"S00136067",63,-,61
"S00136068",118,2,116
"S00136069",134,3,131
"S00136070",75,1,74
"S00136071",191,13,175
"S00136072",77,6,71
"S00136073",100,3,97
"S00136074",88,3,85
"S00136075",96,3,94
"S00136076",118,4,116
"S00136077",97,4,91
"S00136078",205,1,206
"S00136079",62,1,58
"S00136080",138,4,136
"S00136081",81,2,79
"S00136082",66,3,63
"S00136083",100,3,97
"S00136084",95,5,88
"S00136085",82,2,84
"S00136086",89,-,89
"S00136087",97,-,97
"S00136088",84,3,81
"S00136089",156,1,155
"S00136090",103,-,103
"S00136091",131,4,130
"S00136092",168,9,158
"S00136093",116,7,112
"S00136094",91,6,85
"S00136095",62,3,59
"S00136096",151,6,142
"S00136097",150,6,144
"S00136098",91,4,88
"S00136099",143,5,134
"S00136100",190,1,192
"S00136101",102,5,100
"S00136102",105,1,104
"S00136103",91,2,90
"S00136104",102,2,101
"S00136105",141,4,139
"S00136106",91,4,87
"S00136107",121,1,123
"S00136108",148,1,147
"S00136109",105,1,102
"S00136110",84,2,84
"S00136111",116,-,115
"S00136112",137,5,132
"S00136113",84,2,83
"S00136114",153,4,149
"S00136115",128,2,124
"S00136116",83,-,83
"S00136117",99,6,90
"S00136118",78,2,80
"S00136119",81,-,80
"S00136120",88,1,88
"S00136121",122,3,119
"S00136122",119,7,112
"S00136123",154,3,151
"S00136124",79,6,74
"S00136125",97,5,92
"S00136126",88,2,86
"S00136127",144,6,138
"S00136128",69,1,68
"S00136129",103,1,98
"S00136130",73,2,73
"S00136131",81,4,77
"S00136132",80,-,79
"S00136133",114,1,112
"S00136134",88,-,88
"S00136135",79,6,73
"S00136136",72,1,73
"S00136137",94,3,92
"S00136138",83,-,83
"S00136139",81,1,79
"S00136140",119,-,119
"S00136141",70,-,70
"S00136142",114,5,109
"S00136143",64,1,63
"S00136144",138,3,135
"S00136145",285,16,273
"S00136146",111,4,107
"S00136147",65,-,64
"S00136148",97,5,94
"S00136149",80,7,73
"S00136150",111,-,111
"S00136151",71,3,68
"S00136152",81,1,80
"S00136153",75,-,75
"S00136154",113,4,109
"S00136155",115,2,112
"S00136156",117,-,117
"S00136157",60,-,60
"S00136158",132,2,131
"S00136159",86,3,83
"S00136160",77,2,75
"S00136161",100,-,98
"S00136162",124,5,119
"S00136163",70,2,69
"S00136164",84,1,83
"S00136165",61,4,53
"S00136166",66,5,61
"S00136167",83,-,83
"S00136168",103,-,102
"S00136169",63,4,59
"S00136170",72,5,69
"S00136171",63,4,59
"S00136172",83,3,77
"S00136173",63,-,63
"S00136174",127,6,122
"S00136175",75,1,72
"S00136176",137,6,134
"S00136177",95,4,91
"S00136178",102,2,100
"S00136179",98,3,95
"S00136180",128,-,128
"S00136181",63,1,62
"S00136182",118,1,117
"S00136183",117,-,113
"S00136184",123,3,120
"S00136185",98,3,95
"S00136186",100,-,100
"S00136187",97,-,96
"S00136188",57,2,55
"S00136189",87,1,89
"S00136190",80,4,76
"S00136191",107,2,105
"S00136192",141,3,134
"S00136193",122,2,120
"S00136194",131,2,129
"S00136195",385,7,385
"S00136196",76,2,72
"S00136197",107,1,102
"S00136198",118,9,111
"S00136199",64,4,60
"S00136200",66,1,65
"S00136201",88,1,87
"S00136202",78,8,70
"S00136203",96,2,94
"S00136204",122,-,120
"S00136205",75,4,71
"S00136206",101,1,100
"S00136207",67,1,66
"S00136208",87,1,86
"S00136209",97,3,94
"S00136210",164,4,160
"S00136211",85,2,84
"S00136212",89,2,86
"S00136213",75,-,74
"S00136214",111,5,106
"S00136215",94,4,90
"S00136216",113,3,110
"S00136217",130,4,126
"S00136218",192,3,189
"S00136219",74,-,74
"S00136220",105,3,102
"S00136221",66,1,65
"S00136222",60,6,54
"S00136223",180,7,171
"S00136224",78,-,78
"S00136225",107,1,106
"S00136226",101,-,101
"S00136227",75,1,75
"S00136228",171,1,170
"S00136229",97,1,99
"S00136230",93,-,93
"S00136231",104,5,99
"S00136232",156,6,152
"S00136233",72,2,71
"S00136234",95,2,93
"S00136235",61,-,61
"S00136236",450,20,430
"S00136237",154,4,151
"S00136238",119,2,120
"S00136239",310,5,307
"S00136240",98,1,97
"S00136241",72,1,71
"S00136242",107,3,103
"S00136243",83,-,83
"S00136244",138,7,131
"S00136245",589,12,580
"S00136246",76,6,69
"S00136247",128,2,126
"S00136248",122,4,119
"S00136249",89,1,88
"S00136250",95,2,88
"S00136251",108,5,103
"S00136252",88,2,86
"S00136253",72,3,73
"S00136254",131,-,131
"S00136255",104,4,102
"S00136256",103,3,100
"S00136257",114,3,111
"S00136258",103,2,101
"S00136259",244,15,229
"S00136260",74,3,67
"S00136261",95,2,94
"S00136262",106,-,106
"S00136263",85,1,84
"S00136264",102,2,96
"S00136265",107,1,106
"S00136266",88,1,87
"S00136267",96,1,95
"S00136268",114,4,111
"S00136269",92,1,92
"S00136270",83,-,82
"S00136271",119,5,116
"S00136272",119,8,113
"S00136273",66,2,64
"S00136274",91,2,90
"S00136275",125,5,120
"S00136276",107,1,105
"S00136277",67,1,66
"S00136278",96,4,94
"S00136279",58,3,56
"S00136280",103,7,96
"S00136281",123,3,120
"S00136282",62,-,58
"S00136283",68,5,63
"S00136284",143,5,138
"S00136285",108,2,105
"S00136286",102,1,99
"S00136287",82,3,79
"S00136288",135,5,131
"S00136289",171,5,166
"S00136290",148,4,144
"S00136291",98,-,98
"S00136292",118,3,115
"S00136293",84,4,78
"S00136294",93,2,91
"S00136295",83,3,80
"S00136296",80,4,77
"S00136297",115,-,116
"S00136298",129,4,125
"S00136299",127,3,124
"S00136300",102,6,94
"S00136301",131,-,131
"S00136302",130,3,130
"S00136303",124,4,125
"S00136304",87,-,87
"S00136305",125,1,124
"S00136306",89,5,86
"S00136307",115,1,111
"S00136308",180,1,176
"S00136309",143,-,142
"S00136310",189,3,185
"S00136311",104,1,103
"S00136312",124,1,123
"S00136313",79,1,78
"S00136314",89,1,88
"S00136315",81,1,82
"S00136316",98,-,97
"S00136317",105,1,104
"S00136318",95,1,94
"S00136319",78,2,77
"S00136320",66,2,58
"S00136321",92,1,91
"S00136322",72,3,69
"S00136323",106,-,103
"S00136324",75,3,78
"S00136325",141,2,139
"S00136326",86,1,84
"S00136327",61,4,60
"S00136328",63,2,56
"S00136329",109,7,102
"S00136330",143,3,140
"S00136331",74,4,70
"S00136332",99,-,99
"S00136333",417,18,399
"S00136334",113,4,109
"S00136335",79,3,76
"S00136336",102,-,102
"S00136337",127,1,125
"S00136338",94,3,91
"S00136339",104,8,96
"S00136340",81,2,77
"S00136341",58,7,57
"S00136342",74,2,69
"S00136343",110,-,110
"S00136344",63,1,62
"S00136345",113,-,113
"S00136346",89,-,88
"S00136347",70,2,71
"S00136348",117,4,113
"S00136349",102,4,98
"S00136350",84,-,84
"S00136351",110,2,107
"S00136352",65,4,67
"S00136353",124,2,126
"S00136354",79,2,76
"S00136355",99,-,99
"S00136356",56,3,53
"S00136357",97,4,96
"S00136358",129,5,121
"S00136359",78,3,79
"S00136360",74,2,74
"S00136361",68,-,68
"S00136362",127,7,120
"S00136363",87,4,83
"S00136364",78,1,77
"S00136365",157,5,152
"S00136366",124,2,115
"S00136367",85,2,83
"S00136368",77,-,77
"S00136369",123,5,118
"S00136370",160,6,155
"S00136371",73,3,70
"S00136372",119,4,115
"S00136373",116,2,114
"S00136374",154,3,151
"S00136375",147,4,143
"S00136376",107,5,102
"S00136377",71,1,70
"S00136378",93,-,93
"S00136379",89,-,88
"S00136380",112,-,112
"S00136381",74,2,72
"S00136382",122,4,120
"S00136383",102,-,102
"S00136384",78,3,75
"S00136385",111,6,102
"S00136386",85,-,85
"S00136387",127,-,125
"S00136388",84,3,82
"S00136389",149,3,146
"S00136390",94,3,92
"S00136391",82,4,80
"S00136392",74,1,73
"S00136393",67,-,66
"S00136394",78,1,77
"S00136395",185,4,181
"S00136396",64,-,64
"S00136397",140,2,139
"S00136398",77,4,73
"S00136399",67,-,67
"S00136400",77,-,77
"S00136401",92,-,91
"S00136402",111,-,111
"S00136403",124,1,122
"S00136404",76,2,74
"S00136405",101,1,100
"S00136406",79,4,75
"S00136407",99,6,89
"S00136408",173,1,173
"S00136409",109,-,108
"S00136410",143,3,140
"S00136411",74,7,68
"S00136412",65,1,64
"S00136413",69,4,65
"S00136414",116,-,116
"S00136415",95,1,94
"S00136416",139,3,136
"S00136417",89,-,88
"S00136418",88,-,85
"S00136419",117,9,108
"S00136420",89,-,89
"S00136421",64,1,60
"S00136422",162,5,153
"S00136423",101,-,101
"S00136424",126,4,122
"S00136425",103,-,103
"S00136426",78,3,73
"S00136427",89,1,88
"S00136428",109,8,101
"S00136429",141,2,135
"S00136430",80,6,74
"S00136431",154,3,151
"S00136432",110,8,100
"S00136433",112,5,112
"S00136434",65,3,62
"S00136435",75,2,73
"S00136436",111,11,100
"S00136437",178,6,168
"S00136438",132,5,127
"S00136439",155,10,144
"S00136440",75,3,73
"S00136441",93,-,93
"S00136442",91,-,91
"S00136443",74,2,73
"S00136444",88,3,85
"S00136445",100,4,96
"S00136446",118,-,118
"S00136447",96,2,95
"S00136448",62,2,60
"S00136449",115,2,109
"S00136450",72,2,70
"S00136451",105,2,101
"S00136452",93,2,91
