Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00148793",53,51,1
"S00148794",74,65,9
"S00148795",24,24,-
"S00148796",50,43,6
"S00148797",82,77,5
"S00148798",60,56,4
"S00148799",58,57,1
"S00148800",32,29,1
"S00148801",54,47,4
"S00148802",34,36,1
"S00148803",33,30,3
"S00148804",45,44,3
"S00148805",44,39,5
"S00148806",54,53,2
"S00148807",39,36,3
"S00148808",59,56,1
"S00148809",44,41,3
"S00148810",50,49,2
"S00148811",54,54,5
"S00148812",54,51,3
"S00148813",43,40,4
"S00148814",85,78,7
"S00148815",51,45,6
"S00148816",51,49,4
"S00148817",45,45,-
"S00148818",66,59,4
"S00148819",61,60,1
"S00148820",46,43,3
"S00148821",66,58,5
"S00148822",48,46,4
"S00148823",50,44,6
"S00148824",66,65,1
"S00148825",37,37,2
"S00148826",49,45,6
"S00148827",71,65,6
"S00148828",61,58,3
"S00148829",51,50,-
"S00148830",49,47,2
"S00148831",46,40,6
"S00148832",57,51,6
"S00148833",82,78,4
"S00148834",42,42,-
"S00148835",88,79,9
"S00148836",40,38,2
"S00148837",60,59,1
"S00148838",39,33,4
"S00148839",47,45,2
"S00148840",51,41,6
"S00148841",72,65,7
"S00148842",43,42,2
"S00148843",74,71,3
"S00148844",72,66,6
"S00148845",70,67,3
"S00148846",65,63,4
"S00148847",43,40,4
"S00148848",47,47,-
"S00148849",50,49,2
"S00148850",56,52,4
"S00148851",44,39,4
"S00148852",85,76,11
"S00148853",65,62,3
"S00148854",53,46,7
"S00148855",80,77,3
"S00148856",82,73,9
"S00148857",76,72,4
"S00148858",41,36,3
"S00148859",32,31,1
"S00148860",45,42,3
"S00148861",48,45,3
"S00148862",54,52,5
"S00148863",53,54,2
"S00148864",58,52,7
"S00148865",52,46,5
"S00148866",55,52,3
"S00148867",86,80,2
"S00148868",51,49,2
"S00148869",58,57,1
"S00148870",36,35,2
"S00148871",81,72,6
"S00148872",75,68,5
"S00148873",52,52,-
"S00148874",52,51,4
"S00148875",36,32,4
"S00148876",46,44,2
"S00148877",44,33,6
"S00148878",44,39,5
"S00148879",73,65,7
"S00148880",29,29,-
"S00148881",61,55,6
"S00148882",71,67,4
"S00148883",49,47,-
"S00148884",48,45,4
"S00148885",40,42,2
"S00148886",55,54,1
"S00148887",51,49,2
"S00148888",41,37,4
"S00148889",57,50,5
"S00148890",63,64,-
"S00148891",74,71,3
"S00148892",55,51,4
"S00148893",65,58,7
"S00148894",57,54,3
"S00148895",76,67,2
"S00148896",56,53,3
"S00148897",47,46,1
"S00148898",42,40,2
"S00148899",39,37,2
"S00148900",60,57,3
"S00148901",30,30,3
"S00148902",61,60,4
"S00148903",84,81,3
"S00148904",68,60,8
"S00148905",32,29,2
"S00148906",72,67,5
"S00148907",67,58,4
"S00148908",44,41,3
"S00148909",30,28,1
"S00148910",71,65,2
"S00148911",42,40,2
"S00148912",41,38,3
"S00148913",35,34,1
"S00148914",75,70,5
"S00148915",57,55,2
"S00148916",48,47,-
"S00148917",37,36,6
"S00148918",49,47,2
"S00148919",52,51,1
"S00148920",65,58,7
"S00148921",65,65,3
"S00148922",65,60,5
"S00148923",55,53,-
"S00148924",34,28,6
"S00148925",34,34,-
"S00148926",35,35,2
"S00148927",43,43,-
"S00148928",50,49,-
"S00148929",49,44,4
"S00148930",51,46,5
"S00148931",39,38,1
"S00148932",48,46,-
"S00148933",60,60,-
"S00148934",50,43,2
"S00148935",78,72,6
"S00148936",71,68,5
"S00148937",51,48,3
"S00148938",55,50,3
"S00148939",42,37,5
"S00148940",65,63,2
"S00148941",52,52,-
"S00148942",65,63,6
"S00148943",67,63,5
"S00148944",62,56,6
"S00148945",41,38,3
"S00148946",42,40,2
"S00148947",46,44,2
"S00148948",41,38,3
"S00148949",57,52,5
"S00148950",51,49,4
"S00148951",59,53,5
"S00148952",76,69,6
"S00148953",64,67,1
"S00148954",60,56,4
"S00148955",83,80,3
"S00148956",64,63,-
"S00148957",62,59,2
"S00148958",72,68,4
"S00148959",51,50,-
"S00148960",78,76,4
"S00148961",30,30,-
"S00148962",57,54,3
"S00148963",58,50,10
"S00148964",42,40,4
"S00148965",74,64,10
"S00148966",54,50,6
"S00148967",66,54,4
"S00148968",69,64,5
"S00148969",52,51,1
"S00148970",44,42,2
"S00148971",82,75,7
"S00148972",43,38,5
"S00148973",45,45,4
"S00148974",57,53,5
"S00148975",64,61,3
"S00148976",85,84,4
"S00148977",44,41,3
"S00148978",76,69,5
"S00148979",50,47,3
"S00148980",65,62,3
"S00148981",47,46,2
"S00148982",53,51,2
"S00148983",75,75,-
"S00148984",43,41,2
"S00148985",86,84,8
"S00148986",51,46,5
"S00148987",47,42,4
"S00148988",66,61,5
"S00148989",51,47,5
"S00148990",78,73,8
"S00148991",78,78,3
"S00148992",63,61,-
"S00148993",29,27,2
"S00148994",49,44,7
"S00148995",72,65,4
"S00148996",36,34,2
"S00148997",72,71,1
"S00148998",52,49,3
"S00148999",49,43,6
"S00149000",64,58,6
"S00149001",78,72,6
"S00149002",51,49,2
"S00149003",45,49,3
"S00149004",80,71,9
"S00149005",41,35,6
"S00149006",75,71,4
"S00149007",55,53,2
"S00149008",53,49,4
"S00149009",73,68,5
"S00149010",73,69,4
"S00149011",44,42,4
"S00149012",55,55,-
"S00149013",68,62,2
"S00149014",59,58,1
"S00149015",70,63,4
"S00149016",45,45,4
"S00149017",48,43,7
"S00149018",45,40,4
"S00149019",65,59,6
"S00149020",63,59,4
"S00149021",60,55,5
"S00149022",42,39,2
"S00149023",45,48,2
"S00149024",43,39,4
"S00149025",39,36,3
"S00149026",75,75,5
"S00149027",51,47,4
"S00149028",49,50,1
"S00149029",72,62,7
"S00149030",50,47,2
"S00149031",37,35,1
"S00149032",35,35,-
"S00149033",48,46,2
"S00149034",67,65,4
"S00149035",46,46,-
"S00149036",43,41,2
"S00149037",41,40,1
"S00149038",44,41,1
"S00149039",62,57,5
"S00149040",57,54,5
"S00149041",55,51,4
"S00149042",47,47,-
"S00149043",54,46,8
"S00149044",44,42,2
"S00149045",47,44,1
"S00149046",76,72,4
"S00149047",44,43,2
"S00149048",47,46,4
"S00149049",49,44,5
"S00149050",43,40,3
"S00149051",62,58,4
"S00149052",65,62,3
"S00149053",47,46,2
"S00149054",52,49,3
"S00149055",49,47,2
"S00149056",51,46,5
"S00149057",34,36,2
"S00149058",28,26,2
"S00149059",36,36,3
"S00149060",42,36,6
"S00149061",47,45,1
"S00149062",90,83,7
"S00149063",60,54,6
"S00149064",58,54,2
"S00149065",71,67,7
"S00149066",66,60,2
"S00149067",61,59,2
"S00149068",57,52,7
"S00149069",50,41,6
"S00149070",54,51,3
"S00149071",42,38,4
"S00149072",73,71,4
"S00149073",71,64,7
"S00149074",55,54,3
"S00149075",61,53,4
"S00149076",44,41,2
"S00149077",65,62,3
"S00149078",50,46,-
"S00149079",31,31,2
"S00149080",41,39,-
"S00149081",69,62,7
"S00149082",41,39,6
"S00149083",71,68,3
"S00149084",40,40,-
"S00149085",68,64,4
"S00149086",44,40,4
"S00149087",90,85,5
"S00149088",89,78,9
"S00149089",78,76,2
"S00149090",60,52,5
"S00149091",52,51,1
"S00149092",47,45,2
"S00149093",29,28,1
"S00149094",78,75,4
"S00149095",56,48,8
"S00149096",54,47,7
"S00149097",44,45,2
"S00149098",45,42,2
"S00149099",68,67,1
"S00149100",54,52,2
"S00149101",41,40,1
"S00149102",79,78,5
"S00149103",34,30,4
"S00149104",61,52,9
"S00149105",39,33,6
"S00149106",47,45,2
"S00149107",62,54,8
"S00149108",78,75,3
"S00149109",42,40,2
"S00149110",61,57,4
"S00149111",40,35,3
"S00149112",55,46,10
"S00149113",66,57,9
"S00149114",45,43,2
"S00149115",69,65,4
"S00149116",78,74,4
"S00149117",64,58,6
"S00149118",59,51,7
"S00149119",33,31,3
"S00149120",51,53,1
"S00149121",82,79,3
"S00149122",70,67,3
"S00149123",37,35,4
"S00149124",40,36,4
"S00149125",72,60,10
"S00149126",69,62,10
"S00149127",38,36,2
"S00149128",46,44,-
"S00149129",46,40,6
"S00149130",42,36,6
"S00149131",28,29,2
"S00149132",55,53,2
"S00149133",48,45,3
"S00149134",35,32,3
"S00149135",38,34,4
"S00149136",42,37,3
"S00149137",49,50,3
"S00149138",43,35,8
"S00149139",46,45,1
"S00149140",39,30,7
"S00149141",79,80,3
"S00149142",55,56,2
"S00149143",48,44,4
"S00149144",38,31,7
"S00149145",65,62,3
"S00149146",53,46,7
"S00149147",51,48,5
"S00149148",51,46,5
"S00149149",39,28,7
"S00149150",29,29,-
"S00149151",47,45,1
"S00149152",77,74,3
"S00149153",57,52,5
"S00149154",43,41,4
"S00149155",61,57,4
"S00149156",45,41,7
"S00149157",66,60,6
"S00149158",72,73,3
"S00149159",58,55,6
"S00149160",77,72,4
"S00149161",61,58,3
"S00149162",50,45,7
"S00149163",37,35,1
"S00149164",57,51,5
"S00149165",51,50,4
"S00149166",79,78,1
"S00149167",46,41,7
"S00149168",58,55,5
"S00149169",54,51,3
"S00149170",67,63,4
"S00149171",35,33,3
"S00149172",56,53,3
"S00149173",73,63,4
"S00149174",29,28,1
"S00149175",83,78,2
"S00149176",57,55,1
"S00149177",36,35,1
"S00149178",68,65,3
"S00149179",41,41,1
"S00149180",56,56,3
"S00149181",43,40,3
"S00149182",28,26,2
"S00149183",52,47,5
"S00149184",67,60,10
"S00149185",66,57,9
"S00149186",89,83,6
"S00149187",67,64,3
"S00149188",65,62,4
"S00149189",58,55,3
"S00149190",81,75,6
"S00149191",45,45,-
"S00149192",68,67,3
"S00149193",45,42,2
"S00149194",74,70,1
"S00149195",41,36,3
"S00149196",39,39,4
"S00149197",62,63,2
"S00149198",43,39,7
"S00149199",55,57,4
"S00149200",43,37,6
"S00149201",45,46,2
"S00149202",41,37,4
"S00149203",71,63,6
"S00149204",55,55,4
"S00149205",64,62,6
"S00149206",47,45,4
"S00149207",69,67,2
"S00149208",51,46,5
"S00149209",46,49,1
"S00149210",37,32,5
"S00149211",62,54,10
"S00149212",63,63,-
"S00149213",69,62,7
"S00149214",81,72,9
"S00149215",46,42,4
"S00149216",81,75,9
"S00149217",35,31,4
"S00149218",73,62,8
"S00149219",43,41,2
"S00149220",54,52,2
"S00149221",75,69,6
"S00149222",51,48,3
"S00149223",48,43,5
"S00149224",57,53,4
"S00149225",66,58,8
"S00149226",41,32,7
"S00149227",66,60,6
"S00149228",32,30,2
"S00149229",79,70,9
"S00149230",40,40,2
"S00149231",48,45,5
"S00149232",47,42,5
"S00149233",46,43,3
"S00149234",44,43,1
"S00149235",70,71,3
"S00149236",44,37,7
"S00149237",53,55,1
"S00149238",36,35,2
"S00149239",54,47,4
"S00149240",48,45,4
"S00149241",53,51,2
"S00149242",41,39,2
"S00149243",50,48,-
"S00149244",75,72,5
"S00149245",51,45,5
"S00149246",62,63,3
"S00149247",73,70,3
"S00149248",60,58,2
"S00149249",52,48,4
"S00149250",43,40,3
"S00149251",47,44,3
"S00149252",54,49,6
"S00149253",48,45,5
"S00149254",41,37,3
"S00149255",45,41,4
"S00149256",35,35,1
"S00149257",54,54,-
"S00149258",62,48,5
"S00149259",49,48,1
"S00149260",52,48,4
"S00149261",53,50,3
"S00149262",49,40,3
"S00149263",53,46,7
"S00149264",51,49,2
"S00149265",58,58,-
"S00149266",80,74,3
"S00149267",41,38,3
"S00149268",49,49,3
"S00149269",59,58,-
"S00149270",45,45,-
"S00149271",29,24,8
"S00149272",62,59,5
"S00149273",70,68,2
"S00149274",54,51,3
"S00149275",38,32,3
"S00149276",49,45,4
"S00149277",56,52,4
"S00149278",52,43,5
"S00149279",57,48,5
"S00149280",48,47,1
"S00149281",59,52,7
"S00149282",69,65,4
"S00149283",48,45,3
"S00149284",60,57,3
"S00149285",35,32,3
"S00149286",51,40,8
"S00149287",37,36,1
"S00149288",46,42,4
"S00149289",43,42,1
"S00149290",34,30,4
"S00149291",32,32,-
"S00149292",50,41,9
"S00149293",79,76,3
"S00149294",43,39,4
"S00149295",67,58,6
"S00149296",71,65,8
"S00149297",43,41,1
"S00149298",41,39,2
"S00149299",67,63,4
"S00149300",61,55,3
"S00149301",55,48,4
"S00149302",40,35,3
"S00149303",41,41,-
"S00149304",56,49,7
"S00149305",54,53,4
"S00149306",54,44,12
"S00149307",53,46,7
"S00149308",50,47,5
"S00149309",57,53,4
"S00149310",50,41,5
"S00149311",57,54,3
"S00149312",52,45,8
"S00149313",41,39,-
"S00149314",45,38,8
"S00149315",41,34,7
"S00149316",59,49,6
"S00149317",52,48,6
"S00149318",38,36,2
"S00149319",44,38,6
"S00149320",49,48,1
"S00149321",75,70,5
"S00149322",52,50,3
"S00149323",47,45,4
"S00149324",48,48,-
"S00149325",48,48,-
"S00149326",43,40,3
"S00149327",29,18,7
"S00149328",73,68,5
"S00149329",42,44,1
"S00149330",47,40,4
"S00149331",33,31,2
"S00149332",45,44,1
"S00149333",49,44,7
"S00149334",45,45,-
"S00149335",38,37,3
"S00149336",36,36,2
"S00149337",33,32,1
"S00149338",58,53,5
"S00149339",40,35,5
"S00149340",60,54,6
"S00149341",57,53,4
"S00149342",29,24,5
"S00149343",61,50,7
"S00149344",62,59,3
"S00149345",44,40,4
"S00149346",47,42,5
"S00149347",53,50,3
"S00149348",77,69,4
"S00149349",63,58,5
"S00149350",52,44,8
"S00149351",74,67,7
"S00149352",56,53,3
"S00149353",46,44,2
"S00149354",57,51,7
"S00149355",64,58,6
"S00149356",54,48,5
"S00149357",55,50,5
"S00149358",55,52,4
"S00149359",84,77,7
"S00149360",60,54,6
"S00149361",71,67,4
"S00149362",70,64,6
"S00149363",65,58,5
"S00149364",65,64,-
"S00149365",55,56,3
"S00149366",38,35,-
"S00149367",61,55,6
"S00149368",63,53,10
"S00149369",48,45,3
"S00149370",62,58,2
"S00149371",46,50,4
"S00149372",40,39,1
"S00149373",36,33,4
"S00149374",54,49,5
"S00149375",61,56,5
"S00149376",68,64,5
"S00149377",40,35,5
"S00149378",69,66,3
"S00149379",40,39,1
"S00149380",62,56,6
"S00149381",43,40,5
"S00149382",38,34,4
"S00149383",46,45,2
"S00149384",73,68,5
"S00149385",57,51,9
"S00149386",47,42,5
"S00149387",28,26,3
"S00149388",46,42,2
"S00149389",49,48,8
"S00149390",56,51,5
"S00149391",27,28,3
"S00149392",58,58,-
"S00149393",49,44,5
"S00149394",56,51,3
"S00149395",78,78,4
"S00149396",60,55,5
"S00149397",68,61,7
"S00149398",68,56,9
"S00149399",66,59,7
"S00149400",51,47,4
"S00149401",62,57,5
"S00149402",43,42,1
"S00149403",40,38,-
"S00149404",37,35,2
"S00149405",48,47,2
"S00149406",40,37,3
"S00149407",41,40,1
"S00149408",43,39,4
"S00149409",29,28,1
"S00149410",78,72,6
"S00149411",53,47,3
"S00149412",50,46,6
"S00149413",64,56,5
"S00149414",50,47,3
"S00149415",38,36,2
"S00149416",60,56,4
"S00149417",32,27,5
"S00149418",45,43,5
"S00149419",43,40,4
"S00149420",45,42,6
"S00149421",29,28,1
"S00149422",62,56,6
"S00149423",43,39,4
"S00149424",46,38,4
"S00149425",71,61,10
"S00149426",29,27,2
"S00149427",49,47,2
"S00149428",29,26,3
"S00149429",48,44,4
"S00149430",38,33,3
"S00149431",62,58,4
"S00149432",66,55,5
"S00149433",48,45,5
"S00149434",73,67,6
"S00149435",38,35,3
"S00149436",82,80,2
"S00149437",42,38,4
"S00149438",38,34,4
"S00149439",44,41,3
"S00149440",38,39,3
"S00149441",49,48,-
"S00149442",54,47,7
"S00149443",36,34,5
"S00149444",45,42,3
"S00149445",47,46,1
"S00149446",45,41,3
"S00149447",54,51,3
"S00149448",55,47,5
"S00149449",56,54,2
"S00149450",75,68,8
"S00149451",43,40,3
"S00149452",56,51,5
"S00149453",68,63,5
"S00149454",42,41,1
"S00149455",66,55,7
"S00149456",47,43,3
"S00149457",56,55,6
"S00149458",40,38,3
"S00149459",67,59,8
"S00149460",61,57,4
"S00149461",73,64,7
"S00149462",87,80,7
"S00149463",52,47,5
"S00149464",36,35,1
"S00149465",39,37,2
"S00149466",78,73,7
"S00149467",78,75,3
"S00149468",49,41,8
"S00149469",58,55,3
"S00149470",44,46,2
"S00149471",75,75,2
"S00149472",65,58,7
"S00149473",30,29,-
"S00149474",36,35,1
"S00149475",70,63,4
"S00149476",61,53,7
"S00149477",54,52,2
"S00149478",34,33,1
"S00149479",39,33,5
"S00149480",43,41,2
"S00149481",55,48,7
"S00149482",47,43,4
"S00149483",59,57,3
"S00149484",59,55,8
"S00149485",60,53,4
"S00149486",28,27,1
"S00149487",41,37,4
"S00149488",71,64,7
"S00149489",41,40,1
"S00149490",33,31,-
"S00149491",82,78,4
"S00149492",81,72,6
"S00149493",60,62,4
"S00149494",80,76,-
"S00149495",73,70,3
"S00149496",55,52,2
"S00149497",44,42,2
"S00149498",55,53,6
"S00149499",52,48,4
"S00149500",54,50,4
"S00149501",45,41,4
"S00149502",55,51,4
"S00149503",39,33,5
"S00149504",52,52,1
"S00149505",51,45,4
"S00149506",41,41,3
"S00149507",57,56,-
"S00149508",65,61,4
"S00149509",53,45,5
"S00149510",64,59,5
"S00149511",45,41,4
"S00149512",48,43,2
"S00149513",40,38,2
"S00149514",54,47,5
"S00149515",44,42,2
"S00149516",77,73,3
"S00149517",46,43,3
"S00149518",55,44,11
"S00149519",42,41,-
"S00149520",41,35,6
"S00149521",45,42,3
"S00149522",37,34,3
"S00149523",70,66,4
"S00149524",41,37,4
"S00149525",54,48,3
"S00149526",53,49,4
"S00149527",57,51,6
"S00149528",83,81,2
"S00149529",42,38,4
"S00149530",57,53,6
"S00149531",58,55,3
"S00149532",57,56,4
"S00149533",45,43,2
"S00149534",41,43,2
"S00149535",77,74,6
"S00149536",28,27,1
"S00149537",73,70,3
"S00149538",69,66,3
"S00149539",41,40,1
"S00149540",42,37,4
"S00149541",65,62,3
"S00149542",50,46,4
"S00149543",49,46,3
"S00149544",57,50,3
"S00149545",50,45,8
"S00149546",69,65,4
"S00149547",61,57,1
"S00149548",51,49,3
"S00149549",39,37,2
"S00149550",48,48,-
"S00149551",32,26,6
"S00149552",33,32,2
"S00149553",49,46,3
"S00149554",70,64,6
"S00149555",42,37,5
"S00149556",31,29,2
"S00149557",73,73,4
"S00149558",77,72,4
"S00149559",54,54,-
"S00149560",49,42,7
"S00149561",55,53,-
"S00149562",66,64,2
"S00149563",79,74,5
"S00149564",88,81,7
"S00149565",50,47,3
"S00149566",49,51,2
"S00149567",73,65,4
"S00149568",45,40,2
"S00149569",50,52,-
"S00149570",57,55,2
"S00149571",47,40,7
"S00149572",46,44,3
"S00149573",43,40,3
"S00149574",68,64,4
"S00149575",57,55,3
"S00149576",42,42,-
"S00149577",44,39,3
"S00149578",42,42,-
"S00149579",47,47,3
"S00149580",72,65,7
"S00149581",52,46,6
"S00149582",53,51,-
"S00149583",71,60,11
"S00149584",45,42,4
"S00149585",49,48,2
"S00149586",73,64,9
"S00149587",70,61,10
"S00149588",45,41,5
"S00149589",60,59,8
"S00149590",76,64,12
"S00149591",52,49,3
"S00149592",42,38,4
"S00149593",41,34,4
"S00149594",49,46,4
"S00149595",67,62,3
"S00149596",55,49,6
"S00149597",48,41,7
"S00149598",55,52,3
"S00149599",53,48,2
"S00149600",55,51,4
"S00149601",61,58,4
"S00149602",49,41,8
"S00149603",37,31,6
"S00149604",71,64,4
"S00149605",37,33,4
"S00149606",39,36,3
"S00149607",44,40,4
"S00149608",43,37,5
"S00149609",46,45,1
"S00149610",43,42,1
"S00149611",69,61,6
"S00149612",77,75,2
"S00149613",50,44,6
"S00149614",49,43,6
"S00149615",52,48,4
"S00149616",59,59,-
"S00149617",48,43,5
"S00149618",50,48,2
"S00149619",44,43,1
"S00149620",55,50,5
"S00149621",46,39,8
"S00149622",33,29,6
"S00149623",53,51,3
"S00149624",46,45,1
"S00149625",43,40,1
"S00149626",69,60,7
"S00149627",35,32,3
"S00149628",76,69,7
"S00149629",39,33,4
"S00149630",81,74,6
"S00149631",53,49,3
"S00149632",38,32,6
"S00149633",50,45,5
"S00149634",77,65,12
"S00149635",88,79,9
"S00149636",60,53,7
"S00149637",74,70,4
"S00149638",67,65,2
"S00149639",44,41,3
"S00149640",48,36,5
"S00149641",52,50,4
"S00149642",37,36,2
"S00149643",63,58,8
"S00149644",27,26,2
"S00149645",37,31,2
"S00149646",54,51,4
"S00149647",66,65,-
"S00149648",74,71,5
"S00149649",54,51,3
"S00149650",52,45,6
"S00149651",61,55,6
"S00149652",85,77,8
"S00149653",57,53,1
"S00149654",65,53,16
"S00149655",72,71,1
"S00149656",70,64,6
"S00149657",55,50,5
"S00149658",69,59,10
"S00149659",34,30,4
"S00149660",65,62,3
"S00149661",63,56,6
"S00149662",37,35,4
"S00149663",53,49,3
"S00149664",77,70,7
"S00149665",38,35,4
"S00149666",34,33,2
"S00149667",41,37,4
"S00149668",61,59,2
"S00149669",56,53,3
"S00149670",79,70,2
"S00149671",81,74,3
"S00149672",61,61,2
"S00149673",65,63,6
"S00149674",73,70,5
"S00149675",48,46,4
"S00149676",68,66,2
"S00149677",53,47,7
"S00149678",57,52,5
"S00149679",43,44,2
"S00149680",45,44,1
"S00149681",38,36,2
"S00149682",47,44,3
"S00149683",64,60,4
"S00149684",45,42,4
"S00149685",56,47,8
"S00149686",52,51,1
"S00149687",55,54,-
"S00149688",54,50,4
"S00149689",72,73,2
"S00149690",56,52,6
"S00149691",32,24,1
"S00149692",75,71,2
"S00149693",63,61,-
"S00149694",80,78,4
"S00149695",26,25,2
"S00149696",78,75,1
"S00149697",58,51,4
"S00149698",72,66,6
"S00149699",55,53,-
"S00149700",56,51,5
"S00149701",46,45,-
"S00149702",60,57,3
"S00149703",71,68,1
"S00149704",66,60,6
"S00149705",39,36,3
"S00149706",36,35,2
"S00149707",45,45,-
"S00149708",48,45,3
"S00149709",53,50,3
"S00149710",64,62,4
"S00149711",49,43,7
"S00149712",47,46,-
"S00149713",64,60,4
"S00149714",44,44,-
"S00149715",40,40,-
"S00149716",49,45,4
"S00149717",53,50,3
"S00149718",48,47,2
"S00149719",49,45,5
"S00149720",39,41,1
"S00149721",58,55,3
"S00149722",78,71,3
"S00149723",40,36,4
"S00149724",48,47,2
"S00149725",60,52,5
"S00149726",57,53,8
"S00149727",42,45,-
"S00149728",38,38,-
"S00149729",49,43,6
"S00149730",45,41,4
"S00149731",63,57,4
"S00149732",46,42,4
"S00149733",37,35,3
"S00149734",29,29,-
"S00149735",53,50,3
"S00149736",66,60,6
"S00149737",44,41,1
"S00149738",70,70,-
"S00149739",28,28,-
"S00149740",73,66,3
"S00149741",54,52,6
"S00149742",67,63,2
"S00149743",48,45,4
"S00149744",54,50,4
"S00149745",59,48,9
"S00149746",36,35,3
"S00149747",76,73,3
"S00149748",68,63,2
"S00149749",45,41,2
"S00149750",43,44,1
"S00149751",58,57,1
"S00149752",57,54,4
"S00149753",39,36,3
"S00149754",55,46,9
"S00149755",50,49,1
"S00149756",62,55,6
"S00149757",58,56,2
"S00149758",90,83,4
"S00149759",35,33,-
"S00149760",61,56,5
"S00149761",29,25,5
"S00149762",40,37,3
"S00149763",53,48,5
"S00149764",34,32,2
"S00149765",68,63,5
"S00149766",73,69,4
"S00149767",61,60,2
"S00149768",33,32,-
"S00149769",45,42,3
"S00149770",56,53,1
"S00149771",37,34,4
"S00149772",65,64,1
"S00149773",60,58,5
"S00149774",49,46,1
"S00149775",31,31,3
"S00149776",24,25,1
"S00149777",42,39,3
"S00149778",53,50,3
"S00149779",57,57,-
"S00149780",40,39,1
"S00149781",51,48,3
"S00149782",43,41,2
"S00149783",46,45,-
"S00149784",49,45,4
"S00149785",45,45,-
"S00149786",34,32,2
"S00149787",45,41,4
"S00149788",68,64,6
"S00149789",70,65,4
"S00149790",60,57,2
"S00149791",54,51,2
"S00149792",54,50,4
"S00149793",48,42,4
"S00149794",50,47,3
"S00149795",43,42,1
"S00149796",53,51,2
"S00149797",44,39,4
"S00149798",69,68,4
"S00149799",47,44,3
"S00149800",59,55,4
"S00149801",33,32,1
"S00149802",56,51,8
"S00149803",46,40,4
"S00149804",71,68,3
"S00149805",51,48,2
"S00149806",82,76,6
"S00149807",34,31,3
"S00149808",58,53,5
"S00149809",65,63,2
"S00149810",78,73,5
"S00149811",43,41,2
"S00149812",44,43,2
"S00149813",67,65,4
"S00149814",66,65,1
"S00149815",36,33,4
"S00149816",49,48,2
"S00149817",41,41,-
"S00149818",49,47,2
"S00149819",34,34,-
"S00149820",77,77,-
"S00149821",53,49,4
"S00149822",55,55,-
"S00149823",68,63,3
"S00149824",60,57,3
"S00149825",36,33,2
"S00149826",48,40,5
"S00149827",50,42,4
"S00149828",70,68,3
"S00149829",56,52,4
"S00149830",54,50,3
"S00149831",51,51,-
"S00149832",53,48,4
"S00149833",48,39,6
"S00149834",51,49,3
"S00149835",74,68,5
"S00149836",43,39,3
"S00149837",27,27,-
"S00149838",44,42,2
"S00149839",59,55,5
"S00149840",45,40,5
"S00149841",54,51,3
"S00149842",69,67,4
"S00149843",57,52,2
"S00149844",45,42,3
"S00149845",51,51,-
"S00149846",33,33,-
"S00149847",62,63,3
"S00149848",27,19,5
"S00149849",54,48,6
"S00149850",45,46,2
"S00149851",85,83,2
"S00149852",53,50,3
"S00149853",63,59,3
"S00149854",42,40,2
"S00149855",38,37,1
"S00149856",60,58,2
"S00149857",57,53,4
"S00149858",63,66,1
"S00149859",38,35,3
"S00149860",48,47,1
"S00149861",63,57,4
"S00149862",45,41,4
"S00149863",54,50,4
"S00149864",67,62,4
"S00149865",71,60,8
"S00149866",45,45,4
"S00149867",33,27,-
"S00149868",57,57,-
"S00149869",63,58,5
"S00149870",63,60,3
"S00149871",56,50,6
"S00149872",44,41,5
"S00149873",46,45,1
"S00149874",57,50,4
"S00149875",58,53,6
"S00149876",71,65,6
"S00149877",48,46,3
"S00149878",41,32,5
"S00149879",49,47,-
"S00149880",36,31,2
"S00149881",64,62,2
"S00149882",35,30,6
"S00149883",54,49,5
"S00149884",40,38,2
"S00149885",65,63,2
"S00149886",63,63,4
"S00149887",56,53,3
"S00149888",77,73,4
"S00149889",56,50,6
"S00149890",36,34,-
"S00149891",50,47,-
"S00149892",54,50,2
"S00149893",67,65,2
"S00149894",46,43,3
"S00149895",55,51,4
"S00149896",40,42,2
"S00149897",55,54,-
"S00149898",30,29,1
"S00149899",35,35,-
"S00149900",73,70,3
"S00149901",68,70,4
"S00149902",61,56,5
"S00149903",46,43,3
"S00149904",33,29,4
"S00149905",48,46,2
"S00149906",79,79,-
"S00149907",29,28,1
"S00149908",47,47,-
"S00149909",61,60,1
"S00149910",65,62,3
"S00149911",31,31,-
"S00149912",56,56,3
"S00149913",41,40,1
"S00149914",48,48,2
"S00149915",33,32,1
"S00149916",65,61,4
"S00149917",68,65,3
"S00149918",63,59,4
"S00149919",70,69,5
"S00149920",54,48,2
"S00149921",34,26,8
"S00149922",60,58,-
"S00149923",54,51,3
"S00149924",47,45,3
"S00149925",48,48,-
"S00149926",40,36,-
"S00149927",64,61,2
"S00149928",66,62,4
"S00149929",65,62,3
"S00149930",55,53,1
"S00149931",41,40,3
"S00149932",78,76,2
"S00149933",47,40,4
"S00149934",51,51,-
"S00149935",78,75,2
"S00149936",45,42,3
"S00149937",50,48,3
"S00149938",91,90,1
"S00149939",63,63,1
"S00149940",51,52,5
"S00149941",54,54,-
"S00149942",77,76,1
"S00149943",78,75,3
"S00149944",53,50,3
"S00149945",74,73,1
"S00149946",61,60,1
"S00149947",66,62,4
"S00149948",42,36,6
"S00149949",49,48,1
"S00149950",51,47,2
"S00149951",78,74,4
