Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00135566",50,46,4
"S00135567",57,55,2
"S00135568",80,70,10
"S00135569",57,52,4
"S00135570",55,51,4
"S00135571",58,57,3
"S00135572",49,47,4
"S00135573",45,42,5
"S00135574",41,36,8
"S00135575",77,71,9
"S00135576",72,69,3
"S00135577",66,63,5
"S00135578",61,58,2
"S00135579",48,43,3
"S00135580",79,75,4
"S00135581",56,52,4
"S00135582",53,50,3
"S00135583",81,76,4
"S00135584",67,63,4
"S00135585",46,44,2
"S00135586",55,49,6
"S00135587",57,55,2
"S00135588",50,47,3
"S00135589",40,38,2
"S00135590",34,33,1
"S00135591",30,27,5
"S00135592",43,41,2
"S00135593",36,36,-
"S00135594",44,42,2
"S00135595",75,72,3
"S00135596",80,72,6
"S00135597",73,69,4
"S00135598",41,35,3
"S00135599",67,63,1
"S00135600",47,43,4
"S00135601",50,50,-
"S00135602",67,64,5
"S00135603",32,32,-
"S00135604",63,55,4
"S00135605",40,39,1
"S00135606",62,58,3
"S00135607",69,65,4
"S00135608",39,38,1
"S00135609",53,50,3
"S00135610",85,82,6
"S00135611",51,44,5
"S00135612",76,73,3
"S00135613",43,41,2
"S00135614",45,42,3
"S00135615",78,80,2
"S00135616",46,41,-
"S00135617",45,42,5
"S00135618",34,30,2
"S00135619",45,41,4
"S00135620",54,51,5
"S00135621",75,73,7
"S00135622",59,57,2
"S00135623",71,67,4
"S00135624",42,41,-
"S00135625",35,34,2
"S00135626",36,33,3
"S00135627",50,48,2
"S00135628",82,76,6
"S00135629",86,83,1
"S00135630",48,43,5
"S00135631",74,72,2
"S00135632",78,67,10
"S00135633",36,30,4
"S00135634",57,59,1
"S00135635",71,68,1
"S00135636",49,46,3
"S00135637",57,55,3
"S00135638",45,41,4
"S00135639",37,36,1
"S00135640",72,66,6
"S00135641",44,42,2
"S00135642",79,71,1
"S00135643",44,41,3
"S00135644",41,43,2
"S00135645",49,45,4
"S00135646",47,46,6
"S00135647",71,66,5
"S00135648",58,56,2
"S00135649",50,44,1
"S00135650",52,49,3
"S00135651",67,62,5
"S00135652",51,50,1
"S00135653",32,32,-
"S00135654",43,43,-
"S00135655",52,44,8
"S00135656",61,59,3
"S00135657",67,62,5
"S00135658",40,38,3
"S00135659",70,64,3
