Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV601 - Economic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 and over,Economically Active (excluding full time students) - Total,Economically Active (excluding full-time students) - Employee - Total,Economically Active (excluding full-time students) - Employee - Part-time,Economically Active (excluding full-time students) - Employee - Full-time,Economically Active (excluding full-time students) - Self-employed with employees - Total,Economically Active (excluding full-time students) - Self-employed with employees - Part-time,Economically Active (excluding full-time students) - Self-employed with employees - Full-time,Economically Active (excluding full-time students) - Self-employed without employees - Total,Economically Active (excluding full-time students) - Self-employed without employees - Part-time,Economically Active (excluding full-time students) - Self-employed without employees - Full-time,Economically Active (excluding full-time students) - Unemployed - Available for work,Economically Active full-time students - Total,Economically Active full-time students - Employee - Total,Economically Active full-time students - Employee - Part-time,Economically Active full-time students - Employee - Full-time,Economically Active full-time students - Self-employed with employees - Total,Economically Active full-time students - Self-employed with employees - Part-time,Economically Active full-time students - Self-employed with employees - Full-time,Economically Active full-time students - Self-employed without employees - Total,Economically Active full-time students - Self-employed without employees - Part-time,Economically Active full-time students - Self-employed without employees - Full-time,Economically Active full-time students - Unemployed - Available for work,Economically Inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00135346,118,48,45,7,38,-,-,-,3,-,2,-,2,4,4,-,-,-,-,-,-,-,-,67,64,-,3,-,-
S00135347,68,58,50,11,42,2,-,1,2,2,-,-,2,2,-,2,-,-,-,-,-,-,-,13,8,3,1,-,-
S00135348,110,49,44,10,31,-,-,-,2,-,2,2,5,7,7,-,-,-,-,-,-,-,1,51,47,5,1,4,-
S00135349,107,65,56,12,40,4,-,4,7,1,5,2,3,1,2,1,-,-,-,-,-,-,1,39,30,2,-,1,3
S00135350,99,83,75,13,62,1,-,1,5,-,4,2,2,2,2,-,-,-,-,-,-,-,-,14,2,4,4,3,2
S00135351,151,136,125,30,95,4,4,-,7,2,5,4,3,3,3,-,-,-,-,-,-,-,-,10,3,-,5,-,2
S00135352,139,77,68,19,50,-,-,-,8,1,7,-,2,2,-,2,-,-,-,-,-,-,1,60,54,2,-,4,1
S00135353,142,124,107,17,91,4,1,4,11,3,6,-,6,6,5,1,-,-,-,-,-,-,-,8,6,3,3,-,2
S00135354,72,68,62,9,53,1,-,1,5,1,4,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00135355,90,81,74,15,59,1,-,1,7,1,8,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,-,1,-
S00135356,111,91,77,10,67,-,-,-,10,3,7,3,5,3,-,2,-,-,-,-,-,-,1,15,5,4,3,2,1
S00135357,164,128,100,28,69,4,-,4,19,5,14,5,10,10,10,-,-,-,-,-,-,-,1,26,9,7,5,-,1
S00135358,116,103,92,16,76,1,-,1,6,2,4,3,5,4,3,1,-,-,-,-,-,-,1,8,2,-,4,-,2
S00135359,111,52,47,13,34,-,-,-,4,-,4,1,7,2,1,1,1,-,1,-,-,-,4,54,50,1,2,-,1
S00135360,119,89,85,10,75,1,1,-,2,1,1,-,2,2,1,1,-,-,-,-,-,-,-,28,28,-,-,-,-
S00135361,96,46,38,11,27,1,-,1,5,2,3,2,4,4,4,-,-,-,-,-,-,-,-,48,41,1,1,1,1
S00135362,113,54,48,11,38,-,-,-,1,1,3,1,5,4,3,1,-,-,-,1,-,1,-,54,53,2,3,-,-
S00135363,117,101,90,17,73,2,2,1,6,1,5,3,1,1,1,-,-,-,-,-,-,-,-,15,-,7,6,2,-
S00135364,148,58,48,17,37,1,-,1,6,2,4,3,7,7,7,-,-,-,-,-,-,-,2,83,69,3,6,2,2
S00135365,101,47,37,10,27,2,1,1,7,4,3,1,4,3,3,-,-,-,-,-,-,-,1,48,42,5,2,1,-
S00135366,100,55,38,5,33,3,-,3,14,5,9,-,2,2,2,-,-,-,-,-,-,-,-,43,33,-,6,2,5
S00135367,73,39,35,4,27,2,-,2,5,2,3,1,2,-,-,-,-,-,-,-,-,-,1,33,25,3,2,1,2
S00135368,102,77,63,15,48,4,1,1,10,5,5,2,7,4,4,-,-,-,-,-,-,-,3,18,9,3,7,2,1
S00135369,102,73,70,11,59,2,-,2,-,-,-,1,4,3,3,-,-,-,-,-,-,-,1,25,10,8,5,-,1
S00135370,59,40,36,8,28,-,-,-,2,-,2,4,3,3,2,1,-,-,-,-,-,-,-,16,12,3,2,-,-
S00135371,125,98,94,24,69,-,-,-,3,-,3,-,3,3,3,-,-,-,-,-,-,-,-,25,13,-,4,1,5
S00135372,104,84,80,15,65,-,-,-,1,1,2,1,4,4,4,-,-,-,-,-,-,-,-,18,5,4,6,1,2
S00135373,192,139,119,29,90,2,-,2,11,5,9,4,4,4,4,-,-,-,-,-,-,-,-,49,40,1,3,2,2
S00135374,114,95,82,14,68,1,-,1,8,5,5,2,1,1,1,-,-,-,-,-,-,-,-,15,15,1,2,1,-
S00135375,78,66,63,7,56,-,-,-,3,-,3,-,5,4,3,2,-,-,-,-,-,-,1,6,3,1,3,-,-
S00135376,56,32,26,9,17,1,-,1,4,-,4,1,1,-,-,-,-,-,-,-,-,-,1,23,18,-,1,-,-
S00135377,103,70,58,17,41,-,-,-,10,5,5,2,4,3,3,-,-,-,-,-,-,-,1,29,17,2,4,-,3
S00135378,92,66,58,13,44,1,-,1,4,1,2,2,9,9,8,1,-,-,-,-,-,-,-,20,13,4,1,1,-
S00135379,54,34,30,11,19,2,-,2,4,-,1,-,1,1,1,-,-,-,-,-,-,-,-,17,16,-,1,-,2
S00135380,113,70,63,17,46,-,-,-,5,1,4,3,6,6,4,2,-,-,-,-,-,-,-,40,24,4,6,-,6
S00135381,105,89,85,11,74,1,-,1,3,-,3,-,7,7,4,3,-,-,-,-,-,-,-,10,4,1,-,-,4
S00135382,84,55,51,8,47,-,-,-,1,-,1,2,5,1,1,-,-,-,-,-,-,-,3,26,18,8,2,-,2
S00135383,110,86,76,16,62,1,-,1,8,2,6,1,10,8,7,2,-,-,-,-,-,-,3,14,2,4,3,-,2
S00135384,51,41,38,10,29,2,-,2,1,-,1,2,5,5,5,-,-,-,-,-,-,-,-,5,1,-,3,-,-
S00135385,61,44,36,7,26,2,-,2,4,-,4,4,7,7,7,-,-,-,-,-,-,-,-,12,-,1,1,5,2
S00135386,109,25,23,5,18,-,-,-,2,-,2,1,2,2,2,-,-,-,-,-,-,-,-,77,48,-,-,24,3
S00135387,151,79,62,18,47,1,-,1,12,5,7,2,5,5,5,-,-,-,-,-,-,-,-,67,55,5,3,2,2
S00135388,149,100,78,13,63,3,1,1,13,-,9,6,5,4,4,-,-,-,-,-,-,-,2,41,26,5,4,3,4
S00135389,116,56,44,11,33,2,-,2,5,1,3,4,8,7,7,-,1,-,1,-,-,-,-,52,47,-,2,2,-
S00135390,72,55,51,7,44,1,-,1,3,1,2,-,4,4,4,-,-,-,-,-,-,-,1,13,5,1,4,2,2
S00135391,156,125,108,26,82,-,-,-,14,6,8,3,5,3,3,-,-,-,-,-,-,-,2,26,11,2,6,2,6
S00135392,59,47,45,13,34,-,-,-,1,1,-,1,2,2,2,-,-,-,-,-,-,-,-,12,6,2,-,1,3
S00135393,162,102,72,23,50,-,-,-,4,4,2,26,8,6,6,-,-,-,-,-,-,-,4,54,6,7,6,21,12
S00135394,131,79,68,10,58,4,-,1,6,3,4,1,8,7,6,1,-,-,-,1,-,1,-,44,38,3,4,-,-
S00135395,64,43,37,11,26,2,2,1,2,1,5,-,2,2,2,1,-,-,-,-,-,-,-,21,13,1,-,2,-
S00135396,110,68,57,12,51,3,-,3,-,1,1,2,1,1,1,-,-,-,-,-,-,-,-,41,35,2,-,5,2
S00135397,86,73,66,9,57,3,-,3,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,13,6,3,1,3,-
S00135398,105,78,73,10,59,-,-,-,3,1,1,-,1,3,3,-,-,-,-,-,-,-,2,23,16,3,2,4,-
S00135399,213,71,63,12,51,-,-,-,3,3,4,3,1,1,1,-,-,-,-,-,-,-,-,141,113,4,1,12,11
S00135400,141,102,87,17,70,1,-,1,11,6,7,3,1,1,-,1,-,-,-,-,-,-,-,37,25,4,4,3,2
S00135401,88,56,48,14,34,-,-,-,5,1,4,-,4,3,1,2,-,-,-,-,-,-,3,24,17,1,5,2,2
S00135402,68,49,44,4,40,-,-,-,6,-,6,2,1,-,-,-,-,-,-,1,1,-,-,15,11,-,2,-,-
S00135403,107,82,81,15,64,-,-,-,1,1,-,1,3,3,3,-,-,-,-,-,-,-,-,24,19,2,2,-,-
S00135404,71,47,45,7,37,-,-,-,5,2,3,1,4,4,5,2,-,-,-,-,-,-,-,16,13,-,1,1,-
S00135405,145,81,67,22,45,2,-,2,12,4,8,-,2,2,2,-,-,-,-,-,-,-,-,63,41,7,8,6,1
S00135406,157,93,88,20,65,-,-,-,6,5,3,-,7,7,6,-,-,-,-,-,-,-,-,57,45,3,4,4,3
S00135407,120,70,62,19,43,2,-,2,6,2,4,-,4,4,4,-,-,-,-,-,-,-,-,46,37,1,4,4,1
S00135408,132,73,59,12,47,1,1,-,8,4,6,3,3,3,3,-,-,-,-,-,-,-,-,56,44,1,2,8,2
S00135409,62,25,25,10,15,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,35,29,2,2,-,1
S00135410,99,73,67,12,55,2,1,1,4,-,4,2,2,2,2,-,-,-,-,-,-,-,-,25,11,4,1,2,1
S00135411,161,113,104,16,88,-,-,-,9,1,6,-,11,11,6,4,-,-,-,-,-,-,3,37,22,5,5,3,2
S00135412,97,41,37,8,33,-,-,-,3,3,-,1,6,6,5,1,-,-,-,-,-,-,-,52,46,1,1,2,-
S00135413,126,59,50,15,35,5,-,5,4,1,3,-,2,2,1,1,-,-,-,-,-,-,1,64,49,9,5,-,-
S00135414,84,46,41,15,25,-,-,-,5,-,2,-,3,3,3,-,-,-,-,-,-,-,-,35,33,2,-,1,-
S00135415,87,58,49,17,32,2,-,2,6,4,2,4,5,3,3,-,-,-,-,-,-,-,2,21,20,-,1,-,2
S00135416,162,103,87,18,69,4,-,4,10,4,3,5,-,-,-,-,-,-,-,-,-,-,-,57,45,6,3,-,1
S00135417,98,77,74,12,62,-,-,-,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,16,10,-,1,3,3
S00135418,129,94,82,22,60,-,-,-,12,4,8,-,3,3,3,-,-,-,-,-,-,-,-,32,15,6,4,2,4
S00135419,69,57,47,9,42,-,-,-,6,2,4,3,-,-,-,-,-,-,-,-,-,-,-,18,11,-,-,2,2
S00135420,129,65,53,18,35,-,-,-,12,-,12,-,5,5,4,1,-,-,-,-,-,-,-,59,51,2,3,3,-
S00135421,102,73,62,8,54,-,-,-,7,1,5,7,1,1,1,-,-,-,-,-,-,-,-,26,18,4,2,4,2
S00135422,92,68,59,15,44,-,-,-,3,-,3,7,7,4,2,1,-,-,-,-,-,-,4,19,16,-,2,-,1
S00135423,150,90,80,19,61,3,-,3,6,1,5,1,7,4,4,-,-,-,-,-,-,-,1,55,42,5,6,2,-
S00135424,104,52,48,11,37,4,-,4,2,1,-,-,3,3,3,-,-,-,-,-,-,-,-,45,36,3,4,4,3
S00135425,102,55,54,12,42,-,-,-,1,1,-,-,4,4,4,-,-,-,-,-,-,-,-,43,32,1,-,8,3
S00135426,118,68,60,11,50,1,1,-,7,3,4,-,12,9,9,-,-,-,-,-,-,-,1,38,29,4,1,-,4
S00135427,118,34,33,12,19,1,1,-,1,-,1,1,4,4,4,1,-,-,-,-,-,-,-,80,71,2,4,1,3
S00135428,55,33,29,10,19,-,-,-,3,1,2,1,2,-,-,-,-,-,-,1,-,1,-,22,11,5,-,2,2
S00135429,74,29,21,6,15,2,1,1,3,1,2,3,4,4,4,-,-,-,-,-,-,-,-,41,36,2,3,-,2
S00135430,98,58,50,24,26,-,-,-,6,1,7,2,3,2,2,-,1,-,1,-,-,-,-,37,30,4,2,-,2
S00135431,86,51,45,10,35,-,-,-,3,2,2,2,5,4,4,-,-,-,-,-,-,-,1,27,20,3,2,4,3
S00135432,105,43,36,10,23,2,-,2,6,6,2,1,2,2,-,2,-,-,-,-,-,-,-,60,51,3,-,3,1
