Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV601 - Economic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 and over,Economically Active (excluding full time students) - Total,Economically Active (excluding full-time students) - Employee - Total,Economically Active (excluding full-time students) - Employee - Part-time,Economically Active (excluding full-time students) - Employee - Full-time,Economically Active (excluding full-time students) - Self-employed with employees - Total,Economically Active (excluding full-time students) - Self-employed with employees - Part-time,Economically Active (excluding full-time students) - Self-employed with employees - Full-time,Economically Active (excluding full-time students) - Self-employed without employees - Total,Economically Active (excluding full-time students) - Self-employed without employees - Part-time,Economically Active (excluding full-time students) - Self-employed without employees - Full-time,Economically Active (excluding full-time students) - Unemployed - Available for work,Economically Active full-time students - Total,Economically Active full-time students - Employee - Total,Economically Active full-time students - Employee - Part-time,Economically Active full-time students - Employee - Full-time,Economically Active full-time students - Self-employed with employees - Total,Economically Active full-time students - Self-employed with employees - Part-time,Economically Active full-time students - Self-employed with employees - Full-time,Economically Active full-time students - Self-employed without employees - Total,Economically Active full-time students - Self-employed without employees - Part-time,Economically Active full-time students - Self-employed without employees - Full-time,Economically Active full-time students - Unemployed - Available for work,Economically Inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00147696,117,55,48,23,25,1,1,-,1,4,2,3,3,2,1,1,-,-,-,-,-,-,2,59,19,3,13,18,3
S00147697,101,45,41,16,26,-,-,-,4,1,3,4,3,1,1,-,-,-,-,-,-,-,3,48,32,-,1,13,3
S00147698,135,77,63,16,43,1,-,1,9,5,4,4,6,6,6,-,-,-,-,-,-,-,-,49,40,3,2,2,6
S00147699,63,32,30,9,21,-,-,-,-,-,-,4,3,1,1,-,-,-,-,-,-,-,2,28,8,3,3,11,4
S00147700,152,101,78,12,66,9,2,7,14,3,8,-,5,5,5,-,-,-,-,-,-,-,-,45,30,6,5,6,2
S00147701,102,65,60,12,48,2,1,1,4,3,2,5,1,1,1,-,-,-,-,-,-,-,-,32,14,9,4,4,1
S00147702,92,53,40,14,28,1,1,-,4,4,2,2,-,-,-,-,-,-,-,-,-,-,-,43,27,4,-,9,4
S00147703,75,33,25,16,11,-,-,-,3,-,3,3,1,1,1,1,-,-,-,-,-,-,-,40,9,5,10,15,1
S00147704,51,32,24,8,19,-,-,-,4,2,1,4,1,1,1,-,-,-,-,-,-,-,-,17,1,4,5,3,5
S00147705,86,47,40,12,28,-,-,-,2,-,2,5,5,5,5,-,-,-,-,-,-,-,2,34,20,1,6,5,4
S00147706,57,33,22,8,14,-,-,-,8,-,6,4,4,2,1,2,-,-,-,-,-,-,1,20,9,1,3,3,4
S00147707,74,35,31,2,26,-,-,-,4,-,4,-,4,3,3,-,-,-,-,-,-,-,2,33,19,6,3,6,-
S00147708,57,25,19,3,18,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,32,17,1,3,8,1
S00147709,98,54,45,11,40,-,-,-,2,1,3,1,1,2,2,-,-,-,-,-,-,-,1,41,37,-,-,-,-
S00147710,81,42,33,8,25,2,-,2,6,1,4,2,6,4,4,-,-,-,-,-,-,-,2,33,26,2,1,2,1
S00147711,61,25,24,3,21,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,31,15,-,5,6,1
S00147712,98,62,60,12,47,-,-,-,6,1,3,1,11,7,7,-,-,-,-,-,-,-,2,24,9,6,2,3,1
S00147713,72,38,34,8,25,-,-,-,5,-,5,1,1,1,1,-,-,-,-,-,-,-,-,31,10,1,3,12,3
S00147714,116,71,63,24,42,-,-,-,6,1,5,2,4,4,2,1,-,-,-,-,-,-,-,43,10,2,6,10,8
S00147715,71,43,35,9,26,-,-,-,6,-,6,2,-,1,1,-,-,-,-,1,1,-,-,26,18,2,5,3,-
S00147716,68,39,34,7,24,-,-,-,3,-,3,1,5,2,-,2,-,-,-,-,-,-,1,24,17,1,3,6,1
S00147717,79,42,36,6,30,-,-,-,2,1,1,-,4,1,1,-,-,-,-,3,1,2,1,36,16,2,6,10,6
S00147718,74,46,36,10,26,2,2,-,8,2,6,2,3,2,2,-,-,-,-,-,-,-,-,25,23,1,-,2,2
S00147719,93,50,42,15,27,3,-,3,4,-,4,-,3,3,3,-,-,-,-,-,-,-,-,40,27,5,4,2,2
S00147720,98,43,36,19,21,-,-,-,4,2,2,1,12,10,5,4,-,-,-,-,-,-,-,43,4,8,14,11,8
S00147721,61,11,7,2,3,1,-,1,2,-,2,1,1,1,1,-,-,-,-,-,-,-,-,49,36,1,3,7,1
S00147722,120,68,61,23,39,-,-,1,1,1,1,4,11,11,10,4,-,-,-,-,-,-,-,42,14,7,4,14,3
S00147723,105,61,47,11,36,5,1,4,8,-,7,1,5,5,5,2,-,-,-,-,-,-,-,35,26,1,2,4,2
S00147724,93,58,55,17,35,-,-,-,2,1,1,4,3,3,1,1,-,-,-,-,-,-,-,32,20,3,3,4,-
S00147725,140,100,82,24,58,5,-,5,11,4,7,2,7,7,7,-,-,-,-,-,-,-,-,34,21,6,4,-,-
S00147726,85,46,38,9,29,-,-,-,2,3,4,3,2,2,2,-,-,-,-,-,-,-,-,37,37,2,-,-,-
S00147727,95,50,47,16,33,-,-,-,3,-,3,-,1,-,-,-,-,-,-,1,1,-,-,44,18,2,11,10,3
S00147728,93,21,18,8,11,-,-,-,2,-,2,1,1,1,1,-,-,-,-,-,-,-,-,71,50,4,3,15,1
S00147729,66,44,33,5,28,-,-,-,5,-,5,4,-,-,-,-,-,-,-,-,-,-,-,22,7,2,4,6,5
S00147730,58,30,24,8,16,4,2,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,31,12,2,9,4,1
S00147731,93,52,46,12,33,1,-,1,4,3,2,1,5,5,4,1,-,-,-,-,-,-,-,36,20,2,4,8,2
S00147732,127,77,62,16,49,4,2,4,9,4,5,2,2,2,-,1,-,-,-,-,-,-,-,48,32,5,6,2,-
S00147733,148,81,68,15,57,-,-,-,4,1,3,5,9,5,5,-,-,-,-,-,-,-,4,62,17,4,15,16,7
S00147734,98,67,59,19,40,-,1,1,4,1,5,-,4,1,1,-,-,-,-,1,1,-,2,23,3,8,8,2,2
S00147735,97,67,57,20,37,4,2,-,6,4,4,-,4,4,4,-,-,-,-,-,-,-,-,26,7,6,3,8,2
S00147736,78,29,24,6,19,-,-,-,4,-,4,1,2,-,-,-,-,-,-,-,-,-,1,47,15,-,-,19,13
S00147737,159,101,88,27,58,8,1,6,6,2,4,-,10,9,8,-,-,-,-,-,-,-,1,48,36,4,4,2,2
S00147738,68,27,25,6,20,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,41,28,3,3,8,-
S00147739,107,58,46,12,34,1,-,1,5,4,2,6,4,3,3,-,-,-,-,-,-,-,-,43,9,3,11,19,3
S00147740,118,63,58,12,46,-,-,-,5,4,5,-,2,1,1,-,-,-,-,-,-,-,-,53,45,3,4,2,1
S00147741,72,50,39,6,37,-,-,-,5,1,3,2,-,-,-,-,-,-,-,-,-,-,-,22,13,-,-,5,1
S00147742,66,29,15,7,12,-,-,-,4,4,-,6,3,-,-,-,-,-,-,-,-,-,2,34,11,7,6,12,1
S00147743,52,21,17,2,12,2,-,2,1,1,1,1,3,3,-,1,-,-,-,-,-,-,-,29,5,2,10,9,3
S00147744,49,29,23,9,11,-,-,-,5,2,3,1,4,4,4,-,-,-,-,-,-,-,2,16,10,2,1,1,2
S00147745,95,59,40,22,22,9,-,8,4,3,1,3,5,4,4,-,-,-,-,2,2,-,-,35,24,3,4,-,2
S00147746,133,75,65,17,45,4,-,4,9,3,6,-,4,4,3,1,-,-,-,-,-,-,-,54,29,4,9,10,3
S00147747,76,46,40,10,30,2,-,2,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,34,24,3,2,1,-
S00147748,93,40,35,9,25,1,1,-,3,2,2,2,-,-,-,-,-,-,-,-,-,-,-,48,30,1,3,10,3
S00147749,91,42,38,6,32,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,49,43,2,3,2,-
S00147750,69,26,17,5,16,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,45,30,1,7,4,3
S00147751,71,33,22,4,18,1,-,1,6,3,3,-,3,3,3,-,-,-,-,-,-,-,-,40,26,1,2,5,2
S00147752,82,42,43,14,26,-,-,-,2,-,2,-,3,-,-,-,-,-,-,1,-,1,3,32,10,-,2,17,3
S00147753,95,50,40,10,32,2,-,2,7,1,2,2,5,4,4,-,-,-,-,-,-,-,1,40,30,4,5,1,-
S00147754,116,80,74,18,58,-,-,-,4,3,1,2,-,-,-,-,-,-,-,-,-,-,-,35,20,4,5,6,-
S00147755,59,20,10,2,12,-,-,-,3,4,2,2,-,-,-,-,-,-,-,-,-,-,-,39,23,-,1,9,3
S00147756,71,37,30,9,22,-,-,-,3,2,2,6,9,9,3,3,-,-,-,-,-,-,-,26,6,4,7,7,2
S00147757,100,56,50,16,34,-,-,-,8,2,4,-,3,2,2,-,-,-,-,-,-,-,-,41,11,7,6,10,2
S00147758,75,34,30,7,23,1,-,1,4,-,2,-,2,2,1,1,-,-,-,-,-,-,-,39,26,-,4,11,-
S00147759,111,50,41,17,30,-,-,-,4,-,4,5,4,5,4,1,-,-,-,-,-,-,-,54,22,6,11,13,-
S00147760,61,28,24,7,17,-,-,-,2,-,2,2,2,2,2,-,-,-,-,-,-,-,-,33,27,-,-,6,-
S00147761,70,35,30,6,24,-,-,-,3,-,3,2,3,2,2,-,-,-,-,1,-,1,-,29,10,-,9,7,3
S00147762,89,44,40,9,31,3,1,2,1,1,-,-,2,1,1,-,-,-,-,1,-,1,-,43,39,2,-,2,-
S00147763,99,79,67,18,47,4,2,3,7,4,3,1,2,2,2,-,-,-,-,-,-,-,-,18,8,4,3,4,1
S00147764,97,50,35,14,19,2,1,2,13,8,5,-,-,-,-,-,-,-,-,-,-,-,-,47,43,5,1,-,-
S00147765,114,32,28,11,17,-,-,-,6,4,-,1,2,2,2,-,-,-,-,-,-,-,-,77,48,3,6,19,1
S00147766,79,15,13,9,6,-,-,-,2,-,1,-,4,3,2,1,-,-,-,-,-,-,1,60,49,1,4,1,4
S00147767,109,57,45,11,34,3,1,2,8,4,8,1,4,4,1,1,-,-,-,-,-,-,-,47,42,3,3,-,1
S00147768,108,55,51,9,41,-,-,-,4,2,3,-,2,2,2,-,-,-,-,-,-,-,-,47,44,3,2,1,2
S00147769,65,41,38,12,29,-,-,-,3,-,3,1,7,3,3,3,-,-,-,-,-,-,1,17,1,6,6,4,-
S00147770,135,104,93,24,69,4,-,4,8,2,5,-,6,5,4,1,-,-,-,1,1,-,-,23,8,3,6,4,-
S00147771,68,27,25,4,18,-,-,-,2,1,1,-,3,3,3,-,-,-,-,-,-,-,-,38,39,-,1,1,2
S00147772,55,30,26,11,18,-,-,-,1,1,-,3,1,-,-,-,-,-,-,-,-,-,1,27,10,2,5,-,1
S00147773,59,32,27,9,18,-,-,-,2,-,2,3,3,4,4,-,-,-,-,-,-,-,1,24,10,3,7,5,2
S00147774,76,46,36,5,31,-,-,-,4,2,-,-,1,1,1,-,-,-,-,-,-,-,-,33,27,2,-,1,2
S00147775,110,47,34,7,31,1,-,1,8,1,7,2,6,4,3,2,-,-,-,-,-,-,2,54,23,6,5,14,6
S00147776,101,66,55,12,44,1,-,1,4,2,2,2,5,3,2,1,-,-,-,2,2,-,2,34,22,3,-,7,3
S00147777,103,52,50,8,42,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,51,48,1,-,1,-
S00147778,71,35,31,11,23,1,1,-,2,-,2,1,2,2,2,-,-,-,-,-,-,-,-,34,19,2,7,8,-
S00147779,71,12,10,-,6,-,-,-,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,63,57,-,-,1,-
S00147780,89,53,43,10,31,1,-,1,2,-,2,6,2,2,2,-,-,-,-,-,-,-,-,34,11,5,4,11,6
S00147781,73,44,40,17,23,-,-,-,3,-,3,2,2,2,2,-,-,-,-,-,-,-,-,28,14,1,6,4,3
S00147782,85,41,31,11,23,-,-,-,6,6,-,4,2,4,4,-,-,-,-,-,-,-,1,41,22,7,7,4,6
S00147783,145,92,73,23,52,-,-,-,14,5,6,3,8,10,8,3,-,-,-,-,-,-,1,43,21,7,2,7,7
S00147784,84,67,54,8,46,2,-,2,3,2,-,7,1,-,-,-,-,-,-,1,1,-,-,16,8,1,3,1,3
S00147785,145,74,57,13,48,3,-,3,10,5,2,6,5,4,4,-,-,-,-,-,-,-,1,66,38,3,4,12,6
S00147786,69,39,34,5,26,2,-,2,3,-,2,5,5,4,5,1,-,-,-,-,-,-,1,24,3,1,4,15,4
S00147787,82,52,46,13,37,-,-,-,4,1,2,2,2,2,-,1,-,-,-,-,-,-,-,27,10,4,9,4,2
S00147788,66,31,28,11,17,-,-,-,2,-,2,-,3,3,3,-,-,-,-,-,-,-,-,32,1,4,4,16,4
S00147789,78,44,29,15,18,1,-,1,6,2,4,6,2,1,1,-,-,-,-,-,-,-,1,34,6,3,12,6,8
S00147790,112,47,47,17,26,1,-,1,3,-,3,-,4,4,4,-,-,-,-,-,-,-,-,61,7,5,16,24,9
S00147791,79,52,48,8,39,2,1,1,-,-,1,-,8,8,7,1,-,-,-,-,-,-,-,19,2,8,1,5,3
S00147792,86,42,35,6,26,1,1,-,6,1,4,-,2,2,2,-,-,-,-,-,-,-,-,42,40,2,1,2,-
S00147793,91,73,67,5,59,2,-,2,3,1,5,2,4,4,4,-,-,-,-,-,-,-,2,16,10,6,-,1,1
S00147794,90,52,40,7,31,6,2,2,7,1,6,-,2,2,2,-,-,-,-,-,-,-,-,36,27,6,1,1,1
S00147795,99,46,39,11,28,2,-,2,5,-,5,2,-,-,-,-,-,-,-,-,-,-,-,53,38,5,4,4,2
S00147796,77,39,33,7,26,3,2,2,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,38,35,4,-,-,1
S00147797,109,43,36,13,21,-,-,-,6,1,5,1,4,3,3,-,-,-,-,-,-,-,1,62,19,9,15,17,1
S00147798,65,37,34,9,25,1,-,1,3,-,3,-,1,1,1,-,-,-,-,-,-,-,-,25,13,-,4,10,1
S00147799,61,26,17,6,9,-,-,-,6,2,4,3,2,-,-,-,-,-,-,-,-,-,1,37,17,1,1,14,-
S00147800,101,69,66,20,46,-,-,-,2,1,2,1,3,3,3,-,-,-,-,-,-,-,-,29,6,4,10,5,2
S00147801,113,52,46,22,24,-,-,-,5,2,4,4,4,1,1,-,-,-,-,2,2,-,-,54,20,5,6,20,3
S00147802,89,47,40,7,34,-,-,-,5,2,3,1,1,1,-,1,-,-,-,-,-,-,-,41,25,3,6,8,-
S00147803,75,26,21,11,10,-,-,-,1,-,1,4,4,2,2,-,-,-,-,1,1,-,2,45,14,1,6,18,7
S00147804,86,39,35,4,31,-,-,-,4,1,3,-,2,1,1,-,-,-,-,1,1,-,-,45,40,3,1,2,-
S00147805,76,52,44,17,27,2,-,2,3,1,3,4,-,-,-,-,-,-,-,-,-,-,-,24,15,4,3,2,-
S00147806,111,51,44,13,32,1,1,-,2,1,2,2,7,3,3,-,-,-,-,-,-,-,2,56,44,4,2,2,3
S00147807,53,21,19,2,20,2,-,2,-,-,-,-,4,2,1,1,-,-,-,1,1,-,-,32,21,-,-,4,1
S00147808,68,36,32,14,18,-,-,-,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,32,5,4,7,12,4
S00147809,94,64,54,14,40,3,4,2,7,-,5,-,1,1,1,-,-,-,-,-,-,-,-,34,12,5,7,7,8
S00147810,81,38,32,7,25,-,-,-,5,-,3,-,3,3,3,-,-,-,-,-,-,-,-,41,31,-,1,5,5
S00147811,89,39,30,6,25,1,-,1,2,-,2,10,4,3,3,-,-,-,-,-,-,-,2,42,26,-,2,6,8
S00147812,145,70,61,9,48,-,-,-,6,2,4,-,1,1,1,-,-,-,-,-,-,-,-,69,58,5,1,2,3
S00147813,83,48,45,11,32,-,-,-,5,4,-,2,1,-,-,-,-,-,-,-,-,-,1,31,21,2,3,8,1
S00147814,85,35,31,9,22,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,47,33,-,2,10,2
S00147815,120,49,43,10,34,-,-,-,2,2,-,4,10,8,8,1,-,-,-,1,1,-,-,61,35,2,6,10,8
S00147816,95,61,51,14,38,-,-,-,5,4,3,3,-,-,-,-,-,-,-,-,-,-,-,34,16,3,1,9,5
S00147817,78,45,39,8,31,1,-,1,4,1,3,1,2,2,1,-,-,-,-,-,-,-,-,31,16,6,2,5,2
S00147818,98,66,54,12,42,1,-,1,9,2,6,3,-,-,-,-,-,-,-,-,-,-,-,30,20,3,1,3,3
S00147819,126,75,68,23,42,2,-,2,5,3,1,4,8,8,8,-,-,-,-,-,-,-,-,43,23,4,1,12,3
S00147820,105,36,31,13,18,1,-,1,4,2,2,-,5,3,3,-,-,-,-,-,-,-,2,61,40,-,10,6,5
S00147821,143,80,58,11,48,1,-,1,19,6,13,-,6,6,6,-,-,-,-,1,1,-,2,57,32,9,8,5,3
S00147822,92,42,37,5,26,2,1,1,3,-,3,4,5,2,2,-,-,-,-,-,-,-,1,43,29,8,-,7,3
S00147823,68,40,30,10,22,1,-,1,11,1,5,1,2,2,2,-,-,-,-,-,-,-,-,26,14,4,1,5,2
S00147824,77,38,35,10,25,-,-,-,2,-,2,1,3,3,3,-,-,-,-,-,-,-,-,36,10,-,10,13,4
S00147825,140,83,77,24,56,1,1,-,1,-,1,4,4,4,4,-,-,-,-,-,-,-,-,57,30,6,4,8,5
S00147826,124,60,51,10,41,4,1,2,7,1,5,-,4,4,4,-,-,-,-,-,-,-,-,60,55,1,2,1,1
S00147827,59,26,21,6,15,1,-,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,33,24,-,-,8,1
S00147828,124,78,68,22,46,4,1,3,6,1,3,-,3,2,2,-,-,-,-,1,1,-,-,43,38,-,3,-,-
S00147829,136,83,70,20,54,-,-,-,8,3,5,3,6,4,4,-,-,-,-,-,-,-,2,45,31,6,2,6,1
S00147830,94,50,42,11,31,-,-,-,3,1,1,4,2,2,2,-,-,-,-,-,-,-,-,38,30,1,1,5,1
S00147831,62,43,36,13,23,1,-,1,5,-,5,1,2,2,2,-,-,-,-,-,-,-,-,17,5,2,2,6,-
S00147832,84,44,32,7,25,2,-,2,7,3,4,3,-,-,-,-,-,-,-,-,-,-,-,35,25,1,2,6,2
S00147833,86,45,41,10,31,-,-,-,2,-,2,2,5,5,4,1,-,-,-,-,-,-,-,36,14,3,2,11,5
S00147834,96,66,54,12,45,1,-,1,6,2,6,5,5,5,4,-,-,-,-,-,-,-,-,25,13,-,5,7,3
S00147835,114,95,86,19,67,3,-,2,6,-,6,-,4,1,1,-,-,-,-,-,-,-,-,17,6,1,2,1,5
S00147836,108,59,43,8,34,1,-,1,11,5,8,2,6,3,3,-,-,-,-,-,-,-,2,45,37,4,2,-,1
S00147837,60,38,29,7,20,-,-,-,5,3,1,4,1,-,-,-,-,-,-,-,-,-,1,21,9,3,-,5,4
S00147838,98,51,43,15,28,1,-,1,5,1,5,2,5,2,1,1,-,-,-,3,2,1,-,45,11,7,11,3,7
S00147839,84,58,54,13,41,-,-,-,4,1,3,-,4,3,3,-,-,-,-,-,-,-,1,22,18,2,1,1,-
S00147840,73,19,19,10,9,-,-,-,3,-,3,-,1,1,1,-,-,-,-,-,-,-,-,50,33,1,2,8,3
S00147841,115,72,62,19,43,-,-,-,2,-,1,8,5,4,4,-,-,-,-,-,-,-,1,38,20,7,4,7,4
S00147842,46,27,14,2,11,-,-,-,4,1,4,6,4,4,4,-,-,-,-,-,-,-,-,22,2,2,4,9,4
S00147843,61,34,29,9,20,-,-,-,4,3,-,1,2,-,-,-,-,-,-,-,-,-,1,22,16,1,5,7,-
S00147844,117,57,44,14,30,3,-,3,7,-,6,1,3,3,3,-,-,-,-,-,-,-,-,60,46,2,6,4,-
S00147845,85,40,33,14,19,-,-,-,1,1,1,4,3,3,1,2,-,-,-,-,-,-,-,43,20,5,4,14,2
S00147846,90,55,43,8,37,4,-,4,7,-,5,1,6,5,4,1,-,-,-,1,1,-,3,26,7,9,4,5,2
S00147847,87,56,53,15,40,-,-,-,3,2,-,-,5,5,4,1,-,-,-,-,-,-,-,27,25,2,-,-,-
S00147848,98,47,42,9,30,2,1,1,5,-,5,-,5,5,5,-,-,-,-,-,-,-,1,46,39,3,2,1,-
S00147849,127,67,59,16,41,2,-,2,6,-,6,-,6,3,3,-,-,-,-,1,-,1,1,54,21,7,4,18,4
S00147850,63,25,24,2,19,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,37,26,2,4,5,-
S00147851,86,50,47,9,38,1,-,1,3,1,2,-,3,-,-,-,-,-,-,-,-,-,-,33,17,2,3,10,3
S00147852,91,50,42,14,28,-,-,-,6,3,3,2,1,1,1,-,-,-,-,-,-,-,-,40,31,3,2,5,-
S00147853,77,37,31,6,25,4,-,4,3,2,2,1,1,-,-,-,-,-,-,-,-,-,1,37,21,3,1,10,4
S00147854,78,38,33,9,24,-,-,-,4,2,2,1,2,2,2,-,-,-,-,-,-,-,-,41,20,4,4,7,6
S00147855,50,24,17,8,11,4,1,3,1,-,1,-,3,3,2,-,-,-,-,-,-,-,-,20,6,-,3,9,-
S00147856,92,59,45,9,37,1,-,1,7,4,3,6,4,3,-,1,-,-,-,-,-,-,1,29,17,7,-,3,1
S00147857,84,49,42,7,33,-,-,-,8,-,8,1,1,1,1,-,-,-,-,-,-,-,-,34,19,4,1,5,2
S00147858,74,32,31,5,26,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,39,37,1,1,-,-
S00147859,92,33,28,3,26,1,-,1,2,2,-,1,9,9,7,1,-,-,-,-,-,-,-,51,18,-,10,17,5
S00147860,72,31,25,8,17,-,-,-,2,-,2,4,3,3,3,-,-,-,-,-,-,-,1,36,21,3,5,11,3
S00147861,92,58,48,16,32,-,-,-,5,3,2,5,3,3,3,-,-,-,-,-,-,-,-,31,17,4,2,4,4
S00147862,53,27,25,7,18,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,26,22,-,-,3,1
S00147863,55,14,10,5,8,4,1,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41,30,-,3,8,-
S00147864,135,88,65,21,47,9,3,6,12,3,9,2,8,7,6,1,-,-,-,-,-,-,1,39,20,7,3,5,3
S00147865,57,18,15,7,11,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,38,14,6,8,10,1
S00147866,178,88,69,15,58,5,1,1,6,2,5,2,6,2,2,-,-,-,-,1,-,1,-,86,59,4,5,13,4
S00147867,104,56,40,13,27,1,-,1,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,56,26,4,7,12,3
S00147868,92,53,46,13,33,-,-,-,4,-,3,3,5,5,5,-,-,-,-,-,-,-,-,34,17,5,4,10,4
S00147869,57,23,22,6,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,31,1,1,-,2
S00147870,95,48,37,7,30,3,1,2,8,3,4,1,3,3,2,2,-,-,-,-,-,-,-,44,38,-,4,1,2
S00147871,112,50,43,10,33,-,-,-,6,3,2,2,1,1,1,-,-,-,-,-,-,-,-,61,39,3,1,12,4
S00147872,96,54,47,11,36,-,-,-,-,-,-,7,2,1,1,-,2,2,-,-,-,-,-,39,14,7,5,12,3
S00147873,118,58,48,13,35,-,-,-,4,3,1,3,4,2,2,-,-,-,-,1,1,-,1,63,34,5,5,11,8
S00147874,102,60,52,10,42,-,-,-,2,2,-,3,7,5,4,2,-,-,-,-,-,-,1,34,23,3,1,7,3
S00147875,81,27,23,10,13,1,-,1,1,-,1,1,3,3,3,-,-,-,-,-,-,-,-,50,31,2,4,11,2
S00147876,118,71,55,14,42,6,1,5,7,6,-,3,2,2,2,1,-,-,-,-,-,-,-,45,30,6,7,2,-
S00147877,63,29,27,8,19,-,-,-,3,1,1,-,1,-,-,-,-,-,-,-,-,-,1,37,15,-,5,8,4
S00147878,86,32,31,9,22,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,53,17,4,3,25,4
S00147879,137,83,74,22,59,3,-,3,5,3,2,2,16,13,16,1,-,-,-,1,-,1,1,41,22,6,4,7,4
S00147880,61,38,30,8,22,-,-,-,4,-,2,4,-,-,-,-,-,-,-,-,-,-,-,23,3,6,3,7,3
S00147881,78,41,39,11,30,1,-,1,2,2,-,-,4,3,3,-,-,-,-,-,-,-,1,31,14,5,6,2,3
S00147882,125,59,56,14,42,-,-,-,-,-,-,3,6,4,3,1,-,-,-,2,-,2,-,60,27,7,8,13,2
S00147883,75,40,37,9,28,-,-,-,3,-,3,-,1,1,-,1,-,-,-,-,-,-,-,34,23,-,1,8,1
S00147884,63,32,32,8,28,-,-,-,1,-,1,1,1,1,1,-,-,-,-,-,-,-,-,27,15,-,5,4,-
S00147885,142,60,48,15,37,3,1,2,9,4,5,1,10,10,5,1,-,-,-,-,-,-,-,71,44,4,12,5,6
S00147886,62,24,20,8,15,1,-,1,5,5,-,2,9,4,5,1,-,-,-,-,-,-,2,23,7,4,-,8,3
S00147887,96,59,52,17,35,-,-,-,5,-,5,2,3,3,2,2,-,-,-,-,-,-,-,34,24,-,4,5,2
S00147888,74,29,25,8,17,-,-,-,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,47,34,1,1,7,2
S00147889,93,61,46,11,35,2,1,1,6,1,-,7,2,2,2,-,-,-,-,-,-,-,-,30,14,4,3,5,4
S00147890,61,26,23,2,20,-,-,-,2,2,-,1,3,3,3,-,-,-,-,-,-,-,-,36,19,2,6,8,3
S00147891,72,41,33,7,26,3,-,3,3,1,2,3,1,-,-,-,-,-,-,-,-,-,1,34,16,4,5,7,-
S00147892,87,52,47,11,35,1,-,1,6,1,4,-,1,1,1,-,-,-,-,-,-,-,-,33,22,2,3,6,-
S00147893,58,35,32,12,24,-,-,-,3,1,2,-,2,-,-,-,-,-,-,1,-,1,1,21,7,4,6,4,4
S00147894,85,39,33,7,23,-,-,-,7,3,4,1,1,-,-,-,-,-,-,-,-,-,1,45,34,3,1,4,3
S00147895,117,66,56,18,38,1,-,1,5,1,4,4,7,4,1,1,-,-,-,2,2,-,1,44,25,5,4,5,5
S00147896,99,56,51,11,40,-,-,-,-,-,-,3,3,3,3,-,-,-,-,-,-,-,-,37,21,2,2,6,4
S00147897,104,51,45,8,37,-,-,-,6,1,5,-,2,2,2,-,-,-,-,-,-,-,-,50,47,1,-,-,-
S00147898,94,56,49,16,36,3,1,2,6,1,4,-,3,3,3,-,-,-,-,-,-,-,-,35,28,3,-,-,4
S00147899,64,38,32,9,23,-,-,-,4,1,4,2,5,2,2,-,-,-,-,-,-,-,1,26,16,-,2,5,-
S00147900,80,29,26,4,22,-,-,-,1,1,2,1,3,2,2,-,-,-,-,-,-,-,1,48,26,1,4,13,5
S00147901,55,35,30,9,21,1,-,1,4,1,3,-,4,4,4,-,-,-,-,-,-,-,-,14,2,6,3,-,2
S00147902,54,23,21,6,15,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,29,20,-,3,2,3
S00147903,88,46,38,13,27,2,-,2,8,3,2,2,4,-,-,-,-,-,-,4,1,1,-,41,28,6,3,1,5
S00147904,94,47,43,11,32,-,-,-,4,-,4,-,5,3,3,-,-,-,-,-,-,-,2,42,36,3,3,-,-
S00147905,94,39,29,9,23,2,1,2,3,-,3,5,5,-,2,1,-,-,-,1,1,-,1,51,42,3,4,4,-
