Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00135460",106,26,27,7,9,13,21
"S00135461",104,4,24,16,15,19,26
"S00135462",132,18,31,19,17,14,35
"S00135463",129,16,27,11,19,16,37
"S00135464",91,8,17,8,12,18,30
"S00135465",96,25,21,6,9,10,25
"S00135466",87,11,15,17,10,7,27
"S00135467",80,13,14,9,15,11,19
"S00135468",68,-,10,5,6,15,31
"S00135469",113,19,26,12,10,11,31
"S00135470",112,9,25,16,9,13,42
"S00135471",124,19,32,17,7,19,33
"S00135472",130,21,27,9,16,13,36
"S00135473",103,10,27,12,13,10,33
"S00135474",89,8,27,3,1,10,38
"S00135475",81,11,20,13,5,9,24
"S00135476",90,11,21,12,19,12,20
"S00135477",94,3,14,6,7,9,57
"S00135478",91,35,22,1,11,8,9
"S00135479",111,5,14,18,18,17,45
"S00135480",109,20,24,12,6,7,38
"S00135481",114,15,23,8,15,23,30
"S00135482",66,13,16,1,10,7,21
"S00135483",100,11,15,18,10,16,30
"S00135484",74,9,12,7,8,9,29
"S00135485",142,15,29,17,21,13,43
"S00135486",88,11,17,4,5,11,34
"S00135487",144,14,21,13,9,16,71
"S00135488",93,13,20,10,16,14,20
"S00135489",100,9,24,10,8,19,30
"S00135490",117,15,22,17,20,10,33
"S00135491",112,3,16,13,6,16,61
"S00135492",111,22,15,9,11,16,38
"S00135493",127,7,27,15,12,26,38
"S00135494",87,12,23,8,8,5,28
"S00135495",82,13,14,5,8,12,32
"S00135496",87,7,20,14,9,16,19
"S00135497",185,12,33,13,17,23,89
"S00135498",117,2,19,16,4,10,69
"S00135499",110,16,25,12,7,19,28
"S00135500",82,-,14,8,7,12,40
"S00135501",121,16,18,8,13,26,35
"S00135502",114,2,14,10,7,13,68
"S00135503",77,18,12,10,10,5,21
"S00135504",137,39,37,12,26,8,14
"S00135505",122,12,15,11,12,20,56
"S00135506",74,7,16,11,13,10,20
"S00135507",132,7,20,9,7,18,71
"S00135508",61,10,13,7,9,8,12
"S00135509",102,10,18,7,11,17,38
"S00135510",100,13,24,14,9,18,26
"S00135511",116,16,24,16,15,13,28
"S00135512",110,16,25,15,12,11,27
"S00135513",97,27,21,8,6,14,20
"S00135514",96,12,34,9,12,19,19
"S00135515",143,22,36,14,18,20,32
"S00135516",108,9,30,14,6,18,31
"S00135517",101,11,20,10,7,19,32
"S00135518",76,8,21,5,8,16,19
"S00135519",129,10,21,13,17,18,51
"S00135520",129,8,22,15,7,13,66
"S00135521",104,7,13,11,9,19,42
"S00135522",85,12,13,8,8,18,24
"S00135523",65,17,16,4,9,4,13
"S00135524",104,18,30,10,8,10,30
"S00135525",87,2,9,5,7,21,44
"S00135526",96,14,24,11,12,15,25
"S00135527",58,20,15,4,4,7,10
"S00135528",152,49,32,7,14,28,22
"S00135529",130,14,27,11,14,20,44
"S00135530",73,12,24,5,8,8,13
"S00135531",86,13,24,8,13,5,15
"S00135532",77,2,16,11,4,10,35
"S00135533",110,10,19,9,11,21,38
"S00135534",97,6,22,17,10,13,27
"S00135535",194,44,57,14,17,11,55
"S00135536",124,8,29,20,11,10,47
"S00135537",129,20,26,19,13,21,31
"S00135538",81,10,17,14,8,5,24
"S00135539",72,21,17,4,5,10,16
"S00135540",124,20,26,11,10,12,43
"S00135541",73,15,17,3,11,8,19
"S00135542",124,8,34,11,8,21,46
"S00135543",131,2,17,18,7,15,72
"S00135544",83,17,12,10,9,15,20
"S00135545",125,12,23,12,13,19,47
"S00135546",76,25,11,7,4,11,19
"S00135547",146,13,27,9,12,22,62
"S00135548",71,13,25,6,7,7,17
"S00135549",55,10,12,5,9,4,10
"S00135550",98,23,31,7,6,14,16
"S00135551",104,12,27,7,9,13,32
"S00135552",104,3,27,6,15,24,33
"S00135553",175,22,27,26,22,25,55
"S00135554",72,18,14,2,10,13,11
"S00135555",142,17,28,12,25,27,30
"S00135556",98,6,20,11,19,17,26
"S00135557",74,22,11,1,12,6,22
"S00135558",124,27,21,13,9,17,37
"S00135559",95,9,14,7,9,23,29
"S00135560",91,11,17,11,10,5,34
"S00135561",73,18,23,4,4,11,14
"S00135562",78,11,24,8,6,8,21
"S00135563",44,6,16,2,8,4,7
"S00135564",94,16,19,6,10,9,34
"S00135565",59,5,17,6,4,10,17
