Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00137827",95,32,21,6,18,12,8
"S00137828",84,18,13,9,10,13,21
"S00137829",82,31,13,-,9,10,16
"S00137830",85,23,28,3,9,12,8
"S00137831",83,20,37,6,5,10,7
"S00137832",85,27,25,4,7,18,6
"S00137833",55,14,13,9,6,5,8
"S00137834",71,19,20,4,12,6,13
"S00137835",55,17,15,3,3,9,11
"S00137836",116,18,42,8,11,18,19
"S00137837",92,13,39,6,5,15,9
"S00137838",93,35,34,7,4,5,7
"S00137839",73,18,24,3,7,5,10
"S00137840",151,76,30,7,15,9,17
"S00137841",101,20,23,5,10,20,23
"S00137842",83,25,19,7,2,12,16
"S00137843",98,18,22,14,13,13,20
"S00137844",55,12,11,-,3,8,20
"S00137845",102,6,27,9,15,15,34
"S00137846",88,25,26,7,11,11,8
"S00137847",104,35,23,6,6,8,26
"S00137848",112,25,24,11,14,14,20
"S00137849",94,24,24,9,11,8,21
"S00137850",77,15,18,9,5,16,16
"S00137851",77,22,13,6,3,5,28
"S00137852",108,28,19,10,14,15,22
"S00137853",76,10,18,4,7,15,17
"S00137854",106,26,28,9,18,19,17
"S00137855",143,28,31,11,20,19,30
"S00137856",98,26,14,16,6,16,20
"S00137857",86,12,18,11,16,10,22
"S00137858",124,28,30,5,9,28,25
"S00137859",89,6,18,8,9,26,24
"S00137860",78,20,19,7,4,5,21
"S00137861",176,35,43,13,16,28,40
"S00137862",118,25,29,8,7,18,30
"S00137863",80,24,21,5,6,9,19
"S00137864",68,13,11,8,10,13,17
"S00137865",142,9,29,18,22,19,51
"S00137866",141,9,34,14,22,24,34
"S00137867",100,19,26,3,12,23,19
"S00137868",68,12,8,11,8,9,17
"S00137869",135,9,34,26,17,18,31
"S00137870",66,15,18,8,3,11,17
"S00137871",111,26,28,9,10,15,20
"S00137872",62,1,6,8,7,23,20
"S00137873",71,20,15,8,17,9,5
"S00137874",71,18,20,4,5,7,18
"S00137875",78,22,20,7,6,11,12
"S00137876",105,9,30,6,6,23,29
"S00137877",178,29,59,21,11,28,32
"S00137878",81,18,22,5,9,8,13
"S00137879",97,15,26,8,-,11,28
"S00137880",75,24,9,11,6,12,14
"S00137881",51,7,7,6,8,8,15
"S00137882",84,21,17,8,11,12,15
"S00137883",150,29,40,19,16,22,24
"S00137884",64,2,15,19,4,13,13
"S00137885",61,21,15,4,1,9,11
"S00137886",58,11,22,1,8,2,16
"S00137887",154,23,29,18,18,19,47
"S00137888",71,16,18,10,11,10,10
"S00137889",64,17,20,4,3,11,12
"S00137890",119,33,36,10,7,14,15
"S00137891",98,24,26,9,11,16,12
"S00137892",106,11,20,17,14,22,18
"S00137893",89,20,15,8,10,13,23
"S00137894",122,15,24,15,20,24,23
"S00137895",79,19,20,5,8,14,12
"S00137896",85,10,22,7,8,12,23
"S00137897",109,18,31,12,12,12,21
"S00137898",111,9,28,13,11,29,17
"S00137899",128,22,30,10,19,28,22
"S00137900",124,41,30,9,14,11,19
"S00137901",65,28,12,4,4,10,6
"S00137902",64,17,15,5,6,5,15
"S00137903",109,37,33,9,13,8,14
"S00137904",91,19,32,14,7,17,6
"S00137905",122,32,26,7,27,13,21
"S00137906",73,28,14,4,6,17,8
"S00137907",113,38,32,8,8,17,10
"S00137908",73,15,12,12,4,18,12
"S00137909",140,10,33,17,19,23,38
"S00137910",104,14,16,14,14,18,27
"S00137911",135,41,37,15,11,16,15
"S00137912",69,26,15,6,4,7,9
"S00137913",55,20,6,9,4,4,11
"S00137914",74,20,16,7,6,12,9
"S00137915",158,17,31,28,14,26,43
"S00137916",58,12,15,5,13,5,6
"S00137917",100,27,20,7,5,17,21
"S00137918",133,31,32,9,22,21,19
"S00137919",80,13,20,4,7,17,19
"S00137920",114,7,25,16,10,32,29
"S00137921",129,1,32,13,14,31,42
"S00137922",87,27,16,7,14,10,13
"S00137923",107,16,27,12,16,12,24
"S00137924",119,35,37,12,16,14,6
"S00137925",69,7,13,8,11,8,25
"S00137926",95,20,21,8,11,19,16
"S00137927",103,2,11,14,10,40,26
"S00137928",46,10,16,2,3,3,13
"S00137929",120,17,42,22,11,19,15
"S00137930",60,18,11,6,4,9,10
"S00137931",81,19,23,6,7,7,18
"S00137932",122,30,43,13,6,19,11
"S00137933",63,11,14,4,10,14,12
"S00137934",86,32,18,8,10,7,11
"S00137935",76,17,17,8,7,11,15
"S00137936",131,5,25,11,11,38,41
"S00137937",100,22,27,7,10,12,19
"S00137938",63,15,19,7,5,9,8
"S00137939",74,12,25,8,5,7,16
"S00137940",146,11,34,16,19,24,40
"S00137941",80,6,17,9,11,11,26
"S00137942",122,31,35,9,22,14,11
"S00137943",99,23,38,13,10,8,7
"S00137944",71,10,24,8,9,6,14
"S00137945",55,15,10,8,4,8,8
"S00137946",56,6,14,8,5,8,15
"S00137947",117,16,33,11,13,17,35
"S00137948",400,131,139,16,26,40,48
"S00137949",124,36,37,5,18,16,12
"S00137950",69,12,10,3,3,9,34
"S00137951",90,21,22,11,13,8,18
"S00137952",111,3,28,19,17,21,20
"S00137953",144,28,16,16,20,27,32
"S00137954",103,13,15,8,16,14,38
"S00137955",94,15,23,11,10,18,17
"S00137956",109,13,23,10,19,13,31
"S00137957",98,17,20,12,10,14,25
"S00137958",101,23,25,6,11,11,28
"S00137959",105,12,24,16,6,17,31
"S00137960",81,22,18,9,7,10,13
"S00137961",159,26,34,20,18,22,41
"S00137962",100,12,32,7,16,19,14
"S00137963",87,5,16,13,11,18,24
"S00137964",143,24,27,11,20,15,42
"S00137965",88,18,19,5,14,12,23
"S00137966",144,10,27,17,14,15,66
"S00137967",130,16,20,12,17,21,40
"S00137968",76,11,19,10,6,8,25
"S00137969",70,16,10,6,8,12,20
"S00137970",149,16,30,9,17,23,50
"S00137971",68,21,23,4,6,7,7
"S00137972",113,27,20,9,10,18,26
"S00137973",128,23,34,15,13,23,14
"S00137974",113,17,46,9,6,16,19
"S00137975",46,13,10,-,3,8,17
"S00137976",113,9,23,11,9,12,49
"S00137977",92,28,19,11,11,14,11
"S00137978",136,3,24,10,17,19,62
"S00137979",60,6,14,8,8,16,11
"S00137980",63,3,19,12,10,2,19
"S00137981",92,16,29,7,11,15,16
"S00137982",81,15,17,14,6,11,24
"S00137983",116,10,46,9,10,10,31
"S00137984",65,15,15,5,6,8,16
"S00137985",63,11,25,8,6,7,9
"S00137986",136,24,38,11,12,20,29
"S00137987",117,13,35,14,14,17,29
"S00137988",116,13,19,10,12,26,35
"S00137989",95,5,25,20,6,7,30
"S00137990",111,19,24,12,7,12,35
"S00137991",85,19,8,10,11,13,26
"S00137992",67,8,16,11,3,8,15
"S00137993",127,10,26,17,8,20,46
"S00137994",106,9,17,9,7,11,49
"S00137995",121,17,30,18,13,13,25
"S00137996",72,10,21,11,9,13,7
"S00137997",104,31,21,9,9,17,15
"S00137998",83,11,11,6,6,14,35
"S00137999",75,8,20,7,11,5,24
"S00138000",103,15,26,6,7,13,33
"S00138001",109,18,38,8,12,11,22
"S00138002",91,20,17,9,11,19,18
"S00138003",201,41,55,20,23,14,48
"S00138004",152,54,18,11,12,14,43
"S00138005",131,7,15,12,8,14,67
"S00138006",84,13,28,14,2,9,17
"S00138007",73,17,13,6,9,10,18
"S00138008",115,33,24,12,21,9,16
"S00138009",138,37,31,12,18,15,26
"S00138010",88,6,19,6,5,10,41
"S00138011",117,15,23,16,14,18,31
"S00138012",80,25,20,9,9,6,11
"S00138013",125,31,39,12,20,11,12
"S00138014",54,14,13,4,5,7,11
"S00138015",97,29,25,11,7,11,18
"S00138016",98,25,15,9,17,12,24
"S00138017",129,33,38,4,10,22,21
"S00138018",62,26,11,6,7,-,16
"S00138019",60,15,10,2,11,7,15
"S00138020",86,32,26,6,5,8,7
"S00138021",76,12,22,11,11,9,13
"S00138022",73,6,10,8,5,9,35
"S00138023",120,33,34,16,11,14,14
"S00138024",90,33,29,7,12,4,8
"S00138025",119,3,23,10,13,25,45
"S00138026",97,7,27,13,10,19,21
"S00138027",79,19,15,11,6,10,18
"S00138028",169,17,35,13,20,22,67
"S00138029",80,24,29,1,12,10,4
"S00138030",131,32,25,9,13,19,34
"S00138031",97,22,23,9,3,13,28
"S00138032",98,37,20,7,10,10,11
"S00138033",103,8,20,16,6,11,36
"S00138034",94,12,19,6,11,18,28
"S00138035",126,21,40,14,6,12,30
"S00138036",61,4,11,4,4,9,29
"S00138037",88,21,27,7,9,7,15
"S00138038",53,8,13,7,8,10,7
"S00138039",117,30,18,22,6,9,35
"S00138040",82,13,17,3,5,13,31
"S00138041",95,12,23,14,5,22,23
"S00138042",138,15,34,19,16,17,37
"S00138043",98,23,14,19,14,12,15
"S00138044",83,8,18,12,9,12,23
"S00138045",99,35,17,5,12,11,18
"S00138046",104,23,28,11,6,10,27
"S00138047",135,17,29,15,24,10,38
"S00138048",61,10,11,1,10,12,19
"S00138049",125,12,29,14,15,12,44
"S00138050",129,16,28,12,15,22,36
"S00138051",114,14,22,13,10,20,35
"S00138052",117,19,24,8,8,16,40
"S00138053",76,4,13,10,4,6,36
"S00138054",176,15,33,13,18,31,66
"S00138055",87,8,16,5,10,8,40
"S00138056",85,9,27,6,9,9,27
"S00138057",75,13,13,9,2,13,21
"S00138058",96,14,22,3,10,20,24
"S00138059",98,26,28,6,7,11,20
"S00138060",59,1,10,12,3,7,24
"S00138061",73,12,16,8,8,5,28
"S00138062",148,23,42,18,15,25,25
"S00138063",60,13,9,7,5,10,15
"S00138064",61,13,10,6,10,9,10
"S00138065",64,8,12,6,6,12,23
"S00138066",118,18,22,17,14,21,25
"S00138067",59,9,15,6,3,11,14
"S00138068",81,10,15,9,6,15,28
"S00138069",158,24,33,17,16,22,50
"S00138070",73,17,14,6,13,7,15
"S00138071",67,10,13,8,4,16,14
"S00138072",71,3,12,6,7,14,27
"S00138073",184,15,23,16,21,33,76
"S00138074",89,19,31,4,8,12,17
"S00138075",87,7,22,9,7,8,35
"S00138076",97,5,15,13,5,13,46
"S00138077",54,7,13,9,7,9,13
"S00138078",63,11,10,8,10,12,12
"S00138079",129,5,28,12,8,20,56
"S00138080",114,8,22,8,17,19,34
"S00138081",96,20,21,12,12,12,19
"S00138082",103,18,20,10,20,11,28
"S00138083",62,8,14,3,10,10,17
"S00138084",96,38,18,8,9,5,20
"S00138085",156,20,29,15,16,25,47
"S00138086",119,9,21,7,7,25,44
"S00138087",110,17,28,4,9,25,23
"S00138088",84,8,16,4,4,15,38
"S00138089",132,29,19,13,16,15,37
"S00138090",76,17,18,3,8,11,15
"S00138091",109,15,16,9,12,24,35
"S00138092",113,23,32,12,9,18,14
"S00138093",80,15,13,10,8,9,25
"S00138094",128,9,27,16,13,17,48
"S00138095",72,8,14,7,7,13,23
"S00138096",126,13,23,7,22,20,41
"S00138097",67,11,4,11,5,7,29
"S00138098",130,9,21,22,13,23,42
"S00138099",92,11,20,10,13,13,25
"S00138100",118,25,32,8,15,16,18
"S00138101",90,5,19,5,6,11,44
"S00138102",72,11,16,11,9,8,18
"S00138103",120,15,21,16,20,23,22
"S00138104",56,3,7,4,5,10,26
"S00138105",87,11,16,9,15,10,26
"S00138106",127,24,29,24,19,12,19
"S00138107",91,7,20,17,11,8,36
"S00138108",83,21,16,10,11,9,16
"S00138109",90,5,23,5,14,16,27
"S00138110",126,12,20,11,13,24,46
"S00138111",104,11,22,9,6,13,44
"S00138112",114,15,12,18,3,12,47
"S00138113",117,14,16,20,10,11,50
"S00138114",73,1,11,6,5,19,28
"S00138115",173,10,27,22,13,29,72
"S00138116",102,6,16,13,15,12,40
"S00138117",122,13,30,14,9,14,46
"S00138118",151,8,22,15,19,23,60
"S00138119",157,21,23,21,18,26,52
"S00138120",113,8,13,6,6,21,57
"S00138121",98,20,21,9,9,13,29
"S00138122",81,17,22,6,7,7,20
"S00138123",98,11,21,9,8,10,43
"S00138124",154,16,16,16,14,21,73
"S00138125",179,13,43,20,8,27,56
"S00138126",157,14,36,17,11,21,57
"S00138127",91,4,15,7,6,12,49
"S00138128",157,13,30,18,19,14,63
"S00138129",118,21,31,7,13,10,35
"S00138130",143,20,21,14,11,26,51
"S00138131",104,15,17,16,18,19,19
"S00138132",96,8,17,12,11,8,43
"S00138133",61,7,14,7,6,7,19
"S00138134",109,19,34,9,10,12,32
"S00138135",159,15,23,13,17,27,64
"S00138136",136,26,33,13,13,16,38
"S00138137",149,8,26,20,17,23,56
"S00138138",186,6,27,29,17,29,75
"S00138139",73,9,17,3,8,12,24
"S00138140",107,9,30,12,9,18,27
"S00138141",79,10,16,10,9,9,25
"S00138142",67,-,11,11,7,12,27
"S00138143",123,10,31,11,23,15,33
"S00138144",149,1,27,20,23,31,45
"S00138145",116,9,14,22,12,12,51
"S00138146",141,6,32,18,12,20,56
"S00138147",117,20,23,5,11,14,44
"S00138148",128,5,18,27,16,25,29
"S00138149",133,7,28,16,19,24,39
"S00138150",56,8,5,2,4,7,30
"S00138151",132,8,16,19,18,16,59
"S00138152",141,4,22,13,21,30,51
"S00138153",65,6,15,10,5,11,19
"S00138154",66,7,7,7,4,13,26
"S00138155",78,8,19,11,8,12,21
"S00138156",113,7,28,12,13,15,34
"S00138157",175,17,32,12,16,31,63
"S00138158",76,22,18,6,9,5,16
"S00138159",90,12,20,7,14,10,24
"S00138160",205,66,29,15,13,23,61
"S00138161",109,5,20,6,10,14,55
"S00138162",165,33,40,23,18,17,30
"S00138163",142,6,21,21,7,26,61
"S00138164",125,12,24,10,12,11,56
"S00138165",110,4,17,16,7,19,47
"S00138166",122,22,21,15,17,11,36
"S00138167",88,11,21,14,12,11,21
"S00138168",74,7,17,11,10,14,15
"S00138169",141,29,39,8,19,14,30
"S00138170",81,19,12,8,11,14,17
"S00138171",79,1,14,11,3,16,34
"S00138172",100,11,18,13,12,22,27
"S00138173",143,12,22,15,12,23,52
"S00138174",105,17,25,7,9,3,45
"S00138175",93,6,8,6,10,20,39
"S00138176",85,5,6,16,10,14,32
"S00138177",100,8,28,10,7,15,32
"S00138178",86,-,7,9,9,15,44
"S00138179",77,19,23,6,11,6,14
"S00138180",112,9,35,12,22,19,19
"S00138181",61,13,25,6,7,3,8
"S00138182",101,13,25,11,14,15,20
"S00138183",87,4,17,12,7,5,42
"S00138184",63,2,10,10,3,13,27
"S00138185",94,15,26,6,8,10,26
"S00138186",93,19,12,13,15,12,18
"S00138187",71,3,5,7,3,15,35
"S00138188",110,17,15,7,21,7,36
"S00138189",116,12,17,9,21,9,43
"S00138190",49,2,13,4,5,5,20
"S00138191",119,24,14,18,17,19,25
"S00138192",97,4,20,11,17,9,37
"S00138193",102,27,24,4,12,16,21
"S00138194",131,8,16,12,15,24,56
"S00138195",83,10,21,9,11,17,15
"S00138196",100,12,15,8,15,10,41
"S00138197",72,11,6,7,6,10,29
"S00138198",115,26,17,18,8,11,32
"S00138199",76,21,13,6,11,4,23
"S00138200",96,10,22,11,17,8,28
"S00138201",64,22,14,5,5,10,10
"S00138202",123,11,27,8,8,24,52
"S00138203",92,26,15,2,12,9,27
"S00138204",71,4,17,8,3,6,28
"S00138205",100,18,27,9,10,14,23
"S00138206",113,18,20,10,15,14,41
"S00138207",94,34,15,6,16,8,11
"S00138208",111,3,23,10,12,20,44
"S00138209",108,23,21,7,13,17,29
"S00138210",111,3,15,11,13,16,53
"S00138211",104,9,21,3,7,15,50
"S00138212",139,20,22,14,24,17,38
"S00138213",93,7,21,11,10,15,33
"S00138214",115,14,21,12,16,21,31
"S00138215",70,10,17,9,10,12,11
"S00138216",125,12,34,7,26,16,31
"S00138217",114,15,19,12,20,15,33
"S00138218",74,18,13,6,15,6,15
"S00138219",67,8,9,8,8,14,21
"S00138220",97,18,17,12,11,10,29
"S00138221",77,11,16,7,13,8,22
"S00138222",115,15,32,8,14,12,34
"S00138223",60,17,7,4,12,9,11
"S00138224",108,14,26,5,21,17,33
"S00138225",83,21,13,6,18,6,21
"S00138226",112,16,28,14,21,12,29
"S00138227",78,9,11,12,7,12,31
"S00138228",117,10,22,8,18,18,39
"S00138229",115,9,18,17,12,16,49
"S00138230",66,1,18,4,5,8,30
"S00138231",95,12,10,12,6,14,41
"S00138232",78,4,12,4,9,9,39
"S00138233",120,17,33,11,12,16,33
"S00138234",81,1,14,8,7,15,37
"S00138235",142,8,27,13,13,18,59
"S00138236",146,6,17,17,14,23,73
"S00138237",96,13,18,6,11,17,28
"S00138238",135,10,21,14,3,15,68
"S00138239",136,6,18,18,17,22,59
"S00138240",69,1,13,8,10,10,28
"S00138241",100,3,15,14,12,17,39
"S00138242",94,9,31,8,5,11,30
"S00138243",86,17,20,12,4,13,19
"S00138244",105,7,18,12,7,15,45
"S00138245",78,10,12,7,15,7,30
"S00138246",185,17,23,27,24,19,76
"S00138247",95,8,21,10,14,13,32
"S00138248",90,5,10,10,7,12,43
"S00138249",148,6,29,25,14,18,60
"S00138250",159,22,34,25,26,17,35
"S00138251",84,20,28,5,11,10,13
"S00138252",103,5,13,12,13,13,47
"S00138253",94,24,16,9,8,10,27
"S00138254",140,25,28,14,19,13,39
"S00138255",94,18,20,16,6,8,26
"S00138256",85,23,27,11,7,6,12
"S00138257",62,4,10,6,3,13,26
"S00138258",100,18,26,7,13,6,31
"S00138259",78,12,32,4,9,13,8
"S00138260",134,12,18,12,16,17,57
"S00138261",119,20,23,13,9,18,31
"S00138262",84,13,16,3,14,12,29
"S00138263",81,16,18,7,7,8,26
"S00138264",152,34,28,16,11,14,47
"S00138265",94,4,15,5,6,12,52
"S00138266",97,4,10,10,10,22,43
"S00138267",95,8,15,3,8,20,40
"S00138268",80,1,13,11,3,12,38
"S00138269",126,10,23,13,13,20,51
"S00138270",127,22,25,6,11,8,47
"S00138271",95,14,14,12,11,14,30
"S00138272",82,8,11,12,9,14,28
"S00138273",129,1,18,14,18,25,53
"S00138274",65,-,6,12,7,11,30
"S00138275",121,6,23,19,9,16,50
"S00138276",141,13,26,14,21,23,45
"S00138277",87,6,26,7,9,17,26
"S00138278",118,15,24,15,14,16,34
"S00138279",92,11,22,7,14,19,23
"S00138280",72,6,23,11,10,10,16
"S00138281",106,17,21,16,14,16,25
"S00138282",87,12,27,8,10,8,20
"S00138283",85,8,17,6,12,17,30
"S00138284",133,12,24,10,13,15,56
"S00138285",96,7,14,13,11,12,38
"S00138286",108,12,23,7,22,12,33
"S00138287",90,24,19,9,7,12,19
"S00138288",85,6,23,7,2,18,33
"S00138289",64,18,7,5,9,6,21
"S00138290",89,7,17,12,11,7,36
"S00138291",76,6,13,13,7,15,19
"S00138292",92,9,19,13,12,14,25
"S00138293",158,20,45,18,16,18,38
"S00138294",74,4,8,9,6,12,38
"S00138295",98,4,12,9,5,16,51
"S00138296",67,9,18,6,6,16,11
"S00138297",97,6,19,11,6,19,36
"S00138298",89,25,26,4,13,9,12
"S00138299",116,12,22,12,14,13,43
"S00138300",104,16,21,18,5,12,36
"S00138301",101,28,16,10,11,10,26
"S00138302",110,8,22,11,14,17,43
"S00138303",119,20,18,13,13,15,45
"S00138304",116,13,24,26,12,18,23
"S00138305",105,10,22,8,10,12,46
"S00138306",184,16,25,22,11,36,74
"S00138307",93,17,19,6,11,14,22
"S00138308",134,26,15,12,23,12,44
"S00138309",149,11,32,20,12,23,52
"S00138310",58,3,6,8,7,7,27
"S00138311",115,23,13,13,13,18,36
"S00138312",91,6,15,6,10,11,40
"S00138313",87,15,22,8,4,8,30
"S00138314",105,17,32,7,11,13,25
"S00138315",104,5,12,7,9,10,56
"S00138316",103,18,21,10,10,21,31
"S00138317",103,8,15,13,7,19,39
"S00138318",74,3,17,3,14,12,25
"S00138319",110,25,26,9,13,8,26
"S00138320",133,18,36,13,20,17,29
"S00138321",119,14,22,12,11,21,39
"S00138322",145,14,24,13,13,15,66
"S00138323",108,12,9,12,9,13,49
"S00138324",147,7,26,21,13,22,58
"S00138325",78,8,28,5,8,13,15
"S00138326",130,11,17,17,10,8,71
"S00138327",62,6,9,8,3,12,24
"S00138328",86,8,11,3,9,8,43
"S00138329",150,4,30,13,9,18,76
"S00138330",55,2,5,2,1,6,37
"S00138331",103,13,20,5,11,19,37
"S00138332",120,6,22,13,7,22,53
"S00138333",92,3,16,12,5,18,43
"S00138334",129,7,19,16,6,20,62
"S00138335",114,13,27,10,5,19,40
"S00138336",121,3,17,13,4,25,60
"S00138337",135,15,27,16,9,19,47
"S00138338",69,6,18,3,9,8,26
"S00138339",124,12,22,10,7,21,54
"S00138340",73,6,11,9,4,8,38
"S00138341",82,7,18,7,6,4,41
"S00138342",81,3,5,8,2,8,52
"S00138343",95,6,13,8,8,13,50
"S00138344",83,22,13,7,11,6,23
"S00138345",143,6,28,21,19,19,47
"S00138346",147,28,31,9,13,13,53
"S00138347",165,12,27,12,16,18,77
"S00138348",111,5,13,6,13,14,58
"S00138349",67,17,18,4,6,6,19
"S00138350",120,7,20,7,15,18,56
"S00138351",109,18,17,12,12,14,33
"S00138352",121,7,19,15,10,13,53
"S00138353",155,15,21,18,16,18,71
"S00138354",141,7,36,15,11,24,53
"S00138355",117,13,25,8,14,16,43
"S00138356",118,13,32,19,15,15,27
"S00138357",121,11,27,6,9,8,65
"S00138358",89,1,15,11,7,7,42
"S00138359",154,7,24,11,20,28,64
"S00138360",69,-,9,6,11,11,32
"S00138361",108,5,14,8,6,29,49
"S00138362",147,13,29,18,8,19,60
"S00138363",120,2,16,11,13,20,60
"S00138364",142,19,15,17,20,9,63
"S00138365",157,34,29,11,12,16,55
"S00138366",85,1,15,11,2,16,44
"S00138367",131,3,16,11,7,19,71
"S00138368",112,35,24,6,10,9,30
"S00138369",136,9,30,20,12,21,41
"S00138370",149,15,14,16,17,20,64
"S00138371",94,-,22,25,9,15,22
"S00138372",64,8,13,7,4,9,21
"S00138373",117,19,26,13,16,12,31
"S00138374",88,16,21,6,12,10,23
"S00138375",163,5,25,23,16,30,66
"S00138376",134,1,22,9,8,30,64
"S00138377",103,2,25,10,13,15,36
"S00138378",140,6,18,20,7,12,77
"S00138379",76,13,17,8,15,7,21
"S00138380",89,9,11,7,18,19,28
"S00138381",115,2,9,9,11,15,64
"S00138382",97,5,23,9,12,16,31
"S00138383",148,3,30,14,14,26,61
"S00138384",137,17,31,17,18,19,35
"S00138385",123,5,25,17,8,18,50
"S00138386",121,7,21,10,14,26,44
"S00138387",127,5,19,19,7,19,57
"S00138388",105,12,19,15,15,22,25
"S00138389",73,2,10,11,9,11,27
"S00138390",83,21,17,11,7,8,18
"S00138391",59,4,10,4,4,9,30
"S00138392",88,13,22,12,17,13,14
"S00138393",120,8,29,15,11,14,40
"S00138394",103,10,20,6,12,6,49
"S00138395",119,29,27,10,17,14,22
"S00138396",81,5,12,5,2,19,42
"S00138397",76,10,8,5,7,9,37
"S00138398",97,13,20,16,12,15,20
"S00138399",86,27,18,3,16,10,13
"S00138400",113,20,29,7,13,20,23
"S00138401",71,16,24,6,5,3,20
"S00138402",111,14,18,10,12,15,36
"S00138403",110,3,19,14,7,15,52
"S00138404",81,7,22,13,19,4,20
"S00138405",98,8,12,2,7,14,53
"S00138406",121,10,18,22,10,16,45
"S00138407",85,11,27,17,10,8,19
"S00138408",124,15,24,23,17,13,32
"S00138409",84,21,26,5,6,7,17
"S00138410",51,9,9,13,7,7,10
"S00138411",71,18,14,9,3,8,18
"S00138412",102,23,20,6,14,16,19
"S00138413",54,8,10,9,7,-,21
"S00138414",87,7,18,14,9,16,23
"S00138415",69,14,20,7,8,13,9
"S00138416",91,8,17,14,7,18,23
"S00138417",128,18,18,12,19,21,43
"S00138418",82,12,13,7,13,20,20
"S00138419",61,7,9,4,7,12,23
"S00138420",91,13,21,7,15,15,20
"S00138421",112,21,16,17,11,10,33
"S00138422",83,5,12,8,5,13,36
"S00138423",84,5,19,14,7,16,26
"S00138424",105,19,20,9,19,10,28
"S00138425",57,4,6,11,7,2,24
"S00138426",76,6,10,17,-,15,22
"S00138427",77,11,21,9,8,9,15
"S00138428",104,13,33,16,11,8,23
"S00138429",88,16,13,10,15,12,22
"S00138430",138,8,25,8,13,24,60
"S00138431",69,4,17,7,9,8,26
"S00138432",111,24,23,11,17,11,21
"S00138433",107,20,24,17,10,11,25
"S00138434",117,15,18,14,10,18,38
"S00138435",153,17,31,19,22,13,54
"S00138436",97,4,31,12,8,12,27
"S00138437",107,23,12,11,14,13,35
"S00138438",71,2,15,6,4,9,35
"S00138439",65,7,14,6,8,8,23
"S00138440",66,12,13,6,2,17,16
"S00138441",79,13,10,8,9,17,19
"S00138442",145,26,36,8,26,14,37
"S00138443",69,12,16,3,7,6,22
"S00138444",105,26,32,3,11,11,22
"S00138445",128,9,19,13,10,18,59
"S00138446",78,15,11,11,8,12,18
"S00138447",127,13,31,12,19,17,35
"S00138448",116,6,17,21,10,20,38
"S00138449",119,15,18,14,11,11,46
"S00138450",56,23,14,4,4,4,6
"S00138451",95,19,23,7,6,16,24
"S00138452",107,14,24,16,12,17,26
"S00138453",66,27,11,2,6,8,8
"S00138454",112,50,30,11,11,3,2
"S00138455",119,55,25,8,13,7,13
"S00138456",116,30,19,8,22,13,26
"S00138457",67,28,11,2,5,2,16
"S00138458",91,15,30,11,6,14,16
"S00138459",131,8,11,14,13,18,67
"S00138460",91,7,17,8,7,19,30
"S00138461",59,5,11,5,9,10,22
"S00138462",60,14,15,4,9,2,14
"S00138463",149,17,28,19,18,19,48
"S00138464",54,10,9,3,4,8,24
"S00138465",123,17,17,12,8,11,58
"S00138466",99,8,32,20,10,13,16
"S00138467",84,16,25,6,12,10,19
"S00138468",61,7,7,5,9,6,27
"S00138469",95,18,19,8,15,14,16
"S00138470",144,15,27,21,15,23,48
"S00138471",58,5,9,2,9,3,30
"S00138472",58,9,6,8,5,8,26
"S00138473",130,11,35,23,19,14,23
"S00138474",77,18,16,6,9,13,13
"S00138475",71,19,17,4,7,8,16
"S00138476",95,8,18,14,11,13,30
"S00138477",77,19,17,7,8,12,10
"S00138478",107,19,21,11,11,7,39
"S00138479",116,7,16,16,17,12,48
"S00138480",125,8,24,13,15,11,49
"S00138481",138,24,18,23,15,13,41
"S00138482",109,27,23,10,13,13,17
"S00138483",49,3,9,5,5,6,22
"S00138484",80,16,33,11,6,10,5
"S00138485",145,53,19,5,10,19,42
"S00138486",79,18,13,7,8,5,31
"S00138487",103,17,15,9,10,18,35
"S00138488",107,7,19,15,9,7,53
"S00138489",86,9,9,5,11,14,37
"S00138490",133,17,19,15,19,13,48
"S00138491",102,19,31,12,9,12,19
"S00138492",112,15,32,10,12,17,26
"S00138493",127,9,17,14,16,23,51
"S00138494",96,8,15,9,12,16,37
"S00138495",73,9,24,8,7,12,15
"S00138496",100,10,27,10,9,20,30
"S00138497",125,14,33,18,13,15,33
"S00138498",124,4,19,16,11,28,47
"S00138499",164,11,30,22,13,20,68
"S00138500",112,24,32,12,14,13,18
"S00138501",65,20,20,3,3,8,11
"S00138502",110,29,30,10,16,9,18
"S00138503",97,18,30,6,17,12,16
"S00138504",127,15,23,10,10,12,57
"S00138505",125,2,25,21,20,21,28
"S00138506",142,9,29,14,14,22,45
"S00138507",75,10,16,6,4,11,27
"S00138508",73,17,29,3,7,9,8
"S00138509",110,7,24,10,11,8,50
"S00138510",150,12,31,20,14,21,52
"S00138511",153,9,18,17,13,22,74
"S00138512",75,9,28,10,6,4,16
"S00138513",132,2,21,15,8,31,55
"S00138514",92,8,27,12,11,9,26
"S00138515",144,13,26,19,16,24,46
"S00138516",95,5,14,7,6,14,50
"S00138517",120,16,17,11,11,12,50
"S00138518",75,17,15,8,14,7,14
"S00138519",119,7,21,12,15,16,43
