Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00135415",20,2,16,1,2,-,-,-,-,-,-
"S00135416",39,5,24,1,6,2,-,-,2,-,-
"S00135417",8,3,6,1,1,-,-,-,-,-,-
"S00135418",40,5,23,9,-,-,-,-,-,1,-
"S00135419",3,-,3,-,-,-,-,-,-,-,-
"S00135420",18,6,11,-,3,-,-,-,-,-,-
"S00135421",16,2,11,-,2,-,-,-,-,-,-
"S00135422",13,3,5,2,4,-,-,-,-,-,-
"S00135423",42,-,28,1,11,-,-,-,-,-,-
"S00135424",16,2,1,10,2,-,-,-,-,-,-
"S00135425",14,6,1,6,3,-,-,-,-,-,-
"S00135426",31,4,16,2,8,-,-,-,-,1,-
"S00135427",14,-,2,4,5,-,-,-,-,-,1
"S00135428",22,-,18,2,1,-,-,2,-,-,-
"S00135429",13,-,7,-,4,-,-,-,-,-,-
"S00135430",17,1,13,1,1,-,2,-,-,-,-
"S00135431",26,4,18,-,3,-,-,-,1,-,-
"S00135432",14,2,14,-,-,-,-,-,-,-,-
"S00135433",18,4,11,3,1,-,-,-,-,-,-
"S00135434",7,-,4,-,1,-,-,-,-,-,-
"S00135435",5,1,3,-,1,-,-,-,-,-,-
"S00135436",18,1,12,3,2,-,-,-,-,-,-
"S00135437",19,4,8,3,3,-,-,-,-,2,-
"S00135438",14,5,3,1,7,-,-,-,-,-,-
"S00135439",10,2,6,2,2,-,-,-,-,-,-
"S00135440",23,1,13,3,3,-,-,-,-,-,-
"S00135441",16,-,9,-,6,-,-,-,-,-,-
"S00135442",-,-,-,-,-,-,-,-,-,-,-
"S00135443",14,3,4,2,5,-,-,-,-,-,1
"S00135444",23,3,10,7,2,-,-,-,-,1,-
"S00135445",17,3,12,-,1,2,-,-,-,-,-
"S00135446",26,-,22,-,3,-,-,-,-,-,2
"S00135447",27,5,6,7,5,1,-,-,-,-,-
"S00135448",36,4,26,2,2,-,1,-,-,-,-
"S00135449",6,-,4,-,2,-,-,-,-,-,-
"S00135450",9,-,4,4,2,-,-,-,-,-,-
"S00135451",3,-,2,-,1,-,-,-,-,-,-
"S00135452",5,1,-,3,1,-,-,-,-,-,-
"S00135453",12,1,8,1,1,-,-,-,-,-,-
"S00135454",18,5,7,4,-,-,-,-,-,-,-
"S00135455",15,2,12,-,1,-,-,-,-,-,-
"S00135456",16,5,7,3,-,-,1,-,-,-,-
"S00135457",4,1,2,-,1,-,-,-,-,-,-
"S00135458",13,2,11,-,-,-,-,-,-,-,-
"S00135459",10,3,2,2,-,-,-,-,-,-,-
"S00135460",20,1,12,3,4,-,-,-,-,-,-
"S00135461",36,6,19,6,5,-,-,-,-,-,-
"S00135462",29,1,24,1,2,-,-,-,-,-,2
"S00135463",21,-,14,3,4,-,-,-,-,-,-
"S00135464",11,-,5,1,5,-,-,-,-,-,-
"S00135465",11,1,5,-,5,-,-,-,-,-,-
"S00135466",15,3,9,2,1,-,-,-,-,-,-
"S00135467",16,4,9,1,2,-,-,-,-,-,-
"S00135468",3,-,-,-,2,-,-,-,-,1,-
"S00135469",6,2,3,2,-,-,-,-,-,-,-
"S00135470",26,-,23,-,1,-,1,-,-,-,-
"S00135471",33,3,24,4,4,-,1,-,-,-,-
"S00135472",25,5,18,1,1,-,-,-,-,-,-
"S00135473",27,5,19,3,4,-,-,-,-,-,-
"S00135474",26,6,16,3,1,-,-,-,-,-,-
"S00135475",23,-,17,3,2,-,-,-,-,-,-
"S00135476",17,-,12,1,2,1,-,-,-,-,-
"S00135477",20,4,-,10,6,-,-,-,-,-,-
"S00135478",8,-,4,3,-,-,1,-,-,-,-
"S00135479",15,1,13,2,-,-,-,-,-,-,-
"S00135480",21,2,10,8,-,-,-,-,-,-,-
"S00135481",19,-,16,1,-,-,-,-,-,-,-
"S00135482",19,2,13,-,4,-,-,-,-,-,-
"S00135483",22,2,16,2,5,-,-,-,-,2,-
"S00135484",6,-,4,1,-,-,-,-,-,-,-
