Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00149554",22,1,5,-,-,14,-,-,-,2,-
"S00149555",8,1,6,-,-,-,1,-,-,-,-
"S00149556",16,2,10,5,-,-,-,-,-,-,-
"S00149557",33,10,5,9,-,-,3,2,-,-,-
"S00149558",18,4,9,-,-,5,-,-,-,-,-
"S00149559",17,2,5,-,-,5,-,-,1,-,-
"S00149560",35,5,10,-,1,13,4,-,3,-,-
"S00149561",23,9,7,-,-,5,-,-,3,-,-
"S00149562",14,-,6,-,5,3,2,-,-,-,-
"S00149563",18,2,7,3,2,3,-,-,-,-,-
"S00149564",47,6,13,15,2,1,3,-,2,1,-
"S00149565",8,-,3,-,-,4,-,-,-,2,-
"S00149566",20,7,6,-,2,6,-,-,-,-,-
"S00149567",51,5,30,-,-,12,2,-,1,-,-
"S00149568",22,5,12,-,-,5,-,-,-,-,-
"S00149569",36,3,16,-,-,12,3,-,-,-,-
"S00149570",21,8,5,-,1,7,-,-,-,-,-
"S00149571",18,5,9,-,-,7,5,-,-,-,-
"S00149572",22,7,9,-,-,6,-,-,-,-,-
"S00149573",22,6,6,-,-,12,1,-,-,-,-
"S00149574",19,-,-,5,-,10,1,-,-,-,-
"S00149575",25,3,11,-,1,7,-,-,-,-,-
"S00149576",32,6,16,-,-,10,-,-,-,-,-
"S00149577",15,4,9,-,-,4,-,-,-,-,-
"S00149578",16,1,10,-,-,4,-,-,-,-,-
"S00149579",15,1,1,2,7,1,-,-,-,-,-
"S00149580",33,7,3,3,4,16,-,-,-,-,-
"S00149581",13,1,-,4,7,2,1,-,1,-,-
"S00149582",17,1,-,6,6,1,1,-,1,-,-
"S00149583",44,6,19,-,13,-,4,-,-,-,-
"S00149584",7,1,3,-,2,-,-,-,-,-,-
"S00149585",21,3,4,2,9,-,1,-,1,-,-
"S00149586",32,5,-,4,14,5,2,1,1,1,-
"S00149587",24,3,15,-,8,2,-,-,-,-,-
"S00149588",15,3,8,-,4,-,2,-,-,-,-
"S00149589",21,3,7,-,11,-,-,2,-,-,-
"S00149590",48,9,15,-,27,-,-,-,-,2,-
"S00149591",15,4,5,-,4,1,4,-,-,-,-
"S00149592",13,-,7,-,6,-,-,-,-,-,-
"S00149593",9,3,2,-,4,-,-,-,-,-,-
"S00149594",8,-,1,-,5,-,-,-,-,-,-
"S00149595",21,4,4,-,16,1,-,-,-,-,-
"S00149596",12,5,3,-,3,1,-,-,-,-,-
"S00149597",24,-,8,-,10,1,3,-,-,-,-
"S00149598",12,2,4,-,6,-,1,1,-,-,-
"S00149599",13,8,1,-,4,-,-,-,-,-,-
"S00149600",23,10,5,1,4,2,3,-,-,-,-
"S00149601",45,6,12,-,20,-,6,-,1,-,-
"S00149602",3,1,-,-,-,-,1,-,-,1,-
"S00149603",18,3,7,2,3,2,-,-,-,-,-
"S00149604",29,1,16,-,7,-,-,3,-,-,-
"S00149605",7,2,4,-,1,-,-,-,-,-,-
"S00149606",8,5,3,-,1,-,-,-,1,-,-
"S00149607",7,4,3,-,-,-,2,-,-,-,-
"S00149608",-,-,-,-,-,-,-,-,-,-,-
"S00149609",12,2,5,-,4,-,-,1,-,-,-
"S00149610",7,-,4,-,-,-,-,-,-,-,-
"S00149611",14,4,5,-,2,-,-,1,4,-,-
"S00149612",10,1,4,-,-,4,-,-,-,-,-
"S00149613",12,4,3,-,-,3,-,2,-,-,-
"S00149614",15,1,9,-,5,-,-,-,1,-,-
"S00149615",25,3,12,-,7,1,2,-,-,1,-
"S00149616",44,11,17,-,3,10,-,1,1,-,-
"S00149617",19,7,6,-,-,2,-,-,1,-,-
"S00149618",9,2,7,-,-,1,-,-,-,-,-
"S00149619",22,5,13,-,-,4,-,-,-,-,-
"S00149620",9,4,2,-,-,2,-,-,1,-,-
"S00149621",24,8,6,-,-,4,-,1,-,-,-
"S00149622",16,2,8,-,-,4,1,-,-,-,-
"S00149623",12,6,3,-,-,1,3,1,-,2,-
"S00149624",12,1,5,-,-,3,3,-,-,-,-
"S00149625",5,2,2,-,-,1,1,-,-,-,-
"S00149626",6,-,-,-,1,4,-,-,-,-,-
"S00149627",4,1,-,2,-,2,-,-,-,-,-
"S00149628",17,2,6,1,-,4,1,2,-,-,-
"S00149629",10,1,1,-,5,1,3,-,-,-,-
"S00149630",30,3,11,-,6,4,1,-,2,-,-
"S00149631",6,1,-,-,4,3,-,-,-,-,-
"S00149632",17,4,11,-,1,2,-,1,-,-,-
"S00149633",17,3,5,-,3,5,1,-,-,-,-
"S00149634",25,11,4,1,5,4,-,-,1,-,-
"S00149635",22,2,10,-,-,6,2,-,1,-,-
"S00149636",16,3,5,-,6,1,-,1,-,-,-
"S00149637",48,7,11,2,11,5,3,-,3,-,-
"S00149638",37,5,10,-,6,5,2,-,4,-,-
"S00149639",17,3,4,-,8,2,-,-,-,-,-
"S00149640",18,2,6,-,9,1,-,-,-,-,-
"S00149641",20,2,7,-,3,7,1,-,2,-,-
"S00149642",14,3,6,-,4,1,-,-,-,-,-
"S00149643",33,19,2,-,5,8,2,-,2,-,-
"S00149644",8,1,2,-,-,1,5,-,-,-,-
"S00149645",18,5,4,2,-,-,1,-,-,-,-
"S00149646",18,-,12,-,-,1,2,1,-,1,-
"S00149647",10,-,4,1,1,1,2,-,-,-,-
"S00149648",22,7,10,-,2,4,1,-,-,1,-
"S00149649",10,2,4,1,-,-,-,2,-,-,-
"S00149650",14,1,9,-,-,2,-,-,-,-,-
"S00149651",8,1,5,-,-,-,1,2,-,-,-
"S00149652",18,4,6,-,1,3,1,-,-,-,-
"S00149653",11,2,7,-,-,1,1,-,-,-,-
"S00149654",15,4,5,-,2,-,3,1,-,-,-
"S00149655",32,2,13,-,2,5,5,-,-,-,1
"S00149656",27,11,15,-,-,-,4,-,-,-,-
"S00149657",17,3,9,-,-,-,-,3,-,-,-
"S00149658",21,1,15,-,1,-,-,3,-,-,-
"S00149659",24,3,14,-,1,-,5,-,-,-,-
"S00149660",26,4,17,-,-,2,-,3,-,-,-
"S00149661",35,14,14,-,-,-,5,1,-,3,-
"S00149662",12,2,9,-,-,-,-,1,-,-,-
"S00149663",21,8,2,3,-,-,5,4,-,-,-
"S00149664",45,19,13,6,-,3,2,6,1,-,-
"S00149665",20,2,11,4,1,1,2,1,-,-,-
"S00149666",20,-,4,10,2,-,1,-,4,-,-
"S00149667",16,-,-,-,3,10,1,-,-,1,-
"S00149668",47,8,4,-,18,10,1,1,-,2,1
"S00149669",24,7,-,1,8,4,1,-,-,-,-
"S00149670",19,-,2,12,4,4,1,-,-,-,-
"S00149671",29,6,14,9,2,1,-,-,-,-,-
"S00149672",15,1,3,-,6,6,-,-,-,-,-
"S00149673",28,6,8,2,8,4,-,-,-,-,-
"S00149674",53,5,19,7,15,6,1,-,-,-,-
"S00149675",6,-,4,-,-,-,-,-,-,-,-
"S00149676",41,5,12,1,18,4,1,-,-,-,-
"S00149677",11,-,3,3,1,3,-,-,1,-,-
"S00149678",27,8,6,-,6,2,1,-,-,-,-
"S00149679",23,9,3,-,4,2,-,-,-,1,-
"S00149680",17,-,10,-,5,1,-,-,-,-,-
"S00149681",18,3,5,-,5,5,-,-,-,-,-
"S00149682",4,-,2,-,-,-,-,-,-,1,-
"S00149683",31,6,6,2,9,3,1,-,-,-,-
"S00149684",21,5,6,-,6,4,-,-,-,-,-
"S00149685",31,3,10,2,13,2,1,-,-,2,1
"S00149686",22,-,9,-,5,6,-,-,-,-,-
"S00149687",24,4,7,-,10,2,-,-,-,-,1
"S00149688",43,6,15,2,16,3,1,-,-,-,-
"S00149689",25,6,6,2,15,-,-,-,-,-,-
"S00149690",32,5,9,5,6,8,-,-,-,1,-
"S00149691",23,4,5,9,3,5,-,-,-,-,-
"S00149692",17,4,2,4,2,3,2,-,-,1,-
"S00149693",34,9,5,5,12,4,1,-,-,1,-
"S00149694",31,6,7,-,5,9,2,-,-,-,-
"S00149695",9,-,2,1,3,2,-,-,-,1,-
"S00149696",12,2,1,4,4,1,-,-,-,-,-
"S00149697",5,2,-,-,-,1,-,-,-,-,-
"S00149698",43,8,12,3,16,5,-,-,-,-,-
"S00149699",27,3,15,1,5,-,1,-,2,-,-
"S00149700",17,1,4,3,3,5,-,-,-,1,-
"S00149701",10,1,4,-,1,-,-,-,-,-,-
"S00149702",21,3,6,1,4,6,1,-,-,-,-
"S00149703",11,2,3,1,2,5,-,-,-,-,-
"S00149704",40,4,2,14,16,4,-,-,-,1,-
"S00149705",14,4,4,3,2,4,-,-,-,-,-
"S00149706",9,1,3,1,4,-,-,-,-,-,-
"S00149707",16,3,3,3,3,2,-,-,2,-,-
"S00149708",12,1,4,4,3,4,-,-,-,-,-
"S00149709",24,6,3,4,10,1,-,-,-,-,-
"S00149710",26,3,4,17,-,8,1,-,-,-,-
"S00149711",20,5,3,4,2,3,-,-,-,1,-
"S00149712",23,6,7,7,7,2,-,-,-,-,-
"S00149713",42,15,8,7,3,7,1,-,-,-,-
"S00149714",16,-,3,7,1,5,-,-,-,-,-
"S00149715",11,1,3,1,1,4,-,-,-,-,-
"S00149716",10,-,3,1,-,3,-,-,-,-,-
"S00149717",28,2,13,9,-,6,-,-,-,-,-
"S00149718",19,2,6,3,-,7,2,-,-,-,-
"S00149719",13,2,1,5,-,4,1,-,-,-,-
"S00149720",15,3,3,2,3,2,-,-,-,-,-
"S00149721",27,4,9,10,-,4,1,-,-,-,-
"S00149722",20,4,6,9,-,-,-,-,-,-,-
"S00149723",16,-,4,10,-,-,1,-,-,-,-
"S00149724",26,7,10,7,1,1,-,-,-,-,-
"S00149725",14,4,6,3,1,1,-,-,-,2,-
"S00149726",8,1,3,3,-,-,-,-,-,-,-
"S00149727",10,6,1,7,-,-,-,-,-,-,-
"S00149728",16,-,8,8,1,2,-,-,-,-,-
"S00149729",10,1,4,-,-,4,1,-,-,-,-
"S00149730",15,6,5,4,-,2,-,-,-,-,-
"S00149731",16,-,8,3,1,4,-,-,-,-,-
"S00149732",10,-,5,4,-,-,-,-,-,1,-
"S00149733",5,2,1,-,-,2,1,-,-,-,-
"S00149734",13,-,7,5,-,1,1,-,-,1,-
"S00149735",26,4,7,8,-,-,-,-,-,1,-
"S00149736",23,7,6,8,-,2,-,-,-,-,-
"S00149737",18,7,2,2,6,-,-,-,-,-,-
"S00149738",38,3,12,17,-,6,1,-,-,-,-
"S00149739",13,-,4,7,1,1,-,-,-,-,-
"S00149740",23,5,5,8,-,-,-,-,-,-,-
"S00149741",34,2,13,8,3,9,-,-,-,-,-
"S00149742",19,5,4,5,4,3,-,-,-,-,-
"S00149743",11,5,4,1,1,-,-,-,-,-,-
"S00149744",30,2,6,16,4,1,-,-,-,-,-
"S00149745",37,-,29,2,6,3,-,-,-,-,-
"S00149746",18,1,1,4,6,6,-,-,-,-,-
"S00149747",25,6,2,6,4,4,-,-,-,-,-
"S00149748",27,4,6,7,3,4,1,-,-,-,-
"S00149749",31,1,15,12,2,1,-,-,-,-,-
"S00149750",35,3,28,1,4,1,-,-,-,-,-
"S00149751",25,3,8,12,3,-,-,-,-,-,-
"S00149752",19,-,11,-,-,3,-,-,-,-,-
"S00149753",18,1,5,10,-,2,-,-,-,-,-
"S00149754",19,2,11,2,-,1,1,-,-,-,-
"S00149755",24,1,10,4,3,4,-,-,-,-,-
"S00149756",29,1,10,2,11,4,-,-,-,-,-
"S00149757",29,1,14,4,6,-,-,-,-,-,-
"S00149758",50,4,22,10,8,4,-,-,-,-,-
"S00149759",38,-,26,3,4,4,1,-,-,-,-
"S00149760",38,-,31,1,1,3,-,-,-,2,-
"S00149761",6,-,5,1,-,-,-,-,-,-,-
"S00149762",7,2,3,-,-,2,-,-,-,-,-
"S00149763",26,6,13,4,2,5,-,-,-,2,-
"S00149764",19,-,13,-,3,2,-,-,-,-,-
"S00149765",28,7,3,5,11,1,-,-,-,1,-
"S00149766",37,4,16,6,2,3,-,2,-,-,-
"S00149767",18,2,13,-,-,2,-,-,-,-,-
"S00149768",7,-,4,1,2,1,-,-,-,-,-
"S00149769",42,5,18,20,1,1,1,-,-,-,-
"S00149770",34,7,20,2,1,5,1,-,-,-,-
"S00149771",25,2,21,-,-,4,-,-,-,-,-
"S00149772",47,4,38,-,4,4,-,-,-,-,-
"S00149773",8,1,4,-,-,-,-,-,-,1,-
"S00149774",6,2,1,2,3,-,-,-,-,-,-
"S00149775",11,3,3,2,2,2,-,-,-,-,-
"S00149776",13,-,6,-,1,3,-,2,-,-,-
"S00149777",13,2,10,-,-,1,-,-,-,-,-
"S00149778",44,10,27,4,1,2,-,2,-,-,-
"S00149779",26,11,4,6,4,-,1,-,-,-,-
"S00149780",8,2,-,4,1,-,-,-,-,-,-
"S00149781",28,-,14,5,5,3,-,-,-,-,-
"S00149782",18,3,4,4,2,4,-,-,1,-,-
"S00149783",15,1,10,2,-,3,-,-,-,1,-
"S00149784",31,2,19,5,4,2,-,-,-,-,-
"S00149785",39,5,9,12,13,-,-,-,-,-,-
"S00149786",20,4,7,1,8,-,-,-,-,-,-
"S00149787",22,8,8,3,1,4,-,-,-,-,-
"S00149788",33,3,11,14,2,2,-,-,-,1,-
"S00149789",17,-,12,-,-,-,-,-,-,-,-
"S00149790",40,4,28,8,-,4,-,-,-,-,-
"S00149791",36,4,21,3,-,4,-,-,-,1,-
"S00149792",12,-,6,1,2,1,-,-,-,-,-
"S00149793",21,5,11,-,2,4,-,-,-,-,-
"S00149794",21,2,10,-,1,7,-,-,-,-,-
"S00149795",20,5,12,-,1,2,-,-,-,-,-
"S00149796",36,1,17,5,4,6,-,-,-,-,-
"S00149797",32,7,18,-,-,2,-,-,-,-,-
"S00149798",35,4,9,15,5,4,-,-,-,-,-
"S00149799",17,-,7,4,2,3,-,-,-,-,-
"S00149800",30,9,7,10,4,5,-,-,-,-,-
"S00149801",9,2,4,1,-,2,-,-,-,-,-
"S00149802",12,2,3,4,1,1,-,-,-,-,-
"S00149803",4,2,1,-,-,2,1,-,-,-,-
"S00149804",54,6,31,5,3,7,2,2,-,-,-
"S00149805",12,2,5,3,-,-,-,-,-,-,-
"S00149806",4,-,1,1,1,-,-,-,-,-,-
"S00149807",13,1,5,-,-,4,-,-,-,-,-
"S00149808",16,2,9,3,-,2,-,-,-,-,-
"S00149809",35,-,11,12,8,4,-,-,-,-,-
"S00149810",46,12,17,1,-,8,-,-,-,-,1
"S00149811",23,4,14,1,-,2,-,-,-,-,-
"S00149812",32,-,26,3,-,3,-,-,-,-,-
"S00149813",21,6,12,-,1,2,-,-,-,-,-
"S00149814",31,5,21,1,3,-,-,1,-,-,-
"S00149815",10,3,5,2,-,2,-,-,-,-,-
"S00149816",23,6,9,2,1,5,-,-,-,1,-
"S00149817",23,1,14,4,1,4,-,-,-,-,-
"S00149818",9,2,5,-,-,-,-,-,-,1,-
"S00149819",15,2,10,1,1,1,-,-,-,-,-
"S00149820",19,2,12,1,1,4,-,-,-,-,-
"S00149821",16,2,5,2,6,-,-,-,-,-,-
"S00149822",11,2,3,2,2,-,-,-,2,-,-
"S00149823",8,3,3,1,3,-,2,-,-,-,-
"S00149824",19,3,11,1,-,4,-,-,-,-,-
"S00149825",10,2,4,3,-,2,-,-,-,-,-
"S00149826",9,-,5,-,-,-,-,-,-,-,1
"S00149827",16,2,5,2,1,2,-,-,-,-,-
"S00149828",27,2,16,3,4,4,1,-,-,-,-
"S00149829",27,3,9,4,5,3,-,1,-,-,-
"S00149830",38,6,14,15,2,2,-,-,1,1,-
"S00149831",8,-,5,-,-,-,-,-,-,-,-
"S00149832",32,6,18,5,1,2,-,-,-,-,-
"S00149833",13,2,9,1,-,4,-,-,-,-,-
"S00149834",21,6,12,1,1,-,-,-,-,-,-
"S00149835",27,10,10,-,7,1,-,-,-,-,-
"S00149836",15,5,4,3,2,3,3,-,-,-,-
"S00149837",28,4,10,2,9,2,-,-,-,-,-
"S00149838",17,1,8,1,6,1,-,-,-,-,-
"S00149839",10,2,2,5,1,-,-,-,-,-,-
"S00149840",13,5,1,-,4,4,-,-,-,-,-
"S00149841",22,1,3,4,10,-,2,-,-,-,-
"S00149842",44,4,24,7,4,1,-,-,-,1,1
"S00149843",36,-,20,5,6,4,-,-,-,-,-
"S00149844",14,4,4,1,1,4,-,-,-,-,-
"S00149845",9,4,7,-,4,2,-,-,-,-,-
"S00149846",10,3,2,3,2,1,-,-,-,-,-
"S00149847",28,4,21,-,1,-,-,-,-,-,-
"S00149848",13,-,7,2,-,5,-,-,-,-,-
"S00149849",2,-,-,-,1,1,-,-,-,-,-
"S00149850",17,1,10,3,-,-,-,-,-,1,-
"S00149851",45,2,31,6,1,4,-,-,-,-,-
"S00149852",14,-,7,4,-,2,1,-,-,-,-
"S00149853",23,3,8,5,1,3,-,-,-,-,-
"S00149854",15,4,6,2,1,-,-,-,-,-,-
"S00149855",16,3,7,3,-,3,-,-,-,-,-
"S00149856",19,4,9,3,3,1,-,-,-,-,-
"S00149857",20,-,9,-,3,4,-,-,-,-,-
"S00149858",24,2,7,9,-,5,-,-,-,-,-
"S00149859",8,2,2,2,1,1,-,-,-,-,-
"S00149860",12,-,5,1,-,4,-,-,-,-,-
"S00149861",28,5,17,3,-,3,1,-,-,2,-
"S00149862",16,5,2,4,3,2,-,-,-,1,-
"S00149863",24,3,5,11,5,2,-,-,-,-,-
"S00149864",27,2,11,12,1,3,-,-,1,-,-
"S00149865",6,1,2,-,-,-,-,-,-,-,-
"S00149866",28,4,14,7,2,4,-,-,-,-,-
"S00149867",8,1,3,5,-,-,-,-,-,-,-
"S00149868",16,1,8,1,1,1,-,-,-,-,-
"S00149869",31,4,7,2,15,-,-,-,1,2,-
"S00149870",28,5,4,1,12,-,-,-,-,-,-
"S00149871",17,11,7,-,-,1,-,-,-,1,-
"S00149872",19,1,12,4,-,-,-,-,-,1,-
"S00149873",22,7,6,5,-,4,-,-,-,-,-
"S00149874",16,1,8,-,4,-,-,-,-,-,-
"S00149875",34,6,18,-,4,5,-,-,-,2,-
"S00149876",18,6,5,2,-,4,1,-,-,-,-
"S00149877",-,-,-,-,-,-,-,-,-,-,-
"S00149878",4,1,1,-,-,1,-,-,-,2,-
"S00149879",23,10,7,3,-,2,-,-,-,1,-
"S00149880",12,2,4,4,-,2,-,-,-,-,-
"S00149881",2,-,2,-,-,-,-,-,-,-,-
"S00149882",26,1,21,-,3,3,-,-,-,-,-
"S00149883",29,3,8,9,7,1,-,-,-,-,-
"S00149884",19,-,2,1,9,5,-,-,-,2,-
"S00149885",17,5,8,2,-,1,1,-,-,-,-
"S00149886",23,5,8,2,-,3,2,-,-,1,-
"S00149887",17,6,2,2,-,8,-,-,-,-,-
"S00149888",4,1,1,-,-,-,-,-,-,1,-
"S00149889",20,2,3,8,-,4,-,-,1,2,-
"S00149890",15,3,4,3,1,2,-,1,-,-,-
"S00149891",18,1,7,2,2,2,1,-,-,-,-
"S00149892",12,3,2,4,4,1,-,-,-,-,-
"S00149893",16,-,2,8,4,1,-,-,-,-,-
"S00149894",31,5,15,5,-,3,-,-,-,-,-
"S00149895",3,-,2,-,-,-,-,-,-,-,-
"S00149896",6,5,1,-,-,-,-,-,-,-,-
"S00149897",16,1,12,3,-,-,-,-,-,-,-
"S00149898",20,-,6,8,3,2,-,-,-,-,1
"S00149899",4,1,-,-,-,3,-,-,-,-,-
"S00149900",29,-,16,10,-,-,-,-,-,-,-
"S00149901",5,3,-,-,-,1,-,-,-,-,-
"S00149902",13,2,11,-,2,1,-,-,-,-,-
"S00149903",6,-,5,2,-,1,-,-,-,-,-
"S00149904",7,-,1,3,-,1,-,-,-,-,-
"S00149905",26,8,7,-,1,1,-,-,-,1,-
"S00149906",21,4,11,3,-,2,-,-,-,-,-
"S00149907",6,1,2,-,2,2,-,-,-,-,-
"S00149908",16,-,14,-,-,2,-,-,-,-,-
"S00149909",37,2,17,9,9,-,-,-,-,-,-
"S00149910",14,1,8,-,-,4,1,-,-,-,-
"S00149911",14,1,10,3,2,-,-,-,-,-,-
"S00149912",25,6,13,2,-,2,-,-,1,-,-
"S00149913",15,5,10,-,-,2,-,-,-,1,-
"S00149914",21,4,9,-,7,-,-,-,-,2,-
"S00149915",7,-,4,1,2,-,-,-,-,-,-
"S00149916",3,1,2,-,-,-,-,-,-,-,-
"S00149917",34,8,8,8,10,1,2,-,-,-,-
"S00149918",31,6,13,3,2,6,1,-,-,-,-
"S00149919",7,2,1,4,-,1,-,-,-,-,-
"S00149920",17,-,8,1,6,-,-,-,-,-,-
"S00149921",17,6,9,4,1,-,-,-,-,-,-
"S00149922",33,2,10,17,-,3,-,-,-,-,2
"S00149923",29,5,6,4,13,1,1,-,-,-,-
"S00149924",43,12,16,7,2,6,-,-,-,-,-
"S00149925",20,4,11,2,-,1,-,3,-,-,-
"S00149926",12,1,5,-,-,1,-,-,-,-,1
"S00149927",19,4,9,2,2,2,-,-,1,-,-
"S00149928",30,10,10,3,1,7,-,-,-,-,-
"S00149929",28,4,11,7,5,2,-,-,-,-,-
"S00149930",23,3,11,-,12,-,1,-,-,-,-
"S00149931",29,3,9,6,-,6,-,-,-,-,-
"S00149932",41,13,26,1,2,3,-,-,-,-,-
"S00149933",28,12,13,2,2,2,-,-,-,-,-
"S00149934",26,3,10,10,2,1,-,-,-,-,-
"S00149935",17,4,14,4,-,1,1,-,-,-,-
"S00149936",16,2,7,5,5,-,-,-,-,-,-
"S00149937",17,4,7,4,1,3,-,-,-,-,-
"S00149938",45,3,29,1,6,7,1,-,-,-,-
"S00149939",17,1,10,3,2,4,-,-,-,-,-
"S00149940",22,2,4,4,12,-,-,-,-,-,-
"S00149941",30,1,20,5,3,5,-,-,-,2,-
"S00149942",21,1,6,7,2,-,-,-,-,-,-
"S00149943",29,3,19,4,-,3,-,-,-,-,-
"S00149944",16,1,14,-,-,3,1,-,-,-,-
"S00149945",44,10,33,-,2,2,-,-,-,-,-
"S00149946",33,2,9,3,16,1,1,-,-,-,-
"S00149947",25,4,9,6,2,4,-,-,-,2,-
"S00149948",10,2,4,3,2,1,-,-,-,-,-
"S00149949",15,2,3,4,2,-,-,-,-,-,-
"S00149950",16,4,5,1,6,-,-,-,-,-,-
"S00149951",8,3,4,-,-,1,-,-,-,-,-
"S00149952",16,6,7,4,-,3,-,-,-,-,-
"S00149953",67,2,41,9,6,6,-,-,-,1,-
"S00149954",27,6,12,6,2,-,2,-,-,-,-
"S00149955",16,4,8,3,1,1,-,-,-,1,-
"S00149956",25,2,15,2,4,2,-,-,-,-,-
"S00149957",27,5,14,7,5,-,-,-,-,1,-
"S00149958",23,-,2,9,9,-,-,-,-,-,-
"S00149959",19,-,4,-,12,1,-,-,-,-,-
"S00149960",13,4,5,1,-,3,-,-,-,-,-
"S00149961",2,-,1,1,1,-,-,-,-,-,-
"S00149962",12,2,5,-,-,4,-,-,-,-,-
"S00149963",21,-,9,9,3,-,-,-,-,-,-
"S00149964",21,8,7,1,3,3,-,-,-,-,-
"S00149965",19,1,11,1,5,1,-,-,-,-,-
"S00149966",22,5,8,-,1,3,-,-,-,-,-
"S00149967",7,-,5,2,1,2,-,-,-,-,-
"S00149968",13,2,6,5,1,2,-,-,-,-,-
"S00149969",31,6,21,1,1,1,-,-,-,1,-
"S00149970",22,2,8,-,3,6,-,-,-,2,-
"S00149971",27,4,13,7,2,1,1,-,-,-,-
"S00149972",8,-,4,-,-,1,-,-,-,-,-
"S00149973",13,5,7,3,-,1,-,-,-,-,-
"S00149974",10,5,4,-,-,2,1,-,-,-,-
"S00149975",25,4,12,4,1,4,-,-,-,-,-
"S00149976",11,-,1,4,2,4,-,-,-,-,-
"S00149977",24,4,17,-,2,2,-,-,-,-,-
"S00149978",4,-,3,-,-,-,-,-,-,-,-
"S00149979",31,6,14,-,6,3,-,-,-,-,-
"S00149980",3,1,4,1,-,2,-,-,-,-,-
"S00149981",25,4,9,3,-,8,2,-,-,-,-
"S00149982",25,2,5,4,13,-,-,-,-,1,-
"S00149983",26,1,9,7,2,1,-,-,-,2,-
"S00149984",15,2,11,-,2,2,-,-,-,-,-
"S00149985",34,8,15,7,1,5,-,-,-,-,-
"S00149986",10,6,2,-,-,2,-,-,-,-,-
"S00149987",10,2,-,7,3,-,-,-,-,-,-
"S00149988",27,3,13,9,1,-,-,-,-,-,-
"S00149989",18,1,14,1,2,-,-,-,-,-,-
"S00149990",32,4,9,10,-,5,-,-,-,-,-
"S00149991",43,3,19,8,1,10,1,1,-,2,-
"S00149992",18,3,12,-,-,2,2,-,-,-,-
"S00149993",26,-,12,8,1,3,-,-,-,2,-
"S00149994",21,8,9,-,5,1,-,-,-,-,-
"S00149995",10,3,4,-,-,5,2,-,-,-,-
"S00149996",16,3,11,-,-,2,-,-,1,-,-
"S00149997",15,3,3,10,-,-,-,-,-,-,-
"S00149998",10,-,5,5,-,-,-,-,-,-,-
"S00149999",51,-,39,4,2,4,-,-,1,-,-
"S00150000",16,3,8,2,-,-,-,-,-,-,-
"S00150001",28,7,14,1,-,2,2,-,-,-,-
"S00150002",21,2,12,6,1,-,-,-,-,-,-
"S00150003",6,1,1,1,2,-,-,-,-,-,-
"S00150004",22,5,14,1,-,2,-,-,-,-,-
"S00150005",24,3,17,3,-,1,-,-,-,-,-
"S00150006",13,1,3,5,-,2,-,-,-,-,-
"S00150007",27,2,15,2,3,6,-,-,-,-,-
"S00150008",4,2,-,-,-,1,-,-,-,-,-
"S00150009",9,-,5,2,-,3,-,-,-,-,-
"S00150010",27,2,16,3,2,5,-,-,-,-,-
"S00150011",13,7,4,1,1,-,-,-,-,-,-
"S00150012",19,1,11,-,1,5,1,-,-,-,-
"S00150013",27,6,16,-,1,4,-,-,-,-,-
"S00150014",31,-,10,18,-,-,-,-,-,1,-
"S00150015",12,2,8,-,-,-,-,-,2,-,-
"S00150016",27,6,12,8,2,2,-,-,-,2,-
"S00150017",34,6,16,3,4,4,-,-,-,-,-
"S00150018",26,3,13,1,5,1,-,-,-,-,-
"S00150019",29,7,7,2,4,8,-,-,-,-,-
"S00150020",19,4,7,3,4,2,-,-,-,-,-
"S00150021",26,-,16,-,3,2,-,-,1,-,-
"S00150022",23,1,10,7,1,2,-,-,-,-,-
"S00150023",36,4,22,2,2,6,2,1,-,-,-
"S00150024",50,5,34,-,7,3,-,-,-,-,-
"S00150025",10,5,5,-,-,-,-,-,-,-,-
"S00150026",21,3,17,1,-,2,-,-,-,-,-
"S00150027",24,7,11,1,1,2,-,-,-,-,-
"S00150028",6,-,5,-,-,1,-,-,-,-,-
"S00150029",25,1,12,3,2,6,1,-,-,-,-
"S00150030",27,-,19,-,6,1,-,-,-,-,-
"S00150031",11,4,4,-,-,2,-,-,-,-,-
"S00150032",16,3,9,-,3,2,-,-,-,-,-
"S00150033",54,1,40,1,3,9,-,-,-,-,-
"S00150034",5,1,1,-,-,-,-,-,-,-,-
"S00150035",29,4,17,-,3,4,-,-,-,1,-
"S00150036",26,-,21,5,-,-,-,-,-,-,-
"S00150037",4,2,2,-,1,2,-,-,-,-,-
"S00150038",33,7,23,-,-,-,-,-,-,-,-
"S00150039",18,1,1,12,2,-,-,-,-,-,-
"S00150040",22,2,13,4,-,1,-,-,-,-,-
"S00150041",16,2,2,3,1,7,1,-,-,-,-
"S00150042",16,2,8,1,-,1,-,-,-,-,-
"S00150043",13,4,6,-,2,-,-,-,-,-,-
"S00150044",16,-,9,-,1,2,-,-,-,-,-
"S00150045",11,-,6,5,1,-,-,-,-,-,-
"S00150046",12,-,11,-,1,-,-,-,-,-,-
