Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00135476",90,17,59,1,9,8
"S00135477",94,32,52,-,9,2
"S00135478",91,21,24,6,13,27
"S00135479",111,22,86,-,3,-
"S00135480",109,43,61,-,5,3
"S00135481",114,15,84,1,1,11
"S00135482",66,10,40,-,9,6
"S00135483",100,20,58,2,5,11
"S00135484",74,9,51,-,8,6
"S00135485",142,34,74,4,10,14
"S00135486",88,23,54,-,9,3
"S00135487",144,35,89,6,9,5
"S00135488",93,27,50,3,6,9
"S00135489",100,70,13,7,11,-
"S00135490",117,34,70,-,8,8
"S00135491",112,47,48,10,6,-
"S00135492",111,17,69,2,11,9
"S00135493",127,73,39,4,7,4
"S00135494",87,20,57,-,3,7
"S00135495",82,26,46,-,6,4
"S00135496",87,11,62,-,2,8
"S00135497",185,31,137,2,5,10
"S00135498",117,69,31,5,10,2
"S00135499",110,31,61,1,4,9
"S00135500",82,37,43,-,2,-
"S00135501",121,16,80,2,12,9
"S00135502",114,65,38,5,5,-
"S00135503",77,14,45,-,6,12
"S00135504",137,28,86,2,6,14
"S00135505",122,44,67,1,6,7
"S00135506",74,24,40,1,11,4
"S00135507",132,31,88,5,4,5
"S00135508",61,22,20,-,12,1
"S00135509",102,25,67,-,4,6
"S00135510",100,33,45,3,12,4
"S00135511",116,65,31,2,13,3
"S00135512",110,30,62,4,10,4
"S00135513",97,37,36,3,13,12
"S00135514",96,45,29,4,13,8
"S00135515",143,38,66,2,10,30
"S00135516",108,69,24,2,11,1
"S00135517",101,47,37,4,9,3
"S00135518",76,26,35,1,5,6
"S00135519",129,34,85,2,6,2
"S00135520",129,53,55,3,14,4
"S00135521",104,64,21,2,13,6
"S00135522",85,32,40,-,5,2
"S00135523",65,16,35,-,3,12
"S00135524",104,30,48,3,13,14
