Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00144185",70,31,20,5,9,6
"S00144186",83,31,46,1,1,3
"S00144187",171,30,122,-,11,9
"S00144188",73,25,24,5,4,14
"S00144189",109,27,73,-,4,3
"S00144190",77,37,31,3,6,-
"S00144191",124,50,44,2,10,22
"S00144192",90,58,16,2,8,6
"S00144193",55,27,22,-,2,-
"S00144194",137,93,34,1,1,7
"S00144195",52,21,26,-,5,-
"S00144196",61,25,24,1,1,5
"S00144197",120,92,25,2,4,4
"S00144198",105,44,45,7,6,3
"S00144199",130,72,44,1,7,6
"S00144200",62,20,32,-,6,-
"S00144201",68,43,23,1,5,4
"S00144202",91,14,38,2,6,28
"S00144203",84,50,15,2,11,4
"S00144204",131,42,61,4,11,9
"S00144205",84,30,28,4,8,10
"S00144206",111,82,18,3,5,3
"S00144207",78,43,23,-,3,7
"S00144208",76,34,29,7,7,-
"S00144209",84,26,49,-,3,6
"S00144210",68,26,31,3,6,2
"S00144211",62,38,12,5,5,2
"S00144212",68,21,34,-,5,4
"S00144213",53,27,18,5,5,2
"S00144214",82,24,11,1,15,31
"S00144215",84,35,28,1,11,10
"S00144216",142,33,97,1,13,-
"S00144217",98,57,27,-,6,5
"S00144218",127,91,28,3,7,1
"S00144219",85,33,31,1,10,10
"S00144220",78,49,19,3,7,-
"S00144221",69,41,15,3,6,2
"S00144222",66,33,29,1,3,-
"S00144223",74,42,19,4,6,1
"S00144224",99,44,38,1,4,10
"S00144225",67,34,23,2,2,-
"S00144226",95,51,34,-,5,5
"S00144227",83,70,10,1,4,1
"S00144228",116,25,55,-,15,21
"S00144229",99,19,72,1,3,4
"S00144230",94,24,37,-,4,24
"S00144231",92,39,45,2,3,6
"S00144232",89,31,47,4,5,4
"S00144233",62,38,19,5,4,-
"S00144234",91,47,27,4,10,1
"S00144235",168,28,72,2,17,49
"S00144236",83,51,19,-,5,8
"S00144237",95,50,36,5,6,1
"S00144238",115,84,22,-,7,1
"S00144239",127,93,23,-,8,1
"S00144240",91,48,36,-,7,-
"S00144241",77,18,41,2,9,8
"S00144242",101,68,25,-,4,3
"S00144243",59,35,14,-,8,4
"S00144244",69,31,26,1,6,4
"S00144245",109,44,43,1,7,14
"S00144246",89,49,26,1,5,8
"S00144247",139,57,62,2,12,5
"S00144248",93,17,63,-,8,6
"S00144249",96,48,31,4,6,7
"S00144250",119,59,42,2,8,4
"S00144251",92,52,34,-,5,3
"S00144252",76,31,27,2,7,9
"S00144253",97,40,33,1,11,9
"S00144254",86,49,28,-,6,3
"S00144255",79,30,29,1,8,10
"S00144256",84,23,51,2,-,4
"S00144257",136,38,75,4,6,15
"S00144258",75,26,40,-,8,2
"S00144259",110,66,38,2,4,-
"S00144260",66,35,25,1,4,1
"S00144261",63,46,12,1,3,1
"S00144262",62,45,19,-,1,-
"S00144263",77,34,34,1,6,1
"S00144264",60,16,32,2,5,6
"S00144265",77,30,17,3,13,14
"S00144266",78,32,24,5,10,9
"S00144267",55,22,12,2,14,7
"S00144268",84,67,15,2,-,-
"S00144269",74,49,12,4,6,2
"S00144270",83,47,29,-,6,2
"S00144271",95,58,22,-,6,6
"S00144272",83,53,25,1,4,2
"S00144273",120,92,22,1,4,-
"S00144274",132,74,37,2,18,4
"S00144275",78,38,23,2,12,6
"S00144276",132,45,65,3,13,5
"S00144277",93,48,26,2,5,12
"S00144278",81,60,17,1,2,2
"S00144279",109,81,23,-,6,2
"S00144280",70,40,19,2,5,6
"S00144281",104,57,22,6,11,11
"S00144282",130,67,32,5,14,8
"S00144283",100,59,33,3,6,-
"S00144284",68,41,16,2,9,-
"S00144285",122,56,49,-,10,7
"S00144286",121,78,27,2,10,4
"S00144287",182,53,111,2,5,8
"S00144288",101,62,33,1,9,-
"S00144289",111,64,36,-,5,6
"S00144290",160,95,52,2,7,6
"S00144291",65,30,18,2,12,7
"S00144292",56,33,14,1,4,4
"S00144293",98,63,22,2,5,7
"S00144294",90,49,28,-,5,8
"S00144295",54,19,30,-,2,2
"S00144296",124,70,45,5,9,1
"S00144297",56,27,24,3,4,-
"S00144298",70,52,6,1,11,-
"S00144299",100,23,57,2,9,5
"S00144300",53,27,10,1,11,5
"S00144301",108,95,8,2,3,-
"S00144302",70,31,32,1,5,1
"S00144303",129,48,58,-,13,7
"S00144304",126,52,67,1,4,4
"S00144305",108,35,52,1,9,14
"S00144306",71,29,38,-,3,-
"S00144307",54,26,18,-,3,4
"S00144308",102,39,42,4,6,6
"S00144309",80,64,13,1,-,-
"S00144310",84,52,19,-,12,4
"S00144311",100,36,54,1,4,4
"S00144312",133,36,82,2,5,9
"S00144313",126,58,43,7,10,6
"S00144314",58,23,23,2,5,6
"S00144315",103,49,40,2,10,2
"S00144316",93,43,31,3,8,8
"S00144317",108,28,74,4,1,-
"S00144318",74,27,35,4,2,8
"S00144319",75,8,57,-,3,3
"S00144320",126,31,49,2,18,27
"S00144321",80,45,26,1,1,3
"S00144322",72,16,47,2,1,5
"S00144323",84,40,36,1,2,2
"S00144324",101,56,33,1,10,4
"S00144325",98,50,32,1,9,5
"S00144326",114,62,42,3,8,6
"S00144327",83,40,25,-,12,5
"S00144328",106,42,48,-,10,5
"S00144329",59,10,32,-,8,8
"S00144330",74,27,24,3,11,8
"S00144331",90,52,18,-,2,17
"S00144332",80,54,21,-,7,-
"S00144333",55,41,10,1,1,3
"S00144334",57,26,12,2,8,9
"S00144335",61,22,17,-,4,9
"S00144336",156,46,96,1,5,4
"S00144337",70,47,16,-,3,3
"S00144338",153,78,48,9,8,10
"S00144339",74,38,24,2,8,3
"S00144340",81,15,54,1,3,8
"S00144341",102,43,32,3,19,9
"S00144342",80,55,13,4,6,3
"S00144343",64,22,32,2,4,3
"S00144344",105,42,16,10,19,19
"S00144345",68,37,18,3,10,-
"S00144346",87,30,48,-,8,1
"S00144347",59,42,12,1,3,3
"S00144348",62,45,16,2,2,2
"S00144349",88,37,35,5,5,8
"S00144350",61,33,14,-,6,7
"S00144351",90,27,51,1,2,5
"S00144352",108,59,24,8,12,5
"S00144353",134,88,33,2,12,2
"S00144354",98,26,60,-,2,10
"S00144355",114,22,66,3,7,17
"S00144356",74,44,18,1,6,5
"S00144357",111,31,66,-,10,8
"S00144358",141,85,37,5,9,4
"S00144359",82,48,11,5,11,7
"S00144360",105,55,23,4,15,8
"S00144361",71,52,13,4,2,-
"S00144362",77,53,15,3,4,-
"S00144363",97,56,24,1,5,7
"S00144364",122,82,27,5,6,2
"S00144365",60,22,21,1,11,5
"S00144366",143,97,26,1,9,6
"S00144367",93,41,39,-,6,6
"S00144368",112,52,43,4,9,4
"S00144369",76,34,34,1,7,4
"S00144370",79,24,46,-,6,3
"S00144371",133,84,36,-,7,5
"S00144372",93,36,43,-,9,5
"S00144373",80,22,52,-,-,5
"S00144374",95,13,66,-,7,6
"S00144375",97,60,28,1,5,6
"S00144376",61,26,26,-,8,2
"S00144377",121,68,43,-,5,9
"S00144378",119,54,43,2,7,8
"S00144379",58,23,18,2,8,6
"S00144380",85,57,28,-,-,-
"S00144381",99,45,37,8,5,5
"S00144382",73,51,10,1,10,3
"S00144383",72,41,17,3,2,8
"S00144384",173,56,95,5,6,12
"S00144385",60,35,11,2,-,8
"S00144386",61,28,13,1,6,7
"S00144387",152,111,30,3,4,4
"S00144388",90,30,45,5,7,5
"S00144389",129,64,39,8,13,9
"S00144390",93,50,28,7,5,-
"S00144391",103,26,61,-,9,7
"S00144392",117,57,30,8,18,5
"S00144393",118,58,36,2,14,6
"S00144394",82,49,19,1,12,4
"S00144395",141,63,30,3,13,32
"S00144396",106,18,68,3,8,8
"S00144397",448,381,47,4,12,4
"S00144398",133,53,64,1,9,6
"S00144399",110,66,30,3,6,6
"S00144400",93,26,51,3,5,7
"S00144401",69,34,34,1,4,-
"S00144402",101,41,43,6,14,7
"S00144403",109,46,46,2,11,4
"S00144404",65,37,24,2,5,-
"S00144405",62,24,22,1,10,1
"S00144406",120,54,41,8,14,3
"S00144407",99,32,44,4,9,11
"S00144408",88,36,31,2,10,5
"S00144409",125,52,50,-,15,5
"S00144410",180,55,79,-,5,40
"S00144411",80,37,33,2,3,4
"S00144412",90,36,39,2,6,7
"S00144413",102,33,57,2,6,8
"S00144414",106,42,43,2,19,6
"S00144415",91,53,31,5,3,-
"S00144416",80,56,8,5,8,3
"S00144417",108,61,40,1,3,3
"S00144418",179,90,73,-,9,7
"S00144419",745,474,112,21,96,38
"S00144420",81,45,22,2,5,7
"S00144421",101,44,38,6,4,4
"S00144422",57,18,33,-,2,3
"S00144423",47,28,13,3,1,4
"S00144424",55,25,14,-,8,6
"S00144425",78,28,32,4,9,5
"S00144426",103,22,68,2,9,6
"S00144427",129,23,66,3,22,12
"S00144428",114,57,47,1,7,2
"S00144429",75,28,32,3,5,3
"S00144430",62,42,12,1,5,1
"S00144431",77,22,38,6,9,2
"S00144432",111,39,48,2,9,12
"S00144433",104,47,21,6,17,13
"S00144434",85,54,21,5,6,2
"S00144435",144,35,73,2,8,30
"S00144436",151,66,67,4,8,6
"S00144437",73,42,9,-,12,2
"S00144438",134,73,48,3,8,2
"S00144439",107,65,30,1,9,2
"S00144440",72,39,26,2,6,-
"S00144441",66,26,14,-,10,14
"S00144442",145,91,47,3,7,-
"S00144443",126,55,53,2,7,6
"S00144444",72,29,17,2,17,4
"S00144445",138,75,49,4,12,1
"S00144446",66,12,48,1,-,1
"S00144447",126,44,68,4,4,6
"S00144448",80,42,16,5,14,-
"S00144449",100,63,18,1,10,6
"S00144450",95,44,37,2,7,2
"S00144451",65,25,30,2,4,4
"S00144452",55,35,16,-,3,-
"S00144453",114,56,49,-,6,3
"S00144454",93,57,28,3,4,4
"S00144455",251,175,36,4,22,14
"S00144456",108,81,25,-,-,3
"S00144457",84,45,25,1,6,8
"S00144458",66,13,32,1,5,10
"S00144459",109,31,64,3,5,7
"S00144460",91,46,25,-,7,7
"S00144461",82,49,28,1,7,-
"S00144462",73,23,17,2,15,16
"S00144463",130,47,71,3,6,8
"S00144464",75,29,25,3,9,6
"S00144465",91,39,48,4,4,3
"S00144466",109,54,33,1,7,10
"S00144467",79,23,44,-,3,4
"S00144468",115,50,46,-,5,14
"S00144469",93,61,18,2,12,3
"S00144470",56,25,25,3,4,-
"S00144471",91,20,59,1,5,6
"S00144472",78,41,24,4,6,1
"S00144473",72,45,19,2,3,-
"S00144474",106,79,15,2,6,-
"S00144475",161,41,40,2,10,64
"S00144476",77,26,43,-,6,6
"S00144477",82,43,21,2,13,6
"S00144478",105,39,56,1,6,4
"S00144479",102,47,32,1,12,10
"S00144480",109,36,50,5,10,10
"S00144481",127,50,53,7,10,4
"S00144482",69,15,18,5,11,23
"S00144483",116,59,33,6,11,7
"S00144484",103,29,61,3,4,6
"S00144485",89,63,20,1,5,1
"S00144486",125,49,33,-,4,42
"S00144487",108,32,59,2,6,9
"S00144488",73,26,37,4,4,4
"S00144489",124,30,73,1,9,7
"S00144490",129,72,44,2,6,4
"S00144491",78,35,27,2,8,6
"S00144492",67,37,22,-,6,4
"S00144493",88,42,24,5,8,7
"S00144494",105,12,34,3,12,44
"S00144495",99,57,36,-,2,4
"S00144496",78,41,37,1,2,-
"S00144497",94,39,33,5,9,8
"S00144498",119,47,59,3,8,4
"S00144499",76,58,9,3,4,2
"S00144500",125,30,72,3,12,6
"S00144501",69,25,32,1,4,3
"S00144502",86,45,26,6,2,6
"S00144503",63,20,36,-,6,-
"S00144504",81,35,21,7,8,10
"S00144505",88,47,31,-,2,7
"S00144506",87,55,24,1,6,1
"S00144507",160,54,99,2,4,2
"S00144508",95,61,25,3,5,2
"S00144509",141,67,45,2,19,12
"S00144510",107,59,28,5,8,5
"S00144511",69,19,42,1,2,5
"S00144512",74,11,60,-,-,2
"S00144513",84,39,34,1,10,-
"S00144514",92,57,22,-,11,2
"S00144515",155,46,83,2,8,15
"S00144516",92,50,28,1,9,7
"S00144517",86,41,36,1,6,1
"S00144518",96,56,28,2,9,-
"S00144519",133,35,84,-,6,8
"S00144520",114,69,33,5,2,5
"S00144521",96,55,34,-,5,3
"S00144522",77,29,44,1,1,-
"S00144523",87,23,50,1,7,10
"S00144524",101,30,60,1,4,4
"S00144525",61,19,25,-,10,6
"S00144526",85,39,30,1,6,6
"S00144527",279,204,55,3,10,8
"S00144528",74,52,10,1,8,-
"S00144529",86,45,22,3,12,5
"S00144530",108,74,20,5,7,4
"S00144531",84,24,42,2,10,5
"S00144532",103,31,56,1,11,4
"S00144533",115,61,37,3,7,7
"S00144534",113,22,80,3,2,6
"S00144535",70,27,38,2,4,-
"S00144536",148,58,82,3,4,2
"S00144537",63,23,22,3,5,3
"S00144538",57,26,25,-,2,4
"S00144539",81,53,23,2,2,1
"S00144540",117,49,60,-,6,2
"S00144541",130,37,79,1,9,4
"S00144542",118,34,35,1,8,38
"S00144543",110,17,82,2,7,1
"S00144544",92,43,35,3,6,2
"S00144545",95,34,40,1,16,7
"S00144546",121,50,58,2,9,4
"S00144547",118,40,59,3,6,10
"S00144548",94,63,27,2,3,2
"S00144549",105,36,31,6,16,10
"S00144550",132,25,92,2,7,1
"S00144551",98,59,28,1,9,1
"S00144552",82,22,48,2,8,2
"S00144553",86,56,7,3,17,3
"S00144554",78,55,18,1,3,1
"S00144555",114,41,54,3,8,8
"S00144556",122,53,56,1,7,5
"S00144557",63,20,36,-,2,4
"S00144558",105,55,39,1,7,3
"S00144559",91,47,33,1,7,3
"S00144560",132,51,65,5,6,1
"S00144561",92,28,58,-,2,5
"S00144562",86,67,12,1,5,1
"S00144563",106,54,34,3,6,7
"S00144564",93,67,18,1,6,1
"S00144565",116,66,36,1,12,1
"S00144566",78,40,31,-,3,4
"S00144567",51,12,28,1,8,2
"S00144568",55,21,29,-,4,2
"S00144569",97,25,64,-,5,4
"S00144570",54,28,16,2,5,4
"S00144571",110,36,52,-,19,7
"S00144572",99,67,9,6,14,1
"S00144573",105,32,61,1,7,4
"S00144574",68,13,30,1,7,14
"S00144575",112,77,20,1,3,5
"S00144576",55,17,21,-,11,7
"S00144577",81,12,50,-,5,15
"S00144578",79,29,38,4,2,6
"S00144579",72,37,27,2,1,5
"S00144580",51,22,22,-,7,1
"S00144581",84,35,36,1,6,6
"S00144582",131,51,66,4,6,4
"S00144583",70,18,42,-,6,2
"S00144584",124,44,58,1,6,15
"S00144585",115,23,80,-,8,3
"S00144586",74,20,40,1,3,9
"S00144587",72,16,46,-,5,1
"S00144588",99,16,71,-,7,2
"S00144589",109,22,83,1,-,3
"S00144590",118,19,88,-,7,4
"S00144591",110,67,13,-,5,20
"S00144592",74,20,40,4,5,6
"S00144593",89,39,41,1,7,-
"S00144594",97,36,45,-,4,13
"S00144595",103,56,23,5,4,15
"S00144596",82,28,40,2,7,7
"S00144597",84,13,72,-,-,1
"S00144598",81,56,16,2,4,5
"S00144599",83,12,57,3,5,3
"S00144600",115,27,74,-,1,11
"S00144601",85,14,58,-,2,7
"S00144602",128,40,66,2,10,10
"S00144603",102,58,34,3,5,-
"S00144604",153,102,31,4,15,3
"S00144605",82,39,38,1,7,1
"S00144606",92,39,37,-,6,10
"S00144607",120,43,59,3,10,5
"S00144608",92,57,23,3,3,6
"S00144609",94,70,17,1,4,1
"S00144610",100,20,60,-,9,10
"S00144611",108,14,56,1,14,26
"S00144612",72,31,21,4,12,4
"S00144613",63,16,44,-,3,4
"S00144614",139,26,98,-,4,13
"S00144615",68,38,26,2,4,-
"S00144616",101,59,23,2,12,3
"S00144617",112,40,59,1,9,7
"S00144618",84,29,42,-,5,5
"S00144619",55,22,22,1,7,3
"S00144620",70,26,30,3,3,6
"S00144621",117,42,56,4,7,8
"S00144622",115,49,33,2,10,17
"S00144623",98,37,48,3,6,4
"S00144624",86,58,16,3,8,2
"S00144625",120,56,64,-,3,-
"S00144626",76,24,40,7,1,7
"S00144627",117,36,62,-,8,10
"S00144628",50,20,16,5,8,1
"S00144629",196,128,59,1,6,5
"S00144630",66,38,25,-,3,-
"S00144631",69,14,24,7,13,11
"S00144632",106,55,31,8,10,2
"S00144633",78,60,8,5,4,1
"S00144634",74,48,19,-,10,2
"S00144635",61,30,17,2,6,6
"S00144636",109,65,35,3,6,1
"S00144637",82,49,29,1,2,4
"S00144638",129,76,35,2,10,-
"S00144639",103,44,40,1,13,7
"S00144640",113,22,76,-,-,11
"S00144641",86,32,46,1,2,6
"S00144642",87,45,27,1,9,-
"S00144643",63,44,13,1,8,-
"S00144644",103,30,49,4,11,9
"S00144645",102,19,64,3,4,9
"S00144646",88,38,35,3,6,7
"S00144647",142,33,84,1,10,14
"S00144648",71,48,17,-,6,-
"S00144649",83,41,29,4,7,-
"S00144650",86,44,25,3,11,1
"S00144651",83,39,30,1,9,4
"S00144652",75,45,24,3,7,1
"S00144653",133,70,36,11,8,1
"S00144654",106,12,87,-,3,4
"S00144655",112,58,7,-,3,41
"S00144656",114,49,58,3,3,1
"S00144657",73,16,48,2,1,7
"S00144658",151,31,96,4,7,9
"S00144659",111,35,67,2,4,3
"S00144660",81,44,28,2,3,3
"S00144661",95,38,47,2,5,4
"S00144662",94,22,58,-,7,5
"S00144663",103,43,49,1,5,5
"S00144664",137,42,75,7,8,8
"S00144665",84,26,48,-,3,8
"S00144666",65,30,20,1,7,7
"S00144667",68,27,33,2,3,2
"S00144668",73,18,44,1,4,3
"S00144669",83,41,31,2,8,1
"S00144670",56,25,22,-,2,6
"S00144671",70,40,27,-,2,1
"S00144672",87,62,22,4,1,-
"S00144673",74,38,28,-,5,3
"S00144674",113,33,68,3,5,4
"S00144675",96,68,22,3,3,-
"S00144676",94,39,44,-,8,7
"S00144677",116,28,82,1,2,3
"S00144678",131,58,56,2,10,8
"S00144679",93,27,56,-,8,2
"S00144680",116,52,53,1,5,5
"S00144681",73,17,35,4,9,7
"S00144682",89,45,20,8,14,5
"S00144683",67,37,21,1,4,2
"S00144684",140,44,54,-,10,34
"S00144685",53,13,34,-,-,6
"S00144686",73,24,35,-,9,8
"S00144687",138,25,104,4,1,1
"S00144688",88,10,65,2,-,10
"S00144689",91,44,35,3,3,1
"S00144690",177,55,110,-,6,6
"S00144691",90,10,74,2,1,3
"S00144692",67,36,27,-,3,1
"S00144693",97,47,44,-,4,2
"S00144694",85,31,42,2,6,1
"S00144695",115,19,53,1,11,31
"S00144696",102,14,76,1,2,3
"S00144697",67,26,29,4,4,4
"S00144698",67,45,16,-,3,3
"S00144699",92,39,35,-,7,7
"S00144700",104,38,62,2,4,6
"S00144701",66,41,14,3,8,-
"S00144702",111,49,52,-,7,3
"S00144703",99,42,41,4,7,4
"S00144704",66,23,28,7,5,3
"S00144705",157,50,78,5,7,13
"S00144706",119,37,67,3,6,6
"S00144707",100,34,52,2,6,3
"S00144708",106,16,76,1,1,8
"S00144709",92,38,42,4,10,2
"S00144710",64,25,20,4,9,8
"S00144711",65,19,34,3,1,6
"S00144712",108,24,75,2,6,8
"S00144713",101,22,76,1,4,-
"S00144714",116,24,87,-,1,4
"S00144715",100,36,50,-,5,5
"S00144716",81,49,27,2,4,2
"S00144717",119,56,45,2,7,9
"S00144718",81,31,34,2,6,8
"S00144719",151,25,71,1,9,47
"S00144720",68,20,41,1,3,3
"S00144721",144,82,49,-,7,3
"S00144722",91,54,28,-,5,4
"S00144723",132,55,76,1,2,2
"S00144724",110,37,62,-,6,1
"S00144725",65,22,30,-,5,6
"S00144726",139,24,96,2,6,7
"S00144727",101,26,62,1,7,5
"S00144728",117,34,61,1,13,8
"S00144729",63,12,38,3,6,4
"S00144730",89,41,36,5,7,3
"S00144731",104,35,53,1,6,6
"S00144732",83,42,36,2,-,-
"S00144733",124,48,61,2,6,8
"S00144734",72,32,32,-,2,7
"S00144735",123,31,83,1,3,5
"S00144736",108,25,70,3,3,10
"S00144737",142,35,95,1,7,4
"S00144738",82,33,40,-,4,5
"S00144739",105,41,54,2,6,8
"S00144740",57,23,23,-,11,4
"S00144741",70,38,26,-,6,3
"S00144742",97,44,33,3,14,5
"S00144743",90,39,36,2,8,5
"S00144744",101,34,51,3,7,8
"S00144745",84,41,25,2,9,7
"S00144746",114,53,43,1,12,8
"S00144747",62,35,8,2,13,4
"S00144748",59,45,6,2,10,-
"S00144749",87,39,30,-,8,8
"S00144750",77,54,7,5,12,3
"S00144751",87,20,56,1,4,6
"S00144752",96,26,52,3,5,9
"S00144753",124,38,64,1,8,6
"S00144754",103,34,60,3,5,2
"S00144755",68,45,6,3,15,3
"S00144756",61,15,31,-,3,7
"S00144757",128,20,91,-,2,11
"S00144758",98,23,62,-,7,5
"S00144759",99,36,49,2,1,6
"S00144760",55,11,31,2,3,4
"S00144761",110,66,31,6,6,6
"S00144762",62,17,36,-,4,5
"S00144763",78,45,17,4,4,1
"S00144764",67,40,24,4,-,1
"S00144765",67,28,33,-,4,2
"S00144766",111,61,22,3,12,9
"S00144767",103,50,33,6,17,1
"S00144768",81,34,28,-,12,6
"S00144769",89,34,44,-,9,1
"S00144770",90,42,38,-,8,3
"S00144771",86,18,65,-,1,2
"S00144772",90,37,39,2,7,5
"S00144773",98,14,50,1,20,13
"S00144774",97,29,47,4,6,9
"S00144775",64,36,16,2,3,5
"S00144776",114,59,33,3,9,10
"S00144777",108,49,37,4,10,4
"S00144778",143,25,104,-,7,7
"S00144779",80,45,26,1,5,3
"S00144780",101,23,71,2,3,5
"S00144781",76,17,52,-,3,2
"S00144782",68,38,20,3,3,6
"S00144783",89,49,36,1,1,2
"S00144784",123,54,53,-,10,5
"S00144785",96,51,25,3,9,9
"S00144786",120,65,32,2,11,8
"S00144787",93,35,42,5,3,5
"S00144788",114,62,39,2,4,5
"S00144789",69,15,26,-,6,21
"S00144790",154,80,58,4,7,4
"S00144791",63,24,24,2,12,1
"S00144792",105,35,51,4,6,13
"S00144793",92,56,15,5,14,-
"S00144794",84,19,58,3,1,3
"S00144795",93,23,50,1,9,6
"S00144796",90,45,26,2,10,7
"S00144797",106,51,31,2,10,8
"S00144798",82,32,30,3,9,8
"S00144799",86,49,15,-,16,2
"S00144800",87,24,58,-,2,5
"S00144801",95,40,43,1,6,6
"S00144802",92,49,24,6,13,2
"S00144803",84,20,53,-,8,3
"S00144804",63,28,24,2,4,5
"S00144805",95,17,60,1,10,7
"S00144806",126,71,33,1,15,6
"S00144807",56,29,10,-,12,3
"S00144808",70,31,23,2,6,7
"S00144809",123,22,90,2,7,6
"S00144810",94,15,69,-,3,2
"S00144811",76,34,28,3,6,2
"S00144812",91,36,36,2,15,9
"S00144813",62,33,13,2,11,1
"S00144814",105,27,64,-,4,11
"S00144815",56,5,24,-,2,29
"S00144816",69,24,27,5,7,2
"S00144817",62,16,39,-,4,3
"S00144818",60,22,16,2,13,8
"S00144819",50,35,11,-,5,-
"S00144820",104,38,47,5,11,3
"S00144821",131,34,82,1,7,6
"S00144822",86,54,12,9,12,-
"S00144823",69,24,33,-,8,4
"S00144824",88,32,36,5,6,10
"S00144825",80,47,16,-,11,5
"S00144826",67,37,6,9,9,3
"S00144827",85,18,59,1,5,5
"S00144828",81,44,8,2,18,8
"S00144829",69,25,18,6,8,11
"S00144830",101,19,70,1,7,2
"S00144831",72,42,16,1,10,4
"S00144832",177,85,70,-,10,8
"S00144833",87,53,16,1,9,3
"S00144834",98,44,38,4,10,4
"S00144835",91,47,21,3,8,6
"S00144836",96,42,31,2,9,5
"S00144837",88,31,44,1,3,10
"S00144838",83,50,16,4,10,2
"S00144839",88,13,62,3,4,4
"S00144840",94,40,36,-,10,5
"S00144841",116,38,62,3,12,5
"S00144842",80,36,34,-,6,6
"S00144843",95,60,16,5,9,4
"S00144844",169,38,110,3,7,6
"S00144845",79,55,8,1,13,-
"S00144846",105,28,65,-,3,9
"S00144847",83,30,41,1,6,6
"S00144848",82,35,39,1,6,1
"S00144849",76,35,22,1,7,8
"S00144850",107,40,30,3,21,17
"S00144851",55,23,18,1,7,3
"S00144852",87,56,20,3,9,5
"S00144853",71,35,22,1,6,5
"S00144854",81,50,23,-,4,2
"S00144855",79,43,20,2,9,3
"S00144856",87,11,68,-,3,2
"S00144857",76,40,21,5,10,-
"S00144858",73,43,21,-,5,4
"S00144859",126,67,41,3,13,2
"S00144860",158,36,106,2,8,7
"S00144861",94,37,45,-,6,6
"S00144862",57,33,15,3,3,5
"S00144863",75,52,6,2,11,3
"S00144864",110,55,32,3,10,8
"S00144865",85,41,36,-,6,3
"S00144866",107,19,76,1,4,9
"S00144867",1675,1536,120,1,6,8
"S00144868",71,44,8,4,11,4
"S00144869",105,29,63,1,6,6
"S00144870",75,19,38,4,6,10
"S00144871",70,10,38,-,9,14
"S00144872",64,40,14,4,4,2
"S00144873",102,52,33,2,11,4
"S00144874",93,12,77,-,-,5
"S00144875",110,27,71,-,6,6
"S00144876",94,36,29,6,16,8
"S00144877",76,40,16,1,11,7
"S00144878",90,57,19,3,9,-
"S00144879",287,165,100,2,8,14
"S00144880",79,34,36,3,5,2
"S00144881",78,42,18,7,13,3
"S00144882",50,27,11,3,7,-
"S00144883",91,16,65,1,-,12
"S00144884",96,40,12,8,27,8
"S00144885",104,19,75,-,4,6
"S00144886",93,38,26,4,16,6
"S00144887",120,40,60,6,10,5
"S00144888",60,21,29,-,8,-
"S00144889",100,19,70,2,2,4
"S00144890",56,31,14,1,7,-
"S00144891",84,16,56,2,5,8
"S00144892",89,17,66,-,3,1
"S00144893",131,44,60,4,12,11
"S00144894",90,51,9,7,20,4
"S00144895",51,25,21,-,3,-
"S00144896",54,28,11,5,5,2
"S00144897",97,49,22,1,16,6
"S00144898",83,46,18,7,8,4
"S00144899",113,23,76,1,7,6
"S00144900",61,32,14,2,6,7
"S00144901",124,38,78,2,3,10
"S00144902",74,21,35,3,10,5
"S00144903",103,49,37,1,12,6
"S00144904",82,37,31,3,8,4
"S00144905",114,18,86,1,2,8
"S00144906",70,30,28,2,3,6
"S00144907",81,18,55,-,4,2
"S00144908",83,28,37,1,7,8
"S00144909",123,58,50,4,10,5
"S00144910",99,41,39,3,12,4
"S00144911",76,45,20,2,8,-
"S00144912",106,70,19,5,11,1
"S00144913",74,40,12,3,17,-
"S00144914",63,32,24,2,-,5
"S00144915",77,18,53,4,-,2
"S00144916",75,45,25,-,1,6
"S00144917",91,27,54,1,6,3
"S00144918",95,43,29,-,15,3
"S00144919",104,43,38,3,19,5
"S00144920",138,71,38,4,20,5
"S00144921",82,46,22,-,8,4
"S00144922",128,47,65,3,8,5
"S00144923",93,20,63,-,7,5
"S00144924",102,43,49,3,5,5
"S00144925",82,51,6,8,12,3
"S00144926",83,35,32,2,8,2
"S00144927",75,22,41,2,7,3
"S00144928",120,28,69,2,12,9
"S00144929",127,40,79,-,5,4
"S00144930",92,32,50,3,8,4
"S00144931",75,22,40,2,8,6
"S00144932",82,33,35,3,9,5
"S00144933",95,17,62,-,7,6
"S00144934",104,46,42,6,3,7
"S00144935",70,30,22,1,13,2
"S00144936",115,57,36,10,11,4
"S00144937",102,25,56,-,3,19
"S00144938",100,47,34,5,6,7
"S00144939",103,13,80,-,3,5
"S00144940",93,49,35,2,4,3
"S00144941",129,68,38,5,11,8
"S00144942",104,64,12,10,17,2
"S00144943",110,57,36,1,17,-
"S00144944",139,21,104,2,6,7
"S00144945",94,17,65,2,5,2
"S00144946",183,77,81,2,14,9
"S00144947",86,19,46,1,11,7
"S00144948",130,28,85,2,6,8
"S00144949",117,59,36,-,8,13
"S00144950",72,29,31,5,3,2
"S00144951",93,31,51,-,7,6
"S00144952",125,51,57,2,11,2
"S00144953",86,41,30,4,9,2
