Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00149535",121,8,6,36,33,43,4,-,-,1,1,2,115,8,6,29,32,37
"S00149536",67,17,5,20,17,8,5,1,-,-,2,-,60,16,5,18,18,8
"S00149537",183,43,16,69,25,27,3,1,1,1,-,-,182,42,18,68,25,27
"S00149538",159,46,16,61,23,12,6,4,1,1,-,-,150,42,15,60,23,12
"S00149539",97,14,14,29,24,12,-,-,-,-,-,-,97,14,14,29,24,12
"S00149540",95,21,10,36,10,16,1,-,1,-,-,-,94,21,9,36,10,16
"S00149541",147,33,16,46,31,20,6,1,2,3,-,1,141,32,15,43,31,20
"S00149542",114,17,6,31,30,31,4,-,1,-,-,1,110,16,3,30,30,30
"S00149543",126,33,17,43,22,15,2,-,-,-,1,1,128,33,17,43,21,14
"S00149544",120,27,6,46,21,18,2,-,-,2,-,-,113,27,6,45,21,18
"S00149545",89,5,5,25,26,31,4,-,-,-,1,1,86,5,5,26,21,30
"S00149546",163,32,21,56,35,18,6,1,-,3,1,-,157,30,19,54,35,18
"S00149547",137,32,15,47,28,14,6,6,-,1,1,-,129,28,15,42,27,14
"S00149548",119,16,11,28,37,27,3,-,-,1,-,-,116,16,11,27,35,27
"S00149549",93,16,9,22,22,24,4,-,-,4,-,-,91,16,9,20,22,24
"S00149550",116,15,12,35,37,20,2,-,-,1,1,-,114,15,12,34,33,20
"S00149551",74,4,13,23,25,11,2,-,2,-,-,-,71,4,11,23,25,11
"S00149552",82,13,7,26,22,14,-,-,-,-,-,-,80,13,7,26,22,12
"S00149553",86,-,8,21,28,28,-,-,-,-,-,-,86,-,8,21,28,28
"S00149554",142,17,18,48,28,39,9,1,-,2,1,2,134,16,12,46,25,35
"S00149555",77,6,8,14,23,26,2,-,-,1,-,-,75,6,8,13,23,25
"S00149556",64,16,3,23,11,14,-,-,-,-,-,-,67,16,1,23,11,14
"S00149557",155,29,18,54,32,19,4,-,1,3,-,-,151,29,17,51,32,19
"S00149558",126,15,12,28,27,44,3,1,1,-,1,-,123,14,9,28,23,44
"S00149559",100,10,12,32,22,29,3,1,2,-,-,-,99,9,12,32,22,29
"S00149560",119,29,11,39,23,20,6,1,-,2,-,-,117,28,9,36,23,20
"S00149561",129,13,15,42,36,19,4,-,-,2,3,-,128,13,15,41,33,19
"S00149562",136,11,15,37,39,38,3,-,2,1,-,-,137,10,18,32,39,38
"S00149563",145,14,17,47,38,29,1,-,-,-,1,-,144,14,17,47,34,29
"S00149564",232,35,34,78,57,31,8,2,-,2,2,2,224,33,34,73,55,25
"S00149565",84,10,4,17,16,39,1,-,-,1,-,-,83,10,4,16,16,39
"S00149566",101,19,3,29,20,28,2,2,-,-,-,-,100,18,3,29,20,28
"S00149567",167,46,15,45,31,30,1,-,-,1,-,-,165,46,15,43,31,30
"S00149568",96,17,16,27,27,12,1,-,-,1,-,-,91,17,16,23,27,12
"S00149569",125,35,14,41,19,20,3,1,-,1,1,-,126,34,14,40,18,20
"S00149570",108,16,9,22,32,27,-,-,-,-,-,-,108,16,9,22,32,27
"S00149571",104,14,15,31,25,19,2,-,-,1,-,2,102,14,15,30,25,18
"S00149572",102,18,15,31,26,13,3,-,1,2,-,-,99,18,14,29,26,13
"S00149573",95,21,10,33,13,18,1,-,-,1,-,-,94,21,10,32,13,18
"S00149574",141,17,10,29,46,35,1,-,-,-,1,-,140,17,10,29,45,35
"S00149575",109,20,17,23,33,20,1,-,-,1,-,-,108,20,17,22,33,20
"S00149576",95,27,8,35,20,7,4,-,1,3,-,-,91,27,5,28,20,7
"S00149577",94,14,7,25,22,27,3,1,-,1,-,-,92,14,7,24,22,27
"S00149578",85,18,10,22,17,20,2,1,-,-,-,-,86,19,10,21,17,20
"S00149579",108,14,4,35,36,21,2,-,-,-,1,-,108,14,4,34,35,21
"S00149580",169,26,14,41,47,41,5,-,2,4,2,-,164,26,13,39,45,41
"S00149581",100,12,7,25,29,30,4,1,-,1,-,1,96,10,7,18,31,29
"S00149582",127,17,11,28,35,42,1,-,-,1,2,-,124,17,11,27,32,42
"S00149583",192,48,11,75,42,19,5,-,2,2,-,-,188,48,9,67,42,19
"S00149584",65,6,9,17,20,13,7,1,3,4,-,-,58,5,6,14,20,13
"S00149585",106,17,7,30,26,21,1,-,-,-,1,-,105,17,7,30,25,21
"S00149586",164,27,8,30,47,51,1,-,1,4,-,-,164,27,7,32,47,51
"S00149587",150,23,6,38,33,50,4,1,-,4,1,3,143,22,6,35,32,51
"S00149588",89,11,7,18,25,28,2,-,-,-,2,-,87,11,7,18,23,28
"S00149589",142,22,9,38,39,34,-,-,-,-,-,-,141,22,9,37,39,34
"S00149590",193,36,19,73,38,20,6,1,1,3,-,2,189,35,18,70,38,23
"S00149591",98,19,11,32,27,12,-,-,-,-,-,-,98,19,11,32,27,12
"S00149592",77,12,6,23,14,16,-,-,1,-,-,1,75,12,3,23,14,18
"S00149593",85,6,11,15,27,23,2,-,-,-,-,1,81,6,13,15,27,22
"S00149594",93,5,12,27,28,21,3,-,-,-,1,2,90,5,12,27,27,19
"S00149595",138,25,11,51,23,32,1,2,-,1,-,-,136,20,11,50,23,32
"S00149596",93,5,7,27,20,32,2,-,-,-,2,-,91,5,7,27,17,32
"S00149597",114,19,14,23,34,17,6,-,2,-,2,-,105,19,13,21,32,17
"S00149598",96,10,2,19,23,42,2,-,-,-,-,1,94,10,2,18,23,41
"S00149599",108,9,8,24,27,40,1,-,-,1,-,-,107,9,8,23,27,40
"S00149600",112,25,9,39,32,6,-,-,-,1,1,-,107,25,9,38,31,6
"S00149601",143,38,25,42,27,8,4,1,-,2,-,-,140,37,25,40,27,8
"S00149602",78,-,5,10,27,37,-,-,-,-,-,-,78,-,5,10,27,37
"S00149603",93,19,6,24,22,26,-,-,-,-,-,-,93,19,6,24,22,26
"S00149604",146,27,13,48,31,32,1,1,-,-,-,-,142,24,13,48,31,32
"S00149605",75,7,8,21,19,20,-,-,-,-,-,-,75,7,8,21,19,20
"S00149606",64,7,9,18,15,19,-,-,-,-,-,-,67,7,9,18,14,19
"S00149607",74,6,5,12,24,27,-,-,-,-,-,-,74,6,5,12,24,27
"S00149608",63,-,-,5,16,39,1,-,-,-,1,-,60,-,-,5,15,39
"S00149609",72,15,4,12,12,31,2,-,-,-,2,-,74,15,4,12,12,31
"S00149610",86,6,2,22,27,26,4,-,-,1,3,-,82,6,2,21,27,26
"S00149611",120,15,11,29,30,40,2,-,2,-,-,-,119,15,9,29,30,40
"S00149612",128,6,15,40,39,25,3,-,1,1,3,-,122,6,13,38,36,25
"S00149613",102,11,7,29,36,19,3,-,2,1,-,-,99,11,5,32,36,19
"S00149614",100,14,7,30,28,24,3,-,-,2,-,-,97,14,6,28,28,24
"S00149615",119,20,15,37,26,29,8,3,2,3,1,-,114,17,14,30,22,29
"S00149616",149,40,12,54,24,19,6,4,-,2,-,-,146,36,12,52,24,19
"S00149617",118,17,11,38,33,22,2,-,-,2,2,-,115,17,11,37,31,22
"S00149618",95,9,6,24,22,30,2,-,1,-,-,-,89,9,5,24,22,29
"S00149619",91,19,12,31,18,13,7,2,1,2,2,-,84,17,8,29,17,13
"S00149620",84,8,8,27,28,17,1,-,-,-,1,-,83,8,8,27,23,17
"S00149621",100,18,13,23,26,17,4,-,-,1,2,-,98,18,13,24,25,17
"S00149622",82,14,9,25,12,22,3,-,2,-,4,-,79,14,8,25,7,22
"S00149623",111,10,16,35,34,16,1,-,-,-,1,-,110,10,16,35,33,16
"S00149624",80,11,11,29,20,11,8,2,-,5,-,-,72,7,11,26,20,11
"S00149625",71,5,2,17,35,10,-,-,-,-,-,-,71,5,2,17,35,10
"S00149626",113,6,6,17,50,35,6,1,-,2,-,3,110,5,6,15,49,32
"S00149627",63,3,6,14,17,23,4,-,1,-,-,1,61,3,3,10,17,22
"S00149628",188,12,14,47,58,53,4,-,-,-,4,-,181,12,14,47,56,51
"S00149629",81,4,6,17,24,27,1,-,-,-,-,1,77,4,6,17,24,26
"S00149630",161,27,15,45,31,43,4,2,-,-,1,1,157,25,15,45,30,42
"S00149631",93,4,7,31,32,21,2,-,-,1,1,-,91,4,7,30,31,17
"S00149632",101,17,12,23,20,29,4,-,-,2,2,-,97,17,12,21,18,29
"S00149633",106,13,8,27,29,29,2,-,-,1,-,-,104,13,8,26,28,29
"S00149634",159,20,9,38,41,47,5,-,1,-,-,6,151,20,8,38,41,43
"S00149635",244,19,12,59,38,114,4,-,1,4,1,-,239,18,11,53,39,114
"S00149636",106,17,9,28,24,28,3,1,-,-,1,-,104,16,9,28,25,28
"S00149637",187,40,22,49,40,35,10,3,2,2,3,1,176,37,20,47,40,34
"S00149638",156,30,16,45,44,21,2,-,1,1,-,-,154,30,15,44,44,21
"S00149639",87,17,4,23,18,20,1,-,-,-,-,1,86,17,4,23,18,21
"S00149640",102,18,14,25,17,26,3,-,-,1,-,2,99,18,14,20,17,24
"S00149641",111,17,11,32,35,18,3,1,-,1,1,-,108,16,11,31,34,18
"S00149642",78,12,12,25,13,19,2,-,-,2,-,-,77,12,12,28,13,19
"S00149643",132,24,19,37,26,22,5,1,-,-,-,2,127,23,19,37,28,20
"S00149644",62,7,2,11,23,19,-,-,-,-,-,-,62,7,2,11,23,19
"S00149645",83,19,6,25,16,21,-,-,-,-,-,-,83,19,6,25,16,21
"S00149646",115,11,8,28,39,33,3,-,2,-,1,-,112,11,6,28,34,33
"S00149647",118,11,8,31,30,39,2,-,-,-,-,1,116,11,8,31,29,42
"S00149648",143,16,7,40,34,44,3,-,-,3,-,-,138,16,7,37,34,44
"S00149649",93,8,9,31,26,19,4,1,-,1,1,-,90,7,9,32,25,19
"S00149650",91,12,10,19,29,24,1,-,-,-,1,-,90,12,10,19,28,24
"S00149651",155,7,12,23,28,90,2,-,-,1,-,1,156,7,12,22,28,89
"S00149652",174,15,18,38,45,58,-,-,-,-,-,-,174,15,18,38,45,58
"S00149653",94,10,7,27,26,24,3,1,-,2,-,-,91,9,7,25,26,24
"S00149654",109,7,10,24,36,26,3,1,-,1,1,-,106,6,10,23,39,26
"S00149655",166,24,18,37,51,41,2,-,-,1,4,-,162,23,18,36,47,41
"S00149656",134,18,17,50,31,18,3,-,3,-,-,-,131,18,14,50,31,18
"S00149657",98,17,13,35,25,11,-,-,-,-,-,-,98,17,13,35,25,11
"S00149658",129,15,9,39,31,34,2,-,-,2,-,-,128,15,9,37,31,34
"S00149659",79,23,13,25,11,9,1,-,-,1,-,-,78,23,13,24,11,9
"S00149660",127,21,21,34,29,20,4,-,1,-,1,-,123,20,16,36,30,20
"S00149661",147,24,24,44,43,10,4,1,-,4,-,-,143,23,24,41,43,10
"S00149662",75,14,8,22,18,16,-,-,-,-,-,-,75,14,8,22,18,16
"S00149663",111,15,6,27,32,26,1,-,-,1,-,-,107,15,6,26,32,26
"S00149664",180,45,25,54,43,16,3,1,-,-,-,-,179,41,24,53,43,16
"S00149665",89,18,10,30,20,7,2,-,-,-,-,2,88,18,10,30,20,6
"S00149666",75,12,6,35,14,8,1,-,-,-,1,-,74,12,6,35,13,8
"S00149667",105,9,15,23,30,28,-,-,-,-,-,-,105,9,15,23,30,28
"S00149668",180,25,26,41,56,32,3,1,-,1,1,-,176,24,26,40,55,32
"S00149669",115,17,10,29,34,26,4,-,-,1,2,-,112,17,10,28,32,25
"S00149670",183,12,20,50,44,57,2,-,-,-,1,-,181,12,20,49,43,57
"S00149671",183,22,18,45,50,48,4,1,-,-,2,1,178,21,18,45,48,47
"S00149672",126,7,16,22,43,38,4,-,1,-,2,-,123,7,15,22,41,38
"S00149673",153,21,13,35,51,29,2,-,-,1,-,-,150,21,19,34,50,29
"S00149674",200,56,11,91,28,14,6,2,-,3,3,-,194,55,11,87,25,14
"S00149675",95,9,5,25,32,24,3,-,-,-,-,-,96,9,5,25,30,24
"S00149676",289,35,13,57,47,138,3,1,-,-,4,-,286,31,13,57,45,138
"S00149677",104,11,8,23,36,28,1,-,-,-,1,-,103,11,8,23,33,28
"S00149678",133,14,18,31,33,40,2,-,2,-,-,2,134,14,17,31,33,36
"S00149679",103,15,10,23,34,21,3,-,-,1,2,-,100,15,10,22,32,21
"S00149680",97,16,10,37,15,21,-,-,-,-,-,-,97,16,10,37,15,21
"S00149681",83,10,13,31,16,13,-,-,-,-,-,-,83,10,13,31,16,13
"S00149682",65,2,4,14,16,27,-,-,-,-,-,-,65,2,4,14,16,27
"S00149683",155,18,25,40,57,19,1,-,-,-,1,-,150,18,25,40,56,19
"S00149684",93,14,13,29,25,6,-,-,-,-,-,-,93,14,13,29,25,6
"S00149685",153,28,15,49,42,18,2,1,-,1,-,-,151,30,15,48,42,18
"S00149686",91,15,8,27,26,14,1,1,-,-,-,-,90,14,8,27,26,14
"S00149687",122,20,13,41,30,19,3,-,-,-,-,-,120,20,13,41,29,17
"S00149688",145,36,16,54,27,12,4,-,-,2,2,-,141,36,16,56,25,12
"S00149689",136,31,13,48,24,20,3,2,-,1,-,-,133,29,13,47,24,20
"S00149690",133,20,18,34,41,20,2,-,-,-,2,-,132,20,18,34,40,20
"S00149691",89,19,7,27,18,17,1,-,-,-,1,-,89,19,7,27,17,17
"S00149692",144,8,14,31,38,54,3,-,-,-,3,-,141,8,14,31,35,54
"S00149693",161,31,19,54,26,32,6,1,-,2,2,-,155,29,19,52,26,32
"S00149694",140,20,18,52,31,16,-,-,-,2,-,-,136,20,17,52,31,16
"S00149695",66,4,7,8,15,22,-,-,-,-,-,-,66,4,7,8,15,22
"S00149696",144,9,8,45,46,37,3,-,-,1,2,2,141,9,8,44,42,36
"S00149697",76,6,-,8,13,43,1,-,-,1,-,-,75,6,-,7,13,43
"S00149698",178,30,22,51,28,45,5,-,1,1,1,-,169,30,21,47,25,45
"S00149699",140,24,7,43,31,35,1,-,-,-,1,-,139,24,7,43,30,35
"S00149700",110,10,11,39,35,15,1,-,-,-,1,-,109,10,11,39,34,15
"S00149701",96,10,1,25,19,34,1,-,-,1,1,-,94,10,1,24,18,34
"S00149702",117,13,15,31,37,21,-,-,-,-,-,-,117,13,15,31,37,21
"S00149703",130,8,8,33,38,43,7,-,-,2,4,1,123,8,8,31,34,42
"S00149704",171,27,22,35,55,34,4,-,-,1,3,-,169,27,22,34,52,34
"S00149705",88,16,8,24,19,22,-,-,-,-,-,-,88,16,8,24,19,22
"S00149706",71,6,8,27,19,13,5,-,1,2,3,-,66,6,7,26,16,13
"S00149707",91,8,8,23,28,24,3,-,-,1,1,-,88,8,8,21,27,24
"S00149708",89,9,8,27,20,19,3,-,-,2,1,-,86,9,8,25,25,19
"S00149709",141,22,13,41,34,31,-,-,-,-,-,-,141,22,13,41,34,31
"S00149710",147,20,16,43,29,43,4,-,-,-,1,2,145,20,16,43,28,42
"S00149711",104,15,11,37,35,6,1,-,-,-,-,1,103,15,11,37,35,4
"S00149712",83,20,7,26,13,14,2,-,-,2,-,-,81,20,7,24,13,14
"S00149713",130,29,13,33,27,29,-,-,-,1,-,1,128,29,13,31,27,24
"S00149714",113,12,8,60,23,10,4,4,-,4,1,-,108,10,8,54,22,10
"S00149715",85,6,7,24,27,21,4,-,1,1,4,-,81,6,6,23,25,21
"S00149716",97,6,7,37,26,20,4,-,2,2,-,3,93,6,6,36,26,18
"S00149717",128,23,14,64,19,11,3,-,-,-,-,1,125,23,14,62,19,10
"S00149718",113,4,19,18,43,26,3,-,-,1,-,1,110,4,19,17,42,25
"S00149719",107,6,9,21,36,33,3,-,-,2,-,-,104,6,9,19,36,34
"S00149720",73,5,10,12,29,17,-,-,-,-,-,-,73,5,10,12,29,17
"S00149721",143,23,18,42,36,23,4,-,-,2,-,1,138,23,18,40,36,21
"S00149722",141,19,10,37,29,50,2,-,-,-,-,1,139,19,10,37,28,46
"S00149723",96,16,7,22,12,35,-,-,-,-,-,-,96,16,7,22,12,35
"S00149724",116,24,5,46,25,20,5,2,-,2,3,-,110,23,5,40,22,20
"S00149725",123,14,9,28,26,49,3,-,1,2,1,-,119,14,8,26,25,49
"S00149726",111,5,4,23,31,45,4,-,-,1,1,-,105,5,4,22,30,44
"S00149727",92,8,6,24,26,28,-,-,-,-,-,-,92,8,6,24,26,28
"S00149728",90,14,4,29,24,19,1,-,-,1,-,-,89,14,4,28,24,19
"S00149729",97,6,5,12,23,51,-,-,-,1,-,-,95,6,5,12,22,51
"S00149730",94,16,5,20,14,43,-,-,-,-,-,-,94,16,5,20,14,43
"S00149731",130,14,12,30,28,50,1,-,-,-,1,-,129,14,12,30,27,50
"S00149732",90,8,4,19,23,38,2,1,-,-,-,1,88,7,4,19,23,37
"S00149733",62,3,2,10,10,38,1,-,-,-,-,1,61,3,2,10,10,37
"S00149734",72,12,4,23,14,17,-,-,-,-,-,-,72,12,4,23,14,17
"S00149735",126,25,6,39,20,36,-,-,-,-,-,-,126,25,6,39,20,36
"S00149736",151,15,11,33,44,45,2,-,-,1,-,-,149,15,11,32,44,44
"S00149737",101,13,9,24,35,23,-,-,-,-,-,-,101,13,9,24,35,23
"S00149738",183,28,17,48,50,42,7,2,2,2,4,-,176,26,16,46,46,42
"S00149739",81,16,13,20,18,18,2,-,-,2,-,-,80,16,13,19,18,18
"S00149740",163,19,9,51,45,36,2,-,-,-,-,-,158,19,9,50,46,36
"S00149741",240,24,16,56,29,115,7,2,-,1,3,-,233,23,16,53,26,115
"S00149742",147,19,12,42,41,33,3,-,-,-,2,1,144,19,12,41,40,32
"S00149743",88,14,6,39,14,16,5,1,2,1,1,-,83,13,4,37,13,16
"S00149744",129,24,8,20,35,42,2,-,-,-,1,2,127,24,8,20,34,41
"S00149745",153,27,13,29,44,36,1,-,-,-,-,1,152,27,13,29,44,35
"S00149746",80,10,13,33,11,11,6,-,-,2,-,-,74,11,11,31,10,11
"S00149747",139,23,10,63,24,17,5,-,1,4,-,-,134,23,9,61,24,17
"S00149748",140,23,20,75,17,5,4,-,2,1,-,-,137,23,14,74,17,5
"S00149749",120,29,8,30,30,23,4,2,-,-,-,2,117,27,8,30,30,22
"S00149750",121,31,8,33,16,33,4,-,-,3,1,-,117,31,8,28,15,33
"S00149751",117,23,9,32,19,34,2,2,-,-,-,-,115,21,9,32,19,34
"S00149752",119,21,5,34,33,33,4,-,-,-,-,3,115,21,5,33,33,30
"S00149753",98,17,6,24,29,22,-,2,-,-,-,2,96,16,6,24,29,21
"S00149754",129,18,9,24,26,51,2,-,-,2,-,-,127,18,9,22,26,51
"S00149755",119,17,9,21,39,32,2,2,-,-,-,-,117,16,9,21,39,32
"S00149756",148,22,10,34,34,43,4,-,-,1,1,1,145,22,10,33,32,40
"S00149757",138,22,5,27,25,59,5,-,-,2,1,1,134,22,5,26,24,57
"S00149758",248,33,26,50,87,52,1,-,-,-,1,-,243,33,26,50,89,52
"S00149759",112,34,8,39,23,8,2,-,-,-,1,-,110,34,8,38,22,8
"S00149760",159,33,9,49,25,49,2,-,-,2,-,-,157,32,9,45,25,49
"S00149761",65,9,2,11,9,29,-,-,-,-,-,-,65,9,2,11,9,29
"S00149762",69,6,4,15,19,25,2,1,-,-,-,-,67,5,4,14,19,25
"S00149763",131,21,12,34,31,32,-,-,-,-,-,-,131,21,12,34,31,32
"S00149764",75,12,4,22,17,16,2,-,-,1,1,-,76,12,4,21,16,16
"S00149765",175,25,18,42,63,26,-,-,-,-,-,-,175,25,18,42,63,26
"S00149766",206,27,16,35,35,89,1,-,-,2,1,-,204,27,16,36,38,89
"S00149767",109,15,12,45,25,12,7,-,2,2,3,-,102,15,10,43,22,12
"S00149768",60,7,5,8,14,25,-,-,-,-,-,-,60,7,5,8,14,25
"S00149769",116,35,12,30,18,19,-,-,-,-,-,-,116,35,12,30,18,19
"S00149770",145,27,12,32,35,39,1,-,-,-,1,-,144,27,12,32,34,39
"S00149771",85,15,11,21,18,20,1,1,-,-,-,-,83,14,11,21,18,20
"S00149772",171,33,16,53,35,30,2,2,-,-,-,-,169,34,16,52,35,30
"S00149773",97,7,4,29,20,37,1,-,-,1,-,-,100,7,4,28,20,37
"S00149774",79,1,6,13,25,32,3,1,-,1,-,-,76,3,6,11,25,32
"S00149775",64,8,8,19,19,13,1,-,1,-,-,-,61,8,7,19,19,13
"S00149776",68,9,6,17,15,20,-,-,-,-,-,-,68,9,6,17,15,20
"S00149777",96,11,8,16,34,27,-,-,-,-,-,-,96,11,8,16,34,27
"S00149778",129,33,16,42,21,17,6,-,2,4,2,-,123,33,10,40,19,17
"S00149779",117,22,14,37,16,27,4,1,-,4,-,1,113,21,14,37,16,26
"S00149780",82,6,4,20,23,29,-,-,-,-,-,-,82,6,4,20,23,29
"S00149781",126,27,6,35,24,34,-,-,-,-,-,-,126,27,6,35,24,34
"S00149782",103,10,17,34,20,22,-,-,-,-,-,-,103,10,17,34,20,22
"S00149783",102,10,18,29,30,18,1,-,-,-,1,-,101,10,18,29,29,18
"S00149784",119,25,11,36,22,23,2,-,-,1,1,-,115,25,11,35,24,23
"S00149785",120,32,13,46,23,9,2,2,-,-,-,-,118,30,13,46,23,9
"S00149786",95,17,10,29,25,16,-,-,-,-,-,-,95,17,10,29,25,16
"S00149787",106,24,8,37,25,15,2,-,-,1,2,-,103,24,8,36,23,15
"S00149788",161,30,8,44,36,40,2,-,-,-,2,-,160,30,8,44,31,40
"S00149789",146,13,10,26,43,53,1,-,-,1,1,-,144,13,10,26,42,53
"S00149790",161,31,13,34,53,30,-,-,-,-,-,-,161,31,13,34,53,30
"S00149791",125,27,15,34,32,17,3,-,1,1,1,-,122,27,14,33,31,17
"S00149792",89,9,5,27,17,31,-,-,-,-,-,-,89,9,5,27,17,31
"S00149793",112,14,14,34,30,20,2,1,1,1,-,-,111,13,13,33,30,20
"S00149794",101,8,15,24,32,22,1,-,-,-,1,-,100,8,15,24,31,22
"S00149795",103,12,13,21,27,35,-,-,-,-,-,-,103,12,13,21,27,35
"S00149796",141,27,16,42,26,25,6,2,-,-,3,-,132,25,16,41,25,25
"S00149797",116,26,7,43,25,15,1,-,-,-,1,-,115,26,7,43,24,15
"S00149798",163,27,18,45,38,32,1,-,2,-,-,-,159,27,19,45,37,32
"S00149799",104,14,7,36,19,26,3,4,-,-,-,1,101,14,7,36,19,25
"S00149800",132,26,16,54,13,22,1,1,-,-,-,-,131,25,16,54,13,22
"S00149801",61,8,1,17,19,16,2,-,-,-,1,1,59,8,1,17,17,19
"S00149802",94,8,4,21,16,43,-,-,-,-,-,-,94,8,4,21,16,43
"S00149803",67,1,5,18,18,29,1,1,-,-,-,-,66,3,5,18,18,29
"S00149804",195,38,21,44,57,32,1,-,-,1,-,-,190,37,21,43,57,32
"S00149805",83,7,5,15,23,31,4,-,1,1,1,1,79,7,4,14,18,32
"S00149806",108,2,3,22,11,74,3,-,-,-,-,3,108,2,3,22,11,70
"S00149807",60,5,5,15,15,17,4,-,-,-,1,2,57,5,5,15,14,13
"S00149808",101,19,15,21,22,27,1,-,1,-,-,-,99,19,10,21,22,27
"S00149809",147,23,16,31,51,26,-,-,-,-,-,-,145,23,16,29,51,26
"S00149810",152,25,24,41,41,21,2,-,-,-,2,-,150,25,24,41,39,21
"S00149811",108,24,10,39,24,11,1,-,-,1,-,-,107,24,10,42,24,11
"S00149812",122,29,11,39,34,8,2,1,-,-,2,-,120,29,11,39,33,8
"S00149813",141,20,10,38,32,41,-,-,-,-,-,-,141,20,10,38,32,41
"S00149814",159,31,6,56,34,32,1,-,-,-,-,1,155,31,6,56,34,31
"S00149815",72,9,8,15,16,20,1,-,-,-,1,-,67,9,8,15,15,20
"S00149816",111,17,13,21,42,19,-,-,-,-,-,-,111,17,13,21,42,19
"S00149817",97,10,14,25,27,18,1,-,-,1,-,-,96,10,14,24,27,18
"S00149818",91,8,3,26,28,26,1,-,-,-,-,1,90,8,3,26,28,25
"S00149819",69,14,8,12,17,22,-,-,-,-,-,-,69,14,8,12,17,22
"S00149820",147,11,12,27,48,46,4,2,-,2,1,-,143,13,12,25,47,46
"S00149821",121,13,4,27,32,41,-,-,-,-,-,-,120,13,4,27,31,41
"S00149822",99,8,7,34,32,21,3,-,-,1,1,-,96,8,7,29,31,21
"S00149823",118,6,10,31,35,28,3,-,-,3,1,-,115,6,10,29,38,28
"S00149824",119,12,15,35,29,28,1,-,-,-,1,-,118,12,15,35,28,28
"S00149825",66,9,5,22,11,19,-,-,-,-,-,-,66,9,5,22,11,19
"S00149826",93,7,5,28,21,30,1,-,-,1,-,-,87,7,5,27,21,30
"S00149827",109,11,16,22,23,35,-,-,-,-,-,-,109,11,16,22,23,35
"S00149828",145,23,14,40,33,39,4,-,2,1,-,-,139,23,13,35,31,39
"S00149829",128,15,18,39,33,27,1,-,-,1,-,-,132,15,18,42,33,27
"S00149830",137,30,13,47,33,14,1,-,-,1,-,-,134,30,13,44,33,14
"S00149831",101,12,1,55,5,28,4,-,-,1,1,1,96,10,1,54,4,27
"S00149832",119,28,8,42,19,14,3,-,-,1,-,-,113,27,8,41,19,14
"S00149833",90,11,9,28,20,20,4,-,-,-,2,-,84,10,9,28,19,19
"S00149834",113,16,17,34,23,30,2,-,-,2,2,-,111,16,17,33,26,30
"S00149835",160,24,6,34,27,69,3,-,-,-,3,-,157,24,6,34,24,69
"S00149836",90,13,8,26,27,16,-,-,-,-,-,-,90,13,8,26,27,16
"S00149837",88,21,11,30,10,13,-,-,-,-,-,-,88,21,11,30,10,13
"S00149838",95,13,6,26,24,26,3,-,1,-,1,-,93,13,7,26,23,26
"S00149839",107,6,14,31,26,33,4,-,-,2,1,1,103,6,14,29,25,32
"S00149840",86,11,7,18,25,25,-,-,-,-,-,-,85,11,7,17,25,25
"S00149841",108,18,15,26,27,25,-,-,-,-,-,-,108,18,15,26,27,25
"S00149842",201,35,30,55,64,21,2,-,-,2,2,-,199,35,30,54,58,21
"S00149843",142,28,18,45,24,24,4,2,-,3,-,1,139,27,18,40,24,23
"S00149844",85,12,3,26,24,20,1,2,-,1,-,-,83,11,3,25,24,20
"S00149845",85,8,12,28,19,15,2,-,-,1,1,-,83,8,12,31,18,15
"S00149846",61,8,8,12,19,14,-,-,-,-,-,-,61,8,8,12,19,14
"S00149847",119,25,4,36,18,40,4,4,-,-,-,-,117,23,4,36,18,40
"S00149848",70,12,7,11,20,24,2,-,-,-,-,2,73,12,7,11,20,23
"S00149849",61,1,2,4,10,44,-,-,-,-,-,-,60,1,2,3,10,44
"S00149850",97,15,12,33,16,25,-,-,-,-,-,-,97,15,12,33,16,25
"S00149851",201,43,17,65,46,34,3,-,-,3,-,-,198,43,17,62,46,34
"S00149852",93,13,4,29,28,19,3,-,-,1,2,-,90,13,4,28,26,19
"S00149853",134,22,15,42,27,37,1,-,-,-,-,1,132,22,15,42,27,32
"S00149854",78,12,7,18,19,22,2,2,-,-,1,-,76,11,7,18,18,22
"S00149855",85,10,10,24,28,13,1,-,-,1,-,-,84,10,10,23,28,13
"S00149856",130,17,13,46,25,37,3,-,-,-,-,-,124,17,13,43,25,36
"S00149857",118,19,6,28,23,42,1,-,-,-,-,1,117,19,6,28,23,41
"S00149858",140,16,15,29,26,54,2,-,-,-,-,2,139,16,15,29,26,53
"S00149859",76,5,9,21,30,10,1,-,1,-,-,-,75,5,8,21,30,10
