Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00135375",94,16,8,59,11,2,1,-,-,1,-,-,93,16,8,62,11,2
"S00135376",71,15,12,17,8,19,-,-,-,-,-,-,71,15,12,17,8,19
"S00135377",114,11,12,42,32,17,4,2,2,1,-,-,110,9,11,38,32,17
"S00135378",122,30,16,49,18,9,1,-,-,-,1,-,121,30,16,49,19,9
"S00135379",60,6,4,16,23,10,-,-,-,-,-,-,60,6,4,16,23,10
"S00135380",129,13,13,40,44,23,2,-,-,2,-,-,126,13,13,34,44,23
"S00135381",131,24,17,57,26,7,6,2,-,6,-,-,123,22,17,51,26,7
"S00135382",99,15,13,42,15,13,1,-,-,1,-,-,98,15,13,41,15,13
"S00135383",143,33,13,73,19,2,13,7,1,5,-,-,131,26,12,64,19,2
"S00135384",59,8,11,29,16,-,-,-,-,-,-,-,59,8,11,29,16,-
"S00135385",83,22,8,42,11,-,2,2,-,-,-,-,81,21,8,41,11,-
"S00135386",113,8,3,24,26,59,2,-,-,-,2,-,111,8,3,24,18,59
"S00135387",166,15,13,32,60,46,4,-,-,3,1,-,162,15,13,29,59,46
"S00135388",195,48,17,67,37,25,10,8,2,1,-,-,185,41,16,66,37,25
"S00135389",134,15,10,26,28,52,4,-,1,2,-,-,127,15,9,24,31,52
"S00135390",84,12,12,39,14,7,5,-,-,2,1,-,81,12,12,41,12,7
"S00135391",198,42,17,81,48,10,3,-,-,2,1,-,193,42,17,79,47,10
"S00135392",68,7,12,31,17,5,4,-,-,-,-,1,66,7,12,30,17,4
"S00135393",194,35,50,85,23,8,7,-,2,4,2,-,187,35,49,80,21,8
"S00135394",150,15,12,46,39,31,1,1,-,-,-,-,145,14,12,46,39,31
"S00135395",73,12,5,22,22,12,1,1,-,-,-,-,75,11,5,22,22,12
"S00135396",130,23,6,44,31,29,-,-,-,-,-,-,130,23,6,44,31,29
"S00135397",111,25,6,62,15,3,4,1,-,2,1,-,107,24,6,60,14,3
"S00135398",122,15,15,54,19,17,-,-,-,-,-,-,122,15,15,54,19,17
"S00135399",241,28,7,65,8,133,-,-,-,-,-,-,241,28,7,65,8,133
"S00135400",159,18,16,50,46,27,3,-,4,-,1,-,156,18,12,50,49,27
"S00135401",94,8,10,28,33,13,3,1,-,2,2,-,87,6,10,27,32,13
"S00135402",78,10,4,34,22,9,3,-,-,-,3,-,75,10,4,34,19,9
"S00135403",129,22,9,43,31,20,5,1,-,3,1,-,124,21,9,36,30,20
"S00135404",81,10,10,37,15,11,3,-,-,-,-,1,78,10,10,37,15,9
"S00135405",181,36,11,58,37,39,5,-,-,2,1,-,178,36,11,60,36,39
"S00135406",172,19,15,41,58,41,6,1,1,4,1,-,166,14,14,38,54,42
"S00135407",151,31,9,49,31,31,2,-,2,-,-,-,152,31,8,49,31,31
"S00135408",149,18,11,44,28,53,5,1,-,5,1,-,144,17,11,40,27,53
"S00135409",69,7,2,18,20,25,-,-,-,-,-,-,69,7,2,18,20,25
"S00135410",110,11,10,47,25,17,2,-,1,1,-,-,108,11,9,45,25,17
"S00135411",181,20,20,82,41,18,3,-,-,3,-,-,181,20,20,81,41,18
"S00135412",111,14,9,27,15,46,4,2,-,1,-,1,107,12,9,26,15,45
"S00135413",134,10,15,29,27,49,2,-,-,-,2,-,132,10,15,25,30,49
"S00135414",89,5,10,19,23,32,2,-,-,-,1,2,87,5,10,19,22,34
"S00135415",102,15,11,28,30,18,4,-,-,1,-,-,100,15,11,26,29,18
"S00135416",197,35,14,63,42,43,2,-,2,-,1,-,195,35,13,63,41,43
"S00135417",107,10,8,42,39,7,5,-,-,4,1,-,100,10,8,38,37,7
