Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00145038",141,29,34,2,2,1,4,71
"S00145039",98,25,16,1,3,-,-,49
"S00145040",83,4,5,1,6,18,-,51
"S00145041",108,11,26,2,5,1,2,62
"S00145042",183,17,51,7,1,4,1,99
"S00145043",106,16,19,2,-,3,-,66
"S00145044",82,16,16,4,-,-,1,41
"S00145045",120,12,33,1,-,-,1,68
"S00145046",149,22,34,-,2,1,-,93
"S00145047",137,19,17,6,5,6,-,84
"S00145048",182,14,12,6,4,10,-,135
"S00145049",111,9,6,4,7,15,-,71
"S00145050",156,22,31,1,3,14,-,85
"S00145051",120,13,10,3,3,13,-,81
"S00145052",119,7,23,4,1,3,-,78
"S00145053",88,10,30,8,6,-,-,33
"S00145054",101,20,9,1,1,8,1,61
"S00145055",80,8,10,3,3,4,-,56
"S00145056",116,13,9,2,3,6,-,79
"S00145057",127,19,9,5,7,5,-,85
"S00145058",119,22,25,6,-,2,-,65
"S00145059",137,12,4,1,9,4,2,99
"S00145060",123,8,25,-,3,4,-,80
"S00145061",129,8,19,3,3,8,-,88
"S00145062",167,24,13,5,3,5,-,117
"S00145063",95,10,25,3,2,8,-,50
"S00145064",94,4,32,1,2,-,1,54
"S00145065",94,14,17,4,4,1,-,54
"S00145066",114,29,22,1,1,1,2,62
"S00145067",81,13,17,2,5,3,-,43
"S00145068",129,13,6,-,-,1,2,105
"S00145069",71,8,2,-,2,8,3,45
"S00145070",127,22,26,2,5,2,-,71
"S00145071",71,10,28,2,4,1,1,25
"S00145072",105,17,11,5,1,2,-,66
"S00145073",81,11,19,1,1,2,-,47
"S00145074",146,19,19,9,1,1,-,99
"S00145075",97,7,7,-,-,10,-,71
"S00145076",102,7,10,6,-,2,2,75
"S00145077",171,32,35,10,7,2,-,84
"S00145078",200,34,33,11,-,2,3,117
"S00145079",77,17,21,2,2,-,-,36
"S00145080",168,26,17,4,7,19,-,98
"S00145081",96,11,17,-,2,5,1,60
"S00145082",106,16,16,2,4,8,-,60
"S00145083",174,21,31,7,4,5,-,108
"S00145084",106,12,15,2,-,3,-,71
"S00145085",102,13,37,-,3,2,-,44
"S00145086",128,21,14,-,5,8,-,81
"S00145087",61,11,6,-,4,3,-,39
"S00145088",105,15,12,5,1,3,-,66
"S00145089",116,15,13,-,2,8,-,79
"S00145090",109,12,24,6,3,5,1,58
"S00145091",101,21,12,2,3,-,-,69
"S00145092",117,19,18,5,2,7,-,70
"S00145093",148,32,38,17,3,9,1,48
"S00145094",116,21,20,4,4,6,1,70
"S00145095",112,23,10,6,1,8,-,66
"S00145096",163,23,23,3,4,10,2,98
"S00145097",103,16,16,3,1,8,-,62
"S00145098",97,17,18,1,4,5,-,54
"S00145099",83,12,13,-,5,4,1,48
"S00145100",106,15,10,-,5,11,2,63
"S00145101",97,10,14,1,4,7,-,65
"S00145102",66,8,9,2,3,3,-,40
"S00145103",101,16,8,-,9,7,2,59
"S00145104",96,17,17,2,2,3,-,55
"S00145105",134,9,11,4,3,7,-,100
"S00145106",58,9,14,4,-,4,-,29
"S00145107",218,24,35,2,5,4,1,146
"S00145108",77,9,22,3,3,5,-,35
"S00145109",86,16,10,6,1,2,-,52
"S00145110",154,22,31,1,2,4,-,93
"S00145111",87,12,25,4,-,-,-,40
"S00145112",122,14,23,5,-,8,-,64
"S00145113",174,18,16,5,1,20,-,113
"S00145114",142,16,31,1,5,3,3,84
"S00145115",124,7,15,2,7,11,-,86
"S00145116",123,5,14,10,2,8,-,81
"S00145117",129,16,21,2,5,8,-,76
"S00145118",121,13,29,2,1,5,-,69
"S00145119",120,10,22,2,5,5,-,76
"S00145120",99,19,13,3,1,2,-,56
"S00145121",97,12,11,-,3,8,-,61
"S00145122",58,11,5,5,-,4,-,31
"S00145123",122,21,11,4,8,7,-,71
"S00145124",94,12,17,3,4,2,-,57
"S00145125",123,17,27,2,3,4,-,70
"S00145126",68,11,19,1,3,2,-,32
"S00145127",66,6,11,6,-,3,-,39
"S00145128",91,20,21,3,-,5,-,42
"S00145129",132,31,14,-,4,7,-,76
"S00145130",137,23,37,7,1,4,-,67
"S00145131",75,13,7,9,4,5,-,37
"S00145132",147,30,37,6,2,1,-,70
"S00145133",97,12,22,-,2,-,4,59
"S00145134",168,25,30,-,5,8,-,108
"S00145135",81,14,20,2,1,5,1,38
"S00145136",177,27,20,2,5,15,1,102
"S00145137",63,17,13,-,1,-,2,26
"S00145138",114,18,31,1,-,2,-,61
"S00145139",183,28,40,1,2,7,1,104
"S00145140",169,23,20,3,7,4,-,116
"S00145141",137,14,13,-,-,6,2,103
"S00145142",96,18,11,-,1,6,-,58
"S00145143",95,9,14,-,2,2,-,65
"S00145144",118,26,23,5,3,7,-,54
"S00145145",98,8,7,1,4,7,-,69
"S00145146",81,11,9,1,8,5,-,52
"S00145147",179,24,16,-,4,7,1,126
"S00145148",76,14,8,6,6,6,2,33
"S00145149",116,17,31,5,3,2,-,56
"S00145150",177,27,37,7,2,3,1,100
"S00145151",174,22,37,4,1,3,2,105
"S00145152",153,25,43,2,1,1,-,79
"S00145153",159,21,15,3,2,7,-,111
"S00145154",117,12,24,1,3,4,-,71
"S00145155",113,17,9,2,-,9,1,73
"S00145156",92,14,5,1,3,12,-,56
"S00145157",122,19,9,3,2,4,-,88
"S00145158",120,21,15,1,6,15,-,63
"S00145159",130,16,17,1,4,7,2,83
"S00145160",112,10,12,2,4,6,-,79
"S00145161",87,16,22,7,-,-,-,41
"S00145162",79,7,13,5,2,4,-,49
"S00145163",91,16,15,3,4,1,-,53
"S00145164",96,10,25,1,1,2,2,52
"S00145165",94,14,24,2,-,3,1,49
"S00145166",141,24,23,2,9,7,-,82
"S00145167",153,16,24,-,3,9,-,98
"S00145168",86,6,18,-,-,4,1,50
"S00145169",145,15,10,1,2,9,4,104
"S00145170",60,13,2,1,2,8,-,35
"S00145171",135,12,20,4,5,7,2,87
"S00145172",170,30,8,8,-,5,-,116
"S00145173",121,26,8,4,9,6,-,69
"S00145174",115,11,14,-,8,7,2,72
"S00145175",107,15,9,-,-,13,-,71
"S00145176",111,17,25,2,1,3,-,57
"S00145177",79,12,12,-,-,2,-,53
"S00145178",131,3,8,-,5,10,-,110
"S00145179",73,4,7,2,-,6,-,57
"S00145180",65,11,10,2,-,4,1,34
"S00145181",62,8,5,-,6,4,-,38
"S00145182",64,9,19,1,-,2,-,34
"S00145183",84,10,7,2,1,7,-,57
"S00145184",111,24,6,4,4,2,-,70
"S00145185",160,15,10,-,13,13,-,112
"S00145186",115,3,22,1,1,1,3,86
"S00145187",117,16,31,2,2,2,-,64
"S00145188",124,18,12,3,-,14,-,80
"S00145189",84,11,5,-,2,13,-,53
"S00145190",113,16,29,-,5,2,-,61
"S00145191",86,20,4,4,2,4,-,56
"S00145192",93,15,9,-,5,5,-,62
"S00145193",146,16,44,9,8,3,-,65
"S00145194",73,13,6,-,4,5,-,44
"S00145195",142,29,12,2,2,3,-,97
"S00145196",123,16,12,-,2,11,1,75
"S00145197",124,14,14,1,4,18,-,76
"S00145198",132,19,10,1,4,11,-,90
"S00145199",120,15,41,5,2,1,-,54
"S00145200",89,14,29,3,-,2,-,42
"S00145201",80,21,14,2,2,4,-,38
"S00145202",101,17,13,5,3,5,-,56
"S00145203",123,18,15,7,9,7,-,67
"S00145204",107,12,23,1,1,3,-,68
"S00145205",119,20,16,-,3,3,-,79
"S00145206",138,12,30,3,8,6,-,80
"S00145207",95,21,23,3,-,3,-,43
"S00145208",168,17,20,7,2,4,-,118
"S00145209",106,16,9,1,1,7,1,73
"S00145210",122,13,11,-,3,10,1,80
"S00145211",69,6,12,2,2,5,-,43
"S00145212",121,22,8,2,1,7,-,77
"S00145213",141,7,43,1,2,4,-,86
"S00145214",134,25,13,6,2,5,-,83
"S00145215",104,14,11,5,3,6,1,64
"S00145216",68,8,19,4,2,2,-,34
"S00145217",102,19,21,5,2,4,-,52
"S00145218",124,19,16,-,2,4,-,81
"S00145219",104,17,10,2,2,10,-,61
"S00145220",143,18,23,-,9,17,1,79
"S00145221",141,26,37,4,4,-,-,70
"S00145222",67,9,6,-,-,3,1,49
"S00145223",96,17,29,4,4,2,-,42
"S00145224",114,19,15,-,2,14,-,61
"S00145225",79,11,11,-,3,9,-,45
"S00145226",154,13,10,1,2,14,-,114
"S00145227",148,20,24,6,6,5,-,86
"S00145228",124,9,9,4,10,11,-,83
"S00145229",103,9,26,2,2,3,-,63
"S00145230",108,16,5,1,1,6,-,79
"S00145231",117,8,22,3,2,7,2,75
"S00145232",185,22,18,6,4,16,-,123
"S00145233",118,16,7,2,2,5,-,86
"S00145234",65,9,11,5,-,2,-,38
"S00145235",128,23,7,-,3,6,-,88
"S00145236",122,20,24,6,3,5,1,63
"S00145237",136,22,30,6,3,6,1,65
"S00145238",136,21,17,2,4,14,-,80
"S00145239",125,16,29,4,6,7,1,59
"S00145240",145,20,11,1,2,-,-,111
"S00145241",119,17,12,1,2,11,-,78
"S00145242",137,13,19,-,3,4,-,102
"S00145243",114,18,22,5,-,-,-,65
"S00145244",175,17,22,5,3,16,-,119
"S00145245",61,6,6,3,2,-,-,43
"S00145246",63,6,5,-,-,5,-,47
"S00145247",156,16,30,4,4,8,-,91
"S00145248",73,9,7,1,2,3,-,53
"S00145249",100,9,22,1,-,-,4,65
"S00145250",103,12,18,2,2,6,-,63
"S00145251",95,25,23,3,2,4,1,37
"S00145252",185,25,19,1,5,5,2,128
"S00145253",173,29,42,6,3,13,-,81
"S00145254",97,21,18,-,1,-,-,57
"S00145255",91,10,18,6,2,2,1,53
"S00145256",172,25,15,4,9,7,-,112
"S00145257",188,11,19,-,1,3,1,151
"S00145258",104,6,9,1,-,11,1,77
"S00145259",256,31,30,3,9,11,3,169
"S00145260",80,9,21,-,2,2,2,43
"S00145261",147,9,12,2,2,9,-,112
"S00145262",149,33,37,7,5,2,-,65
"S00145263",150,16,12,1,2,7,2,110
"S00145264",116,14,30,5,4,3,-,63
"S00145265",147,28,14,2,2,14,-,85
"S00145266",114,16,14,2,6,5,-,72
"S00145267",72,10,20,1,-,-,-,41
"S00145268",116,13,9,-,5,12,-,76
"S00145269",123,14,26,5,-,2,-,70
"S00145270",115,21,30,11,1,-,-,48
"S00145271",123,7,11,1,2,12,1,81
"S00145272",139,4,15,8,-,1,1,107
"S00145273",100,8,9,-,-,9,-,73
"S00145274",160,29,18,-,3,10,1,102
"S00145275",86,10,24,3,4,1,-,44
"S00145276",77,16,9,2,1,2,-,48
"S00145277",111,23,17,1,5,9,-,62
"S00145278",146,31,38,4,2,6,-,67
"S00145279",199,41,38,4,2,-,1,114
"S00145280",113,21,29,6,-,8,1,47
"S00145281",143,21,26,5,4,2,-,85
"S00145282",90,12,21,2,4,2,-,48
"S00145283",487,68,38,8,17,56,1,307
"S00145284",129,21,21,4,6,5,-,72
"S00145285",101,8,3,1,4,23,-,63
"S00145286",131,9,13,-,1,14,-,94
"S00145287",114,12,22,4,2,5,-,66
"S00145288",123,11,11,-,2,10,1,87
"S00145289",134,9,30,8,7,11,-,65
"S00145290",135,7,6,3,1,3,-,118
"S00145291",190,16,9,1,6,7,-,145
"S00145292",93,16,24,4,3,4,-,41
"S00145293",71,11,1,3,-,7,-,48
"S00145294",110,2,21,8,2,3,-,76
"S00145295",110,13,22,7,2,1,-,67
"S00145296",72,17,11,1,-,6,-,35
"S00145297",133,16,33,11,4,7,-,68
"S00145298",118,15,14,2,1,3,-,81
"S00145299",112,19,10,1,2,9,1,72
"S00145300",143,10,24,4,5,9,1,93
"S00145301",80,5,-,-,6,3,1,63
"S00145302",135,19,15,6,3,10,-,80
"S00145303",63,6,14,2,-,5,-,37
"S00145304",78,9,8,-,3,8,1,49
"S00145305",165,20,16,2,6,16,-,105
"S00145306",93,15,15,1,5,7,1,51
"S00145307",143,17,39,9,3,2,1,69
"S00145308",131,7,32,2,4,3,1,83
"S00145309",75,12,1,-,4,5,-,54
"S00145310",125,8,18,-,2,8,-,89
"S00145311",85,23,8,4,-,6,1,41
"S00145312",119,16,20,6,6,7,1,64
"S00145313",106,17,9,2,7,4,-,65
"S00145314",167,29,36,8,-,5,-,88
"S00145315",85,27,16,3,2,-,-,35
"S00145316",77,10,17,1,-,3,-,44
"S00145317",67,6,15,4,2,1,1,37
"S00145318",77,10,8,2,2,7,-,48
"S00145319",158,37,13,10,9,7,-,82
"S00145320",122,33,19,5,1,1,-,58
"S00145321",103,9,17,1,3,-,-,77
"S00145322",95,9,12,2,2,2,-,69
"S00145323",72,8,7,-,-,6,-,48
"S00145324",90,13,8,4,-,2,1,61
"S00145325",75,12,14,-,3,6,-,42
"S00145326",62,10,3,2,1,2,-,44
"S00145327",102,20,28,2,5,2,-,46
"S00145328",117,8,17,-,4,12,-,76
"S00145329",116,17,14,4,6,8,-,69
"S00145330",94,9,7,-,1,8,-,70
"S00145331",115,9,13,2,1,5,1,81
"S00145332",155,21,18,1,4,17,1,93
"S00145333",155,24,14,1,7,10,-,92
"S00145334",194,14,21,3,4,11,-,142
"S00145335",115,14,10,1,4,4,1,83
"S00145336",111,12,12,6,4,2,4,74
"S00145337",87,14,8,4,4,-,-,59
"S00145338",93,17,8,-,1,9,-,59
"S00145339",162,14,7,1,6,10,-,124
"S00145340",91,11,2,1,6,11,1,58
"S00145341",102,10,22,4,2,1,-,64
"S00145342",141,24,39,-,2,5,2,68
"S00145343",123,22,34,3,4,7,-,51
"S00145344",124,14,15,1,3,7,-,81
"S00145345",78,7,8,2,1,5,-,55
"S00145346",88,8,32,4,2,1,2,39
"S00145347",61,11,12,2,2,2,-,33
"S00145348",85,10,17,-,3,8,-,50
"S00145349",64,7,20,1,-,1,-,33
"S00145350",146,21,27,6,2,2,-,87
"S00145351",118,14,8,-,6,8,-,79
"S00145352",115,14,9,-,4,10,-,78
"S00145353",67,11,20,-,3,1,1,24
"S00145354",65,9,7,-,3,3,-,40
"S00145355",60,14,16,2,2,1,-,22
"S00145356",128,11,31,5,-,1,-,83
"S00145357",88,16,17,2,1,3,-,49
"S00145358",124,14,6,3,-,11,-,93
"S00145359",179,11,31,2,4,6,1,122
"S00145360",96,10,11,4,4,7,2,59
"S00145361",103,13,6,3,5,2,-,75
"S00145362",109,10,4,-,7,3,-,84
"S00145363",74,14,17,6,-,-,-,38
"S00145364",136,6,19,-,4,5,-,101
"S00145365",101,16,4,-,1,13,-,67
"S00145366",103,17,23,4,-,8,-,54
"S00145367",146,11,33,5,2,5,-,89
"S00145368",110,12,13,1,4,7,-,72
"S00145369",133,22,40,5,2,2,-,62
"S00145370",102,14,11,-,4,8,-,68
"S00145371",141,14,14,4,3,4,1,99
"S00145372",154,13,7,-,6,15,1,105
"S00145373",60,11,10,5,1,-,-,33
"S00145374",141,29,44,1,5,-,-,65
"S00145375",143,26,6,2,1,6,1,102
"S00145376",136,17,30,3,6,3,3,75
"S00145377",160,15,10,5,3,9,-,121
"S00145378",138,24,9,4,7,4,-,86
"S00145379",83,18,16,3,-,2,-,44
"S00145380",122,23,6,-,4,16,1,76
"S00145381",152,13,23,2,4,10,-,102
"S00145382",174,21,30,2,4,6,1,112
"S00145383",106,17,10,4,4,6,-,62
"S00145384",96,8,14,3,3,8,2,58
"S00145385",133,3,18,2,-,5,-,107
"S00145386",133,19,15,3,3,7,-,81
"S00145387",190,29,17,4,3,15,-,121
"S00145388",151,26,18,3,1,8,-,91
"S00145389",73,11,10,-,1,5,-,42
"S00145390",85,26,23,1,1,1,-,35
"S00145391",157,11,10,1,-,16,-,118
"S00145392",130,29,18,1,9,2,2,71
"S00145393",117,16,17,2,2,2,-,79
"S00145394",91,19,9,2,3,5,-,48
"S00145395",107,13,22,3,7,5,-,60
"S00145396",117,12,7,1,2,6,-,87
"S00145397",68,5,19,3,-,2,-,39
"S00145398",114,13,38,1,3,1,-,57
"S00145399",95,17,8,6,2,7,-,63
"S00145400",107,11,17,1,4,5,-,68
"S00145401",127,16,20,5,7,8,-,69
"S00145402",93,17,15,4,3,3,-,49
"S00145403",111,14,13,4,3,3,-,71
"S00145404",99,16,17,2,2,7,-,55
"S00145405",107,14,13,3,3,2,-,72
"S00145406",106,16,15,1,1,7,-,67
"S00145407",149,30,25,7,3,8,1,76
"S00145408",111,18,47,1,5,1,-,36
"S00145409",134,17,22,4,3,14,-,74
"S00145410",205,22,12,2,2,13,-,155
"S00145411",91,17,6,3,5,8,-,49
"S00145412",82,11,11,2,-,10,-,49
"S00145413",101,11,11,3,6,2,-,67
"S00145414",115,17,4,2,1,8,-,80
"S00145415",123,25,33,2,-,1,-,61
"S00145416",145,33,26,3,3,7,3,68
"S00145417",78,12,18,1,3,2,-,43
"S00145418",87,6,5,1,2,8,-,62
"S00145419",154,24,23,3,4,5,-,95
"S00145420",246,25,25,5,3,16,1,171
"S00145421",118,12,26,1,3,10,-,67
"S00145422",170,19,17,4,1,15,1,111
"S00145423",73,8,18,5,8,1,1,30
"S00145424",83,12,21,-,-,-,-,51
"S00145425",123,19,33,4,1,6,2,62
"S00145426",87,13,23,3,4,4,1,43
"S00145427",118,20,16,4,7,1,2,74
"S00145428",88,15,20,2,7,3,-,44
"S00145429",86,21,10,4,1,7,1,38
"S00145430",123,16,19,3,6,3,1,77
"S00145431",98,12,10,1,4,11,-,60
"S00145432",110,8,22,-,5,3,-,74
"S00145433",135,21,39,7,2,5,-,63
"S00145434",132,13,18,5,3,4,-,91
"S00145435",145,19,20,4,3,6,2,84
"S00145436",77,12,9,-,6,1,1,51
"S00145437",107,17,12,2,8,7,-,63
"S00145438",106,13,6,4,4,2,-,79
"S00145439",126,20,35,3,1,3,-,63
"S00145440",139,27,14,13,4,3,-,78
"S00145441",151,15,18,1,2,7,1,108
"S00145442",122,17,19,4,-,4,-,77
"S00145443",63,12,12,-,2,4,-,39
"S00145444",166,13,41,8,3,6,1,90
"S00145445",154,15,21,1,6,12,-,102
"S00145446",97,17,11,1,3,2,-,60
"S00145447",84,10,6,4,5,4,-,52
"S00145448",104,7,11,1,3,6,-,76
"S00145449",118,13,13,1,-,3,-,85
"S00145450",91,9,12,4,4,5,-,55
"S00145451",132,25,15,7,2,5,2,76
"S00145452",96,12,18,5,1,3,-,61
"S00145453",99,14,15,-,2,11,-,53
"S00145454",135,18,30,2,1,4,1,78
"S00145455",105,18,3,-,3,10,-,73
"S00145456",130,15,15,-,4,10,-,91
"S00145457",121,11,12,1,2,2,-,91
"S00145458",143,13,16,2,2,7,-,104
"S00145459",108,12,4,3,4,9,-,72
"S00145460",105,13,25,2,-,2,-,61
"S00145461",101,12,7,-,4,5,-,70
"S00145462",114,9,35,-,6,6,-,59
"S00145463",92,7,23,8,-,2,-,52
"S00145464",121,16,20,-,3,5,-,77
"S00145465",106,13,12,-,2,10,-,69
"S00145466",96,15,11,1,5,6,3,57
"S00145467",68,18,13,5,1,2,1,29
"S00145468",153,17,28,4,4,11,-,85
"S00145469",92,12,16,4,-,3,-,58
"S00145470",128,20,34,9,4,3,-,62
"S00145471",140,21,13,-,6,8,1,91
"S00145472",151,28,23,5,1,-,-,94
"S00145473",94,20,24,2,2,4,-,45
"S00145474",66,5,8,-,-,11,1,41
"S00145475",124,16,9,-,7,6,-,88
"S00145476",184,25,18,-,5,8,-,126
"S00145477",107,21,15,-,5,7,-,60
"S00145478",131,17,21,5,3,7,-,78
"S00145479",104,14,10,7,3,5,3,62
"S00145480",137,19,24,2,8,8,-,80
"S00145481",139,18,14,1,4,3,-,99
"S00145482",158,27,25,11,2,-,-,93
"S00145483",122,18,24,3,4,4,1,68
"S00145484",131,24,17,3,3,1,-,77
"S00145485",95,17,13,-,-,4,-,56
"S00145486",118,13,12,1,1,12,3,75
"S00145487",101,7,7,4,3,7,-,72
"S00145488",140,22,20,6,2,3,-,89
"S00145489",198,38,49,2,2,-,-,107
"S00145490",117,17,24,4,5,6,-,63
"S00145491",94,7,8,1,3,5,1,67
"S00145492",166,14,23,5,4,9,2,109
"S00145493",171,24,42,10,4,5,1,87
"S00145494",93,13,8,-,-,9,-,63
"S00145495",81,6,11,1,3,4,-,56
"S00145496",139,19,27,10,2,4,-,76
"S00145497",73,9,7,-,2,5,-,49
"S00145498",145,19,16,4,-,9,-,101
"S00145499",75,6,6,4,1,5,1,47
"S00145500",201,11,13,3,4,4,-,165
"S00145501",140,13,16,4,1,3,-,104
"S00145502",79,11,16,-,-,9,-,42
"S00145503",152,24,24,2,-,10,-,92
"S00145504",188,19,18,6,7,8,-,133
"S00145505",99,9,17,5,5,-,-,61
"S00145506",92,10,21,4,2,-,-,57
"S00145507",117,5,19,-,1,8,-,86
"S00145508",122,19,16,-,3,3,-,81
"S00145509",197,41,55,3,2,3,1,95
"S00145510",128,11,21,-,5,5,1,84
"S00145511",137,13,27,3,4,9,4,81
"S00145512",140,16,33,3,5,3,-,78
"S00145513",97,12,18,6,7,4,2,47
"S00145514",97,10,21,5,2,1,-,57
"S00145515",109,16,14,2,1,3,-,74
"S00145516",111,23,7,3,2,6,-,70
"S00145517",73,5,6,1,-,5,1,56
"S00145518",205,22,46,12,-,4,1,119
"S00145519",121,21,20,2,1,3,2,69
"S00145520",127,27,10,3,5,10,1,72
"S00145521",90,24,9,-,-,3,2,47
"S00145522",90,4,6,-,2,3,-,72
"S00145523",120,8,11,2,2,14,-,82
"S00145524",111,21,14,3,1,-,-,72
"S00145525",73,2,7,3,1,4,-,51
"S00145526",132,19,29,-,8,3,-,73
"S00145527",130,20,15,-,7,7,-,90
"S00145528",101,18,25,2,5,2,1,43
"S00145529",112,18,9,1,5,7,1,71
"S00145530",118,12,27,6,2,3,1,63
"S00145531",188,20,13,1,5,7,-,144
"S00145532",136,18,17,4,6,4,1,85
"S00145533",85,5,7,3,1,8,-,63
"S00145534",175,21,17,3,4,9,1,119
"S00145535",116,14,6,3,3,7,-,86
"S00145536",131,19,17,2,4,6,-,81
"S00145537",124,23,18,-,5,6,-,70
"S00145538",125,19,27,2,2,5,-,66
"S00145539",67,6,7,4,3,3,-,47
"S00145540",106,11,10,-,-,10,-,76
"S00145541",140,22,10,3,1,4,2,98
"S00145542",144,13,19,-,4,16,-,88
"S00145543",144,8,20,5,4,6,2,104
"S00145544",212,34,21,7,7,11,1,131
"S00145545",95,12,9,2,1,2,-,68
"S00145546",121,29,17,6,3,-,2,63
"S00145547",223,16,9,-,6,13,1,184
"S00145548",176,20,20,1,4,5,-,132
"S00145549",164,21,9,6,4,11,2,109
"S00145550",148,13,22,2,8,4,2,95
"S00145551",95,23,12,4,4,5,-,43
"S00145552",122,13,14,3,3,12,-,77
"S00145553",176,18,17,3,1,13,-,124
"S00145554",162,34,32,-,5,8,-,86
"S00145555",116,12,16,-,1,5,-,84
"S00145556",76,4,13,1,1,4,-,52
"S00145557",108,15,10,-,1,7,-,73
"S00145558",71,15,11,4,1,1,-,39
"S00145559",58,8,2,-,3,3,1,45
"S00145560",97,3,5,-,5,4,1,77
"S00145561",99,9,14,4,4,-,-,70
"S00145562",106,13,19,-,8,11,-,57
"S00145563",120,17,16,5,3,1,1,74
"S00145564",151,14,13,2,2,13,-,107
"S00145565",193,14,13,1,10,14,-,141
"S00145566",70,7,16,3,2,4,-,43
"S00145567",86,13,6,-,-,4,-,63
"S00145568",120,18,33,3,3,4,-,60
"S00145569",110,25,15,7,5,-,-,58
"S00145570",154,22,15,3,6,13,1,90
"S00145571",94,9,19,3,3,2,-,55
"S00145572",76,8,26,5,1,2,-,34
"S00145573",88,13,9,1,-,6,-,58
"S00145574",143,14,30,1,4,4,-,90
"S00145575",145,25,24,4,7,12,1,75
"S00145576",186,20,20,3,1,7,-,129
"S00145577",134,15,9,2,6,15,1,85
"S00145578",208,23,31,4,1,13,1,139
"S00145579",115,22,26,1,2,8,-,60
"S00145580",111,15,12,-,1,6,-,71
"S00145581",130,13,22,1,9,3,-,82
"S00145582",88,7,11,3,3,13,1,50
"S00145583",133,25,19,3,8,11,-,67
"S00145584",85,10,8,2,4,8,-,55
"S00145585",183,30,31,8,5,9,-,101
"S00145586",129,21,23,17,7,3,-,66
"S00145587",79,16,7,2,7,4,2,42
"S00145588",126,24,12,-,4,11,-,77
"S00145589",114,14,17,2,3,11,-,67
"S00145590",165,24,19,1,6,10,-,105
"S00145591",140,25,10,4,12,9,-,80
"S00145592",99,16,11,1,1,7,3,57
"S00145593",86,11,13,3,3,4,-,48
"S00145594",105,8,17,6,4,2,-,65
"S00145595",160,29,18,6,5,17,-,85
"S00145596",111,10,31,-,4,2,-,60
"S00145597",180,27,12,6,6,8,1,116
"S00145598",173,17,10,3,7,5,-,131
"S00145599",74,6,16,2,3,4,-,41
"S00145600",139,13,17,4,4,7,-,96
"S00145601",96,16,11,2,1,3,-,65
"S00145602",84,4,5,1,1,3,-,71
"S00145603",184,31,18,3,4,11,4,115
"S00145604",145,19,11,1,9,12,-,93
"S00145605",169,23,10,-,8,10,-,116
"S00145606",144,15,10,1,5,13,-,94
"S00145607",106,22,30,2,2,15,-,40
"S00145608",94,10,8,2,5,6,-,64
"S00145609",137,10,29,8,5,7,1,72
"S00145610",123,26,16,5,4,4,-,58
"S00145611",92,14,14,3,-,3,-,58
"S00145612",69,13,7,-,3,3,1,43
"S00145613",94,22,19,-,3,14,-,41
"S00145614",133,16,29,7,6,5,1,69
"S00145615",70,19,11,1,1,2,-,34
"S00145616",138,17,5,8,6,4,-,96
"S00145617",146,19,28,6,9,6,-,78
"S00145618",139,20,37,2,9,6,-,67
"S00145619",84,11,18,2,3,4,-,46
"S00145620",146,18,38,7,9,11,-,61
"S00145621",75,7,18,4,1,3,-,40
"S00145622",108,20,28,4,5,9,-,47
"S00145623",97,23,35,8,3,4,-,31
"S00145624",102,18,28,2,3,9,-,42
"S00145625",98,7,24,10,-,6,-,50
"S00145626",97,12,29,2,3,-,-,51
"S00145627",121,17,25,9,5,8,-,58
"S00145628",137,33,32,7,3,-,1,61
"S00145629",158,39,35,10,4,6,-,61
"S00145630",119,16,43,3,4,3,-,55
"S00145631",104,19,33,1,1,2,-,51
"S00145632",138,21,21,4,7,10,1,79
"S00145633",112,19,25,8,3,5,1,55
"S00145634",89,11,15,4,-,4,1,54
"S00145635",90,10,23,2,1,14,-,40
"S00145636",82,12,18,4,2,7,-,39
"S00145637",100,12,15,2,5,9,-,57
"S00145638",66,10,19,7,5,7,1,18
"S00145639",69,8,27,3,2,1,-,32
"S00145640",83,12,24,3,1,-,-,40
"S00145641",69,6,15,3,-,14,-,35
"S00145642",76,10,29,4,4,2,-,27
"S00145643",118,15,33,11,8,4,-,50
"S00145644",99,17,28,1,4,8,-,44
"S00145645",98,25,7,2,1,6,-,57
"S00145646",98,11,10,6,6,9,-,56
"S00145647",112,15,36,6,1,-,-,52
"S00145648",127,20,27,-,7,11,-,57
"S00145649",135,22,20,1,7,10,-,75
"S00145650",86,17,38,1,3,2,-,30
"S00145651",104,13,14,3,5,4,-,65
"S00145652",88,10,15,3,4,7,-,52
"S00145653",119,19,24,3,3,7,2,60
"S00145654",99,22,22,5,5,1,2,43
"S00145655",134,15,20,4,9,12,-,74
"S00145656",86,8,23,3,5,5,-,42
"S00145657",99,17,12,2,2,1,-,59
"S00145658",67,5,17,5,1,-,-,37
"S00145659",109,22,25,-,5,9,-,53
"S00145660",92,11,32,3,5,1,2,43
"S00145661",79,13,25,3,3,5,-,28
"S00145662",81,13,17,3,3,-,1,42
"S00145663",110,31,21,-,-,6,2,48
"S00145664",156,14,39,3,2,4,-,85
"S00145665",91,13,33,7,1,8,-,32
"S00145666",158,19,23,4,-,6,4,105
