Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00136076",118,4,45,24,24,12,6,11,-,5,-,1,3,2,107,4,42,24,23,8,3
"S00136077",97,18,23,15,19,10,14,1,-,1,-,-,-,-,94,18,22,15,19,10,14
"S00136078",205,40,26,15,43,64,17,4,2,-,-,1,3,-,199,38,26,15,42,64,17
"S00136079",62,-,22,14,11,10,1,2,-,-,2,-,-,-,60,-,22,16,11,10,1
"S00136080",138,15,8,21,24,37,34,3,1,-,2,2,-,-,136,14,8,20,23,37,34
"S00136081",81,7,42,22,8,3,3,3,-,-,1,-,1,-,79,7,42,17,8,2,3
"S00136082",66,6,9,15,12,21,5,3,-,1,1,-,1,-,63,6,8,14,12,20,5
"S00136083",100,9,21,49,18,3,-,4,1,-,4,1,-,-,96,8,21,47,17,3,-
"S00136084",95,12,5,25,16,23,12,1,-,-,-,-,-,1,94,12,5,25,16,23,11
"S00136085",82,9,9,9,22,20,17,2,-,-,-,-,2,-,85,9,9,9,22,18,17
"S00136086",89,4,47,32,2,4,-,7,-,3,4,-,-,-,82,4,44,28,2,4,-
"S00136087",97,11,14,13,17,22,20,1,-,-,-,-,1,-,96,11,14,13,17,25,20
"S00136088",84,3,36,19,19,6,-,5,-,1,-,1,-,-,81,3,34,19,19,6,-
"S00136089",156,13,10,3,21,32,78,2,-,1,-,-,1,-,154,13,9,3,21,31,78
"S00136090",103,13,7,7,19,20,40,6,1,1,-,-,2,1,95,12,4,7,19,17,40
"S00136091",131,27,5,19,30,19,31,4,-,-,1,-,1,2,127,27,5,18,30,20,29
"S00136092",168,28,21,26,42,25,27,6,2,1,-,1,-,2,161,26,20,26,44,25,29
"S00136093",116,19,11,37,25,17,7,3,-,-,1,1,-,-,113,19,10,36,24,17,7
"S00136094",91,24,13,6,20,14,8,9,5,2,-,1,1,-,82,19,11,6,23,13,8
"S00136095",62,9,-,3,13,13,23,-,-,-,-,-,-,-,62,9,-,3,13,13,23
"S00136096",151,17,19,23,37,15,39,3,1,-,1,-,1,-,141,16,19,22,37,18,39
"S00136097",150,15,52,56,26,1,-,10,1,2,1,4,-,-,140,14,48,55,22,1,-
"S00136098",91,8,6,13,16,25,23,2,1,-,-,-,3,-,86,7,6,12,16,22,23
"S00136099",143,26,9,28,33,24,23,6,1,2,-,3,-,-,137,25,7,28,30,24,23
"S00136100",190,16,27,46,48,39,18,2,-,2,1,-,-,-,188,16,26,41,48,39,18
"S00136101",102,12,6,14,21,24,28,5,1,-,1,2,2,-,100,10,6,11,19,23,28
"S00136102",105,9,33,37,21,2,4,-,-,-,-,-,-,-,105,9,33,37,21,2,4
"S00136103",91,10,5,8,38,13,17,4,-,1,-,1,-,-,89,10,4,8,37,13,17
"S00136104",102,-,39,23,13,11,16,2,-,1,1,-,-,-,100,-,38,22,13,11,16
"S00136105",141,23,44,30,31,8,3,6,-,3,1,-,-,-,137,22,41,30,31,8,3
"S00136106",91,19,15,26,20,9,2,7,3,1,3,1,-,-,84,16,14,24,19,9,2
"S00136107",121,11,57,24,16,6,9,3,3,-,-,-,-,-,121,11,57,24,16,6,9
"S00136108",148,21,13,21,30,23,41,8,2,-,1,1,1,3,140,16,13,20,28,22,38
"S00136109",105,17,3,17,17,23,26,4,1,-,-,-,-,2,101,16,3,17,16,23,24
"S00136110",84,9,4,7,8,19,38,1,-,-,-,-,-,1,83,9,4,7,8,19,37
"S00136111",116,6,44,26,22,9,9,5,-,5,-,-,-,-,113,6,41,26,22,9,9
"S00136112",137,26,15,9,44,26,20,4,1,1,-,-,-,-,134,25,14,8,44,26,20
"S00136113",84,7,2,12,8,33,23,4,-,1,-,2,-,2,80,9,1,12,7,33,18
"S00136114",153,8,57,44,27,11,3,6,-,3,1,1,-,1,145,8,54,43,26,11,4
"S00136115",128,7,47,31,18,11,9,1,-,1,-,-,-,-,125,7,46,31,18,11,9
"S00136116",83,15,11,19,15,9,9,-,-,-,-,-,-,-,83,15,11,19,15,9,9
"S00136117",99,2,15,39,12,17,15,-,2,-,-,1,-,-,97,-,15,39,8,17,15
"S00136118",78,16,5,12,21,9,12,1,-,-,-,1,-,-,77,16,5,12,20,9,12
"S00136119",81,11,12,14,16,18,13,2,-,-,-,1,-,-,80,11,12,14,15,18,12
"S00136120",88,11,6,11,16,21,23,4,-,-,1,4,-,-,84,11,6,10,14,21,22
"S00136121",122,11,13,21,22,31,27,-,-,-,-,-,-,-,121,11,13,21,22,30,27
"S00136122",119,6,38,40,24,15,2,6,-,-,5,2,-,-,113,6,38,36,18,15,2
"S00136123",154,22,22,15,31,45,19,9,4,2,1,2,-,-,148,20,21,12,29,45,19
"S00136124",79,13,7,18,13,14,14,1,-,-,-,-,-,1,74,13,7,18,13,14,13
"S00136125",97,12,7,12,16,32,17,2,1,-,-,1,-,-,93,11,7,12,15,32,17
"S00136126",88,2,1,8,6,20,50,1,-,-,-,-,-,1,87,2,1,8,6,20,49
"S00136127",144,29,6,19,23,42,25,1,-,-,-,1,-,-,143,29,6,19,22,42,25
"S00136128",69,-,21,30,10,7,3,3,1,1,1,-,-,-,66,1,20,25,10,7,3
"S00136129",103,11,2,19,20,29,20,4,-,1,2,-,1,-,95,11,-,12,20,28,20
"S00136130",73,10,2,11,28,11,15,7,-,-,4,1,1,-,66,8,2,8,23,10,15
"S00136131",81,-,17,23,19,11,11,3,-,-,-,3,-,-,78,-,17,22,17,11,11
"S00136132",80,8,4,6,6,18,39,-,-,-,-,-,-,-,80,8,4,6,6,18,41
"S00136133",114,25,12,19,32,14,17,4,1,-,3,-,-,-,109,20,12,16,32,14,17
"S00136134",88,16,4,13,18,8,30,2,1,-,-,2,-,-,86,15,4,13,17,8,30
"S00136135",79,4,19,12,17,9,18,8,-,-,6,-,2,-,69,4,19,6,17,8,17
"S00136136",72,12,7,11,11,17,15,-,-,-,-,-,-,-,72,12,7,11,11,17,15
"S00136137",94,14,7,19,15,23,17,4,3,-,1,1,-,-,89,11,7,18,13,23,17
"S00136138",83,-,-,-,1,11,71,1,-,-,-,-,-,1,79,-,-,-,1,11,69
"S00136139",81,-,-,1,4,16,62,-,-,-,-,-,-,-,81,-,-,1,4,16,62
"S00136140",119,13,13,16,17,31,29,1,-,-,1,-,-,-,118,13,13,15,17,31,29
"S00136141",70,3,16,13,23,11,4,7,-,4,-,1,2,-,63,3,12,12,22,10,4
"S00136142",114,8,46,25,20,10,5,5,-,2,1,2,-,-,109,8,44,24,21,10,5
"S00136143",64,1,3,22,9,12,13,-,-,-,-,-,-,-,64,1,3,22,9,12,13
"S00136144",138,5,8,16,32,37,40,3,-,-,1,-,1,-,135,5,8,15,32,35,40
"S00136145",285,19,142,87,28,7,6,18,6,5,1,6,-,-,271,13,137,86,23,7,5
"S00136146",111,9,31,27,24,14,6,-,-,-,-,-,-,-,111,9,31,27,24,14,6
"S00136147",65,6,10,9,19,17,7,4,1,2,-,-,-,-,62,5,9,9,17,17,7
"S00136148",97,15,9,9,17,26,21,7,1,-,2,2,2,1,90,14,9,8,15,24,21
"S00136149",80,11,4,10,11,28,13,2,2,-,-,-,-,-,79,10,4,10,11,28,13
"S00136150",111,15,19,21,42,12,6,-,-,-,-,-,-,-,111,15,19,21,42,12,6
"S00136151",71,6,3,5,18,17,22,3,-,-,-,1,-,1,68,6,3,5,17,17,20
"S00136152",81,14,6,7,18,27,14,1,2,-,-,-,-,-,79,11,6,7,18,26,14
"S00136153",75,-,35,31,5,4,-,-,-,-,-,-,-,-,75,-,35,31,5,4,-
"S00136154",113,7,36,33,15,11,10,3,-,-,1,-,-,-,110,7,35,32,14,11,10
"S00136155",115,15,10,3,17,22,54,1,-,-,-,-,1,-,114,15,10,3,17,25,54
"S00136156",117,26,4,22,40,7,17,1,-,-,-,-,-,1,116,26,4,22,40,7,15
"S00136157",60,6,17,17,16,4,1,-,-,-,-,-,-,-,60,6,17,17,16,4,1
"S00136158",132,13,5,12,16,33,53,4,4,-,-,-,1,1,127,11,5,12,16,32,52
"S00136159",86,9,4,10,18,25,22,-,-,-,-,-,-,-,86,9,4,10,18,25,22
"S00136160",77,1,3,17,12,15,26,4,-,-,-,-,-,4,76,1,3,17,12,15,24
"S00136161",100,17,14,12,25,21,13,6,-,1,-,3,-,-,94,19,13,12,22,21,13
"S00136162",124,12,16,13,25,32,26,5,-,1,3,1,-,-,119,12,15,10,24,32,26
"S00136163",70,8,6,11,18,8,18,8,1,-,2,1,-,-,65,7,6,11,17,8,18
"S00136164",84,14,10,13,22,12,13,4,-,-,-,5,-,-,80,14,9,13,19,12,13
"S00136165",61,9,9,9,16,12,6,3,-,1,-,-,-,-,58,8,8,9,15,12,6
"S00136166",66,5,13,7,14,21,8,4,2,3,-,-,-,-,62,1,10,7,14,21,8
"S00136167",83,-,-,-,-,9,73,3,-,-,-,-,-,3,80,-,-,-,-,9,70
"S00136168",103,6,26,24,30,12,9,6,-,2,3,-,1,-,97,6,24,21,30,11,9
"S00136169",63,13,7,14,11,13,8,-,-,-,-,-,-,-,63,13,7,14,11,13,8
"S00136170",72,-,27,22,9,9,9,-,-,-,-,-,-,-,72,-,27,22,9,9,9
"S00136171",63,6,12,20,14,11,-,-,-,-,1,1,-,-,61,6,12,19,13,11,-
"S00136172",83,2,30,30,14,4,3,3,-,3,-,1,-,-,80,2,24,30,13,4,3
"S00136173",63,1,22,20,8,4,4,2,-,-,2,-,-,-,60,1,22,17,8,4,4
"S00136174",127,1,35,68,17,3,-,5,-,5,-,-,-,-,125,1,30,68,17,3,-
"S00136175",75,10,7,11,17,14,14,-,-,-,-,-,-,-,75,10,7,11,17,14,14
"S00136176",137,29,12,13,35,31,16,8,3,1,2,2,-,-,129,26,11,12,36,31,16
"S00136177",95,9,13,6,23,23,21,1,-,1,-,-,-,-,94,9,12,6,23,23,21
"S00136178",102,2,18,34,17,23,16,1,-,-,-,1,-,-,101,2,18,34,16,23,16
"S00136179",98,3,14,34,18,19,15,4,-,1,-,1,-,1,94,3,13,34,17,18,14
"S00136180",128,1,27,71,21,3,5,1,-,-,1,-,-,-,127,1,27,70,21,3,5
"S00136181",63,5,6,19,23,12,-,4,1,-,4,-,1,-,56,4,6,17,23,10,-
"S00136182",118,24,10,13,25,30,19,3,3,-,-,-,-,-,115,21,10,13,25,30,19
"S00136183",117,15,9,24,24,26,13,5,1,-,-,-,2,1,108,18,9,24,23,24,12
"S00136184",123,19,15,17,22,35,15,3,2,-,-,3,-,-,118,17,14,17,21,35,15
"S00136185",98,5,52,31,11,-,2,2,-,1,2,-,-,-,96,5,44,31,11,-,2
"S00136186",100,-,29,35,18,13,3,5,-,5,1,-,-,-,95,-,28,34,18,15,3
"S00136187",97,19,6,13,17,21,21,1,-,-,-,-,1,-,96,19,6,13,17,22,21
"S00136188",57,7,10,26,6,8,2,-,-,-,-,-,-,-,57,7,10,26,6,8,2
"S00136189",87,3,25,33,10,12,6,10,-,3,4,2,-,1,80,3,23,29,8,12,5
"S00136190",80,-,21,39,14,4,5,3,-,2,-,-,2,-,77,-,19,39,14,3,5
"S00136191",107,10,34,40,18,4,-,3,-,-,3,-,-,-,104,10,34,38,18,4,-
"S00136192",141,15,31,63,26,4,1,2,-,-,-,2,-,-,139,15,31,63,24,4,1
"S00136193",122,6,58,33,23,2,2,3,-,1,-,1,-,-,120,6,54,33,22,2,2
"S00136194",131,6,27,40,26,24,3,3,-,1,1,-,1,-,128,6,29,39,26,23,3
"S00136195",385,1,306,52,21,12,2,22,-,16,3,-,1,-,367,1,290,47,19,8,2
"S00136196",76,4,17,24,18,9,4,2,-,1,-,-,2,-,70,4,16,24,18,8,4
"S00136197",107,1,46,35,13,6,7,5,-,5,-,-,-,-,102,1,42,35,13,6,7
"S00136198",118,10,9,8,12,31,47,2,-,-,-,-,-,1,116,10,9,8,12,30,46
"S00136199",64,2,18,18,12,11,4,-,-,-,-,-,-,-,64,2,18,18,12,11,4
"S00136200",66,5,5,2,7,15,31,2,-,-,-,-,-,2,65,5,5,2,7,15,30
"S00136201",88,4,31,37,10,3,3,2,2,-,-,-,-,-,87,2,31,37,10,3,3
"S00136202",78,12,4,19,11,18,14,5,2,-,-,2,-,2,73,10,4,18,10,18,13
"S00136203",96,12,11,17,20,17,19,3,-,-,-,-,1,4,95,12,11,17,20,16,17
"S00136204",122,5,34,41,26,12,4,4,-,1,3,-,-,-,118,5,33,40,26,12,4
"S00136205",75,1,20,22,17,12,3,5,-,-,3,-,-,-,72,1,20,20,16,12,3
"S00136206",101,11,27,15,23,20,7,4,-,1,1,-,-,1,97,11,26,14,23,19,3
"S00136207",67,4,18,16,13,14,3,2,-,-,-,1,-,-,63,4,17,16,11,14,3
"S00136208",87,17,5,7,29,15,18,2,-,1,1,-,-,-,85,17,4,6,29,15,18
"S00136209",97,12,5,20,18,20,19,1,-,-,1,2,-,-,95,12,5,16,17,20,19
"S00136210",164,14,11,12,31,43,53,2,-,-,-,-,2,-,158,14,11,12,31,41,53
"S00136211",85,-,43,26,6,7,3,5,-,2,-,-,-,-,82,-,39,25,6,7,3
"S00136212",89,8,9,10,12,26,14,2,-,-,-,2,-,-,87,8,9,10,11,26,14
"S00136213",75,6,6,8,13,14,27,3,-,-,-,1,2,-,72,6,6,8,12,12,27
"S00136214",111,24,15,25,16,25,8,3,2,-,1,-,-,-,108,20,15,24,16,24,8
"S00136215",94,12,16,12,20,16,17,6,3,-,5,-,-,-,88,9,16,9,20,16,17
"S00136216",113,10,55,30,15,3,2,2,-,1,-,-,-,-,115,10,51,30,14,3,2
"S00136217",130,16,7,21,33,27,30,7,1,1,3,2,-,1,122,15,6,18,28,27,29
"S00136218",192,14,90,49,23,11,1,8,-,7,1,-,-,-,184,14,83,46,23,11,1
"S00136219",74,4,22,31,5,10,2,-,-,-,-,-,-,-,74,4,22,31,5,10,2
"S00136220",105,10,21,22,31,16,6,3,-,4,-,1,-,-,102,10,19,22,30,16,6
"S00136221",66,3,18,27,16,1,2,5,1,2,-,4,-,-,61,5,16,27,10,1,2
"S00136222",60,-,3,8,18,19,12,1,-,-,-,-,-,1,59,-,3,8,18,19,11
"S00136223",180,27,10,10,38,57,34,3,-,1,-,-,-,2,175,27,9,10,38,57,34
"S00136224",78,-,32,26,8,4,6,5,-,3,1,1,-,-,73,-,29,25,9,4,6
"S00136225",107,24,10,16,20,23,14,6,-,2,2,-,1,-,103,24,10,14,20,22,14
"S00136226",101,6,9,6,20,19,39,6,2,-,-,-,3,-,94,5,8,6,20,16,39
"S00136227",75,11,10,23,22,7,1,1,-,-,-,1,-,-,73,11,10,23,21,7,1
"S00136228",171,21,15,21,36,35,43,6,-,-,-,3,2,1,165,21,15,21,33,33,42
"S00136229",97,13,7,15,18,19,28,4,-,-,3,1,-,-,96,13,7,12,17,19,28
"S00136230",93,8,33,24,14,9,7,7,-,2,1,2,-,-,88,5,31,23,12,9,7
"S00136231",104,2,10,16,20,27,30,11,-,-,5,1,2,2,93,2,10,13,19,24,25
"S00136232",156,22,19,16,29,46,24,9,1,2,3,1,2,1,147,21,17,13,28,44,23
"S00136233",72,4,28,24,10,3,6,2,-,-,2,-,-,-,72,4,28,22,10,3,6
"S00136234",95,9,22,17,23,15,6,5,-,5,-,-,-,1,90,9,19,17,22,15,8
"S00136235",61,5,4,5,5,23,22,-,-,-,-,-,-,-,61,5,4,5,5,23,22
"S00136236",450,4,358,42,29,12,8,19,-,14,2,2,2,-,431,4,344,40,27,11,8
"S00136237",154,12,29,47,38,19,5,5,-,-,4,1,2,-,150,12,29,45,37,18,5
"S00136238",119,14,25,29,30,13,7,6,2,2,-,2,-,-,116,12,26,29,29,13,7
"S00136239",310,2,244,46,4,7,8,12,-,11,1,-,-,-,298,2,233,45,4,7,8
"S00136240",98,21,6,12,18,25,16,-,-,-,-,-,-,-,97,19,6,12,18,25,16
"S00136241",72,6,39,20,7,-,1,2,-,2,-,-,-,-,70,6,37,20,7,-,1
"S00136242",107,15,28,23,17,21,3,6,-,2,-,-,-,-,103,14,26,23,16,21,3
"S00136243",83,10,14,43,15,6,2,2,-,-,1,1,-,-,85,10,14,38,14,6,2
"S00136244",138,20,13,12,20,38,32,3,-,1,-,-,2,-,135,20,10,12,20,36,32
"S00136245",589,4,455,56,27,5,44,27,-,27,-,-,-,-,569,4,432,56,27,5,44
"S00136246",76,10,11,8,20,22,4,-,-,-,-,-,-,-,76,10,11,8,20,22,4
"S00136247",128,25,15,10,32,26,20,1,-,-,-,1,-,-,125,24,15,10,30,26,20
"S00136248",122,21,11,23,26,34,9,3,-,-,3,-,-,-,120,21,11,21,26,34,9
"S00136249",89,13,2,5,21,14,31,-,-,-,-,-,-,-,89,13,2,5,21,14,31
"S00136250",95,9,15,8,17,32,13,7,-,5,-,-,2,-,85,9,11,7,17,32,13
"S00136251",108,9,23,30,20,13,10,3,-,1,-,-,-,1,105,9,25,30,20,12,10
"S00136252",88,9,15,10,26,16,12,2,-,-,-,2,-,-,86,9,15,10,27,16,11
"S00136253",72,-,35,13,7,6,6,4,-,4,-,-,-,-,70,-,33,13,7,6,6
"S00136254",131,19,22,32,26,13,15,1,-,-,-,-,1,-,130,19,22,32,26,14,15
"S00136255",104,8,10,40,25,13,9,6,-,1,3,2,-,-,101,8,11,37,24,12,9
"S00136256",103,6,4,5,14,20,52,3,-,-,-,-,-,1,101,5,4,5,14,20,54
"S00136257",114,11,34,35,17,9,6,4,-,-,4,-,-,-,110,11,34,31,17,9,6
"S00136258",103,17,15,11,21,30,13,2,1,-,-,-,-,-,101,16,15,11,21,30,12
"S00136259",244,84,27,28,72,27,6,20,8,-,4,7,1,-,224,76,27,24,65,26,6
"S00136260",74,-,-,-,-,10,60,5,-,-,-,-,1,4,65,-,-,-,-,7,56
"S00136261",95,12,15,25,24,9,10,2,-,1,-,-,-,-,93,12,14,25,23,9,10
"S00136262",106,6,20,24,14,21,21,1,-,1,-,-,-,-,105,6,19,24,14,21,21
"S00136263",85,9,8,11,31,12,14,5,-,-,4,-,3,1,80,9,8,9,31,10,16
"S00136264",102,14,11,28,26,16,8,1,-,-,-,-,1,-,101,14,11,28,26,15,8
"S00136265",107,9,42,33,16,6,-,4,-,2,1,1,-,-,103,9,40,32,15,6,-
"S00136266",88,-,5,-,4,29,48,4,-,-,-,2,-,-,86,-,5,-,3,29,47
"S00136267",96,10,22,32,14,13,5,4,-,1,-,-,-,2,92,9,21,32,14,13,6
"S00136268",114,16,15,16,27,29,11,6,1,1,-,2,2,-,108,15,14,16,25,27,11
"S00136269",92,5,30,24,12,12,11,2,-,1,1,-,-,-,90,5,29,23,12,12,11
"S00136270",83,-,35,34,7,2,7,3,-,1,-,-,1,2,81,-,34,34,7,1,6
"S00136271",119,25,8,14,30,25,19,1,-,-,-,1,-,-,118,25,8,14,31,25,19
"S00136272",119,15,16,20,26,23,20,4,-,2,-,4,-,-,113,15,12,18,23,23,20
"S00136273",66,7,7,9,14,16,13,3,-,1,-,1,-,-,63,7,6,9,13,15,13
"S00136274",91,10,16,19,28,15,5,4,-,1,1,1,-,1,88,10,18,18,28,15,5
"S00136275",125,6,46,39,16,8,7,10,-,3,3,3,1,-,115,6,43,36,13,9,7
"S00136276",107,10,5,11,19,32,27,8,2,3,-,1,-,1,99,8,3,11,21,31,26
"S00136277",67,7,13,20,12,15,4,5,-,-,3,-,-,1,66,7,13,17,12,15,2
"S00136278",96,10,13,34,25,8,6,2,-,-,1,-,-,-,91,6,13,33,25,8,6
"S00136279",58,-,30,10,9,6,3,1,-,-,1,-,-,-,56,-,30,9,9,6,3
"S00136280",103,12,11,12,24,23,21,9,2,-,1,4,2,-,94,10,11,8,22,21,22
"S00136281",123,12,19,36,24,13,19,8,2,2,2,2,-,-,119,10,17,34,22,13,19
"S00136282",62,5,5,5,15,10,20,3,-,1,-,2,-,1,57,5,4,5,14,10,22
"S00136283",68,10,6,15,16,13,8,8,1,-,3,-,-,-,61,9,4,12,15,13,8
"S00136284",143,16,46,44,28,9,3,1,-,-,-,1,-,-,142,16,46,44,26,9,3
"S00136285",108,6,29,26,21,18,11,2,-,-,3,1,1,-,102,6,29,27,20,17,11
"S00136286",102,14,6,9,15,28,32,-,-,-,-,-,-,-,105,14,6,9,15,27,32
"S00136287",82,12,6,5,21,21,14,1,-,-,-,-,-,1,81,12,6,5,21,21,13
"S00136288",135,22,15,40,15,33,10,7,3,-,2,-,2,-,128,19,15,38,15,31,10
"S00136289",171,40,15,26,29,35,24,5,2,-,2,1,-,-,166,38,15,24,28,35,24
"S00136290",148,11,23,30,20,33,34,2,1,1,-,-,-,-,146,7,22,30,20,33,34
"S00136291",98,5,31,37,16,4,5,6,-,3,1,2,-,-,92,5,28,36,14,4,5
"S00136292",118,10,5,12,15,21,53,3,-,-,-,-,-,2,115,10,5,12,14,21,51
"S00136293",84,13,6,14,14,26,14,4,2,-,-,1,-,-,80,5,6,14,12,26,14
"S00136294",93,16,11,9,18,19,26,2,-,-,-,-,-,2,94,16,11,9,18,19,24
"S00136295",83,12,11,16,17,8,19,5,-,4,1,-,-,-,78,12,6,16,17,8,19
"S00136296",80,4,17,21,21,14,5,1,-,-,1,-,-,-,79,4,17,20,21,14,5
"S00136297",115,15,18,14,32,27,14,9,1,1,1,3,3,1,108,14,17,13,24,24,11
"S00136298",129,10,32,42,32,8,7,6,-,3,3,-,-,-,120,10,29,38,32,7,7
"S00136299",127,22,13,9,31,39,15,5,2,1,-,5,-,-,121,18,12,9,25,39,14
"S00136300",102,23,13,18,33,7,2,5,1,2,-,2,-,-,94,22,11,18,31,7,2
"S00136301",131,10,19,34,33,19,19,-,-,-,-,-,-,-,131,10,19,34,33,19,19
"S00136302",130,26,7,12,29,14,39,3,-,1,2,2,-,-,127,26,6,11,28,14,39
"S00136303",124,12,22,38,27,16,9,3,-,-,-,3,-,-,122,12,22,38,25,16,9
"S00136304",87,-,24,45,13,4,3,4,-,-,4,-,-,-,83,-,22,43,13,4,3
"S00136305",125,10,35,37,27,6,8,8,-,3,3,1,1,-,117,9,32,35,26,6,8
"S00136306",89,17,8,10,30,8,12,5,1,-,-,2,1,3,84,14,8,10,29,11,10
"S00136307",115,14,39,26,24,6,5,4,-,1,1,2,1,-,111,14,38,28,21,4,5
"S00136308",180,38,21,9,44,41,28,10,2,2,-,1,1,1,167,30,15,9,41,40,27
"S00136309",143,27,16,16,32,30,27,1,-,-,-,-,-,1,138,27,16,16,32,30,26
"S00136310",189,5,98,45,28,10,3,13,-,5,3,7,-,-,176,4,93,42,24,10,3
"S00136311",104,20,6,10,25,14,26,10,4,-,-,2,-,1,96,16,6,10,21,14,25
"S00136312",124,23,10,15,32,26,18,-,-,-,-,-,-,-,124,23,10,15,32,26,18
"S00136313",79,4,19,16,21,11,8,2,-,1,1,-,-,-,77,4,18,15,21,11,8
"S00136314",89,4,10,47,8,13,7,6,1,-,3,1,-,-,83,3,10,44,7,13,6
"S00136315",81,-,16,31,15,12,4,2,-,2,-,-,-,-,80,-,15,31,15,12,4
"S00136316",98,17,28,8,18,12,15,5,-,4,-,-,1,1,93,17,26,8,17,11,14
"S00136317",105,15,5,10,21,14,40,-,-,-,-,-,-,-,105,15,5,10,21,14,40
"S00136318",95,13,5,8,13,25,33,-,-,-,-,-,-,-,95,13,5,8,13,25,33
"S00136319",78,1,16,35,9,10,7,1,-,1,-,-,-,-,78,1,15,35,9,10,7
"S00136320",66,-,18,15,13,9,8,8,-,5,3,-,-,-,55,-,13,12,13,9,8
"S00136321",92,9,19,34,27,6,3,4,-,-,4,-,-,-,90,9,19,32,27,6,3
"S00136322",72,12,7,11,16,20,5,6,-,-,4,-,1,1,66,12,7,4,16,19,4
"S00136323",106,8,10,20,18,24,24,2,-,-,-,2,-,-,104,8,10,20,17,24,24
"S00136324",75,7,30,12,15,12,3,2,1,-,2,-,-,-,72,6,30,11,15,12,3
"S00136325",141,25,6,17,32,28,33,2,1,-,-,3,-,-,136,24,6,17,29,27,33
"S00136326",86,5,9,27,19,14,11,5,-,2,3,-,-,-,81,5,8,24,19,14,11
"S00136327",61,6,4,14,11,15,12,1,-,-,-,-,-,1,62,6,4,14,11,15,11
"S00136328",63,1,10,22,9,16,2,1,-,1,1,-,-,-,57,1,9,21,9,16,2
"S00136329",109,6,16,21,22,28,16,4,-,2,-,1,-,1,103,6,14,21,21,28,15
"S00136330",143,21,38,33,22,19,10,7,1,2,3,2,-,-,136,20,32,31,20,19,10
"S00136331",74,5,12,22,18,9,5,6,3,-,-,1,1,1,69,2,12,22,17,8,4
"S00136332",99,14,8,12,17,23,25,2,-,-,-,1,1,-,97,14,8,12,16,20,25
"S00136333",417,6,322,50,28,8,4,7,-,10,1,-,-,-,406,6,312,49,28,8,4
"S00136334",113,1,27,19,21,24,23,2,-,-,-,1,1,-,113,1,27,19,20,23,23
"S00136335",79,19,3,13,28,9,6,-,-,-,-,-,-,-,78,19,3,13,28,8,6
"S00136336",102,23,6,22,28,17,13,1,-,-,-,1,-,-,101,23,6,22,23,17,13
"S00136337",127,27,3,25,21,25,26,3,-,1,-,2,-,2,124,27,2,25,22,25,25
"S00136338",94,-,31,32,24,6,5,6,-,3,4,1,-,-,88,-,28,30,19,6,5
"S00136339",104,3,16,16,13,23,33,3,-,1,2,1,-,-,101,3,15,15,15,23,33
"S00136340",81,8,6,11,18,19,21,5,-,-,-,-,1,1,78,8,6,11,18,18,17
"S00136341",58,2,14,16,14,8,4,2,-,-,2,-,-,-,59,2,14,19,14,8,4
"S00136342",74,6,13,28,13,15,-,11,-,2,6,-,-,-,66,6,11,22,13,15,-
"S00136343",110,4,41,41,13,12,-,4,2,2,-,1,-,-,106,1,37,41,15,12,-
"S00136344",63,8,2,16,18,16,9,6,-,-,2,3,1,-,57,8,2,15,16,10,8
"S00136345",113,5,12,12,26,15,42,-,-,-,-,-,-,-,113,5,12,12,26,15,42
"S00136346",89,9,12,12,20,21,15,-,-,-,-,-,-,-,89,9,12,12,20,21,15
"S00136347",70,10,11,12,16,13,8,-,-,-,-,-,-,-,70,10,11,12,16,13,8
"S00136348",117,17,9,30,17,22,20,-,-,-,-,-,-,-,117,17,9,30,17,22,20
"S00136349",102,6,24,39,19,12,2,7,-,-,3,1,1,-,96,6,24,35,17,11,2
"S00136350",84,12,8,21,24,17,8,-,-,-,-,-,-,-,84,12,8,21,24,17,8
"S00136351",110,20,4,16,31,17,26,4,-,-,-,4,-,-,108,20,4,16,29,17,26
"S00136352",65,-,8,8,20,22,7,2,-,2,-,-,-,-,64,-,7,8,20,22,7
"S00136353",124,17,17,16,40,25,9,5,-,1,-,5,-,-,119,17,16,15,37,25,9
"S00136354",79,10,2,10,11,26,18,-,-,-,-,-,-,-,79,10,2,10,11,26,18
"S00136355",99,11,18,27,19,14,12,4,-,-,1,1,-,-,95,7,18,26,18,14,12
"S00136356",56,-,17,19,18,2,2,3,-,2,-,1,1,-,55,-,16,19,17,1,2
