Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00135363",160,43,7,39,60,6,-,2,-,-,-,-,-,2,159,43,7,39,60,6,1
"S00135364",163,15,13,10,21,42,64,3,-,-,-,-,-,1,160,15,13,10,19,42,63
"S00135365",115,13,11,4,23,24,42,3,1,2,-,-,-,-,115,16,9,4,23,24,42
"S00135366",112,12,6,12,15,29,36,2,-,-,-,-,1,1,110,12,6,12,15,28,35
"S00135367",81,8,7,7,14,21,24,1,-,-,-,-,1,-,80,8,7,7,14,20,24
"S00135368",122,17,18,26,25,29,10,2,-,1,-,-,-,-,120,17,13,25,25,29,10
"S00135369",125,23,20,18,33,21,10,6,-,1,-,4,1,-,115,23,19,18,29,20,10
"S00135370",67,8,6,11,9,23,11,-,-,-,-,-,-,-,67,8,6,11,9,23,11
"S00135371",143,18,13,28,33,37,14,3,-,-,-,3,-,-,140,18,13,28,30,37,14
"S00135372",152,44,8,25,47,18,5,1,-,-,-,-,1,-,147,44,8,25,47,17,5
"S00135373",219,27,23,24,55,58,32,1,-,-,-,1,-,-,218,27,23,24,54,58,32
"S00135374",134,19,10,28,35,24,18,2,-,-,2,-,-,-,132,19,10,26,35,24,18
"S00135375",94,16,8,34,25,11,2,1,-,-,1,-,-,-,93,16,8,33,25,11,2
"S00135376",71,15,12,3,11,8,19,6,3,1,-,2,-,-,65,12,8,3,7,8,19
"S00135377",114,11,12,23,19,32,17,-,-,-,-,-,-,-,114,11,12,23,19,32,17
"S00135378",122,30,16,10,39,18,9,-,-,-,-,-,-,-,122,30,16,10,39,18,9
"S00135379",60,6,4,4,12,23,10,-,-,-,-,-,-,-,60,6,4,4,12,23,10
"S00135380",129,13,13,14,22,44,23,-,-,-,-,-,-,-,129,13,13,14,22,44,23
"S00135381",131,24,17,26,30,26,7,4,1,-,2,1,-,-,125,24,17,24,28,26,7
"S00135382",99,15,13,8,35,15,13,2,-,-,1,1,-,-,97,15,13,10,31,15,13
"S00135383",143,33,13,19,50,19,2,2,-,-,-,1,-,-,141,32,13,19,53,19,2
"S00135384",59,8,11,13,13,16,-,-,-,-,-,-,-,-,59,8,11,13,13,16,-
"S00135385",83,22,8,17,25,11,-,1,1,-,-,-,-,-,78,21,8,17,25,11,-
"S00135386",113,8,3,8,16,26,59,1,-,-,-,-,-,1,112,8,3,8,16,26,55
"S00135387",166,15,13,11,17,60,46,2,-,-,-,-,2,1,166,15,13,11,17,58,45
"S00135388",195,48,17,8,59,37,25,7,2,-,-,4,-,-,188,47,17,7,56,36,25
"S00135389",134,15,10,6,20,28,52,-,-,-,-,-,-,-,134,15,10,6,20,28,52
"S00135390",84,12,12,10,29,14,7,-,-,-,-,-,-,-,84,12,12,10,29,14,7
"S00135391",198,42,17,33,48,48,10,3,-,-,-,-,2,4,192,42,19,33,48,46,8
"S00135392",68,7,12,16,19,17,5,3,-,2,-,2,-,-,65,7,13,16,18,17,5
"S00135393",194,35,50,50,31,23,8,10,-,6,1,1,-,-,184,35,44,47,30,23,8
"S00135394",150,15,12,22,27,39,31,3,-,-,1,-,1,1,143,15,12,21,27,41,30
"S00135395",73,12,5,7,12,22,12,4,-,-,-,-,4,-,74,12,5,7,12,23,12
"S00135396",130,23,6,13,28,31,29,-,-,-,-,-,-,-,129,23,6,13,27,31,29
"S00135397",111,25,6,22,40,15,3,3,-,-,2,-,1,-,105,25,6,21,40,14,3
"S00135398",122,15,15,24,30,19,17,-,-,-,-,-,-,-,122,15,15,24,30,19,17
"S00135399",241,28,7,29,36,8,133,7,4,-,-,1,-,-,234,24,7,29,33,8,131
"S00135400",159,18,16,15,40,46,27,4,-,2,-,1,1,-,155,18,12,15,35,49,27
"S00135401",94,8,10,12,16,33,13,2,-,-,-,-,1,2,92,8,10,12,16,32,15
"S00135402",78,10,4,13,23,22,9,-,-,-,-,-,-,-,75,10,4,13,23,22,8
"S00135403",129,22,9,14,29,31,20,5,1,3,-,2,-,-,125,21,10,14,28,31,20
"S00135404",81,10,10,18,16,15,11,-,-,-,-,-,-,-,80,10,10,18,16,15,10
"S00135405",181,36,11,25,33,37,39,-,-,-,-,-,-,-,181,36,11,25,33,37,39
"S00135406",172,19,15,18,24,58,41,1,-,-,-,1,-,-,173,19,15,18,22,58,41
"S00135407",151,31,9,12,37,31,31,-,-,-,-,-,-,-,151,31,9,12,37,31,31
"S00135408",149,18,11,13,30,28,53,4,-,-,2,-,-,1,145,18,11,11,29,28,49
"S00135409",69,7,2,5,11,20,25,-,-,-,-,-,-,-,69,7,2,5,11,20,25
"S00135410",110,11,10,18,32,25,17,3,-,-,-,2,-,-,107,11,10,17,27,25,17
"S00135411",181,20,20,41,41,41,18,5,2,3,1,-,-,-,176,18,18,36,41,41,18
"S00135412",111,14,9,6,21,15,46,2,-,1,-,-,-,-,105,14,8,6,21,15,45
"S00135413",134,10,15,13,16,27,49,1,-,1,-,-,-,-,133,10,14,13,16,27,49
"S00135414",89,5,10,9,9,23,32,-,1,-,-,-,-,1,87,4,10,9,9,23,31
"S00135415",102,15,11,11,17,30,18,-,-,-,-,-,-,-,102,15,11,11,17,30,18
"S00135416",197,35,14,23,40,42,43,-,-,-,-,-,-,-,197,35,14,23,40,42,43
"S00135417",107,10,8,21,21,39,7,2,-,-,-,2,-,-,103,10,8,21,19,39,7
"S00135418",168,39,7,11,62,36,13,3,-,-,-,1,1,-,167,39,7,11,61,35,13
"S00135419",76,4,9,15,19,24,5,-,-,2,-,2,-,-,74,4,8,15,18,24,5
"S00135420",143,14,6,19,25,24,57,4,-,-,3,1,-,-,139,14,6,16,24,24,57
"S00135421",116,14,7,20,29,28,18,-,-,-,-,-,-,-,116,14,7,20,29,28,18
"S00135422",102,10,6,18,31,24,13,4,-,-,1,3,-,-,98,10,6,19,28,24,13
"S00135423",184,34,11,21,44,38,36,1,-,-,-,-,1,-,183,34,11,21,44,37,36
"S00135424",115,15,10,7,16,36,34,2,1,-,-,-,-,1,113,10,10,7,16,36,33
"S00135425",115,13,5,14,27,22,34,5,3,-,-,-,-,-,110,11,5,14,25,22,33
"S00135426",136,18,17,11,22,40,28,1,-,-,-,1,-,-,138,18,17,11,21,40,28
"S00135427",125,7,6,2,5,33,72,1,-,-,-,-,1,-,124,7,6,2,5,32,72
"S00135428",73,17,6,9,18,20,7,3,-,-,-,3,-,-,71,17,6,9,16,20,7
"S00135429",83,9,8,4,12,21,30,1,1,-,-,-,-,-,81,7,8,4,12,21,30
"S00135430",112,14,10,4,20,27,35,-,-,-,-,-,-,-,111,14,10,4,20,28,35
"S00135431",106,24,10,15,24,18,19,5,1,-,1,1,2,-,101,19,10,14,23,17,18
"S00135432",117,11,5,3,17,31,49,2,-,-,-,-,1,1,113,11,5,3,17,30,48
"S00135433",126,18,5,13,17,34,45,3,-,-,-,-,-,2,123,18,5,13,17,33,39
"S00135434",111,5,3,3,9,26,62,-,-,-,-,-,-,-,111,5,3,3,9,26,62
"S00135435",79,4,4,2,7,20,35,4,-,-,-,-,-,1,71,4,1,1,7,20,36
"S00135436",107,13,6,9,17,32,30,2,-,-,-,1,1,-,105,13,6,9,16,31,30
"S00135437",117,16,5,27,31,18,12,2,-,-,2,2,-,-,116,16,5,25,34,18,12
"S00135438",79,13,3,14,12,21,17,2,-,-,-,-,-,2,77,13,3,14,12,21,19
"S00135439",89,9,2,3,10,30,33,3,-,-,1,-,1,1,86,9,2,2,10,29,32
"S00135440",125,15,4,15,19,29,43,-,-,-,-,-,-,-,125,15,4,15,19,29,43
"S00135441",124,14,13,12,20,31,35,-,-,-,-,-,-,-,123,14,12,12,20,31,35
"S00135442",67,-,-,-,3,11,53,2,-,-,-,-,-,-,65,-,-,-,3,8,52
"S00135443",97,10,10,9,21,19,24,-,-,-,-,-,-,-,97,10,10,9,21,19,24
"S00135444",89,18,6,22,38,2,1,5,1,-,1,2,1,-,84,17,6,21,36,4,1
"S00135445",134,14,7,15,27,28,46,1,-,-,-,-,1,-,133,14,7,15,27,27,46
"S00135446",156,28,6,9,21,33,59,2,-,-,-,-,1,1,153,28,6,9,21,32,58
"S00135447",130,23,15,17,37,28,12,6,1,2,-,2,1,-,124,21,14,17,35,27,12
"S00135448",151,44,5,43,48,7,4,3,2,-,-,3,-,-,146,40,5,43,45,7,4
"S00135449",98,5,3,3,5,10,72,4,-,-,-,2,2,2,96,5,3,3,4,5,71
"S00135450",91,6,5,5,10,16,47,2,-,1,-,-,-,-,89,6,4,5,10,16,46
"S00135451",69,1,4,7,9,14,36,2,-,-,2,-,-,-,68,1,4,6,9,14,36
"S00135452",62,5,6,6,11,18,14,2,-,-,1,1,1,-,59,5,6,6,10,21,14
"S00135453",102,9,4,35,22,19,12,4,2,1,2,-,-,-,98,8,4,33,22,19,12
"S00135454",117,22,7,33,33,12,8,1,-,-,-,-,1,-,116,22,7,33,33,7,8
"S00135455",106,13,12,13,20,20,33,1,-,-,1,-,-,2,101,13,12,9,20,20,32
"S00135456",84,16,2,8,21,26,16,2,-,1,-,-,1,-,86,16,1,8,21,25,16
"S00135457",64,3,-,7,12,13,29,1,-,-,-,-,-,1,63,3,-,7,12,13,28
"S00135458",78,11,10,7,17,20,9,-,-,-,-,-,-,-,78,11,10,7,17,20,9
"S00135459",121,8,9,14,16,24,52,3,-,-,-,-,3,-,122,8,9,14,16,20,52
"S00135460",120,10,8,15,24,22,40,-,-,-,-,-,-,-,120,10,8,15,24,22,40
"S00135461",131,27,13,13,22,19,34,-,-,-,-,1,-,-,129,27,12,13,21,19,34
"S00135462",156,24,10,8,27,46,34,6,2,2,-,3,-,1,151,23,13,8,25,46,33
"S00135463",146,17,9,19,27,45,37,3,1,-,-,1,1,-,145,16,9,19,22,44,37
"S00135464",102,11,10,19,23,21,18,3,-,1,-,-,-,2,99,11,9,18,23,21,17
"S00135465",106,10,3,12,16,30,35,3,-,-,-,-,-,3,103,10,3,12,16,30,32
