Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00144677",55,13,9,2,7,-,13,-,8,3,-,2,2,20,-,2,-,3,-,12,4
"S00144678",78,25,26,14,7,6,15,3,4,-,1,2,3,12,-,1,-,3,1,5,2
"S00144679",44,16,5,2,2,-,11,-,3,3,1,1,3,12,-,-,-,2,-,2,7
"S00144680",63,14,15,4,7,7,26,4,5,4,3,4,4,11,-,4,-,1,-,3,3
"S00144681",43,19,9,5,6,2,11,-,2,3,-,4,1,4,-,-,-,-,-,2,2
"S00144682",68,15,23,4,6,10,18,-,2,3,3,1,4,9,-,2,-,4,-,1,4
"S00144683",37,4,11,2,3,7,17,3,2,3,4,3,2,6,-,1,2,-,-,2,2
"S00144684",41,9,6,2,3,2,14,2,2,4,1,3,4,8,-,1,-,-,-,4,2
"S00144685",30,12,5,-,-,4,6,-,1,1,4,-,1,7,-,1,-,-,-,2,3
"S00144686",42,21,8,3,2,3,3,-,-,2,-,1,-,10,-,-,1,-,2,-,9
"S00144687",62,4,-,-,-,-,23,2,-,5,6,5,5,35,-,1,2,7,1,16,9
"S00144688",46,20,10,2,1,7,3,-,1,-,1,-,-,13,-,1,1,1,1,6,2
"S00144689",44,11,7,2,2,3,10,-,2,-,4,-,-,19,-,7,2,1,1,5,4
"S00144690",83,9,7,1,1,2,19,2,2,4,1,7,1,44,-,7,1,8,3,9,14
"S00144691",43,11,9,1,3,5,8,-,-,2,1,2,4,18,-,6,2,1,-,7,-
"S00144692",29,3,3,-,3,-,10,1,2,3,1,1,4,13,-,3,-,2,-,9,-
"S00144693",58,1,22,2,14,8,27,6,-,5,9,2,3,10,-,-,2,5,-,-,3
"S00144694",48,8,16,10,6,2,15,5,1,5,2,1,4,9,-,-,-,2,1,4,1
"S00144695",43,12,6,1,4,3,12,1,3,3,3,2,-,8,-,-,-,1,-,5,4
"S00144696",46,17,8,4,2,1,8,1,1,3,1,1,1,16,-,4,-,-,1,7,4
"S00144697",33,-,10,3,3,4,15,2,4,6,2,-,1,5,-,-,-,4,-,3,-
"S00144698",42,6,15,3,5,7,17,1,2,10,-,2,4,4,-,2,-,-,-,-,3
"S00144699",41,8,9,4,5,1,10,-,2,2,2,3,2,14,-,1,1,3,1,3,3
"S00144700",48,10,11,3,7,2,9,4,-,4,2,-,1,18,-,-,-,3,2,6,6
"S00144701",40,6,9,1,5,3,19,3,3,-,6,3,3,6,-,2,-,1,-,-,4
"S00144702",56,4,10,4,1,5,26,4,3,5,7,4,2,17,-,1,1,5,2,2,6
"S00144703",57,16,19,4,8,11,14,3,3,-,5,1,3,8,-,4,-,2,-,2,-
"S00144704",36,12,6,3,1,2,5,2,2,2,1,3,-,10,1,1,1,3,1,-,3
"S00144705",76,19,16,5,5,6,12,3,3,1,5,1,-,29,-,5,1,3,2,8,11
"S00144706",63,19,11,2,2,7,18,4,-,5,3,1,3,16,-,-,-,4,1,4,6
"S00144707",47,11,13,3,5,9,10,1,3,4,2,-,1,13,-,-,3,-,1,1,7
"S00144708",57,25,7,4,1,2,11,-,2,2,3,1,3,11,-,-,1,2,2,3,6
"S00144709",58,17,19,9,10,1,14,-,4,1,4,1,4,6,-,-,-,5,-,4,-
"S00144710",38,7,10,6,1,3,8,5,-,-,2,-,1,13,-,-,3,4,-,1,8
"S00144711",34,7,6,-,1,4,12,2,3,1,7,1,2,7,-,4,-,-,-,-,3
"S00144712",55,21,15,4,3,8,10,-,4,1,-,-,2,12,-,2,1,1,-,5,2
"S00144713",51,3,4,1,2,-,19,5,-,6,2,2,3,22,-,-,-,2,-,13,8
"S00144714",53,16,6,5,-,3,7,-,-,2,4,2,2,21,-,3,-,1,-,9,6
"S00144715",59,15,16,7,5,1,13,-,2,-,4,-,2,12,-,4,1,3,-,3,1
"S00144716",49,5,14,4,5,5,15,-,2,6,2,1,2,8,-,1,-,-,-,6,6
"S00144717",60,17,9,2,5,2,16,1,4,4,5,2,4,17,-,1,2,5,1,4,2
"S00144718",45,14,17,2,8,8,11,-,2,1,-,1,3,6,-,1,1,-,1,-,3
"S00144719",47,15,8,2,-,5,8,-,-,3,3,1,-,16,-,1,1,4,-,9,-
"S00144720",36,13,3,-,3,1,7,2,1,-,2,-,-,13,-,1,-,4,-,7,1
"S00144721",74,10,16,6,10,3,27,1,3,7,2,5,5,20,-,7,-,-,-,12,1
"S00144722",54,8,13,2,7,4,23,2,7,3,5,4,4,6,-,-,-,-,-,4,2
"S00144723",58,-,4,-,-,5,22,1,1,1,6,5,6,29,1,3,-,6,4,3,15
"S00144724",59,12,16,3,6,6,15,4,4,4,4,1,1,14,-,3,-,1,-,9,-
"S00144725",32,6,11,5,4,2,5,-,1,1,-,1,-,10,-,1,2,5,-,1,1
"S00144726",60,22,14,-,5,11,8,-,2,1,-,1,3,18,-,2,-,1,-,10,5
"S00144727",46,21,6,2,-,4,6,-,1,2,-,1,-,12,-,1,-,1,2,5,3
"S00144728",70,29,13,5,3,6,15,2,2,3,2,1,2,12,-,2,-,3,-,2,3
"S00144729",33,9,2,-,1,1,11,3,-,3,2,-,-,11,-,-,-,-,-,5,5
"S00144730",55,16,14,4,2,7,14,1,5,2,2,2,4,16,-,4,-,3,-,6,1
"S00144731",54,11,12,5,3,4,13,-,3,-,7,-,-,16,-,4,1,4,-,4,5
"S00144732",42,7,15,1,6,6,4,-,-,-,5,-,-,16,-,2,2,4,1,4,2
"S00144733",65,16,12,4,4,3,21,-,6,5,4,2,4,17,-,5,2,3,-,3,6
"S00144734",44,13,14,2,6,6,8,-,4,2,2,1,2,6,-,4,-,-,-,2,-
"S00144735",60,18,15,5,5,5,12,-,1,4,5,3,4,17,-,-,2,1,4,7,5
"S00144736",53,18,10,1,2,7,10,2,-,1,2,2,2,11,-,-,2,3,-,4,3
"S00144737",64,17,13,3,2,8,14,2,2,3,3,-,2,27,-,1,-,9,2,5,13
"S00144738",40,10,7,1,1,5,10,1,2,-,-,2,5,13,-,6,2,-,-,1,1
"S00144739",46,10,8,4,3,-,17,2,3,3,5,3,3,11,-,-,-,2,-,3,6
"S00144740",40,20,11,2,6,3,6,-,-,-,2,-,4,3,-,-,1,-,-,2,-
"S00144741",42,6,13,3,5,6,9,-,3,3,2,2,1,10,-,1,-,-,-,7,1
"S00144742",48,13,6,1,4,1,17,2,3,7,1,3,4,12,2,-,-,5,2,2,3
"S00144743",49,13,11,-,4,6,16,-,3,1,6,3,2,9,-,3,1,2,-,2,2
"S00144744",53,22,7,2,2,3,13,-,4,1,3,1,6,13,-,-,-,1,-,4,6
"S00144745",46,14,13,7,4,3,7,-,-,1,2,-,3,15,-,4,1,2,-,1,5
"S00144746",55,14,15,3,6,6,13,-,6,3,-,-,1,13,-,2,1,1,-,7,3
"S00144747",50,33,20,-,15,6,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00144748",46,23,16,2,9,5,3,-,-,-,-,-,1,4,-,2,-,-,-,1,2
"S00144749",45,10,10,5,3,2,20,1,3,-,2,5,4,6,-,-,-,1,1,4,2
"S00144750",63,20,28,8,7,10,13,5,6,1,2,2,-,5,-,2,-,-,-,1,-
"S00144751",45,18,8,-,3,5,3,-,1,1,2,-,-,13,-,1,-,3,1,8,2
"S00144752",47,12,13,4,-,9,10,3,1,-,-,2,1,12,-,-,1,-,-,2,3
"S00144753",59,17,13,7,2,4,18,-,-,4,8,3,5,9,2,-,-,3,-,-,4
"S00144754",50,10,13,3,4,3,16,4,1,4,1,2,4,14,-,-,-,4,-,9,1
"S00144755",53,20,22,3,11,7,14,-,4,2,1,-,5,1,-,-,-,-,-,1,-
"S00144756",31,11,6,2,3,3,6,-,1,-,1,-,1,8,1,2,2,-,-,2,3
"S00144757",61,29,16,3,5,8,5,-,-,-,2,4,3,9,-,-,-,3,-,2,2
"S00144758",48,10,11,5,3,4,10,-,3,1,1,2,3,20,-,1,-,-,1,9,5
"S00144759",58,14,12,1,3,7,21,-,1,5,6,2,7,7,-,1,-,2,-,1,1
"S00144760",28,13,4,-,2,2,2,-,-,-,-,1,-,8,-,1,1,3,-,1,1
"S00144761",60,17,18,5,5,8,14,3,3,3,2,1,3,11,-,2,3,3,-,2,1
"S00144762",37,20,3,1,2,-,9,1,-,1,1,-,6,2,-,1,-,-,-,2,1
"S00144763",37,8,12,2,4,6,7,1,1,1,3,-,1,11,-,4,-,1,1,2,5
"S00144764",40,7,7,-,4,6,15,-,7,1,4,2,4,7,-,3,-,1,-,3,-
"S00144765",41,6,15,7,4,5,9,-,1,-,1,3,4,10,-,2,1,2,-,6,-
"S00144766",70,26,23,6,11,6,14,-,4,3,4,2,1,7,-,2,-,2,-,2,2
"S00144767",54,10,15,3,6,10,14,1,1,2,4,3,3,14,-,6,2,2,-,1,1
"S00144768",48,8,16,2,7,5,13,-,4,-,2,2,1,6,-,5,-,2,2,4,1
"S00144769",47,11,11,4,2,5,13,2,-,4,12,-,1,8,-,4,1,2,-,-,3
"S00144770",49,5,20,5,6,6,15,2,3,2,4,1,5,10,-,2,-,3,-,2,5
"S00144771",43,10,8,2,2,5,8,-,4,2,-,1,3,14,-,1,-,2,-,12,-
"S00144772",50,10,15,2,9,4,17,-,-,3,8,1,1,8,-,2,-,-,-,2,4
"S00144773",66,40,13,5,7,1,6,-,-,-,2,2,2,7,-,-,-,-,-,1,6
"S00144774",54,18,18,6,6,5,6,-,4,1,-,-,-,12,-,1,3,1,-,2,1
"S00144775",32,13,5,1,2,-,4,-,5,-,-,-,2,10,-,2,-,-,2,3,2
"S00144776",65,22,16,5,6,5,14,2,1,2,1,2,4,13,-,2,-,1,-,6,4
"S00144777",59,13,15,4,9,1,17,-,5,5,3,-,3,15,-,4,1,2,-,4,4
"S00144778",74,27,20,7,5,8,12,2,-,3,4,2,1,15,-,2,-,3,-,9,3
"S00144779",38,8,10,2,4,4,8,-,6,1,-,2,-,12,-,3,-,1,2,6,-
"S00144780",49,14,11,1,4,6,7,1,-,1,-,1,2,18,-,5,-,1,-,12,2
"S00144781",40,19,5,2,1,1,7,-,1,1,1,2,1,9,-,1,-,2,-,5,2
"S00144782",32,6,5,1,3,1,7,2,1,2,1,1,1,12,-,3,3,1,-,-,4
"S00144783",51,11,12,3,3,6,21,-,7,3,3,5,3,7,-,1,1,-,-,3,-
"S00144784",61,13,11,4,4,3,20,-,2,6,3,3,4,17,-,4,-,6,1,4,3
"S00144785",66,21,28,6,17,5,13,2,4,-,3,-,2,4,-,1,-,-,-,2,2
"S00144786",65,21,16,1,6,9,13,1,3,5,2,3,-,16,-,5,-,1,1,4,8
"S00144787",43,7,10,4,3,7,5,-,-,-,1,2,4,19,-,5,2,5,-,8,2
"S00144788",66,17,21,-,9,10,12,-,9,1,-,-,3,18,-,8,5,1,1,4,1
"S00144789",53,52,1,2,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-
"S00144790",79,22,19,5,5,4,19,-,9,4,1,2,2,17,-,2,2,-,-,3,6
"S00144791",42,18,13,2,8,3,4,-,-,2,-,-,-,8,-,2,-,-,1,3,-
"S00144792",61,26,15,4,9,2,12,2,1,3,4,-,5,8,-,3,-,-,-,4,1
"S00144793",69,27,29,9,9,11,11,-,4,-,2,1,3,5,-,3,1,-,1,-,-
"S00144794",38,12,5,1,2,2,7,-,-,4,1,2,2,14,-,4,-,1,-,5,6
"S00144795",53,25,10,-,2,7,8,-,3,1,-,2,1,9,-,2,1,1,-,2,2
"S00144796",50,6,19,4,9,8,11,-,3,4,4,-,2,14,-,5,1,1,1,4,2
"S00144797",61,15,17,2,12,3,20,2,6,3,1,3,3,8,-,1,-,-,1,3,4
"S00144798",46,10,17,5,5,7,11,-,1,3,1,-,4,6,-,-,-,3,-,5,1
"S00144799",56,23,11,-,7,3,11,-,2,2,-,-,6,11,-,-,2,-,2,2,4
"S00144800",38,18,1,-,1,-,9,-,1,4,2,1,1,9,-,1,2,2,1,3,-
"S00144801",42,12,9,1,4,4,7,2,-,2,2,2,2,14,-,2,-,4,4,5,4
"S00144802",50,8,13,-,4,6,13,-,1,4,2,-,2,20,-,10,1,-,1,2,6
"S00144803",42,17,4,1,-,2,9,-,2,1,4,-,2,10,-,-,-,1,-,4,4
"S00144804",41,14,12,6,2,5,10,1,2,2,-,2,4,5,-,1,-,-,2,1,2
"S00144805",52,18,15,-,5,8,11,-,2,1,2,1,3,8,-,-,-,-,-,6,2
"S00144806",79,32,15,1,8,10,22,1,8,4,-,2,5,10,-,3,-,-,-,3,4
"S00144807",42,13,15,3,7,5,8,-,-,1,4,-,4,4,-,1,-,1,-,-,-
"S00144808",46,22,8,-,2,4,8,-,4,-,-,1,-,10,-,4,1,-,-,6,1
"S00144809",61,20,4,-,2,3,6,-,1,2,2,2,-,24,1,5,-,4,-,9,6
"S00144810",45,12,5,-,1,3,8,-,3,3,-,-,-,20,-,2,2,3,-,8,4
"S00144811",45,22,6,-,2,4,3,-,1,1,-,-,-,11,-,2,1,-,-,3,6
"S00144812",61,22,18,9,4,6,12,1,3,7,1,3,4,5,-,-,-,1,-,4,-
"S00144813",44,17,19,4,14,4,6,-,4,-,1,-,1,6,-,-,-,-,-,1,2
"S00144814",49,20,6,-,1,5,6,-,-,1,1,3,1,16,-,4,2,-,2,3,3
"S00144815",47,43,3,1,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00144816",43,9,17,4,7,6,8,-,1,3,1,1,1,7,-,1,-,-,-,2,2
"S00144817",32,15,4,1,1,-,4,1,-,1,-,-,-,9,-,1,1,2,-,3,2
"S00144818",46,30,12,3,4,5,3,1,1,-,-,-,2,2,-,2,-,1,-,-,-
"S00144819",35,11,10,2,-,7,10,-,5,1,-,2,-,1,-,-,-,-,-,1,-
"S00144820",62,15,29,5,12,12,16,3,4,1,5,3,-,5,-,1,-,-,-,2,2
"S00144821",73,28,13,2,6,5,15,2,6,4,2,-,2,13,-,1,-,1,-,6,4
"S00144822",67,17,27,4,11,16,11,-,4,4,-,-,3,10,1,4,-,-,-,2,2
"S00144823",40,12,11,-,5,7,9,1,2,3,-,2,2,7,-,2,-,2,1,3,-
"S00144824",44,8,10,2,4,3,10,-,1,4,1,6,2,13,-,3,2,-,-,3,3
"S00144825",53,26,16,3,9,2,12,3,5,1,-,2,2,4,-,1,-,-,-,3,-
"S00144826",36,8,11,3,3,5,6,-,3,2,-,-,3,12,-,2,1,4,-,3,4
"S00144827",43,18,5,-,3,2,6,1,-,2,1,-,2,14,-,1,1,1,-,8,3
"S00144828",71,45,21,9,6,3,5,-,1,-,1,-,2,-,-,-,-,-,-,-,-
"S00144829",44,23,5,-,3,4,9,-,-,4,-,3,2,4,-,1,-,-,-,1,2
"S00144830",47,11,8,1,2,5,11,1,1,2,-,1,4,20,-,1,1,2,1,11,4
"S00144831",52,24,23,11,9,3,7,-,4,2,1,-,-,-,-,-,-,1,-,-,1
"S00144832",46,21,6,1,1,4,6,2,1,1,2,2,-,15,-,2,-,1,-,7,2
"S00144833",66,23,27,-,23,7,13,-,4,-,-,2,9,6,-,2,1,1,-,-,2
"S00144834",63,20,15,5,3,5,15,1,4,1,2,3,4,13,-,2,-,3,1,4,2
"S00144835",61,22,23,5,11,4,14,-,6,3,3,2,-,6,-,2,1,1,-,1,4
"S00144836",48,13,13,5,5,3,8,-,3,2,-,1,1,14,-,1,4,5,-,4,1
"S00144837",46,11,7,1,3,3,6,-,2,-,3,1,1,13,-,-,1,4,-,4,5
"S00144838",49,9,13,4,5,3,19,-,7,3,8,2,2,8,-,2,3,1,2,-,-
"S00144839",44,19,4,5,1,1,8,-,-,2,4,-,-,7,-,2,-,2,1,-,7
"S00144840",52,17,19,-,10,7,10,-,5,-,1,1,3,8,-,3,-,-,-,3,1
"S00144841",66,17,20,6,7,6,22,1,1,5,5,-,8,7,1,1,-,2,-,3,2
"S00144842",42,11,9,5,2,3,10,1,-,3,3,3,-,14,-,2,2,2,-,1,6
"S00144843",62,18,23,7,8,15,15,-,6,3,1,-,5,7,-,3,-,-,-,3,-
"S00144844",83,21,11,4,3,4,12,1,4,2,2,1,2,42,-,5,-,7,2,19,9
"S00144845",61,24,21,-,11,8,10,-,6,2,1,-,2,6,-,3,1,-,-,3,1
"S00144846",49,11,6,-,2,4,14,4,-,3,1,1,4,21,-,1,-,3,2,4,6
"S00144847",47,14,15,3,9,3,12,-,2,2,3,-,2,7,-,-,1,-,-,-,4
"S00144848",47,7,8,1,4,5,17,-,3,1,4,4,3,7,-,1,-,3,-,3,3
"S00144849",49,15,14,3,8,3,15,-,4,10,1,4,1,5,-,2,-,-,-,3,1
"S00144850",77,42,17,4,9,4,17,1,1,3,4,4,2,-,-,-,-,1,-,-,-
"S00144851",33,14,8,2,3,3,7,1,1,-,2,-,2,5,-,2,2,-,-,1,2
"S00144852",62,22,20,4,11,6,6,-,1,3,2,-,-,10,-,4,2,-,-,3,7
"S00144853",37,8,13,2,3,5,4,-,2,4,1,-,-,9,-,2,1,-,-,-,6
"S00144854",51,5,15,5,13,2,22,1,10,4,4,1,4,5,-,4,-,-,-,1,-
"S00144855",60,14,31,3,14,14,7,1,3,-,2,-,-,8,-,3,-,1,-,4,-
"S00144856",43,14,10,4,-,6,8,1,1,1,3,1,-,12,-,1,-,-,-,5,5
"S00144857",49,11,13,-,8,5,13,-,2,4,1,2,4,9,-,7,-,-,1,6,1
"S00144858",50,15,18,-,14,7,7,-,4,1,-,1,1,7,-,-,2,-,-,-,2
"S00144859",82,19,42,13,20,11,18,-,3,2,6,4,3,6,-,-,-,2,-,-,4
"S00144860",75,24,13,6,3,5,15,-,4,6,3,2,1,25,-,3,-,2,-,13,8
"S00144861",50,18,17,1,6,6,10,1,2,2,3,-,2,7,-,-,2,2,-,2,3
"S00144862",32,7,7,2,4,1,11,2,4,2,2,-,1,7,-,-,-,1,-,-,4
"S00144863",60,24,24,6,11,6,8,1,4,-,-,-,3,4,-,2,-,1,-,2,-
"S00144864",73,22,19,3,6,10,24,2,6,4,5,-,7,6,-,3,-,-,1,2,-
"S00144865",45,3,17,5,9,3,12,2,3,5,1,-,2,13,-,-,4,5,-,3,5
"S00144866",51,23,8,3,1,4,9,-,1,5,-,1,-,11,-,-,2,1,-,2,5
"S00144867",77,20,13,4,3,5,23,6,3,7,2,4,1,22,-,-,3,6,1,9,3
"S00144868",39,16,6,2,2,3,6,-,3,-,1,-,1,12,-,4,-,-,1,3,4
"S00144869",49,14,13,-,4,7,7,-,2,3,1,-,5,11,-,-,-,-,-,7,3
"S00144870",41,16,6,2,-,4,11,1,3,4,4,1,1,8,-,1,2,-,-,5,1
"S00144871",39,19,9,2,2,5,3,-,-,-,-,1,1,6,-,2,1,1,-,2,-
"S00144872",38,9,14,4,4,6,6,-,2,1,-,1,1,9,1,2,-,1,1,3,2
"S00144873",64,15,25,3,20,5,16,4,9,1,2,-,2,6,-,1,-,3,-,2,1
"S00144874",45,16,3,4,2,2,6,-,4,2,2,-,-,21,-,-,-,5,-,9,3
"S00144875",51,20,7,4,4,1,8,1,-,-,3,1,-,16,-,3,-,2,-,3,5
"S00144876",59,17,20,5,8,7,14,-,4,1,4,-,4,8,-,3,2,-,-,1,2
"S00144877",46,18,12,3,4,4,10,-,-,7,2,4,1,7,-,4,-,2,-,2,1
"S00144878",64,17,20,6,8,8,14,1,2,2,3,1,2,12,-,1,4,2,-,2,3
"S00144879",80,33,12,3,2,7,13,2,1,3,1,4,1,18,-,-,-,4,1,7,5
"S00144880",45,7,16,2,9,5,13,2,5,1,-,2,3,9,-,3,-,-,-,3,3
"S00144881",53,18,15,2,7,3,13,1,6,2,-,2,2,7,-,1,-,5,-,-,1
"S00144882",37,18,17,3,10,4,2,-,-,-,-,2,-,1,-,2,-,1,-,1,-
"S00144883",48,27,6,4,-,-,5,-,-,-,-,2,1,12,-,2,2,1,-,5,4
"S00144884",80,60,15,6,5,6,4,-,2,1,-,-,2,1,-,-,1,-,-,-,-
"S00144885",52,24,7,-,2,4,8,-,1,1,3,2,2,12,-,1,-,4,-,1,4
"S00144886",65,27,24,7,6,11,9,1,2,-,1,2,4,5,-,3,-,-,-,5,-
"S00144887",65,16,22,9,8,5,16,-,4,2,3,3,2,11,-,2,1,2,2,-,4
"S00144888",35,6,12,4,4,4,12,-,3,1,7,2,2,5,-,-,1,-,-,3,1
"S00144889",50,20,6,1,1,3,7,1,-,5,-,-,-,16,-,1,-,1,-,11,3
"S00144890",34,10,10,1,6,3,10,-,3,-,2,3,3,4,-,-,-,-,-,5,1
"S00144891",51,28,5,2,2,3,9,-,-,2,1,-,5,3,-,-,-,2,-,-,1
"S00144892",44,25,8,4,-,4,4,-,1,-,1,-,1,6,-,2,-,2,-,2,1
"S00144893",78,34,16,7,1,7,19,1,-,6,5,4,7,9,-,-,1,1,3,3,1
"S00144894",73,45,21,3,13,5,6,-,1,2,1,-,2,-,-,-,-,-,-,-,-
"S00144895",30,5,7,-,3,2,4,-,2,1,2,-,3,12,-,1,-,4,1,5,1
"S00144896",32,10,10,3,2,6,11,-,3,1,2,1,1,4,-,2,1,-,-,1,-
"S00144897",60,22,17,3,8,8,12,-,3,1,2,4,1,9,-,5,-,1,1,2,1
"S00144898",55,22,17,-,12,2,10,-,5,1,1,-,4,9,-,3,2,-,-,2,2
"S00144899",57,22,10,4,-,6,18,-,-,11,3,-,4,7,-,2,2,1,-,2,1
"S00144900",39,12,14,1,4,8,13,5,2,1,1,3,1,-,-,-,-,-,-,-,-
"S00144901",59,18,14,3,3,9,13,-,4,2,3,1,3,14,-,-,-,3,2,6,2
"S00144902",43,15,11,3,5,3,14,-,3,2,3,1,3,3,-,-,1,-,-,1,-
"S00144903",53,18,16,3,12,6,3,-,4,1,-,-,-,14,-,-,2,-,2,4,4
"S00144904",52,14,20,5,11,4,11,-,2,3,4,1,1,6,-,1,-,1,-,3,2
"S00144905",54,24,6,-,1,3,10,1,3,2,-,2,3,14,-,5,-,2,-,6,4
"S00144906",48,18,12,5,4,3,15,-,4,-,3,-,6,3,-,-,-,1,-,1,-
"S00144907",40,20,8,3,1,4,9,1,3,3,1,-,1,4,-,1,-,-,-,1,6
"S00144908",49,15,14,4,5,8,9,-,3,1,-,-,4,6,-,2,2,1,-,2,1
"S00144909",62,13,18,11,5,5,11,-,4,3,5,-,-,18,-,1,1,2,2,6,6
"S00144910",50,16,12,4,5,3,7,1,2,2,5,-,1,11,2,1,-,-,-,2,6
"S00144911",40,5,13,2,4,5,11,3,1,-,3,1,3,12,-,-,2,2,-,1,7
"S00144912",87,49,28,6,16,6,8,-,-,-,1,-,5,4,-,-,2,-,-,1,1
"S00144913",56,34,9,-,7,2,8,-,2,2,-,1,1,3,-,-,4,1,-,1,-
"S00144914",42,16,12,4,6,2,9,1,1,-,3,-,4,5,-,2,-,1,-,1,1
"S00144915",41,7,6,2,1,4,12,-,-,5,2,1,2,15,-,2,1,4,-,2,6
"S00144916",39,10,10,-,3,1,15,-,7,2,1,1,4,6,-,-,2,-,-,1,4
"S00144917",41,7,2,-,2,-,12,4,4,-,4,3,-,21,-,1,2,5,3,4,6
"S00144918",49,13,19,3,13,3,13,1,4,2,3,1,2,6,-,2,1,2,-,-,1
"S00144919",58,16,11,7,7,1,16,2,1,1,4,4,2,9,-,-,2,-,-,3,4
"S00144920",74,16,17,-,4,9,21,1,1,9,3,3,2,20,-,5,1,3,-,7,2
"S00144921",57,18,20,4,12,5,16,2,6,-,4,1,3,3,-,2,-,-,-,-,-
"S00144922",63,6,12,-,1,9,26,2,1,9,2,6,5,19,-,3,3,2,3,4,8
"S00144923",44,11,12,4,3,5,5,1,-,1,2,-,-,16,-,1,1,1,3,2,3
"S00144924",54,14,11,1,4,6,15,1,5,3,2,-,4,14,-,5,-,5,1,1,-
"S00144925",74,33,26,4,16,6,11,-,4,-,-,-,3,4,-,2,1,-,-,1,2
"S00144926",42,9,10,2,6,2,10,-,4,1,2,-,2,13,-,-,1,4,1,2,4
"S00144927",38,11,3,2,1,-,14,2,3,3,-,1,3,10,-,-,1,1,-,4,4
"S00144928",70,24,20,5,6,9,17,2,1,5,6,2,3,9,-,1,1,-,-,3,3
"S00144929",63,15,15,4,3,8,10,-,3,1,3,1,1,23,-,6,2,1,-,8,6
"S00144930",46,10,13,4,6,1,10,1,1,4,1,2,1,13,-,-,1,4,-,2,6
"S00144931",45,19,7,3,1,4,7,3,-,2,4,1,1,7,-,-,-,4,-,-,-
"S00144932",42,15,12,2,7,9,6,-,2,1,1,1,-,8,-,1,-,-,-,-,5
"S00144933",47,21,7,3,-,4,9,2,1,-,2,2,3,10,-,-,-,-,-,4,6
"S00144934",54,18,12,2,5,5,8,-,4,1,3,-,-,12,-,4,-,-,-,4,6
"S00144935",45,12,17,3,7,7,7,-,2,2,2,-,-,10,1,2,-,-,3,-,3
"S00144936",62,17,20,4,11,4,8,-,-,-,2,-,4,13,-,2,3,5,-,1,4
"S00144937",41,17,4,1,-,3,6,1,2,2,1,2,-,12,-,-,2,2,-,5,4
"S00144938",62,18,17,6,4,8,15,2,2,6,1,1,1,14,-,3,1,-,1,1,5
"S00144939",50,16,9,2,1,4,8,2,1,3,1,-,2,15,2,1,1,3,-,4,5
"S00144940",53,14,15,-,6,8,16,-,6,2,3,1,2,8,-,6,-,1,-,1,1
"S00144941",72,15,30,7,10,9,14,2,7,2,3,-,2,16,-,2,-,5,2,4,7
"S00144942",76,37,21,8,8,6,10,-,2,4,2,-,4,9,-,1,2,-,2,-,3
"S00144943",63,4,26,10,10,6,20,4,3,3,6,1,3,12,-,1,2,-,1,3,5
"S00144944",72,29,9,1,4,1,14,2,-,7,-,-,4,18,-,2,1,3,-,8,6
"S00144945",47,15,11,5,2,4,10,3,1,2,1,2,-,14,-,3,-,2,1,4,4
"S00144946",89,19,21,5,8,9,19,-,2,2,5,2,6,25,-,5,1,3,3,7,6
"S00144947",50,18,10,3,1,6,7,-,2,2,3,-,1,14,-,-,-,1,1,8,3
"S00144948",63,21,8,3,1,3,11,-,4,7,1,2,2,20,-,4,-,5,2,6,7
"S00144949",68,24,14,2,5,7,14,-,4,2,-,4,3,15,-,4,1,3,-,-,1
"S00144950",47,8,10,3,8,3,12,-,-,1,2,4,3,13,-,-,1,3,-,4,5
"S00144951",40,14,7,2,3,2,7,-,2,-,-,-,6,11,-,4,1,2,2,3,1
"S00144952",49,11,5,5,1,1,16,1,1,2,5,5,2,17,-,-,3,2,2,1,8
"S00144953",51,12,15,3,9,3,10,-,2,3,6,1,-,11,-,2,1,2,-,3,5
"S00144954",89,32,36,7,12,17,16,-,10,2,2,-,-,4,-,2,-,2,-,4,-
"S00144955",69,39,17,6,4,7,9,2,1,3,2,-,2,6,-,-,-,1,-,-,2
"S00144956",52,16,5,2,4,2,10,-,-,4,3,2,1,21,-,6,-,3,-,8,5
"S00144957",38,6,11,8,3,3,6,-,2,2,-,-,3,15,-,-,-,1,-,2,8
