Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135344",118,17,15,7,23,29,31,11,-,1,-,-,2,8,11,-,-,-,-,1,9,96,17,14,7,22,26,14
"S00135345",165,34,15,37,32,40,11,6,-,-,1,-,2,3,18,2,3,1,2,4,4,144,32,11,35,29,34,4
"S00135346",136,18,5,10,22,18,63,10,2,-,1,-,-,8,19,-,-,1,4,3,16,103,17,5,8,19,15,39
"S00135347",91,16,2,20,24,13,9,4,-,-,-,-,1,-,7,-,-,2,2,-,3,83,16,2,18,21,14,4
"S00135348",130,24,14,8,16,28,44,1,-,-,-,1,-,1,19,-,-,-,-,4,18,106,24,14,8,15,24,25
"S00135349",127,20,6,14,26,27,34,10,-,-,1,1,-,7,21,1,2,2,4,3,10,96,19,5,13,21,23,17
"S00135350",131,32,11,39,33,15,1,5,-,-,2,-,2,1,9,1,-,1,3,4,-,116,31,11,39,30,9,-
"S00135351",224,73,9,47,78,14,3,4,2,-,1,-,-,1,15,1,-,3,5,4,1,205,70,9,42,75,10,1
"S00135352",161,22,10,15,28,31,55,12,2,1,-,-,2,7,22,1,-,-,-,1,14,131,16,8,15,27,24,34
"S00135353",206,64,12,37,72,17,4,-,1,-,-,-,-,-,10,3,-,1,4,-,1,194,60,12,35,69,16,4
"S00135354",105,30,6,25,35,5,-,3,1,-,-,-,2,-,3,-,-,-,1,-,-,97,28,6,25,34,4,-
"S00135355",124,34,4,33,35,17,1,2,-,-,-,-,2,-,4,2,-,-,-,1,-,115,29,4,32,35,14,1
"S00135356",126,15,12,27,30,33,12,8,-,-,1,1,3,4,10,-,1,-,-,2,-,111,15,11,27,27,28,5
"S00135357",228,64,23,27,77,24,9,3,1,-,-,-,-,-,8,-,1,1,-,4,-,217,61,22,24,77,24,9
"S00135358",137,20,9,49,35,19,4,4,-,-,-,1,1,-,6,-,1,-,2,1,-,128,20,7,49,32,16,4
"S00135359",123,10,14,9,15,26,49,7,-,2,-,-,-,5,23,2,1,-,2,5,13,94,6,11,9,13,21,32
"S00135360",129,6,9,24,26,34,26,5,-,-,-,2,-,5,14,1,-,4,-,4,2,107,4,6,26,24,32,19
"S00135361",117,20,7,7,19,18,47,10,-,2,-,-,-,10,20,2,-,-,2,2,14,87,19,5,7,17,15,24
"S00135362",132,19,7,13,21,26,47,14,2,1,-,-,2,10,16,1,-,-,1,2,10,103,16,6,13,20,23,25
"S00135363",174,57,7,39,60,6,-,4,1,-,-,2,-,-,11,2,-,3,4,1,-,159,54,7,37,55,4,-
"S00135364",165,17,13,10,21,42,64,10,-,-,-,-,1,8,26,1,1,1,4,6,11,129,16,10,9,18,35,41
"S00135365",119,18,11,4,23,24,42,8,1,-,-,3,3,3,20,1,1,-,2,4,12,91,16,10,4,16,18,25
"S00135366",112,12,6,12,15,29,36,3,-,-,1,-,-,1,9,2,-,2,-,4,4,97,11,6,12,17,24,31
"S00135367",82,9,7,7,14,21,24,4,-,1,-,-,-,3,8,-,-,1,-,1,5,70,9,6,6,14,19,16
"S00135368",131,25,18,26,25,29,10,5,-,-,3,-,-,4,13,1,1,3,-,6,2,110,28,13,18,25,22,1
"S00135369",128,26,20,18,33,21,10,3,1,-,-,-,-,1,11,-,-,-,3,2,7,114,27,20,18,29,16,4
"S00135370",72,10,6,11,9,23,11,3,2,-,-,-,-,1,5,-,1,-,-,4,-,61,8,4,11,9,19,10
"S00135371",149,25,13,28,33,37,14,3,-,-,-,-,-,1,16,-,1,1,1,5,5,132,25,12,27,30,30,8
"S00135372",152,48,8,25,47,18,5,11,3,-,-,3,3,1,5,-,-,2,3,2,-,133,44,8,23,41,13,4
"S00135373",226,34,23,24,55,58,32,5,-,1,-,-,1,3,15,-,2,-,1,4,7,205,34,20,23,54,53,22
"S00135374",141,26,10,28,35,24,18,4,-,-,-,1,-,3,15,-,2,4,4,2,4,122,26,10,24,30,22,14
"S00135375",98,20,8,34,25,11,2,1,1,-,-,-,-,-,9,2,1,5,4,-,-,86,17,5,30,21,11,2
"S00135376",75,19,12,3,11,8,19,-,-,-,-,-,-,-,6,1,1,-,-,1,2,67,22,11,3,10,7,15
"S00135377",119,18,12,23,19,32,17,1,-,-,-,-,1,-,7,1,-,-,1,3,2,112,12,12,23,18,28,15
"S00135378",127,35,16,10,39,18,9,-,1,-,-,-,-,-,9,2,-,-,4,-,1,116,33,16,10,35,16,4
"S00135379",60,6,4,4,12,23,10,-,-,-,-,-,-,-,11,-,1,-,2,4,4,49,6,3,4,10,19,7
"S00135380",132,16,13,14,22,44,23,4,-,-,-,-,-,4,8,-,1,-,-,2,3,117,16,12,14,20,42,16
"S00135381",133,28,17,26,30,26,7,-,-,-,-,-,-,-,4,-,-,-,1,3,2,127,28,17,26,28,23,2
"S00135382",101,17,13,8,35,15,13,1,-,-,1,-,-,-,8,-,-,-,2,1,2,95,17,13,10,29,14,12
"S00135383",153,42,13,19,50,19,2,-,-,-,-,-,-,-,8,5,1,1,2,-,-,144,38,16,18,52,21,2
