Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00146290",111,11,11,8,16,37,25,9,-,-,-,-,4,7,12,-,1,-,1,3,7,87,11,12,8,15,30,13
"S00146291",80,8,7,3,11,22,26,9,-,-,-,2,4,4,10,-,-,-,2,1,7,57,8,7,3,8,17,15
"S00146292",72,4,5,3,8,10,41,11,-,-,1,-,3,7,13,-,-,-,-,-,12,49,4,5,3,7,7,24
"S00146293",86,8,4,4,10,18,45,11,2,-,-,-,-,9,10,-,-,-,1,2,9,62,8,4,4,6,15,26
"S00146294",84,12,4,5,15,21,28,9,-,-,-,-,3,6,11,-,-,1,1,5,6,62,12,4,4,14,13,16
"S00146295",132,11,3,8,22,38,56,18,2,-,-,1,7,8,40,-,2,3,4,12,21,73,8,1,2,16,19,27
"S00146296",200,28,20,21,34,52,42,14,3,1,-,2,2,8,30,2,-,2,3,11,12,154,24,19,18,29,42,22
"S00146297",116,18,17,4,10,33,34,4,1,1,-,-,-,-,21,-,2,-,1,5,13,91,17,17,4,9,26,21
"S00146298",131,19,13,12,24,36,30,17,-,-,-,2,6,9,15,-,3,-,1,7,7,99,19,11,12,25,25,14
"S00146299",154,24,13,8,32,39,38,14,1,1,1,-,3,5,30,2,-,1,6,6,14,113,21,8,6,25,33,19
"S00146300",82,18,7,11,17,16,10,9,-,-,2,2,1,2,13,2,-,1,3,6,-,60,18,7,8,12,9,4
"S00146301",71,7,5,11,9,18,21,13,-,1,1,2,3,7,13,1,2,1,-,2,5,42,6,2,9,5,14,9
"S00146302",117,22,10,14,20,29,24,20,1,-,2,2,4,14,27,2,3,3,6,6,7,70,19,7,11,12,15,6
"S00146303",99,21,5,12,25,20,16,12,2,-,1,2,2,2,8,2,-,-,1,2,3,82,21,5,11,22,17,10
"S00146304",144,26,18,14,27,29,30,24,3,4,-,1,7,8,30,2,3,5,5,4,7,94,24,12,9,20,20,9
"S00146305",61,9,4,5,14,7,22,8,-,-,-,-,-,4,13,3,-,-,2,2,8,39,7,4,5,12,4,7
"S00146306",126,15,12,8,14,38,39,8,2,-,-,-,2,5,19,-,1,2,2,6,7,103,14,11,7,12,32,27
"S00146307",125,14,8,17,21,31,34,14,1,-,-,-,3,9,22,1,1,-,3,5,10,89,12,6,17,18,21,15
"S00146308",112,7,5,10,18,25,47,33,-,-,1,2,8,22,18,-,-,2,5,4,9,61,7,5,7,9,15,16
"S00146309",108,16,17,9,29,22,17,19,-,-,-,2,6,9,13,1,-,1,3,2,3,76,15,13,8,17,14,5
"S00146310",115,22,2,9,18,21,47,17,-,1,-,2,1,12,20,-,-,-,-,4,13,78,15,2,9,16,16,19
"S00146311",147,25,12,17,27,37,29,14,1,-,-,-,7,3,15,4,-,2,2,2,4,123,20,12,18,25,28,19
"S00146312",101,23,6,11,15,20,23,17,5,-,2,-,3,7,16,2,1,2,3,1,6,68,15,2,8,12,20,10
"S00146313",165,14,4,12,22,63,54,17,1,-,1,-,4,7,28,-,-,-,4,12,12,124,13,4,11,15,47,31
"S00146314",104,13,8,12,17,32,23,19,2,-,1,2,4,8,13,-,3,-,3,6,2,72,11,5,9,11,22,14
"S00146315",88,18,10,4,18,13,25,9,1,-,-,2,-,7,17,2,-,4,5,1,7,62,16,10,-,13,13,8
"S00146316",96,11,6,6,13,20,40,29,1,-,1,2,2,22,11,-,-,-,-,4,7,53,10,6,5,11,13,11
"S00146317",134,30,15,17,21,26,23,13,3,-,-,2,1,5,20,4,-,-,4,7,5,102,23,14,17,20,18,15
"S00146318",81,18,6,10,13,18,18,13,1,-,-,1,5,3,8,3,-,-,-,1,5,60,15,6,10,10,12,4
"S00146319",118,14,6,8,20,35,35,11,-,-,-,-,3,6,21,-,-,-,5,7,8,86,14,5,7,18,26,24
"S00146320",134,17,9,14,11,32,54,22,1,-,-,-,6,11,22,-,-,1,2,2,20,90,13,9,13,9,24,24
"S00146321",75,2,3,4,6,16,46,22,-,-,1,-,6,15,19,-,-,-,-,2,17,37,2,3,1,6,8,14
"S00146322",119,19,1,18,18,24,39,11,-,-,-,-,-,6,12,1,-,1,-,5,4,99,18,1,19,18,17,26
"S00146323",111,18,10,14,16,26,27,9,2,-,-,-,1,6,11,-,-,-,1,3,6,90,16,10,14,15,22,15
"S00146324",105,15,4,19,9,24,36,10,-,-,-,-,2,8,15,1,-,-,2,4,8,80,18,4,19,7,20,17
"S00146325",145,19,7,19,19,54,30,10,1,-,-,-,4,5,22,-,-,1,1,5,12,116,17,7,18,19,43,13
"S00146326",99,13,3,12,14,13,41,13,1,-,1,4,2,8,19,1,-,1,-,-,9,71,11,3,8,10,10,25
"S00146327",102,17,8,32,17,20,8,1,-,-,-,-,1,-,10,-,-,2,-,-,5,91,17,8,29,17,17,3
"S00146328",106,12,4,14,13,9,56,14,-,-,-,-,4,12,13,1,-,-,1,1,12,77,11,4,14,12,6,32
"S00146329",103,19,4,7,13,28,28,12,-,-,-,-,3,9,20,2,-,-,3,4,12,71,18,4,7,18,18,7
"S00146330",115,21,11,25,22,13,21,9,3,-,-,4,-,4,8,-,1,1,2,1,5,91,17,10,24,16,12,15
"S00146331",76,2,7,9,9,19,30,8,-,-,-,-,4,2,14,-,-,-,-,1,12,54,2,7,9,9,14,13
"S00146332",103,17,10,13,22,23,21,8,-,-,-,1,1,5,9,-,-,2,1,4,2,86,15,10,12,20,18,14
"S00146333",155,23,11,33,10,46,32,12,-,-,2,-,5,7,16,2,-,1,2,7,11,124,21,11,30,9,34,19
"S00146334",71,5,3,5,9,14,38,10,-,-,-,1,1,8,17,-,1,-,1,2,13,47,5,1,5,7,9,18
"S00146335",127,15,6,12,21,31,40,9,-,-,-,-,-,6,8,-,-,-,1,3,8,104,15,6,12,20,26,25
"S00146336",128,21,10,16,29,31,22,11,-,-,-,1,4,5,11,-,-,2,2,4,4,107,21,10,14,26,23,10
"S00146337",110,24,7,11,16,26,20,8,-,-,-,3,2,3,16,2,-,1,2,6,8,85,18,7,10,14,20,9
"S00146338",116,11,15,18,17,44,11,7,-,-,3,1,2,1,15,-,3,1,2,7,3,94,11,12,14,15,37,7
"S00146339",118,19,12,22,27,34,6,8,-,-,-,5,-,2,12,-,2,1,-,5,2,98,19,7,19,20,28,2
"S00146340",115,20,12,20,18,26,19,4,-,1,-,1,-,4,20,1,1,2,1,8,7,91,17,10,18,16,18,12
"S00146341",67,17,6,10,10,9,15,6,-,-,1,-,2,1,12,1,2,-,1,2,8,51,16,4,9,9,5,8
"S00146342",159,15,9,14,17,47,57,12,-,-,-,-,2,11,24,1,-,-,2,8,11,123,14,9,14,15,38,33
"S00146343",135,17,5,9,18,34,45,26,1,2,3,1,4,16,19,1,1,-,-,6,9,87,15,-,5,17,24,24
"S00146344",153,19,18,26,26,46,22,6,1,-,-,-,1,3,16,1,4,2,2,5,4,132,16,14,20,24,40,16
"S00146345",106,19,11,18,15,34,13,7,-,-,-,-,1,7,12,-,-,-,5,3,2,90,19,10,18,12,27,4
"S00146346",73,15,1,10,12,26,12,4,-,-,2,-,2,-,4,1,-,-,-,1,2,65,14,1,6,12,22,8
"S00146347",86,3,8,8,6,37,29,17,1,-,1,1,3,11,11,-,-,-,3,1,7,58,1,8,7,3,29,11
"S00146348",138,15,2,18,12,38,49,9,-,-,2,-,1,6,22,-,-,2,-,5,13,107,15,2,17,12,31,29
"S00146349",109,19,6,9,26,25,32,10,-,-,-,2,4,4,22,1,-,1,3,5,12,77,14,6,11,21,12,16
"S00146350",113,22,8,18,19,26,20,12,-,-,-,3,1,7,11,-,-,-,-,2,8,90,21,7,18,16,20,8
"S00146351",81,12,6,14,10,19,20,8,1,1,-,-,1,5,3,-,-,-,-,-,3,66,11,5,14,10,18,12
"S00146352",123,14,12,4,11,39,39,10,-,-,-,-,4,6,18,-,-,-,3,3,11,96,14,12,4,12,32,22
"S00146353",165,33,4,16,22,46,42,15,-,1,-,1,3,12,22,-,1,-,3,9,13,126,32,2,16,20,34,19
"S00146354",149,21,16,18,23,41,34,21,1,-,3,2,5,10,34,3,3,-,4,12,12,94,15,13,11,17,24,12
"S00146355",157,15,8,23,20,42,49,13,-,-,-,-,1,12,18,1,-,-,2,4,11,126,14,8,23,18,37,26
"S00146356",134,31,11,14,25,30,22,13,1,1,4,4,1,6,13,1,-,2,3,4,1,106,31,11,10,20,25,10
"S00146357",92,14,5,6,11,32,21,4,-,-,-,-,3,2,16,-,-,-,1,6,8,72,14,5,6,10,21,11
"S00146358",88,2,2,6,14,20,41,9,-,-,-,2,-,7,15,-,-,-,-,3,11,64,2,2,6,11,17,23
"S00146359",92,19,15,10,19,20,9,10,1,2,-,3,1,-,16,3,-,-,4,3,3,68,19,11,9,12,16,5
"S00146360",119,15,11,8,16,24,50,6,-,-,-,1,-,5,19,-,-,-,-,5,17,94,15,11,8,15,19,25
"S00146361",147,16,14,13,13,38,49,23,-,5,-,5,3,10,18,-,3,-,1,6,11,108,16,6,13,16,32,28
"S00146362",122,26,-,11,27,24,34,7,-,-,-,-,2,4,8,-,-,-,3,1,6,106,26,-,11,24,24,24
"S00146363",85,2,8,5,8,25,28,2,-,-,-,-,-,2,10,-,-,2,-,4,5,73,2,8,7,8,21,26
"S00146364",87,15,7,6,15,24,20,3,-,-,1,-,-,-,12,-,-,-,4,4,6,72,15,7,5,13,20,12
"S00146365",123,26,7,5,27,37,25,8,1,-,-,1,3,1,14,1,4,-,2,5,6,104,20,4,5,24,32,18
"S00146366",149,14,18,10,23,45,39,17,-,-,-,1,7,8,16,1,-,1,1,4,8,116,13,18,9,20,33,23
"S00146367",105,7,3,11,15,20,49,17,-,-,-,-,4,14,17,-,-,-,-,-,12,74,7,3,11,11,16,23
"S00146368",148,45,16,24,28,22,12,13,2,1,1,3,2,5,22,4,2,4,4,1,7,117,40,13,19,22,19,4
"S00146369",128,21,18,13,20,41,14,10,-,-,1,2,2,5,13,1,4,1,3,7,-,104,19,16,11,16,33,8
"S00146370",121,31,3,10,23,26,32,16,-,-,-,3,2,11,19,2,-,-,3,5,9,86,29,3,10,17,12,14
"S00146371",86,5,16,20,17,23,5,10,-,-,-,2,7,2,16,-,4,5,5,-,2,61,5,12,19,8,15,4
"S00146372",105,21,11,17,12,29,16,22,-,-,-,4,10,7,23,4,1,4,2,7,6,64,17,10,12,6,11,4
"S00146373",119,15,9,11,17,35,25,14,-,-,-,-,7,6,19,1,-,2,1,5,9,86,13,9,6,19,28,14
"S00146374",73,11,8,9,16,20,12,17,-,-,1,1,8,7,11,-,-,2,1,4,4,45,11,8,6,12,8,3
"S00146375",193,54,23,34,27,39,19,30,4,2,3,7,9,6,34,10,1,6,1,6,8,129,41,20,28,15,20,5
"S00146376",107,11,9,15,10,26,37,21,-,1,-,1,4,11,16,-,-,-,3,6,11,63,11,7,14,6,10,14
"S00146377",113,14,13,16,20,31,19,23,1,3,-,6,7,6,38,1,3,7,9,12,6,52,12,10,9,5,12,7
"S00146378",64,7,3,15,10,17,8,3,-,-,1,-,-,1,7,-,1,-,-,-,-,54,7,2,12,9,14,6
"S00146379",95,5,6,4,18,27,38,17,-,-,-,1,1,11,13,-,-,-,-,1,5,68,5,6,4,16,18,19
"S00146380",88,7,7,6,13,21,31,12,-,-,-,-,2,10,13,-,-,-,2,5,5,63,7,9,6,11,15,13
"S00146381",83,11,8,6,14,26,17,21,-,1,1,2,9,8,8,2,-,-,-,6,3,51,11,7,8,13,12,4
"S00146382",97,6,11,20,21,25,18,22,1,1,-,3,10,7,25,1,2,6,5,4,6,53,4,10,16,6,10,5
"S00146383",127,25,17,14,22,26,26,13,1,-,-,2,1,8,24,5,2,3,2,6,6,87,16,9,11,18,19,12
"S00146384",81,9,6,15,12,16,22,15,1,-,-,3,4,6,14,-,-,1,-,2,10,52,8,6,12,10,16,6
"S00146385",112,25,10,15,15,28,19,11,-,-,1,-,6,5,14,1,2,1,2,3,8,85,24,8,13,12,19,11
"S00146386",185,66,15,27,55,13,9,21,-,-,-,9,4,6,29,7,-,5,12,3,2,135,57,15,21,32,6,1
"S00146387",160,13,12,13,28,47,47,20,-,2,1,2,2,11,27,-,1,-,8,6,13,113,6,11,12,21,39,23
"S00146388",76,11,11,16,15,15,15,16,-,-,3,3,4,4,14,-,-,4,3,4,3,49,8,11,7,10,8,6
"S00146389",132,34,9,23,21,17,30,17,1,1,2,-,-,11,21,2,-,3,3,5,8,94,31,11,18,12,14,8
"S00146390",103,14,6,19,18,23,23,17,2,-,1,1,6,5,18,-,-,-,1,4,10,69,9,6,17,14,14,8
"S00146391",70,17,7,14,13,13,3,15,2,1,4,3,3,-,3,1,-,5,-,1,1,49,18,5,7,10,9,4
"S00146392",80,15,10,10,10,11,18,14,-,-,-,1,6,5,17,3,2,1,4,3,7,47,15,8,9,7,10,6
"S00146393",97,15,8,9,12,28,24,13,1,1,-,1,6,3,22,1,-,3,3,9,8,62,13,6,6,7,16,13
"S00146394",141,39,25,14,26,23,11,14,1,-,-,2,4,8,11,3,-,-,-,-,2,115,37,25,12,22,17,-
"S00146395",115,17,10,13,29,26,22,30,2,1,4,4,10,7,14,1,2,1,1,4,4,71,14,8,7,27,12,7
"S00146396",112,19,19,11,21,31,12,13,2,-,-,1,8,2,16,2,1,-,3,10,1,82,13,18,10,16,18,4
"S00146397",132,14,8,3,13,37,54,15,-,-,-,-,4,11,22,2,-,-,-,3,18,95,12,8,3,13,34,25
"S00146398",74,14,5,4,15,25,12,2,-,-,-,-,-,2,6,-,-,-,2,1,3,66,14,5,4,13,24,5
"S00146399",143,34,25,12,32,25,17,22,3,3,2,3,5,7,24,5,4,2,4,5,3,99,26,19,8,25,15,6
"S00146400",234,86,25,34,68,20,4,23,2,-,2,8,3,-,24,8,3,4,10,2,1,189,79,20,28,46,12,1
"S00146401",116,22,9,3,23,32,20,9,-,-,-,1,1,4,13,3,-,-,1,2,6,89,18,9,3,22,24,10
"S00146402",101,9,3,10,11,24,40,8,1,-,-,-,2,5,15,1,-,1,1,3,9,78,11,3,9,10,19,26
"S00146403",104,18,11,14,17,25,22,19,-,-,-,3,9,8,24,-,3,3,4,4,9,61,17,8,11,10,12,2
"S00146404",84,15,3,12,19,17,19,18,-,-,2,1,7,9,9,1,-,1,6,3,2,53,14,3,9,12,9,7
"S00146405",189,48,23,22,31,38,27,28,6,3,1,4,6,9,35,8,5,3,4,8,6,125,34,18,18,20,24,8
"S00146406",113,20,11,15,23,24,17,20,2,1,1,5,6,4,19,4,-,2,5,4,4,71,15,10,12,14,10,6
"S00146407",129,15,3,13,18,30,50,36,-,-,1,-,9,26,23,4,-,2,2,6,11,67,11,3,8,10,15,10
"S00146408",109,15,15,9,19,34,17,13,1,-,2,-,6,1,16,1,-,1,2,6,6,84,7,15,6,17,25,8
"S00146409",161,31,10,14,33,29,44,16,2,-,-,4,-,11,11,1,-,2,1,3,4,134,28,9,12,29,26,30
"S00146410",82,11,14,19,18,12,5,3,-,-,2,-,2,2,7,-,3,1,1,-,2,70,11,16,19,15,8,1
"S00146411",151,45,14,19,29,32,16,17,3,-,1,3,3,5,21,4,-,1,3,4,7,116,37,9,17,21,25,3
"S00146412",97,24,3,15,15,23,17,10,1,-,-,1,1,8,5,2,-,-,-,4,-,79,22,5,15,14,18,10
"S00146413",83,14,6,12,10,24,18,16,2,-,1,1,9,1,11,1,-,-,-,3,7,56,11,6,11,9,12,8
"S00146414",67,9,7,5,9,20,15,3,1,-,1,-,-,1,7,1,1,-,2,3,1,57,7,6,2,10,17,13
"S00146415",98,26,12,16,21,16,5,12,-,1,-,2,6,3,13,2,1,1,4,8,-,74,20,10,15,15,8,2
"S00146416",92,14,7,24,15,14,14,12,-,-,2,6,3,4,10,-,-,4,1,2,4,67,14,7,23,8,9,7
"S00146417",118,23,15,20,16,33,12,12,-,-,-,1,6,4,15,-,2,1,2,8,-,91,23,12,18,13,15,6
"S00146418",107,26,12,9,22,28,10,11,-,-,-,1,-,10,12,2,1,-,1,5,2,89,25,11,9,18,23,2
"S00146419",90,25,6,15,20,13,11,10,1,-,-,3,2,4,16,2,-,-,6,3,5,64,22,5,15,11,8,2
"S00146420",74,19,6,12,15,12,8,9,-,-,1,1,1,4,11,1,-,4,3,-,2,54,18,6,7,10,10,2
"S00146421",224,62,15,37,61,34,18,5,2,-,-,1,-,2,17,-,-,4,2,5,8,202,60,15,33,58,31,8
"S00146422",123,18,17,9,23,37,21,13,-,-,-,2,3,6,22,3,-,2,5,9,6,86,11,17,8,18,22,9
"S00146423",82,14,3,17,24,20,6,3,-,-,-,-,-,-,10,1,-,3,1,2,-,70,13,3,16,17,18,4
"S00146424",123,13,12,19,21,30,25,18,1,-,1,-,6,10,24,-,1,4,5,8,7,81,12,11,15,18,16,9
"S00146425",169,24,15,8,25,45,51,6,-,-,-,-,1,5,22,1,2,-,4,5,10,137,23,13,8,21,39,36
"S00146426",111,27,7,23,16,17,22,11,-,-,-,1,3,4,17,4,1,4,1,2,4,81,23,5,17,12,13,11
"S00146427",88,23,10,17,12,12,13,13,3,2,5,-,2,2,12,1,-,4,2,2,4,63,20,9,8,15,9,6
"S00146428",163,49,20,23,46,16,12,26,8,-,1,11,3,5,31,6,1,4,10,4,2,105,34,16,17,21,9,5
"S00146429",158,20,10,20,26,42,47,36,-,-,2,1,7,22,31,2,-,3,4,14,10,88,17,10,10,20,21,11
"S00146430",148,25,16,15,25,31,36,28,-,1,1,4,6,16,25,2,2,1,4,6,10,95,21,13,13,19,15,10
"S00146431",140,15,12,12,22,46,33,23,-,-,-,4,9,10,30,3,3,5,2,10,9,87,12,9,9,14,27,14
"S00146432",100,15,13,14,11,40,10,21,1,1,3,1,6,6,19,1,2,1,2,12,3,63,13,10,10,8,18,-
"S00146433",62,13,2,6,14,8,16,15,1,-,1,3,3,7,13,-,-,4,-,2,5,34,12,2,4,9,3,4
"S00146434",80,11,6,12,10,12,28,9,1,-,4,-,1,5,12,-,1,-,1,3,7,59,10,6,10,9,8,16
"S00146435",145,21,2,46,19,22,30,7,2,-,-,1,2,3,13,-,-,1,1,3,4,128,20,2,45,16,19,23
"S00146436",142,28,18,17,32,22,21,25,2,-,7,4,7,5,24,4,2,2,5,3,6,93,22,13,8,23,20,7
"S00146437",159,37,13,26,25,23,40,22,1,1,-,3,5,12,26,1,1,-,1,4,15,114,35,13,24,16,10,10
"S00146438",67,3,4,8,8,26,17,5,1,-,-,1,2,3,8,-,1,-,-,2,5,53,2,3,8,9,23,9
"S00146439",73,14,9,12,7,15,21,9,-,-,1,-,5,3,17,-,2,5,2,1,7,44,13,7,7,2,8,10
"S00146440",66,3,1,5,7,23,24,9,-,-,1,-,4,2,10,-,-,-,-,-,6,48,3,1,4,4,17,18
"S00146441",176,17,17,7,26,47,62,13,-,-,1,-,2,10,24,3,1,-,5,3,17,139,14,16,5,23,42,39
"S00146442",93,9,4,8,14,28,33,11,-,-,-,1,-,5,17,-,1,-,-,4,9,67,9,3,7,10,22,16
"S00146443",73,8,5,19,9,20,12,12,-,-,3,1,4,4,10,2,-,-,-,1,1,53,6,5,12,8,12,6
"S00146444",69,4,6,5,9,22,27,9,-,-,-,1,3,5,14,-,-,2,-,3,6,49,4,6,4,7,16,13
"S00146445",138,41,14,10,18,44,16,34,5,1,2,1,15,8,15,4,-,-,3,4,3,89,29,12,11,12,21,4
"S00146446",81,13,4,8,11,26,21,5,-,-,-,-,3,2,8,1,-,1,-,2,4,68,12,4,10,11,21,13
"S00146447",154,28,15,8,35,37,31,6,-,1,-,1,1,3,20,1,1,-,1,5,9,128,27,12,8,31,31,19
"S00146448",118,31,12,23,28,17,3,3,-,-,2,1,2,-,8,3,-,-,-,4,2,107,28,12,25,27,13,1
"S00146449",256,64,16,64,53,43,15,5,1,-,1,-,3,-,19,2,1,2,4,4,4,232,61,19,61,49,34,15
"S00146450",143,25,11,8,28,35,32,8,-,-,-,-,-,8,24,-,1,1,4,9,9,113,25,10,7,24,30,15
"S00146451",121,32,24,15,20,18,8,18,-,1,3,4,7,1,20,-,4,5,3,5,4,80,25,18,7,13,10,3
"S00146452",96,18,-,16,13,26,22,16,-,-,1,1,7,7,12,-,-,2,4,3,3,67,16,-,13,10,16,12
"S00146453",188,49,16,28,55,28,8,4,-,-,-,1,-,2,14,4,-,-,8,4,1,171,42,16,28,49,27,6
"S00146454",129,34,13,45,27,4,8,1,-,-,-,-,-,1,6,-,-,-,4,2,-,122,34,12,45,23,3,9
"S00146455",86,13,9,4,17,24,23,7,1,-,-,-,2,2,6,1,-,2,-,1,3,71,7,9,2,17,19,13
"S00146456",71,12,6,10,13,19,14,5,-,-,-,-,2,2,7,1,-,1,-,1,2,61,11,6,5,13,16,9
"S00146457",82,13,5,6,15,17,26,8,-,-,-,1,3,3,12,2,-,3,-,2,6,59,10,5,3,16,7,17
"S00146458",106,12,5,12,14,37,23,12,-,-,-,-,5,6,14,2,-,1,-,6,5,77,10,4,11,14,29,12
"S00146459",98,24,4,26,21,12,15,2,-,-,-,2,-,1,10,2,-,2,-,1,4,90,22,4,24,22,11,9
"S00146460",74,11,8,12,15,10,16,4,-,-,-,-,-,2,9,-,1,2,-,4,4,63,11,10,9,15,8,13
"S00146461",130,35,14,14,30,23,18,4,-,-,-,-,2,-,9,2,1,2,3,-,3,119,34,13,12,28,20,10
"S00146462",102,27,5,27,31,12,5,6,-,-,-,2,1,1,4,-,-,2,-,-,2,93,26,5,25,25,11,2
"S00146463",149,19,7,16,13,41,53,10,1,-,2,-,2,5,23,-,-,-,1,5,16,113,18,7,17,12,38,32
"S00146464",104,14,9,19,22,26,17,5,-,-,2,3,1,2,7,1,-,-,-,2,4,89,13,9,14,19,23,15
"S00146465",128,16,11,7,21,42,35,9,-,-,-,-,-,8,20,3,2,3,-,4,8,99,14,6,6,21,41,19
"S00146466",160,47,11,23,46,26,16,10,3,-,-,1,3,6,12,2,1,2,2,3,4,138,42,8,22,45,20,4
"S00146467",241,78,13,28,73,33,14,9,-,-,-,3,2,3,17,5,3,2,2,2,4,215,72,11,23,69,26,9
"S00146468",179,57,16,29,31,28,11,9,3,3,-,-,3,-,15,3,4,3,1,5,1,153,51,13,26,31,18,10
"S00146469",89,26,13,16,17,23,5,11,-,1,1,3,6,-,15,1,2,2,3,4,3,66,20,8,9,11,13,4
"S00146470",156,43,17,9,42,31,13,5,2,1,-,1,1,-,8,1,-,-,3,3,1,143,40,14,9,38,30,12
"S00146471",176,63,17,32,47,21,-,5,-,-,1,4,-,-,9,2,-,1,4,3,-,162,61,17,30,40,18,-
"S00146472",173,19,8,11,21,61,52,12,1,-,-,-,6,4,28,1,1,-,4,12,11,133,18,7,11,22,45,33
"S00146473",100,28,12,10,23,20,7,17,-,1,1,8,8,3,13,5,3,2,1,1,2,66,23,9,6,17,11,2
"S00146474",142,23,10,27,26,34,18,19,2,2,1,4,5,4,31,3,3,4,5,10,6,96,17,5,22,17,19,11
"S00146475",146,34,14,25,32,28,16,27,-,1,-,7,10,8,24,6,3,-,4,1,4,98,29,10,17,21,13,4
"S00146476",230,77,13,43,56,38,4,3,-,-,-,1,-,-,16,4,-,-,7,5,-,211,73,12,43,51,33,3
"S00146477",72,2,10,5,2,22,31,11,-,-,4,-,1,8,12,-,-,-,1,5,7,49,2,10,3,2,17,16
"S00146478",90,11,5,5,8,27,33,6,-,-,-,-,-,5,13,-,-,-,1,5,7,71,11,5,5,7,21,21
"S00146479",157,28,23,11,41,33,21,28,4,5,1,4,6,10,23,3,4,-,8,5,2,106,23,14,10,29,22,8
"S00146480",78,15,5,15,24,12,7,5,-,-,-,-,1,2,8,1,-,1,2,3,1,67,10,5,14,21,8,3
"S00146481",95,9,5,1,9,26,46,8,-,-,-,-,1,7,16,-,-,-,-,3,12,71,9,5,1,8,25,27
"S00146482",102,28,4,18,9,22,18,17,1,1,2,-,4,9,14,-,2,2,-,6,4,71,30,1,14,11,12,7
"S00146483",99,22,6,16,21,15,17,15,-,-,-,6,2,6,15,1,1,4,2,3,4,69,20,6,14,15,8,7
"S00146484",219,16,8,16,12,46,118,59,-,-,-,-,4,55,28,-,-,-,-,7,21,132,16,8,16,12,33,42
"S00146485",125,31,8,20,23,30,12,5,1,-,-,-,3,1,16,-,-,1,4,6,4,103,29,8,19,19,19,7
"S00146486",125,27,12,20,25,18,21,11,-,3,1,1,2,8,13,-,-,1,5,-,7,96,27,11,18,19,15,4
"S00146487",147,20,8,24,22,34,43,12,1,1,-,-,3,5,20,-,1,1,2,6,10,115,22,6,18,20,24,28
"S00146488",104,20,6,9,23,15,34,10,-,-,-,-,5,-,10,1,-,-,-,-,9,91,21,6,9,23,10,23
"S00146489",128,25,8,15,31,35,16,6,-,-,1,-,-,4,7,-,-,-,1,3,3,115,25,8,14,30,31,8
"S00146490",91,19,2,11,14,24,24,7,1,-,-,1,1,5,8,-,-,-,-,2,5,75,18,2,6,12,17,18
"S00146491",110,10,6,9,13,26,48,17,-,-,-,-,3,14,19,2,-,-,2,3,8,84,8,6,7,11,20,26
"S00146492",125,15,11,19,20,31,24,11,1,1,-,2,3,6,19,1,2,1,7,2,4,90,21,8,18,12,26,12
"S00146493",80,12,6,6,8,21,27,8,-,-,-,-,3,5,11,-,-,-,2,3,6,61,12,6,6,6,15,16
"S00146494",87,18,5,8,16,15,26,9,2,-,1,-,1,5,15,1,-,2,-,6,7,63,15,5,5,16,9,18
"S00146495",137,20,6,25,26,28,26,29,1,-,5,5,8,11,17,3,-,4,3,2,6,91,19,6,16,22,19,9
"S00146496",77,20,4,10,6,26,19,12,-,-,-,1,5,3,15,-,-,4,-,5,6,50,20,4,6,8,8,3
"S00146497",63,-,1,6,3,17,36,12,-,-,1,-,2,6,9,-,-,-,-,2,7,42,-,1,7,3,12,19
"S00146498",180,47,12,19,35,41,24,17,2,1,1,2,2,8,16,3,-,2,1,6,5,143,40,13,15,32,33,11
"S00146499",105,6,16,16,16,35,16,15,-,1,-,3,9,2,15,1,1,2,3,6,6,70,5,14,13,10,20,8
"S00146500",149,14,16,16,25,40,38,15,-,1,-,5,1,9,25,-,-,2,3,8,10,108,14,13,16,13,28,19
"S00146501",155,36,15,35,29,28,15,16,1,-,2,2,4,5,18,2,2,4,-,6,2,120,32,13,29,25,15,9
"S00146502",177,23,18,20,11,63,51,21,-,-,-,-,6,14,19,-,2,-,-,11,6,138,23,13,20,11,39,31
"S00146503",134,16,7,14,28,36,31,18,-,-,2,3,7,6,15,-,-,-,1,6,8,98,16,7,13,24,23,19
"S00146504",187,34,18,18,43,43,31,13,-,2,-,2,1,10,22,4,-,-,1,6,11,153,30,17,18,41,39,9
"S00146505",110,9,9,7,12,27,46,15,-,1,-,-,3,11,21,-,1,-,2,3,13,74,9,7,7,11,18,23
"S00146506",106,10,6,18,21,24,29,28,-,-,-,2,8,18,22,4,-,9,4,5,8,59,5,6,12,16,10,6
