Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00137701",192,164,28,13,4,1,10
"S00137702",117,111,6,2,4,1,-
"S00137703",128,110,18,12,1,2,3
"S00137704",127,109,18,13,-,2,3
"S00137705",88,83,7,4,-,2,1
"S00137706",152,148,4,2,-,-,-
"S00137707",157,139,16,14,1,-,1
"S00137708",149,137,12,11,1,-,-
"S00137709",188,171,13,14,-,1,1
"S00137710",212,189,23,12,3,3,5
"S00137711",183,167,17,13,-,-,5
"S00137712",61,56,5,1,-,-,2
"S00137713",141,122,19,10,2,1,6
"S00137714",80,76,4,2,2,-,-
"S00137715",97,83,14,9,-,-,5
"S00137716",69,67,2,-,-,-,1
"S00137717",135,124,8,3,-,1,4
"S00137718",98,90,8,4,-,-,-
"S00137719",93,82,11,5,2,-,4
"S00137720",119,108,11,7,1,-,3
"S00137721",155,137,15,5,5,2,5
"S00137722",95,86,10,6,-,2,2
"S00137723",118,110,8,5,-,-,2
"S00137724",163,132,31,20,-,3,7
"S00137725",131,118,9,9,1,-,6
"S00137726",61,54,6,3,-,2,3
"S00137727",116,106,10,4,-,2,4
"S00137728",104,94,10,9,-,-,1
"S00137729",136,120,16,10,1,1,4
"S00137730",71,60,11,8,-,-,3
"S00137731",101,83,18,10,5,-,5
"S00137732",153,143,10,3,3,2,1
"S00137733",113,106,7,2,-,-,2
"S00137734",109,99,10,6,1,-,4
"S00137735",123,108,15,13,-,-,2
"S00137736",90,76,13,8,1,1,4
"S00137737",155,139,13,7,4,5,1
"S00137738",138,128,7,5,2,-,2
"S00137739",108,101,7,6,1,-,-
"S00137740",116,102,14,6,4,2,3
"S00137741",76,69,7,5,-,1,1
"S00137742",122,111,11,2,3,2,3
"S00137743",106,95,11,4,1,1,4
"S00137744",137,135,6,6,-,-,-
"S00137745",98,84,14,7,-,2,5
"S00137746",116,102,14,9,2,1,2
"S00137747",138,117,21,11,2,1,7
"S00137748",175,158,20,15,-,-,5
"S00137749",186,171,15,13,1,1,2
"S00137750",136,126,10,8,1,-,1
"S00137751",157,137,18,8,-,4,6
"S00137752",162,139,21,16,-,1,5
"S00137753",61,49,9,7,-,-,2
"S00137754",95,79,16,9,3,-,5
"S00137755",144,131,13,5,-,1,4
"S00137756",140,127,12,9,2,1,4
"S00137757",112,110,5,4,-,-,-
"S00137758",79,73,6,1,-,-,1
"S00137759",128,114,10,3,1,3,3
"S00137760",181,161,23,12,-,-,7
"S00137761",105,93,13,7,2,1,1
"S00137762",80,72,8,2,2,1,-
"S00137763",125,113,12,7,-,3,-
"S00137764",95,86,9,3,1,2,3
"S00137765",67,66,7,6,-,2,2
"S00137766",105,98,10,4,-,4,6
"S00137767",120,111,12,10,-,-,-
"S00137768",61,48,13,7,2,2,1
"S00137769",96,90,6,2,1,1,1
"S00137770",123,110,13,7,2,3,4
"S00137771",143,136,8,5,-,1,2
"S00137772",118,103,15,8,-,1,4
"S00137773",85,82,7,-,-,4,1
"S00137774",81,75,6,-,1,3,1
"S00137775",61,61,-,-,-,-,-
"S00137776",80,78,2,-,-,1,-
"S00137777",111,102,12,3,1,-,5
"S00137778",189,176,13,8,-,4,2
"S00137779",122,105,21,12,5,-,4
"S00137780",107,96,11,7,3,-,2
"S00137781",108,99,11,6,1,1,5
"S00137782",95,89,6,3,1,-,1
"S00137783",158,144,18,5,5,5,5
"S00137784",118,103,14,2,1,1,7
"S00137785",111,101,14,3,3,6,3
"S00137786",120,108,12,9,-,1,4
"S00137787",129,105,24,16,3,1,5
"S00137788",165,151,11,6,1,3,2
"S00137789",83,75,4,-,-,-,3
"S00137790",80,72,8,2,1,-,4
"S00137791",246,223,23,12,2,3,7
"S00137792",124,110,17,8,1,2,5
"S00137793",99,86,13,6,1,4,4
"S00137794",130,122,8,4,1,1,2
"S00137795",107,98,5,-,-,1,3
"S00137796",114,105,9,6,-,1,3
"S00137797",92,84,8,4,1,2,1
"S00137798",67,66,1,-,-,-,1
"S00137799",139,132,7,6,-,2,-
"S00137800",111,106,8,3,4,1,1
"S00137801",210,185,25,13,3,-,10
"S00137802",75,64,5,1,-,-,3
"S00137803",116,104,12,4,2,4,4
"S00137804",70,62,8,3,3,-,-
"S00137805",175,149,25,9,2,2,12
"S00137806",94,86,6,8,-,1,-
"S00137807",82,75,7,-,3,-,5
"S00137808",105,92,11,6,-,1,3
"S00137809",150,132,18,8,6,3,4
"S00137810",75,66,6,7,1,1,3
"S00137811",110,104,9,6,-,-,3
"S00137812",94,87,7,4,2,-,2
"S00137813",107,102,5,-,-,-,4
"S00137814",103,95,10,5,1,-,2
"S00137815",98,88,10,8,2,-,3
"S00137816",73,72,-,-,-,-,-
"S00137817",136,121,11,4,3,-,1
"S00137818",118,98,16,9,2,3,6
"S00137819",77,69,4,1,1,-,2
"S00137820",74,63,7,5,1,2,-
"S00137821",140,137,3,4,-,-,-
"S00137822",119,104,15,11,1,2,1
"S00137823",94,87,4,4,-,-,-
"S00137824",96,83,13,3,5,3,4
"S00137825",103,86,17,5,1,3,5
"S00137826",103,90,13,11,1,1,-
"S00137827",104,89,15,6,3,1,5
"S00137828",99,92,5,5,-,-,-
"S00137829",102,95,7,5,-,2,3
"S00137830",97,85,12,7,-,1,4
"S00137831",96,84,12,7,1,1,5
"S00137832",100,96,7,5,-,-,2
"S00137833",65,57,8,4,1,3,1
"S00137834",77,72,5,1,2,-,4
"S00137835",81,78,3,-,3,-,1
"S00137836",162,151,11,5,4,-,7
"S00137837",138,128,10,1,1,2,2
"S00137838",108,100,8,4,-,1,3
"S00137839",83,80,6,5,-,-,1
"S00137840",159,153,6,6,-,-,2
"S00137841",114,102,12,9,2,-,2
"S00137842",89,78,11,9,-,1,1
"S00137843",119,106,9,5,2,1,2
"S00137844",68,56,5,3,2,1,-
"S00137845",127,119,8,4,2,-,2
"S00137846",104,91,16,8,-,5,1
"S00137847",104,103,5,2,1,-,2
"S00137848",124,109,12,7,2,-,3
"S00137849",101,94,4,4,-,-,-
"S00137850",85,85,-,-,-,-,-
"S00137851",86,67,19,16,2,-,1
"S00137852",121,106,16,8,1,2,5
"S00137853",89,74,16,12,1,-,3
"S00137854",115,106,9,3,3,-,3
"S00137855",156,145,11,5,1,2,1
"S00137856",105,86,19,7,6,2,5
"S00137857",101,92,11,7,-,-,2
"S00137858",144,133,7,1,1,1,1
"S00137859",134,133,5,2,-,3,-
"S00137860",97,86,11,7,1,1,2
"S00137861",201,171,33,13,3,5,9
"S00137862",141,131,10,7,-,1,2
"S00137863",85,81,4,1,-,1,3
"S00137864",85,71,11,8,1,2,2
"S00137865",166,138,28,17,5,3,4
"S00137866",171,158,12,9,-,-,3
"S00137867",122,104,17,11,2,-,4
"S00137868",78,66,8,8,-,-,-
"S00137869",171,152,19,9,2,6,3
"S00137870",79,71,11,7,1,-,-
"S00137871",119,113,6,1,-,1,4
"S00137872",84,82,-,-,-,-,-
"S00137873",76,74,2,-,-,-,2
"S00137874",79,74,5,1,-,-,3
"S00137875",91,80,11,9,-,1,2
"S00137876",128,102,25,18,2,-,3
"S00137877",239,206,33,14,5,1,11
"S00137878",91,81,10,6,-,-,1
"S00137879",109,93,16,13,-,4,1
"S00137880",82,74,8,5,-,1,2
"S00137881",57,50,7,5,2,-,-
"S00137882",92,86,9,3,2,1,3
"S00137883",165,139,26,18,1,2,5
"S00137884",75,72,3,-,-,3,-
"S00137885",69,68,1,-,-,1,-
"S00137886",61,53,8,6,4,-,-
"S00137887",193,168,29,10,4,8,5
"S00137888",74,67,6,1,-,-,2
"S00137889",75,66,5,4,-,1,2
"S00137890",139,132,7,5,2,-,1
"S00137891",108,105,7,4,-,2,-
"S00137892",129,115,14,8,1,3,2
"S00137893",102,90,12,6,2,-,4
"S00137894",138,124,14,8,-,4,2
"S00137895",89,83,9,5,2,2,1
"S00137896",98,90,9,4,3,1,3
"S00137897",128,120,8,4,-,-,3
"S00137898",125,110,15,11,-,-,4
"S00137899",148,129,19,12,-,-,7
"S00137900",145,134,15,8,-,1,1
"S00137901",73,62,11,5,-,2,1
"S00137902",87,79,8,7,1,-,-
"S00137903",124,105,16,14,1,1,4
"S00137904",105,91,14,5,2,2,-
"S00137905",131,115,16,4,4,1,6
"S00137906",80,70,10,3,-,2,5
"S00137907",133,102,31,20,-,4,6
"S00137908",88,78,10,5,4,-,3
"S00137909",161,141,20,14,2,2,2
"S00137910",124,109,15,10,1,3,2
"S00137911",151,133,21,14,2,-,4
"S00137912",75,64,10,5,4,-,4
"S00137913",64,56,8,2,2,1,3
"S00137914",87,81,9,1,-,3,2
"S00137915",199,183,16,10,-,1,5
"S00137916",71,57,18,8,2,-,5
"S00137917",141,130,11,4,2,-,6
"S00137918",153,138,15,9,-,-,6
"S00137919",103,90,13,6,1,2,3
"S00137920",168,154,14,11,-,-,1
"S00137921",186,174,12,8,-,2,1
"S00137922",99,95,4,1,1,-,2
"S00137923",117,100,17,9,2,1,5
"S00137924",134,126,11,5,-,3,2
"S00137925",82,73,9,5,-,4,2
"S00137926",118,111,7,-,3,1,1
"S00137927",135,128,7,5,1,-,1
"S00137928",57,51,6,2,-,-,4
"S00137929",141,127,14,4,1,2,5
"S00137930",76,68,9,3,-,1,5
"S00137931",100,92,7,5,4,-,-
"S00137932",149,140,10,3,-,4,3
"S00137933",80,74,7,2,-,2,-
"S00137934",105,95,10,2,1,1,3
"S00137935",87,81,3,1,-,1,4
"S00137936",174,163,11,6,1,-,5
"S00137937",129,120,9,4,-,-,4
"S00137938",73,66,7,5,1,-,1
"S00137939",105,99,8,4,-,2,1
"S00137940",172,145,27,16,3,1,8
"S00137941",91,75,16,14,-,2,-
"S00137942",133,125,11,3,1,2,2
"S00137943",126,116,11,7,-,1,1
"S00137944",81,72,9,5,-,-,4
"S00137945",76,68,5,3,-,-,1
"S00137946",61,49,12,8,2,-,2
"S00137947",138,133,5,2,-,1,2
"S00137948",410,389,21,12,4,-,3
"S00137949",146,139,8,3,4,3,-
"S00137950",73,70,6,3,-,1,2
"S00137951",104,95,10,7,-,-,3
"S00137952",135,118,17,10,3,1,3
"S00137953",157,147,12,8,-,-,3
"S00137954",134,118,12,9,1,-,2
"S00137955",108,89,19,10,2,1,9
"S00137956",120,106,16,7,1,2,4
"S00137957",106,95,11,1,1,1,5
"S00137958",119,110,9,7,-,1,1
"S00137959",128,113,15,9,3,-,3
"S00137960",90,80,8,7,1,-,-
"S00137961",188,174,14,9,2,1,1
"S00137962",108,100,7,3,2,1,1
"S00137963",104,98,8,6,-,-,2
"S00137964",164,146,18,13,3,-,4
"S00137965",96,85,11,6,-,1,3
"S00137966",169,155,14,11,1,1,1
"S00137967",153,127,26,14,5,5,2
"S00137968",83,78,7,3,-,2,-
"S00137969",81,80,8,5,1,-,2
"S00137970",179,167,14,6,2,-,5
"S00137971",82,77,9,5,2,-,2
"S00137972",124,116,9,8,-,1,-
"S00137973",156,138,16,5,5,4,4
"S00137974",169,140,29,15,7,3,7
"S00137975",63,63,-,-,-,-,-
"S00137976",126,112,14,11,1,-,3
"S00137977",104,94,11,9,-,1,-
"S00137978",166,153,16,7,-,-,6
"S00137979",66,58,8,5,-,-,2
"S00137980",77,71,6,4,-,1,-
"S00137981",110,101,8,5,2,-,2
"S00137982",94,86,8,6,2,-,-
"S00137983",145,131,14,9,3,-,3
"S00137984",75,69,6,2,1,-,3
"S00137985",75,65,7,5,1,1,3
"S00137986",156,141,16,9,2,1,4
"S00137987",149,139,10,3,3,4,2
"S00137988",133,118,17,13,3,2,1
"S00137989",115,105,12,7,1,1,1
"S00137990",139,121,16,14,2,-,-
"S00137991",96,87,9,4,1,2,4
"S00137992",73,63,7,4,-,2,-
"S00137993",155,136,12,13,1,-,2
"S00137994",134,112,22,10,1,6,4
"S00137995",141,131,10,5,3,-,3
"S00137996",84,70,17,6,-,2,6
"S00137997",111,103,6,1,1,-,4
"S00137998",88,75,14,10,3,-,2
"S00137999",92,84,7,2,1,-,4
"S00138000",120,108,12,7,-,2,3
"S00138001",156,135,21,7,2,5,7
"S00138002",110,96,10,6,1,2,5
"S00138003",231,207,24,17,-,2,4
"S00138004",177,168,12,6,-,1,3
"S00138005",147,133,17,12,-,-,3
"S00138006",116,110,6,2,2,-,1
"S00138007",84,76,10,4,2,1,2
"S00138008",128,114,10,5,3,-,3
"S00138009",174,160,14,4,2,1,6
"S00138010",114,102,9,9,-,-,-
"S00138011",132,120,12,7,-,-,6
"S00138012",96,88,8,6,-,-,1
"S00138013",146,135,11,6,-,-,5
"S00138014",63,58,5,3,-,-,1
"S00138015",125,115,8,6,-,-,3
"S00138016",115,96,15,6,2,1,2
"S00138017",158,140,18,11,2,1,4
"S00138018",70,62,8,4,1,-,3
"S00138019",71,67,4,3,-,1,-
"S00138020",98,92,13,3,1,3,3
"S00138021",86,83,4,1,2,1,-
"S00138022",87,82,5,2,2,1,1
"S00138023",147,132,15,7,2,3,4
"S00138024",108,102,6,5,-,-,-
"S00138025",136,117,19,12,1,-,3
"S00138026",104,92,12,8,-,-,4
"S00138027",89,82,5,5,-,-,-
"S00138028",186,158,28,21,1,2,4
"S00138029",97,96,5,3,-,1,2
"S00138030",145,137,11,8,2,-,1
"S00138031",99,92,12,3,1,1,5
"S00138032",112,103,7,5,1,-,3
"S00138033",120,104,18,10,3,-,5
"S00138034",115,102,13,4,1,3,4
"S00138035",137,124,13,11,-,-,2
"S00138036",72,67,5,3,-,-,2
"S00138037",108,102,6,6,-,-,-
"S00138038",61,51,10,7,1,2,-
"S00138039",135,127,9,7,-,-,1
"S00138040",97,86,10,3,-,-,3
"S00138041",111,99,12,8,-,1,3
"S00138042",163,144,19,13,2,-,5
"S00138043",104,94,8,6,1,2,-
"S00138044",100,88,10,8,-,-,2
"S00138045",107,103,7,4,-,-,4
"S00138046",107,102,5,3,-,-,2
"S00138047",165,151,13,12,-,-,-
"S00138048",75,70,8,4,-,-,1
"S00138049",146,135,11,7,1,-,3
"S00138050",155,130,25,16,1,2,6
"S00138051",135,121,14,9,1,3,2
"S00138052",124,114,8,7,-,-,1
"S00138053",86,72,15,13,-,-,1
"S00138054",217,193,25,12,3,2,8
"S00138055",108,93,15,9,1,1,6
"S00138056",110,106,6,1,-,1,-
"S00138057",83,76,11,10,1,-,-
"S00138058",113,103,11,6,2,1,1
"S00138059",113,96,15,10,-,4,3
"S00138060",77,67,7,3,-,2,1
"S00138061",92,84,9,6,3,-,-
"S00138062",173,158,15,8,4,1,1
"S00138063",70,60,6,3,4,-,1
"S00138064",69,64,5,2,1,-,3
"S00138065",68,58,13,8,1,2,2
"S00138066",128,108,20,13,2,-,5
"S00138067",75,72,3,3,-,-,-
"S00138068",95,86,9,7,-,-,-
"S00138069",178,168,14,11,-,2,3
"S00138070",77,71,6,-,1,3,1
"S00138071",83,68,10,6,2,2,1
"S00138072",94,86,7,3,-,-,4
"S00138073",222,210,12,11,-,1,-
"S00138074",106,96,18,8,1,4,4
"S00138075",110,104,8,2,1,3,1
"S00138076",118,112,6,4,-,-,1
"S00138077",71,56,11,9,-,2,1
"S00138078",63,57,6,2,-,1,2
"S00138079",143,123,21,10,7,-,-
"S00138080",130,119,11,8,2,-,2
"S00138081",99,94,5,5,1,-,-
"S00138082",107,87,17,12,1,-,2
"S00138083",63,53,10,5,2,-,3
"S00138084",101,90,11,4,1,2,5
"S00138085",184,166,18,10,1,3,3
"S00138086",144,131,16,10,-,1,8
"S00138087",140,124,13,9,1,1,4
"S00138088",97,80,17,13,1,-,5
"S00138089",150,137,13,3,2,2,6
"S00138090",83,80,2,2,1,-,-
"S00138091",133,112,17,9,-,4,4
"S00138092",128,118,7,4,1,3,2
"S00138093",94,84,12,7,-,-,3
"S00138094",184,165,23,13,-,1,5
"S00138095",83,77,6,3,-,-,2
"S00138096",140,131,12,8,1,-,2
"S00138097",74,63,11,6,1,3,-
"S00138098",132,118,14,8,-,2,4
"S00138099",122,113,6,10,-,-,2
"S00138100",143,139,4,3,-,-,1
"S00138101",111,96,15,11,-,-,4
"S00138102",96,86,10,8,1,1,-
"S00138103",143,134,11,11,-,-,-
"S00138104",66,54,12,5,-,3,4
"S00138105",99,91,8,8,-,-,-
"S00138106",146,124,22,14,2,1,5
"S00138107",106,93,13,10,-,1,2
"S00138108",97,90,7,4,1,2,-
"S00138109",123,117,7,2,1,5,1
"S00138110",151,141,7,7,1,1,2
"S00138111",126,117,9,6,2,-,-
"S00138112",134,123,11,9,-,-,3
"S00138113",140,124,14,7,3,-,5
"S00138114",95,86,7,4,-,2,2
"S00138115",207,177,30,15,4,4,8
"S00138116",123,113,12,6,1,1,4
"S00138117",135,117,20,12,1,2,3
"S00138118",173,154,19,12,5,2,3
"S00138119",176,157,19,18,3,-,2
"S00138120",134,122,10,6,2,2,3
"S00138121",120,112,8,4,1,1,2
"S00138122",102,97,7,6,-,-,1
"S00138123",118,106,12,5,1,2,5
"S00138124",192,170,19,11,3,2,4
"S00138125",212,179,37,20,4,1,5
"S00138126",182,169,13,10,2,-,1
"S00138127",128,121,7,5,1,-,1
"S00138128",187,167,19,11,2,2,4
"S00138129",132,122,10,6,-,1,4
"S00138130",164,140,28,13,3,4,9
"S00138131",109,103,9,6,1,1,1
"S00138132",136,124,12,10,-,1,1
"S00138133",66,61,5,6,-,-,2
"S00138134",120,108,12,6,2,5,3
"S00138135",211,185,28,17,4,-,5
"S00138136",146,130,16,7,1,-,8
"S00138137",182,177,5,3,2,-,1
"S00138138",245,230,16,14,-,-,1
"S00138139",82,73,9,6,1,-,2
"S00138140",133,118,15,10,-,2,-
"S00138141",98,82,13,8,1,-,4
"S00138142",80,69,10,9,1,-,-
"S00138143",132,120,8,10,-,2,1
"S00138144",211,205,6,4,1,2,-
"S00138145",151,128,23,14,-,3,6
"S00138146",194,173,15,12,2,-,2
"S00138147",131,120,11,4,-,-,5
"S00138148",177,160,17,7,3,4,3
"S00138149",157,131,26,18,2,-,6
"S00138150",62,55,10,8,1,2,-
"S00138151",162,151,11,6,1,2,2
"S00138152",188,180,11,6,3,-,1
"S00138153",80,73,7,4,-,-,1
"S00138154",90,86,4,2,-,1,1
"S00138155",94,87,7,6,-,-,1
"S00138156",134,114,20,12,1,2,2
"S00138157",215,197,18,4,5,3,6
"S00138158",91,85,6,4,-,-,1
"S00138159",108,91,16,10,-,-,4
"S00138160",227,209,18,9,-,3,6
"S00138161",135,130,11,8,-,-,1
"S00138162",203,184,19,15,2,2,5
"S00138163",206,189,14,10,-,-,2
"S00138164",141,118,23,16,3,-,3
"S00138165",142,131,9,6,1,-,1
"S00138166",137,122,15,10,1,-,4
"S00138167",96,88,8,6,-,-,1
"S00138168",86,76,10,4,4,-,5
"S00138169",175,158,17,14,-,3,2
"S00138170",102,92,6,5,-,-,2
"S00138171",99,92,9,6,-,-,-
"S00138172",120,105,13,5,2,-,4
"S00138173",152,131,21,14,-,1,4
"S00138174",114,105,9,6,1,-,-
"S00138175",118,116,2,-,1,-,-
"S00138176",108,104,7,6,-,1,-
"S00138177",105,89,16,13,2,1,1
"S00138178",100,93,4,7,-,-,-
"S00138179",83,73,10,5,2,-,3
"S00138180",139,126,13,7,2,3,1
"S00138181",80,76,4,3,-,1,-
"S00138182",111,98,13,9,2,-,1
"S00138183",103,91,13,7,2,-,3
"S00138184",87,74,11,11,1,-,2
"S00138185",108,103,5,6,-,1,-
"S00138186",95,86,9,7,-,-,2
"S00138187",89,80,7,5,-,4,2
"S00138188",121,106,15,8,2,2,3
"S00138189",124,116,8,8,-,-,-
"S00138190",61,56,6,6,-,-,-
"S00138191",121,107,14,7,5,1,3
"S00138192",117,101,19,14,-,2,-
"S00138193",118,101,14,9,1,-,2
"S00138194",147,123,24,14,2,3,6
"S00138195",97,87,6,4,2,-,-
"S00138196",108,91,17,17,1,1,1
"S00138197",80,69,11,6,6,1,-
"S00138198",140,123,17,8,1,-,8
"S00138199",85,77,8,5,1,1,1
"S00138200",114,105,10,7,-,-,4
"S00138201",66,64,4,4,-,-,-
"S00138202",150,135,15,14,-,-,1
"S00138203",108,97,11,3,3,2,3
"S00138204",95,86,9,5,-,1,1
"S00138205",128,112,13,3,2,2,4
"S00138206",125,114,11,9,-,1,1
"S00138207",103,95,8,4,2,1,1
"S00138208",138,126,11,9,2,1,1
"S00138209",118,110,8,6,1,2,-
"S00138210",132,114,18,18,1,1,2
"S00138211",121,102,22,12,4,1,3
"S00138212",156,144,12,6,2,4,2
"S00138213",105,96,6,6,-,-,-
"S00138214",126,120,6,5,-,1,-
"S00138215",85,71,12,7,-,3,2
"S00138216",141,126,17,9,-,1,6
"S00138217",123,109,14,11,-,2,1
"S00138218",80,75,5,5,-,-,-
"S00138219",71,67,4,2,-,-,1
"S00138220",106,90,14,8,1,6,3
"S00138221",83,67,16,9,2,1,4
"S00138222",139,130,10,3,1,1,7
"S00138223",64,58,6,5,1,-,-
"S00138224",122,105,17,12,3,-,1
"S00138225",86,73,13,9,1,1,5
"S00138226",126,118,8,2,-,1,1
"S00138227",98,84,13,5,-,-,5
"S00138228",133,121,12,10,1,-,-
"S00138229",145,125,22,17,-,-,5
"S00138230",74,66,8,3,2,-,2
"S00138231",117,111,8,5,1,-,2
"S00138232",83,72,12,6,1,-,4
"S00138233",139,119,21,13,3,4,2
"S00138234",99,85,13,9,2,-,2
"S00138235",163,132,32,27,1,1,1
"S00138236",179,159,16,12,1,-,3
"S00138237",117,101,20,14,-,-,4
"S00138238",148,135,11,12,-,-,-
"S00138239",177,159,18,10,1,-,7
"S00138240",106,90,12,14,-,1,3
"S00138241",145,132,13,8,-,-,5
"S00138242",107,97,10,9,-,1,-
"S00138243",109,93,16,10,1,2,3
"S00138244",121,108,13,10,1,1,1
"S00138245",101,95,6,4,2,-,2
"S00138246",214,186,24,20,-,2,7
"S00138247",130,121,7,6,-,1,2
"S00138248",128,119,9,6,-,1,2
"S00138249",182,162,21,14,-,-,4
"S00138250",190,165,25,18,4,1,-
"S00138251",94,86,8,9,-,-,-
"S00138252",141,127,16,12,2,1,-
"S00138253",101,82,16,8,2,1,5
"S00138254",162,143,19,11,4,3,4
"S00138255",114,102,12,11,-,1,2
"S00138256",97,87,10,3,2,-,3
"S00138257",85,78,7,2,-,-,3
"S00138258",124,109,15,10,1,-,7
"S00138259",98,85,13,8,2,-,4
"S00138260",162,137,25,17,1,1,6
"S00138261",132,116,16,12,-,1,3
"S00138262",99,87,10,6,2,1,3
"S00138263",91,86,11,4,-,2,3
"S00138264",164,152,16,13,-,2,1
"S00138265",126,113,8,7,1,-,3
"S00138266",144,132,12,7,2,2,3
"S00138267",108,103,6,4,-,-,2
"S00138268",117,110,6,5,-,-,1
"S00138269",155,135,18,10,2,2,1
"S00138270",146,131,11,9,-,-,1
"S00138271",106,96,10,7,-,1,4
"S00138272",106,99,8,3,4,1,2
"S00138273",182,159,23,21,3,1,2
"S00138274",91,81,9,5,-,-,4
"S00138275",167,147,20,15,-,-,6
"S00138276",174,159,11,11,1,1,1
"S00138277",99,90,9,3,-,2,3
"S00138278",140,130,10,5,2,-,3
"S00138279",111,104,7,3,2,2,2
"S00138280",106,100,6,4,1,1,-
"S00138281",113,107,4,2,-,-,4
"S00138282",114,97,17,8,-,4,7
"S00138283",111,101,12,7,-,1,4
"S00138284",179,160,19,12,1,-,6
"S00138285",113,93,17,12,1,-,4
"S00138286",126,119,7,3,1,2,-
"S00138287",106,98,8,6,-,-,1
"S00138288",110,95,15,7,-,-,9
"S00138289",78,62,16,11,2,-,3
"S00138290",109,98,13,16,1,-,-
"S00138291",99,85,12,6,2,-,6
"S00138292",113,99,12,12,-,-,4
"S00138293",185,160,21,14,3,2,4
"S00138294",116,112,1,2,1,-,-
"S00138295",139,125,16,6,-,4,5
"S00138296",81,72,9,2,5,2,2
"S00138297",140,126,18,10,1,2,4
"S00138298",107,92,11,9,1,6,1
"S00138299",137,122,15,10,2,4,1
"S00138300",125,114,11,7,-,-,4
"S00138301",111,105,8,4,1,-,1
"S00138302",123,116,7,5,-,1,1
"S00138303",129,116,13,8,4,-,-
"S00138304",141,127,10,10,1,-,2
"S00138305",117,102,13,8,-,-,3
"S00138306",226,207,17,12,1,3,3
"S00138307",107,105,-,-,-,-,1
"S00138308",145,131,16,14,-,-,-
"S00138309",176,153,23,18,4,2,2
"S00138310",77,68,5,6,-,-,-
"S00138311",121,114,6,5,-,-,2
"S00138312",118,105,13,7,2,-,3
"S00138313",94,84,10,6,1,1,1
"S00138314",126,115,11,8,-,1,4
"S00138315",131,115,14,8,1,2,2
"S00138316",120,103,15,9,1,4,-
"S00138317",117,106,12,10,-,1,1
"S00138318",87,78,9,5,1,-,3
"S00138319",122,106,12,6,-,1,5
"S00138320",169,149,20,11,2,2,5
"S00138321",128,117,12,10,-,-,2
"S00138322",170,152,18,12,2,1,3
"S00138323",130,112,18,11,4,-,5
"S00138324",170,155,15,10,2,3,1
"S00138325",95,87,8,7,-,-,1
"S00138326",169,145,21,16,-,1,3
"S00138327",69,61,7,7,-,-,-
"S00138328",105,93,12,5,-,-,4
"S00138329",166,153,16,13,3,-,-
"S00138330",73,69,4,3,1,-,-
"S00138331",122,111,14,9,-,-,-
"S00138332",136,125,11,10,-,2,2
"S00138333",113,103,10,10,-,-,-
"S00138334",150,139,11,7,1,2,2
"S00138335",138,127,11,6,-,2,3
"S00138336",164,159,3,3,1,-,1
"S00138337",150,136,20,13,1,1,-
"S00138338",85,69,13,11,2,1,2
"S00138339",136,115,21,14,-,2,5
"S00138340",90,81,9,8,-,-,1
"S00138341",100,87,13,6,3,2,4
"S00138342",113,108,7,7,-,-,-
"S00138343",125,110,11,10,-,-,1
"S00138344",100,89,11,6,-,3,3
"S00138345",154,144,12,10,2,-,1
"S00138346",175,161,14,6,-,3,5
"S00138347",185,166,19,17,1,-,1
"S00138348",139,112,22,18,2,1,4
"S00138349",78,74,4,2,-,1,1
"S00138350",165,146,19,16,2,-,-
"S00138351",123,115,8,5,-,1,1
"S00138352",138,116,22,20,1,-,1
"S00138353",203,182,21,10,2,1,6
"S00138354",172,155,18,14,2,2,-
"S00138355",126,119,10,5,2,-,7
"S00138356",137,127,13,7,1,-,4
"S00138357",145,129,16,13,-,5,-
"S00138358",106,96,10,8,-,-,2
"S00138359",196,186,6,2,2,-,-
"S00138360",82,82,-,-,-,-,-
"S00138361",140,137,3,2,-,-,1
"S00138362",183,170,16,13,1,1,1
"S00138363",166,159,8,8,-,-,-
"S00138364",153,128,25,18,2,-,6
"S00138365",207,198,9,6,-,-,3
"S00138366",114,104,10,7,1,1,-
"S00138367",178,171,7,5,-,-,4
"S00138368",129,111,18,9,2,3,4
"S00138369",188,174,14,7,-,3,4
"S00138370",167,146,21,13,2,4,2
"S00138371",116,107,11,8,-,1,-
"S00138372",81,74,7,3,2,-,1
"S00138373",133,116,14,8,-,-,2
"S00138374",98,83,13,13,-,-,-
"S00138375",224,211,13,10,1,3,-
"S00138376",196,186,10,8,1,-,1
"S00138377",143,138,9,5,2,-,1
"S00138378",165,148,17,13,-,-,4
"S00138379",82,72,12,3,1,-,5
"S00138380",102,86,12,6,-,2,-
"S00138381",167,159,8,2,2,1,2
"S00138382",113,105,8,4,-,1,2
"S00138383",221,210,8,4,1,-,4
"S00138384",154,144,10,7,2,-,1
"S00138385",170,160,10,6,-,-,4
"S00138386",159,155,4,4,-,-,-
"S00138387",186,182,9,3,1,1,3
"S00138388",115,108,14,6,2,2,1
"S00138389",91,85,8,1,1,1,5
"S00138390",88,75,13,6,-,2,5
"S00138391",78,77,1,1,-,-,-
"S00138392",101,93,7,7,-,-,1
"S00138393",140,120,20,10,1,-,8
