Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00135810",94,-,94
"S00135811",125,-,124
"S00135812",92,1,89
"S00135813",89,4,85
"S00135814",57,4,55
"S00135815",66,6,58
"S00135816",91,5,86
"S00135817",94,6,89
"S00135818",91,1,87
"S00135819",89,-,89
"S00135820",126,5,123
"S00135821",68,1,67
"S00135822",88,3,89
"S00135823",122,1,120
"S00135824",142,7,135
"S00135825",75,4,71
"S00135826",69,1,68
"S00135827",50,5,49
"S00135828",111,4,110
"S00135829",81,5,76
"S00135830",60,1,59
"S00135831",96,2,94
"S00135832",148,-,146
"S00135833",97,5,92
"S00135834",86,-,86
"S00135835",130,5,125
"S00135836",84,5,76
"S00135837",106,3,103
"S00135838",155,3,152
"S00135839",225,-,223
"S00135840",128,-,128
"S00135841",59,-,55
"S00135842",75,2,73
"S00135843",72,7,65
"S00135844",55,3,48
"S00135845",66,3,60
"S00135846",102,10,95
"S00135847",214,3,211
"S00135848",89,3,86
"S00135849",68,8,60
"S00135850",69,3,66
"S00135851",91,3,88
"S00135852",63,-,61
"S00135853",78,5,73
"S00135854",65,3,59
"S00135855",96,10,86
"S00135856",60,-,60
"S00135857",50,-,45
"S00135858",55,8,47
"S00135859",69,4,69
"S00135860",86,1,85
"S00135861",90,4,86
"S00135862",72,3,67
"S00135863",73,-,73
"S00135864",73,3,70
"S00135865",89,2,87
"S00135866",73,4,71
"S00135867",89,-,89
"S00135868",102,2,102
"S00135869",62,5,57
"S00135870",74,5,70
"S00135871",137,3,138
"S00135872",86,11,75
"S00135873",98,5,93
"S00135874",101,-,101
"S00135875",98,4,94
"S00135876",85,1,84
"S00135877",124,3,120
"S00135878",131,-,131
"S00135879",72,2,70
"S00135880",173,-,173
"S00135881",99,4,95
"S00135882",85,1,84
"S00135883",61,1,60
"S00135884",59,1,58
"S00135885",80,3,77
"S00135886",76,3,73
"S00135887",65,6,60
"S00135888",86,1,85
"S00135889",60,-,60
"S00135890",74,1,73
"S00135891",67,1,66
"S00135892",98,4,95
"S00135893",95,3,92
"S00135894",100,8,92
"S00135895",126,7,119
"S00135896",134,8,126
"S00135897",129,4,125
"S00135898",98,4,94
"S00135899",72,3,69
"S00135900",115,5,110
"S00135901",92,3,85
"S00135902",72,6,65
"S00135903",89,1,87
"S00135904",64,1,61
"S00135905",69,2,68
"S00135906",51,1,49
"S00135907",99,2,94
"S00135908",90,2,84
"S00135909",54,-,54
"S00135910",67,3,64
"S00135911",87,4,83
"S00135912",110,1,109
"S00135913",104,-,104
"S00135914",93,-,92
"S00135915",128,2,122
"S00135916",82,-,81
"S00135917",118,4,111
"S00135918",91,1,90
"S00135919",73,5,68
"S00135920",100,3,99
"S00135921",98,2,97
"S00135922",103,4,99
"S00135923",200,2,198
"S00135924",82,2,84
"S00135925",60,-,60
"S00135926",86,5,83
"S00135927",113,5,108
"S00135928",70,1,69
"S00135929",62,3,56
"S00135930",113,-,113
"S00135931",97,4,93
"S00135932",64,-,63
"S00135933",120,5,112
"S00135934",114,1,112
"S00135935",89,4,87
"S00135936",94,4,89
"S00135937",105,3,102
"S00135938",90,4,86
"S00135939",67,3,65
"S00135940",82,4,76
"S00135941",113,-,113
"S00135942",115,3,110
"S00135943",88,1,87
"S00135944",144,2,143
"S00135945",74,4,69
"S00135946",130,1,129
"S00135947",112,8,104
"S00135948",121,-,121
"S00135949",128,3,124
"S00135950",60,4,58
"S00135951",129,-,129
"S00135952",57,-,57
"S00135953",110,1,106
"S00135954",115,3,112
"S00135955",117,6,108
"S00135956",99,3,99
"S00135957",101,-,101
"S00135958",65,3,62
"S00135959",114,4,111
"S00135960",124,3,121
"S00135961",133,2,130
"S00135962",87,3,84
"S00135963",146,5,141
"S00135964",97,1,94
"S00135965",90,4,86
"S00135966",75,3,71
"S00135967",87,-,87
"S00135968",124,5,119
"S00135969",70,1,69
"S00135970",86,5,81
"S00135971",111,8,103
"S00135972",90,5,84
"S00135973",97,4,94
"S00135974",89,2,84
"S00135975",76,3,73
"S00135976",112,4,108
"S00135977",63,3,62
"S00135978",110,-,110
"S00135979",78,-,78
"S00135980",80,1,79
"S00135981",128,1,123
"S00135982",81,-,81
"S00135983",107,-,107
"S00135984",100,5,98
"S00135985",101,-,101
"S00135986",107,5,98
"S00135987",74,2,72
"S00135988",67,2,65
"S00135989",88,2,86
"S00135990",52,1,51
"S00135991",71,-,71
"S00135992",86,3,83
"S00135993",90,-,90
"S00135994",125,5,120
"S00135995",63,1,60
"S00135996",135,7,128
"S00135997",105,7,98
"S00135998",86,-,83
"S00135999",93,4,90
"S00136000",113,10,103
"S00136001",75,6,70
"S00136002",82,1,81
"S00136003",69,1,65
"S00136004",63,3,60
"S00136005",100,7,95
"S00136006",58,-,58
"S00136007",141,6,135
"S00136008",62,2,64
"S00136009",96,4,92
"S00136010",110,2,108
"S00136011",108,1,107
"S00136012",97,5,92
"S00136013",84,7,81
"S00136014",100,2,98
"S00136015",105,5,99
"S00136016",116,-,116
"S00136017",138,4,136
"S00136018",127,-,125
"S00136019",870,-,870
"S00136020",112,6,106
"S00136021",59,1,58
"S00136022",99,8,91
"S00136023",55,4,54
"S00136024",73,4,69
"S00136025",88,6,82
"S00136026",133,-,133
"S00136027",69,1,68
"S00136028",56,5,51
"S00136029",68,-,66
"S00136030",127,2,125
"S00136031",101,3,100
"S00136032",102,2,100
"S00136033",121,7,117
"S00136034",105,-,105
"S00136035",125,-,124
"S00136036",97,4,93
"S00136037",70,-,70
"S00136038",67,3,64
"S00136039",77,2,75
"S00136040",67,4,66
"S00136041",120,5,115
"S00136042",93,5,88
"S00136043",75,3,72
"S00136044",60,1,57
"S00136045",116,3,117
"S00136046",73,3,70
"S00136047",107,4,103
"S00136048",86,3,83
"S00136049",123,3,117
"S00136050",116,1,115
"S00136051",97,2,95
"S00136052",60,3,57
"S00136053",76,3,73
"S00136054",112,2,110
"S00136055",102,2,100
"S00136056",81,1,81
"S00136057",103,7,96
"S00136058",249,12,237
"S00136059",76,4,72
"S00136060",90,1,89
"S00136061",393,1,392
"S00136062",69,2,69
"S00136063",97,4,94
"S00136064",116,8,112
"S00136065",91,2,91
"S00136066",56,1,57
"S00136067",56,-,51
"S00136068",105,2,102
"S00136069",106,1,104
"S00136070",70,-,71
"S00136071",140,3,137
"S00136072",71,2,67
"S00136073",90,1,90
"S00136074",73,1,73
"S00136075",94,-,94
"S00136076",113,1,112
"S00136077",81,2,79
"S00136078",165,4,161
"S00136079",62,2,60
"S00136080",124,3,121
"S00136081",74,-,74
"S00136082",62,1,64
"S00136083",91,1,90
"S00136084",85,3,81
"S00136085",77,1,76
"S00136086",85,-,83
"S00136087",87,4,84
"S00136088",81,2,82
"S00136089",143,4,139
"S00136090",90,3,87
"S00136091",104,5,99
"S00136092",144,7,137
"S00136093",97,7,89
"S00136094",67,1,66
"S00136095",53,2,51
"S00136096",131,3,128
"S00136097",135,-,135
"S00136098",83,4,79
"S00136099",117,6,111
"S00136100",174,2,172
"S00136101",93,4,89
"S00136102",99,2,97
"S00136103",81,-,81
"S00136104",102,1,101
"S00136105",120,-,120
"S00136106",72,-,72
"S00136107",113,-,113
"S00136108",127,7,122
"S00136109",88,4,84
"S00136110",76,3,70
"S00136111",110,3,107
"S00136112",111,-,111
"S00136113",77,4,73
"S00136114",142,3,140
"S00136115",119,1,118
"S00136116",67,2,65
"S00136117",98,1,97
"S00136118",59,1,57
"S00136119",71,-,69
"S00136120",77,4,75
"S00136121",111,5,108
"S00136122",115,4,111
"S00136123",132,-,132
"S00136124",68,1,65
"S00136125",85,5,80
"S00136126",86,5,81
"S00136127",115,6,109
"S00136128",67,1,66
"S00136129",88,3,85
"S00136130",66,5,58
"S00136131",81,-,80
"S00136132",73,5,68
"S00136133",93,2,91
"S00136134",72,3,69
"S00136135",75,-,75
"S00136136",63,3,60
"S00136137",80,-,80
"S00136138",83,10,73
"S00136139",81,9,72
"S00136140",106,5,98
"S00136141",67,-,66
"S00136142",106,3,103
"S00136143",63,-,63
"S00136144",133,6,127
"S00136145",274,5,267
"S00136146",102,2,99
"S00136147",60,-,60
"S00136148",82,2,80
"S00136149",69,3,66
"S00136150",96,-,96
"S00136151",65,6,58
"S00136152",68,2,68
"S00136153",75,-,75
"S00136154",105,1,104
"S00136155",103,9,93
"S00136156",91,-,91
"S00136157",54,2,52
"S00136158",115,11,108
"S00136159",77,5,72
"S00136160",73,2,69
"S00136161",83,1,82
"S00136162",114,3,106
"S00136163",62,-,62
"S00136164",70,5,67
"S00136165",52,3,47
"S00136166",65,4,59
"S00136167",83,9,70
"S00136168",97,-,97
"S00136169",51,-,51
"S00136170",72,1,71
"S00136171",59,-,59
"S00136172",81,-,81
"S00136173",61,4,59
"S00136174",126,1,125
"S00136175",60,5,59
"S00136176",108,-,106
"S00136177",86,3,83
"S00136178",99,-,99
"S00136179",96,1,93
"S00136180",127,3,124
"S00136181",58,2,56
"S00136182",94,5,91
"S00136183",93,2,94
"S00136184",104,2,101
"S00136185",91,1,90
"S00136186",100,5,97
"S00136187",78,2,76
"S00136188",53,-,53
"S00136189",87,-,86
"S00136190",80,1,79
"S00136191",97,-,96
"S00136192",129,3,123
"S00136193",115,-,115
"S00136194",125,2,119
"S00136195",388,1,387
"S00136196",70,2,69
"S00136197",106,1,104
"S00136198",108,6,98
"S00136199",62,2,60
"S00136200",61,5,56
"S00136201",83,2,83
"S00136202",67,2,64
"S00136203",84,10,77
"S00136204",117,-,117
"S00136205",74,2,72
"S00136206",90,2,89
"S00136207",64,1,63
"S00136208",70,2,68
"S00136209",85,2,83
"S00136210",150,3,147
"S00136211",85,2,83
"S00136212",76,1,74
"S00136213",64,4,64
"S00136214",90,1,90
"S00136215",82,3,79
"S00136216",103,-,102
"S00136217",114,9,105
"S00136218",178,-,178
"S00136219",70,1,69
"S00136220",96,6,92
"S00136221",60,-,60
"S00136222",60,4,56
"S00136223",151,4,147
"S00136224",78,-,78
"S00136225",83,3,81
"S00136226",93,4,89
"S00136227",65,-,65
"S00136228",150,10,142
"S00136229",87,4,83
"S00136230",86,1,86
"S00136231",102,8,95
"S00136232",134,10,124
"S00136233",70,-,70
"S00136234",86,3,83
"S00136235",56,-,56
"S00136236",446,2,448
"S00136237",139,2,137
"S00136238",108,-,108
"S00136239",308,3,306
"S00136240",78,4,74
"S00136241",67,-,67
"S00136242",92,5,87
"S00136243",75,-,74
"S00136244",118,6,113
"S00136245",584,2,585
"S00136246",66,2,64
"S00136247",103,1,102
"S00136248",105,4,102
"S00136249",72,3,69
"S00136250",85,3,82
"S00136251",99,1,98
"S00136252",81,-,80
"S00136253",70,-,70
"S00136254",111,2,108
"S00136255",99,6,93
"S00136256",97,13,84
"S00136257",103,3,100
"S00136258",86,-,86
"S00136259",160,4,154
"S00136260",74,8,62
"S00136261",81,3,80
"S00136262",100,4,96
"S00136263",77,2,75
"S00136264",88,6,84
"S00136265",101,1,100
"S00136266",88,1,87
"S00136267",86,2,83
"S00136268",98,1,96
"S00136269",87,1,86
"S00136270",83,2,81
"S00136271",95,1,94
"S00136272",104,5,95
"S00136273",59,6,53
"S00136274",82,4,78
"S00136275",116,4,112
"S00136276",97,5,92
"S00136277",63,2,61
"S00136278",86,2,85
"S00136279",54,-,54
"S00136280",91,7,84
"S00136281",111,4,108
"S00136282",55,2,53
"S00136283",61,1,57
"S00136284",127,-,127
"S00136285",103,-,101
"S00136286",88,2,86
"S00136287",71,4,62
"S00136288",113,-,113
"S00136289",131,1,131
"S00136290",140,4,136
"S00136291",93,-,92
"S00136292",108,7,101
"S00136293",74,-,74
"S00136294",77,7,70
"S00136295",71,3,68
"S00136296",78,2,76
"S00136297",98,2,100
"S00136298",119,1,118
"S00136299",105,2,103
"S00136300",76,2,74
"S00136301",124,3,122
"S00136302",105,6,97
"S00136303",110,2,110
"S00136304",87,1,86
"S00136305",115,-,115
"S00136306",72,1,71
"S00136307",101,-,101
"S00136308",143,-,137
"S00136309",121,8,110
"S00136310",188,2,182
"S00136311",84,5,79
"S00136312",101,-,101
"S00136313",75,7,73
"S00136314",85,-,85
"S00136315",81,-,81
"S00136316",81,1,80
"S00136317",90,3,87
"S00136318",82,4,78
"S00136319",77,1,76
"S00136320",66,-,61
"S00136321",86,-,86
"S00136322",60,-,60
"S00136323",96,8,90
"S00136324",71,1,66
"S00136325",116,2,114
"S00136326",81,-,81
"S00136327",56,3,53
"S00136328",58,-,58
"S00136329",103,16,87
"S00136330",122,1,121
"S00136331",65,1,68
"S00136332",85,3,83
"S00136333",411,-,409
"S00136334",112,-,110
"S00136335",59,-,59
"S00136336",79,-,79
"S00136337",102,4,98
"S00136338",94,3,91
"S00136339",101,4,96
"S00136340",75,1,74
"S00136341",58,1,57
"S00136342",67,-,65
"S00136343",109,2,105
"S00136344",57,2,52
"S00136345",106,7,99
"S00136346",84,5,77
"S00136347",60,-,60
"S00136348",100,4,96
"S00136349",96,2,97
"S00136350",72,-,72
"S00136351",90,1,88
"S00136352",65,4,63
"S00136353",107,7,100
"S00136354",65,2,67
"S00136355",90,1,87
"S00136356",56,-,56
"S00136357",75,1,74
"S00136358",108,4,105
"S00136359",78,1,77
"S00136360",64,-,64
"S00136361",63,2,62
"S00136362",109,-,109
"S00136363",69,-,69
"S00136364",78,-,78
"S00136365",123,-,125
"S00136366",99,2,97
"S00136367",81,2,79
"S00136368",67,2,64
"S00136369",113,3,115
"S00136370",156,4,152
"S00136371",65,4,67
"S00136372",104,7,96
"S00136373",103,1,101
"S00136374",132,1,131
"S00136375",118,2,113
"S00136376",90,7,86
"S00136377",67,-,67
"S00136378",79,2,77
"S00136379",83,-,83
"S00136380",97,2,98
"S00136381",73,2,72
"S00136382",93,2,91
"S00136383",82,3,79
"S00136384",65,3,63
"S00136385",96,3,94
"S00136386",76,7,69
"S00136387",117,2,115
"S00136388",79,6,74
"S00136389",124,-,124
"S00136390",90,4,86
"S00136391",70,-,70
"S00136392",69,-,69
"S00136393",67,9,57
"S00136394",70,7,63
"S00136395",155,1,154
"S00136396",64,1,63
"S00136397",111,4,107
"S00136398",77,3,74
"S00136399",67,1,65
"S00136400",63,-,63
"S00136401",86,-,86
"S00136402",102,4,99
"S00136403",97,-,97
"S00136404",56,1,55
"S00136405",95,-,95
"S00136406",77,-,77
"S00136407",94,2,93
"S00136408",138,2,136
"S00136409",98,5,93
"S00136410",109,1,106
"S00136411",70,-,70
"S00136412",60,-,59
"S00136413",69,-,69
"S00136414",97,4,97
"S00136415",85,2,83
"S00136416",115,4,111
"S00136417",74,1,73
"S00136418",70,-,70
"S00136419",99,10,89
"S00136420",78,2,75
"S00136421",65,3,59
"S00136422",140,-,140
"S00136423",84,1,83
"S00136424",100,2,98
"S00136425",94,-,94
"S00136426",74,1,76
"S00136427",78,1,77
"S00136428",80,-,80
"S00136429",124,3,125
"S00136430",78,-,78
"S00136431",134,4,127
"S00136432",104,-,104
"S00136433",95,2,93
"S00136434",63,-,63
