Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00144197",133,119,97,1,21,1,1,8,-,4,1
"S00144198",119,106,95,1,6,2,-,2,-,6,6
"S00144199",150,140,124,6,10,-,-,1,-,8,1
"S00144200",72,72,62,-,10,-,-,-,-,-,-
"S00144201",91,73,63,-,11,-,-,1,-,15,-
"S00144202",99,74,72,-,2,-,-,1,-,22,-
"S00144203",107,72,65,2,5,-,-,-,-,33,2
"S00144204",157,118,109,-,6,-,-,-,-,38,1
"S00144205",87,60,43,4,13,2,-,11,-,17,1
"S00144206",120,99,82,-,17,-,-,10,-,10,1
"S00144207",89,71,58,2,13,-,-,12,-,8,-
"S00144208",103,89,55,-,30,3,-,2,-,13,-
"S00144209",97,94,86,-,6,4,-,2,-,4,-
"S00144210",83,45,32,-,13,-,-,25,-,14,1
"S00144211",68,38,37,-,1,-,-,16,2,13,2
"S00144212",83,76,66,-,10,-,-,-,-,8,1
"S00144213",64,55,38,2,16,-,-,3,-,6,-
"S00144214",82,58,53,-,5,1,-,4,-,17,2
"S00144215",99,76,75,2,2,-,-,5,-,18,-
"S00144216",182,169,154,-,19,-,-,5,1,6,2
"S00144217",110,80,60,-,18,-,-,13,1,16,-
"S00144218",141,120,97,7,17,2,2,10,2,2,3
"S00144219",108,76,61,-,15,-,1,12,-,18,2
"S00144220",91,68,52,-,16,-,1,5,-,18,-
"S00144221",81,61,42,-,19,-,5,5,-,9,1
"S00144222",83,58,48,-,10,-,-,12,-,16,-
"S00144223",84,73,61,-,12,-,-,1,1,8,-
"S00144224",114,100,89,4,11,1,-,3,-,15,-
"S00144225",82,75,63,1,8,-,-,-,-,6,-
"S00144226",112,80,68,2,17,-,7,4,1,13,4
"S00144227",92,80,77,1,7,-,-,3,2,-,-
"S00144228",127,116,107,-,5,-,-,1,-,13,1
"S00144229",141,120,112,4,4,-,-,2,-,13,4
"S00144230",103,73,69,-,3,-,-,1,-,26,-
"S00144231",109,101,68,-,30,-,-,1,-,7,6
"S00144232",120,111,101,1,6,-,-,4,-,8,-
"S00144233",117,92,64,5,21,-,6,3,-,17,-
"S00144234",106,76,65,1,13,-,10,5,-,15,-
"S00144235",181,140,136,-,1,-,1,1,-,39,-
"S00144236",91,68,43,-,24,2,4,9,-,8,-
"S00144237",117,82,62,-,20,-,1,25,-,9,-
"S00144238",130,111,92,4,12,3,-,17,-,1,1
"S00144239",140,130,115,1,12,-,-,1,1,7,-
"S00144240",112,100,92,3,6,-,-,-,-,12,-
"S00144241",89,78,71,-,3,-,-,-,-,14,1
"S00144242",128,105,79,4,20,2,-,4,1,10,4
"S00144243",64,51,30,-,14,4,3,7,-,6,-
"S00144244",92,73,62,-,8,-,-,6,-,10,-
"S00144245",126,112,99,1,14,2,1,3,-,3,7
"S00144246",107,78,52,1,25,-,4,4,-,21,-
"S00144247",164,143,131,8,5,-,3,-,-,19,-
"S00144248",115,107,102,-,2,2,-,2,-,9,-
"S00144249",104,65,52,3,14,-,1,18,-,18,-
"S00144250",170,139,79,-,60,-,3,2,-,22,4
"S00144251",109,82,70,-,10,2,1,11,-,15,2
"S00144252",87,58,52,1,4,1,-,10,-,18,1
"S00144253",114,93,66,-,26,-,-,6,-,11,2
"S00144254",92,85,74,5,13,-,-,1,-,3,1
"S00144255",92,79,80,-,-,-,-,3,-,6,-
"S00144256",107,92,87,3,2,-,-,14,-,1,1
"S00144257",152,142,133,2,3,1,-,1,-,9,-
"S00144258",106,85,44,-,37,2,1,10,-,9,1
"S00144259",125,103,77,1,23,-,7,4,-,11,-
"S00144260",78,67,33,-,34,-,-,4,-,4,3
"S00144261",65,61,53,-,4,1,-,-,-,2,3
"S00144262",77,57,43,1,9,1,21,4,-,2,-
"S00144263",91,81,72,4,5,-,-,3,-,12,1
"S00144264",73,71,63,-,4,1,-,-,-,3,-
"S00144265",78,56,52,-,4,-,-,2,-,20,-
"S00144266",91,65,65,-,-,-,3,4,-,23,1
"S00144267",65,48,39,-,9,1,-,1,-,16,-
"S00144268",96,77,57,5,17,-,-,9,1,2,4
"S00144269",85,71,68,-,7,-,7,-,-,1,-
"S00144270",102,95,83,2,10,-,1,-,-,6,-
"S00144271",111,89,77,-,23,-,-,4,-,10,4
"S00144272",90,78,57,-,21,-,-,8,-,4,2
"S00144273",133,129,109,5,14,-,1,-,-,-,3
"S00144274",145,116,83,1,32,-,-,12,-,17,1
"S00144275",96,77,69,3,5,-,-,-,-,17,2
"S00144276",147,131,126,-,5,-,2,4,1,7,2
"S00144277",114,86,66,-,15,-,-,-,-,24,-
"S00144278",90,67,55,3,9,-,5,7,-,11,-
"S00144279",114,84,64,1,18,1,-,15,-,8,8
"S00144280",85,69,63,-,7,-,4,4,-,6,4
"S00144281",117,73,45,-,23,5,3,3,-,35,3
"S00144282",151,110,76,5,30,-,-,11,-,29,-
"S00144283",115,90,59,-,31,1,8,14,-,3,1
"S00144284",77,72,60,1,11,-,-,-,-,5,-
"S00144285",138,125,114,-,11,-,-,-,3,9,-
"S00144286",127,104,90,1,15,1,-,2,-,8,7
"S00144287",220,203,192,7,4,-,-,4,-,12,5
"S00144288",122,110,68,-,41,1,-,5,-,8,-
"S00144289",127,85,60,-,28,-,-,11,-,21,4
"S00144290",181,145,128,-,17,-,-,19,-,11,4
"S00144291",72,59,43,-,12,2,-,2,-,12,-
"S00144292",70,51,36,-,18,-,-,6,-,12,-
"S00144293",105,93,67,2,20,-,-,3,1,10,2
"S00144294",101,70,56,2,12,-,-,18,-,13,-
"S00144295",66,63,59,1,3,-,-,-,-,3,-
"S00144296",149,127,100,4,16,6,-,10,-,8,4
"S00144297",71,59,55,-,5,1,-,4,-,4,2
"S00144298",77,61,42,1,12,7,-,4,-,9,-
"S00144299",121,114,111,4,4,-,-,4,-,2,-
"S00144300",66,45,37,-,8,-,-,-,-,17,-
"S00144301",110,97,72,6,19,-,1,7,1,4,-
"S00144302",102,80,59,-,21,-,13,-,-,7,2
"S00144303",162,114,108,-,9,-,8,-,-,41,-
"S00144304",164,73,59,-,14,-,6,73,-,8,1
"S00144305",123,105,98,-,7,-,-,3,-,11,1
"S00144306",85,78,67,1,10,-,-,-,-,3,1
"S00144307",60,56,45,2,7,-,-,-,-,2,2
"S00144308",112,97,85,4,8,1,-,-,-,14,-
"S00144309",83,70,47,5,15,3,-,9,-,2,1
"S00144310",99,74,71,-,5,-,-,11,-,10,-
"S00144311",130,62,48,2,12,1,-,57,-,8,2
"S00144312",162,150,139,2,8,-,-,2,-,9,1
"S00144313",166,149,131,1,14,-,-,-,-,19,-
"S00144314",69,63,45,4,11,-,-,1,-,8,-
"S00144315",122,78,71,-,7,-,-,29,-,16,2
"S00144316",103,91,75,1,15,-,-,3,-,5,-
"S00144317",142,135,127,5,4,-,-,4,-,1,1
"S00144318",83,77,69,-,10,-,-,4,-,-,1
"S00144319",93,92,88,-,4,-,-,-,-,1,-
"S00144320",143,116,104,1,8,1,1,2,-,24,1
"S00144321",92,76,54,-,22,-,3,4,-,12,-
"S00144322",92,86,83,-,3,-,-,2,-,5,-
"S00144323",97,86,77,-,9,-,-,2,-,6,-
"S00144324",127,88,61,-,27,-,6,-,-,33,-
"S00144325",108,86,70,1,12,4,4,3,1,16,-
"S00144326",126,103,98,1,6,1,-,8,2,12,1
"S00144327",107,87,82,-,4,1,4,3,-,14,-
"S00144328",132,120,114,1,5,-,-,1,-,7,3
"S00144329",66,60,55,2,6,-,-,-,-,1,2
"S00144330",95,81,75,-,6,-,-,11,-,3,3
"S00144331",92,83,75,-,6,2,-,-,-,8,-
"S00144332",93,81,49,-,25,6,3,3,-,3,5
"S00144333",62,48,33,5,10,-,5,9,-,2,-
"S00144334",60,44,40,-,4,-,1,7,-,8,-
"S00144335",67,48,48,-,1,-,-,-,-,17,1
"S00144336",180,161,151,1,12,-,-,4,3,8,5
"S00144337",73,64,60,2,3,-,2,2,-,7,1
"S00144338",202,113,96,1,15,1,8,12,1,66,-
"S00144339",96,61,47,1,15,-,4,2,-,26,2
"S00144340",96,88,82,3,2,-,-,1,-,1,1
"S00144341",125,102,73,-,26,-,-,4,-,15,-
"S00144342",82,70,63,1,3,-,-,7,-,7,-
"S00144343",82,77,62,4,9,-,-,1,-,2,-
"S00144344",111,71,64,-,7,-,4,-,-,36,-
"S00144345",85,56,35,-,18,-,11,2,-,20,-
"S00144346",105,97,91,1,4,1,-,-,1,6,-
"S00144347",64,45,35,-,11,1,3,-,-,10,4
"S00144348",64,58,43,1,12,-,-,-,-,4,2
"S00144349",102,78,68,-,3,1,4,4,-,20,-
"S00144350",66,40,36,2,1,1,1,5,-,15,5
"S00144351",103,98,93,5,1,1,-,-,-,5,-
"S00144352",151,95,68,-,28,-,2,7,-,45,2
"S00144353",153,115,65,4,47,-,6,16,1,13,4
"S00144354",112,106,105,-,1,-,-,-,-,3,1
"S00144355",131,114,112,-,1,1,-,2,-,15,-
"S00144356",93,72,55,-,12,2,-,10,-,9,2
"S00144357",136,136,127,1,5,-,-,-,-,2,1
"S00144358",187,136,74,-,62,-,6,8,-,36,1
"S00144359",84,64,43,-,15,-,-,4,-,15,1
"S00144360",112,84,73,1,10,1,1,2,-,20,3
"S00144361",76,60,42,4,19,-,4,1,-,6,3
"S00144362",106,78,55,-,21,-,2,1,-,22,-
"S00144363",101,85,77,-,8,-,6,8,-,4,-
"S00144364",131,118,98,-,17,-,1,9,2,2,2
"S00144365",75,59,57,-,3,-,-,1,-,14,-
"S00144366",159,125,101,3,21,-,-,30,-,1,5
"S00144367",114,81,66,2,12,-,4,1,-,28,-
"S00144368",142,109,89,-,20,-,-,3,-,28,-
"S00144369",86,75,68,-,7,-,-,5,-,7,1
"S00144370",100,88,83,1,4,-,-,-,-,12,1
"S00144371",151,131,116,2,13,1,-,6,-,9,4
"S00144372",100,82,77,3,7,-,5,2,1,10,-
"S00144373",111,102,95,1,6,1,-,-,-,7,2
"S00144374",116,102,99,-,2,-,-,1,-,14,1
"S00144375",107,79,64,2,9,-,2,15,-,10,-
"S00144376",68,58,54,-,4,-,-,5,2,3,1
"S00144377",146,109,80,-,28,-,2,-,-,35,-
"S00144378",148,113,93,-,20,-,-,4,-,31,-
"S00144379",66,47,46,-,1,-,-,4,-,15,-
"S00144380",100,73,50,1,19,3,4,6,-,14,3
"S00144381",143,102,76,6,16,-,-,4,-,33,2
"S00144382",78,68,58,7,5,-,2,3,-,3,-
"S00144383",85,57,52,2,6,-,-,13,-,15,-
"S00144384",214,190,184,5,5,-,1,12,-,10,1
"S00144385",61,41,33,3,5,-,-,12,-,5,2
"S00144386",69,55,42,-,10,-,1,6,-,14,-
"S00144387",156,98,74,2,21,4,3,31,-,23,1
"S00144388",119,85,67,-,15,-,1,12,-,17,3
"S00144389",156,125,105,-,20,-,2,4,-,26,-
"S00144390",117,93,67,-,26,-,5,-,-,18,1
"S00144391",128,120,113,2,5,-,-,-,-,4,4
"S00144392",139,96,59,-,33,1,6,3,-,31,1
"S00144393",146,118,104,-,14,-,-,-,-,28,-
"S00144394",106,90,70,-,18,4,-,2,-,14,-
"S00144395",164,113,107,-,3,-,2,-,-,52,1
"S00144396",147,136,131,1,-,1,-,1,-,6,4
"S00144397",460,264,203,6,29,26,12,147,-,11,26
"S00144398",155,145,138,-,3,1,1,4,-,3,4
"S00144399",117,88,78,-,10,-,1,14,-,12,5
"S00144400",117,105,93,1,13,-,2,2,-,6,2
"S00144401",92,70,52,-,18,-,7,-,-,18,-
"S00144402",133,97,76,2,19,-,2,1,-,29,7
"S00144403",144,119,109,-,9,1,2,3,-,19,-
"S00144404",85,73,65,-,8,-,1,6,-,8,2
"S00144405",91,63,45,-,15,-,3,3,-,21,1
"S00144406",151,116,89,1,17,6,4,5,-,22,-
"S00144407",117,95,82,-,7,-,-,6,-,21,-
"S00144408",104,74,52,-,22,-,8,1,-,17,-
"S00144409",166,118,91,2,28,-,6,11,-,28,-
"S00144410",202,142,131,3,8,-,-,9,2,45,4
"S00144411",96,57,39,-,18,-,-,22,-,17,-
"S00144412",94,80,71,1,6,1,-,3,-,12,-
"S00144413",109,104,97,1,8,4,-,-,-,-,1
"S00144414",137,104,56,-,46,2,1,8,-,24,-
"S00144415",102,93,79,1,10,6,-,2,-,6,2
"S00144416",102,68,39,-,29,-,2,5,1,27,-
"S00144417",138,117,86,1,34,-,5,3,-,11,2
"S00144418",199,155,131,3,15,-,4,18,1,14,7
"S00144419",754,344,317,1,26,-,3,8,-,396,3
"S00144420",98,60,45,-,18,-,2,3,-,33,-
"S00144421",111,94,78,-,14,1,-,9,-,7,1
"S00144422",71,59,54,-,3,-,4,-,2,7,1
"S00144423",62,43,34,-,7,1,-,2,-,18,-
"S00144424",67,40,31,-,7,-,-,2,-,27,-
"S00144425",94,74,69,-,3,-,-,8,-,10,-
"S00144426",137,124,114,-,8,3,1,6,2,5,2
"S00144427",156,132,130,1,1,-,-,1,1,24,-
"S00144428",129,101,92,1,5,-,1,24,2,4,2
"S00144429",102,85,72,-,12,-,5,6,-,4,-
"S00144430",70,62,47,-,14,1,-,4,-,4,-
"S00144431",85,74,67,1,6,-,-,-,-,10,-
"S00144432",121,108,101,6,1,-,-,-,-,13,-
"S00144433",131,102,89,-,11,-,2,4,-,23,-
"S00144434",110,80,58,-,22,-,-,10,-,20,-
"S00144435",163,139,128,1,9,2,1,3,-,20,-
"S00144436",216,158,126,2,27,3,4,10,-,44,-
"S00144437",110,77,51,-,25,1,-,-,-,32,2
"S00144438",159,109,91,-,18,-,-,30,-,17,3
"S00144439",119,106,85,-,21,-,-,-,1,8,4
"S00144440",87,72,54,3,12,-,-,3,-,7,2
"S00144441",76,53,48,-,5,-,-,2,-,21,-
"S00144442",181,166,149,2,10,2,-,6,-,7,-
"S00144443",150,110,102,-,11,-,4,8,-,26,-
"S00144444",80,56,53,1,2,1,-,-,-,24,-
"S00144445",178,142,91,-,53,1,17,7,-,10,2
"S00144446",76,70,67,1,2,-,-,-,-,5,1
"S00144447",147,123,114,-,6,2,8,2,-,12,-
"S00144448",121,95,69,-,27,1,1,-,-,25,-
"S00144449",104,84,76,2,3,-,-,6,-,12,2
"S00144450",112,100,85,2,7,-,-,5,-,7,-
"S00144451",85,61,54,-,3,-,-,7,-,16,-
"S00144452",71,57,44,1,11,1,-,5,-,6,-
"S00144453",132,117,102,3,10,-,-,1,1,6,9
"S00144454",100,88,80,2,9,-,-,-,-,5,2
"S00144455",262,162,145,3,15,2,-,4,2,81,9
"S00144456",116,104,86,11,6,1,-,3,-,-,5
"S00144457",105,78,63,-,15,-,3,4,-,20,-
"S00144458",75,64,59,-,4,1,3,4,-,4,4
"S00144459",128,113,104,4,3,3,-,-,1,11,3
"S00144460",106,78,73,1,5,2,-,25,-,2,-
"S00144461",99,91,83,1,6,1,-,1,-,5,2
"S00144462",75,48,43,2,3,-,-,-,-,27,-
"S00144463",152,103,97,-,6,-,3,21,-,24,1
"S00144464",92,68,68,-,3,-,1,-,-,17,-
"S00144465",147,111,74,1,38,-,7,2,-,26,3
"S00144466",118,93,78,1,12,-,-,14,-,11,-
"S00144467",92,87,81,4,2,-,-,1,-,8,-
"S00144468",134,108,94,1,13,-,1,8,-,17,-
"S00144469",107,81,66,2,13,-,-,7,-,18,-
"S00144470",81,64,44,4,19,-,-,2,-,13,-
"S00144471",106,93,90,-,4,-,-,1,-,7,5
"S00144472",95,72,51,-,21,-,3,-,-,19,-
"S00144473",76,64,57,4,5,-,1,2,2,5,1
"S00144474",106,97,74,3,19,1,-,4,-,4,-
"S00144475",169,126,121,-,5,-,-,-,-,43,-
"S00144476",90,84,63,-,16,4,-,2,-,4,-
"S00144477",99,73,69,-,2,-,-,6,-,17,3
"S00144478",128,111,105,-,6,2,-,11,-,1,3
"S00144479",134,81,73,-,12,-,5,4,-,43,1
"S00144480",132,124,107,5,7,-,-,9,-,2,-
"S00144481",179,150,119,1,29,1,4,10,-,15,-
"S00144482",79,52,47,-,5,-,1,-,-,25,-
"S00144483",137,108,91,4,14,1,-,20,-,5,2
"S00144484",136,127,120,3,5,-,-,-,1,8,-
"S00144485",98,84,80,1,5,-,1,3,-,8,-
"S00144486",133,74,75,-,1,-,-,2,-,48,3
"S00144487",135,119,117,1,3,-,-,-,-,8,6
"S00144488",77,57,53,-,4,-,-,8,-,12,1
"S00144489",144,131,112,-,19,-,-,7,-,3,3
"S00144490",147,108,85,7,16,-,-,34,-,4,-
"S00144491",104,75,48,-,24,3,3,5,-,20,-
"S00144492",67,58,44,-,12,2,1,2,1,-,5
"S00144493",96,72,72,-,-,-,-,-,-,24,-
"S00144494",105,76,69,1,6,-,-,3,-,26,-
"S00144495",115,89,73,5,8,-,1,8,-,6,7
"S00144496",100,81,68,-,16,-,2,10,-,3,-
"S00144497",119,87,87,-,2,-,2,-,-,29,-
"S00144498",157,132,111,5,19,-,-,13,-,6,5
"S00144499",84,74,55,1,14,-,-,4,1,4,2
"S00144500",145,132,129,2,1,-,-,4,-,9,-
"S00144501",83,57,45,-,11,-,-,19,-,6,1
"S00144502",106,80,65,4,13,-,4,1,-,17,-
"S00144503",84,68,67,1,-,-,-,-,1,15,-
"S00144504",98,86,54,-,30,1,-,1,-,15,-
"S00144505",113,90,74,2,10,-,4,2,-,19,-
"S00144506",105,87,67,4,12,1,3,7,-,3,4
"S00144507",233,178,144,-,32,4,2,33,4,16,-
"S00144508",112,96,85,2,8,1,2,7,-,-,6
"S00144509",146,130,120,4,9,-,-,3,-,10,1
"S00144510",152,106,73,-,33,5,12,2,-,32,-
"S00144511",81,72,68,-,4,-,-,2,-,4,-
"S00144512",90,82,79,1,1,-,-,-,-,8,-
"S00144513",119,108,102,1,4,-,-,-,6,8,-
"S00144514",105,82,70,3,9,-,-,16,1,6,-
"S00144515",192,182,172,-,10,-,-,-,-,6,2
"S00144516",104,88,85,-,3,-,-,3,-,15,2
"S00144517",93,72,70,1,-,-,-,8,1,10,4
"S00144518",126,99,66,-,33,1,2,6,-,21,-
"S00144519",161,157,144,-,13,-,-,4,1,-,1
"S00144520",144,118,103,2,13,-,-,5,-,19,-
"S00144521",120,104,83,5,12,-,-,7,-,6,4
"S00144522",105,94,69,5,20,-,-,7,-,2,3
"S00144523",110,102,94,-,1,5,-,-,-,6,2
"S00144524",118,103,98,2,3,-,1,2,-,11,1
"S00144525",63,56,52,-,3,-,-,-,1,6,-
"S00144526",103,88,82,-,6,-,-,4,2,8,2
"S00144527",294,203,172,5,25,4,2,67,-,17,5
"S00144528",79,71,55,2,11,-,-,4,-,1,-
"S00144529",120,99,68,-,28,-,-,4,-,18,-
"S00144530",129,111,86,4,16,4,-,7,-,13,-
"S00144531",98,94,89,-,5,-,-,1,-,-,2
"S00144532",126,112,104,-,8,-,-,9,-,5,-
"S00144533",131,111,89,6,15,1,-,6,-,11,1
"S00144534",143,135,128,3,4,-,-,5,-,4,-
"S00144535",108,90,68,3,15,-,4,5,-,7,1
"S00144536",173,158,139,2,17,1,-,9,-,6,-
"S00144537",61,51,48,-,3,-,1,5,-,4,-
"S00144538",65,55,56,-,2,-,-,3,-,2,-
"S00144539",98,89,47,-,43,-,6,-,-,1,3
"S00144540",141,136,120,2,15,-,-,-,-,7,-
"S00144541",165,130,116,7,7,-,-,6,-,27,1
"S00144542",129,61,53,-,7,-,-,10,-,59,-
"S00144543",157,151,147,1,3,-,1,-,-,6,-
"S00144544",101,93,73,7,15,1,-,1,-,5,3
"S00144545",110,83,80,-,3,-,-,4,1,22,-
"S00144546",147,135,119,2,10,1,3,3,-,3,2
"S00144547",150,117,111,2,2,-,-,10,6,15,2
"S00144548",113,93,74,-,19,-,1,8,-,12,-
"S00144549",118,86,73,-,11,-,-,2,-,30,-
"S00144550",204,192,191,1,5,-,1,-,-,11,1
"S00144551",109,93,88,2,2,-,4,4,-,9,-
"S00144552",101,100,96,-,4,-,-,-,-,-,-
"S00144553",86,49,39,-,9,1,1,-,-,41,-
"S00144554",81,77,65,1,10,1,-,-,-,-,4
"S00144555",138,130,126,-,1,3,-,1,-,5,3
"S00144556",142,125,119,-,6,-,1,2,-,14,-
"S00144557",76,65,61,2,5,-,-,3,-,8,-
"S00144558",126,116,100,-,13,1,-,-,-,5,4
"S00144559",104,89,78,2,8,1,1,4,2,4,4
"S00144560",167,131,117,-,14,-,3,27,-,6,-
"S00144561",124,110,104,-,6,-,-,8,-,-,6
"S00144562",90,72,58,2,12,-,-,6,-,6,8
"S00144563",132,110,93,2,12,-,1,1,-,20,-
"S00144564",102,98,72,4,19,-,2,-,-,-,5
"S00144565",125,111,95,2,15,-,-,6,-,9,2
"S00144566",88,62,55,1,6,-,-,17,-,9,-
"S00144567",61,59,59,-,-,-,-,1,-,1,-
"S00144568",68,62,53,1,4,1,1,1,-,1,-
"S00144569",127,119,111,1,9,-,-,5,-,3,-
"S00144570",64,58,39,1,18,-,1,1,-,3,1
"S00144571",129,110,102,-,8,-,-,4,-,14,2
"S00144572",109,58,46,-,12,-,8,1,1,41,-
"S00144573",131,115,115,-,2,2,-,-,-,3,9
"S00144574",73,60,60,-,-,-,-,1,-,14,-
"S00144575",119,104,82,2,18,3,-,9,-,4,-
"S00144576",61,55,51,1,3,-,-,1,-,7,-
"S00144577",93,85,81,-,2,-,-,3,-,4,-
"S00144578",103,74,55,-,19,-,-,9,-,19,2
"S00144579",78,67,61,3,3,-,-,8,-,4,-
"S00144580",61,42,34,-,6,-,-,7,-,14,-
"S00144581",99,88,78,-,10,-,-,1,-,9,1
"S00144582",178,147,133,-,14,-,-,9,-,17,2
"S00144583",83,83,81,-,-,-,-,-,-,-,-
"S00144584",134,122,106,-,15,-,-,6,-,3,3
"S00144585",153,145,136,6,3,-,-,-,-,6,-
"S00144586",87,76,70,1,2,-,3,-,-,8,-
"S00144587",89,81,78,-,3,-,-,1,-,5,-
"S00144588",118,113,104,-,9,-,-,-,-,2,4
"S00144589",123,116,101,11,6,-,-,-,-,5,1
"S00144590",158,151,147,-,4,-,-,-,-,6,1
"S00144591",114,95,87,-,6,1,1,-,1,14,3
"S00144592",94,80,78,-,3,1,-,-,-,13,-
"S00144593",110,94,92,-,1,-,-,5,-,10,-
"S00144594",118,84,71,-,13,-,-,16,-,21,-
"S00144595",112,93,69,-,22,2,2,1,-,16,1
"S00144596",99,91,89,-,3,-,-,1,-,6,-
"S00144597",106,103,102,2,-,-,-,-,-,3,-
"S00144598",85,79,67,-,12,-,-,2,-,3,1
"S00144599",108,103,96,3,1,-,-,-,-,1,-
"S00144600",134,117,114,-,-,2,-,1,-,13,4
"S00144601",104,98,95,-,5,-,-,-,-,6,-
"S00144602",165,129,97,1,31,-,3,8,-,25,-
"S00144603",131,89,66,1,21,1,-,17,-,15,5
"S00144604",158,140,116,8,16,-,1,7,-,8,2
"S00144605",107,86,70,-,16,-,-,7,-,9,4
"S00144606",111,100,83,1,10,6,-,2,2,8,-
"S00144607",152,118,103,3,17,1,1,11,-,24,-
"S00144608",97,86,76,1,9,-,-,1,-,6,2
"S00144609",109,87,65,-,21,2,-,14,-,6,-
"S00144610",115,109,105,-,5,1,-,-,-,6,-
"S00144611",125,111,109,-,-,-,-,4,-,10,-
"S00144612",96,65,45,-,16,-,5,3,-,24,-
"S00144613",73,63,56,-,5,4,-,4,-,6,-
"S00144614",160,156,154,1,-,-,-,1,1,2,2
"S00144615",77,65,52,3,10,-,-,10,-,2,-
"S00144616",126,96,69,1,26,-,6,15,-,11,-
"S00144617",141,137,135,-,1,-,-,-,-,2,-
"S00144618",100,74,62,2,14,-,-,10,-,16,-
"S00144619",60,42,38,-,3,-,5,1,-,9,-
"S00144620",76,59,57,-,2,-,3,6,-,7,-
"S00144621",139,121,91,-,25,-,3,5,-,11,-
"S00144622",128,101,85,3,15,-,2,1,-,16,2
"S00144623",129,114,102,4,7,1,-,1,-,11,2
"S00144624",93,73,68,1,4,-,4,4,-,7,5
"S00144625",155,130,107,3,19,-,-,14,-,12,1
"S00144626",84,80,76,-,2,-,-,-,-,6,-
"S00144627",124,112,112,1,5,-,-,-,1,14,-
"S00144628",62,53,35,-,18,-,-,-,1,10,-
"S00144629",221,155,137,5,12,1,4,46,-,13,5
"S00144630",73,49,37,-,15,-,4,8,-,9,3
"S00144631",76,50,48,2,-,-,-,11,-,14,-
"S00144632",140,104,74,-,30,-,22,-,-,12,1
"S00144633",84,73,53,3,16,-,-,6,-,4,2
"S00144634",88,74,58,-,12,-,-,-,-,14,-
"S00144635",73,56,50,-,6,-,4,4,-,6,-
"S00144636",147,110,95,2,14,-,1,9,-,25,-
"S00144637",95,65,53,-,9,3,-,22,1,3,1
"S00144638",141,129,109,3,16,-,1,5,1,5,1
"S00144639",113,104,94,-,10,-,-,-,-,11,-
"S00144640",154,127,120,2,6,-,-,-,-,13,10
"S00144641",112,106,100,1,4,-,2,-,-,4,-
"S00144642",89,67,57,1,9,-,-,7,-,8,6
"S00144643",71,62,57,1,7,-,-,-,3,4,2
"S00144644",122,101,92,-,9,-,-,4,-,18,-
"S00144645",129,116,116,-,-,-,-,2,-,11,-
"S00144646",96,70,69,-,6,-,-,2,-,23,-
"S00144647",168,153,148,1,4,-,-,-,-,12,-
"S00144648",76,66,57,-,5,2,-,3,-,6,6
"S00144649",106,84,77,-,2,2,-,10,-,10,2
"S00144650",110,84,76,-,8,-,3,1,-,15,-
"S00144651",97,72,64,-,10,-,-,4,-,23,-
"S00144652",97,69,58,4,9,-,2,13,2,11,-
"S00144653",175,118,112,-,5,-,21,1,-,33,-
"S00144654",137,130,128,1,1,-,-,3,-,1,3
"S00144655",113,73,64,-,9,-,-,-,-,38,4
"S00144656",159,135,113,1,20,1,6,2,-,10,5
"S00144657",92,88,87,-,2,-,-,-,-,5,-
"S00144658",203,196,191,1,2,1,-,3,-,4,-
"S00144659",159,134,111,4,19,-,5,4,2,11,2
"S00144660",86,81,77,-,3,-,-,-,-,5,-
"S00144661",108,87,77,1,8,2,-,10,-,7,4
"S00144662",126,109,99,2,5,-,-,-,1,11,1
"S00144663",131,113,110,-,1,-,-,-,-,18,-
"S00144664",182,174,157,9,6,-,-,-,-,8,2
"S00144665",94,84,81,5,-,-,-,-,-,10,-
"S00144666",75,63,42,2,19,-,1,1,-,11,-
"S00144667",105,86,71,1,11,3,4,2,1,9,-
"S00144668",82,76,73,2,1,2,1,-,-,3,1
"S00144669",97,73,62,5,5,1,3,14,-,9,-
"S00144670",66,60,43,-,17,-,-,1,-,4,1
"S00144671",89,72,64,-,8,-,-,6,-,8,1
"S00144672",100,83,68,2,14,-,5,5,-,8,1
"S00144673",86,77,61,-,10,-,1,-,2,6,2
"S00144674",137,130,125,-,4,-,-,-,1,7,1
"S00144675",108,98,94,1,6,-,-,3,-,6,-
"S00144676",104,85,69,-,10,-,5,6,-,14,1
"S00144677",157,143,127,9,7,-,-,3,-,8,3
"S00144678",161,108,93,-,15,-,10,11,-,29,-
"S00144679",115,99,88,-,9,-,-,6,-,16,-
"S00144680",145,118,101,5,13,-,2,8,4,10,-
"S00144681",81,75,73,-,2,-,-,-,-,-,3
"S00144682",116,92,57,5,32,2,8,2,-,17,-
"S00144683",82,55,43,1,8,-,2,20,-,8,-
"S00144684",153,104,91,-,13,-,1,1,-,47,-
"S00144685",65,65,66,-,-,-,-,-,-,-,-
"S00144686",83,74,67,-,7,-,-,1,-,8,-
"S00144687",205,199,183,7,6,-,-,1,-,7,3
"S00144688",111,108,102,1,5,-,-,-,-,3,-
"S00144689",118,81,56,-,22,-,3,15,3,14,4
"S00144690",255,219,201,5,11,-,6,5,-,23,2
"S00144691",128,125,121,2,-,-,-,-,-,2,1
