Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00135416",199,182,180,-,5,-,4,1,-,8,1
"S00135417",107,99,95,-,7,-,-,-,-,8,-
"S00135418",178,168,149,4,16,-,-,2,-,11,-
"S00135419",77,70,67,-,2,-,-,-,-,6,-
"S00135420",142,113,106,-,10,-,2,5,-,23,-
"S00135421",116,100,95,-,4,-,1,3,-,12,-
"S00135422",109,94,92,-,6,-,-,5,-,10,-
"S00135423",190,172,158,-,10,-,-,1,-,19,1
"S00135424",115,94,94,-,-,-,-,-,-,20,-
"S00135425",116,93,89,-,4,-,-,-,-,19,2
"S00135426",141,130,127,-,3,-,-,1,-,10,-
"S00135427",126,112,110,-,-,-,-,-,-,14,-
"S00135428",75,67,65,1,-,-,-,-,-,8,-
"S00135429",85,75,68,2,5,1,4,1,-,4,-
"S00135430",113,104,101,-,3,-,-,-,-,9,-
"S00135431",109,101,99,-,1,1,-,3,-,4,2
"S00135432",117,108,99,-,12,-,-,2,-,7,-
"S00135433",128,109,109,-,-,-,3,-,-,17,-
"S00135434",111,91,91,-,-,-,-,4,-,19,-
"S00135435",77,67,67,-,-,-,-,-,-,11,-
"S00135436",109,96,92,3,-,2,-,2,-,11,-
"S00135437",127,110,105,-,6,-,-,1,-,11,5
"S00135438",82,64,63,2,4,-,-,4,-,9,1
"S00135439",92,73,73,-,-,-,-,-,-,17,-
"S00135440",131,122,119,-,3,-,-,-,-,11,1
"S00135441",127,114,113,-,1,-,-,-,-,13,-
"S00135442",67,52,48,-,1,-,-,-,-,18,-
"S00135443",99,91,80,-,10,-,2,-,-,8,-
"S00135444",99,89,89,-,-,-,-,3,-,6,-
"S00135445",141,111,110,-,1,-,3,2,-,23,2
"S00135446",159,124,121,-,9,-,-,-,-,35,-
"S00135447",137,117,110,-,5,-,1,2,-,15,-
"S00135448",170,153,145,2,6,-,-,1,-,15,-
"S00135449",98,72,72,-,-,-,-,-,-,28,-
"S00135450",92,87,87,-,-,-,-,-,-,5,-
"S00135451",70,65,62,-,3,-,2,-,-,2,-
"S00135452",64,46,46,-,-,-,-,-,-,18,-
"S00135453",110,79,67,-,12,-,-,6,-,22,3
"S00135454",123,114,107,-,6,1,1,1,-,6,2
"S00135455",106,97,93,-,3,1,-,-,-,9,-
"S00135456",89,77,68,-,9,-,-,1,-,11,-
"S00135457",69,55,55,-,-,-,-,-,-,12,-
"S00135458",79,70,65,-,5,-,-,-,-,9,-
"S00135459",121,100,97,-,3,-,-,-,-,21,-
"S00135460",121,106,99,2,6,-,-,5,-,11,-
"S00135461",135,119,110,3,6,-,-,-,-,16,-
