OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00144304,55.93164629,-3.262935312,72,35,27,6,-,-
S00144305,55.93175647,-3.247716553,55,20,23,12,2,1
S00144306,55.9322563,-3.227483971,40,16,21,3,-,-
S00144307,55.93174112,-3.220552829,30,11,17,4,-,-
S00144308,55.93258491,-3.112485313,59,23,23,13,2,-
S00144309,55.93228764,-3.2511591,50,29,19,3,-,-
S00144310,55.93145929,-3.285354464,49,28,18,5,-,-
S00144311,55.93137496,-3.263982915,57,30,24,2,1,-
S00144312,55.9310212,-3.187573313,69,19,36,12,2,-
S00144313,55.93187594,-3.122292937,64,21,33,8,2,-
S00144314,55.93251804,-3.109938335,39,11,22,1,-,-
S00144315,55.93051112,-3.236664304,59,12,44,7,-,-
S00144316,55.93200397,-3.217599857,54,16,29,8,3,-
S00144317,55.93170088,-3.175733303,49,8,22,11,5,-
S00144318,55.93138245,-3.192962507,44,15,19,11,1,-
S00144319,55.93210784,-3.195994059,39,1,18,18,4,-
S00144320,55.93138587,-3.20277453,58,7,41,7,1,-
S00144321,55.9314294,-3.28391288,44,17,24,5,1,-
S00144322,55.93170517,-3.232284526,39,12,24,6,-,-
S00144323,55.93125991,-3.243506902,52,19,28,3,2,1
S00144324,55.93042671,-3.282695255,47,25,16,7,-,-
S00144325,55.93107087,-3.259459206,66,30,26,7,1,2
S00144326,55.93159296,-3.23988408,77,31,39,7,-,-
S00144327,55.93246106,-3.127095854,45,15,17,10,-,-
S00144328,55.93162076,-3.230841255,60,19,34,7,3,-
S00144329,55.93182993,-3.206982017,40,9,20,7,2,-
S00144330,55.93196174,-3.172876027,40,12,23,5,1,-
S00144331,55.93098093,-3.210172872,48,28,18,1,-,2
S00144332,55.93262078,-3.144851999,47,21,27,4,1,-
S00144333,55.93103753,-3.253919918,31,13,13,4,1,-
S00144334,55.93058566,-3.256818447,40,22,15,2,1,-
S00144335,55.93147989,-3.246635223,35,16,18,7,-,-
S00144336,55.93131699,-3.180171431,78,9,44,17,4,1
S00144337,55.93180677,-3.229310517,40,12,28,3,-,-
S00144338,55.93210885,-3.139010507,70,30,36,6,1,-
S00144339,55.93059123,-3.271160192,44,27,14,4,2,-
S00144340,55.93131032,-3.204068705,46,2,30,17,1,-
S00144341,55.93062081,-3.265671023,64,42,18,2,1,1
S00144342,55.93052359,-3.244347644,61,36,23,3,-,-
S00144343,55.93199455,-3.209436156,34,8,18,6,-,-
S00144344,55.93125155,-3.251429824,82,70,14,-,-,-
S00144345,55.93246253,-3.130857468,54,24,27,1,-,-
S00144346,55.93129559,-3.230110655,53,15,29,6,-,-
S00144347,55.93183296,-3.157041702,49,30,15,-,-,-
S00144348,55.9314966,-3.238744538,44,15,23,3,-,-
S00144349,55.9307016,-3.268298684,43,19,20,6,-,-
S00144350,55.9316132,-3.156522946,48,33,14,-,-,-
S00144351,55.93080007,-3.229342658,47,10,29,7,1,-
S00144352,55.93166585,-3.142214791,64,43,15,5,-,-
S00144353,55.93224379,-3.144808866,80,35,40,2,-,-
S00144354,55.93153186,-3.18493187,51,7,29,10,1,4
S00144355,55.9289085,-3.223488786,73,21,38,11,3,-
S00144356,55.93054405,-3.243211863,51,22,22,3,-,-
S00144357,55.9308913,-3.212891135,60,9,35,12,4,-
S00144358,55.93060589,-3.280156181,59,30,22,7,-,-
S00144359,55.93060563,-3.272377137,55,38,17,2,-,-
S00144360,55.93083179,-3.16030911,75,40,32,3,-,-
S00144361,55.93174343,-3.13674288,45,19,21,3,-,-
S00144362,55.93202261,-3.123945847,47,28,16,4,1,1
S00144363,55.93125085,-3.239056823,59,21,30,4,2,-
S00144364,55.93069258,-3.15695969,76,42,33,3,-,-
S00144365,55.93072132,-3.261128521,40,18,22,4,2,-
S00144366,55.93114375,-3.237196664,85,44,37,7,-,-
S00144367,55.93011636,-3.264918297,52,23,21,6,1,-
S00144368,55.93107013,-3.140564634,59,25,25,12,-,-
S00144369,55.93076169,-3.250117524,45,15,22,7,1,-
S00144370,55.9309341,-3.232115989,41,12,19,7,2,-
S00144371,55.93153263,-3.162218813,69,32,31,6,-,-
S00144372,55.92955879,-3.252655711,53,20,18,12,-,-
S00144373,55.93017518,-3.227130051,37,2,20,19,3,-
S00144374,55.93002161,-3.229013892,46,7,30,11,3,-
S00144375,55.93035063,-3.242789511,61,41,22,3,-,-
S00144376,55.93102593,-3.190806715,27,3,18,6,1,-
S00144377,55.93129867,-3.129415013,73,33,31,9,-,-
S00144378,55.93152107,-3.144259341,69,38,25,6,-,-
S00144379,55.93067184,-3.266825137,29,14,14,2,-,-
S00144380,55.9318841,-3.135130346,56,23,29,4,-,-
S00144381,55.93013529,-3.282205443,47,30,14,3,-,-
S00144382,55.93096584,-3.237911277,53,22,30,3,-,-
S00144383,55.92937028,-3.241989852,43,20,18,4,1,-
S00144384,55.93068742,-3.177415252,79,14,41,17,6,1
S00144385,55.93058585,-3.159709537,42,31,8,-,-,-
S00144386,55.93017469,-3.260982713,36,18,20,4,1,-
S00144387,55.92995424,-3.254413118,38,18,12,3,3,2
S00144388,55.93128276,-3.144764514,42,21,11,7,2,-
S00144389,55.92921616,-3.275532725,64,25,28,10,2,-
S00144390,55.93136141,-3.137243892,56,30,22,6,-,-
S00144391,55.93044452,-3.212637083,54,10,28,12,3,-
S00144392,55.931184,-3.145721974,87,60,20,4,1,2
S00144393,55.93127993,-3.125572979,61,31,16,7,2,3
S00144394,55.931534,-3.126284624,56,33,16,5,2,-
S00144395,55.93048935,-3.124573696,41,13,17,8,2,2
S00144396,55.93050568,-3.179506524,58,6,37,13,2,-
S00144397,55.92950065,-3.249532717,57,15,31,11,-,-
S00144398,55.93099736,-3.17412738,74,20,38,12,4,-
S00144399,55.93034786,-3.226031094,78,44,29,7,-,-
S00144400,55.93096613,-3.194198196,56,16,25,11,1,-
S00144401,55.93080677,-3.120309292,36,14,15,4,2,2
S00144402,55.93098719,-3.119242094,51,24,17,10,-,-
S00144403,55.92960968,-3.269623501,47,13,21,10,2,-
S00144404,55.93009947,-3.246302781,38,15,24,3,-,-
S00144405,55.92932185,-3.27747289,30,16,10,4,-,-
S00144406,55.93079467,-3.139260051,68,34,27,10,-,-
S00144407,55.92832012,-3.283938081,45,14,17,8,2,1
S00144408,55.92957073,-3.280330118,51,25,16,5,1,-
S00144409,55.92966598,-3.2763478,60,30,22,6,4,-
S00144410,55.92971035,-3.168678543,55,8,23,12,6,1
S00144411,55.93001339,-3.257424149,46,22,21,4,-,-
S00144412,55.93026622,-3.201491372,41,5,30,1,5,-
S00144413,55.93073866,-3.208308606,57,8,42,6,2,-
S00144414,55.93053371,-3.127584089,73,38,29,4,-,1
S00144415,55.93063527,-3.205104167,48,21,20,6,1,-
S00144416,55.93098896,-3.146404479,56,38,14,5,-,-
S00144417,55.93126765,-3.135720554,62,30,24,7,2,-
S00144418,55.92922013,-3.17015229,62,10,41,9,-,-
S00144419,55.92939337,-3.260941326,42,19,17,3,2,1
S00144420,55.93044372,-3.135424347,53,23,26,3,-,-
S00144421,55.92918425,-3.251491221,61,21,30,8,2,-
S00144422,55.93061457,-3.190602022,29,4,20,5,-,-
S00144423,55.93120484,-3.121985422,28,18,8,-,2,-
S00144424,55.92943747,-3.282774606,34,20,10,4,-,-
S00144425,55.92930137,-3.24080323,46,22,17,6,1,-
S00144426,55.9295806,-3.221861383,51,3,25,17,3,2
S00144427,55.92984887,-3.183343944,78,27,36,12,3,1
S00144428,55.92982949,-3.239219528,69,19,42,7,1,-
S00144429,55.93100793,-3.141459148,30,10,11,7,2,-
S00144430,55.92989311,-3.24538382,43,17,24,1,2,-
S00144431,55.9231075,-3.377977033,51,13,23,14,2,1
S00144432,55.92886219,-3.265421616,50,18,19,7,4,2
S00144433,55.92865801,-3.279963899,65,25,24,6,1,-
S00144434,55.92942383,-3.278036448,34,11,13,4,2,-
S00144435,55.93001,-3.18714223,58,6,35,20,-,-
S00144436,55.93031157,-3.142911207,76,35,31,13,1,-
S00144437,55.93067227,-3.121265766,46,32,10,4,-,-
S00144438,55.92775534,-3.241746123,73,34,31,4,2,-
S00144439,55.93026967,-3.208486078,55,23,24,8,-,-
S00144440,55.93034745,-3.206967931,36,13,22,1,-,-
S00144441,55.92882589,-3.256681442,49,35,9,3,4,-
S00144442,55.92595498,-3.117304565,79,5,51,20,-,1
S00144443,55.92876457,-3.270540183,65,23,29,9,2,4
S00144444,55.93016669,-3.161281589,49,28,19,2,-,-
S00144445,55.92988995,-3.129197962,84,34,34,16,-,-
S00144446,55.92926654,-3.192481335,31,1,20,10,2,1
S00144447,55.92891429,-3.232820139,66,12,38,14,2,1
S00144448,55.93031906,-3.14113478,46,19,22,6,2,-
S00144449,55.92906798,-3.243452689,68,39,23,3,-,-
S00144450,55.9299788,-3.206076147,52,21,27,4,-,-
S00144451,55.93039922,-3.12263438,30,12,14,2,2,-
S00144452,55.92994688,-3.207499673,28,8,14,6,-,-
S00144453,55.92994391,-3.205050691,61,18,37,2,4,-
S00144454,55.92978214,-3.210551647,59,23,29,7,-,-
S00144455,55.9264259,-3.211023147,76,31,39,6,2,-
S00144456,55.92944391,-3.209308667,42,18,25,2,-,-
S00144457,55.92909913,-3.282475324,43,26,10,6,1,-
S00144458,55.92922672,-3.16376632,41,15,21,8,-,-
S00144459,55.92898301,-3.212319334,64,22,26,15,1,-
S00144460,55.92918963,-3.239407173,60,17,30,8,-,-
S00144461,55.92964838,-3.175190964,38,11,23,2,-,-
S00144462,55.92980541,-3.161478854,56,45,10,3,1,-
S00144463,55.92683581,-3.272845749,71,22,35,18,2,-
S00144464,55.92862894,-3.268006888,42,19,16,4,2,1
S00144465,55.9300421,-3.130242758,50,12,30,6,2,-
S00144466,55.92856635,-3.245965462,62,30,27,6,2,-
S00144467,55.92898734,-3.171009561,38,7,19,11,2,1
S00144468,55.92764596,-3.282235254,53,18,17,9,10,-
S00144469,55.92841532,-3.243127682,60,31,25,4,-,-
S00144470,55.93011214,-3.123570414,28,10,14,3,2,-
S00144471,55.92905407,-3.186568812,47,8,33,7,-,-
S00144472,55.92995341,-3.119292313,45,20,17,5,5,-
S00144473,55.92931933,-3.234545604,47,15,24,6,-,-
S00144474,55.92929077,-3.211176546,82,46,32,6,-,-
S00144475,55.92899132,-3.191208455,47,19,19,8,1,-
S00144476,55.92964766,-3.165811652,49,15,25,6,2,-
S00144477,55.92934362,-3.207624957,57,29,26,2,-,-
S00144478,55.9294127,-3.182914504,45,11,22,11,1,-
S00144479,55.92955788,-3.122273932,59,30,22,6,1,-
S00144480,55.92825531,-3.231326735,58,12,31,10,2,1
S00144481,55.92978339,-3.12709813,72,27,33,9,4,-
S00144482,55.92818851,-3.252211363,58,36,20,2,-,-
S00144483,55.92962041,-3.178119145,70,29,36,5,-,-
S00144484,55.92860563,-3.182745862,50,5,29,13,1,2
S00144485,55.92849506,-3.209855295,55,29,28,3,-,-
S00144486,55.92703661,-3.240842874,39,9,26,6,-,-
S00144487,55.92879047,-3.173756528,58,10,33,11,2,2
S00144488,55.92853367,-3.250077782,45,20,20,4,2,-
S00144489,55.9279944,-3.166754306,73,25,30,14,-,-
S00144490,55.92813394,-3.248736481,76,33,38,9,-,-
S00144491,55.92814683,-3.279002735,40,16,18,5,1,-
S00144492,55.92900932,-3.211471867,52,32,18,3,-,-
S00144493,55.92770538,-3.269561218,45,18,22,6,-,2
S00144494,55.92870803,-3.179563938,83,54,27,-,-,1
S00144495,55.92935907,-3.176318596,52,13,33,3,-,-
S00144496,55.92967041,-3.126678706,45,5,26,14,-,-
S00144497,55.92822093,-3.268361681,43,18,14,9,1,1
S00144498,55.92887573,-3.180817448,61,19,30,11,-,-
S00144499,55.92883485,-3.210938245,53,23,24,5,-,-
S00144500,55.92684061,-3.229025216,72,13,41,18,-,2
S00144501,55.92848994,-3.20763041,47,21,16,3,-,-
S00144502,55.92711714,-3.277784453,42,13,17,9,4,-
S00144503,55.91804096,-3.351907174,36,2,18,11,4,3
S00144504,55.92903351,-3.130485481,54,22,29,3,-,-
S00144505,55.9272717,-3.280206277,52,26,20,6,-,-
S00144506,55.92880668,-3.17676601,46,15,29,1,-,-
S00144507,55.9275163,-3.275684936,81,13,48,23,-,-
S00144508,55.92852387,-3.208751832,59,37,22,-,-,-
S00144509,55.92784162,-3.195798597,77,28,35,12,-,1
S00144510,55.92876688,-3.120330445,60,37,17,4,2,-
S00144511,55.92713543,-3.252385456,39,8,20,12,1,-
S00144512,55.92850967,-3.186184051,35,3,23,6,1,-
S00144513,55.92762227,-3.265413207,50,10,28,12,-,-
S00144514,55.92619274,-3.252307031,56,19,28,9,-,-
S00144515,55.92686891,-3.23069059,82,21,44,14,4,2
S00144516,55.9278496,-3.244870119,61,26,27,7,-,-
S00144517,55.92800748,-3.250573001,56,14,33,4,1,-
S00144518,55.92913713,-3.128983999,61,24,29,7,-,-
S00144519,55.92802461,-3.174917737,63,8,35,10,4,1
S00144520,55.92602191,-3.276820152,62,19,34,6,-,-
S00144521,55.92794046,-3.208685651,53,22,23,5,-,-
S00144522,55.92876161,-3.125836065,40,6,27,9,-,-
S00144523,55.92847186,-3.191032463,50,10,33,4,2,1
S00144524,55.92847172,-3.156157264,54,16,28,10,-,-
S00144525,55.9265898,-3.253024039,38,11,22,5,-,-
S00144526,55.92844283,-3.179107735,54,20,29,4,-,-
S00144527,55.92393487,-3.166552292,62,13,34,14,1,-
S00144528,55.92839423,-3.210972516,44,21,23,3,-,-
S00144529,55.92868812,-3.12207273,48,28,18,1,-,-
S00144530,55.92730174,-3.264250409,79,27,42,10,-,-
S00144531,55.92692941,-3.19535438,46,8,28,9,2,-
S00144532,55.92782353,-3.185586909,47,3,30,13,2,-
S00144533,55.92796946,-3.181622138,71,30,30,10,-,1
S00144534,55.9275784,-3.171767298,57,4,33,18,2,-
S00144535,55.92875878,-3.128108716,35,6,25,6,-,-
S00144536,55.92786584,-3.178369989,74,18,43,12,-,1
S00144537,55.92730606,-3.251510695,36,14,16,5,2,-
S00144538,55.92830593,-3.157544764,33,10,17,6,-,-
S00144539,55.92877758,-3.130958183,51,19,25,3,1,-
S00144540,55.92772146,-3.210855499,59,16,38,4,2,-
S00144541,55.92751861,-3.177095073,68,17,40,10,1,-
S00144542,55.92445406,-3.285874707,37,17,14,6,1,-
S00144543,55.92525811,-3.376100843,56,1,17,34,3,1
S00144544,55.9278635,-3.204617995,56,19,26,11,-,-
S00144545,55.92479759,-3.153183206,56,19,34,6,-,-
S00144546,55.92775408,-3.203862369,55,11,33,8,1,-
S00144547,55.92721272,-3.193010418,69,12,47,8,2,-
S00144548,55.92800015,-3.126566209,47,7,30,11,1,-
S00144549,55.9268951,-3.280994094,63,36,20,6,-,1
S00144550,55.92486166,-3.373782199,63,1,17,41,4,-
S00144551,55.92691948,-3.251530241,56,14,29,7,-,-
S00144552,55.92657877,-3.268147982,38,6,18,15,3,1
S00144553,55.92797461,-3.123460531,79,71,9,-,-,-
S00144554,55.92774641,-3.207399216,48,21,24,3,-,-
S00144555,55.92676721,-3.182369763,60,11,37,6,4,-
S00144556,55.92667087,-3.266182425,54,5,32,7,4,2
S00144557,55.92015997,-3.138820006,30,5,19,5,-,1
S00144558,55.92759632,-3.206210189,66,21,42,5,1,-
S00144559,55.92736484,-3.211484566,59,25,30,4,-,-
S00144560,55.92652371,-3.275220195,56,12,26,15,5,-
S00144561,55.92713014,-3.174490551,44,6,26,12,1,1
S00144562,55.92743974,-3.207517716,67,35,24,5,-,-
S00144563,55.92618912,-3.278025983,49,20,18,7,-,-
S00144564,55.92700691,-3.209504829,46,19,21,6,-,-
S00144565,55.92698187,-3.210224256,70,24,42,3,2,-
S00144566,55.92701441,-3.184697952,46,16,27,4,-,-
S00144567,55.9272689,-3.189058989,28,3,22,3,-,-
S00144568,55.92709333,-3.204354027,31,9,21,-,-,1
S00144569,55.92689581,-3.168897897,48,7,23,14,4,1
S00144570,55.92702019,-3.211809908,35,13,21,1,-,-
S00144571,55.92569584,-3.268375208,56,17,31,5,3,-
S00144572,55.92730811,-3.123633297,82,64,17,1,-,-
S00144573,55.92640828,-3.175749055,48,2,26,19,3,-
S00144574,55.92682166,-3.186052451,47,23,18,2,-,-
S00144575,55.92681878,-3.211275471,82,45,34,2,-,-
S00144576,55.92588822,-3.279312427,34,16,11,5,-,-
S00144577,55.92556297,-3.240843786,48,8,31,9,-,-
S00144578,55.92554572,-3.28114162,39,18,15,5,1,-
S00144579,55.9261311,-3.236172681,47,12,28,7,-,-
S00144580,55.92561307,-3.271173234,30,12,14,3,2,-
S00144581,55.92567988,-3.262933262,46,26,15,6,-,1
S00144582,55.92672854,-3.189186478,67,17,39,11,2,-
S00144583,55.92625411,-3.231967452,37,2,21,12,1,-
S00144584,55.92587427,-3.237588877,75,14,41,17,2,1
S00144585,55.92652706,-3.206208975,53,4,28,14,4,-
S00144586,55.92551836,-3.234552765,47,18,21,9,-,-
S00144587,55.92627293,-3.191701196,36,9,11,14,4,-
S00144588,55.92590612,-3.203548998,47,4,28,15,5,-
S00144589,55.92634956,-3.201386157,55,5,35,11,4,-
S00144590,55.92579278,-3.17150535,55,2,19,28,6,2
S00144591,55.92603319,-3.211667069,72,42,24,6,-,-
S00144592,55.92436694,-3.377045495,43,4,16,23,-,-
S00144593,55.92547934,-3.278882845,43,12,23,5,1,-
S00144594,55.92535038,-3.273117129,54,19,27,7,-,-
S00144595,55.92556309,-3.214693162,80,50,24,6,-,-
S00144596,55.92625122,-3.194869374,46,16,22,5,-,2
S00144597,55.9256462,-3.233452547,37,1,15,14,4,4
S00144598,55.92560371,-3.209653161,45,25,19,4,-,-
S00144599,55.92491175,-3.200477463,43,4,18,19,1,2
S00144600,55.92604061,-3.169064197,57,12,28,12,3,2
S00144601,55.92555921,-3.242107989,45,8,19,15,3,-
S00144602,55.92477302,-3.268985212,74,27,37,6,2,-
S00144603,55.926101,-3.179692779,59,36,22,4,2,-
S00144604,55.92379995,-3.2472528,71,21,37,13,3,-
S00144605,55.9260951,-3.175611537,44,16,24,4,-,-
S00144606,55.92602295,-3.185948029,53,19,28,4,-,1
S00144607,55.92408762,-3.255199778,60,14,30,12,1,-
S00144608,55.92487722,-3.210430712,63,28,27,5,-,-
S00144609,55.92489805,-3.285521322,60,11,30,14,-,-
S00144610,55.92509151,-3.236795738,52,10,29,13,2,1
S00144611,55.92429367,-3.23392169,69,15,39,11,1,-
S00144612,55.92245649,-3.270557796,43,21,17,4,1,-
S00144613,55.92474493,-3.278650603,42,17,16,4,-,-
S00144614,55.92466009,-3.229628342,72,6,30,32,4,-
S00144615,55.92501973,-3.282468594,40,13,15,9,3,-
S00144616,55.92513917,-3.223930131,65,19,38,5,-,-
S00144617,55.92544119,-3.188506888,55,5,27,18,4,-
S00144618,55.92434993,-3.275148795,46,24,15,6,-,-
S00144619,55.9247943,-3.25991174,32,16,12,4,-,-
S00144620,55.9245918,-3.26825912,37,13,17,7,1,-
S00144621,55.92469344,-3.272343408,70,23,36,8,2,-
S00144622,55.92565245,-3.213831738,82,53,23,2,1,-
S00144623,55.9256336,-3.183455516,52,8,33,6,2,-
S00144624,55.92534088,-3.211709478,54,32,14,6,-,2
S00144625,55.92569535,-3.114224349,58,5,41,12,2,-
S00144626,55.92433121,-3.243589041,42,7,26,9,-,-
S00144627,55.92455836,-3.243340259,59,15,30,12,-,-
S00144628,55.92479269,-3.258311307,36,14,18,3,-,1
S00144629,55.92357762,-3.174831172,40,4,20,7,2,1
S00144630,55.92538712,-3.179174966,37,19,16,2,1,-
S00144631,55.92482351,-3.260568845,47,26,15,5,-,1
S00144632,55.92542678,-3.124987179,65,23,36,3,2,-
S00144633,55.92521259,-3.215610421,56,28,26,-,-,-
S00144634,55.92486716,-3.256297238,55,35,19,4,-,-
S00144635,55.92473778,-3.211818684,45,22,21,2,-,-
S00144636,55.92452932,-3.283828718,58,20,20,14,-,-
S00144637,55.92579592,-3.17589055,41,22,16,3,2,-
S00144638,55.92599802,-3.121466845,77,8,47,18,-,-
S00144639,55.92484564,-3.262794097,62,25,31,6,-,-
S00144640,55.92275593,-3.188360679,55,6,32,12,3,2
S00144641,55.92522577,-3.182882951,40,-,25,13,-,-
S00144642,55.92488279,-3.221697525,62,38,21,3,-,-
S00144643,55.92517973,-3.218025977,52,24,27,1,-,-
S00144644,55.92420506,-3.257780148,56,14,30,10,2,-
S00144645,55.92295987,-3.375107196,48,5,18,25,5,1
S00144646,55.92355356,-3.27742712,50,22,23,5,-,-
S00144647,55.92219484,-3.373607824,78,6,32,36,4,-
S00144648,55.92486224,-3.220144515,57,29,25,5,-,-
S00144649,55.92553174,-3.176266643,47,16,22,7,1,-
S00144650,55.92413861,-3.271252986,53,21,24,6,2,-
S00144651,55.92515004,-3.179535853,40,13,20,11,-,-
S00144652,55.92497708,-3.223060816,56,20,21,14,-,-
S00144653,55.92417854,-3.282136739,77,45,23,9,1,-
S00144654,55.92394716,-3.200799711,54,4,26,19,5,1
S00144655,55.92491689,-3.217345573,60,34,25,2,-,-
S00144656,55.92543067,-3.12061826,59,4,31,23,-,1
S00144657,55.92383681,-3.237363897,38,3,20,15,-,-
S00144658,55.92442289,-3.20636765,74,7,29,34,6,4
S00144659,55.92437428,-3.223137847,64,19,31,11,3,-
S00144660,55.92375901,-3.278410089,41,12,14,11,2,1
S00144661,55.92464186,-3.175359486,45,13,22,7,1,-
S00144662,55.92292054,-3.3866282,50,3,24,23,1,2
S00144663,55.9236624,-3.262515562,58,19,29,9,-,-
S00144664,55.92303412,-3.217830642,78,16,48,12,2,-
S00144665,55.9239137,-3.257274602,42,12,22,9,-,-
S00144666,55.92360793,-3.273043989,37,10,22,5,-,-
S00144667,55.92508746,-3.122784848,34,7,19,6,3,-
S00144668,55.92365757,-3.242671279,37,4,17,14,2,-
S00144669,55.92393338,-3.209553109,46,22,20,4,-,-
S00144670,55.92363839,-3.27096455,36,8,19,4,-,-
S00144671,55.92535122,-3.117495238,35,5,18,10,1,-
S00144672,55.92477993,-3.123992221,57,15,37,8,-,-
S00144673,55.92443222,-3.219106772,49,17,27,4,1,-
S00144674,55.92188804,-3.388943756,56,3,17,26,1,1
S00144675,55.92474342,-3.11714167,57,7,40,11,1,-
S00144676,55.92363779,-3.274501274,51,21,24,6,-,-
S00144677,55.92374383,-3.219661275,55,5,31,17,2,-
S00144678,55.92299584,-3.281809627,78,28,43,2,2,-
S00144679,55.92349558,-3.25950152,44,9,25,7,2,-
S00144680,55.9239528,-3.211234066,63,20,26,11,1,1
S00144681,55.92328419,-3.225231919,43,5,34,8,-,-
S00144682,55.92469521,-3.125398074,68,30,31,1,-,-
S00144683,55.92315664,-3.253089274,37,14,16,4,-,1
S00144684,55.92266253,-3.164273683,41,6,27,7,1,-
S00144685,55.92442599,-3.16971973,30,4,16,10,-,-
S00144686,55.92342797,-3.25556253,42,9,26,6,1,-
S00144687,55.92111934,-3.394149113,62,-,19,35,6,1
S00144688,55.92131926,-3.236627573,46,1,18,23,3,3
S00144689,55.92411279,-3.152426715,44,19,20,3,1,1
S00144690,55.92269549,-3.256018931,83,6,43,27,2,-
S00144691,55.92263716,-3.20152733,43,1,18,21,2,-
S00144692,55.9236614,-3.210712872,29,10,13,5,2,-
S00144693,55.92451371,-3.119679599,58,7,27,21,2,1
S00144694,55.92162022,-3.377588191,48,4,20,15,4,1
S00144695,55.923647,-3.223082929,43,4,27,10,-,-
S00144696,55.92056107,-3.222569674,46,5,26,15,1,-
S00144697,55.90139013,-3.124067279,33,2,20,9,4,-
S00144698,55.92257716,-3.252638494,42,20,24,4,-,-
S00144699,55.92295435,-3.284928863,41,14,14,9,2,1
S00144700,55.92301413,-3.257373497,48,10,26,10,2,-
S00144701,55.92285744,-3.264777819,40,20,15,3,1,-
S00144702,55.924183,-3.121462427,56,6,31,15,3,1
S00144703,55.922903,-3.277773786,57,25,24,8,-,-
S00144704,55.92186752,-3.383582048,36,7,16,11,1,1
S00144705,55.92252157,-3.263358624,76,14,35,23,5,-
S00144706,55.92116799,-3.383461105,63,16,26,14,1,2
S00144707,55.92284668,-3.260568675,47,9,25,7,2,1
S00144708,55.92205448,-3.239467452,57,9,24,15,3,2
S00144709,55.92285977,-3.155734105,58,21,31,6,-,-
S00144710,55.92159986,-3.383412482,38,3,24,7,2,-
S00144711,55.9222101,-3.285640363,34,11,18,5,-,-
S00144712,55.92302534,-3.24121077,55,3,33,16,5,1
S00144713,55.92020577,-3.393092168,51,1,14,28,3,1
S00144714,55.92273063,-3.220349576,53,4,19,28,2,-
S00144715,55.92228659,-3.274824986,59,21,27,8,-,-
S00144716,55.92330531,-3.22129582,49,9,30,9,1,-
S00144717,55.92181786,-3.288779897,60,15,29,13,1,-
S00144718,55.92122628,-3.387863909,45,14,17,13,-,1
S00144719,55.92325523,-3.205403192,47,6,18,19,4,-
S00144720,55.92336321,-3.222705917,36,10,16,10,-,-
S00144721,55.92274658,-3.210540319,74,29,34,8,2,-
S00144722,55.92344882,-3.211314362,54,23,27,3,1,-
S00144723,55.92369544,-3.121720396,58,4,19,25,9,1
S00144724,55.92274323,-3.209051949,59,13,28,12,1,1
S00144725,55.92208802,-3.261824261,32,10,12,8,1,1
S00144726,55.92257971,-3.212887527,60,5,34,17,5,1
S00144727,55.92216867,-3.246848339,46,4,20,17,4,2
S00144728,55.92052073,-3.381885816,70,20,33,14,2,1
S00144729,55.9206576,-3.385699259,33,3,13,17,4,-
S00144730,55.92298641,-3.222646042,55,17,31,7,-,-
S00144731,55.92158055,-3.27705816,54,20,23,10,-,-
S00144732,55.92204533,-3.283346516,42,16,17,7,1,2
S00144733,55.92289604,-3.153782843,65,23,33,8,-,-
S00144734,55.92287441,-3.212160599,44,19,25,-,-,-
S00144735,55.92164394,-3.243646995,60,15,28,20,2,-
S00144736,55.92282281,-3.166326847,53,4,25,19,6,-
S00144737,55.91741688,-3.249351894,64,4,20,39,10,2
S00144738,55.92282523,-3.151748388,40,18,18,3,1,-
S00144739,55.92216384,-3.260562509,46,8,23,14,-,1
S00144740,55.92141421,-3.292143024,40,26,11,4,-,-
S00144741,55.92289331,-3.211153005,42,17,19,6,-,-
S00144742,55.92288571,-3.158711398,48,18,18,10,4,-
S00144743,55.92206865,-3.280242755,49,18,23,7,1,-
S00144744,55.92181437,-3.285675267,53,19,32,5,-,-
S00144745,55.92106587,-3.258974643,46,15,22,7,2,-
S00144746,55.92270409,-3.150288547,55,20,28,5,2,-
S00144747,55.9213153,-3.294716128,50,46,8,-,-,-
S00144748,55.92169079,-3.272485052,46,35,10,-,-,-
S00144749,55.92136535,-3.281339737,45,13,25,8,1,-
S00144750,55.92101332,-3.265853911,63,29,27,7,-,-
S00144751,55.92184808,-3.217825447,45,6,32,5,4,-
S00144752,55.92081939,-3.254069989,47,4,22,17,-,-
S00144753,55.91733424,-3.314264433,59,3,29,19,7,1
S00144754,55.92216932,-3.219867858,50,5,28,16,1,1
S00144755,55.92153388,-3.274624245,53,37,17,1,-,-
S00144756,55.92113954,-3.288341321,31,12,13,6,1,-
S00144757,55.92162892,-3.206312848,61,3,27,23,6,3
S00144758,55.92116073,-3.210986947,48,4,16,24,3,1
S00144759,55.92217278,-3.210410411,58,14,30,9,1,-
S00144760,55.91999292,-3.385675539,28,9,14,7,2,-
S00144761,55.92237624,-3.15842415,60,26,29,6,-,1
S00144762,55.92194409,-3.222645225,37,17,16,4,-,-
S00144763,55.92007903,-3.274544485,37,19,14,4,-,-
S00144764,55.92187227,-3.211729251,40,20,19,1,-,-
S00144765,55.92155849,-3.210743314,41,12,20,9,-,-
S00144766,55.92075429,-3.276150865,70,41,23,6,-,-
S00144767,55.92124513,-3.291129245,54,28,23,3,1,-
