OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00135411,57.19464343,-2.130062901,95,17,52,26,4,-
S00135412,57.1948369,-2.115998139,51,3,26,20,3,-
S00135413,57.19423875,-2.101368439,56,3,20,24,9,3
S00135414,57.19428455,-2.120646205,39,5,16,14,4,-
S00135415,57.19438685,-2.126223006,40,4,15,17,4,-
S00135416,57.19364423,-2.113743995,80,7,37,29,3,4
S00135417,57.19432681,-2.132179848,64,6,34,15,2,-
S00135418,57.19214253,-2.177029281,67,3,26,38,-,-
S00135419,57.19271604,-2.106890831,57,11,36,9,1,-
S00135420,57.1934796,-2.095773479,75,14,37,23,1,-
S00135421,57.19340529,-2.12860241,56,5,27,21,3,-
S00135422,57.19354601,-2.131498626,61,5,40,15,-,-
S00135423,57.19351622,-2.116192554,70,-,29,37,6,1
S00135424,57.19089403,-2.183194897,62,15,38,7,5,1
S00135425,57.19208494,-2.179626785,63,15,31,13,4,-
S00135426,57.19274317,-2.116752708,55,-,29,15,6,1
S00135427,57.19235674,-2.126182974,67,11,38,18,3,2
S00135428,57.19261503,-2.109438712,27,4,7,13,3,-
S00135429,57.19180363,-2.102271794,37,4,11,14,7,1
S00135430,57.19187949,-2.118156409,47,-,28,18,3,-
S00135431,57.19077223,-2.100250354,46,3,22,15,4,3
S00135432,57.19224373,-2.13126234,59,5,33,19,-,-
S00135433,57.19192681,-2.115575341,59,6,31,17,3,2
S00135434,57.19202069,-2.129788925,59,11,33,14,3,1
S00135435,57.19117857,-2.127568809,41,6,24,8,2,2
S00135436,57.19170847,-2.097704786,49,2,21,20,5,2
S00135437,57.18798413,-2.176529571,60,9,32,19,-,-
S00135438,57.18420372,-2.199539162,41,8,21,11,4,-
S00135439,57.19137486,-2.119825943,47,8,24,12,4,-
S00135440,57.18884814,-2.102395966,61,3,27,23,3,1
S00135441,57.19000292,-2.107197339,62,5,24,20,6,3
S00135442,57.19074936,-2.125614927,52,30,18,2,2,1
S00135443,57.19108688,-2.110625488,52,9,23,15,3,2
S00135444,57.19018507,-2.13274412,34,1,10,22,2,-
S00135445,57.18991775,-2.11214416,64,5,34,22,3,-
S00135446,57.19059744,-2.11545536,77,8,43,25,1,-
S00135447,57.19011029,-2.17850864,57,6,28,19,2,1
S00135448,57.18930448,-2.132989132,61,4,20,33,1,1
S00135449,57.19062527,-2.12394339,72,38,27,2,1,-
S00135450,57.18976085,-2.116726734,47,4,31,11,1,-
S00135451,57.18934646,-2.117982853,38,6,21,12,2,1
S00135452,57.19067095,-2.182167955,44,6,29,8,1,-
S00135453,57.18965211,-2.184743998,60,16,33,6,2,-
S00135454,57.18853152,-2.176929261,64,4,40,17,5,-
S00135455,57.18976664,-2.110340262,60,6,31,16,5,1
S00135456,57.18996084,-2.182478818,41,6,19,14,2,-
S00135457,57.19006487,-2.108289518,39,6,20,9,1,-
S00135458,57.18927394,-2.118677516,28,-,10,13,4,2
S00135459,57.18916263,-2.122333612,73,22,36,11,4,-
S00135460,57.18910725,-2.123839026,55,5,36,13,2,-
S00135461,57.18969155,-2.113946908,51,3,23,20,3,1
S00135462,57.1881767,-2.12909709,64,-,38,15,6,2
S00135463,57.18892418,-2.108120723,74,9,39,22,3,5
S00135464,57.18798772,-2.180318287,56,10,26,16,5,-
S00135465,57.18665674,-2.181354063,64,19,27,14,1,2
S00135466,57.18812003,-2.113396088,46,2,21,17,3,-
