OA_Code,Latitude,Longitude,"All People, aged 3 and over","All People, 3 - 15","All People, 16 - 24","All People, 25 - 34","All People, 35 - 49","All People, 50 - 64","All People, 65 and over","Understands/Speaks/Reads/Writes Gaelic, Total","Understands/Speaks/Reads/Writes Gaelic, 3 - 15","Understands/Speaks/Reads/Writes Gaelic, 16 - 24","Understands/Speaks/Reads/Writes Gaelic, 25 - 34","Understands/Speaks/Reads/Writes Gaelic, 35 - 49","Understands/Speaks/Reads/Writes Gaelic, 50 - 64","Understands/Speaks/Reads/Writes Gaelic, 65 and over","No skills in Gaelic, Total","No skills in Gaelic, 3 - 15","No skills in Gaelic, 16 - 24","No skills in Gaelic, 25 - 34","No skills in Gaelic, 35 - 49","No skills in Gaelic, 50 - 64","No skills in Gaelic, 65 and over"
S00135379,57.19992386,-2.102708042,60,6,4,4,12,23,10,-,-,-,-,-,-,-,60,6,4,4,12,23,10
S00135380,57.20004768,-2.105041924,129,13,13,14,22,44,23,-,-,-,-,-,-,-,129,13,13,14,22,44,23
S00135381,57.20005842,-2.122866211,131,24,17,26,30,26,7,4,1,-,2,1,-,-,125,24,17,24,28,26,7
S00135382,57.20009183,-2.125415012,99,15,13,8,35,15,13,2,-,-,1,1,-,-,97,15,13,10,31,15,13
S00135383,57.19936983,-2.179827699,143,33,13,19,50,19,2,2,-,-,-,1,-,-,141,32,13,19,53,19,2
S00135384,57.19849027,-2.098119922,59,8,11,13,13,16,-,-,-,-,-,-,-,-,59,8,11,13,13,16,-
S00135385,57.19807339,-2.181840372,83,22,8,17,25,11,-,1,1,-,-,-,-,-,78,21,8,17,25,11,-
S00135386,57.19947642,-2.100604992,113,8,3,8,16,26,59,1,-,-,-,-,-,1,112,8,3,8,16,26,55
S00135387,57.19881829,-2.103515884,166,15,13,11,17,60,46,2,-,-,-,-,2,1,166,15,13,11,17,58,45
S00135388,57.19310185,-2.178341075,195,48,17,8,59,37,25,7,2,-,-,4,-,-,188,47,17,7,56,36,25
S00135389,57.19859498,-2.13097048,134,15,10,6,20,28,52,-,-,-,-,-,-,-,134,15,10,6,20,28,52
S00135390,57.19862073,-2.123291708,84,12,12,10,29,14,7,-,-,-,-,-,-,-,84,12,12,10,29,14,7
S00135391,57.19775695,-2.124728577,198,42,17,33,48,48,10,3,-,-,-,-,2,4,192,42,19,33,48,46,8
S00135392,57.19815982,-2.126086961,68,7,12,16,19,17,5,3,-,2,-,2,-,-,65,7,13,16,18,17,5
S00135393,57.19829765,-2.182056615,194,35,50,50,31,23,8,10,-,6,1,1,-,-,184,35,44,47,30,23,8
S00135394,57.19703995,-2.103179925,150,15,12,22,27,39,31,3,-,-,1,-,1,1,143,15,12,21,27,41,30
S00135395,57.19734625,-2.102105116,73,12,5,7,12,22,12,4,-,-,-,-,4,-,74,12,5,7,12,23,12
S00135396,57.19731061,-2.130783889,130,23,6,13,28,31,29,-,-,-,-,-,-,-,129,23,6,13,27,31,29
