Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00135479",50,-,1,31,17,-
"S00135480",69,25,17,21,2,-
"S00135481",60,1,3,47,5,1
"S00135482",41,11,15,6,7,2
"S00135483",57,-,16,37,4,-
"S00135484",37,-,1,12,19,2
"S00135485",78,1,28,45,4,-
"S00135486",44,-,5,24,11,5
"S00135487",71,4,8,24,27,8
"S00135488",48,10,6,14,20,-
"S00135489",78,19,49,10,-,-
"S00135490",58,-,15,35,13,-
"S00135491",72,25,23,23,4,-
"S00135492",61,9,27,3,21,1
"S00135493",79,12,31,23,9,2
"S00135494",42,-,6,29,6,1
"S00135495",43,-,3,36,4,-
"S00135496",41,1,1,29,9,1
"S00135497",85,-,2,8,63,11
"S00135498",79,33,41,5,-,-
"S00135499",51,-,13,29,7,2
"S00135500",41,1,1,9,27,2
"S00135501",66,3,24,26,13,-
"S00135502",82,37,41,2,1,-
"S00135503",47,1,19,23,2,-
"S00135504",75,6,52,14,6,-
"S00135505",69,4,23,22,15,5
"S00135506",43,3,23,14,-,2
"S00135507",58,-,3,6,34,19
"S00135508",38,17,14,6,2,-
"S00135509",54,3,30,22,4,-
"S00135510",65,21,31,7,3,-
"S00135511",81,37,33,12,1,-
"S00135512",57,1,33,18,4,1
"S00135513",63,17,32,14,5,-
"S00135514",62,1,29,26,-,1
"S00135515",82,4,21,47,8,1
"S00135516",64,13,21,26,4,-
"S00135517",66,26,19,19,1,-
"S00135518",41,3,12,15,6,1
"S00135519",54,-,6,22,13,13
"S00135520",70,2,29,14,23,2
"S00135521",74,16,47,5,5,2
"S00135522",51,15,30,10,1,-
"S00135523",42,-,18,19,3,2
"S00135524",72,38,21,13,-,-
"S00135525",45,-,4,21,20,-
"S00135526",63,9,27,20,7,-
"S00135527",40,7,24,8,1,-
"S00135528",94,33,40,16,4,2
"S00135529",78,7,20,42,9,1
"S00135530",40,4,17,17,2,-
"S00135531",55,19,10,13,10,3
"S00135532",41,4,7,12,10,8
"S00135533",75,44,8,15,9,-
"S00135534",47,6,13,22,7,1
"S00135535",51,-,10,29,10,-
"S00135536",69,-,17,27,16,8
"S00135537",71,-,35,30,5,1
"S00135538",46,3,25,8,7,-
"S00135539",54,25,25,4,-,-
"S00135540",65,2,15,35,13,-
"S00135541",43,7,15,16,7,-
"S00135542",76,2,45,27,2,-
"S00135543",71,-,21,31,20,1
"S00135544",55,14,19,21,3,1
"S00135545",79,17,40,19,5,-
"S00135546",53,17,24,12,-,-
"S00135547",74,-,4,55,14,4
"S00135548",48,8,16,23,-,1
"S00135549",39,2,25,10,1,-
"S00135550",70,9,41,15,4,-
"S00135551",56,3,27,23,1,3
"S00135552",73,2,62,7,2,-
"S00135553",83,-,14,42,23,7
"S00135554",41,1,26,14,-,-
"S00135555",72,-,11,40,20,1
"S00135556",69,46,19,7,-,-
"S00135557",43,4,28,11,-,-
"S00135558",62,-,23,36,3,-
"S00135559",63,10,40,5,7,2
"S00135560",63,12,34,14,4,2
"S00135561",48,7,40,-,2,-
"S00135562",45,-,32,10,3,-
"S00135563",36,12,23,1,-,-
"S00135564",55,-,3,41,8,2
"S00135565",33,-,3,20,8,2
"S00135566",50,4,21,23,2,-
"S00135567",57,10,24,22,3,3
"S00135568",80,17,28,33,2,-
"S00135569",57,10,22,19,3,1
"S00135570",55,2,23,17,14,-
"S00135571",58,14,27,19,-,-
"S00135572",49,1,24,25,1,-
"S00135573",45,-,20,25,1,2
"S00135574",41,-,13,23,4,1
"S00135575",77,12,29,33,1,2
"S00135576",72,20,40,11,1,1
"S00135577",66,19,26,18,3,-
"S00135578",61,1,27,28,4,2
"S00135579",48,10,21,13,4,-
"S00135580",79,29,25,23,3,-
"S00135581",56,2,10,22,19,3
"S00135582",53,14,26,10,3,-
"S00135583",81,28,27,19,4,-
"S00135584",67,13,32,21,-,-
"S00135585",46,-,12,34,-,-
"S00135586",55,-,10,39,6,1
"S00135587",57,26,28,3,-,-
"S00135588",50,9,31,8,1,-
"S00135589",40,1,12,22,5,-
"S00135590",34,1,10,21,4,-
"S00135591",30,-,19,9,5,-
"S00135592",43,1,8,22,12,-
"S00135593",36,-,2,22,11,-
"S00135594",44,-,9,28,6,1
"S00135595",75,13,47,15,-,-
"S00135596",80,16,23,21,16,1
"S00135597",73,31,6,36,-,-
"S00135598",41,-,12,19,8,3
"S00135599",67,5,45,6,8,4
"S00135600",47,30,12,4,-,-
"S00135601",50,-,11,22,13,2
"S00135602",67,11,46,4,-,-
"S00135603",32,-,-,14,10,6
"S00135604",63,33,29,-,-,-
"S00135605",40,-,25,12,3,-
"S00135606",62,1,2,16,27,19
"S00135607",69,16,34,14,7,2
"S00135608",39,-,19,20,-,-
"S00135609",53,2,21,23,5,2
"S00135610",85,59,19,5,1,1
