Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00138811",29,-,-,6,17,5
"S00138812",73,-,20,39,12,1
"S00138813",68,3,27,22,11,2
"S00138814",53,4,26,17,4,-
"S00138815",43,2,17,15,11,-
"S00138816",57,-,-,45,10,4
"S00138817",69,1,7,35,25,5
"S00138818",67,12,26,21,12,1
"S00138819",58,-,1,9,41,7
"S00138820",38,8,12,16,7,-
"S00138821",40,7,12,15,6,-
"S00138822",41,-,3,34,1,2
"S00138823",59,16,23,14,7,1
"S00138824",45,1,13,21,10,-
"S00138825",41,-,14,9,10,7
"S00138826",72,-,9,19,41,3
"S00138827",54,-,-,16,36,2
"S00138828",52,-,6,9,38,-
"S00138829",59,1,22,20,12,1
"S00138830",76,3,7,51,13,-
"S00138831",65,3,11,43,9,1
"S00138832",39,3,13,6,11,5
"S00138833",57,1,3,12,37,4
"S00138834",31,2,5,13,7,6
"S00138835",33,1,6,23,-,3
"S00138836",70,2,4,22,41,3
"S00138837",57,1,12,24,8,9
"S00138838",48,-,-,9,35,4
"S00138839",65,7,45,13,-,-
"S00138840",71,4,44,17,2,2
"S00138841",47,-,-,5,37,6
"S00138842",57,11,12,13,18,6
"S00138843",63,1,18,22,19,6
"S00138844",72,1,25,24,15,7
"S00138845",55,2,10,21,12,10
"S00138846",69,-,17,30,16,5
"S00138847",34,9,13,11,1,-
"S00138848",33,2,11,16,3,3
"S00138849",38,2,10,16,10,4
"S00138850",49,12,23,13,7,1
"S00138851",76,4,18,30,20,4
"S00138852",66,3,13,20,10,18
"S00138853",50,17,9,14,11,2
"S00138854",52,8,14,13,12,5
"S00138855",63,14,14,20,10,5
"S00138856",70,2,13,36,10,9
"S00138857",45,17,14,11,3,-
"S00138858",63,3,15,19,18,8
"S00138859",66,18,23,12,6,5
"S00138860",36,-,7,9,9,7
"S00138861",65,1,15,29,14,6
"S00138862",83,3,9,22,31,21
"S00138863",50,-,13,17,19,7
"S00138864",42,-,8,14,7,13
"S00138865",41,-,10,16,9,3
"S00138866",43,2,6,4,22,5
"S00138867",72,1,8,15,30,19
"S00138868",41,2,5,12,14,7
"S00138869",47,4,5,13,14,12
"S00138870",56,-,7,27,19,6
"S00138871",44,8,9,9,11,5
"S00138872",70,1,3,13,29,24
"S00138873",52,2,7,18,17,11
"S00138874",75,13,16,27,13,6
"S00138875",51,1,15,19,12,4
"S00138876",83,17,19,20,15,12
"S00138877",37,-,2,11,19,7
"S00138878",35,1,9,11,11,4
"S00138879",38,4,10,13,9,2
"S00138880",38,1,6,9,18,4
"S00138881",37,-,-,12,12,8
"S00138882",32,-,2,6,7,17
"S00138883",35,-,3,23,7,4
"S00138884",29,-,1,2,17,11
"S00138885",59,2,2,21,26,9
"S00138886",31,-,3,13,8,9
"S00138887",67,3,10,10,21,20
"S00138888",38,-,5,18,11,7
"S00138889",51,8,17,11,12,6
"S00138890",31,2,6,13,5,4
"S00138891",31,1,1,5,14,10
"S00138892",30,1,7,10,11,2
"S00138893",54,-,4,13,18,8
"S00138894",64,2,13,31,12,6
"S00138895",38,3,7,14,8,6
"S00138896",25,-,5,12,8,2
"S00138897",75,2,10,23,34,4
"S00138898",62,-,8,10,23,17
"S00138899",30,-,5,10,14,-
"S00138900",55,6,10,9,15,15
"S00138901",51,-,6,16,17,12
"S00138902",81,1,31,24,17,8
"S00138903",74,3,26,37,6,3
"S00138904",32,-,-,14,12,8
"S00138905",67,1,2,24,40,-
"S00138906",52,-,4,20,27,3
"S00138907",60,-,9,16,23,10
"S00138908",60,-,6,25,25,3
"S00138909",79,9,43,14,12,2
"S00138910",66,-,2,25,27,12
"S00138911",39,1,3,10,10,12
"S00138912",48,5,14,13,11,6
"S00138913",35,-,2,1,13,17
"S00138914",77,-,8,18,30,21
"S00138915",79,-,1,14,44,21
"S00138916",35,2,2,23,9,1
"S00138917",51,14,22,12,2,-
"S00138918",77,29,23,18,6,1
"S00138919",59,1,18,29,9,2
"S00138920",35,7,16,9,2,-
"S00138921",54,4,17,28,5,-
"S00138922",51,9,10,14,17,5
"S00138923",38,1,15,10,11,4
"S00138924",69,2,13,17,29,8
"S00138925",48,1,1,11,16,19
"S00138926",32,8,5,8,7,4
"S00138927",36,-,-,8,15,12
"S00138928",45,1,4,14,22,7
"S00138929",41,1,13,24,5,2
"S00138930",51,-,4,9,32,6
"S00138931",36,-,9,12,10,5
"S00138932",75,2,5,22,37,15
"S00138933",54,42,6,5,-,1
"S00138934",32,1,8,12,9,2
"S00138935",50,7,9,15,19,4
"S00138936",57,14,25,10,3,1
"S00138937",54,-,2,16,23,11
"S00138938",39,6,11,13,7,2
"S00138939",51,2,2,11,21,15
"S00138940",70,2,13,16,34,5
"S00138941",58,4,21,24,4,5
"S00138942",76,25,34,12,1,1
"S00138943",56,-,1,15,38,1
"S00138944",33,6,12,12,5,-
"S00138945",63,1,16,22,13,10
"S00138946",40,-,7,15,14,4
"S00138947",39,-,7,12,11,8
"S00138948",46,2,3,9,20,9
"S00138949",76,6,23,12,24,2
"S00138950",40,5,1,30,4,-
"S00138951",71,1,2,21,30,20
"S00138952",40,-,-,6,27,7
"S00138953",43,-,2,1,30,9
"S00138954",54,1,1,30,20,2
"S00138955",40,-,-,8,11,18
"S00138956",71,3,4,25,30,9
"S00138957",66,3,12,27,20,6
"S00138958",41,-,-,16,20,3
"S00138959",52,-,6,31,15,4
"S00138960",38,-,15,8,7,5
"S00138961",72,-,4,23,36,10
"S00138962",47,15,5,18,3,3
"S00138963",52,2,9,21,16,5
"S00138964",72,1,4,48,16,3
"S00138965",45,-,7,17,17,7
"S00138966",42,-,3,15,23,3
"S00138967",57,-,5,24,26,4
"S00138968",64,36,14,10,4,-
"S00138969",78,14,14,36,14,3
"S00138970",78,-,13,53,6,1
"S00138971",90,5,39,27,17,2
"S00138972",34,4,2,23,5,-
"S00138973",60,1,4,11,41,4
"S00138974",54,-,1,15,26,11
"S00138975",78,3,28,35,16,-
"S00138976",38,-,11,21,5,-
"S00138977",49,2,9,33,4,-
"S00138978",71,1,26,29,11,4
"S00138979",33,3,4,20,4,1
"S00138980",74,4,11,30,27,6
"S00138981",59,-,4,8,30,22
"S00138982",41,-,2,2,10,26
"S00138983",63,2,8,36,13,4
"S00138984",39,-,2,6,14,16
"S00138985",29,-,12,14,5,-
"S00138986",50,-,6,33,3,2
"S00138987",84,4,57,19,5,-
"S00138988",53,1,8,20,12,12
"S00138989",40,1,2,3,11,24
"S00138990",46,2,9,16,12,10
"S00138991",70,-,1,21,30,17
"S00138992",66,15,14,27,4,4
"S00138993",73,1,10,34,26,2
"S00138994",50,-,1,4,26,15
"S00138995",48,-,6,17,24,3
"S00138996",47,-,21,24,-,-
"S00138997",32,4,7,12,8,1
"S00138998",68,20,34,10,6,1
"S00138999",75,15,25,25,10,1
"S00139000",65,15,23,16,8,2
"S00139001",40,1,9,28,3,5
"S00139002",48,-,6,23,14,3
"S00139003",61,1,11,20,24,8
"S00139004",42,2,6,18,13,4
"S00139005",33,1,2,26,8,1
"S00139006",35,-,2,19,16,1
"S00139007",31,2,1,2,13,9
"S00139008",68,15,18,13,10,5
"S00139009",80,3,4,28,36,9
"S00139010",59,-,16,13,23,7
"S00139011",46,1,24,19,5,1
"S00139012",33,1,7,19,5,1
"S00139013",67,3,3,17,25,20
"S00139014",58,-,-,4,39,11
"S00139015",38,-,3,28,10,-
"S00139016",28,1,2,8,12,4
"S00139017",43,2,18,14,5,4
"S00139018",28,-,7,15,5,2
"S00139019",75,5,29,38,3,-
"S00139020",42,-,-,21,18,7
"S00139021",58,-,6,11,31,10
"S00139022",44,4,12,11,11,4
"S00139023",33,2,11,13,7,1
"S00139024",47,5,6,32,6,-
"S00139025",74,24,18,22,9,1
"S00139026",34,-,1,22,9,2
"S00139027",55,-,1,12,31,12
"S00139028",57,-,11,21,20,6
"S00139029",47,1,6,27,13,-
"S00139030",41,-,13,20,9,1
"S00139031",39,1,5,14,18,2
"S00139032",29,-,2,18,5,4
"S00139033",60,-,21,29,10,-
"S00139034",66,15,22,20,4,-
"S00139035",54,16,11,17,9,4
"S00139036",45,19,13,8,1,1
"S00139037",59,4,15,17,14,8
"S00139038",71,16,27,26,3,1
"S00139039",70,-,1,28,34,7
"S00139040",44,3,7,14,9,8
"S00139041",81,36,26,16,3,1
"S00139042",60,1,8,29,15,3
"S00139043",55,24,14,14,3,-
"S00139044",59,1,27,4,20,7
"S00139045",48,1,18,19,8,2
"S00139046",74,3,24,32,10,5
"S00139047",67,17,27,19,4,3
"S00139048",50,1,5,25,18,3
"S00139049",40,5,12,8,11,2
"S00139050",58,-,4,9,31,14
"S00139051",68,2,9,42,15,4
"S00139052",64,1,4,16,17,26
"S00139053",35,-,5,4,8,21
"S00139054",42,11,4,18,3,3
"S00139055",46,2,11,20,11,4
"S00139056",50,2,6,20,15,4
"S00139057",58,28,20,8,1,-
"S00139058",49,3,33,8,4,-
"S00139059",73,8,15,8,28,14
"S00139060",51,8,22,19,2,1
"S00139061",66,1,12,23,25,2
"S00139062",50,8,30,10,1,1
"S00139063",39,1,8,32,2,1
"S00139064",47,-,15,36,-,-
"S00139065",78,9,31,19,9,6
"S00139066",60,1,10,18,13,14
"S00139067",34,11,14,12,2,1
"S00139068",58,18,27,12,2,-
"S00139069",52,1,8,11,18,9
"S00139070",57,13,13,21,10,-
"S00139071",48,-,7,20,17,3
"S00139072",49,26,9,9,6,1
"S00139073",56,-,8,29,15,-
"S00139074",76,10,38,21,6,1
"S00139075",57,14,30,9,2,2
"S00139076",56,2,12,18,22,2
"S00139077",45,-,5,22,8,9
"S00139078",69,-,9,18,23,18
"S00139079",75,3,7,50,14,1
"S00139080",60,2,19,36,3,-
"S00139081",53,4,14,10,14,8
"S00139082",39,-,20,16,3,-
"S00139083",68,18,21,21,8,-
"S00139084",66,13,3,38,9,-
"S00139085",48,-,13,22,13,3
"S00139086",60,12,19,22,6,3
"S00139087",36,1,8,10,10,6
"S00139088",56,6,26,21,4,1
"S00139089",53,3,7,24,15,4
"S00139090",51,8,12,16,12,5
"S00139091",63,1,16,30,15,1
"S00139092",53,3,31,17,-,-
"S00139093",72,16,26,25,5,-
"S00139094",47,5,1,18,18,2
"S00139095",43,8,18,15,2,-
"S00139096",74,3,23,31,13,4
"S00139097",43,14,17,9,2,1
"S00139098",64,1,11,21,18,13
"S00139099",56,-,7,19,14,16
"S00139100",27,1,8,9,7,2
"S00139101",74,21,19,19,13,6
"S00139102",47,9,17,8,5,7
"S00139103",75,-,9,40,23,3
"S00139104",41,6,11,9,6,6
"S00139105",34,11,14,3,5,2
"S00139106",73,33,24,9,6,2
"S00139107",47,12,19,8,5,2
"S00139108",53,7,24,12,9,5
"S00139109",30,-,12,9,8,3
"S00139110",69,2,5,19,24,19
"S00139111",34,2,4,19,5,4
"S00139112",29,1,8,16,1,3
"S00139113",59,-,7,21,21,10
"S00139114",52,-,11,21,10,10
"S00139115",35,-,12,9,15,-
"S00139116",47,2,15,26,8,1
"S00139117",75,7,14,45,8,2
"S00139118",84,-,21,39,23,-
"S00139119",37,1,7,8,16,5
"S00139120",61,-,7,32,17,6
"S00139121",64,-,12,18,23,11
"S00139122",62,8,21,17,15,1
"S00139123",44,-,8,12,15,10
"S00139124",42,9,18,12,4,2
"S00139125",33,1,7,12,17,-
"S00139126",66,-,7,13,17,29
"S00139127",36,6,19,12,1,-
"S00139128",65,2,44,15,4,-
"S00139129",78,-,2,7,45,24
"S00139130",40,1,4,22,9,5
"S00139131",44,7,17,18,3,-
"S00139132",41,4,12,15,9,1
"S00139133",27,-,-,10,9,8
"S00139134",36,18,14,10,-,1
"S00139135",33,-,15,12,4,1
"S00139136",59,-,3,14,35,8
"S00139137",61,2,5,22,23,9
"S00139138",60,3,14,28,16,6
"S00139139",47,1,7,15,22,2
"S00139140",45,-,17,25,3,-
"S00139141",51,-,11,32,8,3
"S00139142",76,2,9,32,31,1
"S00139143",57,4,9,15,15,10
"S00139144",60,-,5,33,17,2
"S00139145",64,-,1,18,31,12
"S00139146",44,-,-,14,26,11
"S00139147",63,2,6,18,29,5
"S00139148",34,2,5,28,2,-
"S00139149",84,1,7,38,36,-
"S00139150",51,9,17,20,3,2
"S00139151",35,1,9,16,7,-
"S00139152",46,-,2,6,33,-
"S00139153",42,-,8,13,15,7
"S00139154",76,1,12,25,28,8
"S00139155",41,1,12,24,3,1
"S00139156",48,1,8,22,16,1
"S00139157",66,28,20,12,4,2
"S00139158",57,4,27,19,8,4
"S00139159",77,-,15,35,21,7
"S00139160",49,3,6,21,16,3
"S00139161",44,1,13,14,11,5
"S00139162",40,4,3,23,9,5
"S00139163",83,2,11,22,25,17
"S00139164",52,-,4,20,22,7
"S00139165",57,1,8,25,15,10
"S00139166",48,2,3,8,21,16
"S00139167",53,-,-,20,17,18
"S00139168",60,-,17,23,14,6
"S00139169",51,2,2,28,16,2
"S00139170",58,-,2,22,25,7
"S00139171",63,2,9,19,26,9
"S00139172",65,-,2,8,37,20
"S00139173",49,-,1,2,43,6
"S00139174",54,13,11,22,3,1
"S00139175",65,-,5,27,27,6
"S00139176",55,9,28,11,8,-
"S00139177",35,1,12,19,5,-
"S00139178",62,18,13,21,10,4
"S00139179",53,-,15,29,8,-
"S00139180",53,6,15,19,12,1
"S00139181",51,-,3,29,15,3
"S00139182",61,3,14,35,7,2
"S00139183",52,33,10,6,3,-
"S00139184",45,2,7,27,8,1
"S00139185",72,16,31,11,7,1
"S00139186",51,-,20,22,6,3
"S00139187",49,2,7,31,7,3
"S00139188",32,-,9,12,8,3
"S00139189",30,1,8,12,11,2
"S00139190",48,-,7,29,10,3
"S00139191",67,2,13,42,9,1
"S00139192",39,10,6,15,8,3
"S00139193",49,12,5,21,9,-
"S00139194",74,-,3,48,21,2
"S00139195",66,-,2,24,35,9
"S00139196",53,22,3,17,13,1
"S00139197",79,-,6,34,31,7
"S00139198",89,2,6,18,34,27
"S00139199",61,1,2,40,17,-
"S00139200",41,-,4,26,9,4
"S00139201",84,22,15,41,4,2
"S00139202",46,-,12,18,10,2
"S00139203",36,-,4,14,20,3
"S00139204",51,1,10,23,16,7
"S00139205",51,9,24,13,4,-
"S00139206",57,12,14,15,13,3
"S00139207",78,-,11,15,46,9
"S00139208",51,40,12,2,1,-
"S00139209",43,-,1,3,31,10
"S00139210",53,-,31,20,5,-
"S00139211",70,6,7,26,23,8
"S00139212",80,3,35,9,15,19
"S00139213",45,15,19,16,3,-
"S00139214",27,2,5,6,8,3
"S00139215",70,5,32,29,3,-
"S00139216",79,49,16,9,1,-
"S00139217",56,12,29,11,3,1
"S00139218",45,14,13,12,6,1
"S00139219",56,1,18,34,3,-
"S00139220",57,7,29,20,-,-
"S00139221",49,19,6,10,13,5
"S00139222",53,7,11,34,-,1
"S00139223",55,9,14,16,9,9
"S00139224",79,18,42,16,4,1
"S00139225",40,2,17,13,9,-
"S00139226",61,2,11,35,7,-
"S00139227",50,3,40,5,3,-
"S00139228",73,5,34,27,10,-
"S00139229",53,24,9,12,4,1
"S00139230",39,4,22,11,1,3
"S00139231",66,4,35,22,4,1
"S00139232",73,17,21,24,6,5
"S00139233",38,-,9,16,10,3
"S00139234",48,17,10,19,2,2
"S00139235",59,19,21,6,8,4
"S00139236",52,5,12,20,15,-
"S00139237",60,4,14,18,17,7
"S00139238",41,19,13,10,3,1
"S00139239",46,20,13,10,7,-
"S00139240",67,1,22,26,13,5
"S00139241",55,26,16,11,-,1
"S00139242",41,6,17,14,4,-
"S00139243",32,-,1,6,18,7
"S00139244",48,40,4,3,-,1
"S00139245",45,3,12,16,10,5
"S00139246",75,1,3,46,23,3
"S00139247",45,7,27,8,-,-
"S00139248",35,-,2,7,21,4
"S00139249",54,1,8,16,22,1
"S00139250",57,-,45,10,2,-
"S00139251",40,2,12,23,4,-
"S00139252",53,10,21,13,6,2
"S00139253",56,1,8,27,16,-
"S00139254",39,8,17,11,4,-
"S00139255",60,-,4,18,35,3
"S00139256",40,1,6,5,21,4
"S00139257",56,13,29,10,4,-
"S00139258",70,-,16,25,23,13
"S00139259",55,1,4,16,26,6
"S00139260",52,3,7,29,11,2
"S00139261",33,7,7,13,5,2
"S00139262",48,-,-,8,32,6
"S00139263",59,-,9,12,21,13
"S00139264",49,-,8,18,14,9
"S00139265",40,5,8,11,15,3
"S00139266",30,-,8,15,5,2
"S00139267",41,-,7,16,14,2
"S00139268",85,-,13,26,29,15
"S00139269",41,-,7,16,17,1
"S00139270",55,5,8,32,10,2
"S00139271",88,2,19,29,26,8
"S00139272",52,-,7,18,20,6
"S00139273",87,1,13,35,25,13
"S00139274",27,-,9,17,-,1
"S00139275",54,9,22,22,4,-
"S00139276",60,4,21,18,13,4
"S00139277",64,3,11,28,14,8
"S00139278",44,6,6,5,22,3
"S00139279",67,1,8,19,27,12
"S00139280",66,-,17,25,13,9
"S00139281",46,2,8,22,15,3
"S00139282",33,-,5,14,9,4
"S00139283",48,-,7,21,14,5
"S00139284",72,-,12,22,17,21
"S00139285",58,3,13,18,18,6
"S00139286",61,6,18,24,11,7
"S00139287",61,-,13,29,20,6
"S00139288",44,-,5,18,14,6
"S00139289",49,14,20,17,-,-
"S00139290",40,2,5,16,10,8
"S00139291",57,1,13,21,15,6
"S00139292",27,-,4,13,8,2
"S00139293",86,11,15,27,21,8
"S00139294",72,3,11,24,25,9
"S00139295",37,20,7,9,9,-
"S00139296",60,6,13,21,10,10
"S00139297",45,-,12,18,8,7
"S00139298",40,-,2,17,14,4
"S00139299",47,2,15,16,9,2
"S00139300",60,13,16,22,5,5
"S00139301",41,-,-,14,22,3
"S00139302",47,36,7,5,3,-
"S00139303",51,21,14,13,4,2
"S00139304",47,4,23,17,1,-
"S00139305",66,-,2,22,31,10
"S00139306",50,1,28,19,5,1
"S00139307",59,18,17,11,10,5
"S00139308",54,4,17,20,10,6
"S00139309",56,11,26,14,2,3
"S00139310",62,-,32,22,5,3
"S00139311",46,4,8,19,12,4
"S00139312",56,2,20,27,10,1
"S00139313",33,-,10,19,2,2
"S00139314",36,-,-,9,18,14
"S00139315",39,-,2,8,20,9
"S00139316",34,3,5,9,11,6
"S00139317",36,2,7,12,8,7
"S00139318",58,1,2,11,39,6
"S00139319",47,3,1,19,18,6
"S00139320",74,-,-,50,19,3
"S00139321",68,-,10,40,21,5
"S00139322",57,-,11,14,21,11
"S00139323",60,-,4,31,22,1
"S00139324",51,5,14,19,11,4
"S00139325",65,-,5,36,22,4
"S00139326",61,7,5,29,17,4
"S00139327",52,-,19,20,6,3
"S00139328",60,-,1,19,27,13
"S00139329",54,-,12,26,13,5
"S00139330",57,-,8,19,18,12
"S00139331",58,1,15,38,3,1
"S00139332",46,4,14,17,9,2
"S00139333",60,2,4,22,30,3
"S00139334",43,13,4,22,4,1
"S00139335",72,11,29,24,7,2
"S00139336",63,-,13,26,18,7
"S00139337",63,3,9,24,23,1
"S00139338",66,4,20,26,14,-
"S00139339",39,5,8,17,8,-
"S00139340",73,5,16,46,8,-
"S00139341",60,3,12,23,17,5
"S00139342",60,4,11,32,9,5
"S00139343",66,25,26,14,2,-
"S00139344",42,6,13,20,5,-
"S00139345",58,4,16,21,9,4
"S00139346",65,1,19,26,7,8
"S00139347",49,14,15,16,4,1
"S00139348",40,3,12,18,6,1
"S00139349",36,6,12,18,2,-
"S00139350",46,17,14,11,4,1
"S00139351",60,10,17,22,9,3
"S00139352",57,10,19,20,10,-
"S00139353",45,6,14,16,7,1
"S00139354",56,1,2,49,7,2
"S00139355",76,4,19,28,12,13
"S00139356",45,1,8,17,20,3
"S00139357",59,-,3,45,12,-
"S00139358",35,-,-,30,4,-
"S00139359",55,1,10,22,20,3
"S00139360",65,6,11,24,20,4
"S00139361",45,2,15,21,7,4
"S00139362",54,-,13,18,16,7
"S00139363",77,10,23,40,6,-
"S00139364",74,9,25,19,19,2
"S00139365",57,17,9,23,5,1
"S00139366",67,-,12,31,16,11
"S00139367",43,2,18,12,7,1
"S00139368",55,-,12,31,6,3
"S00139369",51,1,5,23,17,7
"S00139370",55,10,18,15,12,5
"S00139371",54,2,11,21,16,4
"S00139372",35,6,5,19,3,-
"S00139373",79,-,5,32,28,14
"S00139374",71,1,22,29,12,7
"S00139375",68,2,4,17,29,16
"S00139376",50,7,11,12,14,6
"S00139377",57,6,18,26,6,-
"S00139378",67,12,20,27,4,3
"S00139379",61,18,17,8,10,5
"S00139380",41,7,18,16,3,1
"S00139381",41,2,10,10,12,7
"S00139382",37,2,10,14,8,3
"S00139383",44,1,8,22,11,5
"S00139384",74,7,23,26,12,6
"S00139385",30,1,11,11,3,4
"S00139386",38,6,7,14,10,4
"S00139387",31,3,5,11,8,6
"S00139388",41,-,14,14,13,4
"S00139389",47,-,13,15,9,8
"S00139390",66,6,15,28,11,7
"S00139391",64,4,16,31,9,7
"S00139392",59,10,1,15,33,2
"S00139393",68,4,16,26,15,4
"S00139394",40,10,7,13,9,3
"S00139395",39,-,17,16,5,2
"S00139396",62,-,26,28,3,4
"S00139397",44,-,6,21,15,2
"S00139398",45,-,17,18,6,4
"S00139399",56,2,13,24,10,7
"S00139400",42,-,14,17,7,3
"S00139401",81,3,20,31,14,7
"S00139402",42,1,11,12,10,8
"S00139403",32,2,8,10,6,4
"S00139404",46,-,26,14,8,-
"S00139405",63,-,11,29,16,8
"S00139406",67,6,8,23,20,12
"S00139407",27,-,2,5,18,1
"S00139408",65,1,14,32,13,5
"S00139409",30,-,5,16,4,5
"S00139410",47,4,17,14,11,2
"S00139411",51,-,15,18,12,5
"S00139412",36,3,4,9,12,3
"S00139413",70,2,17,27,16,7
"S00139414",53,-,13,22,16,2
"S00139415",57,-,17,21,9,12
"S00139416",60,-,17,27,13,3
"S00139417",44,2,12,14,13,4
"S00139418",78,4,24,31,11,6
"S00139419",36,-,5,11,16,4
"S00139420",61,4,6,38,6,3
"S00139421",58,-,4,32,19,1
"S00139422",48,11,14,16,6,1
"S00139423",45,2,3,22,8,10
"S00139424",45,-,4,23,14,3
"S00139425",39,-,24,11,1,-
"S00139426",31,-,3,11,10,8
"S00139427",32,7,5,14,4,2
"S00139428",76,1,27,18,21,12
"S00139429",80,1,27,31,18,3
"S00139430",74,-,17,41,14,1
"S00139431",41,3,17,19,5,2
"S00139432",65,5,22,29,7,-
"S00139433",72,1,18,48,8,-
"S00139434",56,10,33,11,2,-
"S00139435",38,4,10,17,4,1
"S00139436",48,6,17,20,4,1
"S00139437",39,-,2,28,5,-
"S00139438",43,2,37,4,-,-
"S00139439",70,13,14,30,10,1
"S00139440",40,1,17,17,3,-
"S00139441",37,-,10,19,5,-
"S00139442",40,1,6,19,10,2
"S00139443",53,38,3,11,-,-
"S00139444",58,-,12,26,12,5
"S00139445",61,8,33,23,2,-
"S00139446",44,1,23,16,3,1
"S00139447",42,1,18,15,4,-
"S00139448",62,2,6,31,12,10
"S00139449",39,4,12,16,6,1
"S00139450",53,2,11,19,13,9
"S00139451",56,-,2,26,17,8
"S00139452",51,6,21,20,4,3
"S00139453",41,3,8,25,5,-
"S00139454",49,-,-,37,10,-
"S00139455",42,-,26,13,1,1
"S00139456",54,2,6,38,12,1
"S00139457",61,1,27,19,9,-
"S00139458",57,-,16,22,15,-
"S00139459",40,-,12,21,7,-
"S00139460",54,-,13,22,11,8
"S00139461",57,8,19,20,5,2
"S00139462",51,5,12,19,12,3
"S00139463",48,8,16,8,4,1
"S00139464",53,-,10,24,15,4
"S00139465",61,10,20,25,3,3
"S00139466",55,15,28,9,2,1
"S00139467",69,1,6,36,23,9
"S00139468",69,40,5,18,4,2
"S00139469",77,5,22,34,14,3
"S00139470",66,5,18,32,11,2
"S00139471",74,10,29,18,12,4
"S00139472",72,11,55,4,2,-
"S00139473",53,-,16,22,14,1
"S00139474",71,-,34,28,8,1
"S00139475",39,-,12,15,10,3
"S00139476",59,-,18,35,5,-
"S00139477",69,22,24,16,2,2
"S00139478",62,38,11,8,4,1
"S00139479",48,2,29,15,2,-
"S00139480",54,28,20,4,-,1
"S00139481",44,23,8,9,3,1
"S00139482",45,5,16,20,4,1
"S00139483",67,5,15,45,2,-
"S00139484",81,51,29,1,-,-
"S00139485",64,11,39,14,2,1
"S00139486",64,4,7,28,21,3
"S00139487",52,18,23,10,-,-
"S00139488",49,15,24,12,2,-
"S00139489",46,2,25,16,3,-
"S00139490",53,15,26,8,-,-
"S00139491",72,19,15,38,4,-
"S00139492",34,4,9,16,6,-
"S00139493",57,9,30,8,9,1
"S00139494",59,27,13,19,2,-
"S00139495",43,26,14,3,2,-
"S00139496",53,37,10,6,-,-
"S00139497",46,8,21,16,3,1
"S00139498",50,11,29,5,4,2
"S00139499",66,17,34,11,4,1
"S00139500",57,-,4,51,-,4
"S00139501",70,8,13,27,11,11
"S00139502",48,14,20,12,2,-
"S00139503",40,15,17,6,-,-
"S00139504",66,7,11,45,-,-
"S00139505",51,21,19,7,2,-
"S00139506",47,16,16,9,2,-
"S00139507",50,2,18,29,6,-
"S00139508",79,1,10,36,21,7
"S00139509",75,11,56,9,-,-
"S00139510",62,4,9,32,14,2
"S00139511",56,-,4,28,21,2
"S00139512",70,6,40,17,3,4
"S00139513",38,1,6,11,16,4
"S00139514",61,1,22,37,1,-
"S00139515",46,10,19,10,3,2
"S00139516",44,-,10,30,2,4
"S00139517",56,2,11,27,10,4
"S00139518",61,6,26,25,4,-
"S00139519",35,14,13,8,-,-
"S00139520",47,17,21,7,-,1
"S00139521",56,2,7,31,15,-
"S00139522",76,33,22,23,-,2
"S00139523",57,31,19,5,-,2
"S00139524",38,-,19,17,5,-
"S00139525",54,-,15,26,10,1
"S00139526",31,-,8,13,11,5
"S00139527",61,1,10,30,18,-
"S00139528",65,-,13,21,31,-
"S00139529",65,-,22,18,15,10
"S00139530",28,-,1,12,9,1
"S00139531",104,7,47,32,5,7
"S00139532",71,5,15,25,20,5
"S00139533",46,4,16,19,2,1
"S00139534",37,5,13,9,7,2
"S00139535",75,6,24,32,11,4
"S00139536",54,10,31,14,-,-
"S00139537",76,5,19,45,7,1
"S00139538",51,2,36,4,5,3
"S00139539",74,3,16,31,22,2
"S00139540",47,5,15,10,9,6
"S00139541",48,2,34,8,4,-
"S00139542",50,11,29,7,-,-
"S00139543",64,5,13,29,15,2
"S00139544",67,3,21,26,14,3
"S00139545",44,-,27,16,1,-
"S00139546",59,35,17,3,3,2
"S00139547",73,1,36,25,11,-
"S00139548",44,8,11,11,10,2
"S00139549",45,1,8,20,14,4
"S00139550",43,8,9,19,8,1
"S00139551",70,1,15,27,22,6
"S00139552",47,8,12,20,8,-
"S00139553",53,6,19,20,8,-
"S00139554",38,1,11,25,-,-
"S00139555",59,6,15,33,6,1
"S00139556",78,-,16,31,25,8
"S00139557",62,1,11,13,27,10
"S00139558",72,33,23,17,1,2
"S00139559",51,11,28,9,3,-
"S00139560",40,11,16,15,2,-
"S00139561",32,2,13,14,2,2
"S00139562",33,2,11,21,1,-
"S00139563",48,34,8,6,3,-
"S00139564",49,5,15,19,7,2
"S00139565",57,21,26,8,2,-
"S00139566",61,45,5,10,1,-
"S00139567",46,7,17,16,7,-
"S00139568",42,4,8,19,8,-
"S00139569",52,22,23,4,-,-
"S00139570",58,21,19,16,3,-
"S00139571",44,9,18,9,10,2
"S00139572",43,18,15,10,1,-
"S00139573",50,17,18,9,6,-
"S00139574",58,31,23,4,-,-
"S00139575",43,26,10,10,-,-
"S00139576",72,3,10,31,18,10
"S00139577",55,15,28,9,4,1
"S00139578",57,7,25,13,6,6
"S00139579",53,26,9,16,-,4
"S00139580",46,1,12,18,9,6
"S00139581",57,18,21,8,4,4
"S00139582",51,9,22,19,1,-
