Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00137829",47,21,4,9,8,17,7,3,7,8,3,4,2,2,1,1,-,2,2,-,-
"S00137830",65,7,2,1,4,19,12,4,3,9,8,1,-,18,15,3,-,9,7,2,-
"S00137831",49,13,2,2,9,16,5,8,5,7,6,2,-,8,7,1,-,5,-,5,-
"S00137832",63,23,17,-,5,20,13,-,7,10,3,8,-,-,-,-,-,8,8,-,-
"S00137833",37,9,2,1,5,8,-,1,5,11,5,3,-,3,3,-,-,7,5,2,-
"S00137834",46,4,1,1,-,11,5,3,4,10,2,8,-,6,-,6,-,17,15,2,-
"S00137835",43,11,7,1,3,22,9,3,6,5,5,-,-,6,6,-,-,2,1,-,-
"S00137836",67,17,6,1,7,39,8,9,24,8,4,4,-,1,1,-,-,1,-,1,-
"S00137837",52,10,3,-,4,29,4,4,19,10,2,-,4,4,3,1,-,-,-,-,-
"S00137838",54,7,5,-,3,24,7,8,8,10,6,6,-,7,5,2,-,10,7,3,-
"S00137839",42,5,2,3,-,14,3,3,8,8,3,4,-,7,3,5,-,8,4,-,-
"S00137840",57,2,-,1,2,17,5,5,7,8,1,6,-,10,4,6,-,20,10,10,-
"S00137841",60,16,3,7,6,13,3,6,5,9,5,7,-,6,4,2,-,15,10,4,-
"S00137842",60,21,11,6,2,18,14,2,2,11,5,5,1,6,6,1,-,4,4,-,-
"S00137843",51,5,1,-,3,15,3,4,7,15,2,11,2,10,3,7,-,10,9,2,-
"S00137844",30,1,-,-,1,10,5,2,5,15,7,8,-,1,1,-,-,3,-,3,-
"S00137845",46,4,2,2,1,21,5,5,11,17,2,7,3,3,3,2,-,3,2,1,-
"S00137846",53,9,2,4,4,12,8,2,5,11,3,5,3,8,5,2,-,12,9,4,-
"S00137847",56,12,7,1,-,19,14,-,2,9,4,5,-,4,3,1,-,12,7,4,-
"S00137848",71,6,2,1,3,17,7,4,6,14,13,3,-,13,10,5,-,19,8,11,-
"S00137849",66,10,5,3,3,20,12,5,3,8,9,3,-,12,11,1,-,12,10,2,-
"S00137850",57,19,11,5,2,17,7,3,7,17,9,7,1,4,4,-,-,-,-,-,-
"S00137851",41,4,1,-,2,12,1,3,4,8,2,5,1,11,6,3,-,9,5,4,-
"S00137852",55,7,4,1,1,11,-,3,8,13,1,12,-,9,2,7,-,15,7,8,-
"S00137853",36,2,-,1,-,13,1,4,9,9,-,7,1,4,-,4,-,4,-,4,-
"S00137854",59,6,2,2,2,15,2,5,8,8,2,6,-,10,3,7,-,20,12,8,-
"S00137855",78,6,2,2,-,20,4,5,11,19,6,12,2,15,6,10,-,20,9,11,-
"S00137856",47,-,-,-,-,19,1,9,6,16,3,13,-,10,6,5,-,8,2,4,-
"S00137857",44,1,1,4,-,15,2,5,8,12,2,10,-,8,4,6,-,9,6,3,-
"S00137858",84,14,4,9,-,36,22,4,10,16,8,8,-,8,6,2,-,10,9,1,-
"S00137859",48,11,2,-,8,27,-,5,22,9,-,3,3,3,2,1,-,-,-,-,-
"S00137860",54,9,3,-,6,19,9,1,9,13,9,3,1,7,4,3,-,6,2,-,-
"S00137861",74,12,5,4,2,20,4,8,10,20,2,16,2,10,2,6,-,13,3,10,-
"S00137862",64,7,3,1,2,21,3,3,14,8,3,4,-,10,4,6,-,19,11,7,-
"S00137863",56,4,3,-,-,9,4,2,3,7,4,3,-,16,14,2,-,22,19,1,-
"S00137864",35,5,-,1,4,5,-,3,2,10,-,9,1,2,-,2,-,10,4,5,-
"S00137865",72,9,2,-,7,22,3,6,13,25,5,20,-,11,1,7,-,11,6,5,-
"S00137866",71,9,-,5,6,21,5,3,15,19,2,17,-,11,2,10,-,8,5,3,-
"S00137867",52,4,1,-,3,16,2,5,10,16,1,14,-,6,2,7,-,7,4,3,-
"S00137868",40,5,7,-,1,12,6,-,4,12,5,7,-,3,2,2,-,5,3,2,-
"S00137869",62,17,5,4,10,32,4,10,19,14,3,12,-,3,3,-,-,-,-,-,-
"S00137870",42,10,6,3,1,14,3,3,6,9,6,2,-,2,2,-,-,7,6,1,-
"S00137871",68,18,9,6,5,32,16,11,5,11,6,4,-,6,3,4,-,1,1,-,-
"S00137872",31,20,1,4,15,10,-,2,7,-,-,-,-,-,-,-,-,1,-,1,-
"S00137873",58,21,14,1,5,25,18,6,2,3,2,1,-,4,4,-,-,6,6,-,-
"S00137874",55,22,9,3,4,18,7,3,7,9,3,4,-,6,6,-,-,6,6,-,-
"S00137875",52,11,7,2,2,13,6,3,5,9,4,4,1,7,4,3,-,11,6,7,-
"S00137876",54,7,2,3,2,17,1,5,11,17,3,13,2,6,2,6,-,4,-,1,-
"S00137877",88,17,1,6,10,43,3,4,33,18,8,10,-,4,3,2,-,6,1,5,-
"S00137878",46,4,2,2,2,16,8,4,4,10,6,5,-,5,2,5,-,12,8,4,-
"S00137879",51,10,7,1,2,22,7,2,11,12,5,9,1,4,1,3,-,6,5,1,-
"S00137880",52,4,4,1,1,21,16,3,4,11,6,5,-,5,3,4,-,13,10,2,-
"S00137881",27,6,-,2,2,7,-,4,3,7,2,4,-,5,3,3,-,2,1,2,-
"S00137882",61,3,2,-,1,10,5,1,7,10,6,5,2,19,7,8,-,17,14,1,-
"S00137883",84,8,2,4,4,17,6,7,6,22,4,18,-,15,5,9,-,22,19,6,-
"S00137884",40,15,7,10,-,13,8,2,1,8,4,1,2,1,1,-,-,2,2,-,-
"S00137885",47,13,7,3,3,14,7,3,4,7,-,3,-,-,-,-,-,10,10,-,-
"S00137886",46,19,12,2,5,9,7,-,4,13,11,1,2,4,2,-,-,3,3,-,-
"S00137887",74,10,-,1,8,24,1,-,21,19,3,15,2,9,3,5,-,12,4,8,-
"S00137888",48,11,9,-,2,11,6,4,1,13,8,2,-,6,1,4,-,7,4,3,-
"S00137889",42,9,1,2,2,14,4,7,5,9,5,3,2,4,4,1,-,6,3,3,-
"S00137890",81,19,12,3,4,35,22,6,10,10,8,2,-,5,3,2,-,12,10,2,-
"S00137891",69,16,9,1,1,27,19,2,5,12,3,7,2,7,5,3,-,10,6,1,-
"S00137892",52,4,1,-,3,24,2,7,12,8,2,6,-,8,3,5,-,8,2,6,-
"S00137893",48,5,2,1,1,15,3,5,7,15,4,8,3,7,-,7,-,6,2,3,-
"S00137894",54,2,2,1,2,26,3,7,10,21,2,17,3,3,1,2,-,5,1,2,-
"S00137895",48,12,4,2,6,15,6,5,4,7,3,4,-,6,3,3,-,8,6,2,-
"S00137896",52,16,11,1,4,19,8,7,4,8,5,-,1,4,1,2,1,5,4,-,-
"S00137897",61,7,1,1,6,24,6,5,12,16,5,11,1,1,1,-,-,7,4,5,-
"S00137898",51,9,2,6,1,18,4,5,8,8,2,9,1,13,2,11,-,2,-,2,-
"S00137899",67,1,-,-,1,20,1,4,15,16,4,10,2,14,5,10,-,13,6,10,-
"S00137900",75,20,14,-,8,23,4,3,13,15,7,7,1,8,2,4,1,10,6,4,-
"S00137901",43,5,1,2,5,8,2,4,2,8,3,5,-,7,5,2,-,12,8,4,-
"S00137902",42,5,3,1,1,11,5,-,10,4,1,2,1,6,3,1,-,12,6,6,-
"S00137903",67,6,4,-,2,21,6,6,13,16,7,9,-,10,8,2,-,14,8,4,-
"S00137904",44,3,-,-,3,17,2,8,10,17,1,16,-,5,3,2,-,2,2,-,-
"S00137905",74,5,-,-,5,15,4,1,7,15,5,13,1,14,9,5,-,26,10,16,-
"S00137906",51,16,6,3,9,10,5,4,-,9,5,4,-,6,3,1,-,10,2,5,-
"S00137907",60,4,-,-,3,20,6,8,8,17,4,12,1,13,1,8,-,9,7,2,-
"S00137908",34,6,2,2,-,9,1,2,6,8,1,4,1,3,2,2,-,8,2,6,-
"S00137909",69,4,-,3,2,32,6,14,12,15,1,13,1,13,2,11,-,5,1,4,-
"S00137910",49,4,-,2,2,20,4,5,16,12,-,10,1,8,2,6,-,6,5,3,-
"S00137911",80,13,8,1,4,25,9,6,11,14,1,12,-,18,8,10,-,9,8,1,-
"S00137912",43,6,4,2,-,10,5,2,3,12,2,10,-,6,5,-,-,10,9,2,-
"S00137913",41,13,7,1,4,9,2,2,5,8,5,-,-,5,3,-,-,10,3,3,2
"S00137914",47,13,5,3,5,18,9,4,5,6,2,5,1,2,-,2,-,8,4,4,-
"S00137915",74,6,3,1,2,31,2,5,24,17,2,15,-,12,4,7,1,8,3,5,-
"S00137916",31,4,2,-,1,7,-,-,7,8,2,6,-,4,1,3,-,9,2,4,-
"S00137917",63,18,3,2,10,16,2,4,9,21,7,10,5,4,2,2,-,7,5,2,-
"S00137918",82,18,9,6,6,16,4,4,8,26,8,14,-,7,6,2,1,9,7,6,-
"S00137919",48,17,2,2,8,19,7,5,7,6,2,1,1,6,3,2,-,5,3,2,-
"S00137920",59,20,3,4,13,40,4,6,26,2,2,-,-,1,-,1,-,1,-,1,-
"S00137921",66,23,5,5,13,36,3,7,27,5,1,3,1,1,-,1,-,1,1,-,-
"S00137922",56,8,2,-,5,21,10,3,6,13,5,3,-,7,3,3,-,9,6,3,-
"S00137923",56,3,-,-,1,13,4,4,6,17,5,12,-,8,3,5,-,15,6,9,-
"S00137924",68,15,3,6,7,23,7,8,8,8,5,2,-,9,5,4,-,13,8,5,-
"S00137925",31,1,-,-,1,13,1,5,7,12,1,6,2,7,1,6,-,1,-,1,-
"S00137926",60,10,3,1,7,21,9,3,6,7,3,4,-,12,2,8,-,10,6,4,-
"S00137927",55,32,8,12,15,14,1,-,13,4,-,4,-,2,-,2,-,-,-,-,-
"S00137928",27,8,1,2,8,7,1,3,2,6,2,3,-,2,2,1,-,3,3,2,-
"S00137929",76,21,9,3,11,30,10,9,11,13,1,10,1,5,3,3,-,8,6,2,-
"S00137930",37,11,2,2,8,6,-,3,4,7,2,3,2,6,5,4,-,2,2,1,-
"S00137931",43,1,-,1,-,11,-,2,9,7,2,5,2,7,2,8,-,14,10,3,-
"S00137932",65,12,2,4,4,16,1,5,11,20,7,15,-,9,8,4,-,7,2,7,-
"S00137933",40,7,1,-,6,14,1,3,8,9,2,4,-,6,4,-,-,7,6,1,-
"S00137934",53,7,1,4,3,11,-,2,9,13,10,4,1,11,6,6,-,11,6,5,-
"S00137935",35,3,-,1,2,8,2,-,10,6,-,5,1,10,1,9,-,11,3,5,-
"S00137936",71,41,7,12,19,22,2,3,17,8,1,7,-,3,1,2,-,-,-,-,-
"S00137937",58,10,3,2,6,18,2,7,12,12,5,5,1,8,5,3,-,8,6,4,-
"S00137938",32,-,-,-,-,11,3,4,6,7,2,6,-,8,1,9,-,2,1,1,-
"S00137939",38,8,2,4,6,20,4,7,11,6,2,3,1,5,1,4,-,3,3,1,-
"S00137940",68,8,-,5,4,25,1,12,12,24,6,14,-,6,1,5,-,4,3,2,-
"S00137941",34,4,-,2,2,11,-,4,7,10,2,9,3,2,-,2,-,3,2,1,-
"S00137942",69,7,3,2,3,15,5,3,6,23,10,11,1,14,3,11,-,12,8,4,-
"S00137943",54,7,-,4,4,20,5,8,8,14,6,8,-,3,4,4,-,3,2,1,-
"S00137944",35,3,-,-,3,14,4,3,8,14,5,5,1,2,1,1,-,2,-,2,-
"S00137945",30,3,-,-,3,8,2,2,4,8,3,5,2,3,-,-,-,6,4,4,-
"S00137946",28,3,-,1,2,11,3,6,2,13,1,8,2,2,-,2,-,4,-,1,-
"S00137947",55,12,1,1,9,16,-,6,10,11,3,12,1,4,1,4,-,13,7,3,-
"S00137948",61,5,-,2,3,13,-,8,5,17,3,14,1,6,7,1,-,19,11,8,-
"S00137949",63,6,2,3,-,20,3,7,10,15,2,7,3,15,5,10,-,6,4,5,-
"S00137950",36,2,1,1,1,6,1,2,3,9,1,6,1,10,1,7,-,8,2,7,-
"S00137951",52,8,4,-,2,21,8,3,10,10,2,10,-,6,2,4,-,6,3,4,-
"S00137952",53,6,1,2,5,28,4,9,17,13,2,11,-,2,2,-,-,2,1,1,-
"S00137953",71,5,2,3,1,22,6,8,9,20,4,16,-,15,3,13,-,8,4,6,-
"S00137954",52,5,-,1,3,24,4,4,16,13,1,12,-,8,2,4,-,6,4,4,-
"S00137955",47,4,-,2,2,17,-,8,9,15,3,12,-,2,1,1,-,12,4,5,-
"S00137956",51,4,-,2,1,22,3,12,10,11,3,13,-,6,1,5,-,4,-,2,-
"S00137957",44,5,2,2,2,12,-,9,3,12,-,11,-,8,1,6,-,8,5,3,-
"S00137958",48,3,-,2,1,12,-,5,7,15,1,12,4,10,2,11,-,9,1,5,-
"S00137959",53,7,3,1,-,24,-,5,17,11,3,7,-,7,2,5,-,4,4,2,-
"S00137960",43,4,1,2,1,14,1,6,7,8,2,6,2,6,5,3,-,11,6,5,-
"S00137961",76,4,-,4,-,29,5,7,17,23,3,12,8,9,2,7,1,11,5,6,-
"S00137962",46,3,-,1,2,14,-,6,4,17,1,16,-,7,1,8,-,6,6,4,-
"S00137963",42,4,3,1,1,21,1,7,13,5,4,4,-,8,-,8,-,4,3,1,-
"S00137964",67,2,1,-,1,24,1,10,13,19,1,16,2,13,3,10,-,9,6,3,-
"S00137965",47,6,-,1,4,12,2,4,8,13,4,10,-,8,2,6,-,6,1,4,-
"S00137966",62,5,-,4,4,24,-,8,14,18,2,15,-,10,2,8,-,5,1,3,-
"S00137967",63,1,-,-,1,20,2,4,13,19,3,15,1,12,3,9,-,11,3,8,-
"S00137968",41,5,1,1,1,8,2,4,1,14,8,7,1,8,4,4,-,7,3,5,-
"S00137969",40,6,1,2,2,15,2,2,11,11,3,6,-,6,3,3,-,5,2,3,-
"S00137970",71,5,-,2,1,22,1,8,16,25,8,16,1,17,6,9,-,8,-,7,2
"S00137971",43,2,2,-,-,13,5,-,7,14,8,6,-,5,3,5,-,7,4,5,-
"S00137972",43,6,-,3,4,21,4,14,3,8,3,4,2,7,-,5,-,1,-,1,-
"S00137973",73,17,4,2,11,29,5,8,15,14,3,11,-,4,2,2,-,9,6,3,-
"S00137974",58,17,-,2,15,35,3,8,25,2,1,-,1,2,2,1,-,-,1,1,-
"S00137975",34,5,-,1,3,9,3,1,8,4,1,1,-,4,4,-,-,11,9,2,-
"S00137976",52,3,-,-,3,16,1,4,11,15,4,15,-,11,2,9,-,3,-,3,-
"S00137977",56,10,1,1,6,12,6,2,6,13,6,7,-,11,4,7,-,7,4,3,-
"S00137978",69,7,2,2,3,26,2,7,17,19,2,9,1,15,4,11,-,6,1,5,1
"S00137979",34,9,4,1,4,7,2,2,4,11,4,6,-,4,2,3,-,1,1,-,-
"S00137980",29,5,3,-,-,11,-,5,5,9,2,6,1,3,-,1,1,2,2,-,-
"S00137981",44,2,-,2,1,18,3,2,10,20,-,14,1,8,4,6,-,5,-,5,-
"S00137982",52,6,3,2,4,18,7,-,8,11,7,5,1,7,3,6,-,7,5,4,-
"S00137983",52,15,5,3,9,26,2,8,16,6,3,2,1,2,2,2,-,4,1,1,-
"S00137984",41,7,1,3,3,9,3,2,5,15,7,9,1,6,2,4,-,4,4,-,-
"S00137985",37,9,4,-,5,16,6,5,4,6,-,5,-,4,-,4,-,2,-,2,-
"S00137986",71,7,2,2,4,19,3,5,9,25,4,19,-,10,4,5,-,14,9,8,-
"S00137987",63,10,-,1,5,24,4,8,12,12,3,9,-,13,4,10,2,5,5,4,-
"S00137988",58,6,-,2,4,15,2,7,6,27,9,10,4,8,2,6,-,6,3,5,-
"S00137989",44,6,1,2,1,21,3,7,11,14,1,14,2,1,1,-,-,3,-,3,-
"S00137990",55,6,1,1,3,22,4,10,9,17,2,12,2,5,2,3,-,6,1,5,-
"S00137991",46,11,4,1,6,8,1,1,4,12,4,8,-,12,4,7,1,4,-,4,-
"S00137992",37,6,1,3,2,12,1,7,3,10,4,6,-,5,4,3,-,7,3,6,-
"S00137993",65,2,-,2,3,21,2,4,18,25,6,17,2,4,2,2,-,13,5,6,-
"S00137994",49,4,-,1,3,25,3,8,14,11,-,8,2,5,2,4,-,3,5,1,-
"S00137995",60,7,1,3,3,18,4,2,12,21,4,14,4,5,1,4,-,9,4,3,-
"S00137996",33,5,-,1,4,11,1,5,8,8,2,4,4,4,-,4,-,2,2,-,-
"S00137997",69,8,7,1,-,13,8,3,4,16,6,9,1,9,8,4,-,20,13,8,-
"S00137998",44,6,2,3,-,6,1,2,3,16,2,9,2,12,4,7,2,4,2,2,-
"S00137999",45,12,6,2,5,16,3,6,8,7,-,2,1,2,1,-,-,8,3,5,-
"S00138000",56,8,3,3,2,19,2,6,9,9,4,7,2,8,1,7,-,7,6,4,-
"S00138001",63,13,8,1,7,28,2,9,21,10,2,6,1,4,1,5,-,1,-,1,-
"S00138002",49,7,1,1,5,13,2,5,10,19,3,17,-,2,2,3,-,5,3,4,-
"S00138003",71,12,4,6,4,37,7,12,19,13,2,9,2,2,-,2,-,7,3,4,-
"S00138004",69,8,3,2,3,17,1,4,14,12,6,6,-,16,7,9,-,16,11,6,-
"S00138005",64,8,-,3,3,26,2,12,14,12,2,9,1,10,-,8,-,8,3,8,-
"S00138006",48,3,1,-,2,19,4,2,13,16,3,12,1,8,5,2,-,1,3,1,-
"S00138007",41,2,-,2,-,12,-,3,7,7,2,5,-,12,3,12,-,9,2,5,-
"S00138008",73,8,2,4,2,16,9,2,8,13,7,8,-,16,8,8,-,17,9,7,-
"S00138009",75,9,3,1,5,25,-,4,20,17,3,13,1,9,4,5,-,14,7,7,-
"S00138010",46,4,-,2,3,16,2,2,12,12,4,8,2,6,2,3,1,3,2,4,-
"S00138011",65,13,4,7,5,25,13,6,6,10,3,8,2,12,2,7,-,6,4,-,-
"S00138012",57,7,1,-,5,18,7,1,8,13,8,5,-,8,8,2,-,9,9,3,-
"S00138013",67,6,1,-,5,22,2,9,10,14,4,10,-,12,3,9,-,13,8,5,-
"S00138014",43,9,8,-,1,9,1,2,4,6,4,3,1,6,5,1,-,13,12,-,-
"S00138015",67,12,3,4,6,19,8,3,7,12,4,6,6,6,2,-,-,18,13,5,-
"S00138016",53,3,-,-,1,15,4,3,10,17,2,13,1,4,3,1,-,13,9,4,-
"S00138017",69,11,2,-,8,28,5,7,14,8,-,7,-,9,4,7,-,12,8,5,-
"S00138018",45,14,11,4,1,7,1,1,5,6,5,4,-,7,2,2,-,10,6,2,-
"S00138019",44,11,5,2,4,12,6,-,5,9,5,3,1,5,2,3,-,7,7,-,-
"S00138020",55,10,4,1,7,20,5,6,9,8,3,5,-,10,4,6,-,8,4,4,-
"S00138021",54,13,5,3,5,16,9,2,5,4,4,3,-,8,5,2,-,10,8,4,-
"S00138022",44,10,4,4,-,17,6,2,9,4,1,3,-,3,2,4,-,9,7,1,-
"S00138023",65,10,1,-,6,21,4,10,10,18,5,12,1,7,4,4,-,9,3,6,-
"S00138024",63,15,10,1,4,9,1,4,6,12,7,8,-,6,8,1,-,17,11,6,-
"S00138025",64,4,1,-,3,23,7,7,7,18,5,13,-,13,2,11,-,6,3,3,-
"S00138026",61,15,10,1,2,19,6,7,5,14,6,8,-,2,-,2,-,9,6,6,-
"S00138027",40,1,-,1,-,7,1,3,7,16,5,12,-,6,-,6,-,7,4,6,-
"S00138028",80,5,2,4,2,25,5,7,13,27,6,19,2,15,5,10,-,6,5,2,-
"S00138029",49,12,6,-,4,23,11,4,8,10,1,3,2,5,2,2,-,4,2,2,-
"S00138030",85,14,6,5,3,19,5,3,11,14,3,8,-,22,14,8,-,16,11,5,-
"S00138031",76,19,14,5,-,14,9,2,2,16,13,3,-,12,10,1,-,15,15,7,-
"S00138032",74,10,3,2,7,17,10,3,4,9,9,2,-,8,9,2,-,32,23,5,-
"S00138033",63,8,3,1,2,16,6,3,6,20,10,8,3,13,4,8,-,8,4,5,-
"S00138034",51,5,2,2,3,13,4,3,10,13,1,6,2,10,5,5,-,3,3,-,-
"S00138035",81,20,15,1,4,22,11,4,7,18,8,10,1,11,8,2,1,10,5,5,-
"S00138036",29,2,1,1,-,14,1,6,9,3,-,5,-,5,-,4,-,4,1,2,-
"S00138037",54,7,6,1,2,14,1,-,9,12,8,4,-,8,5,3,-,18,11,7,-
"S00138038",30,3,2,1,-,14,6,5,8,10,3,4,1,1,-,2,-,3,2,1,-
"S00138039",42,5,1,1,1,12,-,3,9,13,2,10,1,12,6,6,-,2,2,2,-
"S00138040",44,2,-,1,-,10,-,2,9,14,3,12,-,10,4,2,-,6,4,3,-
"S00138041",48,8,2,3,3,19,1,8,9,7,2,6,-,7,1,6,-,4,1,3,-
"S00138042",63,4,-,1,4,30,2,16,13,17,4,12,1,5,-,5,-,6,2,1,-
"S00138043",61,6,6,-,2,6,-,3,4,17,5,9,1,14,7,2,-,19,11,8,-
"S00138044",45,-,-,-,-,15,1,5,7,8,1,4,1,5,1,3,-,18,15,5,-
"S00138045",69,-,-,-,-,8,-,4,6,10,6,5,-,13,7,3,-,38,32,6,-
"S00138046",72,10,8,-,2,16,10,5,1,17,6,11,-,12,8,5,-,15,13,4,-
"S00138047",68,8,-,1,7,23,3,6,18,13,4,10,-,7,2,7,-,9,8,4,2
"S00138048",34,1,1,-,-,13,2,2,5,7,1,5,-,5,3,2,-,8,5,3,-
"S00138049",59,6,2,2,5,21,-,11,12,16,3,12,2,10,1,9,-,4,2,4,-
"S00138050",68,4,1,2,1,27,3,9,17,12,2,8,-,9,3,6,-,12,2,9,-
"S00138051",55,6,2,1,3,18,2,5,11,16,3,12,1,12,4,8,-,6,5,3,-
"S00138052",58,5,1,2,5,20,6,10,5,14,1,11,2,11,2,8,-,7,-,5,-
"S00138053",41,2,2,1,1,17,5,6,4,8,2,5,1,6,1,5,-,7,4,3,-
"S00138054",85,6,1,2,5,40,5,14,19,23,1,21,1,10,5,6,-,5,2,3,-
"S00138055",49,4,-,2,1,18,1,3,14,15,4,14,-,-,-,-,-,11,7,3,-
"S00138056",48,4,-,1,3,28,5,6,14,9,4,4,-,5,2,4,-,2,2,-,-
"S00138057",48,12,4,5,-,13,2,4,9,7,3,4,-,6,6,4,-,9,11,4,-
"S00138058",55,5,2,2,1,15,1,6,8,12,6,6,-,9,1,10,-,16,8,6,-
"S00138059",73,18,10,1,7,14,11,2,4,20,14,6,-,11,5,3,-,13,9,4,-
"S00138060",28,1,-,1,-,13,1,2,10,6,-,4,1,5,2,5,-,3,2,2,-
"S00138061",39,3,-,-,2,12,4,1,7,15,5,8,1,6,-,4,-,3,1,2,-
"S00138062",85,17,7,1,7,35,11,7,20,21,10,11,2,6,5,4,-,6,2,4,-
"S00138063",34,6,4,1,3,18,3,7,5,7,5,6,-,5,3,-,-,2,1,1,-
"S00138064",30,2,1,-,2,10,-,3,4,4,1,3,-,7,1,6,-,9,4,4,-
"S00138065",31,-,-,-,-,11,1,5,5,11,3,8,-,5,3,2,-,4,3,1,-
"S00138066",58,5,2,2,4,7,1,4,6,20,2,15,-,8,2,7,-,13,6,7,-
"S00138067",29,4,-,-,4,11,4,1,5,7,1,2,1,4,1,3,-,3,2,1,-
"S00138068",40,13,3,5,3,14,-,7,7,6,-,5,2,2,1,1,-,5,-,5,-
"S00138069",78,2,-,1,2,34,7,11,16,17,1,15,1,10,1,8,-,15,8,10,-
"S00138070",41,10,1,5,1,8,1,3,4,12,5,8,-,3,3,5,-,9,6,3,-
"S00138071",37,-,-,-,-,10,2,2,9,12,5,6,1,6,2,4,-,8,3,2,-
"S00138072",36,-,-,-,-,24,4,9,11,7,-,5,-,5,2,4,-,-,-,-,-
"S00138073",89,4,-,1,2,31,-,8,22,30,8,20,3,16,5,7,-,12,7,5,-
"S00138074",58,13,5,1,1,9,5,2,7,18,12,5,1,8,5,3,-,6,5,4,-
"S00138075",47,7,2,-,7,22,7,3,15,7,1,6,-,5,3,2,-,6,3,3,1
"S00138076",50,5,-,4,3,18,1,6,11,9,-,8,1,7,4,3,-,11,3,8,-
"S00138077",32,7,2,-,1,14,3,4,7,6,3,2,-,-,-,-,-,2,2,1,-
"S00138078",36,7,4,3,2,11,7,2,2,6,3,5,-,6,4,1,-,9,2,7,-
"S00138079",59,4,-,1,2,26,3,9,10,17,2,15,-,7,2,4,-,10,3,7,-
"S00138080",58,7,4,1,2,20,4,8,5,14,2,12,-,10,5,5,-,9,4,6,-
"S00138081",54,8,3,2,3,12,2,8,3,8,1,4,1,8,4,4,-,18,13,8,-
"S00138082",62,9,6,-,4,11,4,6,1,14,4,9,-,11,4,7,-,17,7,10,-
"S00138083",34,-,-,-,-,5,1,1,2,7,3,6,-,11,1,9,-,10,6,5,-
"S00138084",39,5,1,3,2,8,2,3,3,8,1,4,1,9,4,6,-,9,4,5,-
"S00138085",72,6,-,3,3,23,5,7,13,27,2,18,3,10,-,10,-,11,2,7,-
"S00138086",57,3,-,1,2,19,1,4,12,22,2,13,8,2,-,2,-,8,4,5,-
"S00138087",63,15,3,1,10,23,5,5,13,9,1,7,-,12,7,7,-,4,4,2,-
"S00138088",47,2,-,2,1,14,3,2,9,11,2,5,4,14,6,10,-,6,2,6,-
"S00138089",72,4,1,-,-,25,6,6,13,22,8,15,-,13,3,10,-,13,8,5,-
"S00138090",53,12,9,-,3,9,2,4,5,13,4,8,-,11,8,1,-,7,6,-,-
"S00138091",65,7,-,4,3,25,7,5,13,13,5,7,1,10,4,5,1,10,6,4,-
"S00138092",64,10,-,2,7,22,6,9,7,12,5,8,1,17,6,8,-,7,4,5,-
"S00138093",39,2,2,-,-,14,2,-,9,12,3,8,2,4,-,4,-,6,-,7,-
"S00138094",60,4,-,1,2,33,2,6,27,11,-,11,4,-,1,1,-,4,1,3,-
"S00138095",36,3,2,2,-,16,-,7,9,9,5,4,-,2,1,1,-,5,1,4,-
"S00138096",61,6,2,3,1,29,3,11,15,14,4,11,1,8,2,6,-,4,1,3,-
"S00138097",40,-,1,1,-,9,1,2,4,10,4,5,1,12,3,9,-,7,6,3,-
"S00138098",59,5,1,2,-,18,2,12,5,19,1,18,-,9,2,7,-,10,6,4,-
"S00138099",47,4,2,2,1,28,2,7,19,7,2,3,1,8,4,4,-,4,-,4,-
"S00138100",65,15,1,1,10,21,7,8,8,17,1,19,-,6,3,3,-,12,7,-,-
"S00138101",46,1,-,-,1,22,2,7,13,14,2,12,1,8,1,4,-,4,-,4,-
"S00138102",33,3,-,1,2,10,-,3,11,9,-,9,-,2,-,2,-,4,2,1,-
"S00138103",55,8,-,1,7,19,-,8,11,17,3,12,-,2,1,2,-,8,3,4,-
"S00138104",30,3,1,-,4,10,1,4,6,11,2,8,1,4,-,3,-,1,1,-,-
"S00138105",48,6,1,1,4,16,4,2,12,15,5,11,-,8,3,2,-,6,2,4,-
"S00138106",66,7,1,-,4,18,3,5,9,23,6,15,4,6,3,6,-,9,6,2,-
"S00138107",47,9,2,4,3,12,1,3,10,12,2,9,2,8,2,6,-,5,-,5,-
"S00138108",44,7,4,-,3,17,3,3,10,6,2,4,-,6,3,3,-,8,4,6,-
"S00138109",56,18,4,8,7,29,10,-,19,5,3,2,-,4,4,-,-,2,1,1,-
