OA_Code,Latitude,Longitude,All people,Born in the UK,Arrived before 1941,Arrived 1941 - 1950,Arrived 1951 - 1960,Arrived 1961 - 1970,Arrived 1971 - 1980,Arrived 1981 - 1990,Arrived 1991 - 2000,Arrived 2001 - 2010,Arrived 2011 - 2013,Arrived 2014 - 2016,Arrived 2017 - 2019,Arrived 2020 - 2022
S00143192,55.94858563,-3.179383678,105,54,-,-,-,-,1,-,-,14,3,7,11,16
S00143193,55.94658798,-3.308690083,112,93,-,-,-,1,-,1,1,12,6,3,2,-
S00143194,55.94740781,-3.081541324,118,101,-,-,-,1,2,3,4,-,-,3,4,-
S00143195,55.94839063,-3.18938611,374,198,-,-,-,1,2,-,5,18,8,8,26,107
S00143196,55.94820473,-3.178811632,113,81,-,-,-,1,-,3,3,6,1,4,9,4
S00143197,55.94556991,-3.3123226,217,178,-,-,1,3,3,-,5,3,5,9,4,8
S00143198,55.9482806,-3.133384284,63,31,-,-,-,-,2,-,-,2,5,7,3,11
S00143199,55.94714411,-3.22127763,183,146,-,-,-,-,2,3,-,13,2,3,5,10
S00143200,55.94849003,-3.188396325,196,97,-,-,-,-,-,-,3,9,6,12,20,52
S00143201,55.94580869,-3.309304297,256,213,-,-,-,3,4,6,4,16,1,4,8,1
S00143202,55.94821732,-3.194296886,68,40,-,-,-,-,-,-,-,5,-,6,12,8
S00143203,55.9462251,-3.28770115,118,114,-,-,-,2,-,1,-,-,-,-,-,-
S00143204,55.9466974,-3.183265387,354,180,-,-,-,1,-,-,1,5,4,4,24,132
S00143205,55.94737033,-3.21657692,168,125,-,-,-,1,1,1,4,9,4,2,6,13
S00143206,55.94585502,-3.131375939,125,109,-,-,-,-,1,-,4,-,2,-,-,3
S00143207,55.94648653,-3.303002093,153,132,1,-,1,4,-,2,2,4,2,4,2,4
S00143208,55.94653126,-3.235877937,105,74,-,-,-,1,2,-,2,2,7,3,7,2
S00143209,55.94190269,-3.316633602,78,71,-,-,-,-,-,3,1,-,3,-,-,-
S00143210,55.94819263,-3.097448201,98,95,-,-,-,-,1,-,1,2,-,1,-,-
S00143211,55.94875643,-3.097704353,106,99,-,-,-,-,3,-,2,-,1,-,1,-
S00143212,55.94846431,-3.119185867,124,113,-,-,-,-,1,-,2,3,-,2,3,-
S00143213,55.94619352,-3.293288538,130,120,-,-,-,1,-,1,1,4,-,3,2,2
S00143214,55.94590112,-3.280853027,187,169,-,1,1,2,-,1,4,6,3,1,6,-
S00143215,55.94691343,-3.238980599,171,141,-,-,2,3,2,3,4,8,2,5,3,1
S00143216,55.94686619,-3.234735682,106,85,-,-,-,1,-,-,4,3,-,3,1,8
S00143217,55.94806879,-3.182682704,93,69,-,-,-,1,2,-,-,10,-,3,9,2
S00143218,55.94691175,-3.306122905,91,84,-,-,-,-,2,2,-,3,-,-,-,-
S00143219,55.94797883,-3.139796723,128,122,-,-,1,-,-,-,1,2,-,1,-,-
S00143220,55.94600103,-3.284202962,109,101,-,1,-,-,2,3,-,1,-,1,2,-
S00143221,55.94655412,-3.230001995,130,115,-,-,1,2,2,-,-,5,-,-,3,1
S00143222,55.94809786,-3.102025261,102,92,2,2,-,1,5,1,2,-,1,-,1,-
S00143223,55.94646158,-3.285707399,109,107,-,-,-,1,-,1,-,1,-,2,-,-
S00143224,55.94519426,-3.295176701,146,119,-,-,1,1,-,2,3,9,1,4,3,6
S00143225,55.94827072,-3.134456881,111,87,-,-,-,1,-,-,2,4,-,3,3,6
S00143226,55.94693951,-3.221975754,106,84,-,-,-,-,1,1,6,3,3,2,6,1
S00143227,55.94774165,-3.196091725,67,49,-,-,-,-,-,1,3,2,1,4,6,1
S00143228,55.9470057,-3.237846629,72,60,-,-,-,-,2,-,-,5,-,-,1,6
S00143229,55.94675524,-3.187526531,424,207,-,-,-,-,-,1,1,6,7,8,31,158
S00143230,55.94752182,-3.183498704,99,79,-,-,1,-,1,1,-,10,-,3,5,1
S00143231,55.94761611,-3.193285565,115,84,-,-,-,-,1,-,1,7,1,2,9,11
S00143232,55.94792446,-3.092236389,113,100,-,-,-,1,1,-,-,2,3,-,2,3
S00143233,55.94648593,-3.276452803,171,155,-,-,-,1,2,1,4,5,-,-,2,-
S00143234,55.94717072,-3.200285514,225,84,-,-,-,-,-,-,2,6,-,6,19,104
S00143235,55.94842166,-3.091898099,80,71,-,2,2,1,1,-,1,1,-,1,-,-
S00143236,55.94765856,-3.179547648,100,44,-,-,-,-,-,-,-,9,8,4,16,16
S00143237,55.94583133,-3.297824033,116,105,-,-,1,1,-,1,-,4,4,-,-,-
S00143238,55.94761259,-3.103036299,100,95,-,-,-,1,1,2,-,1,-,-,-,-
S00143239,55.94620168,-3.24273684,152,138,-,-,-,1,1,-,3,2,-,-,7,-
S00143240,55.94525314,-3.292136325,121,110,-,-,1,2,3,-,-,9,1,-,-,-
S00143241,55.94727796,-3.18456413,129,95,-,-,-,3,-,-,4,4,1,4,3,22
S00143242,55.94672366,-3.218366082,202,149,-,-,-,-,3,1,2,12,5,1,17,12
S00143243,55.94685773,-3.214799435,162,110,-,-,-,-,-,3,4,7,-,-,15,19
S00143244,55.94785838,-3.13532554,98,65,-,-,-,-,-,-,3,8,3,2,10,5
S00143245,55.94489778,-3.206684028,104,69,-,-,-,-,-,1,-,2,5,1,11,15
S00143246,55.94578185,-3.23444497,84,71,-,1,-,-,-,-,1,-,-,7,-,2
S00143247,55.9470625,-3.196631233,69,49,-,-,-,-,1,-,-,3,4,4,7,2
S00143248,55.94730098,-3.178415871,122,64,-,-,-,-,-,2,4,11,6,2,19,15
S00143249,55.94637407,-3.247017748,120,104,-,-,1,1,2,1,3,3,-,2,5,2
S00143250,55.94733127,-3.180882782,202,118,-,-,-,1,1,-,4,12,-,6,15,46
S00143251,55.94801253,-3.095473502,176,163,-,-,-,-,-,-,1,1,1,7,1,-
S00143252,55.94669112,-3.203393154,90,54,-,-,-,-,-,-,1,7,4,3,6,13
S00143253,55.94681912,-3.18555892,121,71,-,-,-,-,-,-,4,6,-,9,9,18
S00143254,55.94748219,-3.123432968,223,208,-,-,-,2,5,1,1,4,-,4,1,-
S00143255,55.94682284,-3.198177078,109,79,-,-,-,4,-,2,2,-,2,3,9,7
S00143256,55.94625873,-3.143124801,103,94,-,-,-,-,-,4,1,5,1,-,-,-
S00143257,55.94556573,-3.276806823,156,145,-,1,-,3,2,2,1,-,2,3,5,-
S00143258,55.9462505,-3.201586081,124,84,-,-,-,-,4,-,1,5,2,3,18,9
S00143259,55.94754708,-3.088174516,169,154,-,-,-,1,1,2,5,-,5,-,2,-
S00143260,55.92909844,-3.325818707,136,118,-,-,1,3,1,1,2,3,-,-,-,6
S00143261,55.94637469,-3.215488863,62,37,-,-,-,-,-,-,-,3,-,3,11,10
S00143262,55.94728024,-3.134684119,95,61,-,-,-,-,-,4,2,3,2,6,7,6
S00143263,55.94703843,-3.179560817,91,41,-,-,-,1,-,-,4,6,3,7,11,18
S00143264,55.94629246,-3.211979532,95,66,-,-,-,-,-,-,1,5,4,3,9,8
S00143265,55.94609599,-3.220956407,160,103,-,-,-,3,-,1,4,7,2,4,23,12
S00143266,55.94740548,-3.101076849,98,84,-,-,-,-,2,1,1,4,-,-,2,1
S00143267,55.94665516,-3.205233499,186,132,-,-,-,-,-,-,-,6,4,9,16,14
S00143268,55.94621814,-3.136830736,93,91,-,-,-,-,-,-,1,4,-,-,-,-
S00143269,55.94636727,-3.182086402,93,57,-,-,-,-,2,1,-,6,3,6,16,3
S00143270,55.94605726,-3.249905837,155,121,-,-,1,1,2,-,-,11,2,3,4,11
S00143271,55.94520855,-3.298940073,126,126,-,1,-,1,1,-,-,1,-,-,-,-
S00143272,55.94693749,-3.140662836,70,62,-,-,-,-,-,2,1,1,-,1,5,-
S00143273,55.94498526,-3.255475541,109,90,-,-,2,3,-,1,2,4,2,2,3,1
S00143274,55.94629545,-3.213500821,70,45,-,-,-,-,-,-,2,4,3,4,5,7
S00143275,55.94693393,-3.128364999,143,129,-,2,-,2,1,-,2,-,-,-,4,-
S00143276,55.94638356,-3.198996164,83,62,-,-,-,-,2,-,7,1,-,-,4,6
S00143277,55.94697689,-3.082522089,90,86,-,-,-,-,1,-,2,-,-,-,-,-
S00143278,55.94659385,-3.199547095,112,57,-,-,-,-,-,-,1,1,3,10,7,29
S00143279,55.94366618,-3.179842559,62,52,-,-,1,-,-,-,1,3,1,-,-,4
S00143280,55.94554055,-3.196055883,63,48,-,-,-,4,-,-,4,4,1,1,-,-
S00143281,55.94647315,-3.181353049,90,57,-,-,1,-,-,-,3,9,2,4,7,4
S00143282,55.94691208,-3.134657338,109,84,-,-,-,-,1,-,-,10,5,5,6,-
S00143283,55.94552764,-3.287373763,95,90,-,-,-,-,-,-,1,2,1,-,-,1
S00143284,55.94638587,-3.203367672,83,50,-,-,-,1,-,-,-,2,-,2,14,12
S00143285,55.94613937,-3.19175098,162,88,-,-,-,2,-,-,-,10,4,13,19,28
S00143286,55.94714544,-3.094968634,103,91,-,-,-,2,2,2,2,5,2,-,-,-
S00143287,55.945507,-3.252770328,108,95,-,-,-,1,-,1,3,2,2,1,-,2
S00143288,55.94717525,-3.098684421,107,99,-,-,1,3,-,1,1,1,-,-,-,-
S00143289,55.94452874,-3.276292333,173,158,-,-,1,-,1,2,6,1,2,1,-,-
S00143290,55.94665156,-3.179613104,77,56,-,-,-,2,-,2,-,4,4,4,3,2
S00143291,55.94678768,-3.107848634,94,86,-,1,-,-,-,-,-,1,-,4,-,2
S00143292,55.94611782,-3.189332437,76,46,-,-,-,-,-,-,-,3,1,4,10,15
S00143293,55.94721637,-3.085939475,76,74,-,-,-,1,-,-,-,-,-,-,-,-
S00143294,55.94608014,-3.219835033,94,64,-,-,-,-,1,-,1,3,3,5,9,9
S00143295,55.94666459,-3.1410231,100,71,-,-,-,1,-,-,2,11,4,2,4,6
S00143296,55.94322649,-3.186329753,92,40,-,-,-,2,2,-,1,4,4,5,18,21
S00143297,55.94630508,-3.182949182,78,48,-,-,-,-,-,-,1,9,2,2,12,9
S00143298,55.94575072,-3.184533507,229,124,-,-,-,-,-,-,-,10,6,13,35,41
S00143299,55.94597179,-3.204363609,85,46,-,-,-,-,-,-,1,3,3,13,9,8
S00143300,55.94639151,-3.134594074,91,67,-,-,-,1,-,2,-,2,-,-,2,15
S00143301,55.94491549,-3.284038929,142,132,-,-,-,1,-,1,-,6,-,-,-,-
S00143302,55.94550719,-3.200410178,322,119,-,-,-,-,-,-,2,12,1,5,22,161
S00143303,55.94437546,-3.301249929,110,107,-,-,2,-,-,-,-,-,-,-,-,-
S00143304,55.94565909,-3.190311134,129,51,-,-,-,-,-,1,4,-,1,11,29,33
S00143305,55.9459811,-3.202490445,80,40,-,-,-,-,-,-,-,4,3,6,9,16
S00143306,55.94387396,-3.227547302,165,106,-,-,1,-,2,2,2,12,1,6,13,19
S00143307,55.94560851,-3.212998963,108,78,1,-,-,1,-,-,1,7,-,3,4,10
S00143308,55.94448573,-3.289052471,100,96,-,-,-,-,-,-,1,-,3,-,1,-
S00143309,55.94377212,-3.292839548,121,104,-,-,-,-,1,2,3,1,7,2,-,-
S00143310,55.94561903,-3.236345258,80,73,1,-,-,1,1,1,-,-,-,-,-,-
S00143311,55.9454889,-3.212370746,109,73,-,-,-,-,-,-,5,3,1,11,6,10
S00143312,55.94565232,-3.186355898,201,106,-,-,-,-,1,1,6,11,3,13,23,36
S00143313,55.94616601,-3.142465561,93,64,-,-,-,-,1,-,-,4,3,10,7,2
S00143314,55.94596592,-3.211376871,79,41,-,-,-,1,-,-,-,2,1,3,18,14
S00143315,55.9436369,-3.286014078,98,90,-,-,-,1,-,-,3,3,-,1,-,-
S00143316,55.94524273,-3.235340509,110,73,-,-,-,1,5,2,-,12,10,4,2,-
S00143317,55.9453583,-3.101915413,115,108,-,-,-,-,2,-,1,2,-,-,3,-
S00143318,55.9455297,-3.228208161,85,60,-,-,1,2,-,2,5,-,-,6,6,5
S00143319,55.94611743,-3.139950192,79,52,-,1,1,1,-,-,1,3,5,4,5,4
S00143320,55.94653135,-3.089234867,80,74,-,-,-,-,-,2,3,1,1,-,-,-
S00143321,55.94545315,-3.101357687,191,168,-,1,1,-,2,2,-,6,-,4,-,7
S00143322,55.94497293,-3.210929551,117,71,-,-,-,-,-,1,3,8,2,1,6,23
S00143323,55.94566159,-3.21034258,88,57,-,-,1,4,-,-,2,3,1,3,4,13
S00143324,55.94449908,-3.116509612,193,175,-,-,3,3,2,-,4,5,-,2,-,-
S00143325,55.94408809,-3.290128064,93,85,-,-,-,-,2,3,-,3,-,1,-,-
S00143326,55.94547608,-3.104816931,105,95,-,-,-,-,-,1,-,3,1,1,2,-
S00143327,55.94648404,-3.092548105,88,84,-,1,1,-,-,-,-,-,-,-,-,2
S00143328,55.94492472,-3.246394724,68,56,-,-,-,1,-,1,-,4,-,-,-,5
S00143329,55.94568471,-3.196941004,101,91,-,-,-,-,-,-,-,2,4,1,3,1
S00143330,55.94553181,-3.13914839,73,56,-,-,-,-,-,-,-,4,2,-,1,2
S00143331,55.94452063,-3.219433736,119,70,-,-,-,-,-,2,2,5,2,8,20,10
S00143332,55.94518258,-3.234169706,136,78,-,-,-,-,-,-,1,16,5,5,19,16
S00143333,55.94579908,-3.185111426,126,46,-,-,-,-,-,1,-,2,2,3,41,28
S00143334,55.94423713,-3.287907366,80,58,-,1,-,-,1,-,1,1,4,8,2,4
S00143335,55.94513062,-3.201247165,117,72,-,-,-,-,2,1,-,6,-,2,15,19
S00143336,55.94451362,-3.244396039,111,104,-,-,-,-,-,-,-,1,-,-,4,2
S00143337,55.94561473,-3.205041052,121,73,-,-,-,-,-,-,-,9,2,7,18,12
S00143338,55.94488485,-3.232494982,108,81,-,-,-,-,-,1,8,1,4,1,6,7
S00143339,55.9454101,-3.203913842,143,100,-,-,-,-,-,-,1,2,10,5,8,18
S00143340,55.94585405,-3.121656499,112,99,-,-,-,2,2,4,-,2,-,1,-,-
S00143341,55.94543622,-3.205836117,111,65,-,-,-,-,-,3,2,11,6,7,8,12
S00143342,55.94579685,-3.126938865,170,161,-,-,2,2,1,-,2,-,-,-,-,2
S00143343,55.9443856,-3.226698853,115,109,-,-,1,2,-,-,-,4,-,2,-,2
S00143344,55.94370615,-3.299962554,116,104,-,1,-,3,-,-,1,4,-,-,4,-
S00143345,55.94523849,-3.183605178,125,64,-,-,-,2,1,-,3,4,1,4,21,27
S00143346,55.94528787,-3.181268919,407,162,-,-,-,-,-,-,1,6,-,3,25,204
S00143347,55.9443696,-3.278640851,133,123,-,-,1,1,-,2,3,2,2,1,-,-
S00143348,55.94470376,-3.118709108,126,116,-,-,-,2,3,1,2,2,-,-,-,-
S00143349,55.9445674,-3.181439123,113,81,-,-,-,-,1,1,1,8,-,6,9,6
S00143350,55.94525578,-3.209577348,104,61,-,-,-,2,-,1,2,6,4,8,17,8
S00143351,55.94601957,-3.098299421,78,76,-,-,-,-,-,-,-,-,-,-,-,-
S00143352,55.94380967,-3.296107193,179,159,-,-,-,1,-,5,-,4,1,-,1,5
S00143353,55.94569732,-3.132892494,89,84,-,-,-,1,1,-,-,-,-,-,-,-
S00143354,55.94510431,-3.216746039,76,48,-,-,-,-,3,-,1,3,2,2,11,9
S00143355,55.94580943,-3.141190094,87,61,-,-,1,4,-,3,-,7,2,5,8,-
S00143356,55.9442548,-3.273241066,108,92,-,-,-,1,3,2,1,4,-,-,3,-
S00143357,55.94562366,-3.139903658,95,78,-,-,-,1,-,5,2,5,-,1,1,4
S00143358,55.94495091,-3.224971415,89,80,-,-,1,-,-,-,3,2,2,1,-,-
S00143359,55.94544889,-3.124703083,99,89,-,-,-,3,4,-,-,-,1,-,-,-
S00143360,55.94470337,-3.229975339,81,67,-,-,1,-,3,-,1,4,1,2,1,3
S00143361,55.94640997,-3.082618355,183,168,-,-,-,4,-,-,2,5,1,1,2,-
S00143362,55.94454206,-3.237111531,67,64,-,-,-,-,-,-,2,1,-,2,-,-
S00143363,55.9448122,-3.236159424,69,61,-,-,2,1,-,-,-,-,-,-,4,-
S00143364,55.94572143,-3.107513954,101,77,-,1,-,-,-,-,2,14,2,-,1,4
S00143365,55.94497289,-3.120734359,129,115,-,-,2,2,-,2,1,3,-,3,-,-
S00143366,55.94399926,-3.304535748,119,110,-,-,-,2,-,-,-,3,-,-,-,3
S00143367,55.94432409,-3.233758112,125,74,-,-,-,-,1,4,1,9,4,8,18,10
S00143368,55.94499197,-3.203484554,388,203,-,-,-,-,-,-,5,19,6,10,28,110
S00143369,55.9445918,-3.235736092,128,107,-,-,-,-,-,-,3,5,2,2,9,4
S00143370,55.94479982,-3.217553099,114,84,-,-,-,-,-,-,3,4,4,1,7,7
S00143371,55.94457745,-3.247856666,81,68,-,-,-,1,-,-,-,3,2,5,-,4
S00143372,55.94450763,-3.228880326,77,65,-,-,-,-,1,-,-,1,1,3,1,1
S00143373,55.94451149,-3.250816749,143,129,-,-,-,2,-,-,-,3,5,1,1,2
S00143374,55.94387816,-3.284420901,138,120,-,-,-,-,-,1,-,5,-,2,6,6
S00143375,55.94512921,-3.195851057,117,104,-,-,-,-,1,-,1,7,-,2,1,1
S00143376,55.94478446,-3.2136457,118,72,-,-,-,-,-,2,2,4,2,5,7,26
S00143377,55.94313485,-3.308093254,143,131,-,1,-,1,4,-,-,5,1,-,-,-
S00143378,55.94451525,-3.216343279,68,51,-,-,-,-,-,-,1,-,1,1,6,5
S00143379,55.94418672,-3.252711682,84,71,-,-,-,-,-,-,-,1,7,1,2,-
S00143380,55.94362899,-3.309791143,111,84,-,-,-,-,-,-,5,6,1,6,7,3
S00143381,55.94402562,-3.192902928,78,20,-,-,-,3,1,-,-,3,4,3,18,24
S00143382,55.9444829,-3.234948041,79,60,-,-,-,-,-,-,-,6,-,2,7,4
S00143383,55.94432053,-3.231420275,74,49,-,-,-,1,-,-,-,4,-,-,6,14
S00143384,55.94455276,-3.219819031,75,41,-,-,-,-,1,1,3,7,4,2,3,11
S00143385,55.94416733,-3.211528861,165,94,-,-,-,-,-,-,5,4,3,4,12,44
S00143386,55.94381729,-3.276445057,108,99,-,-,-,2,-,1,2,1,-,-,8,-
S00143387,55.94493005,-3.140091431,99,93,-,-,-,-,-,1,1,1,-,-,-,-
S00143388,55.9442458,-3.214509494,118,60,-,-,-,-,2,-,2,6,1,7,9,34
S00143389,55.94342248,-3.311465391,89,75,-,-,1,-,1,-,-,-,2,-,4,3
S00143390,55.94428037,-3.221011348,103,65,-,-,-,-,-,-,-,2,1,4,13,17
S00143391,55.94473084,-3.184070046,112,67,-,-,2,1,3,-,3,2,-,2,22,10
S00143392,55.94453751,-3.212260955,428,187,-,-,-,-,-,2,3,17,6,10,27,177
S00143393,55.94502786,-3.107702307,108,104,-,-,-,-,-,-,1,2,-,1,1,-
S00143394,55.94481951,-3.127695052,122,108,-,-,-,2,2,2,4,2,-,4,-,2
S00143395,55.94473116,-3.182164644,78,36,-,-,-,-,-,-,1,2,2,6,18,8
S00143396,55.9441969,-3.216733591,128,86,-,-,-,2,-,1,2,6,4,8,9,10
S00143397,55.94425377,-3.246100967,156,138,-,-,-,1,1,-,4,2,1,6,4,3
S00143398,55.94484483,-3.105071154,161,139,-,1,-,-,-,2,-,7,1,2,2,4
S00143399,55.94437667,-3.204842478,128,77,-,-,-,-,-,-,2,7,2,5,10,23
S00143400,55.94531075,-3.095157028,114,104,1,-,-,-,-,-,-,2,-,1,4,1
S00143401,55.94376677,-3.221155299,98,66,-,-,-,-,-,-,5,7,2,2,14,4
S00143402,55.94377849,-3.19707433,122,75,-,-,1,2,-,1,4,14,2,8,9,6
S00143403,55.94454948,-3.201869644,178,122,-,-,1,2,1,-,6,15,10,6,11,6
S00143404,55.94473878,-3.195342653,101,74,-,-,-,-,1,1,4,12,3,3,2,-
S00143405,55.94371687,-3.199714323,123,70,-,-,-,2,2,4,1,5,3,9,6,26
S00143406,55.94331223,-3.315064268,74,60,-,-,-,-,2,1,-,3,-,1,6,-
S00143407,55.94449523,-3.20924941,101,68,-,-,-,2,-,-,4,3,3,4,11,10
S00143408,55.94445481,-3.137067274,130,112,-,-,2,2,1,2,1,4,-,-,-,4
S00143409,55.9433193,-3.304256699,107,98,-,-,-,-,1,-,1,3,1,-,1,1
S00143410,55.94432013,-3.208779612,92,56,-,1,-,2,3,-,3,6,2,3,-,15
S00143411,55.94426012,-3.222147545,128,48,-,-,-,-,2,-,-,7,8,15,36,7
S00143412,55.94461566,-3.210710245,61,45,-,-,-,2,-,2,-,5,1,-,4,2
S00143413,55.94375041,-3.256732521,96,82,-,-,-,-,-,1,1,1,1,2,3,3
S00143414,55.94459825,-3.180095071,110,63,-,-,-,-,-,4,4,4,5,2,8,20
S00143415,55.94406211,-3.223085996,74,29,-,-,-,-,-,-,1,2,3,4,18,20
S00143416,55.94407745,-3.201438718,110,53,-,-,-,2,-,-,1,12,7,7,14,16
S00143417,55.94422423,-3.130880057,145,133,-,-,-,1,1,3,2,-,2,3,1,-
S00143418,55.94379171,-3.233981355,139,78,-,-,1,-,-,1,-,9,4,7,22,19
S00143419,55.94386662,-3.235472818,96,67,-,-,-,-,-,-,1,2,1,6,12,6
S00143420,55.94396229,-3.21501299,115,84,-,-,-,-,-,1,-,14,2,2,9,6
S00143421,55.94411539,-3.18453161,107,57,-,-,-,-,-,-,2,7,2,8,8,24
S00143422,55.943966,-3.183246125,136,70,-,-,-,1,-,1,-,2,3,8,24,29
S00143423,55.94256439,-3.316095663,81,75,-,-,-,-,-,-,-,3,-,-,2,-
S00143424,55.94362212,-3.231173946,139,84,-,-,-,4,1,1,3,4,6,11,13,13
S00143425,55.94397736,-3.217126997,144,93,-,-,-,-,1,-,2,6,4,5,16,21
S00143426,55.94309309,-3.280424081,89,79,-,-,-,2,2,2,2,-,1,4,-,3
S00143427,55.94431357,-3.144556564,95,77,-,-,-,-,1,3,-,4,6,2,-,-
S00143428,55.94391408,-3.212609741,82,56,-,-,1,2,-,-,4,6,2,2,3,5
S00143429,55.94397065,-3.21142665,164,111,-,-,-,-,-,-,2,4,6,7,17,17
S00143430,55.94274937,-3.253561898,73,61,-,-,-,-,-,-,-,-,1,3,2,6
S00143431,55.9425403,-3.252914699,94,76,-,-,-,-,-,-,3,6,-,2,7,4
S00143432,55.94363436,-3.223632913,128,73,-,-,-,1,-,-,2,6,5,13,12,15
S00143433,55.94404122,-3.179149456,115,73,-,-,-,-,6,2,1,5,2,3,11,9
S00143434,55.94346658,-3.251071267,101,89,-,-,-,-,-,2,-,5,2,2,-,1
S00143435,55.94304207,-3.254820239,82,62,-,-,-,-,-,-,-,2,2,2,5,6
S00143436,55.94447461,-3.143664662,107,95,-,-,1,-,1,-,3,5,-,4,2,-
S00143437,55.94236035,-3.297211578,151,130,-,-,-,2,2,-,-,-,2,-,6,1
S00143438,55.94392461,-3.219735234,217,75,-,-,-,-,-,-,2,2,5,12,20,97
S00143439,55.94377522,-3.210283729,121,72,-,1,3,-,2,-,1,3,7,3,7,26
S00143440,55.93925965,-3.138211802,175,147,-,-,1,-,2,2,4,5,2,-,6,4
S00143441,55.94403741,-3.181422983,94,45,-,-,-,-,1,1,-,3,6,4,11,20
S00143442,55.94229732,-3.30657598,99,93,-,-,-,1,-,2,2,1,1,-,-,-
S00143443,55.94360749,-3.238907043,71,62,-,1,-,1,3,1,-,2,1,-,-,-
S00143444,55.94394755,-3.202779668,67,35,-,-,-,-,-,-,1,1,11,5,11,9
S00143445,55.93919541,-3.227255202,81,47,-,-,-,-,-,-,1,2,-,4,9,18
S00143446,55.94401663,-3.222235945,68,44,-,-,-,-,-,-,1,5,1,4,6,8
S00143447,55.94350549,-3.207553374,632,299,-,-,-,-,2,-,4,21,11,6,38,250
S00143448,55.94375271,-3.213485331,64,44,-,-,-,-,-,-,-,5,-,-,5,9
S00143449,55.94413309,-3.121190444,101,95,-,-,-,-,1,-,2,4,-,-,-,-
S00143450,55.94387641,-3.093771587,130,125,-,-,1,2,-,-,-,-,-,-,1,-
S00143451,55.94249729,-3.313963892,104,79,-,-,-,1,1,-,5,6,1,5,3,8
S00143452,55.94358191,-3.200654824,165,116,-,-,-,-,3,-,2,8,4,4,22,7
S00143453,55.94346545,-3.202460506,153,102,-,-,-,-,3,-,1,10,4,4,16,10
S00143454,55.94383423,-3.21797112,73,44,-,-,-,-,-,-,4,5,1,1,17,3
S00143455,55.94263291,-3.304585873,132,123,-,-,-,-,2,-,-,2,2,1,-,-
S00143456,55.94264761,-3.260891726,128,113,-,-,-,1,-,-,1,1,-,7,-,3
S00143457,55.94323148,-3.224388751,114,73,-,-,-,-,1,1,-,8,4,9,14,3
S00143458,55.94382909,-3.191856137,71,23,-,-,-,-,-,-,1,1,4,5,15,17
S00143459,55.94339214,-3.184989867,114,63,-,-,-,2,-,-,1,5,4,7,12,21
S00143460,55.93884375,-3.094878447,147,122,-,-,1,-,2,2,-,7,1,-,5,7
S00143461,55.94253719,-3.31021861,111,108,-,-,-,-,-,-,-,-,-,-,3,-
S00143462,55.94267938,-3.277864641,159,140,-,-,-,2,-,1,1,6,2,3,1,-
S00143463,55.94405317,-3.177900916,69,43,-,-,-,-,-,-,-,4,1,1,8,10
S00143464,55.94361884,-3.217035692,65,45,-,-,-,-,-,-,-,2,4,5,6,5
S00143465,55.942569,-3.288460417,137,106,-,-,-,1,1,-,4,8,1,6,4,4
S00143466,55.94250826,-3.248990945,112,97,-,-,1,2,2,-,2,-,-,5,-,3
S00143467,55.94383166,-3.094763027,60,50,-,-,-,1,-,1,-,1,2,-,1,1
S00143468,55.94273757,-3.283502521,113,97,-,-,-,1,-,2,1,-,2,1,2,7
S00143469,55.94311478,-3.212568747,127,74,-,-,-,-,-,1,2,2,6,9,16,13
S00143470,55.9435571,-3.216009022,83,55,-,-,-,-,-,-,3,9,2,8,2,7
S00143471,55.94341406,-3.21866243,162,109,-,-,-,-,1,-,1,6,6,7,23,10
S00143472,55.94341495,-3.222200978,104,63,-,-,-,1,-,-,1,4,4,5,18,10
S00143473,55.94342854,-3.213555249,111,61,-,-,-,1,-,-,4,2,3,16,7,12
S00143474,55.94334595,-3.210990848,66,29,-,-,-,1,1,-,-,6,-,1,5,23
S00143475,55.94329543,-3.180087465,117,74,-,-,-,-,-,-,2,10,2,3,14,12
S00143476,55.9429435,-3.20438168,94,71,-,-,-,-,-,1,-,3,2,1,12,4
S00143477,55.94381104,-3.19649892,101,75,-,-,-,-,-,1,4,9,3,2,1,8
S00143478,55.94323155,-3.225285388,121,72,-,-,-,-,1,-,2,13,1,3,16,10
S00143479,55.94324251,-3.216927818,76,49,-,-,-,-,-,-,2,4,2,3,10,6
S00143480,55.94379965,-3.092296384,95,90,-,-,-,-,-,-,1,5,-,-,-,1
S00143481,55.94349974,-3.201709033,62,39,-,-,-,-,-,-,1,2,1,5,10,4
S00143482,55.94120238,-3.252823463,135,119,-,-,-,-,-,3,3,2,-,-,2,4
S00143483,55.94359065,-3.182097868,105,74,-,1,2,-,-,-,2,1,2,2,11,11
S00143484,55.9407499,-3.216385341,1286,792,-,-,-,-,-,-,2,39,17,14,36,387
S00143485,55.94228732,-3.249512196,89,82,-,-,1,1,-,1,-,-,-,2,-,-
S00143486,55.94217566,-3.097085873,168,108,-,-,-,1,4,4,3,3,-,4,2,36
S00143487,55.94315787,-3.217309435,90,49,-,-,-,2,1,2,1,7,3,2,8,16
S00143488,55.94220932,-3.256298338,133,117,-,-,2,-,-,2,-,3,3,-,5,3
S00143489,55.94182648,-3.300972307,105,89,-,-,-,-,-,-,3,3,3,3,4,-
S00143490,55.94347411,-3.192325573,144,61,-,-,-,-,1,-,1,10,1,7,35,28
S00143491,55.94311808,-3.211319972,125,82,-,-,-,1,-,-,3,3,4,13,16,7
