Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00135383",153,95,-,-,-,-,-,2,3,23,7,5,10,9
"S00135384",61,55,-,-,-,-,1,-,1,1,-,1,-,-
"S00135385",90,80,-,-,-,-,-,-,-,1,4,-,6,-
"S00135386",113,108,-,2,-,-,-,2,-,1,2,-,-,-
"S00135387",171,162,-,-,-,2,-,1,-,3,3,-,-,-
"S00135388",200,162,-,-,-,-,-,1,3,11,7,3,4,5
"S00135389",132,120,-,-,-,-,-,-,1,5,3,-,1,-
"S00135390",85,84,-,-,1,1,-,2,-,1,-,-,-,-
"S00135391",203,175,-,-,-,1,-,1,1,10,4,3,5,4
"S00135392",70,63,-,-,-,-,-,-,-,3,-,-,-,-
"S00135393",207,180,-,-,-,-,-,-,-,16,1,4,5,1
"S00135394",152,136,-,1,-,-,-,-,-,6,3,-,2,-
"S00135395",79,67,-,-,-,1,2,-,1,2,-,1,5,-
"S00135396",133,127,-,-,-,2,-,1,-,-,-,-,-,3
"S00135397",121,105,-,-,-,-,-,1,-,1,7,1,-,-
"S00135398",129,101,-,-,-,5,-,12,5,9,3,4,-,-
"S00135399",243,207,-,-,-,-,1,-,4,12,6,3,3,5
"S00135400",162,152,-,-,1,1,1,1,-,3,1,-,2,-
"S00135401",99,90,-,2,-,2,-,-,-,6,1,-,1,-
"S00135402",80,75,-,-,-,-,-,1,3,2,1,-,-,-
"S00135403",131,114,-,-,-,-,1,-,-,9,4,3,-,-
"S00135404",86,74,-,-,-,-,-,-,-,6,1,-,1,5
"S00135405",188,166,-,-,1,2,4,2,-,10,-,-,2,-
"S00135406",172,150,-,-,1,1,4,2,3,3,4,-,-,-
"S00135407",153,135,-,-,-,-,3,4,2,3,-,5,-,1
