Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00139182",120,119,-,-,-,-,1,-,-,-,2,-,-,-
"S00139183",67,62,-,-,-,-,-,1,-,1,-,-,-,1
"S00139184",87,81,-,-,-,1,1,-,-,1,-,-,-,-
"S00139185",114,102,-,-,-,-,1,-,2,4,1,2,1,-
"S00139186",95,93,-,-,-,-,1,-,-,1,-,-,-,-
"S00139187",107,100,-,-,-,3,-,-,1,-,-,2,-,-
"S00139188",75,75,-,-,-,-,-,-,1,1,-,-,-,-
"S00139189",71,67,-,-,-,1,-,-,-,3,-,-,-,-
"S00139190",111,111,-,-,-,1,1,-,-,1,-,-,-,-
"S00139191",153,150,-,-,-,-,1,-,-,2,-,-,-,-
"S00139192",112,106,-,1,-,-,1,-,-,-,-,-,-,2
"S00139193",146,144,1,-,-,-,-,-,-,2,-,-,-,-
"S00139194",166,153,-,1,-,-,2,-,1,3,2,-,2,-
"S00139195",192,179,-,-,-,3,1,1,4,2,-,1,3,-
"S00139196",93,91,-,-,-,-,1,-,-,1,-,-,-,-
"S00139197",174,167,-,1,2,-,-,2,1,2,-,1,-,-
"S00139198",211,194,-,-,2,1,4,-,3,-,1,1,2,2
"S00139199",161,153,-,-,-,1,-,-,-,3,-,-,-,-
"S00139200",97,91,-,-,-,2,-,1,-,-,3,-,-,-
"S00139201",175,166,-,-,-,-,-,-,-,3,5,-,-,-
"S00139202",97,95,-,-,-,-,-,-,-,2,-,-,-,-
"S00139203",89,82,-,-,-,-,1,-,-,4,1,-,-,-
"S00139204",139,124,-,-,1,-,3,1,1,4,-,-,-,4
"S00139205",103,98,-,-,-,-,1,-,-,1,1,-,-,-
"S00139206",105,100,-,-,-,-,-,2,-,-,1,-,1,1
"S00139207",191,184,-,-,-,2,2,-,-,1,1,-,-,1
"S00139208",60,54,-,-,-,1,-,-,-,1,-,2,-,-
"S00139209",107,105,-,-,-,1,-,-,-,-,-,-,-,-
"S00139210",101,94,-,-,-,1,-,2,1,1,-,-,1,-
"S00139211",163,157,-,-,-,-,2,-,-,1,-,-,-,-
"S00139212",175,164,-,-,-,5,-,1,1,1,-,1,2,-
"S00139213",99,98,-,-,-,-,-,1,3,-,-,-,1,-
"S00139214",71,63,-,-,-,-,-,-,-,7,-,1,-,-
"S00139215",167,152,-,-,-,-,-,-,3,7,-,3,-,1
"S00139216",105,95,-,1,1,-,-,-,-,4,1,-,-,-
"S00139217",83,79,-,-,1,-,1,3,-,1,-,-,-,-
"S00139218",73,69,-,-,-,-,2,-,1,5,-,-,-,-
"S00139219",133,120,-,-,-,-,-,-,-,1,5,3,4,-
"S00139220",108,100,-,-,-,1,-,-,-,4,-,4,-,-
"S00139221",100,91,-,-,-,-,1,-,2,-,-,-,7,-
"S00139222",114,103,-,-,-,-,-,-,1,6,-,3,-,-
"S00139223",107,98,-,-,-,2,1,-,-,2,-,1,-,-
"S00139224",154,147,-,-,-,-,-,1,3,3,-,-,-,-
"S00139225",97,94,-,-,-,-,-,-,-,3,-,-,-,-
"S00139226",139,126,-,-,-,1,2,-,3,7,-,-,-,-
"S00139227",115,107,-,2,-,-,2,2,1,2,-,-,2,-
"S00139228",145,136,-,-,-,-,2,-,-,4,-,-,-,3
"S00139229",89,82,-,-,-,-,-,-,-,3,-,-,5,1
"S00139230",73,65,-,-,-,2,-,-,-,2,1,-,-,-
"S00139231",159,150,-,-,-,1,-,1,-,1,2,-,3,1
"S00139232",125,116,-,-,1,1,-,1,1,2,-,-,1,-
"S00139233",75,73,-,-,-,-,1,-,2,-,-,-,-,-
"S00139234",77,74,-,-,-,2,-,-,-,-,1,-,-,1
"S00139235",106,92,-,-,-,-,2,-,3,2,-,5,1,3
"S00139236",117,103,-,-,-,-,2,1,-,7,4,-,-,-
"S00139237",142,134,-,-,-,1,-,-,1,2,3,2,2,-
"S00139238",61,57,-,-,-,-,-,-,-,-,3,1,-,-
"S00139239",76,69,-,-,-,1,2,-,-,3,-,3,-,1
"S00139240",140,135,-,-,-,-,-,-,-,3,-,2,-,1
"S00139241",83,76,-,-,-,-,-,2,-,3,1,-,2,-
"S00139242",72,66,-,-,-,-,1,-,-,1,3,2,-,-
"S00139243",88,83,-,-,-,-,-,-,-,-,-,-,2,-
"S00139244",60,58,-,-,-,-,2,1,-,-,-,-,-,-
"S00139245",111,99,-,-,-,-,4,1,3,1,-,-,-,2
"S00139246",177,175,-,-,-,2,-,-,-,-,-,-,-,-
"S00139247",63,58,-,-,-,-,-,-,-,-,2,-,-,4
"S00139248",119,113,-,2,-,-,-,-,-,-,-,1,-,-
"S00139249",136,133,-,-,2,-,-,1,-,1,-,-,-,-
"S00139250",93,84,-,-,1,-,-,-,-,6,-,1,3,-
"S00139251",96,92,-,-,-,-,-,-,-,-,2,-,-,-
"S00139252",96,94,-,-,-,1,-,-,-,-,-,-,1,-
"S00139253",112,111,-,-,-,1,-,-,-,-,-,-,2,-
"S00139254",68,66,-,-,-,-,1,-,1,-,-,-,-,-
"S00139255",134,126,-,-,-,-,2,-,-,4,-,-,1,-
"S00139256",111,107,-,-,-,-,4,-,-,1,-,-,2,-
"S00139257",83,75,-,-,-,1,-,1,-,3,-,-,1,2
"S00139258",170,161,-,-,-,2,1,-,1,-,2,1,-,1
"S00139259",146,136,-,-,-,-,2,4,-,2,3,-,-,-
"S00139260",136,125,-,-,-,-,-,-,-,7,2,-,2,-
"S00139261",97,94,-,-,-,-,-,-,2,-,-,1,-,-
"S00139262",147,129,-,-,-,-,2,2,-,6,2,4,4,-
"S00139263",159,150,-,-,-,-,1,-,-,3,-,-,-,4
"S00139264",142,131,-,-,-,-,-,-,2,5,-,-,5,-
"S00139265",89,85,-,-,-,1,3,-,-,-,-,-,-,-
"S00139266",72,65,-,-,-,-,1,-,1,-,1,-,-,-
"S00139267",92,88,-,-,-,-,-,3,1,-,-,1,-,-
"S00139268",219,204,-,-,-,1,-,-,1,3,-,1,7,2
"S00139269",105,92,-,1,-,-,-,-,-,4,2,3,-,-
"S00139270",114,106,-,1,1,-,-,2,3,2,-,-,-,-
"S00139271",204,198,-,-,-,-,-,1,2,1,-,-,-,1
"S00139272",125,115,1,-,-,-,1,2,2,3,-,-,-,1
"S00139273",230,213,-,-,-,1,-,2,-,6,3,2,-,1
"S00139274",92,80,-,-,-,-,2,-,-,2,2,-,1,3
"S00139275",129,126,-,-,1,1,-,-,-,5,-,-,-,-
"S00139276",143,127,-,-,2,1,3,1,3,4,1,2,-,-
"S00139277",135,124,-,-,-,1,4,1,2,-,2,1,2,-
"S00139278",129,114,-,-,-,1,1,1,-,4,1,1,-,1
"S00139279",170,161,-,-,-,-,2,2,1,-,2,-,-,-
"S00139280",157,142,-,-,-,-,2,-,-,2,-,2,4,1
"S00139281",101,94,-,-,-,-,-,-,1,3,-,-,3,-
"S00139282",96,83,-,-,-,-,-,1,2,7,1,-,-,-
"S00139283",110,98,-,-,-,1,-,2,1,3,-,2,-,4
"S00139284",216,199,-,-,-,2,2,-,2,4,3,-,5,-
"S00139285",150,142,-,-,-,-,-,1,-,2,-,2,2,1
"S00139286",157,146,-,-,-,-,-,-,-,3,-,6,2,3
"S00139287",187,176,-,-,-,2,-,-,-,-,-,-,4,2
"S00139288",110,109,-,-,-,-,-,1,-,-,-,-,-,-
"S00139289",91,86,-,-,-,-,-,-,-,3,1,1,-,-
"S00139290",100,99,-,-,-,1,3,-,-,-,-,-,-,-
"S00139291",136,123,-,-,-,1,-,-,3,5,-,4,-,-
"S00139292",75,69,-,-,1,-,-,-,-,2,2,-,-,-
"S00139293",196,187,-,1,-,-,2,-,1,1,3,4,-,-
"S00139294",192,175,-,-,-,-,-,1,-,5,1,1,1,4
"S00139295",77,71,-,-,-,2,1,-,-,1,-,1,-,-
"S00139296",130,119,-,-,-,1,-,-,-,5,-,5,-,-
"S00139297",107,99,-,-,-,-,-,1,-,4,3,4,-,-
"S00139298",102,98,-,-,-,-,-,2,-,2,-,-,-,-
"S00139299",101,93,-,-,-,-,-,1,-,3,2,3,2,-
"S00139300",128,117,-,-,-,-,-,-,1,10,-,-,-,2
"S00139301",117,111,-,-,-,-,-,1,-,2,-,3,-,-
"S00139302",61,60,-,-,-,-,-,-,-,-,-,-,1,-
"S00139303",93,88,-,-,-,2,-,-,-,2,-,-,2,-
"S00139304",95,90,-,-,1,-,-,-,-,2,-,-,1,-
"S00139305",189,187,-,-,-,-,1,-,-,3,-,-,-,-
"S00139306",105,102,-,-,-,-,-,1,-,1,-,-,-,-
"S00139307",117,114,-,-,1,-,-,-,-,1,-,-,-,-
"S00139308",121,109,-,-,-,-,1,1,2,6,-,-,-,3
"S00139309",106,99,-,-,-,-,-,-,-,3,-,-,-,-
"S00139310",123,114,-,-,-,-,1,2,-,8,-,-,-,-
"S00139311",114,106,-,-,-,1,-,-,-,4,-,-,3,-
"S00139312",106,104,-,-,-,1,1,-,-,-,-,-,-,-
"S00139313",61,58,-,-,-,2,-,1,1,-,-,-,-,-
"S00139314",113,107,-,-,1,3,-,-,1,-,1,-,-,-
"S00139315",100,92,-,-,1,-,2,1,-,-,-,-,3,-
"S00139316",91,85,-,-,-,1,-,-,-,4,-,1,-,-
"S00139317",80,76,-,-,-,-,-,-,2,1,-,-,-,-
"S00139318",143,137,-,-,-,-,-,-,4,1,-,-,1,-
"S00139319",123,123,-,-,-,-,-,-,-,-,-,-,-,-
"S00139320",187,180,-,-,1,-,1,-,2,2,-,-,1,-
"S00139321",230,222,-,1,-,-,-,-,4,5,-,-,-,-
"S00139322",169,165,-,-,-,1,-,-,-,1,-,-,1,-
"S00139323",162,159,-,-,-,1,-,-,-,1,-,-,-,-
"S00139324",124,118,-,-,-,2,2,1,-,1,-,-,1,-
"S00139325",153,143,-,-,-,2,1,2,-,2,2,4,-,-
"S00139326",153,148,-,-,-,-,-,-,-,-,3,5,-,-
"S00139327",110,104,-,2,1,-,2,-,-,1,-,2,-,-
"S00139328",193,169,-,-,2,3,2,1,-,3,2,5,-,-
"S00139329",121,122,-,-,-,-,1,-,-,-,-,-,-,-
"S00139330",157,149,-,-,-,-,2,1,-,1,-,1,-,-
"S00139331",126,120,-,-,-,-,-,-,-,1,-,-,2,-
"S00139332",111,111,-,-,-,-,-,-,-,-,-,-,-,-
"S00139333",163,151,-,-,-,-,-,-,-,10,6,-,-,-
"S00139334",92,82,-,-,-,1,-,-,-,2,-,-,1,-
"S00139335",140,134,-,-,-,-,1,2,3,1,1,-,4,-
"S00139336",158,152,-,-,-,2,1,-,-,-,-,-,1,-
"S00139337",181,161,-,-,-,1,1,-,3,12,1,-,-,-
"S00139338",138,131,-,-,-,1,-,-,1,-,-,-,-,3
"S00139339",102,96,-,-,-,-,-,-,2,4,-,-,-,-
"S00139340",180,175,-,-,-,-,1,-,-,3,-,-,1,-
"S00139341",145,128,-,-,-,3,-,1,2,3,-,4,-,6
"S00139342",141,141,-,-,-,-,-,-,-,4,-,-,-,-
"S00139343",111,107,-,-,-,-,-,-,2,-,1,-,-,-
"S00139344",93,90,-,-,1,-,1,1,-,-,-,-,-,-
"S00139345",148,122,-,-,-,1,1,-,1,7,5,1,3,4
"S00139346",148,138,-,-,-,-,1,-,2,2,-,-,5,-
"S00139347",104,104,-,-,-,-,2,-,-,1,1,-,-,-
"S00139348",88,88,-,-,-,-,-,-,-,-,-,-,-,-
"S00139349",83,79,-,-,-,2,-,-,-,-,1,1,3,-
"S00139350",76,75,1,-,-,-,-,-,-,-,-,-,-,-
"S00139351",116,110,-,-,-,-,1,1,-,1,-,-,2,-
"S00139352",105,93,-,-,-,-,-,2,-,5,-,1,-,-
"S00139353",88,86,-,-,-,2,-,-,-,-,-,-,1,-
"S00139354",145,129,-,-,-,4,-,1,-,2,1,3,2,-
"S00139355",186,177,-,-,-,3,2,-,2,2,-,-,-,2
"S00139356",110,100,-,-,1,-,-,3,1,1,-,-,-,4
"S00139357",151,135,-,-,-,-,1,-,-,6,1,4,-,1
"S00139358",87,83,-,-,-,-,-,-,-,-,-,-,2,-
"S00139359",128,121,-,-,1,1,1,1,-,3,-,-,-,-
"S00139360",142,125,1,-,-,3,-,-,-,4,1,-,3,2
"S00139361",100,91,-,-,-,1,4,1,-,3,-,-,1,-
"S00139362",137,124,-,-,-,-,-,2,-,3,-,-,-,3
"S00139363",174,170,-,-,-,1,1,-,-,1,-,-,-,-
"S00139364",161,152,-,-,-,4,-,2,-,3,2,-,-,1
"S00139365",115,111,-,-,-,-,-,2,-,3,1,2,-,-
"S00139366",173,162,-,-,-,-,1,-,2,4,-,-,-,-
"S00139367",90,85,-,-,2,-,1,1,-,4,1,-,-,-
"S00139368",121,114,-,-,4,2,1,-,2,-,-,1,-,-
"S00139369",129,119,-,-,-,-,1,-,3,1,-,-,-,-
"S00139370",122,112,-,-,-,2,-,-,1,1,-,-,4,-
"S00139371",145,128,-,-,-,1,-,-,1,11,-,1,2,6
"S00139372",91,90,-,-,-,-,-,-,-,1,-,-,-,-
"S00139373",212,207,-,-,1,1,1,-,-,-,-,-,-,-
"S00139374",160,146,-,-,1,1,1,-,-,9,-,-,-,2
"S00139375",193,183,-,-,-,2,1,-,1,2,3,-,1,-
"S00139376",127,114,-,-,-,-,1,-,4,8,4,-,1,1
"S00139377",125,123,-,-,-,-,-,-,-,2,-,-,-,-
"S00139378",147,142,-,-,-,-,1,1,-,-,-,2,-,-
"S00139379",128,127,-,-,-,-,-,1,-,-,-,-,-,-
"S00139380",83,78,-,-,1,-,-,-,-,2,-,-,2,-
"S00139381",89,85,-,-,-,4,-,1,-,1,-,-,-,-
"S00139382",62,60,-,-,-,-,-,-,-,-,-,-,1,-
"S00139383",100,97,-,-,1,-,-,-,-,-,1,-,1,-
"S00139384",180,164,-,-,3,-,1,1,3,5,2,2,-,-
"S00139385",65,61,-,-,-,-,-,-,-,-,1,-,-,-
"S00139386",78,73,-,-,-,-,-,2,4,1,1,-,-,-
"S00139387",66,65,-,-,-,-,-,-,1,-,-,-,-,-
"S00139388",86,87,-,-,-,-,-,1,-,-,-,1,-,-
"S00139389",114,111,-,-,-,-,-,-,2,-,-,-,-,-
"S00139390",148,144,-,-,-,-,-,1,3,-,1,-,-,-
"S00139391",122,117,-,-,1,-,1,3,-,-,-,-,-,-
"S00139392",127,123,-,1,-,-,-,-,-,2,1,-,-,-
"S00139393",120,112,-,1,-,3,4,-,-,-,-,-,1,-
"S00139394",71,67,-,-,-,2,1,-,-,-,-,-,1,-
"S00139395",71,70,-,-,-,-,2,-,-,-,-,-,-,-
"S00139396",115,113,-,-,-,-,-,1,1,-,-,-,-,-
"S00139397",89,82,-,-,1,-,-,1,-,1,-,-,-,-
"S00139398",79,73,1,-,-,-,-,1,-,-,1,-,-,-
"S00139399",150,146,-,-,-,-,2,-,1,-,-,-,-,-
"S00139400",96,93,-,-,1,-,-,-,2,-,-,-,-,-
"S00139401",176,167,-,-,2,-,3,-,-,-,-,-,3,-
"S00139402",96,93,-,-,-,-,-,-,1,-,-,-,2,-
"S00139403",79,70,-,-,1,-,2,-,-,3,4,-,-,-
"S00139404",105,102,-,-,-,-,2,1,-,2,-,-,-,-
"S00139405",145,135,2,1,1,-,-,1,2,-,-,-,-,-
"S00139406",161,148,-,-,3,2,-,-,2,4,-,1,-,-
"S00139407",63,60,-,-,-,-,-,-,-,-,-,3,-,4
"S00139408",170,164,-,-,-,-,-,-,1,2,1,-,1,-
"S00139409",64,57,-,-,-,-,-,-,1,1,2,-,1,-
"S00139410",89,85,-,-,-,1,1,-,1,2,-,-,-,-
"S00139411",105,102,-,-,-,1,-,-,-,1,-,-,-,-
"S00139412",71,65,-,-,1,1,1,-,-,-,-,1,-,1
"S00139413",171,169,-,-,-,-,-,-,1,1,-,-,-,-
"S00139414",117,105,-,3,-,-,1,-,3,-,-,-,-,6
"S00139415",130,126,-,1,-,-,-,-,-,1,-,3,-,-
"S00139416",154,145,-,-,-,-,1,3,-,-,-,-,-,5
"S00139417",96,93,-,-,-,-,-,1,-,-,-,-,-,-
"S00139418",153,141,-,-,-,1,-,2,-,4,3,3,-,-
"S00139419",82,80,-,-,-,1,-,-,2,-,-,-,-,-
"S00139420",145,136,-,-,-,1,-,-,-,5,-,-,-,-
"S00139421",154,152,-,-,-,-,-,-,-,-,1,-,-,-
"S00139422",109,105,-,-,-,-,-,-,-,3,-,1,-,1
"S00139423",111,103,-,-,-,2,-,-,2,-,-,-,4,-
"S00139424",104,98,-,-,-,-,1,4,1,1,1,-,-,-
"S00139425",76,73,-,-,-,-,3,1,-,-,-,-,-,-
"S00139426",63,57,-,-,2,-,1,-,-,2,-,-,1,-
"S00139427",64,62,-,-,-,2,-,-,-,-,-,-,-,-
"S00139428",183,175,-,-,1,2,-,-,-,2,-,-,4,-
"S00139429",175,171,-,-,-,4,1,-,-,2,1,-,-,-
"S00139430",165,157,-,-,-,-,3,-,-,-,-,1,3,-
"S00139431",82,78,-,-,-,-,-,-,-,-,-,-,-,-
"S00139432",115,114,-,-,-,-,-,-,-,3,-,-,1,-
"S00139433",127,122,-,1,-,-,1,-,-,2,-,-,-,1
"S00139434",119,116,-,-,-,-,-,-,-,2,-,1,-,-
"S00139435",78,77,-,-,-,-,-,-,-,-,-,-,-,-
"S00139436",101,98,-,-,-,1,-,-,-,-,2,-,-,-
"S00139437",73,76,-,-,-,1,-,-,-,-,-,-,-,-
"S00139438",74,71,-,-,-,-,-,-,-,2,-,2,-,-
"S00139439",153,142,-,-,-,1,1,-,-,6,-,1,-,-
"S00139440",86,82,-,-,1,-,-,-,-,-,-,-,-,-
"S00139441",80,79,-,-,-,1,-,-,-,-,-,-,-,-
"S00139442",85,80,-,-,-,-,2,-,-,2,1,-,2,-
"S00139443",76,71,-,-,-,-,-,-,-,3,2,-,-,-
"S00139444",129,122,-,-,-,-,2,-,1,-,-,3,-,-
"S00139445",107,104,-,1,-,-,1,1,-,-,-,-,-,-
"S00139446",93,91,-,-,-,-,1,-,4,-,2,-,-,-
"S00139447",74,74,-,-,-,-,-,-,-,-,-,-,-,-
"S00139448",142,134,-,-,-,-,4,2,-,3,-,-,-,-
"S00139449",84,82,-,-,-,-,-,-,-,1,1,-,-,-
"S00139450",144,141,-,-,-,-,-,1,-,1,-,-,-,-
"S00139451",140,137,-,-,-,-,2,-,1,-,-,-,-,-
"S00139452",114,104,-,-,-,-,-,-,-,5,4,-,-,1
"S00139453",94,86,-,-,-,-,1,-,1,-,-,-,-,-
"S00139454",135,133,-,-,-,-,-,1,-,4,-,-,-,-
"S00139455",98,93,-,-,-,1,-,-,-,-,4,-,-,-
"S00139456",142,128,-,1,-,-,-,-,1,5,5,2,-,-
"S00139457",121,118,-,-,-,-,-,-,2,-,-,-,-,-
"S00139458",108,104,-,-,-,-,-,-,2,-,-,-,-,-
"S00139459",92,73,-,-,-,-,-,-,-,12,6,-,-,-
"S00139460",134,131,-,-,-,1,-,-,-,2,-,-,-,-
"S00139461",117,105,-,-,-,1,-,2,-,1,-,4,-,1
"S00139462",101,85,-,1,-,2,-,-,-,13,-,-,-,-
"S00139463",96,91,-,-,-,1,-,-,-,1,1,-,2,1
"S00139464",121,114,-,-,-,-,1,1,-,1,-,-,-,-
"S00139465",120,107,1,-,-,-,1,-,3,1,-,3,1,3
"S00139466",104,94,-,-,-,-,-,-,-,4,-,-,3,-
"S00139467",171,161,-,-,1,-,3,-,-,2,-,3,1,-
"S00139468",91,88,-,-,-,-,-,-,-,-,-,1,-,-
"S00139469",188,181,-,-,-,-,2,-,4,-,-,2,1,-
"S00139470",153,131,-,-,2,-,-,1,-,8,5,5,-,-
"S00139471",145,136,-,-,-,-,-,-,2,1,2,4,1,1
"S00139472",121,116,-,-,-,-,-,-,-,5,-,-,-,-
"S00139473",103,99,-,-,-,1,-,-,-,2,-,-,-,-
"S00139474",152,150,-,-,-,-,-,-,1,-,-,-,1,-
"S00139475",115,101,-,1,-,-,3,-,-,4,6,1,1,2
"S00139476",133,117,-,-,-,2,-,-,-,1,9,4,-,-
"S00139477",100,93,-,-,-,1,-,1,-,-,-,1,2,-
"S00139478",84,78,-,-,-,-,-,-,-,3,-,-,3,-
"S00139479",106,100,-,-,-,-,-,4,-,5,-,-,-,-
"S00139480",79,80,-,-,-,-,-,-,-,1,1,-,-,-
"S00139481",78,76,-,-,-,-,-,1,-,-,-,1,-,-
"S00139482",110,105,-,-,-,-,2,-,-,1,-,-,2,-
"S00139483",169,157,-,-,-,-,-,-,1,8,1,-,2,-
"S00139484",103,91,-,-,-,1,1,-,-,4,5,-,2,1
"S00139485",139,140,-,-,-,-,-,-,-,1,-,1,1,-
"S00139486",143,140,-,-,-,1,2,-,-,1,-,-,-,-
"S00139487",81,63,-,-,-,-,-,1,-,2,9,5,1,-
"S00139488",85,85,-,-,-,-,-,-,-,-,-,-,-,-
"S00139489",107,96,-,-,-,2,1,-,-,9,-,-,-,-
"S00139490",104,93,-,-,-,-,1,-,-,1,2,3,3,-
"S00139491",161,151,-,-,-,1,-,1,-,2,6,-,-,-
"S00139492",84,79,-,-,-,-,2,-,-,4,-,-,-,-
"S00139493",108,103,-,-,-,2,-,-,-,7,-,3,1,-
"S00139494",98,92,-,-,-,1,-,1,-,2,1,-,1,-
"S00139495",61,55,-,-,-,-,-,1,-,2,2,1,1,-
"S00139496",70,62,-,-,-,-,-,-,1,5,-,2,1,-
"S00139497",97,92,-,-,-,-,-,-,-,1,2,-,-,-
"S00139498",89,82,-,-,-,-,-,-,2,3,-,-,3,-
"S00139499",103,90,-,-,-,-,-,1,-,-,2,4,2,-
"S00139500",163,159,-,-,-,-,-,1,1,1,-,2,-,-
"S00139501",151,142,-,-,-,-,-,-,-,-,-,-,6,-
"S00139502",97,95,-,-,-,-,-,-,-,-,1,2,-,-
"S00139503",64,52,-,-,-,-,-,-,-,6,2,4,-,-
"S00139504",141,138,-,-,-,1,-,-,1,1,-,-,-,-
"S00139505",87,77,-,-,-,-,-,-,1,3,-,4,-,-
"S00139506",76,64,-,-,-,-,-,-,-,2,5,1,3,-
"S00139507",117,112,-,-,-,3,-,-,-,3,1,-,-,-
"S00139508",231,218,-,-,-,-,2,1,2,2,2,2,-,-
"S00139509",151,104,-,-,-,-,1,2,-,18,12,-,6,4
"S00139510",128,122,-,3,1,-,1,-,1,-,-,-,-,-
"S00139511",164,154,-,-,-,-,-,2,2,3,-,-,-,-
"S00139512",166,128,-,-,2,-,-,3,4,28,3,-,-,-
"S00139513",91,84,-,-,-,-,-,-,-,4,-,-,-,1
"S00139514",150,137,-,-,-,-,1,1,2,7,-,1,1,-
"S00139515",91,73,-,-,-,1,-,-,-,17,3,-,1,-
"S00139516",88,85,-,-,1,-,-,-,-,1,-,-,1,-
"S00139517",117,115,-,-,-,-,-,-,3,-,-,-,-,-
"S00139518",114,109,-,-,-,-,-,-,-,3,1,-,-,2
"S00139519",63,61,-,-,1,-,-,-,-,-,-,-,-,-
"S00139520",92,85,-,-,-,2,-,-,-,3,3,-,1,-
"S00139521",133,132,-,1,-,-,-,-,1,-,-,-,1,-
"S00139522",131,125,-,-,2,3,-,-,-,3,-,-,-,-
"S00139523",98,85,-,-,-,-,2,-,1,8,-,-,-,-
"S00139524",85,79,-,-,-,-,1,-,-,-,-,-,2,-
"S00139525",125,121,-,-,-,-,1,-,1,2,-,-,-,-
"S00139526",88,82,-,-,-,-,1,-,1,4,-,-,-,-
"S00139527",160,147,-,-,-,-,-,2,-,4,5,1,-,2
"S00139528",176,167,-,-,-,-,-,-,-,4,2,1,1,-
"S00139529",154,149,-,-,-,-,-,1,1,-,-,-,2,-
"S00139530",68,68,-,-,-,-,-,-,-,-,-,-,-,-
"S00139531",196,188,-,-,-,1,2,1,1,-,-,-,-,4
"S00139532",167,159,-,-,-,-,1,-,2,2,-,-,-,3
"S00139533",110,95,-,-,-,-,-,-,-,12,6,-,-,-
"S00139534",78,73,-,2,-,-,-,-,-,-,-,-,1,-
"S00139535",213,206,-,-,-,2,1,-,2,3,-,-,-,-
"S00139536",102,96,-,-,-,-,-,-,1,-,-,-,-,3
"S00139537",179,165,-,-,-,-,-,3,-,3,-,6,-,-
"S00139538",102,96,-,-,-,-,1,-,-,-,-,4,-,2
"S00139539",153,149,-,-,1,-,1,-,-,2,-,-,-,-
"S00139540",110,88,-,-,1,1,-,5,1,6,-,1,4,-
"S00139541",106,103,-,-,-,2,-,-,-,1,-,-,-,-
"S00139542",91,82,-,-,-,-,-,-,-,7,-,-,-,-
"S00139543",130,125,-,-,-,-,-,1,2,1,-,-,-,-
"S00139544",146,138,-,-,-,-,-,-,-,1,-,2,3,1
"S00139545",86,85,-,-,-,-,-,-,-,-,-,-,-,-
"S00139546",90,89,-,-,-,-,-,1,-,-,-,-,-,-
"S00139547",148,143,-,-,-,1,-,-,1,-,-,-,-,-
"S00139548",93,89,-,-,-,1,-,1,-,-,-,-,-,-
"S00139549",120,115,-,-,-,2,-,-,-,3,-,-,-,-
"S00139550",86,83,-,-,-,-,2,-,1,-,-,-,-,-
"S00139551",179,174,-,-,-,1,-,-,-,2,-,-,-,-
"S00139552",81,79,-,-,-,-,-,-,-,-,-,-,-,-
"S00139553",88,87,-,-,-,2,-,1,-,-,-,-,-,-
"S00139554",94,95,-,-,-,-,-,-,-,3,-,-,-,-
"S00139555",121,118,-,-,-,-,-,-,4,-,-,-,-,-
"S00139556",178,170,1,-,1,2,-,2,-,-,-,-,-,2
"S00139557",153,151,-,-,-,2,1,-,-,2,-,-,-,2
"S00139558",107,99,-,-,-,1,-,-,-,3,1,2,-,-
"S00139559",76,74,-,-,-,-,2,-,1,-,-,-,3,-
"S00139560",61,61,-,-,-,-,-,-,2,-,-,-,-,-
"S00139561",69,62,-,-,-,-,-,1,1,1,3,1,-,-
"S00139562",76,64,-,-,-,-,-,-,1,7,-,3,2,-
"S00139563",64,59,-,-,1,-,-,-,-,-,-,2,1,-
"S00139564",106,98,-,-,2,-,2,-,-,4,-,2,-,-
"S00139565",87,81,-,-,-,-,-,-,-,2,1,-,-,-
"S00139566",88,79,-,-,-,-,-,-,-,11,-,-,-,-
"S00139567",86,81,-,-,-,-,-,-,2,1,-,-,-,-
"S00139568",80,74,-,-,-,2,-,-,-,-,-,-,1,-
"S00139569",78,73,-,-,2,-,-,-,-,2,-,1,-,-
"S00139570",102,96,-,-,-,1,-,2,-,4,1,1,-,-
"S00139571",141,138,-,-,1,2,1,1,-,1,2,-,-,-
"S00139572",72,62,-,-,-,1,-,-,-,-,-,3,3,-
"S00139573",82,78,-,-,-,-,-,-,1,3,-,-,-,-
"S00139574",93,84,-,-,-,-,1,1,-,1,3,-,-,8
"S00139575",73,66,-,-,-,-,2,-,1,3,-,-,-,-
"S00139576",170,162,-,2,-,1,-,-,-,4,2,-,-,-
"S00139577",87,81,-,-,2,-,-,-,2,-,-,4,-,-
"S00139578",106,101,-,-,-,1,-,-,-,-,-,-,-,-
"S00139579",71,66,-,-,-,-,1,-,2,1,-,2,-,-
"S00139580",107,101,-,1,1,-,-,-,-,-,-,1,-,2
"S00139581",78,72,-,-,-,-,1,-,2,2,-,-,-,1
"S00139582",86,86,-,-,-,-,-,-,-,-,-,-,-,-
"S00139583",73,73,-,-,-,-,-,-,-,-,-,-,-,-
"S00139584",124,112,-,-,1,-,-,-,-,6,-,1,4,-
"S00139585",117,102,-,1,1,-,-,1,-,-,-,5,1,2
"S00139586",62,58,-,-,-,-,1,-,-,1,-,2,2,-
