Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00148549",83,77,-,-,-,3
"S00148550",91,72,-,-,-,19
"S00148551",130,106,-,-,-,24
"S00148552",156,154,-,-,-,2
"S00148553",89,84,-,-,-,5
"S00148554",119,99,-,-,-,22
"S00148555",66,56,-,-,-,10
"S00148556",61,43,-,-,-,18
"S00148557",101,96,-,-,-,5
"S00148558",91,85,-,-,-,6
"S00148559",111,92,-,-,-,19
"S00148560",539,391,-,-,-,147
"S00148561",104,101,-,-,-,3
"S00148562",101,93,1,1,-,6
"S00148563",83,80,-,-,-,1
"S00148564",312,288,-,-,-,24
"S00148565",164,139,-,1,-,24
"S00148566",132,123,2,-,-,7
"S00148567",74,63,-,-,-,11
"S00148568",103,100,-,-,-,3
"S00148569",501,437,-,1,-,63
"S00148570",120,91,-,-,-,29
"S00148571",92,86,-,-,-,6
"S00148572",98,97,-,-,-,1
"S00148573",73,73,-,-,-,-
"S00148574",153,143,-,-,-,10
"S00148575",86,81,2,-,-,3
"S00148576",73,63,-,-,-,12
"S00148577",127,107,-,-,-,20
"S00148578",144,118,-,-,-,25
"S00148579",134,131,-,-,-,3
"S00148580",117,116,-,-,-,1
"S00148581",86,80,-,-,-,6
"S00148582",142,120,-,-,-,22
"S00148583",103,99,-,-,-,4
"S00148584",71,69,-,-,-,-
"S00148585",115,111,-,-,-,3
"S00148586",117,103,-,-,-,14
"S00148587",97,89,1,-,-,9
"S00148588",156,144,-,-,-,15
"S00148589",114,109,-,-,-,5
"S00148590",155,149,-,-,-,7
"S00148591",206,191,1,-,-,14
"S00148592",117,101,-,-,-,16
"S00148593",73,69,-,-,-,4
"S00148594",616,534,-,1,-,81
"S00148595",103,94,-,-,-,9
"S00148596",77,74,-,-,-,2
"S00148597",104,98,-,-,-,8
"S00148598",77,67,-,-,-,9
"S00148599",92,91,-,-,-,-
"S00148600",69,65,-,-,-,2
"S00148601",86,71,-,-,-,11
"S00148602",112,92,-,-,-,20
"S00148603",120,108,-,-,-,10
"S00148604",71,64,-,-,-,6
"S00148605",81,80,-,-,-,2
"S00148606",102,89,-,-,-,16
"S00148607",123,115,1,-,-,7
"S00148608",90,79,-,-,-,11
"S00148609",69,61,-,-,-,5
"S00148610",90,87,-,-,-,5
"S00148611",91,89,-,-,-,2
"S00148612",88,87,-,-,-,1
"S00148613",151,128,-,-,-,23
"S00148614",347,317,-,-,-,30
"S00148615",96,75,-,-,-,17
"S00148616",126,109,-,-,-,21
"S00148617",73,71,-,-,-,2
"S00148618",100,79,-,-,-,21
"S00148619",93,89,-,-,-,4
"S00148620",132,131,-,-,-,4
"S00148621",70,65,-,-,-,3
"S00148622",99,85,-,-,-,11
"S00148623",104,98,1,-,-,5
"S00148624",148,132,-,-,-,16
"S00148625",109,105,-,-,-,7
"S00148626",119,116,-,-,-,9
"S00148627",93,82,-,-,-,7
"S00148628",66,64,-,-,-,-
"S00148629",110,101,-,-,-,12
"S00148630",172,165,1,-,-,6
"S00148631",134,126,1,-,-,7
"S00148632",60,54,-,-,-,6
"S00148633",100,90,-,-,-,6
"S00148634",63,54,-,-,1,8
"S00148635",124,112,-,-,-,8
"S00148636",67,58,-,-,-,8
"S00148637",200,197,4,-,-,1
"S00148638",147,146,-,-,-,1
"S00148639",124,124,-,-,-,-
"S00148640",174,170,4,-,-,-
"S00148641",225,223,-,-,-,3
"S00148642",97,97,-,-,-,-
"S00148643",122,123,-,-,-,2
"S00148644",131,131,-,-,-,-
"S00148645",128,128,-,-,-,-
"S00148646",114,110,2,-,-,2
"S00148647",75,73,1,-,-,2
"S00148648",115,115,-,-,-,-
"S00148649",81,77,-,-,-,4
"S00148650",121,123,-,-,-,2
"S00148651",213,209,-,-,-,4
"S00148652",125,125,-,-,-,-
"S00148653",128,128,-,-,-,-
"S00148654",160,159,1,-,-,-
"S00148655",95,93,-,-,-,2
"S00148656",148,145,-,-,-,3
"S00148657",113,112,-,-,-,1
"S00148658",145,144,1,-,-,-
"S00148659",97,97,-,-,-,-
"S00148660",157,158,-,-,-,2
"S00148661",93,92,-,-,-,2
"S00148662",171,165,-,-,-,6
"S00148663",94,92,1,-,-,1
"S00148664",87,85,-,-,-,2
"S00148665",172,170,-,-,-,2
"S00148666",235,233,-,-,-,2
"S00148667",154,151,-,-,-,3
"S00148668",110,110,-,-,-,-
"S00148669",138,141,-,-,-,1
"S00148670",93,93,-,-,-,-
"S00148671",88,88,-,-,-,-
"S00148672",92,92,-,-,-,-
"S00148673",102,98,1,-,-,1
"S00148674",83,81,-,-,-,2
"S00148675",121,120,-,-,-,1
"S00148676",101,101,-,-,-,-
"S00148677",138,130,-,-,-,4
"S00148678",81,82,-,-,-,2
"S00148679",111,111,-,-,-,-
"S00148680",116,114,-,-,-,1
"S00148681",120,120,-,-,-,-
"S00148682",122,120,-,-,1,-
"S00148683",89,89,-,3,-,-
"S00148684",111,111,-,-,-,-
"S00148685",163,162,-,-,-,1
"S00148686",150,150,-,-,-,-
"S00148687",129,127,-,-,-,-
"S00148688",93,92,-,-,-,-
"S00148689",60,60,-,-,-,-
"S00148690",62,60,-,-,-,2
"S00148691",83,83,-,-,-,-
"S00148692",83,82,-,-,-,1
"S00148693",60,60,-,-,-,-
"S00148694",73,69,1,-,-,-
"S00148695",73,74,2,-,-,-
"S00148696",97,94,-,-,-,4
"S00148697",68,68,-,-,-,-
"S00148698",119,118,-,-,1,-
"S00148699",106,106,2,-,-,-
"S00148700",62,62,-,-,-,-
"S00148701",154,150,-,-,-,4
"S00148702",104,104,-,-,-,-
"S00148703",199,198,-,-,-,1
"S00148704",78,77,-,-,-,1
"S00148705",142,142,-,-,-,-
"S00148706",72,71,1,-,-,-
"S00148707",101,101,-,-,-,-
"S00148708",109,109,-,-,-,-
"S00148709",91,87,-,-,-,4
"S00148710",90,87,-,-,-,3
"S00148711",82,83,-,-,-,1
"S00148712",152,152,-,-,-,-
"S00148713",160,160,-,-,-,-
"S00148714",96,94,-,-,-,3
"S00148715",100,100,-,-,-,-
"S00148716",104,104,-,-,-,-
"S00148717",126,126,-,-,-,-
"S00148718",97,95,1,-,-,-
"S00148719",72,71,1,-,-,-
"S00148720",78,76,2,-,-,1
"S00148721",107,104,2,-,-,1
"S00148722",182,181,1,-,-,-
"S00148723",109,109,-,-,-,-
"S00148724",104,103,-,-,1,-
"S00148725",75,75,-,-,-,-
"S00148726",129,129,-,-,-,-
"S00148727",107,107,-,-,-,-
"S00148728",139,139,-,-,-,-
"S00148729",88,87,2,-,-,-
"S00148730",181,177,-,-,-,1
"S00148731",132,132,-,-,-,-
"S00148732",95,95,-,-,-,-
"S00148733",138,138,-,-,-,-
"S00148734",113,110,-,-,-,3
"S00148735",103,103,-,-,-,-
"S00148736",228,224,-,-,-,4
"S00148737",175,175,-,-,-,3
"S00148738",114,114,-,-,-,-
"S00148739",115,115,-,-,-,-
"S00148740",92,88,-,-,-,1
"S00148741",86,84,-,-,-,3
"S00148742",88,88,-,-,-,-
"S00148743",91,91,-,-,-,-
"S00148744",133,124,-,-,-,9
"S00148745",111,111,-,-,-,-
"S00148746",84,84,-,-,-,-
"S00148747",167,163,-,-,-,3
"S00148748",147,147,-,-,-,-
"S00148749",76,74,1,-,2,-
"S00148750",82,82,-,-,-,-
"S00148751",112,111,-,-,2,-
"S00148752",136,135,-,-,1,-
"S00148753",78,76,2,-,-,-
"S00148754",126,126,-,-,-,-
"S00148755",131,128,-,-,-,3
"S00148756",86,86,-,-,-,-
"S00148757",151,149,-,-,-,4
"S00148758",78,78,-,-,-,-
"S00148759",110,110,-,-,-,-
"S00148760",104,104,-,-,-,-
"S00148761",199,197,-,-,-,2
"S00148762",152,150,-,-,-,2
"S00148763",144,140,-,-,1,3
"S00148764",98,98,-,-,-,-
"S00148765",135,133,-,-,-,2
"S00148766",116,112,4,-,-,-
"S00148767",108,108,-,-,-,-
"S00148768",139,138,-,-,-,1
"S00148769",109,107,-,-,-,2
"S00148770",71,71,-,-,-,-
"S00148771",127,125,-,-,-,3
"S00148772",132,121,-,-,-,4
"S00148773",195,195,-,-,-,-
"S00148774",84,82,-,-,-,-
"S00148775",159,153,-,-,-,6
"S00148776",173,164,-,-,-,9
"S00148777",126,126,-,-,-,-
"S00148778",101,100,-,-,-,1
"S00148779",176,171,-,-,-,5
"S00148780",236,233,-,-,-,3
"S00148781",147,141,3,-,-,3
"S00148782",147,145,-,-,-,2
"S00148783",89,89,-,-,-,-
"S00148784",111,108,-,-,-,1
"S00148785",117,117,-,-,-,-
"S00148786",101,101,-,-,-,-
"S00148787",73,73,-,-,-,-
"S00148788",109,109,-,-,-,2
"S00148789",200,200,-,-,-,-
"S00148790",123,123,-,-,-,-
"S00148791",121,117,-,-,-,4
"S00148792",95,94,-,-,1,-
"S00148793",105,105,-,-,-,-
"S00148794",168,167,1,-,-,1
"S00148795",109,109,-,-,-,-
"S00148796",110,104,-,-,-,3
"S00148797",176,173,-,-,-,1
"S00148798",132,132,-,-,-,-
"S00148799",130,129,-,-,-,1
"S00148800",68,68,2,-,-,-
"S00148801",121,121,-,-,-,-
"S00148802",79,73,1,-,-,-
"S00148803",57,55,-,-,-,4
"S00148804",136,130,-,-,-,1
"S00148805",83,83,-,-,-,-
"S00148806",112,112,-,-,-,-
"S00148807",86,86,-,-,-,-
"S00148808",118,118,-,-,-,-
"S00148809",92,89,-,-,-,5
"S00148810",116,114,1,-,-,1
"S00148811",93,92,-,-,2,-
"S00148812",97,97,-,-,-,-
"S00148813",90,90,-,-,-,2
"S00148814",159,157,-,-,-,4
"S00148815",109,102,-,-,-,7
"S00148816",153,142,-,-,-,11
"S00148817",113,113,-,-,-,-
"S00148818",112,111,-,-,-,1
"S00148819",145,145,-,-,-,-
"S00148820",73,73,-,-,-,-
"S00148821",136,126,3,-,-,4
"S00148822",87,82,1,-,-,1
"S00148823",102,89,2,-,-,7
"S00148824",153,153,-,-,-,2
"S00148825",92,91,1,-,-,-
"S00148826",113,110,-,-,-,2
"S00148827",190,186,-,-,-,4
"S00148828",123,115,-,-,-,8
"S00148829",94,86,-,-,-,4
"S00148830",98,91,2,-,-,5
"S00148831",113,108,-,-,-,5
"S00148832",111,105,-,-,-,5
"S00148833",175,170,3,-,-,4
"S00148834",96,93,-,-,-,3
"S00148835",228,223,-,-,-,5
"S00148836",97,97,-,-,-,-
"S00148837",99,95,-,-,-,4
"S00148838",151,147,-,-,-,4
"S00148839",111,102,-,-,-,9
"S00148840",122,117,-,-,-,5
"S00148841",159,153,-,-,-,3
"S00148842",97,89,-,-,-,6
"S00148843",140,137,-,-,-,3
"S00148844",179,178,-,-,-,1
"S00148845",180,164,-,-,-,16
"S00148846",152,149,1,-,-,2
"S00148847",102,95,-,-,-,4
"S00148848",99,99,-,-,-,-
"S00148849",81,81,-,-,-,-
"S00148850",132,133,-,-,-,1
"S00148851",107,107,-,-,-,-
"S00148852",188,182,-,-,-,6
"S00148853",116,99,-,-,-,15
"S00148854",102,101,-,-,-,1
"S00148855",176,173,2,-,-,-
"S00148856",220,215,-,-,1,4
"S00148857",193,175,6,-,2,9
"S00148858",77,72,-,-,-,3
"S00148859",64,63,-,-,-,1
"S00148860",96,94,-,-,-,2
"S00148861",116,115,-,-,1,-
"S00148862",130,124,-,-,-,5
"S00148863",92,88,-,-,-,4
"S00148864",143,141,-,-,-,4
"S00148865",121,118,1,-,-,4
"S00148866",160,157,-,-,-,1
"S00148867",239,231,-,-,1,6
"S00148868",85,82,-,-,-,3
"S00148869",88,84,1,-,-,2
"S00148870",85,82,1,-,-,-
"S00148871",153,149,-,-,-,3
"S00148872",185,178,1,-,-,10
"S00148873",137,134,-,-,-,3
"S00148874",134,124,-,-,-,7
"S00148875",103,97,-,-,-,1
"S00148876",98,98,-,-,-,-
"S00148877",96,96,-,-,-,-
"S00148878",109,108,2,-,-,-
"S00148879",145,145,-,-,-,-
"S00148880",75,75,-,-,-,-
"S00148881",113,113,1,-,-,-
"S00148882",199,196,-,-,-,3
"S00148883",112,112,-,-,-,-
"S00148884",103,103,-,-,-,-
"S00148885",86,83,-,-,-,-
"S00148886",121,114,-,-,-,6
"S00148887",104,101,1,-,-,2
"S00148888",83,77,-,-,2,4
"S00148889",126,120,-,-,-,8
"S00148890",143,140,-,-,3,-
"S00148891",154,143,2,-,-,5
"S00148892",117,110,1,-,-,8
"S00148893",143,140,1,-,-,-
"S00148894",113,110,2,-,-,1
"S00148895",172,169,-,-,-,5
"S00148896",122,122,-,-,-,-
"S00148897",120,121,-,-,-,1
"S00148898",76,74,4,-,-,-
"S00148899",76,76,-,-,-,-
"S00148900",130,128,-,-,-,2
"S00148901",65,64,1,-,-,3
"S00148902",118,118,-,-,-,-
"S00148903",192,187,-,-,-,6
"S00148904",140,135,-,-,-,1
"S00148905",71,70,-,-,-,2
"S00148906",109,104,1,-,1,3
"S00148907",129,120,-,-,-,12
"S00148908",89,88,-,-,1,-
"S00148909",75,75,-,-,-,-
"S00148910",169,167,-,-,-,2
"S00148911",95,94,-,-,-,1
"S00148912",100,98,2,-,-,-
"S00148913",99,96,-,-,-,7
"S00148914",105,94,2,1,1,6
"S00148915",125,115,10,-,-,2
"S00148916",98,96,-,-,-,2
"S00148917",68,68,-,-,-,-
"S00148918",99,100,-,-,3,-
"S00148919",113,111,-,-,-,1
"S00148920",98,96,-,-,1,1
"S00148921",118,117,-,-,-,2
"S00148922",125,125,-,-,-,-
"S00148923",137,134,-,-,-,3
"S00148924",87,81,-,-,2,1
"S00148925",66,66,-,-,-,-
"S00148926",77,75,-,-,-,-
"S00148927",65,60,1,-,1,3
"S00148928",106,97,1,-,-,8
"S00148929",104,102,-,-,-,2
"S00148930",63,61,-,-,-,1
"S00148931",67,67,-,-,-,-
"S00148932",112,107,-,-,-,2
"S00148933",113,110,-,-,-,3
"S00148934",113,113,-,-,-,-
"S00148935",171,170,-,-,-,1
"S00148936",126,126,-,-,-,-
"S00148937",106,105,1,-,-,-
"S00148938",99,99,-,-,-,-
"S00148939",88,83,-,-,-,7
"S00148940",90,86,-,-,-,2
"S00148941",76,71,-,-,-,5
"S00148942",142,139,3,-,-,-
"S00148943",96,92,-,-,-,4
"S00148944",80,75,-,-,-,1
"S00148945",117,114,-,-,-,1
"S00148946",75,73,2,-,-,-
"S00148947",110,98,-,-,-,15
"S00148948",87,82,3,-,-,-
"S00148949",68,66,-,-,-,2
"S00148950",88,89,-,-,-,1
"S00148951",84,83,-,-,-,-
"S00148952",175,173,-,-,1,2
"S00148953",158,158,-,-,-,-
"S00148954",96,88,-,-,-,8
"S00148955",113,113,-,-,-,-
"S00148956",101,98,2,-,-,1
"S00148957",85,80,2,-,-,4
"S00148958",196,194,-,-,-,2
"S00148959",96,96,-,-,-,-
"S00148960",150,142,-,-,-,4
"S00148961",69,69,-,-,-,-
"S00148962",79,74,-,-,-,1
"S00148963",113,113,-,-,-,-
"S00148964",101,101,-,-,-,-
"S00148965",150,145,-,-,-,1
"S00148966",107,103,1,-,-,3
"S00148967",142,141,-,-,-,2
"S00148968",155,156,1,-,-,1
"S00148969",79,79,-,-,-,-
"S00148970",90,91,1,-,-,-
"S00148971",104,102,-,-,-,2
"S00148972",88,87,-,-,-,1
"S00148973",93,87,-,-,-,6
"S00148974",88,86,-,-,-,-
"S00148975",108,104,-,-,-,1
"S00148976",140,135,-,-,-,8
"S00148977",112,112,-,-,-,-
"S00148978",117,114,-,-,-,3
"S00148979",64,64,2,-,-,2
"S00148980",86,83,1,-,-,2
"S00148981",63,63,-,-,-,-
"S00148982",130,133,-,-,-,1
"S00148983",153,152,-,-,-,-
"S00148984",64,64,-,-,-,-
"S00148985",119,114,-,-,-,5
"S00148986",102,102,-,-,-,-
"S00148987",98,93,1,-,-,4
"S00148988",160,158,-,-,-,2
"S00148989",83,83,-,-,-,-
"S00148990",126,125,-,-,-,-
"S00148991",152,149,-,-,-,3
"S00148992",162,162,-,-,-,-
"S00148993",70,67,-,-,1,2
"S00148994",97,97,-,-,-,-
"S00148995",151,152,4,-,-,1
"S00148996",109,104,-,-,3,-
"S00148997",167,167,-,-,-,-
"S00148998",78,72,4,-,-,2
"S00148999",100,100,-,-,-,-
"S00149000",142,138,-,-,-,-
"S00149001",133,132,1,-,-,-
"S00149002",94,90,-,-,-,4
"S00149003",81,72,1,-,-,5
"S00149004",173,175,1,-,-,-
"S00149005",93,93,-,-,-,-
"S00149006",198,198,-,-,-,-
"S00149007",156,154,-,-,-,-
"S00149008",133,126,2,-,-,1
"S00149009",169,167,-,-,-,2
"S00149010",83,85,-,-,-,1
"S00149011",76,76,-,-,-,-
"S00149012",115,114,1,-,-,-
"S00149013",131,130,-,-,-,-
"S00149014",142,140,4,-,-,-
"S00149015",137,136,-,-,-,-
"S00149016",88,88,-,-,-,-
"S00149017",104,104,-,-,-,-
"S00149018",92,82,-,-,-,10
"S00149019",180,173,-,-,1,3
"S00149020",88,87,-,-,-,2
"S00149021",133,130,2,-,-,-
"S00149022",93,92,1,-,-,-
"S00149023",97,95,-,-,-,4
"S00149024",77,77,-,-,-,-
"S00149025",75,75,-,-,-,-
"S00149026",164,162,-,-,-,4
"S00149027",108,108,-,-,-,-
"S00149028",93,91,-,-,-,2
"S00149029",167,165,-,-,-,2
"S00149030",93,93,-,-,-,-
"S00149031",76,76,-,-,-,-
"S00149032",83,83,-,-,-,-
"S00149033",100,96,-,-,-,4
"S00149034",148,143,-,-,-,4
"S00149035",96,96,-,-,-,-
"S00149036",67,66,-,-,-,1
"S00149037",81,81,-,-,-,-
"S00149038",106,102,-,-,-,4
"S00149039",122,121,-,-,1,-
"S00149040",169,164,-,-,-,6
"S00149041",98,98,-,-,-,-
"S00149042",101,101,-,-,-,-
"S00149043",105,105,-,-,-,-
"S00149044",93,93,-,-,-,-
"S00149045",64,69,2,-,-,-
"S00149046",163,164,-,-,-,1
"S00149047",108,106,-,-,-,2
"S00149048",97,97,-,-,-,-
"S00149049",155,154,-,-,-,1
"S00149050",101,98,2,-,-,-
"S00149051",90,90,-,-,-,-
"S00149052",127,126,-,-,-,4
"S00149053",75,74,-,-,1,-
"S00149054",140,140,-,-,-,-
"S00149055",106,105,-,-,-,4
"S00149056",103,103,-,-,-,-
"S00149057",73,72,2,-,-,-
"S00149058",89,89,-,-,-,-
"S00149059",85,83,2,-,-,-
"S00149060",94,91,-,-,-,1
"S00149061",112,111,1,-,-,3
"S00149062",251,247,1,-,-,-
"S00149063",108,105,1,-,-,3
"S00149064",124,123,-,-,-,1
"S00149065",133,131,-,-,1,2
"S00149066",182,179,-,-,-,4
"S00149067",74,74,-,-,-,-
"S00149068",101,101,-,-,-,-
"S00149069",115,114,-,-,-,1
"S00149070",108,105,-,-,-,3
"S00149071",80,78,-,-,-,3
"S00149072",141,141,-,-,-,-
"S00149073",152,138,1,-,-,12
"S00149074",84,85,2,-,-,-
"S00149075",128,128,-,-,-,-
"S00149076",83,83,-,-,-,-
"S00149077",87,87,-,-,-,-
"S00149078",109,109,-,-,-,-
"S00149079",58,57,-,-,-,1
"S00149080",75,74,-,-,-,1
"S00149081",115,115,-,-,-,1
"S00149082",61,56,-,-,-,5
"S00149083",131,132,-,-,-,1
"S00149084",70,70,-,-,-,1
"S00149085",126,119,2,-,-,1
"S00149086",79,79,-,-,-,-
"S00149087",250,250,-,-,-,-
"S00149088",160,154,2,-,-,4
"S00149089",99,98,-,-,-,1
"S00149090",71,65,-,-,-,1
"S00149091",71,70,-,-,-,1
"S00149092",96,95,-,-,-,-
"S00149093",64,64,-,-,-,-
"S00149094",101,100,-,-,-,1
"S00149095",114,114,-,-,-,-
"S00149096",117,117,-,-,-,-
"S00149097",115,112,-,-,-,3
"S00149098",90,89,-,-,-,-
"S00149099",137,137,-,-,-,-
"S00149100",102,102,-,-,-,-
"S00149101",64,60,-,-,-,2
"S00149102",171,170,-,-,-,-
"S00149103",61,61,-,-,-,-
"S00149104",94,92,-,-,2,-
"S00149105",84,84,-,-,-,-
"S00149106",89,87,-,-,1,1
"S00149107",106,106,-,-,-,-
"S00149108",194,188,-,-,-,8
"S00149109",67,67,-,-,-,-
"S00149110",102,104,4,-,-,1
"S00149111",75,76,-,-,-,2
"S00149112",105,102,-,-,-,2
"S00149113",116,110,5,-,-,-
"S00149114",84,84,-,-,-,-
"S00149115",115,114,-,-,-,1
"S00149116",232,226,-,-,-,6
"S00149117",99,98,-,-,1,-
"S00149118",108,108,-,-,-,-
"S00149119",73,72,-,-,-,1
"S00149120",86,86,-,-,-,-
"S00149121",106,100,-,-,-,6
"S00149122",163,156,-,-,-,7
"S00149123",67,63,3,-,-,2
"S00149124",62,62,-,-,-,-
"S00149125",143,143,2,-,-,2
"S00149126",132,130,2,-,-,-
"S00149127",85,85,-,-,-,-
"S00149128",101,96,-,-,-,6
"S00149129",115,112,-,-,-,1
"S00149130",77,77,-,-,-,-
"S00149131",61,54,-,-,1,6
"S00149132",106,106,-,-,-,-
"S00149133",91,88,-,-,-,1
"S00149134",82,82,-,-,-,-
"S00149135",82,81,-,-,-,-
"S00149136",89,88,-,-,-,1
"S00149137",120,115,-,-,-,4
"S00149138",95,92,-,-,-,3
"S00149139",60,57,-,-,-,2
"S00149140",62,62,-,-,-,-
"S00149141",121,120,-,-,-,1
"S00149142",109,108,-,-,-,1
"S00149143",96,95,-,-,-,1
"S00149144",65,65,-,-,-,-
"S00149145",165,164,-,-,-,2
"S00149146",108,108,-,-,-,-
"S00149147",167,167,-,-,-,-
"S00149148",95,93,-,-,-,4
"S00149149",87,86,-,-,-,2
"S00149150",75,71,-,-,-,2
"S00149151",98,95,-,-,-,3
"S00149152",164,161,5,-,2,-
"S00149153",138,138,-,-,-,-
"S00149154",104,100,-,-,-,4
"S00149155",127,126,1,-,-,-
"S00149156",92,92,-,-,-,-
"S00149157",123,122,2,-,-,-
"S00149158",126,126,-,-,-,-
"S00149159",135,135,-,-,-,-
"S00149160",133,127,3,-,-,5
"S00149161",87,86,1,-,-,-
"S00149162",133,133,-,-,-,-
"S00149163",63,66,-,-,-,1
"S00149164",101,101,-,-,-,-
"S00149165",66,66,-,-,-,-
"S00149166",204,202,-,-,-,2
"S00149167",78,76,-,-,-,1
"S00149168",100,99,-,-,-,1
"S00149169",125,125,-,-,-,-
"S00149170",126,126,-,-,-,-
"S00149171",73,71,-,-,-,2
"S00149172",174,174,-,-,-,-
"S00149173",129,131,2,-,-,-
"S00149174",64,64,-,-,-,-
"S00149175",134,133,-,-,-,-
"S00149176",102,102,-,-,-,-
"S00149177",79,79,-,-,-,-
"S00149178",122,119,-,-,-,2
"S00149179",75,74,-,-,-,-
"S00149180",156,157,-,-,-,1
"S00149181",82,80,-,-,-,-
"S00149182",64,63,-,-,-,1
"S00149183",137,137,-,-,-,-
"S00149184",133,129,-,-,-,5
"S00149185",143,143,-,-,-,-
"S00149186",145,143,-,-,-,-
"S00149187",109,107,1,-,-,-
"S00149188",99,98,1,-,-,-
"S00149189",112,112,-,-,1,1
"S00149190",181,177,-,-,-,7
"S00149191",72,72,-,-,-,-
"S00149192",111,109,2,-,-,1
"S00149193",90,90,-,-,-,-
"S00149194",170,169,1,-,-,-
"S00149195",81,81,-,-,-,-
"S00149196",76,74,-,-,-,2
"S00149197",132,131,-,-,-,2
"S00149198",123,120,3,-,-,-
"S00149199",86,86,-,-,-,-
"S00149200",77,77,-,-,-,-
"S00149201",69,69,-,-,-,-
"S00149202",83,83,-,-,-,-
"S00149203",533,518,12,-,-,5
"S00149204",124,123,-,-,-,1
"S00149205",134,133,1,-,-,-
"S00149206",101,99,-,-,2,2
"S00149207",96,94,1,-,1,-
"S00149208",132,125,3,-,-,1
"S00149209",76,74,-,-,-,2
"S00149210",82,82,-,-,-,-
"S00149211",161,159,2,-,-,-
"S00149212",130,129,-,-,-,1
"S00149213",138,137,-,-,-,-
"S00149214",148,146,-,-,-,2
"S00149215",121,121,-,-,-,-
"S00149216",159,153,2,-,-,1
"S00149217",66,66,-,-,-,-
"S00149218",139,139,-,-,-,-
"S00149219",73,73,-,-,-,-
"S00149220",110,110,-,-,-,-
"S00149221",126,126,-,-,-,-
"S00149222",106,101,2,-,-,4
"S00149223",107,105,2,-,-,-
"S00149224",95,95,-,-,-,-
"S00149225",171,168,2,-,-,1
"S00149226",74,74,-,-,-,-
"S00149227",147,144,-,-,-,6
"S00149228",64,64,-,-,-,-
"S00149229",203,203,-,-,-,-
"S00149230",77,77,-,-,-,-
"S00149231",117,115,2,-,-,-
"S00149232",101,100,2,-,-,-
"S00149233",101,100,-,-,-,1
"S00149234",129,129,-,-,-,-
"S00149235",170,168,2,-,-,-
"S00149236",79,78,-,2,-,-
"S00149237",110,110,-,-,-,-
"S00149238",82,81,-,-,-,1
"S00149239",119,119,-,-,-,-
"S00149240",141,137,-,-,-,3
"S00149241",80,80,-,-,-,-
"S00149242",63,63,-,-,-,-
"S00149243",97,97,-,-,-,-
"S00149244",163,161,-,-,-,2
"S00149245",119,119,-,-,-,-
"S00149246",135,134,1,-,1,3
"S00149247",160,158,1,-,-,-
"S00149248",105,103,4,-,-,-
"S00149249",109,105,3,-,-,1
"S00149250",103,104,-,-,-,3
"S00149251",91,91,-,-,-,-
"S00149252",89,89,-,-,-,-
"S00149253",101,101,-,-,-,-
"S00149254",88,88,-,-,-,-
"S00149255",110,107,3,-,-,-
"S00149256",74,72,-,-,-,2
"S00149257",96,96,1,-,-,-
"S00149258",142,142,-,-,-,-
"S00149259",87,90,2,-,-,-
"S00149260",101,96,3,-,-,3
"S00149261",92,90,-,-,-,2
"S00149262",81,78,-,-,-,2
"S00149263",95,95,-,-,-,-
"S00149264",94,92,-,-,-,2
"S00149265",137,135,-,-,-,2
"S00149266",172,172,-,-,-,-
"S00149267",72,68,1,-,-,5
"S00149268",109,109,-,-,-,-
"S00149269",148,139,3,-,-,6
"S00149270",85,83,2,-,-,-
"S00149271",68,68,-,-,-,-
"S00149272",127,125,1,-,-,1
"S00149273",107,107,-,-,-,-
"S00149274",108,108,-,-,-,-
"S00149275",75,75,-,-,-,-
"S00149276",114,114,-,-,-,-
"S00149277",129,128,1,-,-,-
"S00149278",100,103,-,-,-,4
"S00149279",103,103,-,-,-,-
"S00149280",108,111,-,-,-,-
"S00149281",137,135,-,-,-,-
"S00149282",125,125,-,-,-,-
"S00149283",84,83,-,-,-,-
"S00149284",153,153,-,-,-,-
"S00149285",73,68,-,-,-,5
"S00149286",97,97,-,-,-,-
"S00149287",68,68,-,-,-,-
"S00149288",91,91,-,-,-,3
"S00149289",85,85,-,-,-,-
"S00149290",70,69,-,-,-,1
"S00149291",74,72,-,-,-,1
"S00149292",95,95,-,-,-,-
"S00149293",165,164,-,-,2,-
"S00149294",93,93,-,-,-,-
"S00149295",142,140,-,-,-,-
"S00149296",170,164,1,-,-,5
"S00149297",80,74,-,-,-,2
"S00149298",81,81,1,-,-,2
"S00149299",148,143,3,-,-,2
"S00149300",122,121,-,-,-,1
"S00149301",107,104,-,-,2,1
"S00149302",74,74,-,-,-,-
"S00149303",108,99,1,-,-,8
"S00149304",139,139,-,-,-,-
"S00149305",119,119,-,-,-,-
"S00149306",120,120,-,-,-,-
"S00149307",112,112,-,-,-,-
"S00149308",76,74,1,-,-,1
"S00149309",156,156,-,-,-,-
"S00149310",113,110,3,-,-,-
"S00149311",145,137,-,-,-,9
"S00149312",99,97,-,-,-,-
"S00149313",101,98,-,-,-,3
"S00149314",105,105,-,-,-,-
"S00149315",95,95,-,-,-,-
"S00149316",121,120,2,-,-,-
"S00149317",111,111,1,-,-,2
"S00149318",73,68,3,-,-,2
"S00149319",99,96,-,-,-,2
"S00149320",90,88,-,-,-,-
"S00149321",157,153,-,-,-,3
