OA_Code,Latitude,Longitude,All people in households,"Whole house or bungalow, Total","Whole house or bungalow, Detached","Whole house or bungalow, Semi-detached","Whole house or bungalow, Terraced (including end-terrace)","Flat, maisonette or apartment, Total","Flat, maisonette or apartment, Purpose-built block of flats or tenement","Flat, maisonette or apartment, Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment, In a commercial building",Caravan or other mobile or temporary structure
S00135346,57.20514946,-2.183546979,136,133,30,103,-,3,3,-,-,-
S00135347,57.20416366,-2.102885361,91,73,31,15,29,16,14,2,-,-
S00135348,57.20370717,-2.186949436,130,123,28,89,6,7,7,-,-,-
S00135349,57.20358791,-2.188603984,127,113,57,54,-,18,12,6,-,-
S00135350,57.20388358,-2.10482112,131,96,31,50,15,36,36,-,-,-
S00135351,57.20188564,-2.09834411,224,218,123,52,43,7,7,-,-,-
S00135352,57.20312674,-2.184612764,161,155,52,84,19,6,4,2,-,-
S00135353,57.20271854,-2.10149104,206,186,74,55,62,15,18,1,-,-
S00135354,57.20341173,-2.099622637,105,101,22,34,45,1,1,-,-,-
S00135355,57.2031507,-2.100283984,124,112,11,61,40,12,12,-,-,-
S00135356,57.20282959,-2.191082789,126,18,11,5,1,112,104,-,4,-
S00135357,57.20232941,-2.104965664,228,203,182,17,4,25,25,-,-,-
S00135358,57.20034385,-2.17711823,137,88,3,25,60,48,47,-,1,-
S00135359,57.20300334,-2.176733751,123,120,61,57,-,3,3,-,-,-
S00135360,57.2034295,-2.173905494,129,41,19,21,3,82,83,4,-,-
S00135361,57.20293795,-2.178504419,117,117,66,47,4,-,-,-,-,-
S00135362,57.2023108,-2.183582528,132,123,39,82,2,9,9,-,-,-
S00135363,57.20239715,-2.099007512,174,159,14,61,84,19,19,-,-,-
S00135364,57.20113892,-2.186357175,165,157,35,118,-,8,7,1,-,-
S00135365,57.20102183,-2.180431553,119,102,72,27,3,17,14,3,-,-
S00135366,57.18949571,-2.274980913,112,111,80,25,6,2,2,-,-,-
S00135367,57.20129824,-2.181856245,82,78,53,25,-,4,4,-,-,-
S00135368,57.20155088,-2.121547132,131,122,16,79,27,9,9,-,-,-
S00135369,57.20109633,-2.096819372,128,128,49,72,7,-,-,-,-,-
S00135370,57.20125016,-2.125882359,72,65,23,36,6,4,4,-,-,-
S00135371,57.20035336,-2.124389797,149,147,44,58,45,3,3,-,-,-
S00135372,57.20098527,-2.121214263,152,141,9,97,35,11,11,-,-,-
S00135373,57.20038465,-2.12897427,226,225,169,38,15,2,2,-,-,-
S00135374,57.20065339,-2.100343398,141,107,10,87,6,34,33,1,-,-
S00135375,57.1995019,-2.181681906,98,49,24,22,5,49,49,-,-,-
S00135376,57.19985567,-2.18547356,75,48,41,4,1,26,25,-,1,-
S00135377,57.2002608,-2.127103687,119,119,62,26,28,-,-,-,-,-
S00135378,57.2006026,-2.096387773,127,127,57,65,5,-,-,-,-,-
S00135379,57.19992386,-2.102708042,60,60,27,31,-,-,-,-,-,-
S00135380,57.20004768,-2.105041924,132,132,99,33,-,-,-,-,-,-
S00135381,57.20005842,-2.122866211,133,119,18,61,36,14,8,5,-,-
S00135382,57.20009183,-2.125415012,101,99,29,52,18,2,-,2,-,-
S00135383,57.19936983,-2.179827699,153,138,6,62,69,14,12,2,-,-
S00135384,57.19849027,-2.098119922,61,54,12,28,14,7,7,-,-,-
S00135385,57.19807339,-2.181840372,90,7,3,-,6,83,83,-,-,-
S00135386,57.19947642,-2.100604992,113,59,17,29,13,54,43,15,-,-
S00135387,57.19881829,-2.103515884,171,171,97,71,-,-,-,-,-,-
S00135388,57.19310185,-2.178341075,200,184,122,55,7,16,15,1,-,-
S00135389,57.19859498,-2.13097048,132,130,122,6,2,2,2,-,-,-
S00135390,57.19862073,-2.123291708,85,85,7,22,60,-,-,-,-,-
S00135391,57.19775695,-2.124728577,203,182,73,88,26,20,20,-,-,-
S00135392,57.19815982,-2.126086961,70,58,12,32,14,12,12,-,-,-
S00135393,57.19829765,-2.182056615,207,12,2,7,3,193,192,1,-,2
S00135394,57.19703995,-2.103179925,152,152,38,109,8,-,-,-,-,-
S00135395,57.19734625,-2.102105116,79,79,22,50,5,-,-,-,-,-
S00135396,57.19731061,-2.130783889,133,112,47,61,5,21,20,-,1,-
S00135397,57.1899883,-2.131932687,121,120,45,48,27,2,2,-,-,-
S00135398,57.1965936,-2.09972007,129,110,65,44,1,18,18,-,-,-
S00135399,57.19153523,-2.12119979,113,98,1,63,33,17,17,-,-,-
S00135400,57.17961507,-2.209538129,162,144,109,29,6,18,13,2,1,2
S00135401,57.1967276,-2.129937854,99,94,10,75,12,5,4,2,-,-
S00135402,57.19620493,-2.102697694,80,48,8,35,-,36,36,-,-,-
S00135403,57.19593605,-2.130944502,131,111,31,64,16,20,18,3,-,-
S00135404,57.19543162,-2.132266541,86,74,26,41,10,10,10,-,-,-
S00135405,57.19441126,-2.099068826,188,183,76,83,24,5,5,-,-,-
S00135406,57.1943644,-2.121672402,172,172,57,111,4,-,-,-,-,-
S00135407,57.1947352,-2.119075661,153,153,59,87,6,-,-,-,-,-
S00135408,57.19499626,-2.097663846,152,141,4,126,13,9,5,4,-,-
S00135409,57.19537391,-2.127268892,70,66,16,52,1,1,1,-,-,-
S00135410,57.19442937,-2.128572882,111,103,16,48,36,8,8,-,-,-
S00135411,57.19464343,-2.130062901,183,146,13,86,50,37,34,3,-,-
S00135412,57.1948369,-2.115998139,113,113,68,45,-,-,-,-,-,-
S00135413,57.19423875,-2.101368439,134,130,107,17,6,8,8,-,-,-
S00135414,57.19428455,-2.120646205,89,89,52,37,-,-,-,-,-,-
S00135415,57.19438685,-2.126223006,104,104,30,69,5,-,-,-,-,-
S00135416,57.19364423,-2.113743995,199,199,111,83,4,-,-,-,-,-
S00135417,57.19432681,-2.132179848,107,80,23,34,23,27,26,1,-,-
S00135418,57.19214253,-2.177029281,178,168,116,46,6,10,8,1,-,-
S00135419,57.19271604,-2.106890831,77,30,20,4,-,49,49,-,-,-
S00135420,57.1934796,-2.095773479,142,144,7,82,55,3,3,-,-,-
S00135421,57.19340529,-2.12860241,116,114,20,57,37,2,2,-,-,-
S00135422,57.19354601,-2.131498626,109,97,5,68,24,12,12,-,-,-
S00135423,57.19351622,-2.116192554,190,190,90,97,4,-,-,-,-,-
S00135424,57.19089403,-2.183194897,115,102,25,28,48,13,5,6,4,-
