OA_Code,Latitude,Longitude,All People (16+),UK Armed Forces veteran,Not a UK Armed Forces veteran
S00142397,55.96000266,-3.186298388,94,4,90
S00142398,55.96059054,-3.148913459,111,1,111
S00142399,55.96112725,-3.148208528,86,-,86
S00142400,55.95936289,-3.239426441,100,2,97
S00142401,55.96062973,-3.156251031,67,-,67
S00142402,55.95954359,-3.297802434,104,1,103
S00142403,55.96018457,-3.177638085,109,-,109
S00142404,55.9604846,-3.17538861,122,4,118
S00142405,55.96037147,-3.140577482,66,-,66
S00142406,55.95892569,-3.237330146,79,4,75
S00142407,55.95971155,-3.234231682,73,1,72
S00142408,55.95996726,-3.201082084,95,1,93
S00142409,55.95989712,-3.188858061,69,-,69
S00142410,55.95913154,-3.125916843,169,8,161
S00142411,55.96005339,-3.150627499,100,3,98
S00142412,55.95701937,-3.404265199,69,5,64
S00142413,55.96051239,-3.177183509,66,1,67
S00142414,55.96038103,-3.16643124,91,1,90
S00142415,55.95749229,-3.257322017,115,4,107
S00142416,55.96013813,-3.173087503,80,2,78
S00142417,55.95770745,-3.407749952,131,4,124
S00142418,55.96013348,-3.19322227,98,-,98
S00142419,55.96042695,-3.146217542,42,-,42
S00142420,55.96002684,-3.172507482,79,2,77
S00142421,55.96057785,-3.16557217,96,1,92
S00142422,55.96003146,-3.203711061,82,-,82
S00142423,55.96030377,-3.183952911,73,-,74
S00142424,55.9594988,-3.142634134,73,-,73
S00142425,55.96000712,-3.167012663,145,4,143
S00142426,55.95998908,-3.171753488,113,1,112
S00142427,55.96040914,-3.171045359,93,1,94
S00142428,55.95958309,-3.210040289,98,-,98
S00142429,55.96014136,-3.163268447,141,-,135
S00142430,55.95798717,-3.272138251,142,4,138
S00142431,55.95897576,-3.251059067,92,1,89
S00142432,55.96045024,-3.169556895,100,-,100
S00142433,55.95985194,-3.156788468,99,3,96
S00142434,55.96034289,-3.174230997,60,4,56
S00142435,55.95973863,-3.201491472,59,-,59
S00142436,55.95970069,-3.196156276,60,3,58
S00142437,55.95766327,-3.400588425,87,4,86
S00142438,55.95978001,-3.195389854,68,-,66
S00142439,55.95824969,-3.266716885,83,3,80
S00142440,55.95691358,-3.411164878,128,11,117
S00142441,55.95885241,-3.263148571,102,2,100
S00142442,55.96031518,-3.164843451,99,3,99
S00142443,55.96031443,-3.147687892,76,1,75
S00142444,55.95931109,-3.219402303,113,2,111
S00142445,55.95986027,-3.177724344,94,-,94
S00142446,55.95970236,-3.130306314,84,3,81
S00142447,55.95507912,-3.311250953,124,4,120
S00142448,55.95989615,-3.184292863,74,-,74
S00142449,55.95800606,-3.303004748,91,-,89
S00142450,55.95885758,-3.288681279,75,4,74
S00142451,55.95971476,-3.181660363,232,-,232
S00142452,55.95998647,-3.169190507,335,4,333
S00142453,55.95937468,-3.20747091,96,7,92
S00142454,55.95959316,-3.153721321,80,-,80
S00142455,55.95918323,-3.204998194,107,5,102
S00142456,55.96013723,-3.165606978,71,-,71
S00142457,55.95969679,-3.132869021,85,4,81
S00142458,55.95932919,-3.22210991,89,2,84
S00142459,55.95807497,-3.292195162,86,3,83
S00142460,55.95792801,-3.2993341,56,2,54
S00142461,55.95911982,-3.18092143,94,-,94
S00142462,55.95991829,-3.180112807,89,2,85
S00142463,55.95841922,-3.289355473,92,-,92
S00142464,55.95985911,-3.163660431,132,-,132
S00142465,55.95979371,-3.174342509,107,9,98
S00142466,55.95855026,-3.283689529,83,1,82
S00142467,55.95781865,-3.284914673,93,2,91
S00142468,55.95815715,-3.293783648,58,2,56
S00142469,55.95788328,-3.255989228,113,3,113
S00142470,55.95883111,-3.246713567,72,5,67
S00142471,55.9585442,-3.295430381,64,3,59
S00142472,55.95948499,-3.188733299,129,-,129
S00142473,55.95978185,-3.140207741,80,3,77
S00142474,55.95971424,-3.185456625,66,-,66
S00142475,55.95914599,-3.204212161,127,-,125
S00142476,55.95691708,-3.399039819,88,3,85
S00142477,55.95929309,-3.148330408,101,-,100
S00142478,55.95613273,-3.264613603,178,8,170
S00142479,55.95965452,-3.13453365,79,5,74
S00142480,55.95673435,-3.416604259,80,4,80
S00142481,55.95873624,-3.218471214,115,1,110
S00142482,55.95817984,-3.249800034,144,3,137
S00142483,55.95882856,-3.210929753,116,4,109
S00142484,55.95922574,-3.207081842,64,1,63
S00142485,55.95903846,-3.206018836,87,-,87
S00142486,55.959159,-3.205638156,86,3,84
S00142487,55.95935697,-3.213845508,75,2,72
S00142488,55.95955958,-3.17061925,119,-,119
S00142489,55.95810985,-3.129555131,110,1,107
S00142490,55.95983957,-3.162874959,78,-,78
S00142491,55.95949131,-3.18434457,86,-,86
S00142492,55.95934095,-3.171878061,105,2,103
S00142493,55.95953047,-3.168952505,80,4,76
S00142494,55.95949243,-3.194467963,67,1,66
S00142495,55.95660463,-3.243855042,89,3,86
S00142496,55.95966066,-3.177926515,74,-,73
S00142497,55.95961378,-3.172478973,81,-,81
S00142498,55.95906382,-3.186750198,117,2,115
S00142499,55.95919272,-3.215922693,86,2,84
S00142500,55.95769283,-3.307126735,64,2,67
S00142501,55.9589143,-3.212261907,118,1,117
S00142502,55.95937811,-3.198837339,58,1,61
S00142503,55.95941658,-3.197653199,90,-,90
S00142504,55.95933656,-3.196641598,72,-,67
S00142505,55.95829695,-3.138514287,78,4,73
S00142506,55.95955137,-3.179957477,69,-,69
S00142507,55.95911958,-3.208744395,83,2,83
S00142508,55.95696189,-3.282627866,100,8,92
S00142509,55.95835534,-3.282561836,86,3,83
S00142510,55.95970344,-3.147685824,83,5,82
S00142511,55.95850692,-3.139129116,79,4,75
S00142512,55.95910195,-3.195817448,74,2,72
S00142513,55.9590247,-3.220194188,57,-,57
S00142514,55.95831274,-3.137777951,112,12,100
S00142515,55.95955016,-3.177266421,63,-,61
S00142516,55.95883224,-3.217849538,80,3,77
S00142517,55.95959627,-3.148579656,98,-,98
S00142518,55.95924032,-3.192666194,102,3,99
S00142519,55.95876871,-3.126290728,104,3,102
S00142520,55.95770253,-3.297708778,86,1,84
S00142521,55.95880104,-3.146169478,90,3,87
S00142522,55.95879419,-3.215333557,63,-,63
S00142523,55.958347,-3.185607034,100,3,96
S00142524,55.94904451,-3.280140118,112,8,106
S00142525,55.95926192,-3.172628512,77,3,72
S00142526,55.95896877,-3.201195314,88,4,84
S00142527,55.95745608,-3.270487062,147,4,143
S00142528,55.95940305,-3.182307597,86,-,86
S00142529,55.95859453,-3.219171538,82,-,82
S00142530,55.95750847,-3.305022239,61,-,61
S00142531,55.95917499,-3.202162775,83,-,83
S00142532,55.95900972,-3.167014678,105,-,105
S00142533,55.95867669,-3.22085598,59,2,57
S00142534,55.95902592,-3.18228008,112,4,108
S00142535,55.95609875,-3.40067607,53,2,52
S00142536,55.9590227,-3.198425905,97,-,97
S00142537,55.95874224,-3.2004675,84,2,83
S00142538,55.95842,-3.139783276,105,6,102
S00142539,55.95909502,-3.18910577,94,-,94
S00142540,55.95930607,-3.165133492,89,-,89
S00142541,55.95874577,-3.21659744,62,-,62
S00142542,55.95853166,-3.213707548,75,1,71
S00142543,55.95886568,-3.217193859,62,4,58
S00142544,55.95836081,-3.155782936,229,16,217
S00142545,55.95839816,-3.178400721,263,5,260
S00142546,55.95889712,-3.191918821,91,4,89
S00142547,55.95886558,-3.178382891,112,1,107
S00142548,55.95887262,-3.177646291,109,-,109
S00142549,55.95918309,-3.177127133,67,2,66
S00142550,55.95863745,-3.223001115,75,1,74
S00142551,55.95778853,-3.263498332,87,6,81
S00142552,55.9584398,-3.206592865,70,-,70
S00142553,55.95937926,-3.16214035,82,-,81
S00142554,55.95812163,-3.289457701,80,2,75
S00142555,55.95805303,-3.251669996,77,-,76
S00142556,55.9590267,-3.170907499,112,1,110
S00142557,55.95869328,-3.202724476,111,1,110
S00142558,55.95930779,-3.149644304,62,-,62
S00142559,55.9571266,-3.245553583,116,5,111
S00142560,55.95874929,-3.180205369,68,2,66
S00142561,55.95791004,-3.295921756,49,2,44
S00142562,55.959284,-3.150268293,93,-,93
S00142563,55.9581575,-3.216114475,70,3,69
S00142564,55.95777373,-3.29521243,102,5,99
S00142565,55.95852235,-3.210087274,73,3,71
S00142566,55.95604964,-3.412847265,129,2,128
S00142567,55.95855715,-3.19825134,132,-,131
S00142568,55.9584319,-3.197270399,84,1,83
S00142569,55.95783728,-3.215784085,75,5,70
S00142570,55.95881861,-3.163469027,67,-,67
S00142571,55.95921031,-3.170496581,75,-,73
S00142572,55.95534917,-3.402587023,108,3,106
S00142573,55.95827456,-3.224255055,76,9,64
S00142574,55.95878355,-3.204521259,97,-,95
S00142575,55.95837655,-3.182532577,123,2,117
S00142576,55.95697137,-3.261693808,118,5,113
S00142577,55.95875742,-3.176537575,83,1,78
S00142578,55.95914891,-3.14257577,63,-,63
S00142579,55.95830892,-3.151728985,86,3,83
S00142580,55.95840949,-3.219710318,62,-,62
S00142581,55.95581519,-3.408209816,81,3,79
S00142582,55.95833708,-3.190363926,141,-,141
S00142583,55.95811156,-3.207079192,93,-,93
S00142584,55.9578403,-3.223648702,88,-,88
S00142585,55.95865604,-3.17586176,87,1,86
S00142586,55.9588543,-3.174858659,90,-,90
S00142587,55.95813545,-3.22197618,66,1,65
S00142588,55.95853985,-3.214700897,114,-,114
S00142589,55.9583684,-3.21112361,96,-,95
S00142590,55.9576559,-3.238506943,104,2,102
S00142591,55.95925135,-3.141217278,80,1,79
S00142592,55.95859722,-3.161219928,140,-,140
S00142593,55.95754662,-3.118406888,90,-,90
S00142594,55.95520102,-3.405336538,108,8,99
S00142595,55.95767377,-3.290179611,88,3,86
S00142596,55.95738291,-3.167061819,78,-,78
S00142597,55.95770125,-3.132954873,95,4,91
S00142598,55.95746809,-3.247326451,72,5,69
S00142599,55.95818394,-3.217076354,77,1,76
S00142600,55.95825226,-3.212881909,85,3,84
S00142601,55.95898071,-3.170073189,59,-,59
S00142602,55.95666177,-3.268218659,124,5,120
S00142603,55.95843259,-3.187916175,142,4,138
S00142604,55.95806358,-3.19170099,108,1,108
S00142605,55.95681391,-3.301026616,78,4,74
S00142606,55.95710754,-3.235846608,145,6,139
S00142607,55.95839061,-3.206110808,96,4,92
S00142608,55.95634693,-3.2559715,109,8,100
S00142609,55.95814989,-3.220519044,70,2,68
S00142610,55.95835194,-3.193471779,102,4,100
S00142611,55.95889833,-3.169285837,92,3,89
S00142612,55.95866816,-3.147895444,116,4,111
S00142613,55.95880798,-3.147354985,51,-,51
S00142614,55.95834748,-3.202249241,78,3,75
S00142615,55.95790236,-3.136484533,138,9,132
S00142616,55.95569891,-3.307043507,143,2,141
S00142617,55.95834528,-3.149759923,111,6,105
S00142618,55.95818383,-3.171666899,69,1,66
S00142619,55.95876574,-3.170947672,69,-,69
S00142620,55.9583916,-3.204172715,92,2,91
S00142621,55.95800235,-3.144127694,87,4,81
S00142622,55.95694354,-3.284389144,135,8,130
S00142623,55.95826999,-3.200981457,146,3,143
S00142624,55.95593648,-3.292187967,144,9,137
S00142625,55.95795634,-3.160576061,82,1,79
S00142626,55.9574207,-3.226086092,70,3,68
S00142627,55.95805394,-3.188977739,136,-,136
S00142628,55.95897377,-3.141113003,57,2,56
S00142629,55.95818871,-3.205624004,76,1,74
S00142630,55.95833271,-3.173961894,80,-,80
S00142631,55.95843871,-3.153222464,81,2,79
S00142632,55.95654987,-3.23948068,71,1,67
S00142633,55.9582394,-3.170547359,121,-,119
S00142634,55.95830197,-3.17341637,73,1,76
S00142635,55.95849929,-3.172509343,73,1,71
S00142636,55.9580703,-3.2076225,63,5,56
S00142637,55.95798307,-3.210102479,75,-,75
S00142638,55.95808759,-3.169501648,67,1,66
S00142639,55.95827354,-3.148780735,77,1,76
S00142640,55.95805944,-3.128192196,99,4,95
S00142641,55.95832464,-3.162493159,80,-,80
S00142642,55.95809972,-3.17578082,115,1,114
S00142643,55.95767845,-3.203589964,92,-,92
S00142644,55.95793965,-3.131456221,89,4,85
S00142645,55.95780531,-3.221741533,77,1,76
S00142646,55.95760964,-3.134121443,85,2,82
S00142647,55.95818085,-3.214657616,80,2,78
S00142648,55.95774403,-3.198706731,154,2,150
S00142649,55.95794963,-3.219872044,71,2,69
S00142650,55.95402729,-3.399512149,96,-,94
S00142651,55.95740353,-3.228712368,80,5,75
S00142652,55.95745081,-3.217613944,104,4,102
S00142653,55.95799805,-3.168521892,112,1,111
S00142654,55.95757156,-3.205332523,89,5,86
S00142655,55.9545893,-3.404609645,109,8,102
S00142656,55.95855295,-3.145793742,69,5,66
S00142657,55.95812444,-3.169406656,59,-,59
S00142658,55.95752169,-3.223158131,67,2,64
S00142659,55.95826163,-3.17104457,89,4,87
S00142660,55.95789741,-3.197718397,102,4,95
S00142661,55.95766548,-3.195693062,115,4,112
S00142662,55.95672497,-3.303490264,77,1,76
S00142663,55.95794886,-3.168023873,65,-,65
S00142664,55.95807152,-3.15979466,79,-,77
S00142665,55.9579852,-3.190513297,84,3,81
S00142666,55.95729628,-3.23045484,72,1,71
S00142667,55.95832956,-3.177117239,63,2,61
S00142668,55.95734726,-3.250381854,68,2,67
S00142669,55.9577092,-3.167712328,97,1,96
S00142670,55.95785496,-3.173178601,98,-,98
S00142671,55.95767306,-3.216035213,77,1,73
S00142672,55.95646097,-3.290155276,98,5,95
S00142673,55.95783889,-3.211972008,81,4,85
S00142674,55.95725867,-3.194094829,83,3,80
S00142675,55.95749343,-3.215116599,91,-,91
S00142676,55.95807229,-3.181466152,94,-,94
S00142677,55.95768964,-3.210701978,94,2,95
S00142678,55.95779638,-3.218105316,67,1,66
S00142679,55.95819087,-3.16333807,58,-,57
S00142680,55.95767213,-3.209740395,77,-,75
S00142681,55.95763854,-3.161879956,108,-,108
S00142682,55.95756692,-3.202128937,70,4,66
S00142683,55.95799374,-3.141180265,66,1,65
S00142684,55.95694377,-3.218911416,105,3,102
S00142685,55.95775896,-3.18602152,130,1,129
S00142686,55.95702549,-3.222453746,67,-,67
S00142687,55.95764085,-3.207432936,117,1,114
S00142688,55.95751051,-3.130242422,69,2,67
S00142689,55.95640934,-3.300196178,103,2,102
S00142690,55.95748668,-3.200220406,132,5,127
S00142691,55.95734194,-3.208592878,72,4,73
S00142692,55.95588757,-3.305352091,92,5,87
S00142693,55.95533267,-3.400087812,67,3,67
S00142694,55.95756295,-3.187713345,94,3,92
S00142695,55.95738168,-3.249646171,79,4,76
S00142696,55.95753854,-3.193030297,68,-,67
S00142697,55.95737438,-3.191423535,99,5,94
S00142698,55.95721632,-3.22042559,120,2,118
S00142699,55.9578413,-3.161341445,85,2,87
S00142700,55.95792607,-3.160927535,109,3,106
S00142701,55.95657996,-3.18435175,101,3,98
S00142702,55.95684254,-3.216425608,113,2,112
S00142703,55.95638295,-3.252432947,56,-,56
S00142704,55.95780469,-3.162365451,81,-,81
S00142705,55.95463853,-3.407382279,62,-,62
S00142706,55.95602396,-3.160630343,314,4,311
S00142707,55.95652826,-3.115766811,116,8,111
S00142708,55.95684374,-3.226276069,74,1,73
S00142709,55.95720034,-3.201941385,66,4,62
S00142710,55.95626963,-3.204315037,69,2,67
S00142711,55.95693258,-3.211847579,56,2,58
S00142712,55.95671667,-3.210959904,74,-,73
S00142713,55.95732669,-3.144315979,82,6,76
S00142714,55.95773351,-3.145016722,91,6,85
S00142715,55.95759128,-3.163079824,60,-,60
S00142716,55.95719364,-3.190601114,78,1,77
S00142717,55.95706838,-3.209000794,51,1,46
S00142718,55.95482358,-3.280875435,114,4,110
S00142719,55.95720002,-3.212977132,91,1,89
S00142720,55.95655591,-3.215423574,73,1,72
S00142721,55.95536522,-3.302067136,108,4,101
S00142722,55.94777623,-3.254941353,83,1,82
S00142723,55.95683032,-3.200264158,105,-,105
S00142724,55.95539897,-3.303974237,95,5,90
S00142725,55.95801789,-3.119942116,93,-,93
S00142726,55.95629429,-3.235404254,84,4,80
S00142727,55.95598662,-3.232030961,95,-,95
S00142728,55.95701577,-3.19597735,59,1,58
S00142729,55.95403071,-3.408673552,71,6,68
S00142730,55.95700825,-3.206884677,65,-,65
S00142731,55.95792787,-3.120948598,65,1,64
S00142732,55.95728357,-3.171847918,85,-,84
S00142733,55.95783813,-3.12192305,72,-,72
S00142734,55.95720352,-3.161322344,65,-,65
S00142735,55.95540509,-3.244297059,123,3,121
S00142736,55.95412085,-3.308415746,130,5,125
S00142737,55.95555695,-3.219220185,132,2,130
S00142738,55.95662652,-3.197198639,102,2,99
S00142739,55.95694813,-3.194613825,61,7,54
S00142740,55.95585851,-3.228663413,136,2,134
S00142741,55.95619001,-3.213345956,74,3,71
S00142742,55.95666892,-3.177883684,98,3,97
S00142743,55.95592401,-3.248958531,125,-,124
S00142744,55.95649382,-3.209863803,78,1,81
S00142745,55.95735246,-3.119009931,70,3,68
S00142746,55.95517773,-3.112092314,89,3,86
S00142747,55.95712751,-3.171250574,74,-,74
S00142748,55.95571358,-3.285149237,87,3,84
S00142749,55.9574608,-3.119942043,81,7,77
S00142750,55.95286052,-3.254209006,76,2,74
S00142751,55.95713736,-3.168319769,103,6,94
S00142752,55.95708034,-3.150507244,87,6,83
S00142753,55.95570495,-3.213330778,59,3,57
S00142754,55.95566376,-3.228368946,116,1,110
S00142755,55.95692017,-3.143583225,146,6,141
S00142756,55.95545151,-3.291306914,122,2,120
S00142757,55.9570896,-3.162920624,61,2,60
S00142758,55.95639897,-3.191009166,148,2,145
S00142759,55.95572956,-3.259234901,101,-,101
S00142760,55.95677777,-3.162638987,100,1,98
S00142761,55.95695645,-3.16179545,66,-,66
S00142762,55.95683021,-3.166596714,99,1,98
S00142763,55.95473638,-3.299499437,110,4,106
S00142764,55.95618638,-3.219175908,91,2,88
S00142765,55.95626904,-3.224431989,119,-,119
S00142766,55.95667715,-3.171365105,96,-,96
S00142767,55.95676012,-3.170198385,93,3,91
S00142768,55.95579668,-3.171354526,472,3,465
S00142769,55.95627048,-3.19962218,95,-,95
S00142770,55.95543093,-3.300099307,62,4,58
S00142771,55.95534422,-3.281789554,69,1,65
S00142772,55.95485349,-3.197496256,138,5,133
S00142773,55.95728463,-3.12448576,79,1,75
S00142774,55.95579319,-3.206174169,67,3,64
S00142775,55.956578,-3.16476322,96,2,95
S00142776,55.95671511,-3.121906575,79,4,75
S00142777,55.95663939,-3.170611177,83,1,82
S00142778,55.95675041,-3.120001609,72,2,70
S00142779,55.95676222,-3.128554872,66,2,61
S00142780,55.95571512,-3.21685472,81,-,81
S00142781,55.95659444,-3.174389771,101,1,99
S00142782,55.95666082,-3.168353461,62,4,58
S00142783,55.95597142,-3.201727112,79,1,81
S00142784,55.95504576,-3.28370165,79,7,72
S00142785,55.9557824,-3.18972493,123,1,124
S00142786,55.955875,-3.235102597,83,3,80
S00142787,55.95527277,-3.247608198,93,3,90
S00142788,55.95572934,-3.215413683,87,3,84
S00142789,55.95607883,-3.208201145,91,1,94
S00142790,55.95573229,-3.205051123,83,-,82
S00142791,55.95469118,-3.241134995,112,5,107
S00142792,55.95603787,-3.222374562,120,2,118
S00142793,55.95639384,-3.16618317,85,2,85
S00142794,55.95626717,-3.163424507,111,2,105
S00142795,55.95353405,-3.405740595,83,1,82
S00142796,55.95499384,-3.230670075,112,2,110
S00142797,55.95440925,-3.288725649,88,4,81
S00142798,55.95649462,-3.16122103,65,1,64
S00142799,55.95613405,-3.165150299,101,2,99
S00142800,55.95616321,-3.166816896,74,-,74
S00142801,55.95501077,-3.290491421,69,1,68
S00142802,55.95589548,-3.129987137,132,4,128
S00142803,55.95482152,-3.301648473,87,-,87
S00142804,55.95500503,-3.176167472,123,6,117
S00142805,55.95537355,-3.206817785,59,1,58
S00142806,55.95593419,-3.147189873,85,2,85
S00142807,55.95613013,-3.146410862,96,1,95
S00142808,55.9560275,-3.144886265,117,1,119
S00142809,55.95568982,-3.203880603,85,3,82
S00142810,55.95586656,-3.14866138,92,1,91
S00142811,55.95625305,-3.143819816,95,1,93
S00142812,55.95441267,-3.296109188,99,7,92
S00142813,55.95570127,-3.131567089,115,5,110
S00142814,55.9554453,-3.139839989,112,4,108
S00142815,55.95597158,-3.162374569,60,3,56
S00142816,55.95442158,-3.303781211,98,4,94
S00142817,55.95313649,-3.406719167,139,1,137
S00142818,55.95609456,-3.14250179,78,4,74
S00142819,55.95511868,-3.225356642,112,1,109
S00142820,55.95352872,-3.28355534,75,3,72
S00142821,55.95544486,-3.122270229,125,2,123
S00142822,55.95512861,-3.215282741,83,4,79
S00142823,55.95542708,-3.226871926,71,3,72
S00142824,55.95614998,-3.134559247,75,4,74
S00142825,55.95437944,-3.213801816,107,3,107
S00142826,55.95484255,-3.150552965,58,1,58
S00142827,55.95544229,-3.143075173,102,-,102
S00142828,55.95495784,-3.22887512,108,2,109
S00142829,55.95437028,-3.210165918,81,1,80
S00142830,55.95429239,-3.237903029,90,-,90
S00142831,55.95407499,-3.304266055,137,8,133
S00142832,55.95389838,-3.29288882,91,4,87
S00142833,55.95267077,-3.411298773,100,3,96
S00142834,55.9548349,-3.20676899,77,1,74
S00142835,55.95421698,-3.112016716,105,4,101
S00142836,55.95360247,-3.305611507,105,6,99
S00142837,55.95514491,-3.204472303,95,3,90
S00142838,55.95377642,-3.283067047,69,4,65
S00142839,55.95576919,-3.116241475,116,8,105
S00142840,55.95406803,-3.302375934,75,1,74
S00142841,55.95417348,-3.282904009,85,6,79
S00142842,55.95362199,-3.295249941,78,4,76
S00142843,55.95420745,-3.289119343,60,1,56
S00142844,55.95358706,-3.284854546,94,3,91
S00142845,55.95356343,-3.308444987,85,1,83
S00142846,55.95426125,-3.110096108,78,1,77
S00142847,55.95480985,-3.21844394,93,2,91
S00142848,55.95342624,-3.247164421,73,1,72
S00142849,55.95552383,-3.133275647,90,7,81
S00142850,55.95358736,-3.285687375,67,2,65
S00142851,55.95363528,-3.29055776,86,3,86
S00142852,55.95533441,-3.16893813,95,-,95
S00142853,55.95447449,-3.168655956,103,-,103
S00142854,55.95530786,-3.16699937,76,-,76
S00142855,55.95513744,-3.163166389,90,1,88
S00142856,55.95472811,-3.220347284,130,6,124
S00142857,55.95415087,-3.224188937,118,8,113
S00142858,55.95260243,-3.219047227,63,-,63
S00142859,55.95100046,-3.408067025,111,3,107
S00142860,55.95367708,-3.289998598,85,-,80
S00142861,55.9545083,-3.216224261,56,4,52
S00142862,55.95467228,-3.169590841,85,-,85
S00142863,55.95331211,-3.287952471,77,-,77
S00142864,55.95500581,-3.167582875,92,3,89
S00142865,55.95462921,-3.17223217,67,9,58
S00142866,55.95487616,-3.170830224,97,2,95
S00142867,55.95515315,-3.161501183,75,2,73
S00142868,55.95277912,-3.230199414,72,3,69
S00142869,55.9534288,-3.27933991,68,2,69
S00142870,55.9548412,-3.158368722,109,2,106
S00142871,55.95492471,-3.155216061,129,3,126
S00142872,55.95490491,-3.164953209,112,-,110
S00142873,55.95260255,-3.19981301,110,-,109
S00142874,55.95378013,-3.198840457,63,1,66
S00142875,55.95354911,-3.288488861,65,2,64
S00142876,55.95333282,-3.280794166,108,3,105
S00142877,55.95259118,-3.247105537,76,12,67
S00142878,55.95394564,-3.233055194,101,1,93
S00142879,55.95490234,-3.147031221,120,2,118
S00142880,55.95395396,-3.218673301,73,-,70
S00142881,55.95536148,-3.114628128,105,5,98
S00142882,55.95508009,-3.155893365,57,-,57
S00142883,55.95491525,-3.144677252,57,-,57
S00142884,55.95331973,-3.231850145,97,1,96
S00142885,55.95498164,-3.152975512,127,2,122
S00142886,55.9527938,-3.243060174,91,3,87
S00142887,55.95351314,-3.292779882,90,4,86
S00142888,55.95507821,-3.12109045,132,1,129
S00142889,55.95456949,-3.117744459,97,5,91
S00142890,55.95113734,-3.188749685,407,21,383
S00142891,55.95406599,-3.206376701,70,2,68
S00142892,55.9548928,-3.161477369,84,1,83
S00142893,55.9532467,-3.301019053,130,4,126
S00142894,55.95329754,-3.28676683,114,4,112
S00142895,55.95476789,-3.120633034,67,2,66
S00142896,55.95502067,-3.117533239,92,1,90
S00142897,55.95186752,-3.410821114,85,6,79
S00142898,55.95226231,-3.406943707,120,2,118
S00142899,55.95477299,-3.157021344,126,1,125
S00142900,55.95489361,-3.151819743,83,1,82
S00142901,55.95483677,-3.159794012,93,-,93
S00142902,55.95360662,-3.131682141,98,3,96
S00142903,55.95356356,-3.17468236,119,2,117
S00142904,55.95433088,-3.167690681,93,2,91
S00142905,55.95258916,-3.302870794,69,1,68
S00142906,55.95458621,-3.149135964,88,2,87
S00142907,55.9539014,-3.216717731,93,9,89
S00142908,55.95291353,-3.137667594,81,1,80
S00142909,55.95456408,-3.150544703,148,6,142
S00142910,55.95282433,-3.294198312,83,8,75
S00142911,55.95166583,-3.29755483,108,7,101
S00142912,55.95324496,-3.237517254,94,-,94
S00142913,55.95406796,-3.136228023,96,1,93
S00142914,55.95467752,-3.155705191,94,4,90
S00142915,55.95272607,-3.306911285,77,6,73
S00142916,55.954453,-3.168078739,81,2,79
S00142917,55.95388799,-3.167965627,87,5,82
S00142918,55.95232808,-3.299514833,82,5,77
S00142919,55.95384146,-3.147095937,77,3,75
S00142920,55.95459375,-3.146397475,84,-,83
S00142921,55.95365113,-3.202856381,116,5,115
S00142922,55.95381887,-3.210501057,65,1,64
S00142923,55.95416309,-3.16738133,95,-,95
S00142924,55.95209671,-3.295887653,75,1,74
S00142925,55.95464209,-3.151812273,77,1,75
S00142926,55.95178389,-3.299993065,106,6,103
S00142927,55.95473563,-3.119238722,89,3,86
S00142928,55.9545461,-3.154387974,112,1,111
S00142929,55.9527592,-3.284106426,56,1,57
S00142930,55.95033887,-3.17833201,222,4,218
S00142931,55.95178047,-3.296053252,77,4,73
S00142932,55.95327766,-3.208882619,91,1,87
S00142933,55.95245856,-3.309256525,101,5,96
S00142934,55.95250862,-3.29260226,89,1,88
S00142935,55.95428322,-3.113636197,85,2,79
S00142936,55.9539736,-3.153153746,107,3,105
S00142937,55.95428284,-3.119626046,123,4,119
S00142938,55.95388739,-3.115674815,74,1,73
S00142939,55.95436758,-3.120189043,74,1,73
S00142940,55.95264822,-3.217142856,82,1,81
S00142941,55.95416571,-3.116691805,75,-,75
S00142942,55.95204341,-3.23547704,138,5,133
S00142943,55.95277746,-3.178902571,239,6,234
S00142944,55.95260984,-3.289802946,64,3,61
S00142945,55.95399414,-3.16908992,60,-,59
S00142946,55.9520414,-3.305382788,103,6,98
S00142947,55.95339617,-3.143767586,79,1,75
S00142948,55.95194758,-3.205237809,140,-,140
S00142949,55.95410852,-3.146399147,65,1,65
S00142950,55.95208677,-3.107103169,81,2,79
S00142951,55.95394495,-3.168591952,68,-,68
S00142952,55.9525126,-3.286212282,60,3,61
S00142953,55.95399681,-3.145851314,78,3,75
S00142954,55.95267312,-3.288908189,106,-,106
S00142955,55.95337799,-3.148619703,133,3,130
S00142956,55.95197756,-3.309704726,135,7,128
S00142957,55.95135417,-3.280104247,68,4,63
S00142958,55.95353366,-3.144444288,63,2,62
S00142959,55.95362716,-3.150805186,80,4,77
S00142960,55.95255219,-3.241178649,117,1,117
S00142961,55.9537015,-3.147652339,75,-,75
S00142962,55.95414819,-3.114657318,56,-,56
S00142963,55.95351202,-3.137076566,89,2,88
S00142964,55.95402312,-3.11755254,58,2,61
S00142965,55.95405049,-3.111547491,87,4,81
S00142966,55.9522731,-3.202269131,79,-,79
S00142967,55.95262373,-3.225053599,71,-,71
S00142968,55.95301845,-3.111405805,129,7,122
S00142969,55.95208628,-3.292604199,93,5,88
S00142970,55.9533436,-3.134877529,105,9,96
S00142971,55.9533472,-3.151917953,81,-,81
S00142972,55.95392492,-3.114506761,58,2,57
S00142973,55.9506013,-3.209663976,231,2,229
S00142974,55.95213679,-3.2869205,103,4,99
S00142975,55.95118281,-3.305850349,73,-,73
S00142976,55.95353183,-3.116241139,83,2,81
S00142977,55.9524505,-3.210762634,90,3,87
