OA_Code,Latitude,Longitude,All people,"Female, All","Male, All","All people, 0 - 4","All people, 5 - 9","All people, 10 - 14","All people, 15","All people, 16 - 17","All people, 18 - 19","All people, 20 - 24","All people, 25 - 29","All people, 30 - 34","All people, 35 - 39","All people, 40 - 44","All people, 45 - 49","All people, 50 - 54","All people, 55 - 59","All people, 60 - 64","All people, 65 - 69","All people, 70 - 74","All people, 75 - 79","All people, 80 - 84","All people, 85 and over","Female, 0 - 4","Female, 5 - 9","Female, 10 - 14","Female, 15","Female, 16 - 17","Female, 18 - 19","Female, 20 - 24","Female, 25 - 29","Female, 30 - 34","Female, 35 - 39","Female, 40 - 44","Female, 45 - 49","Female, 50 - 54","Female, 55 - 59","Female, 60 - 64","Female, 65 - 69","Female, 70 - 74","Female, 75 - 79","Female, 80 - 84","Female, 85 and over"
S00135416,57.19364423,-2.113743995,199,102,97,7,11,17,2,4,2,7,8,12,16,15,9,11,18,13,21,13,2,5,2,4,9,6,-,2,2,2,10,5,7,12,3,5,7,9,13,4,1,2,2
S00135417,57.19432681,-2.132179848,107,56,51,4,4,3,2,-,-,6,11,7,10,8,4,13,16,10,3,1,2,-,-,1,2,-,-,-,-,3,6,5,5,3,1,8,11,5,1,-,2,-,-
S00135418,57.19214253,-2.177029281,178,91,85,19,18,10,2,4,-,3,1,9,26,23,14,14,14,10,8,3,2,-,-,13,6,2,2,3,-,-,1,3,15,18,5,5,8,4,3,1,1,-,-
S00135419,57.19271604,-2.106890831,77,34,43,2,4,-,1,-,3,6,9,6,9,4,6,11,2,10,-,-,-,1,-,-,1,-,1,-,1,3,1,3,4,1,2,6,1,6,1,-,-,-,-
S00135420,57.1934796,-2.095773479,142,80,66,5,6,4,-,2,1,1,6,13,13,8,4,6,8,10,12,21,8,6,4,3,5,2,-,-,-,-,5,6,7,4,1,4,3,6,9,10,5,4,3
S00135421,57.19340529,-2.12860241,116,58,58,2,3,7,2,3,1,4,7,13,9,8,12,3,14,11,8,8,1,-,2,-,1,1,-,-,1,2,4,5,6,4,7,2,7,7,3,5,1,-,2
S00135422,57.19354601,-2.131498626,109,52,58,9,5,3,-,2,-,3,9,12,20,12,3,3,9,12,3,6,1,-,2,4,2,-,-,1,-,3,3,6,6,5,2,1,3,5,-,5,1,-,-
S00135423,57.19351622,-2.116192554,190,90,97,9,8,19,4,3,2,5,11,10,11,12,24,5,17,16,11,10,11,2,1,4,6,7,4,2,-,1,5,5,2,6,12,4,7,10,4,5,7,-,-
S00135424,57.19089403,-2.183194897,115,58,57,1,-,8,3,4,4,2,3,4,9,2,7,17,7,12,5,10,15,1,5,-,-,4,2,2,-,1,2,2,3,2,5,7,3,6,3,6,7,1,2
S00135425,57.19208494,-2.179626785,116,53,63,2,4,7,2,-,1,3,9,4,9,8,7,8,8,6,10,12,9,-,4,-,-,3,2,-,-,-,8,4,6,3,4,3,2,3,3,7,4,-,3
S00135426,57.19274317,-2.116752708,141,72,69,10,2,9,3,4,4,6,5,4,10,6,6,15,13,12,7,11,8,1,-,8,-,2,2,-,2,4,2,3,4,4,3,9,8,4,4,4,5,-,-
S00135427,57.19235674,-2.126182974,126,74,52,-,2,3,1,2,4,2,-,1,2,1,3,4,16,11,21,19,19,6,7,-,-,-,1,-,-,-,-,1,2,-,1,4,11,9,11,10,12,6,6
S00135428,57.19261503,-2.109438712,75,39,37,4,7,7,-,4,2,1,2,5,6,1,8,1,4,10,4,2,-,1,-,2,6,4,-,2,-,-,1,4,2,1,4,1,3,4,1,-,-,-,-
S00135429,57.19180363,-2.102271794,85,39,48,1,4,4,-,2,1,5,2,2,5,1,4,5,5,11,10,11,3,5,1,-,1,-,-,2,-,1,1,2,3,1,-,1,3,7,4,4,2,4,-
S00135430,57.19187949,-2.118156409,113,53,56,1,4,9,-,-,2,8,3,1,2,8,7,9,10,9,8,17,7,1,2,-,3,6,-,-,1,3,2,-,3,3,4,4,8,5,3,8,8,-,-
S00135431,57.19077223,-2.100250354,109,52,57,8,10,5,-,2,-,4,12,4,9,7,8,3,10,8,10,4,3,-,-,5,4,1,-,3,-,3,4,3,4,4,4,1,4,1,6,3,1,-,-
S00135432,57.19224373,-2.13126234,117,60,59,3,3,8,-,4,-,2,2,4,5,5,7,6,11,16,22,14,11,2,2,1,1,1,-,4,-,1,-,4,3,2,4,4,5,7,11,6,7,2,1
S00135433,57.19192681,-2.115575341,128,66,60,8,4,5,3,-,2,3,8,5,7,2,5,10,10,14,15,14,4,3,2,4,2,1,-,-,1,2,7,2,4,3,5,4,4,12,7,7,2,3,-
S00135434,57.19202069,-2.129788925,111,55,53,1,-,3,-,-,-,2,-,3,-,4,5,3,8,16,16,23,12,9,2,-,-,1,-,-,-,2,-,-,-,-,2,-,4,8,8,15,5,6,1
S00135435,57.19117857,-2.127568809,77,42,34,2,2,-,1,-,1,-,1,-,2,3,4,8,3,9,16,11,3,2,5,2,2,-,1,-,1,-,-,-,2,2,1,4,2,7,11,5,2,1,4
S00135436,57.19170847,-2.097704786,109,49,60,3,4,7,2,1,-,4,4,6,8,5,2,14,6,12,3,9,4,14,1,1,-,-,2,1,-,-,2,4,5,5,2,5,-,6,2,4,2,7,-
S00135437,57.18798413,-2.176529571,127,70,57,17,4,8,-,2,-,5,12,15,17,7,8,7,4,10,3,2,4,2,1,6,3,4,-,2,-,4,7,6,12,4,6,2,2,10,1,-,5,1,1
S00135438,57.18420372,-2.199539162,82,39,43,4,6,5,1,-,-,2,5,9,5,4,5,9,6,3,5,6,3,-,2,3,2,2,1,-,-,-,3,3,3,2,2,6,4,1,1,3,3,-,1
S00135439,57.19137486,-2.119825943,92,46,46,5,4,3,-,1,2,3,3,-,4,5,4,5,13,12,7,7,13,1,2,2,3,-,-,-,2,-,-,-,3,3,1,4,4,7,4,4,6,3,2
S00135440,57.18884814,-2.102395966,131,76,55,7,2,7,-,4,-,3,8,6,3,11,4,4,11,10,15,14,7,5,2,4,2,3,-,3,-,2,3,5,2,6,4,2,5,9,13,7,5,3,-
S00135441,57.19000292,-2.107197339,127,69,58,2,8,4,1,2,4,7,6,3,1,11,11,9,16,9,8,12,12,4,2,2,3,2,1,-,2,5,4,1,1,6,5,6,4,4,2,11,6,-,2
S00135442,57.19074936,-2.125614927,67,44,24,-,-,-,-,-,2,-,-,-,1,1,-,1,4,3,11,15,10,10,7,-,-,-,-,-,-,-,-,-,1,1,-,-,-,3,6,9,6,6,5
S00135443,57.19108688,-2.110625488,99,46,50,-,-,7,4,2,2,3,4,6,2,10,9,10,8,1,6,11,5,-,2,1,-,8,4,2,1,1,4,4,-,4,3,6,4,1,3,5,1,-,2
S00135444,57.19018507,-2.13274412,99,47,52,13,7,8,-,-,-,5,6,16,17,14,7,2,-,-,-,-,-,1,-,11,2,3,-,-,-,1,5,7,9,4,4,1,-,-,-,-,-,1,-
S00135445,57.18991775,-2.11214416,141,67,72,6,4,7,-,4,-,2,10,7,6,5,13,11,7,9,15,17,7,4,3,7,2,7,-,1,-,-,4,-,3,5,6,3,5,8,7,7,4,2,-
S00135446,57.19059744,-2.11545536,159,69,90,5,15,9,1,1,3,3,2,7,10,8,7,8,12,15,23,18,12,4,2,3,5,2,-,-,-,2,1,5,2,4,3,1,6,8,10,7,4,3,1
S00135447,57.19011029,-2.17850864,137,66,71,11,8,10,-,1,2,7,7,10,20,17,4,8,16,4,3,4,-,-,2,7,-,8,-,1,1,3,3,7,10,4,1,6,5,1,2,2,-,-,1
S00135448,57.18930448,-2.132989132,170,78,84,23,17,12,1,-,-,5,14,29,21,22,5,3,-,5,2,-,4,-,-,10,11,6,1,-,-,3,10,14,10,9,2,2,-,3,2,-,-,-,-
S00135449,57.19062527,-2.12394339,98,64,36,-,1,4,-,1,-,2,3,-,2,4,4,4,1,3,16,10,15,14,17,-,-,2,-,1,-,2,-,-,2,3,4,2,2,3,12,4,7,10,11
S00135450,57.18976085,-2.116726734,92,50,42,2,-,5,-,1,1,1,2,3,1,3,5,4,1,14,9,14,6,9,6,2,-,4,-,1,1,-,1,2,-,2,4,3,1,10,4,9,4,8,2
S00135451,57.18934646,-2.117982853,70,39,31,1,-,-,1,-,2,1,4,2,2,1,5,-,4,7,8,5,14,8,1,-,-,-,1,-,-,-,3,2,2,1,3,1,3,5,2,3,5,3,-
S00135452,57.19067095,-2.182167955,64,35,29,1,-,4,1,-,1,3,2,4,2,4,6,9,6,7,3,2,5,2,1,2,-,4,-,-,-,-,1,1,2,2,2,6,3,4,2,1,4,1,1
S00135453,57.18965211,-2.184743998,110,60,47,6,4,3,1,4,-,2,20,15,5,9,6,5,9,4,2,1,3,3,3,2,4,3,1,1,-,1,8,9,2,7,1,3,6,3,2,-,2,3,2
S00135454,57.18853152,-2.176929261,123,57,66,13,8,7,-,-,-,7,14,21,18,12,6,1,2,6,2,4,-,1,-,4,2,2,-,-,-,1,6,10,9,3,5,1,5,-,2,3,-,1,-
S00135455,57.18976664,-2.110340262,106,50,54,-,2,7,3,3,1,8,5,6,6,4,12,6,8,8,13,9,7,4,-,-,1,1,3,1,-,4,2,1,1,1,7,3,4,-,7,4,6,2,-
S00135456,57.18996084,-2.182478818,89,49,40,3,2,7,2,-,1,1,2,3,12,2,3,7,7,15,6,4,7,2,-,1,2,6,2,-,1,1,2,2,8,1,1,2,4,6,4,-,4,-,-
S00135457,57.19006487,-2.108289518,69,37,30,3,2,2,-,-,-,-,2,4,4,3,4,5,2,6,12,8,5,3,2,1,2,-,-,-,-,-,-,1,2,2,2,2,2,4,7,5,4,1,2
S00135458,57.18927394,-2.118677516,79,44,35,2,6,5,2,2,2,9,2,5,4,2,9,8,12,2,1,-,3,1,-,1,2,4,2,2,-,6,2,3,5,1,6,5,5,-,1,-,1,1,-
S00135459,57.18916263,-2.122333612,121,68,53,-,6,2,-,3,-,4,6,6,4,13,4,8,6,10,17,8,11,5,9,-,5,-,-,3,1,1,4,-,2,5,4,4,1,6,9,1,8,6,8
S00135460,57.18910725,-2.123839026,121,66,53,2,5,5,3,3,2,2,7,8,7,8,8,3,12,7,10,16,4,7,3,-,4,4,1,1,1,1,5,1,1,8,4,1,5,3,8,10,3,1,-
S00135461,57.18969155,-2.113946908,135,72,61,6,13,10,2,5,4,6,2,11,9,6,9,3,6,10,17,8,4,1,2,2,9,6,1,2,2,4,2,2,6,5,3,3,1,3,9,5,2,1,1
S00135462,57.1881767,-2.12909709,159,75,84,3,6,16,2,2,2,9,7,3,10,10,9,20,17,12,10,13,7,2,2,1,4,7,2,-,-,2,-,1,8,5,1,10,6,7,6,6,3,2,1
S00135463,57.18892418,-2.108120723,149,79,70,8,8,6,-,3,1,5,6,8,13,6,4,8,21,16,15,10,6,4,2,5,4,6,-,1,1,-,2,4,8,3,2,3,13,6,6,4,3,2,2
S00135464,57.18798772,-2.180318287,109,53,53,4,5,2,-,1,-,8,10,9,8,7,8,9,6,6,2,4,6,6,2,2,2,-,-,-,-,4,5,7,4,3,2,6,3,3,-,1,4,1,1
S00135465,57.18665674,-2.181354063,106,63,43,2,5,3,-,1,-,2,4,8,8,5,3,6,7,19,9,5,8,10,6,-,1,-,-,1,-,-,1,7,2,3,3,5,5,10,4,3,3,8,5
S00135466,57.18812003,-2.113396088,101,50,51,3,1,6,3,-,3,4,2,8,3,8,7,5,6,10,13,4,4,3,1,2,1,3,1,-,1,1,-,5,2,5,3,3,6,6,6,2,5,2,-
S00135467,57.18898059,-2.124748574,95,55,40,4,3,5,4,3,1,2,3,8,4,6,5,6,10,9,4,6,9,4,2,4,3,3,2,2,-,1,2,3,2,2,3,2,5,8,2,2,-,2,1
S00135468,57.188028,-2.206607789,69,40,33,-,-,-,-,1,2,19,21,9,7,-,-,2,2,3,1,-,-,-,-,-,-,-,-,-,2,12,8,7,-,-,-,1,1,1,-,-,-,-,-
S00135469,57.18772983,-2.107670528,121,61,57,4,-,-,-,1,2,5,4,-,2,6,2,10,9,9,20,17,15,4,3,-,-,-,-,1,1,-,-,1,2,2,1,4,6,9,10,9,5,3,1
S00135470,57.18797103,-2.128186423,137,67,69,-,6,15,2,3,3,4,8,4,5,9,10,8,16,16,11,9,3,2,-,-,4,9,1,2,1,1,2,1,3,7,5,5,12,3,8,2,1,1,-
S00135471,57.18782565,-2.120807095,154,76,76,11,6,8,1,9,4,7,8,17,7,18,7,6,10,3,5,6,9,5,1,1,4,4,-,4,1,7,3,7,6,9,6,6,5,1,1,3,5,3,1
S00135472,57.1881077,-2.117035856,148,69,79,3,7,9,3,5,1,4,6,3,9,12,13,11,12,12,4,10,8,10,4,-,4,5,3,-,-,-,7,2,4,7,10,5,5,7,3,5,6,4,-
S00135473,57.18763547,-2.112815548,128,66,62,6,7,10,2,2,2,6,5,11,6,9,7,6,4,8,16,8,4,4,2,2,3,5,-,1,2,2,3,6,4,5,4,5,-,5,7,5,2,3,2
S00135474,57.18810244,-2.131396526,122,65,57,15,5,10,4,4,-,5,10,14,19,8,5,4,2,5,5,4,2,2,-,7,3,8,2,2,-,2,5,7,10,4,2,4,-,3,3,3,1,-,-
S00135475,57.18736261,-2.116504079,102,46,55,4,8,9,1,-,2,5,5,11,6,15,4,2,10,2,2,11,5,1,3,1,4,-,-,-,-,-,5,5,3,6,1,2,5,-,3,6,4,-,2
S00135476,57.18739745,-2.107686103,108,57,51,5,6,6,-,2,1,6,3,10,2,3,5,5,5,12,12,13,13,-,-,2,1,2,-,1,1,1,2,4,1,2,3,4,3,6,7,9,7,2,-
S00135477,57.18677179,-2.205757024,120,62,61,9,10,7,-,1,1,4,10,17,15,12,7,8,7,3,4,4,-,1,-,5,6,1,-,1,-,3,6,5,8,7,4,2,3,1,3,2,-,1,-
S00135478,57.18287651,-2.110567811,95,57,40,2,3,1,-,-,-,2,4,1,6,4,3,5,2,2,12,6,12,16,15,2,2,1,-,-,-,2,4,-,1,3,1,1,1,2,7,3,4,10,12
S00135479,57.18691496,-2.124294909,125,64,61,3,2,7,2,4,2,7,7,6,3,4,9,18,20,15,16,4,2,-,-,2,2,3,2,1,1,4,2,3,1,3,5,12,11,6,6,3,1,-,-
S00135480,57.18369305,-2.13020632,132,72,61,1,9,9,1,-,1,4,7,11,11,12,11,7,4,11,6,11,7,-,4,1,9,2,1,-,1,1,6,3,8,5,4,6,1,6,4,8,3,-,2
S00135481,57.18611602,-2.114283294,132,71,61,4,5,7,-,1,1,3,5,4,4,6,5,5,6,19,12,24,14,6,4,3,1,6,-,1,1,3,4,1,3,3,2,4,4,6,6,14,7,3,2
S00135482,57.18634678,-2.11731152,83,45,37,-,5,9,3,1,-,-,-,-,7,6,6,5,5,4,7,15,6,5,1,-,1,6,2,-,-,-,-,-,5,5,3,4,3,3,3,7,3,2,1
S00135483,57.18619846,-2.112529915,118,63,59,6,7,4,2,5,2,4,3,9,4,5,7,3,4,11,14,16,11,3,4,3,3,2,-,2,1,1,2,3,3,2,2,3,2,6,8,7,6,2,1
S00135484,57.18562766,-2.127020249,82,46,36,4,1,3,-,-,3,1,4,5,6,2,1,2,9,13,10,12,3,5,-,3,-,1,-,-,-,-,3,5,3,1,1,-,3,8,6,8,3,1,-
S00135485,57.18504671,-2.114660479,163,86,77,5,5,9,3,-,-,5,4,15,11,10,12,9,9,15,18,11,14,6,2,4,3,5,3,-,-,3,1,6,5,3,4,6,5,12,10,7,5,3,2
S00135486,57.18631728,-2.129040961,115,57,61,11,9,8,4,-,1,3,4,4,11,12,8,4,11,7,8,12,-,1,1,4,4,4,-,-,-,1,1,3,6,7,2,-,7,5,1,6,-,1,-
S00135487,57.16014414,-2.251237615,160,83,75,6,3,3,2,3,3,8,3,11,2,13,9,13,7,19,15,12,12,1,10,3,3,5,2,3,-,6,1,5,-,9,1,6,7,8,6,6,6,-,6
S00135488,57.18634429,-2.119941974,118,49,62,6,6,5,1,1,1,5,7,10,7,6,11,9,5,4,13,8,4,4,-,2,2,5,1,2,-,-,3,5,3,3,5,4,1,4,7,1,2,2,-
S00135489,57.18455749,-2.202998561,144,85,62,30,7,6,-,2,2,19,28,20,6,8,6,5,3,3,-,-,-,-,-,15,4,2,-,-,1,15,18,12,4,5,4,2,2,1,-,-,-,-,-
S00135490,57.18619057,-2.100684594,131,65,65,7,4,5,-,4,-,3,11,5,6,5,5,4,10,15,12,13,6,7,2,1,1,4,-,2,-,1,5,4,3,3,3,4,4,10,5,7,2,5,1
S00135491,57.18474998,-2.176729186,130,57,73,13,3,2,-,2,2,10,16,20,17,6,5,12,12,2,-,2,-,3,-,8,2,1,-,1,4,3,8,11,4,1,3,7,2,-,-,1,-,1,-
S00135492,57.18526548,-2.120831809,130,72,58,7,7,5,-,2,-,4,6,2,13,5,10,10,9,16,15,10,11,-,-,5,4,4,-,-,-,3,3,2,5,3,6,7,5,4,8,5,6,-,-
S00135493,57.18470778,-2.204488264,166,85,81,9,16,10,2,3,1,23,12,27,18,16,5,8,3,4,3,1,2,1,2,6,6,5,1,4,1,12,7,14,9,8,5,3,1,2,1,1,-,-,2
S00135494,57.18495994,-2.100648152,98,55,47,1,6,6,-,5,-,5,4,4,1,5,5,10,6,13,9,6,3,9,5,1,1,2,-,2,-,3,2,4,-,2,2,7,4,7,2,3,2,4,2
S00135495,57.18495849,-2.102434809,110,58,52,9,9,9,4,1,-,2,8,11,6,12,2,4,7,8,16,1,5,1,-,5,4,5,4,1,-,4,4,5,4,4,2,-,5,5,7,2,2,1,-
S00135496,57.18524099,-2.118250976,105,49,56,6,7,5,-,1,2,4,2,3,7,12,5,8,4,10,11,13,7,4,1,3,2,1,-,-,1,1,1,-,4,7,-,4,1,4,4,7,5,1,1
S00135497,57.18468582,-2.125660481,236,108,128,13,21,14,3,3,1,5,8,6,16,18,22,14,16,17,25,12,13,3,3,4,7,7,3,-,-,2,2,7,6,11,11,8,9,6,16,3,9,1,2
S00135498,57.18465217,-2.176017368,150,63,86,16,11,2,-,2,1,16,26,19,23,7,4,6,3,3,-,-,2,-,-,9,6,-,-,-,1,5,15,10,10,3,-,3,-,2,-,-,1,-,-
S00135499,57.18463104,-2.117306071,129,59,70,4,8,7,1,2,1,15,3,3,8,12,9,5,3,9,10,14,10,4,5,-,2,3,-,-,1,4,2,3,3,7,5,2,1,5,7,12,4,-,2
S00135500,57.18191302,-2.193836411,120,62,61,21,13,7,-,2,1,3,15,22,20,8,6,3,-,-,2,-,-,-,-,14,4,4,-,1,-,2,9,12,10,2,4,1,-,-,-,-,-,-,-
S00135501,57.18475067,-2.1407149,136,70,66,6,8,3,-,1,-,1,5,8,6,7,8,2,7,17,21,19,6,8,4,2,1,1,-,1,-,-,4,6,-,5,3,2,4,8,13,10,3,10,1
S00135502,57.18426646,-2.175618502,133,62,71,11,5,2,-,-,3,19,22,19,16,18,3,4,5,-,4,-,-,-,-,5,2,2,-,-,3,8,10,7,4,11,2,4,2,-,2,-,-,-,-
S00135503,57.18448369,-2.100828826,86,45,41,1,2,4,-,-,1,-,3,5,4,3,1,9,5,7,5,12,10,7,2,1,-,-,-,-,1,-,1,2,1,-,2,3,1,4,3,8,6,4,2
S00135504,57.18348103,-2.143389951,141,76,65,2,1,-,1,-,-,9,5,4,-,6,-,8,11,17,14,22,22,12,7,2,1,-,-,-,1,3,1,2,-,2,-,2,7,11,9,12,13,6,2
S00135505,57.18106319,-2.11901505,167,89,78,18,11,9,4,2,3,6,13,10,30,18,11,11,4,7,9,4,1,2,3,10,5,5,3,-,-,6,5,5,15,8,8,5,2,5,4,2,1,1,2
S00135506,57.18409224,-2.134972047,90,53,37,3,4,9,-,-,-,3,4,7,4,2,7,9,15,11,5,3,4,-,-,-,4,2,-,-,-,4,-,2,4,3,2,7,7,7,-,2,-,-,-
S00135507,57.18310987,-2.088170191,183,97,86,21,11,14,5,4,3,7,4,12,16,12,17,19,11,8,4,4,3,5,-,10,11,7,2,2,2,5,-,9,7,6,8,10,4,5,1,3,1,2,-
S00135508,57.18419626,-2.180762992,67,32,35,1,4,-,2,-,1,-,4,7,3,8,6,3,3,9,4,7,4,2,-,1,2,-,-,-,-,1,3,4,2,3,2,2,-,6,2,4,2,-,-
S00135509,57.18382112,-2.136476439,125,69,56,4,10,9,-,-,1,2,2,10,13,11,4,6,11,11,12,5,9,3,3,2,6,5,-,-,1,2,1,5,7,5,1,2,9,6,5,2,5,2,3
S00135510,57.18364059,-2.14524334,111,58,52,2,4,4,-,-,3,12,10,1,5,7,7,5,10,10,6,9,3,10,3,2,1,2,-,-,3,4,4,2,-,4,6,5,4,5,3,3,-,7,-
S00135511,57.18387081,-2.132026641,120,58,62,3,-,2,-,-,1,5,9,16,19,7,12,11,2,10,7,8,5,1,-,2,-,1,-,-,-,2,4,7,9,3,5,4,2,3,7,5,2,-,-
S00135512,57.18404133,-2.113879848,120,55,65,4,1,-,-,2,4,5,11,4,10,7,3,12,11,14,16,12,2,4,2,2,1,2,-,1,3,-,5,2,3,3,2,6,3,8,11,5,-,1,2
S00135513,57.18243012,-2.184525945,111,57,54,1,9,3,1,2,3,5,3,6,6,5,7,5,7,8,16,8,6,4,3,-,6,-,-,1,1,3,1,3,5,3,4,4,3,1,8,4,3,3,1
S00135514,57.18347665,-2.181437717,113,55,58,5,3,5,1,4,4,6,7,8,12,3,9,9,5,8,11,5,3,4,3,-,-,-,1,1,1,1,1,3,7,2,5,4,4,4,6,4,1,2,2
S00135515,57.18340717,-2.0990393,167,95,70,8,7,6,2,4,2,5,5,11,4,3,9,14,8,6,6,19,12,17,10,6,3,-,2,2,1,3,5,5,2,1,6,10,5,4,2,12,6,11,8
S00135516,57.18358936,-2.20173601,152,81,71,18,14,10,2,1,2,13,25,25,14,9,5,8,3,2,1,2,2,-,-,5,11,5,2,1,1,5,12,17,5,6,2,4,-,1,-,2,2,-,-
S00135517,57.18357045,-2.178675569,113,53,57,3,3,6,2,3,2,5,8,12,11,6,13,10,5,10,4,1,4,2,-,2,-,3,1,1,-,3,5,8,7,3,6,3,5,3,3,-,1,2,-
S00135518,57.18355452,-2.094341616,83,44,39,4,-,1,-,3,2,6,3,7,3,6,7,1,6,6,7,7,4,7,-,2,-,1,-,2,-,1,-,5,2,6,1,2,5,2,6,3,3,6,-
S00135519,57.18101462,-2.147763855,143,69,75,8,5,1,-,2,4,12,10,5,2,6,6,13,17,21,10,16,5,5,-,5,-,-,-,1,1,4,4,2,2,3,3,9,8,11,6,5,3,2,-
S00135520,57.18046116,-2.086360879,145,72,77,6,6,7,1,1,4,6,14,9,13,7,11,14,13,10,12,5,4,1,4,3,4,3,-,-,2,5,6,2,7,5,4,6,8,4,6,4,2,2,1
S00135521,57.18379863,-2.176129102,118,61,57,4,4,5,1,2,1,13,19,18,17,5,7,4,10,4,4,-,2,-,1,2,4,3,-,1,-,9,9,10,9,3,7,1,9,-,1,-,-,-,1
S00135522,57.18343928,-2.132355949,92,46,46,4,3,-,1,-,-,5,9,4,8,6,7,7,7,7,11,4,2,2,1,3,1,-,1,-,-,2,4,1,4,3,3,5,5,2,9,4,2,1,-
S00135523,57.18154975,-2.096404198,71,41,28,2,1,-,-,1,-,3,2,3,2,-,-,7,1,2,7,5,11,16,8,2,1,-,-,1,-,2,1,-,3,-,-,5,1,2,4,3,7,8,4
S00135524,57.18260596,-2.146612269,111,56,55,3,4,-,-,-,-,4,7,7,8,8,10,11,8,10,13,8,9,2,2,2,-,-,-,-,-,1,5,4,4,4,3,7,3,6,4,4,4,2,-
S00135525,57.18268094,-2.202442367,117,52,69,18,9,3,-,-,-,-,17,25,20,12,6,1,6,3,-,-,-,-,-,6,2,-,-,-,-,-,9,13,11,3,2,-,2,2,-,-,-,-,-
S00135526,57.18220758,-2.176882452,106,63,43,4,5,3,2,-,3,9,4,7,5,2,6,15,2,6,9,11,6,5,5,2,2,4,2,-,2,7,1,4,2,1,3,8,2,1,9,5,5,4,2
S00135527,57.18304469,-2.102958854,72,43,30,7,2,4,1,-,-,-,3,3,7,2,1,5,11,4,3,7,3,5,3,4,2,-,-,-,-,-,3,-,6,-,-,2,11,3,1,5,3,2,1
S00135528,57.18295406,-2.114240426,165,98,70,6,2,5,1,4,4,8,7,6,7,9,6,5,17,14,8,16,16,19,2,2,2,4,-,2,2,4,6,7,2,6,4,3,9,9,4,10,12,12,1
S00135529,57.18251091,-2.09642325,139,66,73,1,3,4,1,1,1,4,1,8,8,6,8,9,24,12,11,16,7,9,5,-,2,-,-,-,1,-,1,5,2,1,4,4,11,8,5,5,8,4,2
S00135530,57.18240025,-2.110748347,87,45,46,-,6,8,-,3,-,3,4,6,4,3,8,6,4,9,10,11,3,1,1,-,1,3,-,-,-,2,1,4,1,3,4,1,1,6,7,5,2,-,1
S00135531,57.18285554,-2.092073547,99,50,48,4,3,5,3,1,1,5,5,4,6,6,4,8,7,7,7,6,9,3,2,-,3,1,2,-,1,2,1,2,5,2,-,4,7,6,3,2,7,3,1
S00135532,57.18298606,-2.118475349,103,56,47,8,4,9,4,1,3,6,4,8,16,14,5,6,3,-,2,-,1,1,1,5,2,6,1,-,1,7,2,7,7,8,3,4,1,-,3,-,-,1,-
S00135533,57.18276695,-2.139350886,131,76,57,8,7,6,-,-,3,3,8,13,9,7,12,7,10,16,6,2,3,-,1,6,4,1,-,-,2,3,3,9,5,4,7,4,6,10,5,1,1,1,1
S00135534,57.18233667,-2.138538706,112,63,49,4,5,6,-,7,2,2,6,8,7,11,9,11,12,10,4,4,2,-,1,3,5,1,-,4,-,4,2,5,2,6,3,5,7,6,2,4,1,-,1
S00135535,57.18184392,-2.137345851,234,135,99,9,10,9,-,8,1,1,1,12,13,18,6,8,11,7,9,12,17,18,45,4,8,6,-,5,1,1,1,6,9,4,6,3,6,5,7,9,10,12,33
S00135536,57.18164661,-2.191833468,191,101,94,22,30,11,5,5,5,2,9,12,28,28,12,8,6,6,1,-,-,1,-,15,12,5,3,3,1,1,9,8,18,11,7,4,3,1,-,-,-,1,-
S00135537,57.18191921,-2.142325216,146,74,65,5,5,4,-,2,2,3,5,1,8,7,11,8,17,19,13,15,10,5,2,4,4,4,-,2,1,3,4,-,3,4,5,3,7,13,7,8,-,4,1
S00135538,57.18201801,-2.094900113,91,48,37,-,3,5,4,4,1,1,1,1,5,5,2,7,6,8,12,5,10,12,5,-,2,3,4,4,1,1,1,-,2,3,-,4,4,5,5,3,5,7,4
S00135539,57.18186148,-2.110515147,84,59,25,-,4,6,4,-,2,3,6,3,5,1,7,1,5,10,3,8,3,4,7,-,3,3,2,-,2,4,5,3,2,1,5,1,4,6,3,6,-,2,5
S00135540,57.18093103,-2.189828248,143,74,69,1,11,6,-,-,3,5,5,3,12,8,9,8,9,14,6,5,9,10,11,1,6,3,-,1,1,3,5,1,6,3,6,4,4,7,6,1,4,5,7
S00135541,57.18127146,-2.14318288,78,39,40,-,-,4,-,1,-,2,2,3,3,4,-,5,8,13,14,6,5,6,4,-,-,2,-,1,-,1,2,1,-,1,1,4,2,6,7,2,4,6,-
S00135542,57.1804713,-2.165609605,182,87,95,26,24,6,2,1,-,10,27,34,21,11,7,5,5,-,2,-,-,-,-,10,10,-,1,-,-,8,16,17,10,6,2,3,2,-,2,-,-,-,-
S00135543,57.18016017,-2.163110515,180,89,92,29,13,6,4,6,1,5,29,26,31,17,14,-,-,2,1,1,-,-,-,10,8,2,4,1,-,3,19,12,17,9,4,-,-,1,-,-,-,-,-
S00135544,57.18154174,-2.177656724,99,59,40,3,3,8,4,-,-,6,-,-,7,6,8,12,6,3,11,8,5,2,6,1,2,7,1,-,-,4,-,-,5,1,4,7,2,1,8,8,6,2,5
S00135545,57.18203083,-2.130564383,132,61,71,1,1,5,-,2,2,5,12,5,12,16,4,12,6,17,8,11,15,4,2,1,-,3,-,1,-,1,6,-,2,6,2,6,5,7,6,6,3,4,1
