OA_Code,Latitude,Longitude,Constituency
S00135427,57.19235674,-2.126182974,Gordon
S00135428,57.19261503,-2.109438712,Gordon
S00135429,57.19180363,-2.102271794,Gordon
S00135430,57.19187949,-2.118156409,Gordon
S00135431,57.19077223,-2.100250354,Gordon
S00135432,57.19224373,-2.13126234,Gordon
S00135433,57.19192681,-2.115575341,Gordon
S00135434,57.19202069,-2.129788925,Gordon
S00135435,57.19117857,-2.127568809,Gordon
S00135436,57.19170847,-2.097704786,Gordon
S00135437,57.18798413,-2.176529571,Gordon
S00135438,57.18420372,-2.199539162,Gordon
S00135439,57.19137486,-2.119825943,Gordon
S00135440,57.18884814,-2.102395966,Gordon
S00135441,57.19000292,-2.107197339,Gordon
S00135442,57.19074936,-2.125614927,Gordon
S00135443,57.19108688,-2.110625488,Gordon
S00135444,57.19018507,-2.13274412,Gordon
S00135445,57.18991775,-2.11214416,Gordon
S00135446,57.19059744,-2.11545536,Gordon
S00135447,57.19011029,-2.17850864,Gordon
S00135448,57.18930448,-2.132989132,Gordon
S00135449,57.19062527,-2.12394339,Gordon
S00135450,57.18976085,-2.116726734,Gordon
S00135451,57.18934646,-2.117982853,Gordon
S00135452,57.19067095,-2.182167955,Gordon
S00135453,57.18965211,-2.184743998,Gordon
S00135454,57.18853152,-2.176929261,Gordon
S00135455,57.18976664,-2.110340262,Gordon
S00135456,57.18996084,-2.182478818,Gordon
S00135457,57.19006487,-2.108289518,Gordon
S00135458,57.18927394,-2.118677516,Gordon
S00135459,57.18916263,-2.122333612,Gordon
S00135460,57.18910725,-2.123839026,Gordon
S00135461,57.18969155,-2.113946908,Gordon
S00135462,57.1881767,-2.12909709,Gordon
S00135463,57.18892418,-2.108120723,Gordon
S00135464,57.18798772,-2.180318287,Gordon
S00135465,57.18665674,-2.181354063,Gordon
S00135466,57.18812003,-2.113396088,Gordon
S00135467,57.18898059,-2.124748574,Gordon
S00135468,57.188028,-2.206607789,Gordon
S00135469,57.18772983,-2.107670528,Gordon
S00135470,57.18797103,-2.128186423,Gordon
S00135471,57.18782565,-2.120807095,Gordon
S00135472,57.1881077,-2.117035856,Gordon
S00135473,57.18763547,-2.112815548,Gordon
S00135474,57.18810244,-2.131396526,Gordon
S00135475,57.18736261,-2.116504079,Gordon
S00135476,57.18739745,-2.107686103,Gordon
S00135477,57.18677179,-2.205757024,Gordon
S00135478,57.18287651,-2.110567811,Gordon
S00135479,57.18691496,-2.124294909,Gordon
S00135480,57.18369305,-2.13020632,Gordon
S00135481,57.18611602,-2.114283294,Gordon
S00135482,57.18634678,-2.11731152,Gordon
S00135483,57.18619846,-2.112529915,Gordon
S00135484,57.18562766,-2.127020249,Gordon
S00135485,57.18504671,-2.114660479,Gordon
S00135486,57.18631728,-2.129040961,Gordon
S00135487,57.16014414,-2.251237615,Aberdeen North
S00135488,57.18634429,-2.119941974,Gordon
S00135489,57.18455749,-2.202998561,Gordon
S00135490,57.18619057,-2.100684594,Gordon
S00135491,57.18474998,-2.176729186,Gordon
S00135492,57.18526548,-2.120831809,Gordon
S00135493,57.18470778,-2.204488264,Gordon
S00135494,57.18495994,-2.100648152,Gordon
S00135495,57.18495849,-2.102434809,Gordon
S00135496,57.18524099,-2.118250976,Gordon
S00135497,57.18468582,-2.125660481,Gordon
S00135498,57.18465217,-2.176017368,Gordon
S00135499,57.18463104,-2.117306071,Gordon
S00135500,57.18191302,-2.193836411,Gordon
S00135501,57.18475067,-2.1407149,Gordon
S00135502,57.18426646,-2.175618502,Gordon
S00135503,57.18448369,-2.100828826,Gordon
S00135504,57.18348103,-2.143389951,Gordon
S00135505,57.18106319,-2.11901505,Gordon
S00135506,57.18409224,-2.134972047,Gordon
S00135507,57.18310987,-2.088170191,Aberdeen North
S00135508,57.18419626,-2.180762992,Gordon
S00135509,57.18382112,-2.136476439,Gordon
S00135510,57.18364059,-2.14524334,Gordon
S00135511,57.18387081,-2.132026641,Gordon
S00135512,57.18404133,-2.113879848,Gordon
S00135513,57.18243012,-2.184525945,Gordon
S00135514,57.18347665,-2.181437717,Gordon
S00135515,57.18340717,-2.0990393,Gordon
S00135516,57.18358936,-2.20173601,Gordon
S00135517,57.18357045,-2.178675569,Gordon
S00135518,57.18355452,-2.094341616,Aberdeen North
S00135519,57.18101462,-2.147763855,Gordon
S00135520,57.18046116,-2.086360879,Aberdeen North
S00135521,57.18379863,-2.176129102,Gordon
S00135522,57.18343928,-2.132355949,Gordon
S00135523,57.18154975,-2.096404198,Aberdeen North
S00135524,57.18260596,-2.146612269,Gordon
S00135525,57.18268094,-2.202442367,Gordon
S00135526,57.18220758,-2.176882452,Gordon
S00135527,57.18304469,-2.102958854,Gordon
S00135528,57.18295406,-2.114240426,Gordon
S00135529,57.18251091,-2.09642325,Aberdeen North
S00135530,57.18240025,-2.110748347,Gordon
S00135531,57.18285554,-2.092073547,Aberdeen North
S00135532,57.18298606,-2.118475349,Gordon
S00135533,57.18276695,-2.139350886,Gordon
S00135534,57.18233667,-2.138538706,Gordon
S00135535,57.18184392,-2.137345851,Gordon
S00135536,57.18164661,-2.191833468,Gordon
S00135537,57.18191921,-2.142325216,Gordon
S00135538,57.18201801,-2.094900113,Aberdeen North
S00135539,57.18186148,-2.110515147,Gordon
S00135540,57.18093103,-2.189828248,Gordon
S00135541,57.18127146,-2.14318288,Gordon
S00135542,57.1804713,-2.165609605,Aberdeen North
S00135543,57.18016017,-2.163110515,Aberdeen North
S00135544,57.18154174,-2.177656724,Gordon
S00135545,57.18203083,-2.130564383,Gordon
S00135546,57.18024341,-2.101230775,Gordon
S00135547,57.18091836,-2.192243224,Gordon
S00135548,57.18128825,-2.108594616,Gordon
S00135549,57.18150282,-2.109769701,Gordon
S00135550,57.18128499,-2.187415,Gordon
S00135551,57.17561093,-2.191256372,Gordon
S00135552,57.18033814,-2.164401507,Aberdeen North
S00135553,57.1806339,-2.134876709,Gordon
S00135554,57.18081477,-2.094268451,Aberdeen North
S00135555,57.18096248,-2.138351599,Gordon
S00135556,57.18082625,-2.131387193,Gordon
S00135557,57.18012995,-2.108012275,Gordon
S00135558,57.18030125,-2.096235528,Aberdeen North
S00135559,57.17867682,-2.170729081,Aberdeen North
S00135560,57.18019982,-2.129102302,Gordon
S00135561,57.18044558,-2.095441929,Aberdeen North
S00135562,57.17998141,-2.18203258,Gordon
S00135563,57.18049119,-2.17086979,Aberdeen North
S00135564,57.17962333,-2.193212399,Gordon
S00135565,57.17958344,-2.189920574,Gordon
S00135566,57.17785839,-2.177887126,Gordon
S00135567,57.17910579,-2.097175224,Aberdeen North
S00135568,57.17989699,-2.107316876,Gordon
S00135569,57.17999701,-2.183653671,Gordon
S00135570,57.17864049,-2.134125119,Gordon
S00135571,57.17878372,-2.095454175,Aberdeen North
S00135572,57.17945137,-2.188150038,Gordon
S00135573,57.17951049,-2.096564282,Aberdeen North
S00135574,57.1792758,-2.185403398,Gordon
S00135575,57.17918135,-2.103758572,Gordon
S00135576,57.17974071,-2.100799336,Gordon
S00135577,57.17932878,-2.166878118,Aberdeen North
S00135578,57.17860317,-2.126830699,Gordon
S00135579,57.17927946,-2.093239013,Aberdeen North
S00135580,57.17947989,-2.121408353,Gordon
S00135581,57.17844291,-2.105956351,Gordon
S00135582,57.17891704,-2.127361071,Gordon
S00135583,57.17836807,-2.166526436,Aberdeen North
S00135584,57.17915323,-2.115369972,Gordon
S00135585,57.17896784,-2.161252718,Aberdeen North
S00135586,57.17879113,-2.191107416,Gordon
S00135587,57.17873467,-2.088870978,Aberdeen North
S00135588,57.17797983,-2.089249582,Aberdeen North
S00135589,57.17829365,-2.174994684,Aberdeen North
S00135590,57.17876395,-2.166048548,Aberdeen North
S00135591,57.17841495,-2.184373585,Gordon
S00135592,57.17813906,-2.163068518,Aberdeen North
S00135593,57.17813379,-2.129045464,Gordon
S00135594,57.17744721,-2.092870511,Aberdeen North
S00135595,57.17786466,-2.191913088,Gordon
S00135596,57.17615053,-2.143741917,Aberdeen North
S00135597,57.17724761,-2.190090515,Gordon
S00135598,57.17780556,-2.094161529,Aberdeen North
S00135599,57.17811594,-2.160091194,Aberdeen North
S00135600,57.17716302,-2.186600203,Gordon
S00135601,57.17777209,-2.162041421,Aberdeen North
S00135602,57.16469496,-2.087911288,Aberdeen North
S00135603,57.17754828,-2.130614705,Gordon
S00135604,57.17786261,-2.16832702,Aberdeen North
S00135605,57.17723874,-2.171317871,Aberdeen North
S00135606,57.17586422,-2.125977805,Gordon
S00135607,57.17488119,-2.10047184,Aberdeen North
S00135608,57.17672589,-2.190550939,Gordon
S00135609,57.17675194,-2.085277136,Aberdeen North
S00135610,57.17337661,-2.133990252,Aberdeen North
S00135611,57.17706834,-2.177569071,Aberdeen North
S00135612,57.17726387,-2.159062041,Aberdeen North
S00135613,57.17685694,-2.161177353,Aberdeen North
S00135614,57.17501146,-2.189682091,Gordon
S00135615,57.17611802,-2.123696258,Gordon
S00135616,57.17690823,-2.123996616,Gordon
S00135617,57.17714582,-2.087262806,Aberdeen North
S00135618,57.17696379,-2.090603372,Aberdeen North
S00135619,57.17649834,-2.1674773,Aberdeen North
S00135620,57.17708382,-2.166289097,Aberdeen North
S00135621,57.17442832,-2.115222911,Aberdeen North
S00135622,57.17660362,-2.123168622,Gordon
S00135623,57.1761923,-2.146454517,Aberdeen North
S00135624,57.17632956,-2.179103681,Aberdeen North
